-0.0185465-0.0204189j -0.00561214+0.0064658j -0.00824477+0.0494934j 0.0270877-0.0363633j -0.0214474+1.34351e-05j -0.0214431+0.0190588j 0.024552+0.00818923j -0.0124493+0.00414607j 0.0406446+0.00809549j 0.00700856+0.0205879j 0.0221603-0.00660632j -0.0101304-0.0153009j 0.0463425+0.0142853j 0.0135498+0.00123667j -0.0122453+0.00410224j 0.0152033-0.00327718j -0.00267986-0.00294148j 6.75007e-06+0.0034834j -0.00167449-0.0181674j 0.013119+0.00582477j 0.0163189+0.00486349j -0.0188968-0.0129975j 0.0210913+0.00351552j -0.0167456-0.0178634j 0.00301289-0.011101j 0.0226402+0.00642174j 
0.0154529+0.00196414j 0.0142204-0.00796448j -0.0263632-0.0442619j -0.0105016+0.0122061j -0.0391472-0.00859208j -0.0285481-0.00788829j 0.00534419-0.00170979j -0.0345544-0.00846158j 0.0118362+0.007074j -0.00786327+0.0369658j 0.00825938+0.0166775j -0.043553-0.0386008j 0.023914+0.0323504j 0.0134364+0.00530976j -0.00535055-0.00108748j -0.0062556-0.0210754j -0.0129123-0.00805247j 0.00379149+0.00172604j -0.00217694-0.00622639j 0.0211124-0.00622433j 0.0251999+0.0169976j -0.0136524-0.00899181j 0.0101153+0.00775407j -0.00657884-0.0157339j -0.0214422-0.0300664j 0.0282493+0.0163187j 
0.00952028+0.0110091j 0.0128212+0.0185248j -0.0409924-8.22191e-05j 0.0264138+0.00378613j 0.0317407+0.00964329j 0.00398827+0.0039588j 0.00863669+0.0256388j -0.00591946+0.0176756j 0.00158808-0.030524j -0.0397383+0.00934028j 0.0065144+0.0558597j 0.0430521-0.0182538j -0.003051+0.0337098j 0.00600481+0.00139623j 0.00262232+0.0184647j 0.0106244+0.00281425j -0.000555387+0.00341157j 0.00466043+0.0212481j 0.0190315+0.0186918j 0.00813054+0.0212681j -0.0111171-0.0189689j -0.0136855+0.00287559j 0.0265848-0.00807224j -0.00500859+0.00494655j 0.0280855+0.0125613j -0.0204521+0.0179595j 
-0.000935752-0.00376226j -0.00397347+0.00337575j -0.0026564+0.0106571j 0.0142384-0.00290174j 0.00358998+0.00704727j 0.00441299+0.0041237j 0.00835457+0.00533117j 0.00103308+0.00446809j 0.00563578-0.00846243j -0.0254447-0.00225441j -0.0165311-0.00276562j -0.018475-0.0125816j 0.0143178+0.0169875j -0.0322354-0.034313j 0.0112345-0.0682778j 0.00375839-0.0377988j 0.00198807+0.0200611j -0.0168719-0.0444748j -0.0244927+0.05825j -0.00878625-0.00447559j -0.0215408+0.0113142j 0.00446643+0.000557629j 0.0118824-1.05265e-05j 0.0204549-0.00169791j -0.00294828-0.000486038j 0.00395699+0.00221963j 
-0.0368641-0.00444546j 0.0259261+0.013565j 0.0333788-0.00115056j -0.0374711-0.00435401j -0.0203571+0.00910505j 0.0123182-0.0159284j 0.00955913+0.0248632j -0.0105623+0.0097968j 0.0311622-0.013165j -0.0316385+0.0398577j -0.00886235+0.00171005j -0.0181308-0.0233472j 0.015424+0.0199885j 0.0145159-0.00125824j -0.00428791+0.00444043j 0.00369478-0.0106998j -0.00419991-0.00535053j -0.000379893+0.00553164j -0.00713165-0.011763j 0.0158675+0.00302425j 0.0220982+0.00883219j -0.00310284-0.0132793j 0.0104004-0.00272016j 0.01087+0.00249882j -0.0136405-0.0198541j -0.0165874-0.00549608j 
-0.00305458-0.00591871j -0.0132293-0.00747732j -0.0548289+0.00719684j 0.00334681-0.0136367j 0.00841313+0.0207295j -0.00254141-0.0222539j -0.028656-0.00235356j 0.000905557+0.0151732j 0.00316579-0.00949084j 0.0426617+0.0348249j 0.00657344-0.0286192j -0.0106145+0.00295712j -0.0157528-0.0125462j -0.0112094-0.00487149j 0.0150166+0.000277495j -0.0365622-0.0166355j 0.0329445-0.0114088j -0.00663529-0.0104678j -0.0167421-0.0320179j -0.0167393-0.0233741j 0.0309486+0.0172233j 0.0196269-0.00981389j -0.0151725+0.0012423j 0.009718+0.0022702j -0.0270712-0.0233114j -0.0196509-0.029345j 
0.00680848+0.00765516j 0.0176307+0.00766796j -0.00453761+0.0166648j 0.0132864+0.010051j -0.0288393+0.00492205j -0.0236813+0.0228327j 0.0261784+0.00419044j 0.00574625+0.0096292j 0.0214672-0.00521899j -0.0428637-0.0347354j 0.0163602-0.0135115j 0.000834888+0.037464j -0.00251159-0.0311924j 0.0320372-0.0105403j 0.0041855+0.00774001j -0.0188932+0.0255233j 0.0752184+0.0121943j 0.00762775+0.00975277j 0.0021013+0.0205496j -0.00016779+0.0131688j -0.00256102-0.0233796j 0.0535032+0.018853j -0.0152161-0.0149845j 0.0237093+0.0219736j 0.0131925+0.0357215j -0.0054205-0.00621523j 
-0.00239552+0.0135345j 0.00208308+0.000496207j -0.0123901+0.00757165j 0.0060581+0.0186851j -0.0241225+0.00423225j -0.0199774-0.0120729j 0.000138404-0.00954364j -0.0396152-0.00691321j -0.0101978-0.000989234j -0.0127081-0.0563329j -0.00163013-0.0353826j -0.0144543+0.0593187j 0.0233288-0.0526983j 0.0225514-0.00641893j -0.0214733-0.00516093j 0.0208326+0.0206839j -0.0799033+0.00883936j 0.00926022-0.0141887j 0.0336182+0.00755569j -0.0234663-0.000460412j -0.0213539-0.0106529j -0.00959153+0.00310252j -0.00808148-0.000267413j 0.017961+0.0228685j 0.00274107+0.0408152j -0.0171236-0.0295235j 
-0.00933335-0.0101793j -0.00232621+0.0019953j 0.0226036+0.0139797j 0.00709586-0.00465234j 0.0238007+0.00607825j 0.00700782+0.00333162j 0.0134672-0.000254684j -0.0818301+0.010272j -0.0163798+0.00257577j 0.0191309+0.00404957j 0.0151388-0.000320802j 0.0138231-0.0018613j 0.0102698-0.00189461j 0.00685852-0.002903j 0.024606-0.00187857j -0.0242002-0.00343704j 0.0697736-0.000615539j -0.0162665-0.00586811j -0.0174194+0.00132051j 0.000327729-0.00291795j 0.0072029+0.00161104j 0.0245377+0.00285432j -0.00808923-0.00132347j 0.000314389-0.00114295j -0.00191287-0.00205468j 5.9918e-05-0.00166398j 
-0.0070103+0.00782232j 0.0126343+0.00034235j -0.0247513+0.00431313j -0.0105894+0.00290359j -0.0114838+0.0181121j 0.0124714+0.00997481j 0.012697+0.00604287j 0.0017515+0.00653059j -0.00530159+0.00664245j 0.0518308-0.0033482j 0.0592968-0.0112728j -0.0676859+0.0120324j 0.0768409+0.00136262j 0.00488804-0.0176646j 0.00227654+0.00012727j -0.022365+0.0144254j -0.0245478+0.0120512j 0.00743835-0.00819333j 0.0101985-0.0112932j 0.0164117+0.0323771j 0.00427709+0.0146626j 0.00571505-0.0364426j -0.00709284+0.0308939j 0.0207683-0.027341j -0.0257995+0.00749208j 0.0116622+0.0246705j 
0.00322102-0.0220822j 0.00416788-0.00900327j 0.00969048+0.0256539j -0.00413868-0.0280525j 0.0214805+0.0296504j 0.0129085+0.0284552j -0.000377303-0.000164644j 0.00814143+0.0219436j 0.000991134-0.0182943j -0.00271313+0.0729818j -0.0161499-0.0268577j 0.0576922-0.00917772j -0.0122625+0.00487259j -0.0367359-0.0121717j -0.00191112+0.00747728j 0.019697-0.0132562j -0.0656254-0.00782606j -0.00502719+0.00234182j 0.0234313-0.0108351j -0.0137328-0.0258921j 0.019294+0.000690826j 0.0447135+0.0191856j -0.00371346-0.023387j 0.00913195+0.00633077j -0.00795411-0.0345909j 0.00456954-0.0205367j 
