-0.105599-0j 0.104015-0j -0.134501-0j -0.0347279-0j 0.0703729-0j 0.0222539-0j 0.00331741-0j 0.0541136-0j 0.00987976-0j 0.0161336-0j 0.00360758-0j 0.000380272-0j -0.013904-0j -0.00359-0j 0.043309-0j 0.0136955-0j 0.00204161-0j -0.0685884-0j -0.0125225-0j -0.0204491-0j -0.00457256-0j -0.00048199-0j -0.00501363-0j -0.00091536-0j -0.00149478-0j -0.000334242-0j -3.52322e-05-0j -0.00921129-0j -0.00291287-0j -0.000434224-0j 0.0304323-0j 0.00555615-0j 0.00907316-0j 0.00202882-0j 0.000213856-0j -0.0068652-0j -0.00125341-0j -0.00204681-0j -0.00045768-0j -4.82437e-05-0j 
-0.0114241-0j -0.198858-0j -0.0254463-0j 0.191779-0j 0.0275378-0j -0.122738-0j -0.0574866-0j -0.00691355-0j -0.00126224-0j 0.029052-0j 0.0134534-0j 0.0028848-0j -0.0015042-0j 0.0113365-0j 0.00587453-0j -0.0261833-0j -0.0122634-0j -0.0129763-0j -0.00236915-0j 0.0545289-0j 0.0252512-0j 0.0054146-0j -0.000542396-0j -9.90276e-05-0j 0.00227925-0j 0.00105547-0j 0.000226324-0j -0.000996517-0j 0.00444156-0j 0.00208028-0j 0.0041279-0j 0.000753648-0j -0.0173462-0j -0.00803265-0j -0.00172244-0j -0.000742707-0j -0.000135599-0j 0.00312099-0j 0.00144526-0j 0.000309907-0j 
0.323329-0j -0.156816-0j 0.029884-0j 0.00771601-0j 0.0742789-0j 0.023489-0j 0.00350154-0j 0.014825-0j 0.00270666-0j 0.00441995-0j 0.000988331-0j 0.000104179-0j -0.0382601-0j -0.00987871-0j 0.0586801-0j 0.0185563-0j 0.00276621-0j -0.0136957-0j -0.00250049-0j -0.00408328-0j -0.000913048-0j -9.62437e-05-0j -0.0429433-0j -0.00784035-0j -0.0128032-0j -0.00286289-0j -0.000301775-0j 0.0282037-0j 0.00891879-0j 0.00132954-0j -0.0458804-0j -0.00837658-0j -0.0136789-0j -0.00305869-0j -0.000322415-0j 0.0210203-0j 0.00383776-0j 0.00626704-0j 0.00140135-0j 0.000147716-0j 
0.0428405-0j 0.443808-0j 0.0240776-0j -0.181463-0j 0.00441995-0j -0.0197001-0j -0.00922687-0j -0.0145409-0j -0.0026548-0j 0.0611037-0j 0.0282958-0j 0.00606746-0j -0.00506939-0j 0.0382059-0j 0.0117827-0j -0.0525166-0j -0.024597-0j -0.0110347-0j -0.00201465-0j 0.0463698-0j 0.0214728-0j 0.00460441-0j -0.00568992-0j -0.00103883-0j 0.0239101-0j 0.0110722-0j 0.00237422-0j 0.00373694-0j -0.0166559-0j -0.00780105-0j -0.00921259-0j -0.00168198-0j 0.038713-0j 0.0179271-0j 0.00384411-0j 0.00278515-0j 0.000508497-0j -0.0117037-0j -0.00541973-0j -0.00116215-0j 
-0.383421-0j -0.00574994-0j 0.0462388-0j 0.0119388-0j 0.0461696-0j 0.0146001-0j 0.00217646-0j 0.0310947-0j 0.0056771-0j 0.00927066-0j 0.00207298-0j 0.000218512-0j 0.141226-0j 0.0364645-0j 0.00669734-0j 0.00211789-0j 0.000315716-0j -0.0659616-0j -0.0120429-0j -0.0196659-0j -0.00439744-0j -0.000463531-0j -0.0112021-0j -0.00204522-0j -0.00333982-0j -0.000746807-0j -7.87204e-05-0j -0.0334455-0j -0.0105764-0j -0.00157664-0j -0.00168229-0j -0.000307143-0j -0.000501562-0j -0.000112153-0j -1.18219e-05-0j -0.024927-0j -0.00455103-0j -0.00743179-0j -0.0016618-0j -0.000175169-0j 
-0.0718458-0j -0.237972-0j 0.00970747-0j -0.0731612-0j -0.00321273-0j 0.0143194-0j 0.00670673-0j -0.00868211-0j -0.00158513-0j 0.0364838-0j 0.0168949-0j 0.00362276-0j 0.0264631-0j -0.199441-0j -0.0196659-0j 0.0876528-0j 0.0410537-0j -0.0138481-0j -0.00252831-0j 0.0581923-0j 0.0269476-0j 0.00577837-0j -0.00209906-0j -0.000383234-0j 0.00882063-0j 0.00408464-0j 0.000875869-0j -0.00626704-0j 0.0279327-0j 0.0130828-0j 0.00493984-0j 0.000901888-0j -0.0207581-0j -0.00961264-0j -0.00206124-0j -0.00467084-0j -0.000852775-0j 0.0196277-0j 0.00908917-0j 0.00194899-0j 
0.040163-0j -0.150009-0j 0.00546162-0j -0.041162-0j 0.00264242-0j -0.0117775-0j -0.00551618-0j 0.00117432-0j 0.000214401-0j -0.00493472-0j -0.00228516-0j -0.000490006-0j -0.0248341-0j 0.187164-0j -0.0208107-0j 0.0927553-0j 0.0434435-0j -0.0130794-0j -0.00238797-0j 0.0549622-0j 0.0254518-0j 0.00545762-0j 0.02143-0j 0.00391256-0j -0.0900527-0j -0.0417014-0j -0.00894203-0j 0.00350338-0j -0.0156149-0j -0.00731349-0j 0.00311389-0j 0.000568516-0j -0.0130851-0j -0.00605945-0j -0.00129933-0j 0.00261108-0j 0.000476716-0j -0.0109722-0j -0.005081-0j -0.00108952-0j 
-0.442737-0j 0.104045-0j 0.0598206-0j 0.0154456-0j -0.0197979-0j -0.00626063-0j -0.00093328-0j -0.0535019-0j -0.00976807-0j -0.0159512-0j -0.0035668-0j -0.000375973-0j -0.0582944-0j -0.0150515-0j 0.0433213-0j 0.0136994-0j 0.00204218-0j 0.0305054-0j 0.00556951-0j 0.00909497-0j 0.0020337-0j 0.00021437-0j -0.0210203-0j -0.00383776-0j -0.00626704-0j -0.00140135-0j -0.000147716-0j 0.0720647-0j 0.0227889-0j 0.00339716-0j -0.0568033-0j -0.0103708-0j -0.0169355-0j -0.00378688-0j -0.000399173-0j -0.0287832-0j -0.00525507-0j -0.0085815-0j -0.00191888-0j -0.000202268-0j 
-0.0677368-0j -0.463043-0j -0.00626063-0j 0.0471838-0j -0.0155613-0j 0.069358-0j 0.032485-0j -0.0031058-0j -0.000567039-0j 0.0130511-0j 0.0060437-0j 0.00129595-0j -0.00891879-0j 0.0672173-0j 0.0136789-0j -0.060968-0j -0.0285554-0j -0.0031926-0j -0.000582887-0j 0.0134159-0j 0.00621261-0j 0.00133217-0j -0.00321601-0j -0.000587161-0j 0.0135143-0j 0.00625817-0j 0.00134194-0j 0.0110256-0j -0.049142-0j -0.0230165-0j -0.0179359-0j -0.00327463-0j 0.0753699-0j 0.0349022-0j 0.00748406-0j -0.00440371-0j -0.000804004-0j 0.0185052-0j 0.00856935-0j 0.00183752-0j 
0.428678-0j 0.113598-0j 0.0582944-0j 0.0150515-0j 0.0282037-0j 0.00891879-0j 0.00132954-0j 0.0125341-0j 0.0022884-0j 0.00373694-0j 0.000835605-0j 8.80805e-05-0j -0.0507262-0j -0.0130974-0j -0.0425082-0j -0.0134423-0j -0.00200385-0j -0.0267161-0j -0.00487768-0j -0.00796521-0j -0.00178108-0j -0.000187742-0j -0.0569354-0j -0.0103949-0j -0.0169748-0j -0.00379569-0j -0.000400101-0j -0.0697763-0j -0.0220652-0j -0.00328929-0j -0.0620189-0j -0.0113231-0j -0.0184905-0j -0.0041346-0j -0.000435825-0j 0.0278692-0j 0.0050882-0j 0.008309-0j 0.00185795-0j 0.000195845-0j 
0.113598-0j -0.024011-0j -0.0136994-0j 0.103247-0j -0.0136789-0j 0.060968-0j 0.0285554-0j -0.00921259-0j -0.00168198-0j 0.038713-0j 0.0179271-0j 0.00384411-0j -0.0134423-0j 0.101309-0j -0.000637469-0j 0.00284126-0j 0.00133075-0j 0.00627839-0j 0.00114627-0j -0.0263829-0j -0.0122174-0j -0.00261977-0j -0.0150877-0j -0.00275462-0j 0.0634011-0j 0.0293597-0j 0.00629559-0j -0.0184905-0j 0.0824136-0j 0.0385998-0j -0.000930061-0j -0.000169805-0j 0.00390828-0j 0.00180984-0j 0.000388084-0j 0.00738525-0j 0.00134836-0j -0.0310341-0j -0.0143712-0j -0.00308162-0j 
