0.0363889-2.40938e-15j -0.115946-1.43038e-15j 0.0374998+4.52389e-16j 0.0183359+5.42559e-17j 0.0247129-4.71799e-16j 0.0926048+4.42587e-16j -0.04606-2.6918e-16j -0.0137719-1.8849e-16j 0.0412777+6.14979e-16j -0.0919933-1.27295e-16j 0.0703047+4.72258e-16j -0.0398189-4.86629e-16j -0.0206321-9.70598e-17j 0.0144505+1.15768e-16j -0.0113394+1.72764e-16j 0.0163837-2.3065e-16j -0.0127665-8.51513e-16j 0.0315844+8.01438e-16j 0.00731953-3.41421e-16j -0.00803559+9.18876e-17j -0.0116242-7.82122e-17j -0.0362264-5.45346e-16j 0.0219159+1.6997e-16j -0.0104343-5.4275e-17j -0.00213151-1.2827e-16j -0.00662815-4.13662e-16j 0.00643334+2.39813e-16j 0.00716325+3.13224e-17j -1.60988e-05+1.20214e-17j 0.00109991+5.89144e-17j -0.00960235-2.64991e-16j -0.00705975-2.80217e-16j -0.0124605-1.62354e-16j 0.018687+1.76002e-16j -0.0204572-2.45034e-16j 0.000929145-7.84131e-17j -0.0176046+2.32558e-16j -0.00332698+3.04196e-16j 0.0208405+5.01722e-16j -0.00765987-7.62347e-17j -0.00223166-1.27237e-16j 0.0030833+9.31635e-17j -0.0196519-3.44472e-16j 0.0402072+3.72451e-16j -0.00746284+5.00426e-17j -0.0108534-1.68802e-16j 0.0472671+4.83136e-16j 0.00252112+1.02278e-16j -0.0298424-3.05784e-16j 0.0266168+7.13989e-17j 0.0161292+2.47916e-16j 0.0161318+1.19275e-16j -0.0236363+2.37358e-16j -0.0350435-1.85419e-16j 0.0606176-5.91998e-16j 0.00061717+4.68042e-15j 
0.113059-3.51759e-14j 0.0383567-8.2703e-15j 0.0408052+7.78436e-17j -0.0300607+2.95458e-16j -0.109448-3.30936e-16j 0.0486714+4.64745e-16j 0.0323914-1.11586e-16j -0.00412341-5.92712e-17j 0.0720754+4.84213e-16j 0.0744357-3.21614e-16j 0.0201796+3.5621e-16j -0.0607406-1.98575e-16j 0.0174587-8.07478e-17j -0.0125422+1.20293e-16j -0.0076474-2.61194e-16j -0.0233733+2.64573e-16j -0.00866395-4.98131e-16j 0.0163077+5.03728e-16j -0.022153-1.49808e-16j 0.0320732+1.09186e-16j 0.031462+1.77279e-16j 0.0263302+8.1626e-17j -0.0185566+4.77022e-17j 0.00779381+2.10377e-17j -0.016584-1.25221e-17j -0.0343387+7.36145e-17j 0.0222646+3.09797e-16j -0.00143617-5.78527e-16j 0.0229902-3.98887e-16j 0.0325192+2.81327e-16j 0.0113066-2.38564e-16j -0.0256683-1.59453e-16j -0.0068816-1.10375e-16j 0.00909489+1.17729e-16j -0.0243487-8.12125e-17j -0.00668651-1.15217e-16j -0.0256192+2.10444e-16j -0.0132622-2.26065e-16j -0.0138499-6.47456e-16j 0.00407569-1.16436e-17j -0.0123896-9.90378e-17j 0.0157547+6.60629e-17j -0.0212529-2.96068e-16j 0.0138183+2.0964e-16j 0.0310378+2.09312e-16j 0.0215281+2.35723e-16j 0.0101765+2.21295e-16j 0.0275204+1.58046e-16j -0.00415933-1.94029e-16j -0.0311675+2.53474e-17j 0.011438+1.11969e-16j -0.00668053+5.14945e-17j 0.0428518-5.55029e-17j -0.0186479-3.43232e-16j 0.000191295-5.10602e-15j -0.0626085+2.47322e-14j 
0.0331354-1.00143e-14j 0.00369477-2.24065e-15j 0.0276031+3.72701e-16j 0.141031-5.24144e-16j 0.0486811-1.16555e-16j 0.0528422-3.48379e-16j 0.0330722-1.32583e-16j 0.0359933+2.51205e-17j 0.0635997-3.18594e-17j -0.053021+1.19973e-16j 0.0752244-1.59384e-16j 0.063426-1.18779e-16j 0.0158787-3.38967e-17j -0.00130768-2.14255e-17j -0.043927+3.28685e-16j -0.0163027-3.77294e-16j 0.0143256+7.27833e-16j -0.00568262-1.68155e-17j -0.0262514+9.58634e-18j 0.0145767-4.21868e-17j 0.0022976+1.82748e-16j 0.0393689+2.19067e-16j -0.00538566-3.80316e-17j 0.0347771-2.5251e-18j -0.0050484-2.44432e-17j 0.00226832+1.38503e-16j 0.0123607+1.84426e-16j 0.0199357-6.05162e-16j 0.023213-1.17455e-15j -0.0263742-5.47215e-17j 0.0141738+1.37482e-16j 0.015753-9.92537e-17j 0.000624779+1.37333e-16j 0.0352105-9.88423e-17j -0.0206993+2.53347e-17j -0.0564247-2.09478e-16j -0.0361163+6.5239e-16j -0.0226655-1.40052e-16j -0.0105322-7.86603e-16j 0.00909842+1.56462e-16j -0.0129854+1.27441e-16j 5.78829e-05+2.09207e-17j 0.0166673+3.97481e-17j -0.024731+1.14287e-16j 0.0110845-1.4292e-16j -0.0338216-1.67596e-16j 0.0553831+6.06893e-17j 0.0485509-9.28645e-18j 0.0585322+1.68074e-16j -0.0130193+1.05642e-16j 0.0356189-3.32185e-17j -0.0355669-2.3536e-17j 0.0102525-3.46246e-17j 0.0131653-6.98822e-17j 0.0142426-5.32583e-15j -0.0591016+2.48041e-14j 
-0.0119972+5.42167e-15j -0.0282654+1.24226e-15j -0.0910455+8.13314e-16j 0.0649319-6.56984e-16j -0.0558118+1.56046e-16j -0.0268401+3.20878e-16j -0.0743987+1.81698e-16j -0.030193+7.01673e-18j 0.0130614+1.70763e-17j -0.0696402+2.72766e-16j -0.0949301+4.44002e-16j 0.0593262-3.96962e-16j 0.00785929+2.26304e-16j -0.0441712+2.45398e-16j -0.0311522+1.79894e-16j -0.0354889+3.36558e-16j -0.0447506-1.95855e-15j 0.0250816+2.84357e-16j 0.00595234-1.82778e-16j -0.041697-9.05783e-18j -0.0076306-1.30753e-16j -0.0161383-6.76641e-17j 0.00288356+1.48691e-16j 0.0236268-6.27292e-17j 0.00168532+5.5108e-17j -0.0317955-5.86926e-17j 0.0290127+1.0925e-16j -0.0396975-1.6941e-19j 0.0127803+4.96358e-16j 0.0315401+1.5465e-16j 0.0184198+1.61275e-16j -0.0106468+3.08659e-16j -0.0398026-1.37436e-16j 0.00665111+1.62871e-17j -0.00869586+1.03303e-16j 0.0149629+9.31539e-17j 0.00514609+2.27965e-17j -0.00763572+1.94817e-16j 0.0190784+3.31452e-16j -0.00246644-3.8122e-17j -0.00746885+9.63115e-17j -0.000150471-1.48879e-17j -0.0232405-5.72645e-17j 0.0176028-5.40453e-17j -0.0259642-1.56939e-16j -0.0454924-3.25681e-16j 0.0468514+5.76601e-17j -0.0125774+2.96611e-17j 0.0321245+5.12442e-17j 0.0212182-3.76574e-17j 0.0190102+5.73376e-17j -0.0411571+4.03757e-17j 0.01809-1.8382e-16j 0.0326304-1.85346e-16j 0.0591434-8.96974e-16j 0.00380337+3.53482e-15j 
-0.0362885-1.02633e-15j 0.183918-2.71127e-16j -0.0695338+1.49442e-16j -0.0273409-1.6306e-16j -0.102992+5.87656e-17j -0.10077+6.63303e-16j 0.0958624+3.05919e-17j 0.0336163+9.42878e-17j -0.0417206+1.49907e-16j 0.151653-2.94725e-16j -0.103455+2.07705e-16j 0.0501615-1.75362e-16j 0.0509306-7.42199e-18j -0.049423-9.11815e-17j 0.0389706-4.78915e-16j 0.00267757+2.55854e-16j -0.000365576+4.21779e-17j -0.0377393-4.338e-16j -0.00774494+2.96781e-16j -0.00356847-3.00255e-17j 0.0168542+2.06664e-16j 0.069872+6.51061e-16j -0.0241894-7.676e-17j 0.0503861-9.71045e-17j 0.0225089+3.23365e-17j -0.00332513+2.59375e-16j 0.00038145-1.49857e-19j -0.0258721-3.1642e-16j 0.0151138+1.1451e-16j 0.0108257+3.72899e-16j 0.0147496+3.57849e-16j 0.0133555+1.26962e-16j -0.00632451-6.26392e-17j -0.0302734+2.79043e-17j 0.0162985+9.83114e-17j 0.0141204+1.75829e-16j 0.0220419-8.05529e-16j 0.00463594-7.97694e-16j -0.044549-9.03665e-16j 0.0136952+1.00976e-17j 0.00676255-7.77239e-17j 0.003153-4.02613e-17j 0.0123663-1.44248e-17j -0.0449963-6.38492e-18j 0.0099571+5.99241e-17j 0.00152955+2.02584e-16j -0.0653734-2.95565e-17j 7.02411e-05+7.8129e-17j 0.0542309+6.30542e-17j -0.041807-1.0206e-17j -0.00439931-6.78705e-17j -0.0369176-7.1885e-17j 0.0565249-4.1126e-16j 0.0712028-4.3799e-16j -0.0848019+1.82547e-15j 0.00262106-8.43577e-15j 
0.183517-5.64915e-14j 0.0344422-1.22865e-14j 0.0659167-6.0377e-16j -0.0570077+6.06489e-16j -0.173592-2.50287e-17j 0.115136-6.26565e-16j 0.0219472-4.54971e-17j -0.0114691+8.85174e-17j 0.118176-1.53922e-16j 0.107747-2.3313e-16j 0.0428198-2.52283e-16j -0.0937547+5.12484e-16j 0.0272786-5.31555e-17j -0.0301817+1.29561e-16j -0.000776953-2.42899e-16j -0.0263826+5.26449e-16j -0.0123042-6.45032e-16j 0.0476379+7.69623e-16j -0.0396303-3.46636e-16j 0.0526242-3.4729e-17j 0.0379636+4.15783e-18j 0.0132724-5.54525e-17j -0.0264004+3.85954e-17j 0.0142575+6.41789e-17j -0.0265526+1.53569e-16j -0.0575952+2.55387e-16j 0.0391149+2.84803e-16j -0.00322685-1.01331e-15j 0.0372436-8.19969e-16j 0.0604792+2.3559e-16j 0.021812-3.04838e-16j -0.037881+9.50205e-17j -0.0290158-1.15716e-16j 0.00477152-4.44397e-17j -0.0349061+2.34086e-16j -0.00105297-6.96206e-17j -0.0370593+6.768e-16j -0.0173907-6.64984e-17j -0.0112404-7.1462e-16j 0.00681135-1.34947e-18j -0.0182802-7.96798e-17j 0.0258424-3.68411e-17j -0.0460443-2.26091e-16j 0.0345491-1.40507e-16j 0.046902+1.23431e-16j 0.0331493+2.54096e-16j 0.0133921-1.22503e-16j 0.0373193+3.70132e-19j -0.0224216-1.2663e-17j -0.0397289+5.68197e-17j 0.0250096+3.28751e-18j -0.0127874-1.29315e-17j 0.0699086-1.318e-16j -0.0337735-5.36354e-17j 0.00695606-8.18027e-15j -0.0930284+3.77803e-14j 
0.0003896+2.84565e-15j -0.0447769+9.38269e-16j -0.0255067+3.79366e-16j 0.0166891-2.54416e-16j -0.0468253+1.50176e-16j 0.114214-1.30335e-15j 0.00348433-8.69717e-17j 0.0663807-3.43748e-16j 0.00837064-4.04295e-17j -0.0231723+3.20409e-16j 0.0453565-4.50396e-16j -0.0158591+2.85256e-16j 0.0193357-1.93684e-16j -0.039048+1.86958e-16j 0.06605-2.56019e-16j 0.104739-1.19838e-15j -0.0248544-1.24271e-15j 0.0107703+5.31133e-16j -0.00514756-2.75419e-16j -0.0453235+2.26246e-16j -0.0240703-1.13899e-16j -0.0109291-1.08209e-16j 0.0235748-6.33262e-17j 0.0499258-4.98886e-16j 0.0444224-2.90998e-16j -0.00564338-1.56493e-16j -0.00354355+1.07578e-16j -0.0159292-5.10815e-16j 0.0242576-4.928e-16j 0.010711+1.67833e-16j 0.00524766+7.79091e-17j 0.0129476+1.85129e-17j -0.0603697+2.21323e-16j -0.00426647-1.20015e-17j -0.0199236+3.60255e-16j 0.02754-9.84332e-18j -0.0024833+4.97886e-17j -0.00422093+7.26714e-17j -5.30755e-05+5.46829e-17j -0.00357911-1.86747e-16j 0.00355701-4.02086e-16j 0.0284906-3.13594e-16j -0.0415016+1.0566e-17j 0.0394019-3.39111e-16j -0.0278119+1.78426e-16j -0.0362742-1.58542e-16j 0.00925755+4.8359e-17j 0.00439857-3.22945e-17j 0.00318696-3.23119e-17j 0.0301543-1.09936e-16j 0.0386427-1.41331e-16j -0.0226251+1.44487e-17j 0.0345297-4.23929e-16j 0.0308816-4.11537e-16j 0.0337015+1.71443e-15j 0.0299133-9.29976e-15j 
-0.00520624+1.958e-15j -0.00653043+4.8154e-16j -0.00217958+1.27339e-16j 0.00661297-4.06312e-17j 0.0788196+3.78044e-16j 0.0529995+2.37502e-16j -0.112959-5.69458e-16j 0.0328031+7.79906e-17j -0.00701792+1.08096e-16j 0.0178996+1.86564e-16j 0.0396755+4.91607e-16j 0.0840192+4.41895e-16j 0.00458824+1.85789e-16j -0.00765845-3.21153e-16j 0.0369877+1.94489e-18j 0.00977267+4.00097e-16j 0.0587983+3.12286e-15j 0.047288+1.43141e-15j -0.06847-8.39066e-16j 0.0474248+5.87758e-16j -0.0389359-7.09322e-16j -0.0851893-1.30114e-15j -0.0462181-4.73107e-16j -0.00874944+1.60529e-16j -0.0053665+7.70315e-17j 0.0159576-3.30525e-16j -0.0134057-1.37082e-16j 0.0268805-3.9652e-16j 0.0219988-1.34424e-15j -0.00674689-1.37918e-16j 0.0510975+1.01977e-15j 0.0150312+6.07866e-16j -0.0334416-2.76629e-16j -0.0579471-5.20227e-16j 0.0324228+1.00074e-16j -0.013187+7.71991e-17j -0.0165626+5.03316e-16j -0.0084503+7.50919e-16j 0.042408+1.13899e-15j -0.0173265-1.63929e-16j -0.0216445+1.30187e-16j 0.00106107+2.38002e-16j -0.0141847-1.44463e-16j -0.0169975-4.43745e-17j 0.00515085+2.73629e-16j 0.0264341+4.2438e-16j -0.0127992-2.92081e-16j 0.00507465+1.71824e-16j -0.0254139-2.45068e-16j 0.036226+1.60499e-16j 0.000460917+2.75143e-16j -0.0325137-2.01065e-16j 0.0284554+1.53268e-16j -0.0130861-1.46026e-16j -0.0123429-2.27198e-15j -0.0256587+8.96372e-15j 
-0.0138103+4.39985e-15j -0.00442803+1.0048e-15j -0.0600014+2.97658e-16j 0.0124372-2.91249e-16j 0.0271259-9.09366e-17j -0.120989+5.7973e-16j -0.0711255+3.5822e-16j 0.0823629+7.36357e-17j -0.0801346+9.71231e-17j -0.00543714-8.60266e-17j -0.0799719+1.26707e-16j -0.0280564-2.17158e-16j -0.0434375+8.64378e-17j 0.0453377+9.36656e-17j -0.0353759+1.46096e-16j -0.0122763-9.69334e-17j -0.0278702-1.3128e-15j -0.0693621-7.76573e-16j -0.0406789+5.82534e-16j -0.0529744-2.13902e-17j 0.0418191+1.92459e-16j -0.037321+8.6777e-17j -0.0562245-3.56127e-17j -0.0896783+2.27939e-16j -0.0349874-5.00073e-17j 0.00926262-9.37209e-17j 0.00963712-2.25288e-16j 0.0115527+6.32891e-16j -0.0307969+6.62701e-16j 0.0195359-5.56972e-17j 0.010885-3.22194e-17j -0.0294543-6.55411e-17j 0.0282616+1.50308e-16j 0.0215932+1.46392e-16j 0.00228625-3.22491e-16j -0.0505702-3.09798e-16j 0.00448653+3.68901e-16j -0.0160269+6.61347e-16j 0.0474032+8.19416e-16j -0.0186035-2.2799e-16j -0.0317261+2.83921e-16j 0.0188014+1.51055e-16j -0.00800311-9.17517e-18j -0.0297218+1.40894e-16j -0.0463222-1.10532e-16j -0.0230631-4.07206e-16j 0.0430662+7.02277e-17j -0.0319022-6.6191e-17j 0.0340574+2.18841e-16j 0.0367426-1.13541e-16j -0.0738506-4.4435e-17j -0.00840303+1.20132e-16j 0.0266409-1.73888e-16j 0.0103638-4.68952e-17j 0.0695337-1.72392e-15j -0.0049711+8.03999e-15j 
-0.0145082+2.79427e-15j 0.0149152+1.17797e-15j 0.0461277+1.20116e-15j -0.0350477-8.55147e-16j 0.0558925+1.82223e-15j 0.0382557+7.81067e-16j 0.0958981+3.15095e-15j 0.13075+4.43172e-15j 0.012255+3.01667e-16j 0.0455169+1.40007e-15j 0.0678055+1.89916e-15j -0.0893379-2.63912e-15j -0.00922991-6.96717e-16j 0.0922569+2.67784e-15j 0.0338895+1.14624e-15j 0.078133+1.69125e-15j 0.0605908+4.82557e-15j -0.0617877-2.93401e-15j -0.00134909+3.94938e-16j 0.00200389+1.27839e-16j -0.00975157+4.68781e-19j 0.0741695+3.10843e-15j -0.013961-6.98886e-16j -0.0309918-1.11195e-15j 0.0652412+1.98786e-15j 0.0799338+2.65507e-15j -0.0511521-2.05715e-15j 0.0461176+1.09477e-15j -0.00222738-8.62337e-16j -0.0219878-9.13248e-16j -0.0343302-1.62087e-15j 0.0168996-2.50695e-18j 0.0132163+6.27952e-16j -0.00385745-3.48989e-17j -0.0436976-1.14784e-15j -0.00517976-3.01289e-16j 0.00437838-3.9098e-17j 0.00796899+2.2792e-16j -0.0107816-4.2734e-16j -0.0253796-1.31905e-15j 0.0143485-9.08369e-17j 0.0484024+1.41979e-15j -0.00285223-1.22207e-16j -0.00269853-1.46201e-16j -0.0107691-3.17758e-16j 0.0174801+6.73521e-16j -0.0487816-1.61904e-15j 0.0354155+1.16423e-15j 0.0066913+2.28909e-16j 0.0398339+1.26023e-15j -0.0171911-6.23433e-16j 0.0390044+1.2685e-15j 0.0431164+1.16647e-15j -0.00111583-1.83082e-16j -0.0193923+2.51359e-15j 0.0319772-1.33363e-14j 
0.00187268-8.77934e-16j 0.00452752-1.08548e-16j 0.0372955+9.9142e-16j 0.244325-7.36694e-16j 0.135761+2.78327e-16j 0.0598472-2.12297e-16j 0.043196-6.5562e-17j 0.0321318+6.97957e-18j 0.120594-1.57069e-17j -0.134659+3.79129e-16j 0.12361+2.02137e-16j 0.144217-1.08546e-16j 0.0554658+5.76245e-17j 0.0137381-2.38803e-16j -0.0704747+4.69033e-16j -0.033252-5.27704e-16j 0.0555088+2.99594e-15j -0.00843053-2.18865e-16j -0.0332685-8.11467e-17j 0.0220552+9.99071e-17j -0.0401098+1.7469e-16j 0.0894893+6.03466e-16j -0.0128988-2.01593e-16j 0.0560227+5.10693e-17j 0.0217063-6.75588e-17j 0.0333741+3.31786e-16j -0.0135194+1.78291e-16j 0.0243923-1.37509e-15j 0.0666551-2.63148e-15j -0.0823544-2.57884e-16j 0.0312332+4.11668e-16j 0.0358225-1.54222e-17j 0.00210221+3.01397e-16j 0.0324017-1.98261e-16j -0.0383437+2.22734e-16j -0.0787581-4.02496e-16j -0.0700985+1.05658e-15j -0.0226414-1.20819e-16j -0.0229196-1.36124e-15j -0.00720325+2.02951e-16j -0.0105645+1.52532e-16j -0.00887098+1.259e-16j 0.0388384+2.42173e-16j -0.0507476+2.10272e-17j 0.0454942+5.14627e-17j -0.0435438-2.94194e-17j 0.0834946-8.24491e-18j 0.0922415+2.1298e-16j 0.0825579+2.13396e-16j -0.00082542+3.69507e-17j 0.0690519+1.55501e-16j -0.0557225-1.90113e-16j -0.0151923-4.0404e-17j 0.0131676-4.65675e-17j -7.81014e-05-7.1778e-15j -0.0803797+3.18317e-14j 
