-0.036845-2.85927e-15j 0.156099-1.30431e-15j -0.0453-5.40642e-17j -0.0110402+2.54914e-17j 0.0457556-4.4258e-17j 0.106369-2.888e-16j -0.0496855-2.50737e-18j -0.0261087+1.46651e-17j -0.0625538-1.05272e-16j 0.124757+4.8039e-17j -0.0355024+4.81869e-17j -0.0403038-1.22628e-16j -0.0430747+1.1241e-16j -0.0659326+5.40479e-17j -0.0228201+1.47236e-17j 0.0105723-2.12825e-16j -0.043395+2.64827e-17j 0.0263076-4.19617e-16j 0.0210627-3.30571e-16j 0.0307695+2.09008e-16j -0.0155535+1.07112e-16j -0.0120659-3.00912e-16j 0.0256093-8.68175e-19j 0.0253371-4.66608e-16j -0.0333509+3.43928e-16j -0.031644-2.09855e-16j -0.00283541+4.49436e-16j 0.0247203-5.4852e-16j -0.00511157-3.91564e-16j -0.0238695+4.67536e-16j -0.00426383-1.62192e-16j 0.0065662-1.24792e-16j 0.00963479-7.99027e-17j 0.0103582+1.68013e-16j 0.0083026+6.07523e-15j -0.0146144-2.31785e-16j -0.00176609-3.99655e-17j -0.0201089-5.31817e-16j 0.0127119+2.82129e-16j -0.020004+5.32776e-16j 0.0169845+8.5949e-16j -0.00954108-2.24275e-17j -0.0142591-9.93766e-17j -0.00823777-1.56497e-17j -0.000353999+2.29104e-16j -0.0193532-2.0277e-16j -0.0194787-7.34767e-16j -0.0197536-4.07979e-16j 0.00791882-7.67666e-16j -0.0181109-2.12689e-17j 0.00224877+1.57191e-16j -0.0299968+5.64062e-17j -0.00472085+6.25998e-18j 0.00336742+5.87758e-16j -0.019525-8.65314e-16j 0.0155476+1.10897e-14j 0.0127878+6.95958e-18j -0.034909+3.96917e-17j -0.00821517-1.20617e-16j 0.0068393-3.91622e-17j 0.0329746-1.53402e-16j -0.00189579-4.8054e-17j 0.0611019-1.4314e-17j 0.0144508-9.76958e-17j 0.0312076+3.97033e-17j -0.0521116+3.39438e-17j 0.00475378+2.50484e-17j -0.0400934+4.96014e-17j 0.0699318+1.64184e-16j 0.00652578+1.37765e-16j -0.0609618-1.00581e-15j -0.0641658+2.43735e-15j 
0.144638-1.38716e-14j 0.0413762-6.24375e-15j 0.0786124+1.51047e-16j -0.0369836-1.16715e-16j 0.146264-7.81526e-17j -0.0624329+8.40188e-17j -0.0360244+9.40221e-18j -0.0182671-4.99518e-17j 0.124055+8.27378e-17j 0.0627402-4.29158e-17j 0.0248219-1.42947e-16j 0.0274658+1.47731e-16j -0.0710516-2.84806e-17j 0.0200308+4.46401e-17j -0.00282126-5.84981e-17j -0.0088902+4.6455e-17j -0.01786+2.84305e-17j -0.0221506+1.1799e-16j 0.0298994-1.50653e-17j 0.00093561-3.46831e-17j 2.86758e-05-7.609e-17j -0.0108132-1.7949e-16j 0.00414441+1.50445e-16j 0.0218202-3.05906e-16j 0.0272188+1.07453e-16j -0.0258843+4.36372e-17j -0.0379039+9.68136e-17j 0.0272977-9.42023e-16j 0.0203516-5.27191e-16j -0.0242153+7.4476e-16j -0.00998534-5.27074e-16j 0.0233376+2.2765e-16j -0.0176108+5.66461e-17j -0.00192424+2.44028e-17j 0.000625722+4.61379e-16j -0.0151423+5.17647e-17j -0.0288038-4.63506e-16j -0.00823852-3.17572e-17j -0.00356842+5.8706e-17j 0.0197704+2.29336e-15j 0.00698174+3.66849e-15j 0.0202087-2.22745e-17j 0.0176324+2.52244e-16j -0.0340081-5.00224e-16j 0.0228357-2.49661e-15j 0.0161178-4.30528e-16j -0.055213-1.46166e-15j -0.0442438-8.79944e-16j 0.0432083-4.56973e-15j -0.0191104-2.07308e-16j -0.0276632+2.48353e-17j 0.0231882-1.89766e-17j 0.00962394+7.34138e-19j -0.014454-1.84706e-15j 0.0271452+1.22312e-15j 0.0107329+7.5922e-15j 0.0280173+3.54427e-17j 0.0335678-4.25561e-17j -0.00445145+9.74357e-17j 0.0177271+7.08926e-17j -0.00642247+2.07457e-16j -0.0318413+1.42633e-16j -0.0499575-1.74315e-17j 0.0571889-7.5221e-17j -0.00562744-7.35738e-18j -0.00349351-1.44034e-17j -0.0222052-9.20515e-18j -0.00476321-5.87255e-17j 0.0313646-3.48984e-17j -0.0500628-3.26694e-17j 0.064432-2.7095e-15j -0.0691959+6.12979e-15j 
-0.0528075+5.04411e-15j -0.0146034+2.27489e-15j -0.0348239+2.27923e-16j -0.192941-3.28447e-16j 0.0496807-6.14362e-17j 0.0655943-2.17719e-16j 0.051753+3.31475e-18j 0.0652855+7.16579e-17j -0.0819701-1.06412e-16j 0.0739115+5.34568e-17j 0.0505806-4.51281e-17j -0.00213133-1.9148e-17j -0.0982806+7.4654e-17j -0.0261008+6.70768e-17j -0.0292424+1.80689e-16j 0.0399546-4.6474e-16j 0.0474082+7.14004e-17j 0.00406164+2.24276e-16j -0.0341144+1.26315e-16j 0.00141073-1.88545e-17j 0.00618516-1.33111e-16j -0.016495-3.79691e-16j -0.0238058+4.0217e-17j -0.0151722+1.539e-16j -0.0412683-5.79237e-18j 0.0105827+4.25581e-16j -0.0146391-1.08705e-16j -0.00284404-6.53194e-17j 0.0415199+1.09128e-16j 0.0338727+3.3036e-17j -0.00133635+4.7308e-17j 0.00272222+5.14374e-16j -0.0219195+3.65625e-16j 0.000798048-2.44515e-16j 0.0282168+1.97776e-14j 0.00136285-4.65481e-16j 0.019063+4.89468e-16j 0.0290244+5.48574e-16j 0.00772732-3.30326e-16j 0.0021415-1.4185e-15j -0.0126389-2.14123e-15j -0.00884873+4.60035e-17j -0.0153494-9.81385e-17j -0.0230871+6.17014e-16j -0.0174414+3.20951e-15j 0.0102288+2.97926e-16j 0.0347603+1.04132e-15j 0.036238+5.95233e-16j -0.0230043+2.45963e-15j -0.0108482-4.59474e-17j -0.00532832+6.12431e-17j -0.0164564+1.62888e-16j -0.0193486+8.03104e-17j 0.0421705+4.77627e-15j 0.0145443+3.4525e-16j 0.0207753+1.47231e-14j 0.0203745-4.98557e-17j 0.0205428-1.7469e-16j 0.0041025+1.56692e-16j -0.0778373+1.9343e-16j 0.0599148-4.8247e-16j 0.0405569-4.28535e-16j 0.0702135+3.85197e-17j -0.0136331-1.73337e-19j -0.100977-1.0394e-16j -0.0205636+4.10828e-17j 0.0283254+1.56213e-17j 0.0817954-3.58861e-17j -0.0405614-1.04288e-16j -0.0160792-7.22832e-17j -0.0801846+2.57333e-15j 0.0586326-5.96205e-15j 
-0.0283715+4.84907e-15j -0.0591506+2.32779e-15j -0.0904389+2.27148e-16j 0.0916271-1.05918e-16j 0.0495689-2.66356e-16j 0.0183191-2.52813e-16j 0.0951565-3.84072e-16j 0.0452331-1.32926e-16j -0.0557078+2.53086e-16j -0.0584132+3.2383e-16j -0.0199887+1.72585e-16j 0.0236229+6.90643e-17j 0.0380854-1.13466e-16j -0.10417+6.50371e-16j 0.0570259-7.58095e-16j -0.046088+7.81487e-16j 0.0743558-2.59551e-16j -0.0129126+2.69039e-16j -0.027114+3.52081e-16j -0.008787-1.02203e-16j -0.0527962+2.5161e-16j -0.00573145-3.03161e-16j -0.0109416+7.03868e-18j -0.0111946+7.56297e-17j -0.0128655+5.01117e-17j -0.0194624-8.82874e-17j -0.00159114+3.59387e-17j 0.00618625-3.67271e-16j -0.0261548-6.62619e-16j -0.0480664+4.97775e-16j -0.0521785-1.88592e-15j -0.0288063-1.58453e-17j -0.0218091+1.03631e-16j -0.0128955+3.44331e-16j 0.0264592+1.8214e-14j 0.0218016-2.95967e-16j 0.0365635+3.45258e-16j 0.0130602+1.33372e-16j -0.00287483-2.38804e-16j 0.0146999-1.46875e-15j -0.0209691-2.22197e-15j 0.00126573+1.7114e-16j 0.00568701+1.26197e-16j -0.0114739-9.20045e-16j 0.0358253-5.14934e-15j 0.0146658-1.24578e-16j -0.0155974-1.10173e-16j 0.01796+3.50496e-17j -0.018289+1.80273e-15j 0.0184153+1.18493e-16j 0.0205772-1.73619e-16j 0.0215526-2.22231e-16j -0.00398739-5.07187e-17j 0.021059+2.21315e-15j 0.0317484+1.09673e-15j 0.00231672+1.54471e-15j 0.0115348+4.79536e-19j 0.0242635-1.28668e-16j 0.0280829-9.19541e-17j -0.00592034+4.73982e-17j -0.0478552+3.2119e-16j 0.0251635-4.65688e-17j -0.0405234+2.35724e-16j -0.0568105+4.03562e-16j 0.0296583-1.32546e-16j 0.0461694-2.09698e-16j 0.0108794-7.47598e-17j -0.030283+1.69927e-16j 0.0345277-2.62162e-17j 0.0610629-1.76326e-16j 0.059848+7.63818e-16j 0.0624885-2.5617e-15j 
0.075144-2.68094e-15j -0.116445-5.471e-16j 0.0871445-4.61522e-16j -0.0337174+2.4151e-16j -0.0334707-3.92213e-16j -0.0940095+8.70625e-16j 0.0480918-1.405e-16j 0.00814928-5.54348e-17j 0.102529-5.63101e-16j -0.0108567-5.08422e-16j 0.0445055-1.5929e-16j 0.0461705-7.57607e-17j 0.036075+7.82426e-17j 0.0888436-5.95485e-16j 0.0347075-8.89071e-17j 0.00771863+1.95199e-16j 0.0242046-2.96627e-16j -0.0303209+3.60339e-16j 0.0318336-1.38207e-16j 0.00530054-1.56907e-16j 0.066323-5.7271e-16j -0.017017-2.75236e-17j -0.0125914+3.67877e-18j -0.0208631+4.06272e-16j 0.00817512-5.09651e-18j 0.00486762+2.91291e-16j -0.0330039+1.79439e-16j -0.0362367+4.66967e-16j 0.0132269+2.94528e-16j 0.0267111-9.46971e-16j -0.0179355-5.57285e-16j -0.0191911+2.23787e-16j 0.00154905+7.0552e-17j -0.00873403-1.02218e-16j -0.00878782-6.31636e-15j 0.0134702+1.14103e-16j -0.0200779-8.42701e-17j -0.00433817+3.40302e-16j -0.0264347+2.96113e-16j 0.0261136-2.04234e-15j -0.0330994-2.90523e-15j -0.00573036+6.16224e-17j -0.0346649-1.01253e-16j -0.00864928+3.72095e-16j -0.00375815+6.4363e-16j 0.0238983+1.16478e-17j 0.00456725+5.03185e-16j 0.0210884+3.4951e-16j -0.0152446+1.63886e-15j -0.010632+1.54328e-16j 0.00176939-1.279e-16j 0.0274209-2.12647e-16j -0.00295017-1.03898e-16j -0.0086384-9.67527e-16j 0.000911691-2.22065e-17j -0.0206834-1.45928e-14j 0.0112012-1.27432e-16j 0.00553513-1.05831e-16j -0.0195315+3.0135e-16j 0.0278908-6.19509e-17j -0.00469151+1.25802e-16j 0.00388502-2.92139e-17j -0.0352196+2.14115e-16j 0.0113194-2.19892e-16j -0.0359157+2.27985e-16j 0.0388979-2.31126e-16j 0.00513074+6.69277e-17j 0.0487943-2.13441e-16j -0.0751056+2.84924e-17j -0.0300832+1.38364e-16j 0.0521165-2.33454e-16j 0.0294348-3.8292e-16j 
-0.0974677+1.14252e-14j -0.0655467+4.58513e-15j -0.0315599+3.58709e-16j 0.060669-1.77603e-16j -0.162722+4.33608e-16j 0.028326-5.05654e-16j 0.0157786+1.28665e-16j 0.0084524-4.0752e-18j -0.0285796+5.23058e-16j -0.106365+2.44519e-16j 0.052095+4.08637e-17j 0.00103848+1.64087e-16j 0.105668-1.19527e-16j -0.00109494+3.32484e-16j 0.00831771+1.9616e-16j 0.00958925+4.4392e-17j -0.0218033+8.91029e-17j -0.010515+1.81115e-16j -0.0092354+3.67849e-16j -0.032496-2.61168e-17j 0.00645828+3.70597e-16j 0.032542+8.65534e-16j -0.0122828-2.535e-16j -0.0112927+1.19775e-16j 0.00332041-4.49745e-17j -0.0095881-5.85972e-16j 0.0397407-1.22775e-16j -0.0251237+2.41775e-16j 0.00270798-2.09076e-17j -0.0263611+4.80953e-16j -0.00528985-3.76527e-16j 0.00184941-2.22443e-16j 0.0154284-2.5354e-16j 0.00459895+1.62404e-16j 0.0130392+9.67268e-15j -0.042349-6.20103e-16j 0.0242171+4.19845e-16j 0.021112-1.11602e-16j 0.0315155-3.8625e-16j 0.0124628+1.40592e-15j 0.00243294+1.8745e-15j -0.00898297-2.99763e-16j -0.029609-3.35038e-16j 0.0231812+6.97488e-16j -0.0321045+4.08774e-15j -0.00451789+4.03373e-16j 0.0436076+9.87508e-16j 0.0249349+5.59788e-16j -0.0227554+2.44545e-15j 0.00864776+1.10625e-16j 0.027433-1.97421e-16j -0.00110374+4.3799e-17j -0.0211126+4.0158e-17j 0.0107673+1.42638e-15j -0.0328543-1.33643e-15j -0.00931992-6.70822e-15j -0.0300297+1.70187e-16j -0.0193384+2.32817e-16j 0.0233392-2.86941e-16j 0.0317502-4.85305e-17j 0.0273731-2.46947e-16j 0.00585697-1.98706e-16j 0.02416-2.17847e-16j -0.0356286+2.20702e-16j 0.0206131-1.85987e-16j -0.00475455+1.86031e-16j 0.0202257-7.38065e-17j 0.00759079+1.88692e-16j -0.0456918-2.02158e-16j 0.0346039-2.56228e-16j -0.0398125+2.22969e-15j 0.0503263-4.33525e-15j 
-0.0135746-4.66306e-16j 0.0426281-1.49307e-16j -0.0460676+8.08428e-18j -0.0304894-1.30412e-17j 0.142762+1.14876e-16j -0.0520031+2.30357e-17j -0.0643713-1.13925e-16j -0.0466081-8.84678e-17j -0.0158209+3.69403e-17j 0.0870323+1.68509e-16j 0.00202651-2.71873e-17j -0.00444132+3.9295e-17j -0.0314889-4.69522e-17j -0.00183667+6.6293e-17j -0.0464253+1.0018e-17j -0.0329713-1.81111e-16j 0.00659051+4.81629e-17j -0.0195404+7.57387e-16j -0.0781797+3.56682e-16j -0.00688782+2.98442e-16j -0.0124691-3.13179e-17j -0.0142062-3.78326e-16j -0.00641167+3.81706e-16j 0.0479853-8.46787e-16j 0.045421-8.23072e-17j -0.0213238-1.45796e-15j 0.0767124+7.02966e-16j 0.0306914-2.45979e-16j 0.0343708-2.33654e-16j 0.0102612+1.12759e-15j 0.00136703+3.50825e-16j 0.00281837+1.99035e-16j 0.0142998+2.79087e-16j 0.00587436+2.25668e-16j 0.0700097+4.92488e-14j 0.024538-5.7562e-16j 0.04352+1.02997e-15j -0.0167586-5.17266e-16j 0.0144612+3.79197e-16j -0.0422659-3.06496e-15j 0.000778421-4.63577e-15j -0.052503+3.26797e-16j -0.00118595-2.437e-16j 0.00318391-1.52173e-15j 0.0635388-9.35598e-15j 0.0186457-3.84037e-16j -0.0539681-1.42436e-15j -0.00125419-4.41691e-16j -0.0234949+2.32619e-15j -0.0170243+1.73885e-17j 0.0276682-3.52844e-17j 0.012477-6.94101e-17j -0.0516992-8.28978e-17j 0.0495535+5.69427e-15j 0.0227941+7.32471e-16j 0.0249019+1.75821e-14j 0.0210985-4.98191e-18j 0.0395869-7.86118e-17j 0.0220842+5.84179e-17j -0.0410766+4.38752e-17j -0.0230916+9.09699e-18j 0.0109986+1.31951e-16j 0.0437406+9.81909e-17j 0.00763102+1.19385e-17j -0.0145024-1.04303e-17j 0.0129469-2.27172e-17j -0.0541995-2.29596e-17j -0.0163142-7.74082e-17j 0.0911188+2.99059e-16j 0.0392621+2.00145e-16j -0.036494+1.15507e-15j 0.0275969-2.77121e-15j 
0.0135891-2.40059e-15j 0.0356873-7.40948e-16j 0.057647+6.67548e-16j -0.00656675-1.36359e-16j 0.0740232+8.63054e-16j -0.100036-6.26419e-16j -0.189462-2.03447e-15j 0.0677892+7.84988e-16j 0.0998917+1.16532e-15j 0.0447347+3.80968e-16j -0.0227349-3.3368e-16j 0.0676302+1.14836e-15j 0.0331582+3.00417e-16j 0.0478427+3.81453e-16j -0.0299877-4.44468e-16j -0.0548515-3.55996e-16j -0.0330832-3.96971e-16j -0.0308641+9.78281e-17j -0.0421001-4.09728e-16j 0.0418418+1.23848e-15j -0.0418966-3.09868e-16j 0.0234881+9.63336e-16j -0.00331027-6.09011e-17j 0.0198186-1.52569e-16j 0.000184569-5.4754e-17j -0.030708-1.238e-15j 0.0287777+1.13415e-15j 0.075209-1.95055e-16j 0.0182292-3.55627e-16j 6.80481e-06+4.41334e-16j 0.02215+1.82474e-15j -0.0317656-6.43296e-16j 0.00277546+2.50462e-16j 0.00108798-1.35692e-16j -0.0186433-1.37855e-14j 0.0432663+1.52858e-15j 0.00402631-3.21717e-16j -0.0479074-1.80223e-15j 0.0624107+1.73796e-15j -0.0261039-3.1506e-15j -0.00873875-4.53297e-15j -0.0683867+2.78724e-17j 0.0804745+9.55468e-16j 0.0375938-1.03037e-15j 0.0570637-8.61212e-15j 0.0199096+1.17523e-16j -0.00243796-2.06691e-16j -0.0343925-8.57315e-16j -0.00448637+4.67182e-16j -0.0245896-2.25177e-16j 0.0305307+3.29513e-16j -0.0328111-3.45726e-16j -0.0342403-1.75638e-16j 0.00916143+1.50919e-15j -0.0471675-2.64781e-15j 0.0243905+1.74193e-14j -0.0111207-2.81865e-16j 0.0870184+6.22859e-16j -0.0375467-1.55794e-16j -0.00533461+1.15027e-16j -0.0131325+1.54123e-16j -0.060911-2.49855e-16j 0.0113658+1.32018e-16j 0.0382564+2.77006e-16j -0.00348531+3.77087e-17j -0.055194-6.11311e-16j -0.130313-1.24978e-15j -0.0332812-3.3189e-16j -0.0353854-4.23464e-16j -0.00855265-1.10023e-16j -0.0679236-7.12186e-16j -0.0294068-3.22362e-16j 
0.0590818-5.27461e-15j 0.00187994-2.33425e-15j 0.0703624-1.60967e-16j -0.0162363-3.36421e-17j -0.0104805+1.23897e-16j -0.16767+9.70234e-16j 0.0169024+4.73724e-17j -0.0337007+5.24308e-18j 0.151868-3.5518e-16j 0.0106108-1.27182e-16j -0.048911+2.21456e-16j -0.0785745-1.08936e-16j 0.0226186-1.74779e-16j 0.0252683-1.33947e-16j -0.0466895+3.71413e-16j 0.00568019-3.3374e-16j -0.0444291+1.82112e-16j 0.00670766+3.03089e-16j -0.0727181+5.15254e-16j 0.00872966+3.48236e-16j 0.0356751-1.83368e-16j -0.00983595+4.60036e-17j -0.0171445+4.70546e-16j 0.0552355-1.02207e-15j 0.0751634-1.17628e-16j -0.0475354-1.9985e-16j -0.0571268+4.47822e-16j -0.0485376+1.38956e-15j -0.0269028+1.20967e-15j 0.0387499-7.86049e-16j 0.0222963+3.43293e-16j 0.0355746+7.81942e-17j 0.015743-1.34702e-16j 0.0198898-1.95745e-16j -0.0152528-1.0848e-14j 0.0403965+6.78321e-16j -0.00130262-2.18577e-16j 0.0446604+9.94121e-16j -0.013229-3.98735e-16j 0.0249126+6.67582e-17j -0.0158169+1.56975e-16j -0.00136259-2.17751e-16j 0.0175891-4.594e-18j 0.0555714-1.65152e-15j 0.0515347-9.2663e-15j -0.0240748-5.6396e-16j -0.0863573-1.81837e-15j 0.0416512+6.44554e-17j 0.015056-1.15254e-15j -0.0542648-1.20433e-16j -0.00112947-5.03721e-17j 0.00770006+3.03139e-18j -0.0030059-1.29738e-16j 0.012257+1.21527e-15j 0.0309459+1.19922e-15j -0.0062405-4.29846e-15j 0.047639-7.79669e-17j -0.0147519+7.48922e-17j 0.0134226-9.79329e-18j -0.0180426+6.66497e-17j 0.025012+6.80184e-18j -0.0504218+3.35672e-16j 0.00140586-8.73569e-17j 0.0750769-4.05657e-16j -0.0570681+1.848e-16j 0.0374145-6.76149e-17j -0.0873147+4.15849e-16j -0.0559802+1.97162e-16j 0.000182756-1.68844e-17j -0.0632076+1.42917e-16j -0.0184876-1.71782e-15j -0.0735135+4.40676e-15j 
-0.0207456+1.80743e-15j -0.000551447+8.19491e-16j -0.00733667+1.35293e-16j -0.187885-4.02869e-16j 0.028683+7.77403e-17j 0.0709759-8.80751e-17j 0.0283562+1.75405e-16j -0.0262943-2.60702e-17j -0.07531-2.22728e-16j 0.0741038-2.37986e-18j 0.0835479-8.9104e-17j -0.029987-3.51542e-16j -0.130132-1.62477e-16j 0.0479477-6.10004e-17j 0.0398729+2.00137e-16j 0.0175712+3.02507e-17j 0.0140121+1.45838e-16j -0.0169258+4.30762e-16j -0.0440311+3.25204e-16j -0.0234701-1.80861e-16j 0.0173799-1.9236e-16j -0.00584876-1.9058e-16j -0.0310273+1.86323e-16j -0.0181505+1.15893e-16j 0.0268514-3.82319e-16j 0.0648083+2.94046e-16j 0.0460833-7.7777e-16j -0.0348781+5.55614e-16j 0.0263229+4.78865e-16j 0.0191066-2.56228e-17j 0.0305649+1.27637e-15j 0.00542151+2.12726e-16j -0.0343112+3.00241e-16j -0.0137896-4.11023e-16j 0.0239506+1.67702e-14j -0.00880441-8.04419e-16j 0.0462045+1.31971e-15j 0.0376908+8.09591e-16j -0.0173493-8.15228e-16j -0.015206+4.36607e-15j 0.0425162+6.85812e-15j -0.0108524-7.42813e-16j -0.062472-4.50462e-16j -0.038344+2.0614e-15j -0.074947+1.18929e-14j 0.0112454-2.11476e-17j -0.00225119-1.48529e-16j -0.00441055-1.02479e-16j 0.0170775-1.52023e-15j -0.0375877-2.70972e-16j -0.0114704+1.74507e-17j -0.0122584+5.47874e-17j -0.0264507+1.86556e-17j 0.0202756+2.3295e-15j 0.00813692+3.66677e-16j 0.0247569+1.75578e-14j -0.0139467+4.82254e-17j -0.0126261+8.58067e-17j 0.0495879-2.06366e-17j -0.0318707-3.70694e-17j 0.0645576-3.24397e-16j 0.0161388-2.72634e-16j 0.037214-9.36357e-17j 0.0160247-1.17238e-16j -0.0582696-3.46325e-17j -0.026108+5.25702e-17j 0.0562654+9.66905e-17j 0.103642-3.79997e-18j -0.0148153-5.47288e-19j -0.0271115-4.60831e-17j -0.0579849+1.75595e-15j 0.0354121-3.85605e-15j 
-0.0758638+5.58375e-15j 0.0103438+2.66201e-15j 0.0294764+1.8517e-16j 0.0177697+1.70904e-16j -0.19856-1.05955e-15j -0.0114085+1.95326e-18j -0.120898-8.44367e-16j -0.104444-5.92934e-16j 0.0338949+3.92728e-16j -0.0821037-7.54844e-16j 0.0415091+3.01746e-16j 0.00387103+2.24053e-16j 0.0657646+5.75064e-16j 0.0897705+2.67239e-16j -0.0752768+5.11346e-16j 0.122994-3.83442e-16j -0.144995-9.73232e-16j -0.00156558+3.70476e-16j -0.00345699+1.22726e-16j -0.0372135-2.54579e-16j 0.0753721+5.39151e-16j 0.0489923+2.42052e-15j -0.0184966-2.38932e-16j 0.0494879-5.35375e-16j -0.00329674-7.67989e-17j -0.00178571-1.20273e-15j 0.0831067+8.77764e-16j 0.0168188+6.18382e-16j 0.0112061+7.69878e-16j 0.0269883+5.7041e-16j 0.06926+3.10386e-15j 0.0381773+2.19241e-16j 0.0355077+1.17477e-16j 0.0247498-8.6373e-18j -0.00632399-3.32459e-15j -0.0730369-1.60989e-15j 0.0188312+7.75345e-16j 0.0150678-1.83836e-16j 0.0466475+4.4588e-16j -0.0566655-1.53843e-15j 0.0273135-1.71325e-15j -0.0205332-5.64019e-17j 0.00495291-2.62187e-16j 0.0528967+2.04212e-15j -0.0622471+7.45381e-15j 0.000354888+4.36856e-16j 0.0395324+1.28161e-15j 0.00454703+2.58857e-16j -0.0280801+2.76237e-15j -0.0218667+4.31988e-17j 0.0076225-2.34057e-16j 0.0253368+1.42423e-16j -0.041542-3.06344e-16j -0.027189-3.0522e-15j -0.040712-1.71067e-15j -0.0299324-2.13485e-14j -0.0789071-5.98255e-16j -0.0522598-1.11721e-17j 0.000821418-3.65804e-16j -0.0125978-2.92814e-16j 0.0447144+7.75575e-17j -0.0158462-1.44665e-16j 0.0656371+3.60809e-16j 0.0386248+9.02529e-17j 0.0243366+2.20818e-16j 0.00779272+7.67987e-17j -0.00128804-6.47263e-17j 0.0403845+3.11024e-16j -0.00106816-5.17281e-17j -0.00930292-1.71571e-17j -0.0764922+5.26573e-16j 0.000802899-2.05975e-15j 
