0.111014-0.508799j -0.101281-0.0244901j 0.0204844+0.00957702j 0.00656558+0.0295135j -0.0269831-0.00358886j -0.0219007+0.0219053j -0.00478593-0.0028031j -0.00791634-0.00840295j -0.0062833+0.00121444j 0.0229567-0.00394568j -0.0171126-0.0169765j -0.0169528+0.0235816j -0.0128189+0.0298771j 0.0154315+0.0391155j 0.0114692+0.0138359j 0.00115554+0.00146832j 0.00635923-0.0034569j 0.000604072-0.00633935j 0.00351104+0.00212164j 0.000870517-0.00241364j -0.0141675+0.00205185j 0.00757254+0.0103438j 0.00249308-0.00862953j 0.0218198-0.00204253j -0.01089+0.000132177j -3.85031e-05+0.00432463j 0.00602119-0.0193159j 0.0174198-0.00122027j 0.00214809-0.00799693j -0.0128738-0.00325441j -0.0158563+0.00746877j 0.0139394-0.00385322j 0.00990198+0.00448689j -0.00221586-0.00684833j -0.0117099-0.00070917j 0.00178581+0.00247694j -0.00378924-0.00433288j 4.27363e-05+0.00152644j 0.00517965-0.00158778j 0.00148868-0.000860226j 
-0.706641-0.0553471j -0.025991+0.0134145j -0.0202934+0.021938j -0.0423899-0.00531198j 0.00882366-0.041864j -0.02062-0.0195834j 0.00709798+0.00319379j 0.00939189+0.001387j 0.0251164+0.00535525j 0.0312035+0.00179239j 0.0174151+0.00233907j -0.00928269-0.00311981j -0.0168079+0.00642499j -0.030829+0.00680214j -0.00929978+0.00783435j -0.00215893-0.00217418j -0.00693772+0.00301485j -0.00438376+0.0037733j -0.00411581+0.00502868j -0.00118871+0.00208872j 0.00590228+0.00236826j 0.0103267-0.0257003j -0.00755353-0.00504247j -0.00268554+0.0319055j -0.000333787-0.011998j 0.00644631+0.000700771j -0.027948-0.000207288j -0.000447218+0.0007635j -0.0060856-0.0149707j -0.000713541+0.0110227j -0.00512257-0.0193236j 0.00497482+0.0241688j 0.0019065-0.0238193j -0.0114402-0.00935451j -0.00432562-0.00525217j -0.000435071-0.000446524j 0.00082526+0.000179919j 0.0116261+0.0063834j 0.00324612+0.00437976j 0.00148288+0.000130563j 
0.0341074+0.504425j -0.0946102-0.0233426j -0.0121845-0.0135869j 0.00953074-0.0230157j 0.0304491+0.0103364j 0.0107011-0.0210174j -0.00880223+0.00845783j -0.0112078+0.00713542j -0.00914132+0.0406919j 0.026001+0.0365534j -0.0227313+0.0113049j -0.00796386+0.0155138j -0.0173574+0.010931j 0.0110473-0.00724925j 0.00118666-0.0030582j 0.000930673-0.00196093j -0.00587148+0.00190054j -0.0040789+0.00457553j -0.00272705-0.0043844j 1.23235e-05-0.000655096j 0.0105784+0.000501048j -0.00891817-0.00426923j -0.00481927+0.00632507j -0.0212892-0.0066083j 0.00990017+0.000840378j -0.000987904-0.0052962j -0.00062281+0.0203277j -0.0145642-0.00212978j -0.000715267+0.00663371j 0.01016-0.00248533j 0.0159479-0.00219913j -0.0158372+0.00209643j -0.0135934+0.00267108j 0.00465107+0.00540344j 0.00933679+0.00240991j -7.0801e-05-9.87946e-05j 0.00204954+0.00514322j -0.00549127-0.00435444j -0.00557976-0.00161835j -0.00247282+0.000961126j 
-0.0521656-0.05814j 0.443103-0.364699j -0.015408-0.0432788j 0.0220079+0.044248j -0.0114685+0.0234788j -0.0481339-0.0489362j 0.0158445+0.0132825j 0.00348022+0.000673352j -0.00186069+0.00842728j -0.0046398-0.0205383j -0.00273871-0.00396147j 0.0231622+0.0157127j -0.0207995-0.0262493j -0.00321496-0.00158222j 0.00263247+0.00301812j 0.00127835-0.00130017j 0.002709+0.00159466j -0.00449697-0.00257128j -0.000126951-0.00658434j 0.00117506-0.000833313j -0.00982081-0.00191672j 0.00535056-0.00136005j -0.00386305-0.0106247j -0.00137633-0.00587822j 0.00426964+0.00109625j -0.00240351-0.00857243j -0.0111814+0.0042786j 0.0103096+0.00129857j 0.00678362-0.0352201j -0.00320062-0.00827582j -0.0186304-0.00194677j -0.0100202+0.00828141j -0.0164197+0.00546185j 0.00508678+0.000138667j 0.00507173+0.00232028j 0.00419929+0.0302425j 0.00980405+0.00852466j -0.00693013-0.0291807j -0.0158648-0.0126365j -0.0144679-0.0080865j 
0.084763-0.0730359j 0.141329+0.282735j -0.0158487+0.0135184j -0.0278291-0.012476j -0.0527402-0.0125137j 0.0559296+0.012938j 0.0196029-0.00662256j 0.00335136-0.0258599j 0.0189328+0.0205297j -0.0242559-0.00685094j -0.0200654-0.00603661j 0.0125771+0.00119366j -0.0206953+0.0153627j -0.0027737-0.00781149j -0.00505354-0.00101282j 0.0030247-8.78448e-05j 0.0121657+0.004686j -0.00181214-0.00334529j -0.00622549-0.00207432j -0.00568233-0.000515879j -0.0123693-0.00602151j 0.0105432+0.000957293j 0.0146419-0.010465j 0.0022597-0.00205587j 0.0217749-0.00363155j -0.00929622+0.00197049j -0.000969731-0.000915672j -0.0018352+0.00381868j -0.0318018+0.002286j 0.00699271-0.00943412j -0.00175314-0.00733804j 0.010852-0.0117106j 0.0102929-0.0122617j -0.000735439+0.00940012j 0.0126624+0.00982453j 0.0137109-0.00917156j 0.0136139+0.00153162j -0.00104545+0.0183837j -0.0193565+0.00613488j -0.0043079+0.00634175j 
0.000768618-0.00709497j -0.270257-0.00101799j -0.070237+0.0636771j 0.0318594+0.0402149j -0.0137971+0.120424j -0.0519798-0.0965777j 0.0108155+0.0233862j -0.0303431+0.0312124j 0.030967-0.00914521j -0.0248155-0.00678461j -0.0285569-0.00837481j 0.0107859+0.0342306j -0.0183911-0.0387246j -0.00537301+0.012183j -0.0299775+0.0175372j -0.0093405-0.00289422j -0.00970697+0.00299018j 0.00386125+0.01338j 0.00234806+0.00209091j 0.00156661-0.00852861j 0.00768905+0.00825938j -0.00285387+0.00108798j -0.00157404+0.00958218j 0.000105614+0.00305921j -0.00888764-0.000218284j 0.00343941+0.000845856j 0.00656103-0.0033652j 0.00218824-0.00468574j -0.00721584+0.00810416j -0.000528914-0.00184468j 0.00862119+0.00165241j 0.00136247-0.000627501j 0.00516567-0.000207114j 0.00384754-0.000717252j -0.00558356-0.000879108j -0.000455131-0.00799335j -0.00669443-0.000657428j 0.00285363+0.00939358j 0.00593926+0.00477614j 0.00436004+0.00198438j 
-0.0705478-0.0580102j -0.160285+0.343068j -0.0301988+0.0490433j 0.00453693-0.0361913j -0.0123744-0.00557159j 0.00998019+0.0233071j -0.00889647+0.0232897j 0.0280544+0.0186818j -0.0189867+0.00753257j 0.00855479-0.0152081j 0.0190891-0.0235019j -0.00375129+0.00552397j -0.0170277-0.00712228j 0.018661-0.00125205j -0.000764188-0.0183348j -0.00638301-0.000905822j -0.0184537+0.00144063j -0.00883517-0.00820224j 0.00766239+0.00203767j 0.015115-0.000472223j 0.00129729-0.00605726j -0.000225427+0.00624292j 0.0250968+0.0151331j 0.00998443+0.00514187j 0.00928291+0.0120118j 0.00462921-0.00200771j -0.000390249-0.00225456j -0.00103736+0.00079895j -0.00581894-0.00381716j 0.0242068+0.00324284j 0.0213439-0.00423586j 0.0121513+0.00051794j 0.0140599-0.00679701j -0.00512372-0.000125878j -0.0165501+0.00603412j 0.00850949-0.00110286j -0.0106036+0.00628j -0.0143313+0.00807354j 0.00756758-0.0138945j -0.00163888-0.00255774j 
0.0142908-0.0539328j -0.403559-0.382362j 0.0510157-0.00619102j -0.00478104+0.0456223j 0.0678664+0.0357422j -0.0149797-0.0501485j 0.00973758+0.0117999j 0.0304915-0.0218936j -0.00848476+0.00212649j -0.00360124-0.00205458j -0.00695813-0.0226683j -0.00863359-0.00526568j 0.00427999+0.0238004j 0.00464136-0.023422j -0.0169326-0.00353022j -0.00631447+0.0147558j -0.0127573+0.0263492j 0.000381863+0.0253694j 0.00565653-0.0100968j 0.000713775-0.0290961j 0.016792+0.0131218j -0.00297882-0.00189062j -0.00629201-0.00728847j -0.00418316-0.00850365j -0.0186133-0.00383968j 0.00277236-0.00705746j 0.00358998-0.000506165j 0.00143274-0.0155212j 0.00466218-0.00141411j -0.0167951-0.0167297j 1.93131e-05-0.00430503j 0.000152399+0.0103468j -0.00677233+0.00919475j 0.000902474-0.0170583j -0.0109864+0.0104002j 0.00702398-0.00911808j -0.00389443+0.00749168j -0.00682567+0.00956247j -0.00395763-0.0100268j -0.00320477+0.00226068j 
-0.00573502-0.0032624j -0.14992-0.0713322j 0.252224+0.0177226j -0.257859+0.0694702j 0.0642941+0.0945793j 0.458753-0.183966j 0.00122-0.0416176j 0.0290737-0.0296059j 0.00936945+0.0343498j -0.014286-0.024186j -0.00245598+0.0176144j -0.0200255+0.0126163j -0.019866-0.0348971j -0.00441745-0.000502694j 0.0753935+0.0206298j -0.00860408-0.0140784j -0.00212217+0.00565795j 0.000291687+0.0136194j -0.000470375+0.00472896j 0.00403271-0.000277751j 0.00676308+0.00564104j 0.00424796+0.00851939j -0.006901+0.0119108j 0.00010433+0.000258499j -0.00614756-0.00289708j -0.000475938+0.00481511j 0.00420625-0.00364707j -0.00374953+0.00609732j -0.016017-0.00964813j 0.0127439+0.00324169j 0.00772946+0.0148298j 0.00491861+0.0062313j 0.00567268+0.000651783j 0.0406432+0.0146182j 0.00575606+0.00426797j 0.0148369-0.000276303j 0.00479514+0.0120906j 0.0203592+0.0214934j 0.015054-0.00692757j 0.0202306-0.0159822j 
0.00952428-0.0308279j 0.0508901+0.00308001j -0.272722-0.0115466j 0.209603-0.18075j 0.35635-0.0944338j 0.248766-0.0903111j -0.0184165+0.0309793j -0.00994993+0.0427415j -0.00143145-0.00567437j -0.00069357-0.00693432j -0.00327773+0.00249986j -0.0187941-0.0140487j -0.000767774-0.0180815j 0.0272335+0.015491j 0.0249385+0.00558985j -0.0071399+0.000232444j -0.00267065+0.00393668j 0.00330473-0.00237237j 0.000375999-0.00121742j -0.00573556+0.00700109j -0.000685311-0.010666j -0.00318254+0.00399501j 0.00641463-0.00773535j -0.00193574-0.0132876j -0.00903495-0.0179013j -0.005098+0.00955915j -0.0067099-0.00711531j 0.0115277+0.00747803j 0.0285341+0.0179695j 0.00631957+0.00625778j 0.0171427+0.0273827j 0.0162924+0.0285658j -0.00789378-0.0117773j -0.00510737-0.00243445j 0.00987875+0.00545954j 0.0310051+0.00370942j 0.00451899+0.00549688j 0.00889604-0.00383923j 0.00461081-0.00526766j 0.00450066-0.00277807j 
-0.0127183+0.00486443j -0.037073+0.0481757j -0.0761927+0.0440462j 0.0548503-0.0281299j -0.0408863+0.0868173j 0.0216916-0.143225j 0.0356442+0.0329574j 0.0106852-0.0292837j -0.0379291-0.0166541j 0.0314023+0.00531039j -0.0273124+0.00734443j 0.00344514+0.0301425j 0.0463655-0.0127453j -0.0217339-0.034179j -0.0171303+0.0594991j 0.0127279+0.00470027j -0.00202368+0.00351178j -0.00412893-0.0113148j -0.00248053-0.00181838j -0.00900413-0.00496052j -0.00647402+0.00297485j -0.00504917+0.000299529j 0.0044674+0.00988574j 0.00236867+0.00896142j 0.0102428+0.0110932j -0.00237496+0.0021532j -0.00579115-0.0111284j -0.00466854+0.00374316j 0.0101526+0.00684087j -0.0126332-0.00808936j -0.00701445+0.00650259j -0.000289446+0.00158596j -0.0126716-0.0212106j -0.00495201+0.0212242j -0.010156-0.00617016j -0.00292663+0.00109538j -0.00819517-0.00638031j -0.0165997-0.00137704j 0.000265572+0.00743614j -0.00630997+0.00630314j 
