-0.0013953-0.00783207j 0.00790503-0.00118712j 0.00605504-0.00506309j -0.00575322-0.00702389j 0.00533947-0.000927316j -0.00460083-0.00100185j 0.00320897+0.00628655j 0.00672651-0.00315574j -0.000289799+0.0023846j -0.000832013+0.00225856j 0.000310351+0.00356447j -0.00463497-0.00151071j 0.00385395-0.00476374j 0.00134863+0.0018427j 0.000720408-0.000893814j -0.00110593-0.00169276j -0.00198148+0.000721381j -0.00164394-0.00288932j 0.00230838-0.000678892j -0.00367099-0.00487529j 0.000411274+0.0020244j -0.000977789+0.00147396j 0.00230106-0.00436242j 0.00323502-0.000394887j -0.00215138+0.000816135j -0.00263676+0.000364742j 0.0010907-0.000166208j -0.000138007+0.00240487j 0.00011548-0.00208563j -0.00201224+0.00176721j 0.000740206-0.000544542j 0.00275366+0.00257796j -0.000351005-0.000532185j 0.00097837-0.00147847j -0.00274508-0.00143251j -0.0013103-0.00383887j -0.00272548-0.00150088j -0.00131772+0.00433586j -0.000735362+0.000924293j -0.00033751+0.00261747j 0.00070654-0.00174796j 0.00128939+8.92661e-05j 0.00157374-0.000320812j 0.000569578+0.000826309j -0.00134431-0.00322419j 0.003375+0.00128774j -0.00141079+0.000222538j -0.00132063-0.00236194j -0.000311546+0.000412096j -0.00262436-0.000493759j -0.000233994-0.00294244j -6.97888e-05+0.0025255j -0.000942332-0.000801498j -0.000586314-0.000252664j -0.00111154-0.00329506j -0.000233362+0.00108216j 7.80813e-06-0.000176191j 0.00182861+0.000940418j 0.00323502-0.00420672j -0.000727746-0.00107014j 0.00163189-0.000454993j -0.00212823-0.00336487j 0.00113917+0.00551482j -0.00499675-0.000176695j 0.00186069-0.00069292j -0.00688324+0.00926841j -0.0108827-0.00661954j -0.00936141-0.0087631j 1.4913e-05+0.00812076j -0.00101588-0.00427816j -0.00781374-0.00612179j -0.00144963+0.0076349j 0.00127194-0.00587144j 0.0107734+0.00516837j -0.00540472+0.00734589j -0.011363+0.0130906j 0.0145652+0.0124374j 
-0.0076057-0.000638787j 0.000437121-0.00750502j -0.00281334-0.00306345j -0.00390679+0.00321671j -0.00453306-0.00185277j 0.000808875+0.00682925j 0.00579658-0.0033313j -0.00419829-0.000815899j -0.00153928-0.0006769j 0.00232518+0.00130676j 0.00552379+0.00479142j -0.00379901+0.00935015j -0.00307605-0.00159434j 0.00399256-0.0018388j -0.003468-0.00366523j 0.00204483+0.000756856j 0.00143665+0.00147387j -0.00047374+0.00202812j 0.000951931-0.0020612j -0.00415715-0.00281224j 0.000477425-0.000951098j -0.000647193-0.00172204j -0.000231501-0.00217382j -0.000110529-0.00452283j -0.00188727+0.00128682j -0.00193809+0.00381512j 0.00214917+0.000933201j 0.00316564+0.000628998j 0.000406007+0.000346712j 0.00481991+0.000800602j -0.00180547-0.0010912j -0.000450627-0.00256658j 0.00112108+0.000282753j -0.00050663+4.45481e-05j -0.000315848+0.000609219j -0.000991903-0.000266208j 0.000517377+0.00233473j 0.00173512+0.000430099j 0.000624164+0.00278034j -5.3141e-05+7.19288e-05j -0.000414319+0.00128347j 0.00162375-0.00239319j -0.000735831-0.000504009j -0.000860629-0.000757591j -0.000856254+0.000691991j 0.00304166-0.00150732j -0.0013178+0.000162466j 0.00252282-0.000926078j -0.00156026+0.000921925j 0.00251197-0.0012978j 0.00261091+0.00352371j 0.000381367+0.001814j 0.00306038-0.000829203j -0.00325337-0.00357928j 0.00260278-0.00223437j -0.00201853-0.00172369j -0.00113004-0.00116027j -0.00055134-0.00188541j -0.000956383+0.00250629j 0.000336195-0.000627379j 0.000687838-0.000345973j 0.00207774-0.00457518j -0.00509842+0.00104152j -0.00387084-0.00467515j 0.00346262-0.00248231j 0.0121394+0.00378559j -0.000688202+0.0113918j -0.00593844+0.00579806j 0.00742023+0.0109394j 0.00186292-0.00755593j -0.00534243+0.00456042j 0.0102613+0.00228969j -0.00475381-0.013254j -0.000493202-0.00766161j 0.00681149-0.0019347j 0.0126352+0.0137806j 0.0133592-0.01154j 
0.00698076+0.000442427j -0.000919737+0.00646223j -0.00303177+8.8197e-05j 0.00238115+0.00246417j -0.000303347-0.00371821j -0.0029615-0.00306151j -0.00497283+0.000969823j -0.00573766+0.00129001j -0.00413263-0.00882798j -0.00174271+0.00323311j -0.00658975+0.000565425j 0.000232642-0.00275669j -0.00462726+0.00119398j 0.00403761+0.00166078j -0.00456415+0.000176612j 0.0017016+0.00171591j -0.000130548+0.00263744j 0.004746+0.00272363j 0.00241664+0.00543114j 0.000368119-0.000716975j -0.000377436-0.00266299j 0.00244934-0.00240514j 0.000601246-0.00086714j 0.00457216-0.00203351j 0.000507831+9.4182e-05j -0.00265565-0.00128055j 0.00121687-0.00284575j 0.000155396-0.00241335j -0.000676181-0.00202842j 0.00159834+0.00136269j -0.00214418+0.000381161j -0.0034809+0.000124337j -0.00297563-0.000725874j 0.00394913+0.000722197j -0.00236171-0.000704878j 0.000243327-0.00223597j 0.000315525+0.00393096j -0.00269578+0.00159746j -0.000746187-0.00029198j -0.00102003-0.00140031j 0.00124406+6.76778e-05j -0.00141824-0.00234205j 0.00348277-0.000507161j 0.00228999-0.00174807j -0.00387813-0.00115062j 0.00620407-0.000853662j -0.00175315+0.00115527j 0.000186944-0.000844337j -0.00115803+0.00176828j 0.00262211+0.00132421j 0.00335357-0.000600055j 0.000824838+0.00312501j 0.00108935+0.00415135j -0.000300101-0.0016541j -0.00494512+0.00230083j -0.000705094-0.00348728j -0.000647003+0.000833694j -0.00148003+0.00271625j 0.00699103+0.00111024j 0.00106091-0.00207053j 0.00282103-0.00300575j 0.00675278-0.00304867j 0.00511121+0.0119302j 0.000271498+0.0020318j 0.00271886+0.0040031j -0.00956124+0.00466539j -0.00115456-0.0026482j 0.00086791-0.000642417j 0.00683528+0.000740843j 0.0109207+0.00864144j 0.000755844-0.00714835j -0.00180997+0.00376462j 0.00249012-0.00605892j 0.00577564-0.0119694j 0.0128391+0.00958517j -0.00768088-0.00472938j -0.00891903+0.0039227j 
-0.00163127+0.00612064j -0.00641018+0.000874023j 0.000233318+0.00299427j 0.000856533-0.000867237j 0.00111187+0.00362286j 0.00622865-0.00217191j -0.000276691-0.00331757j 1.46474e-05-0.00227128j 0.00625449+0.00286729j -0.00135371-0.00425133j 0.000968245-0.00469105j 0.00452801-0.00140295j -0.000153785+0.000518774j -0.00323156+0.00011736j 0.00224307-0.00021079j -0.000573351+0.000872684j -0.000150595-0.00273148j -0.000371105+0.000973995j -0.00119243-0.00102835j 0.00294636-2.90242e-05j 0.00192909-0.0021891j 0.0012227+0.000283085j -0.000181018-0.00306459j -0.00155644+0.00186193j 0.000135212+0.000162732j 0.00465955-0.00192465j 0.000889735+0.00136786j 0.000825003-0.000437365j -0.000876132+0.000424314j -0.00369725-0.000694412j -0.000147177+0.000585165j -0.0032504-0.000462439j -0.00328396-0.00145481j -0.00130301+0.00376412j 0.00043594-0.00441217j 0.00019812+0.000102984j -0.00133151-0.00119783j -0.00280902+0.000460532j 0.00129521-0.000345239j -0.00113486+0.000311192j 0.0015221-8.55563e-05j -0.00366106+0.000308338j 0.00134021+0.00442426j 0.00112074-0.00118632j -0.00196711-0.00254386j -0.00171206+0.00167095j 0.00271767-0.000609524j -0.000626624-0.000508968j 0.00570115-0.00213841j 0.00102587+0.00139063j -0.00365649-0.00346972j 0.00484718+3.62517e-05j -0.00208836+0.00256218j -0.00152622+0.000449204j -0.00505519+0.00226213j -0.00311282+0.000886762j 0.00350349+0.00288918j -0.00966441-0.0112536j 0.00408789-0.00289794j 0.00252625-0.00494962j 0.00348067+0.0034465j -0.000497072+0.00314708j -0.00914977+0.00176247j -0.000823709+0.00724581j -0.00794733+0.000490545j 0.0016561-0.00310509j 0.00967119-0.00803429j 0.00904856-0.0106825j 0.00692483+0.0103809j -0.00509517+0.00926393j 0.00814572-0.00290779j -0.00268701+0.00415297j 0.00531665-0.00805623j -0.000713417+0.0108255j -0.0138454-0.000920031j 0.00582996-0.00337397j -0.00787594-0.000802178j 
-0.00139966+0.00296396j -0.00118165-0.000669615j -0.00551319+0.00181763j -0.000359641+0.00510981j -0.00372581-0.000817708j -0.0019848+0.000886892j 0.000166152-0.000866732j -0.00415598+0.00378456j -0.0022433-0.0015492j 0.00123531-0.00099873j 0.000247541-0.000176875j 0.0038196-0.000610914j -0.0017617+0.0045475j 0.0013429-0.00156751j -0.0029624+0.00297214j 0.00165031-0.00219047j 0.00383946+4.08286e-05j 0.0012695-0.000563713j -0.00242024-0.000272642j -7.84687e-05+0.00301459j -0.00307695-0.00109668j -0.00291819-0.00137728j -0.00292101+0.00372799j -0.00463655-0.000631798j 0.00285915+0.000163558j 0.00075436+0.000216287j -0.00113491-0.00187825j -0.000190016-0.00276818j -0.0017281+0.00242641j 0.00462344-0.00254033j 0.0015456+0.00168208j 0.000786142-0.000706912j 0.00142489+0.00240211j 0.00179652-0.000276943j 0.0008152+0.00355816j -0.00118365+0.0028259j 0.00556361-6.19831e-05j 0.00149333+0.00121197j 0.00154152-0.000340929j -0.000288818+0.00162868j -0.000667698-0.00133447j 0.000284224-0.000113741j -0.000143133-0.00295706j -0.000194588-0.000312586j -0.00119763+0.00636033j -0.00179258-0.00162645j -0.00233568+0.00174998j -0.00271253+0.00326135j -0.00259274-0.000522828j 0.00199703-0.000836377j 0.00277694+0.00197556j 0.00341306-0.00138428j 0.000476633-0.00201028j -0.00142946-0.00206629j 0.00252534-0.00252164j 0.00214763-0.00241469j -0.000673452-0.002253j -0.00448927+0.00687122j 0.000349814-0.00686899j 0.000513587-0.00251004j -0.00172525-0.00485983j -0.00746768-0.0034516j 0.00609119+0.0019732j -0.00463267+0.000606619j -0.000188789+0.00185589j 0.013943-0.00872402j 0.00605798-0.00767816j 0.00067472-0.00817995j 0.0167104-0.010719j -0.000795102-0.00480485j -0.00192025-0.00292602j 0.00254158-0.00222962j -0.0201359+0.000368178j -0.0123063-0.0049169j 0.00573239-0.00821102j 0.0111076-0.007918j -0.00656183-0.00151847j 
0.00123254-0.0025764j 0.000887731+0.00330183j 0.000562995+0.00156637j 0.00202759-0.00367803j 0.000344344+0.00269433j -0.000607995-0.00238259j -0.00393057+0.00596274j 0.0042824+0.00453312j -0.00411805+0.00386731j 0.000676899+0.000214332j -0.00121613+0.000707738j 0.0045537-0.00306736j 0.00263545+0.00288977j -0.00386806+0.000449545j -0.0015634+0.00536219j 0.000325806-0.00264673j 0.000542214+0.000162097j 0.000892886-0.00412298j 0.00106535-0.0028968j 0.00184519+0.000967065j -0.000912781+0.000767215j -0.00207859+0.000315966j 0.00285604+0.000319015j -0.00267478+0.00184802j -0.00124739+0.000586461j 0.00105665-0.000738671j -0.00222868-0.00170955j -0.00127774-0.0009695j -0.00165939+0.00228934j -0.000657115-0.00100367j 0.0024484+0.000115232j 0.00196754+0.00160048j 0.000277124+0.00220733j -0.000230968-0.00209223j 0.00331197+0.000920062j 0.000399865+0.000730942j 0.00222803-0.00320205j -0.00158333+0.00189489j -0.00123537-0.000113085j -0.00155408+0.00202894j 0.00137209-0.00165922j 0.00180221+0.00110612j -0.00307883-0.000575106j 0.00139455+0.00118865j 0.00296126+0.00155899j -0.0024734-0.00201753j -0.00185524+0.00189613j 0.00127143-0.000240647j 0.000712637-0.000664007j -0.00177153+0.000401677j 0.00109267-0.000968793j -0.00260017-0.00254709j 0.00242106-0.00284333j 0.00212073-8.50294e-05j 0.00805438-0.00321256j 0.00384634+0.000579423j 0.00339532-0.00396151j 0.005801-0.00222063j 0.00705122+0.000983459j 0.000752056+0.00265993j -0.00148943-0.00101011j 0.00144068-0.00844359j -0.0021562-0.00233105j -0.00169779-0.00852935j -0.00122721-0.000684004j -0.000533731+0.00974182j 0.011955-0.00466735j 0.0207118-0.00300223j -0.0131959+0.00678651j 0.00119855-0.0107909j 0.00393118-0.00375116j -0.0124591-0.00260828j 0.00736057-0.00073657j -0.00904175+0.00068304j 0.00131288-0.008859j -0.0107946-0.00282583j -0.0126341+0.0104639j 
-0.00473508+0.000811488j 0.000232745-0.00566038j -0.00246195+0.00115725j 0.00076743+0.003254j -0.0057748-0.00265563j -0.00655523+0.00343094j 0.000515834+0.0025361j -0.00111615+0.00210748j 0.00277099-0.00129887j 0.000689799-0.00663191j 0.000423237+0.00118329j -0.000926093+0.00218808j 0.00485345+0.00290875j 0.00110606+0.000257466j -0.00291594-0.00329133j -0.000821467+0.00117359j 0.00210117+0.00630742j -0.00708742+0.000524214j -0.00248317+0.000971631j 0.0042145+0.000710578j -0.00264926+0.000840552j -0.00652537-0.00054015j 0.00524142+0.00426481j -0.00051579-0.00116213j -0.00032718-0.00108787j -0.00383292-0.00143871j 0.00239861-0.00350006j -0.0018251+0.00158991j -0.00272657+0.00372032j 0.00127368+0.00303628j 0.00265219-0.00544954j 0.00120103-0.0014416j 0.00176397-0.00137045j 0.00297731+0.00142693j 0.00519298-0.00166623j 0.00453454+0.00245744j -0.000592575+0.00167512j -0.00239746+0.00316222j 0.00167327-0.00493618j -0.00302002-0.00144808j -0.00112932+0.00162382j 0.00216278+0.00121229j -0.00130494+0.00515447j 0.0043258-0.000155195j 0.00522447+0.00228109j -0.00306938+0.00555247j 0.00153656+0.000123722j 0.00102529+0.00371932j -0.00415416-0.00598289j -0.000939576+0.00337267j 0.00402379-0.00836255j 0.00476951-0.00306436j -0.00336955-0.000534134j 0.00104054-0.0060728j -0.000358024+0.000570549j -0.000391953-0.00105502j 0.0024929+0.00176936j 0.000553114-0.00722782j 0.000140444+0.0089344j 0.00187206-0.00388755j -0.0121061-0.00232409j -5.48045e-05+0.000808938j 0.00221626-0.000304955j -0.000119884+0.0115723j -0.00592864-0.00371166j 0.00213717-0.0050226j 0.00528075-0.00150823j 0.000567655+0.00142066j -0.0113848+0.00160519j -0.00314315+0.0029774j -0.00406568-0.0116231j -0.0187488+0.00468647j 0.00988377+0.0109253j -0.0010198+0.00104815j -0.000848076+0.00178998j -0.000620299+0.00107991j 0.00407377-0.00138759j 
-0.000388757+0.00590579j -0.00513753+0.00381193j -0.00195529-0.00193883j -0.00575377+0.00382392j 0.0036072-0.00517593j -0.00355406-0.00642598j -0.00217795+0.000568375j -0.00343871-0.00129404j 0.00841769-0.00715874j -0.00498988-0.00391581j -0.00354459-0.0022049j 0.0020349-0.00274045j 0.00298515+0.00231504j 0.000925104+0.00194826j -0.00357981-0.00274324j -0.00156838-0.000682312j -0.0053067+0.00216069j -0.00156107-0.00205658j -0.00230926+0.00453075j -0.00142239+0.0016257j 0.000300275-0.000838907j -0.00146044-0.00167793j 0.00269622-0.00121045j 0.000802289-0.000252322j 0.00248223+0.00232228j 0.000579895-0.0046341j 0.00303695-0.00256192j -0.00534277-0.00662921j -0.00339533-0.00224762j -0.00513786+0.000304339j -0.00332682-0.000515099j -0.000811677+0.00112136j -0.00306759+0.000260737j 0.00466061-0.00112094j -0.00064376+0.000489159j 0.00186788-0.000423441j 0.00310198+0.00183642j -0.00460839+0.00220783j 0.0021182-0.00292628j 0.00492849-0.00160665j 0.000817305-0.0034512j -0.00743072-0.00362659j -0.000493887-0.00223455j 0.00426707-1.70274e-05j -0.00263072+0.00221036j -0.0025028+0.000472722j 0.000609115+0.000852966j -0.0033657+0.00114728j 0.00318623+0.000153574j 0.00754014+0.0030321j 0.00867456+0.00207424j 0.00357939+0.00276732j 0.000947344+0.00582906j -0.0011188+0.00585808j -0.00241108+0.00288212j 0.00522261-0.00163544j 0.00469828+0.00501574j -0.00428274+0.00854362j -0.00659604+0.00445139j -0.00604381-0.00131615j 0.0043414-0.0022851j 0.0104954-0.00607481j -0.00544273+0.00606983j -0.00122441-0.00449612j -0.0107867+0.00514153j -0.00520135+0.0022536j 0.00279919+0.00510093j -0.0021307-0.00127514j 0.00415043-0.00769615j 0.00950063-0.00404212j -0.00135129-0.00719091j -0.00569873-0.00254825j -0.00578102+0.000868348j 0.0108657+0.00119913j -0.00701576+0.00620747j 0.00463256-0.00270595j -2.69232e-05+0.00242524j 
-0.00351559-0.00560678j 0.00234366-0.00249928j 0.00237003-0.00125253j -0.00174161-0.00531525j -0.00109207+0.00128215j -0.000920145+0.000906595j -0.000317371+0.0039549j -0.00127283+0.00294653j -0.00223397+0.00396273j 0.000629843-0.00174553j -0.00043532+0.00630817j -0.00339771+0.00263321j 0.00340287+0.00449762j 0.00434506+0.000139862j -0.00398284-0.00220759j 0.00511962-0.00238018j -1.16504e-05-0.00332331j 0.00477144-0.00327541j -0.00140333+0.000477964j -0.00112944-0.00285752j -0.000813635-0.000924508j -0.00372467-0.00173018j 0.00825119-0.00213477j -0.00131494-0.00341056j -0.00323147+0.0027412j -0.00150538+0.00101305j 0.00357276+0.00369024j 0.00317437-0.00455639j -0.00132813-0.000924201j 0.00440839-0.00596469j -0.00184988-0.000394238j -0.000738852-0.0014631j 0.000295217-0.00135161j 0.00171739-0.00124979j -0.000785561-0.00105668j -0.00018376+0.000837221j 0.00445926-1.77048e-05j -0.00671649+0.00257425j 0.0004023+0.00329752j -0.00254631+0.0020914j 0.00190953-0.00257828j -0.00186935-0.00693005j 0.00170226-0.000728472j -0.00311976-0.000483153j -0.00356075+0.00331711j 0.000395846+5.16206e-05j 0.000362178+0.000739722j -0.00341204+0.00117404j 0.00405794-0.00215612j 0.00239355-0.00307218j 0.00229707+0.00186402j 0.00394944+0.00641355j -0.00225659-0.00299733j -0.0030622-0.00524049j 0.000211592-0.00135388j -0.00329846+0.00276785j -0.00101299+0.00413067j -0.000377553+0.00138176j -0.00411926-0.00880172j 0.00409307-0.00347172j -0.00158977+0.00120933j 0.00944241+0.00171931j 0.00854191-0.00610242j 0.0112114-0.00136989j -0.00662037-0.00897309j -0.00346572-0.00175861j -0.00359334+0.00500624j 9.71755e-05-0.00541731j -0.0078071-0.000791261j 0.0194216-0.00158014j -0.00155039-0.00510691j 0.000643726-0.00340108j 0.0016726-0.00649274j -0.00815426+0.00198162j 0.00825678-0.0114788j -0.0055496+0.00385221j -0.00367314+0.00525827j 
-0.00126476+0.00183832j -0.00351756+0.00188939j 0.00075639+0.00245144j 0.000924485-0.00189891j -0.00202078+0.00196865j 0.0004673+0.000554276j 0.00132182+0.00276993j 0.000420531+0.00160889j 0.00112401+0.00156097j -0.00357946-0.00271972j 0.000738547-0.00111333j -0.000155142-0.000686436j -0.000298058+0.000233868j -0.00068864-0.00470218j -0.00346258+0.00575631j -0.00234342+0.00117624j 0.00153149+0.00372485j -0.0018516-0.00207639j 0.00788012-0.000327451j 0.00109713-0.00216905j -0.00111616+0.000623378j -0.00142335+8.85904e-05j 0.000442458-0.00515177j 0.000817976-0.000217706j -0.00313289-0.00067803j -0.000297896+0.00158262j -0.00264691-0.00590374j 0.00126021-0.000746768j -0.00182842+0.00503815j -0.00238419-0.000147707j -0.000396054-0.00220507j -0.00443808+0.00373894j -0.00776955+0.0027637j 0.00171306-0.000522183j -0.0030371-0.00223347j 0.00139874-0.00234368j 0.00150325-0.00180029j 0.00318797+0.00691389j -0.00276104+0.000168881j -0.00311064-0.000448231j 0.00749745-0.00296292j -0.00241548+0.00200389j 0.00179749+0.000443416j -0.00061422-0.00108104j -0.000813739-0.000469386j -0.000394902-0.0026993j -0.00442953-0.000867873j 0.00264064-0.000865753j -0.00622778-0.00189557j 0.00241294+0.001976j -0.00760335-0.000284796j 0.00350294-0.00252306j -0.00119642+0.00281648j -0.00713865+0.00417001j -0.00465977+0.00502647j 0.000797004-0.00524971j 0.00124698+0.00555489j -0.00656818+0.0067964j 0.00342353+0.000621949j -0.00687602-0.0105874j -0.00604718+0.00319648j 0.00102551-0.00222751j 0.0023193-0.0118273j 0.0109121-0.000113363j 0.0028517+0.00361493j -0.00687776+0.00367216j -0.00756173-0.00636697j -0.00427977+0.00926209j 0.00841819-0.00412714j 0.0123774-0.00599472j -0.0171867-0.00508501j -0.000205394+0.0111266j -0.000992026-0.000867181j -0.00128909-0.0015354j 0.00399735-0.00276699j 5.76632e-05+0.00121105j -0.00211676+0.00387587j 
-0.00228576+0.000881642j 0.00153192-0.00379076j 0.00205724+0.00275836j 0.00138053-0.0031708j -0.00183108+0.00360038j 0.0023265+0.0055227j 0.00765678-0.00468396j 0.000412223-0.00582966j 0.00219952-0.000229952j -0.00271708-0.00138668j -0.00381891-0.000397219j -0.00320467-0.00159783j -0.00130873+0.00113864j 0.00252763+0.000395975j 0.00587322-0.0020672j 0.00368389+0.00531624j 0.00671715-0.00623774j -0.00153819+0.00509985j -0.00211063+0.000288421j 0.00895764-0.00275324j 0.00321545-0.00389828j 0.000548393-0.00194417j 0.00153292-0.00109833j 0.000192201-0.00204982j -0.00530038-0.00355977j 0.0013433+0.00305224j 0.0016046+0.00381534j 0.00514856+0.000239315j 0.00271298-7.60734e-05j 0.00338879-0.00302717j 0.00614429+0.000766976j -0.00259035-0.00345484j 0.000773221-0.00286895j 0.000298177+0.00230511j -0.000443611-0.0020084j -0.00295673-0.00130582j -0.00219183+0.00134486j 0.000805774-0.00169286j -0.00330128+0.00529968j -0.005307+0.00104111j 0.000428855-0.00158004j 0.00114439-0.00202931j 0.00184132+0.00120512j -0.00239197-0.0077606j -0.000986451+0.000164837j 0.00188506+0.00571524j -0.000618103-0.0051245j 0.00080092+0.00259498j 8.50751e-05+0.00214445j -7.71915e-05-0.0025364j 0.000634245+0.0136705j 0.0018892+0.00307795j -0.00719722-0.00255073j -0.00906256+0.00437235j -0.000696259+0.000744595j -0.0035011-0.00383583j 0.00213049+0.00329985j 0.00689215+0.00303392j 0.00853308-0.000929733j -0.000757115-0.0042801j 0.000215827-0.00206158j 0.00465899-0.00271267j -0.017851+0.00176524j -0.000803485-0.00688738j -0.00408633-0.0018158j -0.00937352-0.00574686j -0.00799648+0.00451477j 0.0109019+0.0020405j 0.00480992-0.00755794j 0.00477301+0.00535576j 0.00161501+0.00184255j 0.00627222-0.000948269j 0.00964647-0.000802933j -0.00397246+0.00715526j -0.00204397-0.00252395j 0.00221114-0.00580761j -0.00161547-0.0011712j 
