0.00545895+0.00440402j -0.00496718+0.00575605j -0.00304363+0.00646752j 0.00604037+0.00309148j -0.00161326+0.00255875j -0.00287992+0.00344811j 0.00522046+0.00268652j -0.00135885+0.00548527j -0.00274815-0.00084318j -0.00109742-0.00084343j -0.00492668+0.000438741j -0.00165236+0.00388746j 0.00179822+0.00240048j -0.00117104+0.00406846j 0.00303581+0.00240584j 0.00207447+0.00241042j 0.000644671-0.00277407j -0.00333344+0.00136144j 0.000474905-0.00267749j 0.00469003-0.00144734j 0.00213078+0.000827846j -0.000750758-0.000686617j -0.00126169+0.00499457j -0.00245946-0.000543543j -0.000802635+0.000583708j 0.00259281+0.00350138j 0.00191226-0.000885383j -0.0014419+0.000306303j -0.000975381-0.00458999j -0.00108955+0.000126314j 0.00347194+0.0010218j 0.00126057-0.00225344j 0.00172393+0.00119508j -0.00150093-0.000544357j -0.00239704+0.000252368j -0.00233732+0.000181825j 0.00151276+0.000942022j 0.0020121-0.000691985j -0.000186402+0.00100311j 0.00116302+0.0033383j -2.86135e-05-5.14254e-05j -0.00224245-0.00152958j -0.000694142+0.00109832j -0.000656008-0.00252372j -0.000507134-0.00324162j 0.00264313-0.00106847j 0.00235203+0.000546885j 0.00310565-0.00291762j -0.000332354+0.00406703j -0.00874175-0.00317523j -0.00315653+0.0113265j 0.0053768-0.00200007j 0.00991144+0.00471367j -0.0019567+0.00978663j -0.0154513+0.018621j 0.0179281+0.014988j 
0.00471609-0.0042797j 0.00389641+0.00455242j 0.00399375+0.000805123j 0.000297677-0.004853j 0.00523485-0.00133168j 0.00462006+0.00510233j 0.00258218-0.00527138j 0.00546416-0.00289153j 0.000616429+0.00236579j -0.00107829-0.000540174j -0.00281645+0.00300695j 0.00347165+0.00480047j 0.000819272-0.00511893j 0.00183722-0.000127313j 0.00229132-0.000281786j 0.00131427-0.00191181j -0.00424135-0.000472578j 0.000991882+0.00124734j -0.000851798-0.0013388j 5.24783e-05-0.00182013j 0.00152769-0.000916422j 0.00242827+0.00296811j 0.0037496+0.00114921j -0.000372094+0.00116817j -6.84201e-05+0.000122563j 0.00058371-0.00273372j 0.000636475-0.00143185j 0.000913049+0.0010216j -0.00476525+0.00326431j -0.00192604+0.00154029j 0.00164737-0.00151018j -0.00108393+0.00030084j 7.43859e-07-0.00204698j -0.000618483+0.00106222j 0.00544526+0.00293086j -0.000249437+0.00230472j -0.00223405-0.00206444j -0.000219141+0.00107701j -0.000718548-0.00182319j 0.00119635+0.00216921j 0.00145065-0.000405642j 0.00205774+0.00156858j -0.000473083+0.00270259j 0.00282096+0.00251865j -6.26338e-05-0.00182688j 0.00200968-0.00208937j 0.00125174-0.00303454j -0.00364123+0.000972404j -0.0031269+0.00454015j -0.00340182+0.00820446j 0.0124137+0.00326791j 0.00263411-0.0124725j -0.00171008-0.00904961j 0.0105587-0.00478521j 0.0163339+0.0172285j 0.0173829-0.0161943j 
0.00313751-0.0047995j 0.00444528+0.00327594j 0.00068981+0.00203695j -0.000448118-0.000907534j 0.000495175-0.00286801j 0.00546002+0.00186745j 0.0015231-0.00278495j 0.000620979+0.00396238j -0.00456402+0.000871335j -0.00204994-0.00137651j 0.000644485+0.00450942j 0.000713575-0.00360207j -0.00256832+0.00169311j 0.000986424+0.00168408j -0.00104455+0.00270271j 0.000553634-0.00315898j 0.000639253-0.00325975j -0.00196547+0.00239089j -0.00318716+0.000577545j -0.0034118-0.000298569j -0.00186289-0.00412396j -0.000460882-0.00111344j 0.00236034-0.0031503j -0.00108615-0.00278459j 0.00138317+0.000715645j 0.000270106-0.000932488j -0.000895334+0.00299786j 0.00180442-0.00160153j 0.00178502-0.0024087j 0.000577772-0.000941564j -0.00138753-5.19891e-05j 0.00129578+0.00104185j -0.00164098-0.000797119j 0.00361439+0.0026285j -0.000775961+0.000158408j 0.00210443+0.00234448j -0.00172311-0.00104918j 0.000857588+0.00398529j 0.000408646+0.00275403j 5.871e-05-0.00804245j -0.00220517+0.000789024j -0.00108699+0.00314772j 0.00200478+0.000452181j -0.00215053-0.000361402j 0.00307108+0.00147581j -0.00278136+0.00226598j -0.00266878-0.00774883j -0.0105183-0.00155548j 0.00458242+0.00822178j 0.00248932+0.00708457j 0.00621234-0.000304417j -0.00305876+0.00880541j -0.0144663+0.0148688j -0.0115252-0.0096457j 0.0117251+0.00873408j 0.0059474-0.00957373j 
0.00634266+0.00497342j -0.00537842+0.0052909j -0.0024687+0.00203778j 0.00390295+0.00156012j 0.00278567+0.0018801j -0.00204223+0.0052276j 0.00500886+0.00165206j 0.000523533+0.000625461j -0.00156498-0.00137419j -0.000490664-0.000733822j -0.00540359-0.00105951j 0.000319078+0.00607794j 0.00157656-0.00121543j -0.000936705+0.00294957j 0.00175294+0.00219251j 0.00259473+0.00104708j -0.00036021-0.00238579j -0.00192764+2.09479e-05j -0.000921578-0.00203083j 0.00152547+0.00154403j 0.00281707-0.000530565j 0.000547103+0.00245049j 0.00131897+0.00431601j -0.00116626-0.000852039j -0.00141465+0.0021j 0.00199673+0.000595843j 0.00106743+0.00027495j 0.00261215+0.000229314j -0.00406874-0.000826663j -0.00300201+0.000168165j 0.00322601+0.00235879j 0.00204847-0.000251284j 0.000291252-0.000182906j -0.000681284-0.000500433j 0.000127483+0.000561326j -0.00185859-1.34969e-05j 0.00352833-0.000513639j -0.00206134+0.00455165j 0.000208232+0.0028419j 0.000754547-0.000146229j 0.00128765+0.00439755j -0.000870902-0.00519661j -0.00428021+0.00184011j 0.00100067+0.00317321j -0.00524865+0.000793555j 0.0014991+0.00516678j 0.00159275+0.00503992j -0.0072989-0.00922994j -0.00512555-0.000253132j -0.00898765-0.000653131j 0.0101636+0.00452521j -0.000177898+0.00829492j 0.00173938-0.0107857j 0.012309+0.00846231j -0.00638537+0.0132684j 0.0178792+0.00802035j 
0.000476642+0.00129986j -0.00348793+0.000311366j -0.00706801+0.00222747j 0.000355127+0.00535147j -0.00415796-0.00286665j -0.000321651-0.00239875j -6.39994e-05+0.00373896j -0.00658658+0.00274014j -0.00405216-0.00260302j 0.000438903-0.000914933j -0.00251665+0.000369402j -0.0011097-0.00397259j -0.00288876+0.00406346j -0.000849702+0.000369503j -0.000936172+0.00249833j -0.000752311+0.000365209j 0.00401949-0.00265602j -0.00432199-0.000149584j 0.000380567-7.45356e-05j 0.00356432+0.000328901j -0.000941056-0.0005536j 1.3345e-05-0.00357619j -0.0017165-0.000843992j -0.00106354-0.00288824j 0.00186648-0.000580063j -0.000224747+0.0024872j 0.000651165+0.00255291j -0.000888066-0.00254108j 0.00410049-0.00273255j 0.000616-0.00145772j 0.000944635+0.00106268j 0.00258626-0.000623876j 0.000444256+0.000975837j 0.00110607+0.000942488j -0.00354251-0.00232566j -0.000846585-0.00047156j -0.000826816-0.00331151j 0.00360458+0.00373976j 0.000415065+0.00195807j -0.00273844-0.000825335j 0.000765588+0.00134492j -0.00317469+0.000640801j -0.000272434+0.00164149j -0.00118672-0.00304338j 0.00621698+0.00590308j 0.00607996+0.00405824j 0.00668311+0.0053163j -0.00590393+0.00602279j -0.00528503+0.00283228j -0.00410254-0.00231291j -0.0100364-0.00739797j 0.0145876+0.00955352j -0.00836594+0.0135656j -0.00565747-0.00440726j -0.0193738-0.00668125j -0.00472956+0.0130107j 
0.00312966+0.000955729j -0.00128642+0.00361707j -0.000560131-0.00143303j -0.00113181-0.00134161j 0.00308832-0.000636244j -0.000816159+0.00423251j 9.30606e-05+0.00120959j -0.00491829-0.00363393j 0.00179098-0.00344686j 0.000265338-0.00213058j -0.00230221+0.000495426j 0.00456358+0.000319995j -0.0054356-0.00238693j -0.00321215-0.00226654j -0.00247654-0.00146896j 0.00240259-0.000121624j 0.00200123+0.00216399j -0.00214055-0.00177723j -0.00112894-0.00333981j -0.00202371-0.00216121j 0.0028954-0.000952202j 0.00594639-0.00240282j 0.00036596+0.000802978j 0.00364641-0.002046j -0.00178321+0.000315709j -0.000562471-0.00320348j -0.00264963+0.00199876j 0.00456735+0.00297927j 0.00360667+0.000847835j -0.00147971+0.000136653j -0.000556911-0.000230084j 0.000968333+0.00561965j -0.00211471-0.00366435j -0.00073344-0.000683593j 0.000271065-0.00406621j 0.00132579-0.00256482j -0.00120268+0.00401271j -0.00610259+0.00445125j -0.00252929+0.00185469j 0.00505881-0.00287034j 0.000380202-0.00282538j 0.00266048-0.00622119j 0.00129235+0.00336712j 0.00533071+0.00221241j 0.000950077+0.00336715j -0.00372731-0.00198981j 0.00620046-0.00448038j 0.00149097-0.00631207j -0.00777673+0.0108819j -0.00237991+0.000873035j -0.00329361-0.00469693j -0.0216653-0.00159315j -0.0217476-0.0166172j 0.00807319-0.0176445j -0.00157219-0.0074393j -0.00945817-0.0019908j 
-0.00757038+0.00101192j 0.0014722-0.00603499j 0.0065694-0.000805882j -0.000799216-0.00211283j -0.000665669+0.00448345j -0.00512509-0.00448341j -0.00371336+0.0022042j 0.00426796-0.00146802j 0.00508223+0.00243293j 0.00145604+0.00176884j 0.00337809-0.00188821j -0.00242663+2.45788e-05j 0.00475706+0.00327273j 0.00210324-0.00134904j 0.00257278-0.00392408j -0.000180962+0.00414938j -7.65075e-05+6.26324e-05j 0.00203402-0.00015221j 0.00400323+0.00222297j 0.000968175-0.00249715j -0.00349386+0.000655985j -0.00307816-0.00217206j -0.00542641-6.71257e-05j 0.00137333+0.00283145j -0.0013261-0.000168123j 0.000345281-0.000141266j -0.000933243-0.00156007j -0.000922286+6.31756e-06j -0.0017969-0.00157835j 0.00122195+0.00100814j -0.00431117-0.00270631j -0.000877583-0.00186332j -0.00217457-0.00288425j 0.00238996+0.000411751j -0.000266998+0.000949606j 0.00438043-0.00225615j 0.00169192-0.00281316j -0.00251113+0.00032322j -0.00234951-0.00293663j -0.00324431+0.00353198j -0.00136439-0.00083541j 0.00812134-0.00233014j 0.00122637+0.0034631j -0.000765083+0.00704773j -0.00915701+0.00322092j 0.00531813+0.00727344j -0.000140839+0.00345799j 0.00564448+0.00429582j -0.00122456+0.00689087j -0.00205149-0.00806165j -0.00105703-0.00177642j -0.0151265+0.00119345j 0.0177364+0.00256448j -0.00207174+0.0132561j 0.000117181-0.0032509j -0.010378+0.0052174j 
0.00242141-0.00433968j 0.00436631+0.000683707j 0.00219128-0.00318004j -0.00223182-0.00309187j 0.0048499-0.00253123j -8.64516e-05+0.00534931j -0.000455002+0.00140341j 0.00196975-0.00382341j -3.45817e-05+0.00225662j -0.00247195-0.0056722j 0.00324163-0.00284203j 0.00152569-0.00104855j -0.000497514-0.00343259j -0.000475088-0.00226003j 0.00106285-0.00159808j 0.00466767+0.0020158j -0.00225907-0.00342939j -0.00130177+0.000883433j 0.00229548+0.002676j -0.00359159+0.00241371j 0.000457389+0.00232429j 0.00128937-0.00118719j -0.00269801+0.000918526j 0.00171842+0.000348336j -0.00122641+0.00031965j -0.000886854-0.000413462j 0.0020718+0.00358021j -0.00201518-0.00229406j 0.000227289-0.00174402j -0.000291537-0.00322222j -0.00288166+0.00384113j -0.001452+0.000683215j 0.000406947+0.00258155j 0.00167725-0.00245212j -0.000503709-0.00158099j -0.000926719-0.00604686j -0.00478421-7.74069e-05j 0.000178993+0.00597205j 0.00404724+0.000546882j -0.00810976-0.00452327j -0.00126748-0.00804528j -0.00820263-0.00118468j 0.00470333+0.000934664j 0.00582074-0.00255938j 0.00599428+0.00336799j 0.0115617+0.00238474j -0.0057493-0.00327063j -0.00224754-0.000619743j 0.00498976-0.000214555j 0.000932358-0.0181481j -0.0160956-0.00393619j 0.00870408+0.0254332j -0.000825674+0.00490065j -0.000520298+0.00225274j 0.00384594-0.0027671j 5.0645e-05+0.00151459j 
-0.000780935-0.00200073j 0.000131123-0.000128109j -0.00137936+0.00510012j 0.000496871-0.00142634j -0.000339456+0.00234005j -0.00252206+0.00145563j -0.0015943+0.00262464j 0.000988953+0.000431919j 0.000329027+0.00520455j -0.00269479-0.00291984j -0.00045964-0.00527499j 0.000289212+0.00200964j -0.00107004-0.000427229j -0.00292879+0.00130092j 0.0042391-0.000673873j 0.00155722+0.00434564j 0.00169433-0.00141018j -0.000532854-0.000539377j 0.00441772+0.0070039j 0.00487814+0.000671809j 0.00241769+0.00093484j 0.00152154-0.00346919j -0.0019775+0.00118452j 0.0014153+0.00207402j -0.0043165+0.000392957j -0.0024286-9.61013e-05j -0.000362357-0.00319929j -0.00392369-0.000467079j 0.00363592+0.00065573j 0.000744967+0.00193582j -0.00293639-0.00241478j -0.00167366-0.000526441j 0.00178687-0.00204168j -0.00525686+0.00156445j 0.00239338-0.00279385j -0.00208297+0.00179673j 0.00296806+0.00290036j -0.00402051-0.00144875j 0.00221267-0.00485624j -0.00196257-0.00332859j 0.00123395-0.00728126j -0.00108868+0.00269418j -0.00149268+0.00327243j -0.00139615-0.0026826j -0.00639947-0.00912084j -0.00628197+0.00873684j 0.000122546-0.000523627j 0.00335833-0.0078096j -0.0204033-0.00638951j 0.00141071-0.0189223j -0.00927639+0.0120075j -0.00672433-0.0152977j -0.00385664-0.00573539j -0.00017468-4.69507e-05j -0.0112832+0.00494832j -0.00202329+0.00270397j 
-0.00228729+0.00101785j 0.00057945-0.00290401j -0.00227854-0.00151473j -0.00328059+0.00301296j -0.00138841-0.0033338j 0.00408684+0.000341465j 0.000133969-5.36826e-05j -0.0031988+0.00254463j 0.000743717-0.00373462j -0.00152891+0.00316724j -0.00139087-0.00254923j -0.00109856-0.00237229j -0.00112936+0.000549364j 0.00251302+0.00227468j -0.00458937-0.0026671j 0.00308603-0.00222173j 0.00230867-0.00234417j -0.0021639+0.00042807j 0.00411297-0.00404616j -5.57299e-05+0.00134412j 0.00146861+2.16871e-05j -0.00191271-0.000933733j -0.000770815+0.00306637j 0.00284015-0.00443413j 0.004478+0.00115023j 0.00174633+0.00193302j -0.000829515+0.00259613j -0.00112107+0.00331222j 0.0015257-0.00195855j 0.000877049-0.00332577j 0.00178155+0.00378979j 0.00120078+0.000803717j 0.00262692-0.00667933j -0.00223637+0.000120192j -0.00696461+0.0015438j -0.00334434-0.000973201j 0.00399528-0.00052833j 0.00127396+0.00571619j 0.000229544-0.00472671j -0.00432837+0.0034415j -0.010279-0.00143225j -0.000440324+0.0104191j -0.00113757-0.00363397j 0.0020076-0.00534841j -0.00677964-0.000358393j -0.00428798-0.00439166j -0.00890229+0.0126193j 0.00161714-0.00947045j 0.00411849-0.00341886j -0.0127022-0.00672906j -0.0083308+0.0278376j -0.00259744+0.00423896j -0.000805163-0.00563122j -0.00442834+0.00227553j -0.00479455+8.24873e-05j -0.00629481+0.00600994j 
-0.00120914+0.00138827j -0.00129335+0.00177129j -0.000145651+0.00138432j 0.000148228-3.77583e-05j -0.000869706+0.0015317j -0.00437647+0.000818834j 0.00151967+0.00224538j -0.00215723+0.00082791j -0.00227195-0.00103248j -0.0021941-0.00331201j 0.000310275+0.00446039j -0.0024626-0.000209998j 0.00173338+0.000685086j -0.00154683+0.00259917j 0.00173528-0.0018162j 0.00410375+0.00502j 0.00320325-0.00326465j -0.00339627+0.00199535j 0.000455372+0.000283753j -0.00284923-0.0047149j 0.000958067-0.00422195j -0.00589839-0.00158599j -0.000640434+0.00132809j -0.000283766+0.0017665j -0.00320909+0.00118967j 0.00137377+0.00267312j 0.00102922-0.00153004j 0.000626838-0.00145601j -0.00274241-0.00112662j 4.69923e-05+0.00109332j -0.00215886-0.0018392j 0.00200061-0.00560227j 0.00143692+0.000640218j 0.00185159+0.00462945j -0.00421499-0.00077986j -0.00285695+0.00124744j 0.000609783-0.00162862j -0.00426275+0.00167695j -0.000734199+0.00254131j 0.00107795-0.00444215j -0.00134071+0.0016445j -0.00606109-0.00233474j -0.000747566-0.00201186j 0.000914048-6.07092e-05j 0.00517386-0.000657411j 0.00501865-0.00958546j -0.000102468-0.00439962j 0.00977079-0.00374492j 0.00824641+0.010624j -0.00605151+0.00968954j -0.0266007-0.00312852j 0.00526062-0.00945938j 0.0190738-0.00371728j 0.00365182+0.000446634j -0.00999082+0.012035j 0.0115057-0.00190125j 
