-0.101423-0j -0.0146982-0j 0.702657-0j -0.00105411-0j 0.709938-0j -0.00106503-0j -0.00483821-0j 0.0822902-0j -0.00598698-0j -7.12736e-05-0j -0.00349241-0j 0.101829-0j -8.81966e-05-0j 0.0594002-0j -5.1448e-05-0j -0.00360593-0j -0.000600989-0j -0.00420692-0j 0.0711871-0j -0.0025762-0j 0.00722794-0j -0.00368105-0j -0.000701153-0j -4.4267e-06-0j -0.00151836-0j 0.0830516-0j -0.000429367-0j 0.0508585-0j 0.00843259-0j -0.000613509-0j 0.00516389-0j 0.0726701-0j -5.16448e-06-0j -0.00025306-0j 0.00737852-0j 0.0299749-0j -3.16259e-06-0j -4.51892e-06-0j 0.00304348-0j -1.86396e-06-0j -0.00286668-0j -0.000462608-0j -0.00323826-0j -0.00264402-0j 0.0363417-0j -5.45189e-05-0j -0.00267142-0j -0.000522571-0j 0.00913265-0j -0.00231352-0j 0.000535364-0j -0.00190856-0j -0.000426678-0j 0.0410524-0j -2.53975e-07-0j -0.000609793-0j -0.000431099-0j -6.15856e-05-0j 0.0335191-0j -0.000373343-0j 0.0103164-0j -5.02844e-05-0j 0.0338665-0j 0.000604758-0j -0.000307992-0j 0.0293292-0j 0.00842332-0j -5.08055e-05-0j -2.86895e-07-0j -9.8405e-05-0j 0.000493783-0j -4.39989e-05-0j 0.00851061-0j 0.0241954-0j 0.00737041-0j -2.34249e-07-0j 0.00773054-0j 0.0004989-0j -3.62972e-05-0j 0.00043206-0j 0.00608028-0j -1.15971e-05-0j -2.36676e-07-0j -2.04968e-07-0j 0.000356431-0j 0.00194268-0j -1.6909e-07-0j 0.000113882-0j -5.4025e-08-0j 
0.0146391-0j -0.202826-0j 0.00105411-0j 0.680715-0j 0.00106503-0j 0.68777-0j 0.000698336-0j -0.0118024-0j 0.000864146-0j 0.141041-0j 0.000504085-0j -0.0146047-0j 0.174529-0j -0.00851942-0j 0.101809-0j 0.000520471-0j -0.00829328-0j 0.000607217-0j 5.31204e-05-0j 0.000371843-0j 0.0485129-0j 0.000531314-0j -0.0096755-0j 0.0176425-0j 0.000219156-0j 6.19738e-05-0j -0.00592501-0j 3.7951e-05-0j 0.0565984-0j -0.00846606-0j 0.0346593-0j 5.42271e-05-0j 0.0205829-0j -0.00349207-0j 0.0495236-0j 2.23675e-05-0j 0.0126044-0j 0.0180101-0j 0.0204274-0j 0.00742877-0j 0.000413769-0j -0.00638371-0j 0.000467402-0j 0.000381632-0j 5.45189e-05-0j 0.0352069-0j 0.000385587-0j -0.00721117-0j -0.000651535-0j 0.000333928-0j 0.011011-0j 0.000275477-0j -0.0058879-0j 6.15856e-05-0j 0.0016929-0j 8.80161e-05-0j -0.00594891-0j 0.0397705-0j 5.02844e-05-0j -0.00515191-0j -0.000735987-0j 0.0324724-0j 5.08055e-05-0j 0.0124383-0j -0.00425011-0j 4.39989e-05-0j -0.000600931-0j 0.0328089-0j 0.00191233-0j -0.00135793-0j 0.0101558-0j 0.0284134-0j -0.000607158-0j 3.62972e-05-0j -0.000525815-0j 0.00156141-0j 1.15971e-05-0j 0.0102611-0j 0.0234398-0j 0.00888634-0j -0.000433775-0j 0.00748914-0j 0.00157759-0j 0.00136623-0j 0.00733085-0j -0.000138593-0j 0.00112709-0j 0.00234224-0j 0.000360109-0j 
0.0831455-0j 0.00017151-0j 0.00598698-0j 0.000864146-0j -0.00587682-0j -0.000848246-0j -0.578052-0j 0.000701153-0j -0.0101815-0j 5.84294e-05-0j 0.816702-0j 1.23497e-05-0j 1.02914e-06-0j -0.000990626-0j -8.25522e-05-0j 0.00295611-0j -0.0718039-0j 4.90895e-05-0j 0.000301707-0j 0.00211195-0j 6.15856e-05-0j -0.00293179-0j -0.00119239-0j 3.62897e-06-0j -0.00366334-0j 5.01018e-06-0j -0.0512992-0j 0.00021555-0j 1.0227e-06-0j 0.0712132-0j 4.39989e-05-0j -0.000299224-0j 6.02631e-08-0j 0.0889825-0j -6.10789e-05-0j -0.000373888-0j 2.59266e-06-0j -3.59911e-06-0j -7.63195e-05-0j -4.49717e-06-0j 0.00235007-0j 0.000379242-0j 3.77864e-05-0j 0.00216755-0j -0.0451284-0j -0.00651372-0j -0.00212766-0j 6.09776e-06-0j 3.87062e-05-0j 2.69959e-05-0j 4.56157e-06-0j -0.00306242-0j 0.000349786-0j -0.000725611-0j 2.08206e-07-0j -0.00196403-0j -0.00034335-0j -0.000104733-0j -0.0416233-0j 4.35645e-06-0j 6.2235e-07-0j -0.0060078-0j 0.0408574-0j 7.33446e-08-0j -0.000494197-0j -0.000518401-0j 3.56999e-05-0j 0.00589726-0j 3.34771e-09-0j -0.000316945-0j 4.20728e-06-0j -7.48248e-05-0j -3.50431e-05-0j 0.0588076-0j 4.44628e-07-0j 1.92035e-07-0j 0.0377152-0j -4.12986e-06-0j 0.00848814-0j 5.23999e-08-0j -5.04387e-05-0j 0.00544373-0j -1.88502e-07-0j 2.39172e-09-0j -5.94426e-06-0j -3.2348e-05-0j -2.71317e-07-0j -3.81225e-06-0j -1.74005e-07-0j 
-0.0146982-0j 0.00143416-0j 0.101829-0j 0.0146047-0j -0.0999553-0j -0.014336-0j -0.000701153-0j -0.564106-0j -1.23497e-05-0j 0.00148642-0j 0.000990626-0j -0.00993586-0j 2.61809e-05-0j 0.796999-0j -0.00210009-0j -0.000522571-0j 0.00411982-0j -8.67789e-06-0j 0.0103164-0j -0.000373343-0j -0.100144-0j 0.000518272-0j 6.84144e-05-0j 0.000123306-0j 0.000647593-0j 0.000171316-0j 0.00294334-0j 0.00737041-0j -0.001663-0j -0.00408593-0j -0.0715461-0j -0.0102315-0j 2.04764e-06-0j -0.00510546-0j 0.0993197-0j -0.0127846-0j 8.80941e-05-0j -0.000122292-0j 0.124102-0j -0.000152806-0j -0.000415438-0j 0.00317121-0j -6.67976e-06-0j -0.000383172-0j 0.00526664-0j 0.000755363-0j 0.000376122-0j 5.09894e-05-0j -0.062605-0j -4.77225e-06-0j -0.0111651-0j 0.000541365-0j 0.00292491-0j 8.46814e-05-0j 8.85231e-06-0j 0.000347196-0j -0.00287109-0j 1.21453e-05-0j 0.00485759-0j 3.64286e-05-0j -0.00100662-0j 0.000696695-0j -0.00476821-0j -0.000179521-0j -0.00413247-0j 6.04993e-05-0j -0.0577426-0j -0.000683876-0j 1.42335e-07-0j -0.00265029-0j -0.0102979-0j 8.67706e-06-0j 0.0566801-0j -0.00686305-0j -0.000719161-0j 8.16476e-06-0j -0.0044015-0j 0.0101084-0j -0.000984327-0j -0.000128256-0j 0.0815817-0j -0.000631282-0j -8.01453e-06-0j 1.01689e-07-0j 0.0145494-0j 0.0523211-0j -1.15356e-05-0j 0.00933101-0j -7.39817e-06-0j 
0.00122485-0j -0.000363593-0j 8.81966e-05-0j 0.174529-0j -8.65738e-05-0j -0.171318-0j 5.84294e-05-0j -0.00148642-0j 1.02914e-06-0j -0.546243-0j -8.25522e-05-0j -2.61809e-05-0j -0.00962124-0j 0.00210009-0j 0.771762-0j 4.35476e-05-0j -0.00104447-0j 7.23157e-07-0j 4.44456e-06-0j 3.11119e-05-0j 0.0124383-0j -4.31893e-05-0j -1.73446e-05-0j -0.140134-0j -5.39661e-05-0j 7.38069e-08-0j -0.000746207-0j 3.17535e-06-0j 0.000206552-0j 0.00103588-0j 0.00888634-0j -4.40799e-06-0j -0.00232708-0j 0.00129435-0j -0.0123359-0j -5.50789e-06-0j -0.100117-0j 0.138981-0j -0.0154141-0j 0.17366-0j 3.46199e-05-0j -0.000803977-0j 5.56647e-07-0j 3.1931e-05-0j 4.56157e-06-0j 0.00902674-0j -3.13435e-05-0j -1.2927e-05-0j -8.20556e-05-0j 3.97688e-07-0j -0.0426451-0j -4.51138e-05-0j -0.000741533-0j 7.33446e-08-0j -0.0203124-0j -2.8933e-05-0j 0.000727889-0j 0.000145139-0j 4.20728e-06-0j -9.2355e-06-0j -1.31936e-06-0j 0.00832564-0j -4.12986e-06-0j -0.000685682-0j 0.00104768-0j 5.23999e-08-0j -7.56824e-05-0j -0.00817245-0j -0.000326599-0j 0.00067191-0j -0.0393329-0j 0.000103693-0j 7.42899e-05-0j -5.94426e-06-0j -9.42594e-07-0j -0.0187347-0j -3.81225e-06-0j 0.0386091-0j -0.0117629-0j -0.000489875-0j 0.000106928-0j -0.00754394-0j 0.01839-0j -0.000233334-0j 0.0555715-0j 6.85765e-05-0j 0.0264694-0j 0.0356399-0j 0.0169757-0j 
0.0505971-0j 0.00733253-0j -0.00358486-0j -0.000517429-0j 0.00368105-0j 0.000531314-0j 0.00241365-0j 0.000426678-0j -0.00293883-0j 3.55565e-05-0j 0.00174227-0j -0.000519517-0j -4.32931e-05-0j 0.000307992-0j 2.5666e-05-0j -0.352381-0j 0.000299817-0j -0.411111-0j 0.0001836-0j 0.747182-0j 3.74771e-05-0j 0.353952-0j 0.000349786-0j 2.20836e-06-0j -0.148378-0j 0.0002142-0j -0.000635727-0j -0.000389301-0j 4.37233e-05-0j -0.000301153-0j -7.94658e-05-0j -0.000184418-0j 2.57642e-06-0j 0.000126245-0j -3.76442e-05-0j 7.73087e-05-0j -4.68257e-06-0j -2.2182e-06-0j 1.57806e-05-0j 9.29879e-07-0j 0.00143011-0j -0.0452072-0j 0.00161548-0j -0.00129787-0j 0.000188433-0j 2.7198e-05-0j 0.0013327-0j -0.051067-0j 2.35541e-05-0j -0.00342543-0j 2.77588e-06-0j -0.000936855-0j 0.0410272-0j 0.000212858-0j 1.26701e-07-0j 0.000304209-0j -0.0421281-0j 3.07234e-05-0j -0.00017101-0j 0.108282-0j 2.66072e-05-0j -2.46831e-05-0j 0.000175599-0j 3.13569e-06-0j 0.029615-0j -0.00045134-0j -2.13762e-05-0j 2.53455e-05-0j 1.43124e-07-0j -0.00961639-0j -2.51921e-06-0j -6.51454e-05-0j 2.19499e-05-0j -0.000123441-0j -5.64175e-05-0j -1.14986e-07-0j 4.00831e-05-0j 2.58681e-06-0j -1.78172e-05-0j -6.64887e-06-0j -1.54302e-05-0j 5.7855e-06-0j 1.18071e-07-0j -3.03478e-07-0j -1.81846e-06-0j 5.01039e-06-0j -8.30011e-08-0j 5.9048e-07-0j 2.69516e-08-0j 
-0.0511214-0j 0.00719761-0j -0.00368105-0j -0.000531314-0j 0.00371769-0j 0.000536603-0j -0.00243867-0j -0.000431099-0j 0.00293179-0j -3.59249e-05-0j -0.00161213-0j 0.000518272-0j 4.31893e-05-0j -0.000284986-0j -2.37488e-05-0j 0.356032-0j -0.000302924-0j -0.403547-0j -0.000185502-0j 0.254362-0j -3.78655e-05-0j -0.363303-0j 0.00034335-0j -2.23125e-06-0j 0.7158-0j 0.000210258-0j -0.000216419-0j -0.000132529-0j 4.29188e-05-0j 0.000309109-0j -2.70524e-05-0j 0.00018929-0j 2.52901e-06-0j -0.000609025-0j 3.86387e-05-0j -0.00037295-0j -1.59408e-06-0j 2.27681e-06-0j -7.61282e-05-0j -4.4859e-06-0j -0.00144493-0j 0.0456757-0j 0.00158575-0j -0.0013327-0j -0.000190386-0j -2.74798e-05-0j 0.00134597-0j -0.0501274-0j -2.37982e-05-0j 0.00113292-0j -2.80465e-06-0j -0.000881007-0j 0.0421281-0j 0.000208941-0j -1.28014e-07-0j -0.00325098-0j -0.0425474-0j 3.01581e-05-0j -0.000175599-0j -0.0358127-0j 2.61177e-05-0j -2.53455e-05-0j 0.000177347-0j 3.078e-06-0j 0.0278496-0j 0.000149275-0j -2.19499e-05-0j 2.55978e-05-0j 1.40491e-07-0j 0.102767-0j -2.58681e-06-0j 2.1546e-05-0j 2.21683e-05-0j -0.000116083-0j 1.86594e-05-0j -1.18071e-07-0j -0.000428354-0j 2.61256e-06-0j -1.67551e-05-0j 2.19903e-06-0j -1.45104e-05-0j -6.18276e-05-0j 1.19247e-07-0j 1.00371e-07-0j -1.71006e-06-0j -5.35443e-05-0j -7.80533e-08-0j -6.31025e-06-0j -2.88022e-07-0j 
-0.00843285-0j 0.0578079-0j 0.000597476-0j -0.00824481-0j -0.000613509-0j 0.00846606-0j 0.0586277-0j 0.00336382-0j -0.0713843-0j 0.000852808-0j 0.0423197-0j -0.00409575-0j -0.00103837-0j 0.00242814-0j 0.000615589-0j -0.000299817-0j -0.344483-0j -0.000349786-0j -3.05999e-05-0j 0.000635727-0j 0.000597167-0j 0.000301153-0j -0.401897-0j 7.07449e-05-0j -0.000126245-0j -3.56999e-05-0j 0.730437-0j 6.48836e-05-0j 0.000696695-0j 0.346019-0j -0.00126622-0j 3.07363e-05-0j 8.25357e-05-0j -0.145052-0j -0.000599829-0j -1.28848e-05-0j -0.000150006-0j -7.10603e-05-0j 0.00025145-0j 2.97887e-05-0j -0.000238351-0j 0.00181943-0j -0.000269246-0j 0.000216312-0j 0.00457704-0j -0.0631605-0j -0.000222117-0j 0.00205527-0j 0.000185695-0j 0.000570905-0j 6.65784e-05-0j 0.000156142-0j -0.0016512-0j 0.00517032-0j 5.07887e-06-0j -5.07016e-05-0j 0.00169551-0j -0.0713474-0j -0.00415383-0j -0.00435796-0j 0.000209765-0j 0.0573204-0j 0.0042653-0j 7.52084e-05-0j -0.0011919-0j -0.0109631-0j -0.000168525-0j -0.0588586-0j 5.7372e-06-0j 0.000387026-0j -6.04223e-05-0j 0.151284-0j 0.000173047-0j -0.00299839-0j -0.000444782-0j -4.60926e-06-0j 0.000973619-0j 6.20437e-05-0j 0.0413761-0j -0.000159471-0j -0.000121648-0j -0.0134354-0j 4.73295e-06-0j -1.21651e-05-0j -4.36151e-05-0j 3.95007e-05-0j -3.32714e-06-0j 1.41624e-05-0j 1.08037e-06-0j 
-0.00516404-0j -0.000748373-0j -0.070771-0j 5.28099e-05-0j 0.0726701-0j -5.42271e-05-0j -0.000246342-0j 0.00842332-0j 0.000299943-0j -3.62897e-06-0j -0.000177819-0j -0.0102561-0j 4.41858e-06-0j 0.00608028-0j -2.61953e-06-0j -0.0001836-0j -3.05999e-05-0j -0.0002142-0j -0.346912-0j 0.000389301-0j 0.00073986-0j 0.000184418-0j -3.56999e-05-0j -2.2539e-07-0j -7.73087e-05-0j -0.40473-0j 6.48836e-05-0j 0.735586-0j 0.00086317-0j 3.07363e-05-0j -0.00156879-0j 0.348458-0j -2.62955e-07-0j -1.28848e-05-0j -0.000743159-0j -0.146075-0j 4.77913e-07-0j 2.26395e-07-0j 0.000311535-0j -9.49054e-08-0j -0.00014596-0j -2.35541e-05-0j -0.000164879-0j 0.000132464-0j 0.00371998-0j -2.77588e-06-0j -0.000136018-0j -2.66072e-05-0j -0.0445056-0j 0.000349607-0j 5.48005e-05-0j 9.56173e-05-0j 2.13762e-05-0j 0.00420217-0j -1.29314e-08-0j -3.10482e-05-0j -2.19499e-05-0j -3.13569e-06-0j -0.00337602-0j 5.64175e-05-0j -0.0502744-0j 2.51921e-06-0j 0.00346661-0j 6.19038e-05-0j 1.54302e-05-0j -0.00891021-0j 0.0403904-0j -2.58681e-06-0j -1.46075e-08-0j -5.01039e-06-0j -4.97334e-05-0j 6.64887e-06-0j -0.0414743-0j -0.00243694-0j 0.106601-0j 1.17357e-08-0j 0.000791307-0j 5.1068e-05-0j 1.81846e-06-0j -0.00013126-0j 0.0291553-0j -5.9048e-07-0j -1.20506e-08-0j 3.09736e-08-0j -3.58995e-05-0j -0.00946714-0j 8.47127e-09-0j 1.16571e-05-0j -2.75074e-09-0j 
0.00852024-0j 0.0567442-0j 0.000613509-0j -0.00846606-0j -0.000619616-0j 0.00855033-0j -0.0592352-0j -0.00339868-0j 0.0712132-0j -0.000861645-0j -0.0391585-0j 0.00408593-0j 0.00103588-0j -0.00224676-0j -0.000569607-0j 0.000302924-0j 0.348053-0j -0.00034335-0j 3.0917e-05-0j 0.000216419-0j -0.000603355-0j -0.000309109-0j -0.394503-0j -7.1478e-05-0j 0.000609025-0j -3.50431e-05-0j 0.248661-0j 2.20882e-05-0j 0.000683876-0j -0.35516-0j -0.000431058-0j -3.15484e-05-0j 8.10171e-05-0j 0.699758-0j 0.000615676-0j 6.21584e-05-0j -5.10664e-05-0j 7.29376e-05-0j -0.00121304-0j -0.000143706-0j 0.000240821-0j -0.00183829-0j -0.000264292-0j 0.000222117-0j -0.00462448-0j 0.063815-0j -0.000224328-0j 0.00201745-0j -0.00018762-0j -0.00018882-0j -6.72684e-05-0j 0.000146834-0j -0.00169551-0j 0.00507519-0j -5.1315e-06-0j 0.00054183-0j 0.00171239-0j -0.0700346-0j -0.0042653-0j 0.00144134-0j 0.000205905-0j 0.0588586-0j 0.00430775-0j 7.38245e-05-0j -0.00112085-0j 0.00362589-0j -0.000173047-0j -0.0594444-0j 5.63163e-06-0j -0.00413601-0j -6.20437e-05-0j -0.0500351-0j 0.00017477-0j -0.00281965-0j 0.000147106-0j -4.73295e-06-0j -0.0104047-0j 6.26613e-05-0j 0.0389095-0j 5.27428e-05-0j -0.000114396-0j 0.143579-0j 4.78006e-06-0j 4.02343e-06-0j -4.10152e-05-0j -0.00042213-0j -3.1288e-06-0j -0.000151349-0j -1.15455e-05-0j 
0.00105411-0j -0.0146047-0j 0.00718569-0j -0.0482294-0j -0.00737852-0j 0.0495236-0j 5.02844e-05-0j 0.081767-0j -6.12257e-05-0j 0.0101558-0j 3.62972e-05-0j -0.0995584-0j -0.0123656-0j 0.0590225-0j 0.00733085-0j 3.74771e-05-0j -0.000597167-0j 4.37233e-05-0j -0.00073986-0j -7.94658e-05-0j -0.336097-0j -3.76442e-05-0j -0.000696695-0j 0.00127037-0j 1.57806e-05-0j -0.00086317-0j 0.00126622-0j 0.00156879-0j -0.392113-0j 0.000599829-0j 0.712655-0j 0.000743159-0j 0.0014821-0j -0.00025145-0j 0.337596-0j -0.000311535-0j -0.00269367-0j -0.00127603-0j -0.141521-0j 0.000534917-0j 2.97939e-05-0j -0.000459666-0j 3.36558e-05-0j -2.7039e-05-0j -0.000377706-0j 0.00253511-0j 2.77646e-05-0j -0.000519248-0j 0.00907458-0j -7.13632e-05-0j -0.0762844-0j -1.95178e-05-0j 0.000417164-0j -0.000426665-0j 0.000121899-0j 6.3377e-06-0j -0.000428358-0j 0.00286372-0j 0.000342782-0j 0.00110101-0j 0.0102508-0j -0.00230071-0j -0.00035198-0j -0.0861723-0j 0.000301125-0j 0.000904693-0j -0.0082355-0j 0.00236244-0j 0.000137699-0j -9.77793e-05-0j 0.0692308-0j -0.00607217-0j 0.0084565-0j 0.000247433-0j -0.0217357-0j -0.000110628-0j -8.03449e-05-0j -0.0710886-0j -0.00166074-0j 0.182718-0j -0.0059447-0j 0.000539264-0j 0.000113596-0j -0.000291975-0j 0.0499734-0j 0.00193033-0j -7.98552e-05-0j -0.016227-0j 2.59301e-05-0j 
