-0.00395712-7.18869e-15j 0.0371483+1.90958e-06j -0.0280243+0.00176346j -0.000495995-0.00204216j -0.00372176+0.000747456j -0.0012045-0.000520078j -0.0025176+0.000113653j -0.00637235-0.00350767j -0.0189367-0.00131377j -0.0197595-0.00105392j -0.0156693-0.000419867j 0.014289+0.00114776j -0.0232099-0.000715482j -0.0160135-0.000268669j -0.0200226-0.000819967j 0.0120199-0.000938388j 0.0141512-0.00288721j -0.0421306+0.000250626j -0.00338979+0.0030551j -0.0248263-0.00110793j -0.0138941+0.00251469j 0.0205471-0.00133765j 0.0479222+0.00236694j -0.0273944-0.00208365j -0.0242633+0.000512059j 0.0499879-0.00198722j 0.0271907-0.000800575j 0.0440095-0.00150799j -0.0145839+0.00949219j 0.0562538-0.00697814j -0.296861+0.000760131j -0.140752+0.0163861j -0.0906215+0.0225786j -0.22587-0.00366324j -0.0649907+0.000412892j -0.0405264+0.000899563j 0.122227-0.00802947j -0.00504591+0.0160899j 0.00803424-0.0024933j 0.0187661+0.000417756j 0.0234971+0.00978142j -0.0528098+0.00193231j 0.0249454+0.00488279j 0.0224177-0.0044271j -0.0450112-0.000916283j -0.0136204-0.00398674j -0.00544272+0.00405414j -0.0459727+0.00507845j -0.00882857+0.000243357j 0.0361337+0.00357742j -0.030213+0.00318873j -0.0393112+0.00455487j 0.0237363+0.000427339j -0.0115559-0.0037439j 0.00296897+0.000106252j 0.0234859-0.00646801j -0.000188093-0.00167599j 0.00632902+0.00522458j -0.0113395+0.00191732j -0.0167219-0.00147273j -0.0229914+0.00249804j -0.0119492-0.0111476j -0.0104797+0.00134576j -0.014208+0.00056146j 0.0165896+0.000364509j -0.00894301+0.0125141j 0.0363867+0.00101111j 0.0403125-0.0117374j -0.0143131+0.0171933j -0.0906829-0.00578082j 0.0234662-0.0189182j 0.132589+0.0177836j 
0.0371483-1.90958e-06j 0.00410891-9.80813e-15j -0.00297624+0.00185199j -0.0278908+0.00243123j 0.0122226+0.000805007j -0.0143985-0.000814466j -0.00414891+0.0019468j -0.0238256+0.000168811j 0.000552429+0.000931839j -0.0124725+0.00235994j -0.0176681-0.00118838j -0.0138227-0.00106106j -0.00709039+0.00236496j -0.00894272+0.000534267j 0.00797502+0.000510626j -0.0424534-0.00169337j -0.00969956+0.00037253j 0.0181523+0.000394196j 0.0253304+0.000167294j -0.0292276-0.000290425j 0.00328751+0.000134111j -0.0138502-0.000826786j 0.00759017-0.000196041j -0.0640585-0.00129958j 0.0354143+0.000373989j -0.0509994-0.000218428j 0.0199842-0.000140986j -0.0556639+0.00262768j -0.000936416-0.000239171j -0.0981745-0.00863831j -0.157988+0.0209643j 0.247625-0.00234789j 0.251885+0.00147564j -0.105613+0.0220482j -0.00445195+0.00633599j 0.00898236+0.0051546j -0.03912-0.0131167j 0.137852-0.00344572j -0.0127573-0.000340093j 0.00927853-0.00293928j 0.071479-0.00553479j -0.00067917+0.00737638j 0.0361821-0.00498307j -0.028144-0.00227871j -0.00929956+0.00751331j -0.0344105+0.00300625j 0.0264568-0.000177319j 0.0277569+0.00714686j 0.000794932+0.00102743j 0.030703-0.0069314j 0.01815+0.00406526j 0.0186537+0.00605044j 0.00549343-0.00397608j -0.0271408+0.00288475j 0.00542952-0.00066181j -0.0183009-0.00368028j -0.00200115+5.55374e-06j 0.01653-0.00255969j 0.00969304+0.00114026j -0.00636795+0.00401191j 0.00502148+0.00630314j -0.0368403+0.00183522j 0.00800612+0.00358232j 0.00933183+0.00475299j -0.00875773-0.000761967j 0.0348341+0.0012239j 0.023876-0.0176092j -0.0112396+0.0011832j -0.0959887-0.00277082j 0.015047-0.0190814j -0.131268-0.0172958j 0.0230733-0.0183383j 
-0.0280243-0.00176346j -0.00297624-0.00185199j -0.0207896+4.4062e-16j -0.0507125-0.000107418j -0.0991294+0.000926497j 0.150497-0.00142156j -0.0111057-0.00169014j 0.108234-0.000990386j 0.0197796-0.000491128j 0.0721139-0.00178863j 0.145655+0.0019166j 0.0281507+0.000317155j 0.0910759-0.000800402j 0.102797+0.000775005j 0.0177806+0.000580143j 0.0426633-0.00119843j -0.0759678-0.00259352j 0.0952446+0.00331069j 0.0281594+0.00259492j 0.153283+0.000432412j 0.137538+0.00198342j -0.0954471+0.000192996j -0.0921932+0.00201972j 0.175203+0.00288941j 0.0214947-0.00237411j -0.271006+0.000449895j -0.0931683+0.00373475j -0.0411928-0.00529543j -0.305978+0.0166538j 0.317141+0.000174783j 0.058207+0.00969568j 0.274325-0.0114157j -0.0180236-0.00186736j 0.0573022-0.000151624j 0.0172704+0.00357483j 0.0812648+0.000469224j -0.021553+0.0047481j -0.0152271+0.00338133j -0.047831+0.00101024j 0.0379023-0.000170172j 0.019086-0.00140107j 0.0143684-0.00512195j -0.00406618+0.00198232j 0.00447609-0.000999285j -0.0506128+0.00428382j 0.00168554-0.000397167j -0.0298501+0.0023351j -0.0269812-0.000353899j -0.0125593+0.000892025j -0.00965907-0.00159592j -0.021224+0.00524036j -0.0166167+0.00357444j 0.00636916+0.00325436j -0.00454642-0.00075107j -0.00554443-0.00403761j 0.0221416-0.00848939j 0.00394635-0.000618019j 0.014464+0.00510159j -0.0199832-0.00157273j 0.00908064-0.00580749j 0.0253321-0.00516176j -0.0305876-0.00540363j -0.00241002-0.00221441j -0.017442-0.00380303j 0.0823956-0.0206027j -0.0676547-0.00497827j 0.0296926-0.00379057j -0.0637277-0.0138462j -0.00415492-0.019525j -0.135089-0.0216377j 0.000721302-0.0105552j 0.0245814+0.00877951j 
-0.000495995+0.00204216j -0.0278908-0.00243123j -0.0507125+0.000107418j 0.121253+5.10442e-15j 0.16963-0.00046099j -0.101425-0.00229135j -0.0432984-0.000696311j -0.03047+9.84037e-05j 0.113633-0.000252866j -0.0230409-0.00080641j -0.0390565-0.000116877j -0.096733-0.00103076j -0.0555654+0.000631524j -0.10733+0.000728864j 0.0743057+0.00193039j -0.0820698-0.00156027j 0.064187+0.000543327j 0.113901+0.00205733j -0.038958-0.000601958j -0.0503722+0.000149622j -0.106543-0.00214723j 0.0839621+0.00239953j -0.0653955-0.00210562j -0.105667+0.00158296j 0.102272-0.000462382j -0.101143-0.00238119j -0.156532+0.00161897j -0.0346698-0.00193915j -0.439941-0.00343536j -0.368167+0.0157834j -0.158404+0.00805269j 0.0103201+0.0130127j 0.0393597-0.00122502j 0.0167405+0.000389824j -0.0447905+0.00139297j -0.0238891+0.00842167j -0.0590731+0.00208066j -0.0352109-0.000591096j -0.0489652-0.00445727j 0.00262309+0.00509756j 0.0337062+0.00110109j 0.0747902-0.00181899j 0.00438508+0.000162044j -0.0180403+0.00260364j -0.0560862-0.0022763j -0.00265343+0.000661152j -0.0276012-0.00388363j -0.00946505-0.00432157j -0.00230853-0.000464565j 0.00809771-0.00408149j -0.0128883+0.00225204j -0.0295493-0.000379161j -0.028478+0.00256973j -0.0110602-0.00252467j 0.0148411-0.00286503j 0.0229835-0.00218531j 0.00525315-0.0038938j -0.0245204+0.00602674j -0.0124457-0.00340272j 0.014693-0.00651045j 0.0412305-0.00648378j -0.0172678+0.00448722j -0.0111997+0.0101465j -0.0815388-0.00234886j -0.09677-0.00469253j -0.0682431+0.013366j -0.0123171+0.00515024j -0.0317908+0.0217548j 0.114737+0.00982443j -0.0218562-0.0127461j 0.0218269+0.00648374j 0.00227744+0.0101638j 
-0.00372176-0.000747456j 0.0122226-0.000805007j -0.0991294-0.000926497j 0.16963+0.00046099j 0.317707-1.66412e-14j -0.248166-0.000394595j -0.0438237-0.00018518j -0.202924+0.000618231j 0.0863444-0.000104091j -0.136599-0.000308463j -0.0771191+0.00114973j -0.088129-6.67868e-05j -0.214488+0.000564492j -0.232497+0.0010835j 0.00182562+0.00101348j -0.116183-0.00110518j 0.157771-0.00162986j 0.0365139+0.00292374j -0.0364488+0.00134069j -0.12989+0.000407819j -0.183723+0.0010954j 0.208163+0.000215491j 0.152319+0.000254323j -0.112913+0.00249313j -0.112334-0.00124419j 0.127694-0.00195142j -0.0576889+0.00348741j 0.277785-0.00709019j 0.0483164+0.00285308j 0.288361-0.010242j 0.107659+0.00152561j 0.154729-0.0191828j -0.0237721-0.00531663j -0.0293451+0.00268446j -0.00319636+0.00341131j 0.0259897+0.000753721j 0.0224954+0.0026795j -0.0382757+0.00102756j -0.0263077+0.00314675j -0.00122638-4.79324e-05j -0.0388039-0.00254167j 0.00514499-0.00531606j -0.0115459-0.00098605j -0.0119657+0.00277988j 0.0163216+0.00331359j 0.0194208+0.00297985j -0.0200896+0.00207041j -0.00452783-0.000778484j 0.00295721-0.000756105j -0.030961-0.00506494j 0.0484487-0.00170664j 0.00751031+0.0052423j 0.0207541+0.00117365j 0.0221476+0.00431489j -0.0408967-0.00295749j -0.0464277-0.00561762j 0.00340163-0.00232261j 0.00563145+0.00763414j -0.0506933+0.00188884j -0.0069197-0.00286436j 0.0552151-0.00938104j -0.0164179+0.0018433j 0.0731217-0.00505843j 0.0114611+0.00544199j 0.0777019-0.00511719j -0.00946376-0.0169495j -0.0287537-0.0128505j -0.088786-0.0198945j -0.0320517-0.0226806j -0.0685751-0.0119296j -0.00406117-0.00625217j 0.008186+0.000196766j 
-0.0012045+0.000520078j -0.0143985+0.000814466j 0.150497+0.00142156j -0.101425+0.00229135j -0.248166+0.000394595j 0.0185623+1.21908e-15j 0.145746+0.000770472j 0.000455741+0.000634247j -0.308994+0.000416629j -0.0465032+0.00199395j -0.0686234+0.000275545j 0.156598-0.000913902j 0.0542774+0.00239159j 0.115708+0.00092126j -0.0453283+0.0012605j 0.121698-0.0013912j 0.125833+0.00126677j -0.240314-0.00114525j -0.120399-0.00122008j 0.0585065-0.000649622j 0.0429763-0.00263621j 0.00769028+0.00180448j 0.226458-0.00242153j -0.0821404-0.000212141j -0.0383213-0.000315296j 0.137978-0.00147214j -0.507575+0.00335497j 0.121316+0.00306532j 0.00367436-0.0024501j 0.0376787-0.00607359j 0.0375741+0.00965389j -0.0158872-0.00243248j -0.042912-0.000689054j -0.0177495+0.00494305j -0.0997983+0.000937461j -0.0873777+0.00791483j -0.0203993-0.0075099j -0.0466331+0.000166401j -0.00557796-0.0018109j -0.0112617+0.00218604j 0.0543252+0.000547042j 0.0541389-0.000821554j 0.0274124-0.00169954j 0.00384649+0.00554001j 0.00921792-0.00101394j -0.0223076+0.00992117j 0.00947293-0.00589534j 0.00608576+0.000138042j 0.00872887-0.00247364j 0.024491-0.0119673j -0.0110551+0.0020864j -0.0212723+0.00882126j -0.0226949-0.00377991j 0.0233514-0.00454286j 0.00851956-0.00247209j -0.0831155+0.00587937j -0.0458628-0.00207054j 0.000456163+0.0158358j 0.0326748-0.00189828j -0.0309908+0.00265604j -0.0064689-0.00416247j -0.0434744+0.00603025j 0.0194219+0.003707j 0.000774365+0.00220849j -0.064975+0.00631388j 0.0559055+0.00556422j -0.00598126-0.0202519j -0.112818-0.00231421j 0.0438167+0.000253623j -0.034855-0.0123007j 0.00668604-0.00133887j -0.00172096+0.0029542j 
-0.0025176-0.000113653j -0.00414891-0.0019468j -0.0111057+0.00169014j -0.0432984+0.000696311j -0.0438237+0.00018518j 0.145746-0.000770472j -0.227092+4.18329e-15j 0.127889+8.20849e-05j 0.186083-0.000571289j 0.143786+0.000534179j -0.160175-0.000141215j 0.0541615-0.00127801j 0.0756329+0.00110627j -0.0867915+0.00129019j 0.148298+0.000900894j 0.193458-0.00194582j -0.189773-0.000414518j 0.0750007+0.000178243j -0.0532473+0.00125801j -0.175272-0.000234339j -0.000666161+0.000420761j 0.128489-0.000219793j -0.250901+0.000263454j -0.0563531-0.00287052j 0.254107+0.00128299j 0.51422-0.00425544j -0.0426854-0.00219435j -0.0767455-0.00246137j 0.0518174+0.00192804j 0.0354242-0.00859977j 0.0759442+0.00452004j 0.178221-0.00243143j -0.0109659+0.00286372j 0.0733364-0.00374167j -0.0151569-0.00377632j -0.0749526+0.00280218j 0.0191404-0.00254878j -0.0137852+0.000273291j 0.0166797-0.00707093j 0.00380675-0.00204206j -0.000730789+0.00483483j -0.00272691+0.00294317j 0.00693898+0.00562903j 0.00833177-0.00168311j -0.0167034+0.00260446j 0.0218649-0.00310774j -0.00918995-0.00356187j -0.0327724-0.000816323j -0.00168463+0.0044531j 0.00492103+0.00027705j 0.00317379+0.00595488j -0.0134583-0.00366105j -0.0133889-0.000485971j 0.0184804-0.00493397j -0.0155123-0.00295371j -0.0101604-0.00248419j 0.0116539-0.00163363j 0.029669+0.00708037j -0.025256+0.0133457j -0.0250135+0.00483489j -0.02568+0.00211436j 0.00950525+0.00106304j 0.0789164-0.00345875j -0.052873-0.00340622j 0.00249251+0.0126877j -0.0333206+0.00545188j 0.0991465-0.0022176j -0.094522-0.0126249j 0.00110788-0.00854385j -0.00639269-0.0104027j -0.00162583-0.000101084j 0.00146993+0.00294582j 
-0.00637235+0.00350767j -0.0238256-0.000168811j 0.108234+0.000990386j -0.03047-9.84037e-05j -0.202924-0.000618231j 0.000455741-0.000634247j 0.127889-8.20849e-05j 0.221787-4.83467e-15j -0.0341484-0.000462302j 0.0450071+0.0012254j -0.0385595-0.000630161j -0.168944+0.000435977j 0.112709+0.00132319j 0.175616+0.000805928j 0.0580129+0.000571658j -0.244945-0.000958192j -0.0523588+0.00128876j -0.0186775-0.00187966j 0.112485-0.0013651j -0.118519-0.00103942j -0.0515811-0.00275925j -0.16659+0.00234179j -0.0414789-0.00140548j -0.307322+0.00229487j 0.196357-0.00159914j 0.00704649+0.00321752j 0.245789+0.00255853j 0.471338-0.00619957j 0.0535308-0.00544472j 0.065152-0.00405213j -0.147175-0.00117515j 0.0562661-0.00138546j 0.0998649-0.00710731j -0.00831812-0.00243567j -0.0469736-0.00136283j -0.0316554+0.000129816j -0.0407192+0.00122054j -0.0048971-0.00277226j 0.036248+0.000450982j 0.00314431+0.00319733j 0.0700782-0.00259684j 0.0112131+0.000378394j -0.000149309-0.00474032j 0.0646748+0.00344609j -0.0286053-0.000913197j 0.0308639-0.00743071j -0.0140972+0.00239187j -0.0138711-0.00319268j -0.0115686+0.00288437j -0.0092632-0.00189808j -0.0729016+0.000357492j -0.042793+0.000217748j -0.0362869+0.00628314j 0.0764229-0.00888842j 0.00852691+0.00686538j 0.010073+0.00288074j -0.0406479-0.00880771j 0.00587594-0.00605385j 0.0746199-0.00364005j 0.054301-0.0121686j 0.0500664-0.0133586j 0.0467957+0.000760768j 0.0120027-0.0180905j -0.0506179+0.00800893j -0.0605607+0.0020853j -0.0725091-0.0157188j -0.0644929-0.00871412j -0.0294841+0.00290503j -0.0183967-0.00223617j -0.0289427-0.012006j 0.00527991+0.000543548j 0.00453839-0.000627858j 
-0.0189367+0.00131377j 0.000552429-0.000931839j 0.0197796+0.000491128j 0.113633+0.000252866j 0.0863444+0.000104091j -0.308994-0.000416629j 0.186083+0.000571289j -0.0341484+0.000462302j -0.215744-1.23794e-14j -0.00620758+0.00126506j -0.180928-0.000517713j 0.0426774+0.000279768j -0.310938+0.000443869j 0.129144-0.00025278j -0.0011318-0.00024819j 0.0293227-0.000997448j 0.0704785-0.000641389j -0.217776+0.000125559j -0.059849+0.00126527j -0.222995+0.000120311j 0.125433+0.00107163j -0.282904-0.00213896j -0.03238+0.00111391j 0.438961-0.00400844j 0.261041-0.000489506j 0.114641+0.00205941j 0.133427-0.00185864j -0.0590687-0.00131291j -0.0527824+0.00230847j 0.00591396+0.000252729j -0.107095+0.00086228j 0.0340353-0.00104172j -0.0178847-0.00476576j 0.0256391-0.000482676j 0.025332-0.000494815j 0.000428454-0.00393336j -0.0168983-0.000539451j -0.0334328+0.00278929j 0.0285888-0.000820289j 0.0228923+0.00116946j -0.00367981-0.00119302j 0.0502117-0.00506075j -0.0465106-0.00560368j 0.0371233+0.00453782j -0.0100103+0.00171551j -0.0110396-0.00199743j 0.00325663+0.00177013j 0.0620156-0.00482309j -0.0156894+0.00672829j -0.0124812-0.00278211j 0.0322891+0.00333119j 0.00228738+0.00122406j -0.0108639+0.00792555j -0.0203981+0.00462527j 0.033599-0.00332249j -0.0277709-0.00352315j -0.099877+0.000328124j 0.018558+0.00262938j 0.014555+0.00106319j 0.0021075-0.00116964j 0.0284124+0.0146644j 0.0257076+0.0042347j 0.0765361-0.00959896j 0.0133671-0.00116546j -0.0131912+0.0044303j -0.0508658+0.00364456j 0.0704609+0.00908499j 0.00561002-0.00403714j -0.00118321-0.00234488j -0.017863-0.0063914j 0.00106787-0.00163737j 0.00577846+0.00140431j 
-0.0197595+0.00105392j -0.0124725-0.00235994j 0.0721139+0.00178863j -0.0230409+0.00080641j -0.136599+0.000308463j -0.0465032-0.00199395j 0.143786-0.000534179j 0.0450071-0.0012254j -0.00620758-0.00126506j -0.296453-6.72986e-15j 0.00367149+0.00083367j -0.158159+0.000852553j 0.0927247+0.00226849j 0.051776+0.00189627j -0.258555+0.00171784j 0.168956-0.00427982j 0.00178527-0.00120542j -0.26899+0.003265j 0.0224611+0.00221169j 0.224963-0.0010569j -0.528738+0.00177273j 0.0939786+0.00108659j -0.244161+0.00186651j 0.0597293+0.000256897j -0.145013+0.000562783j 0.0588522-0.0010689j 0.182741-0.000667993j -0.0849437-0.00222175j 0.0254261+0.00113976j -0.0563065-0.00202008j 0.0670594+0.00678372j 0.0970851-0.00269085j 0.025425-0.00169129j 0.0797763-0.00138915j -0.0275548+0.00081302j -0.0143768+0.0017719j -0.0434028-0.000296817j -0.0565316+0.00478938j 0.0330345-0.0017033j 0.0100298+0.00668372j 0.00388811+0.00186816j 0.022521+0.00249946j -0.0406612-0.00107134j 0.026053+0.000222931j 0.00588049-0.00408813j -0.0155781-0.000327123j -0.00840197+0.00256933j 0.0317661-0.00524286j 7.70826e-06-0.000871279j 0.0357735-0.00739721j -0.00546226+0.0064969j -0.0224565+0.000519094j 0.0201841+0.00471134j 0.0109467+0.00570051j 0.0223324-0.00499023j -0.0166544-0.00909116j -0.0783232-0.000751029j 0.0337134+0.00306872j -0.0379681+0.0121277j -0.0638466+0.00281431j 0.0508356+0.00671547j -0.082551-0.00336831j 0.0755439+0.00928296j -0.104387+0.0026693j 0.0651063+0.00941242j -0.0406175-0.000558368j 0.0249352+0.00898977j -0.00259312-0.00258514j 0.00418938-0.00814345j 0.00400288-0.00977812j 0.00137215+0.000265594j 0.00322453+0.00361263j 
-0.0156693+0.000419867j -0.0176681+0.00118838j 0.145655-0.0019166j -0.0390565+0.000116877j -0.0771191-0.00114973j -0.0686234-0.000275545j -0.160175+0.000141215j -0.0385595+0.000630161j -0.180928+0.000517713j 0.00367149-0.00083367j -0.461438+7.39903e-13j 0.264926-0.000872829j 0.205124-0.000175683j -0.148278+0.00249408j 0.0721371+0.00110538j 0.0889611-0.000776724j -0.170657-0.00149678j -0.168901+0.0033985j -0.0184395+0.000398513j -0.180244-7.33575e-05j 0.105965-0.000922791j 0.361469+0.00180322j -0.176659+0.00100913j 0.0950975+0.00258818j -0.098356-0.00343024j -0.223528+0.00306473j 0.135508+0.000816204j 0.122311-0.00115913j -0.0370126-0.00386203j 0.0238525+0.00311475j -0.0623118+0.000342646j -0.124502-0.00380663j -0.00351016-0.00446829j -0.0471059+0.00300476j -0.0286831+0.00630991j 0.049516+0.00355015j 0.00468391+0.00107122j -0.0113629-0.00286517j 0.0227469+0.00584343j 0.00591821+0.00228316j 0.0336163-0.00316197j 0.00854504-0.00483032j 0.0195571-0.00150564j -0.0333052-0.00181517j 0.0231544-0.00114983j 0.0656133-0.00393601j -0.0495597+0.00210809j 0.0626906-0.00437339j -0.043271-0.00240128j 0.0280517-0.0137622j -0.0448244-0.0123995j 0.036209+0.00638483j -0.0472301+0.00270198j 0.00213084+0.00685992j -0.0380793-0.00194505j -0.029466-0.00243809j 0.0602378-0.00404151j 0.0316693-0.000918581j -0.0186863-0.00363468j 0.0807664+0.00023061j 0.0772706-0.00755819j -0.0581699-0.00305465j -0.0433629+0.00913937j 0.0106827+0.0105057j 0.0400892-0.0115838j -0.0224612-0.0117227j -0.0378825+0.00199129j 0.0446778+0.00645459j 0.00396568-0.00105533j -0.0213077-4.39496e-05j 0.00475146-0.00331822j 0.00431592+0.00117694j 
