-0.35418-0j -0.41321-0j 0.750996-0j 0.355759-0j -0.149135-0j -0.045438-0j -0.0513277-0j 0.0412366-0j -0.0423432-0j 0.108834-0j 0.0297662-0j -0.00966548-0j -0.0291464-0j -0.00420692-0j -0.0322591-0j -0.00465621-0j 0.025094-0j -0.0170021-0j 0.00362201-0j -0.0257674-0j -0.00245404-0j -0.0037192-0j 0.0292763-0j 0.0520912-0j 0.00422567-0j -0.0173563-0j 0.00751872-0j 0.0546367-0j -0.00250516-0j 0.00788613-0j 0.0105664-0j 0.00152513-0j -0.00280144-0j -0.000404353-0j -0.0218946-0j -0.00387046-0j -0.000322538-0j -0.0238939-0j -0.00422389-0j -0.000351991-0j 0.0182113-0j -0.0187-0j -0.0168956-0j 0.00321933-0j 0.000268277-0j -0.00330572-0j -0.00298674-0j 0.0205718-0j -0.000275477-0j -0.0139381-0j -0.000248895-0j -0.0121959-0j 0.0358251-0j 0.00363662-0j -0.00246394-0j 0.0169709-0j 0.000303052-0j -0.00215595-0j 0.00633304-0j 0.0427039-0j -0.000205328-0j -0.00711426-0j -0.000179662-0j 0.000527753-0j 0.00300006-0j 0.0258599-0j 0.00754905-0j 0.000250005-0j -0.00125763-0j 0.00387387-0j 0.000629088-0j 0.00457143-0j -0.000104803-0j -0.000868031-0j 0.000684809-0j 0.000380952-0j 5.70674e-05-0j -0.000153448-0j -1.27873e-05-0j 
0.35785-0j -0.405607-0j 0.25566-0j -0.365157-0j 0.719454-0j 0.0459089-0j -0.0503833-0j 0.0423432-0j -0.0427646-0j -0.0359955-0j 0.0279917-0j 0.103292-0j 0.0294484-0j 0.00425052-0j -0.0316656-0j -0.00457053-0j 0.0257674-0j 0.0171783-0j 0.0037192-0j -0.0260239-0j 0.00247947-0j -0.00375622-0j -0.0292062-0j 0.0106285-0j -0.00421555-0j 0.0160598-0j 0.00153409-0j -0.0185923-0j 0.00231803-0j -0.00268357-0j 0.0518051-0j 0.00747742-0j 0.0518623-0j 0.00748568-0j 0.0221215-0j 0.00391056-0j 0.00032588-0j -0.0234543-0j -0.00414617-0j -0.000345515-0j 0.0187-0j -0.0188861-0j 0.0170707-0j 0.00330572-0j 0.000275477-0j -0.00333862-0j 0.00301769-0j -0.0205225-0j -0.000278219-0j -0.0136817-0j 0.000251475-0j 0.0112849-0j 0.0121959-0j -0.0036279-0j -0.0024186-0j -0.0174192-0j -0.000302325-0j 0.0019949-0j 0.00215595-0j -0.00846511-0j -0.00020155-0j 0.0343204-0j 0.000166242-0j 0.000179662-0j -0.00307932-0j 0.0080623-0j -0.00149643-0j -0.00025661-0j 0.00606704-0j 0.0420735-0j -0.000124703-0j 0.00142523-0j 0.000505587-0j 0.0245674-0j 0.00743762-0j 0.000118769-0j 0.000619802-0j 0.00434294-0j 0.000361912-0j 
0.041479-0j -0.0965277-0j 0.0296341-0j 0.0423432-0j 0.0174657-0j -0.251715-0j -0.284342-0j 0.463097-0j 0.467896-0j -0.203144-0j -0.167585-0j -0.0535442-0j 0.00341342-0j -0.0471032-0j 0.00377796-0j -0.0521337-0j 0.00298674-0j -0.00993469-0j -0.0412153-0j 0.00301769-0j 0.137093-0j -0.0416424-0j -0.00695058-0j 0.00123197-0j 0.0959139-0j -0.00405451-0j -0.0170004-0j 0.00215595-0j 0.0559498-0j -0.0297508-0j 0.00125763-0j -0.0173546-0j 0.000328085-0j -0.00452738-0j 0.00256414-0j -0.0214413-0j -0.00543588-0j 0.00279829-0j -0.0233993-0j -0.00593226-0j 0.00216755-0j 0.00219001-0j -0.00394689-0j -0.018125-0j -0.00459511-0j -0.0183128-0j 0.0330038-0j 0.0024485-0j -0.00464273-0j -0.00814436-0j 0.00836724-0j 0.00142829-0j -0.00281979-0j -0.0204744-0j 0.0681031-0j -0.00402911-0j -0.00519073-0j -0.0119434-0j 0.0235791-0j 0.00100996-0j 0.0172657-0j -0.00166192-0j -0.00302793-0j 0.00597784-0j 0.0336914-0j 0.00102042-0j -0.00844524-0j 0.00854155-0j 0.013897-0j 0.000461076-0j -0.00214107-0j -0.00853276-0j 0.00352321-0j 0.000101658-0j -0.00385551-0j -0.00216326-0j -0.000977463-0j -0.00085006-0j -0.00021551-0j 
-0.0513277-0j -0.000852354-0j 0.108834-0j -0.0500888-0j 0.0636075-0j 0.311481-0j 0.00500825-0j -0.28268-0j -0.282003-0j -0.0106194-0j 0.399386-0j -0.260315-0j -0.00422389-0j 0.0582872-0j -6.6543e-05-0j 0.000918254-0j 0.00363662-0j -0.00246394-0j -0.0501832-0j 0.0036279-0j 0.0340009-0j -0.0500629-0j 6.03902e-05-0j 0.00754905-0j -0.000833349-0j 0.00492313-0j -0.104172-0j -0.00769254-0j -0.0679363-0j 0.106153-0j -0.00450666-0j 0.0621892-0j 0.00199525-0j -0.0275333-0j -0.00317296-0j 0.0265323-0j 0.00672655-0j -4.92876e-05-0j 0.000412142-0j 0.000104488-0j 0.00263918-0j 0.00263285-0j -0.0024485-0j -0.0220688-0j -0.00559495-0j -0.0220159-0j 0.0204744-0j 4.24348e-05-0j -0.00558154-0j -2.87511e-05-0j 0.00519073-0j 0.00345938-0j 0.00519177-0j -0.00035484-0j 0.000240416-0j -0.00238941-0j -8.99602e-05-0j -0.0289273-0j -0.0434135-0j 8.80881e-05-0j 6.09512e-05-0j 0.00303429-0j -0.00733374-0j -0.0110063-0j 0.0199802-0j -0.0073352-0j -0.000736592-0j 0.00506544-0j -0.0253727-0j -0.00220565-0j -0.000186743-0j 0.0613369-0j -0.00643258-0j 0.000742236-0j 0.0184436-0j 0.0155503-0j 0.00467588-0j -0.00620657-0j -0.00157351-0j 
0.0299411-0j -0.0683711-0j 0.021391-0j 0.0279917-0j 0.0146697-0j -0.181697-0j 0.401733-0j -0.167585-0j -0.155067-0j 0.287012-0j -0.468383-0j 0.500776-0j 0.00246394-0j -0.0340009-0j -0.00533771-0j 0.0736572-0j 0.00215595-0j 0.0014373-0j -0.0297508-0j 0.0019949-0j -0.0198338-0j -0.0275285-0j -0.00492313-0j 0.000889282-0j 0.0679363-0j 0.00568103-0j -0.0122716-0j 0.00142523-0j -0.0783948-0j -0.0196673-0j 0.00105631-0j -0.0145764-0j -0.0104762-0j 0.144565-0j 0.0018509-0j -0.0154772-0j -0.00392382-0j -0.00395357-0j 0.0330597-0j 0.00838142-0j 0.00156462-0j 0.00144775-0j 0.00142829-0j -0.0130833-0j -0.00331693-0j -0.012106-0j -0.0119434-0j -0.00345938-0j -0.00306916-0j -0.00230625-0j -0.00302793-0j 0.00399193-0j 0.00102042-0j 0.0289273-0j 0.0192848-0j 0.0013353-0j 0.00733374-0j -0.0333805-0j -0.00853276-0j -0.00142692-0j 0.00488916-0j 0.000699796-0j -0.00846273-0j -0.00216326-0j -0.0111658-0j 0.00285197-0j 0.0119319-0j -0.00283078-0j -0.00585168-0j -0.00431225-0j 0.00302501-0j -0.0238482-0j -0.00148354-0j -0.00722226-0j 0.0360589-0j -0.00604607-0j 0.00914179-0j 0.0603925-0j 0.0153109-0j 
-0.0761813-0j 0.0294484-0j 0.0180334-0j 0.0257674-0j 0.0106285-0j 0.00323826-0j -0.0110402-0j 0.00298674-0j 0.00301769-0j 0.0026134-0j 0.00215595-0j 0.000688835-0j -0.199855-0j 0.000299817-0j -0.221199-0j 0.000331836-0j 0.527784-0j -0.116582-0j -0.000791766-0j 0.533253-0j 0.000174893-0j -0.000799971-0j -0.204019-0j -0.0721315-0j 0.000306063-0j -0.119011-0j 0.00010821-0j -0.12623-0j 0.000178537-0j 0.000189367-0j -0.0736342-0j 0.000110464-0j -0.0192093-0j 2.88173e-05-0j 0.00156037-0j -0.0265395-0j 2.29865e-05-0j 0.00170286-0j -0.028963-0j 2.50855e-05-0j 0.00131903-0j 0.0013327-0j -0.00363411-0j -0.0224346-0j 1.94312e-05-0j -0.0226671-0j 0.0618103-0j -0.00449698-0j 1.96325e-05-0j 0.000993337-0j -5.35354e-05-0j -0.00262324-0j 0.000860255-0j 0.0764863-0j -0.0168951-0j 0.00122919-0j -6.62467e-05-0j 0.044617-0j -0.0146316-0j 0.000614596-0j 1.46332e-05-0j 0.000507016-0j -3.86439e-05-0j 1.26728e-05-0j -0.0209066-0j 0.000620965-0j -0.0104533-0j 1.81077e-05-0j -0.00862352-0j 0.000280582-0j 9.05385e-06-0j -0.0105616-0j 7.46905e-06-0j 6.18625e-05-0j -0.00477224-0j 9.14768e-06-0j 4.13336e-06-0j -0.00105218-0j 9.1132e-07-0j 
0.0109958-0j -0.00425052-0j -0.0026029-0j -0.0037192-0j -0.00153409-0j 0.044686-0j -0.152348-0j 0.0412153-0j 0.0416424-0j 0.0360634-0j 0.0297508-0j 0.00950551-0j -0.000299817-0j -0.193614-0j -0.000331836-0j -0.214292-0j 0.000791766-0j -0.000174893-0j 0.511303-0j 0.000799971-0j -0.112942-0j 0.516602-0j -0.000306063-0j -0.00010821-0j -0.197648-0j -0.000178537-0j -0.0698791-0j -0.000189367-0j -0.115295-0j -0.122288-0j -0.000110464-0j -0.0713349-0j -2.88173e-05-0j -0.0186095-0j -0.000225221-0j 0.0038064-0j -0.0454872-0j -0.000245787-0j 0.00415399-0j -0.049641-0j -0.000190386-0j -0.000192359-0j 0.000524538-0j 0.00321766-0j -0.0384517-0j 0.00325101-0j -0.00886509-0j 0.000649083-0j -0.0388502-0j -0.000143376-0j 0.10594-0j 0.000378632-0j -0.000124167-0j -0.01097-0j 0.00242316-0j -0.000177419-0j 0.131094-0j -0.00639916-0j 0.00209852-0j -8.87093e-05-0j -0.0289572-0j -7.31814e-05-0j 0.0764712-0j -0.0250777-0j 0.00299851-0j -8.96286e-05-0j 0.00149925-0j -0.0358328-0j 0.00123682-0j -4.04985e-05-0j -0.0179164-0j 0.00151479-0j -0.0147803-0j -8.92908e-06-0j 0.000684455-0j -0.018102-0j -0.00817937-0j 0.000150908-0j -0.00180338-0j 
-0.0294484-0j 0.000975455-0j -0.021039-0j 0.0292062-0j 0.0364938-0j -0.00377796-0j -6.07452e-05-0j 0.00695058-0j -0.0068227-0j -4.33985e-05-0j 0.00492313-0j 0.00315737-0j 0.233164-0j -0.000349786-0j 0.00367326-0j -5.51052e-06-0j 0.204019-0j -0.678619-0j -0.000306063-0j -0.200265-0j 0.00101805-0j 0.000300432-0j -0.00675795-0j 0.0841534-0j 1.01381e-05-0j 0.542085-0j -0.000126245-0j -0.143076-0j -0.00081322-0j 0.000214639-0j -0.252829-0j 0.000379287-0j -0.11014-0j 0.000165229-0j -0.00182044-0j 0.0309627-0j -2.68176e-05-0j -2.8278e-05-0j 0.000480963-0j -4.16574e-07-0j -0.00153887-0j 0.00151056-0j 0.00280213-0j 0.0261737-0j -2.26697e-05-0j -0.0256921-0j -0.0476597-0j -2.47432e-05-0j 2.22526e-05-0j 8.23024e-05-0j 4.12793e-05-0j 0.00198476-0j 0.00200194-0j 0.000420842-0j -0.00139983-0j -0.00277907-0j -3.64502e-07-0j -0.0337576-0j -0.0340497-0j -1.02061e-05-0j 1.21243e-06-0j -0.00347252-0j 2.92383e-05-0j 2.94913e-05-0j 0.0472676-0j 0.00141798-0j 0.000173589-0j -4.09396e-05-0j 0.059062-0j 0.00128608-0j -1.50349e-07-0j -0.0241176-0j -5.1155e-05-0j 0.000425846-0j -0.0218742-0j 2.08889e-05-0j 1.89458e-05-0j -0.00724296-0j 6.27331e-06-0j 
-0.0180334-0j -0.021039-0j -0.0120636-0j 0.0546367-0j -0.00759337-0j -0.00231352-0j -0.0026134-0j 0.00633304-0j -0.00215595-0j -0.00174826-0j 0.00457143-0j -0.000492127-0j 0.142783-0j -0.0002142-0j 0.158032-0j -0.000237075-0j -0.370798-0j 0.0832902-0j 0.000556261-0j 0.12623-0j -0.00012495-0j -0.000189367-0j -0.432598-0j 0.655132-0j 0.000648971-0j 0.0850255-0j -0.00098281-0j 0.084443-0j -0.000127553-0j -0.000126679-0j -0.156133-0j 0.000234226-0j 0.0137238-0j -2.0588e-05-0j -0.00111479-0j 0.0189607-0j -1.64223e-05-0j -0.00121658-0j 0.0206921-0j -1.7922e-05-0j 0.00279685-0j -0.000952128-0j -0.000860255-0j -0.04757-0j 4.12015e-05-0j 0.0161942-0j 0.0146316-0j 0.00315938-0j -1.40262e-05-0j -0.000709674-0j -1.26728e-05-0j -0.000620965-0j -0.000575477-0j -0.053736-0j 0.0120704-0j 0.00260636-0j 4.65421e-05-0j 0.0105616-0j 0.00978793-0j -0.00558205-0j -1.04545e-05-0j -0.00036223-0j -9.14768e-06-0j -8.47757e-06-0j -0.0443299-0j -0.000415401-0j 0.0949416-0j 3.83953e-05-0j 0.00616094-0j 0.000594941-0j -8.22313e-05-0j 0.0070653-0j -5.33614e-06-0j -4.41967e-05-0j -0.010119-0j -6.11944e-06-0j 8.76431e-06-0j 0.000751714-0j -6.51079e-07-0j 
0.00425052-0j -0.000140795-0j 0.00303672-0j -0.00421555-0j -0.00526742-0j -0.0521337-0j -0.000838248-0j 0.0959139-0j -0.0941491-0j -0.000598873-0j 0.0679363-0j 0.0435698-0j 0.000349786-0j 0.225883-0j 5.51052e-06-0j 0.00355856-0j 0.000306063-0j -0.00101805-0j 0.197648-0j -0.000300432-0j -0.657428-0j -0.194011-0j -1.01381e-05-0j 0.000126245-0j -0.00654693-0j 0.00081322-0j 0.0815256-0j -0.000214639-0j 0.525157-0j -0.138608-0j -0.000379287-0j -0.244934-0j -0.000165229-0j -0.106701-0j 0.000262757-0j -0.0044408-0j 0.0530684-0j 4.08157e-06-0j -6.89817e-05-0j 0.000824345-0j 0.000222117-0j -0.00021803-0j -0.000404453-0j -0.00375394-0j 0.0448604-0j 0.00368487-0j 0.00683555-0j 3.57138e-06-0j -0.0440349-0j -1.18793e-05-0j -0.0816862-0j -0.000286476-0j -0.000288955-0j -6.0359e-05-0j 0.00020077-0j 0.000401125-0j 0.000721302-0j 0.00484166-0j 0.00488355-0j 1.47312e-06-0j -0.00239924-0j 0.000501215-0j -0.0578587-0j -0.0583594-0j -0.00677931-0j -0.000204668-0j -2.48968e-05-0j 0.0810141-0j -0.00847091-0j -0.00018563-0j 0.000297522-0j 0.00345905-0j 0.101229-0j -6.14656e-05-0j 0.00313729-0j -0.0413363-0j -0.0374913-0j 0.00103881-0j -0.012414-0j 
0.0257674-0j -0.0292062-0j -0.0546367-0j 0.0258718-0j 0.0518051-0j 0.00330572-0j -0.0036279-0j -0.00300006-0j -0.00307932-0j 0.00769254-0j -0.00198324-0j 0.00743762-0j -0.204019-0j 0.000306063-0j 0.219379-0j -0.000329106-0j 0.175653-0j -0.119011-0j -0.000263509-0j 0.180293-0j 0.000178537-0j -0.000270471-0j -0.199094-0j 0.364627-0j 0.000298676-0j -0.111262-0j -0.000547004-0j -0.38229-0j 0.000166913-0j 0.000573502-0j 0.353148-0j -0.000529783-0j -0.359302-0j 0.000539015-0j 0.00159288-0j -0.0270924-0j 2.34654e-05-0j -0.00168885-0j 0.0287247-0j -2.48792e-05-0j -0.00132491-0j -0.00135991-0j 0.00122919-0j 0.0225346-0j -1.95178e-05-0j 0.02313-0j -0.0209066-0j 0.00145404-0j -2.00334e-05-0j -0.000985164-0j 1.81077e-05-0j 0.00081258-0j -0.00260636-0j -0.0247309-0j 0.0167561-0j 0.00123417-0j 2.14201e-05-0j -0.0138207-0j 0.0443299-0j 0.00301836-0j -1.45128e-05-0j 0.00247128-0j 1.19704e-05-0j -3.83953e-05-0j -0.0209913-0j -0.00172298-0j -0.0513375-0j 1.81811e-05-0j -0.0420324-0j -0.00298095-0j 4.44647e-05-0j 0.0293051-0j 3.64053e-05-0j 0.001769-0j 0.0507012-0j -2.53819e-05-0j -4.39136e-05-0j -0.0300879-0j 2.60599e-05-0j 
