-0.0001914-5.45779e-14j 0.0253219-3.00455e-06j 0.0271192+0.00178081j -0.00660573-0.00225291j -0.00964349-0.000556959j -0.0121673-0.000680223j -0.00336112-0.00358304j 0.01176-0.000917761j -0.0152288-0.00126664j 0.0127939+0.00149776j -0.00146536+0.00048318j 0.00402563+0.000904462j 0.00585119+0.00264427j -0.00384925-0.00101571j 0.00640834-0.00206199j 0.00511994-0.00112162j 0.0020576-0.00129568j 0.0137792+0.000671579j 0.00521989+0.00159172j -0.000554417+0.00299622j 0.000847107-0.000626223j -0.00442301+0.000858436j 0.0102711+0.000666534j 0.00516311-0.000511984j 0.00272455+0.000178141j -0.0285128-0.00277432j -0.012499-0.000782035j -0.000631179-0.000232654j 0.008072+0.00129364j 0.0132248+0.000254096j -0.00118895-0.00165839j -0.00568165+0.00105436j 0.00415829+0.0022313j -0.0222452-2.6901e-05j 0.00157724-0.000270842j -0.00227935-0.00165795j -0.000456516+0.00537247j -0.00337858+0.00146686j 0.0348364+0.000350298j -0.00381393+0.000605087j 0.0215619+0.00124428j -0.0206762-0.00503925j -0.0156888+0.00887759j -0.0561642-0.00203477j 0.0716575-0.00587169j 0.10609+0.0080874j 0.0912821+0.00494739j -0.03241-0.00531278j 0.105444+0.0180275j -0.0350287+0.0209948j -0.164897+0.00150406j 0.012457-0.00101973j -0.107152-0.00567651j -0.0149688+0.00785217j 0.0979822-0.00121598j -0.0823399-0.0176031j -0.00637827+0.00396812j 0.00163409-0.00855906j -0.00170428+0.00388607j 0.0358373+0.00254027j -0.0284436+0.0104524j 0.00379946+0.00756077j -0.00685355-0.00328321j -0.0484855-0.00724074j -0.0243166+0.00651602j -0.0295258-0.000703872j 0.0034657-0.00404315j -0.0388597-0.00692995j -0.0105114-0.00617275j -0.0343971+0.00265072j 0.020715-0.00235765j -0.0405033+0.000999043j 0.0258331+0.00502217j 0.0165212-0.000846746j 0.0269008+0.000586888j 0.00763304+0.00194604j -0.0246884+0.00778074j 0.0229748+0.00259658j 0.0265776+0.00501904j -0.0210417-0.00299391j -0.00439451+0.00016211j -0.0109822+0.00137737j 0.0172993+0.00327152j -0.0134958+0.00246573j 0.00270872+0.00555359j -0.0100381-0.00221018j 0.0262413-0.00422023j -0.0109791-0.00893927j 0.00059014+0.00456089j 0.0190335-0.0028527j 0.0158665-0.000904246j 0.0106965+0.0128553j -0.0294692+0.00331291j -0.0287074-0.0111728j 0.0155276+0.0157491j 0.0818896-0.00569816j -0.0133948-0.0149787j -0.13307+0.0151664j 
0.0253219+3.00455e-06j 0.000230636-5.59761e-14j 0.00801072+0.00226166j 0.0290279+0.00208521j 0.000403636+0.00020143j 0.00563502-0.0016158j 0.0199205+0.000823534j 0.0131663+0.00296513j 0.000632057-0.00133593j -0.00817747+0.00119165j 0.00640005+0.000597078j -0.00518962+0.00239536j -0.0144123-8.55119e-05j -0.00452709-0.00019622j 0.00773976+0.00122047j 0.0104624+0.00222005j -0.000760368+0.000345198j 0.00195964-0.000344845j -0.0232702-0.000505291j -0.0125447-0.000988565j 0.00179147-0.000585626j 0.00417035+0.00102233j 0.00102494+0.000731807j 0.00906939-0.00051401j -0.0142792-0.00115128j 0.000645545-0.00208035j -0.00366222-0.0022738j 0.00383388-0.00109353j -0.010624+0.000852257j 0.00199968+0.00161478j 0.0155052+0.00145115j 0.00715531-0.00116679j -0.00384868+0.00110387j -0.00930978-0.00162212j 0.00273666-0.00187745j 0.00456394+0.00103822j -0.0193754-3.59853e-05j -0.02132+0.00162439j -0.0240506+0.00270554j -0.012619+0.00468867j 0.0184768+0.00118701j 0.0201922+0.00222555j -0.0113479+0.00227383j 0.0291985-0.0104674j 0.124839+0.0122637j -0.0336374+0.00597685j -0.00865138+0.00569819j 0.0611442+0.000267776j -0.12348+0.00777962j -0.18887-0.0110504j -0.061073-0.0229839j 0.00560128+0.00206053j 0.0160037-0.0135113j -0.0587549-0.00395176j 0.0357841+0.0158662j 0.0983738-0.00823215j -0.033973-0.00190947j 0.0533547+0.00240754j -0.026018-0.00139409j -0.00552377+0.00561483j -0.0710175-0.00694646j -0.0420134-0.00154166j 0.0127765-0.000977316j 0.0318475-0.00695538j -0.044876-0.00623365j -0.000312334-0.00510913j 0.021833+0.00114584j 0.0314187-0.00529172j 0.0345374-4.99135e-05j -0.0191577-0.00702958j 0.0165197+0.00423983j -0.00886003-0.00845095j -0.0216933+0.00390663j 0.00932726+0.00265569j 0.00195335+0.00551438j -0.00887558+0.00118405j -0.0461432-0.00662751j -0.00642073+0.00414903j -0.0175454+0.00469301j 0.013023-0.00321719j -0.000742703-0.00116521j -0.0134554-0.00401711j -0.00488431+0.00433481j -0.0108812-0.00265779j -0.0177844+0.000118965j 0.00240373-0.00207018j 0.0150789+0.00835093j 0.0311263-0.00460221j -0.0148136+0.00126057j -0.000912004+0.00457242j 0.00238223+0.00168139j -0.0311008+0.00183219j -0.0209819-0.0171791j 0.0123986-0.00217712j 0.0843226-0.00402311j -0.0155552-0.0169645j 0.132372-0.0149113j -0.0131819-0.0146576j 
0.0271192-0.00178081j 0.00801072-0.00226166j -0.0126152+1.17441e-15j 0.00522774+0.000286856j 0.0249188+0.00206819j -0.000650531-0.00259614j 0.0526166-0.000233903j -0.0119416+0.000539289j -0.0228095+0.00291485j 0.00314731-0.00117499j -0.00487857+0.00312652j -0.0505288+0.00147723j -0.0104066-0.00237967j -0.00381061-0.000449334j 0.0420431+0.00185219j 0.00446682+0.00257941j 0.00324236+0.000478105j 0.05168-0.000956346j 0.00541324-0.000332874j -0.0158082-0.000493719j 0.0105735-0.00134584j -0.0305114+0.00218046j 0.0326715+0.000287788j 0.010303-0.00307159j 0.0369512-0.00133133j -0.0169067+0.0038668j 0.0112428+0.00150133j 0.0283051+0.000369019j 0.00263092-0.00269212j 0.0182011-0.00118602j -0.00968522+0.00162406j -0.0211678+0.00237638j -0.026534+0.00211991j -0.00578965-0.00154052j 0.036958-0.0024584j -0.0226213+0.00136713j -0.0423942+0.00116409j -0.0293018+0.00376019j 0.0718633+0.00369168j -0.0705823+0.0106247j 0.167981-0.00202963j 0.0522285+0.0037393j -0.367406-0.0164893j 0.0925138-0.00383154j -0.041363-0.0105911j 0.0748069-0.000137849j 0.0624781-0.0119761j -0.235234-0.00648757j 0.0910065+0.0139718j -0.0144956+0.00321241j -0.0374722+0.00647677j 0.00864845+0.00681182j -0.0330153+0.0058035j -0.086407+0.00716605j 0.0742398+0.00367318j -0.0392265+0.00123456j -0.029049-0.000473533j -0.018026+0.000410215j -0.00499384-0.0040802j 0.0172058+0.00306233j -0.0316409-0.000663924j 0.0456643+0.00202728j -0.0816816-0.00351182j -0.0107652-0.00129438j -0.0278722-0.00200619j 0.00743073-0.00220525j -0.0367402-0.00289852j 0.0184076-0.00102493j -0.0299815-0.0019537j 0.0292248+0.00221005j 0.000835366+0.00124006j 0.0126463+0.0027325j -0.0170663-0.00221459j -0.00106451+0.00174372j -0.0212848-0.00110512j 0.00743471+0.00514598j -0.00815497+0.00353252j -0.0160688-0.00824157j 0.0133894-0.00727514j 0.00609677-0.00331086j 0.0158757+0.0015732j -0.00706438+0.0017042j 0.00306938-0.00474049j 0.0210008-0.00551444j -0.00412864-0.00825691j 0.0153803-0.00281335j 0.0397197+0.00989466j -0.0277155-0.00280286j 0.0330149-0.00204297j -0.0715963-0.00461181j -0.029685-0.0204404j -0.0797459+0.00361217j 0.0148962-3.39961e-05j -0.0804131+0.0118028j 0.0111807+0.0185275j -0.120456+0.0221023j 0.00777835+0.0099782j 0.034154-0.00895637j 
-0.00660573+0.00225291j 0.0290279-0.00208521j 0.00522774-0.000286856j 0.0167007-1.05645e-15j 0.0282226+0.00287478j -0.00455931+0.000787336j 0.0411541-0.000900218j 0.0314464-0.000522855j -0.0357497+3.57846e-05j 0.0524597+0.000995246j -0.045662+0.00177459j 0.0254572-0.000890271j 0.0176512+6.96081e-05j 0.0328502-0.00164904j 0.0311724-0.00115015j 0.0156374-0.000230396j 0.0245195-0.00169479j -0.0114688+0.00149832j 0.0914653-0.000157997j -0.00413746+0.00190823j -0.0117216-0.00114446j 0.00266589+0.00100683j 0.0196098+0.000553102j -0.0495821-0.000822433j 0.0450711-0.00027117j 0.0609694-0.00240876j 0.0357926-0.000481677j -0.0143801+0.00065856j -0.00124678+0.000978756j -0.0300179+0.00098079j -0.0214768-0.00103674j -0.0501807+0.000501077j -0.0146559+0.000954327j 0.0692483-5.25296e-05j -0.0324826+0.00023178j 0.0390065-0.00165193j -0.0950446+0.00639269j 0.0399438+0.000944629j 0.0831237-0.0053268j 0.218959+0.0019599j -0.0633763-0.00402509j -0.033877-0.00185004j -0.139451+0.0129831j -0.312257-0.0155178j -0.0642937+0.000908587j -0.0770303-0.00842221j -0.209114-0.0102283j 0.00937392+0.0203607j 0.170772-0.00447261j 0.0308604-0.000354575j 0.0881252+0.00226168j 0.0717991+0.000486449j 0.0722738+0.00421365j 0.0964622+0.0110056j 0.0314756-0.0040261j 0.000161475+0.00395168j -0.000741804+0.00204917j -0.00762918+0.00275584j -0.0247629+9.78489e-05j 0.0310186-0.000281825j 0.0126444+0.00190876j 0.0350898-0.00441949j -0.0288915+0.00830053j -0.0162231-0.000999369j 0.00653669+0.000778793j -0.01251-0.00193405j -0.0127905+0.0026744j -0.0175606-0.00487059j -0.00109977+0.00151235j 0.0138704-0.00367238j 0.0069602-0.000580001j 0.0295968-0.000363018j -0.00670293+0.00239096j 0.0165876+0.00180832j -0.00653847+0.00303468j 0.0233593+7.01108e-05j 0.0152106+0.00152659j -0.0291543+0.00139687j -0.0108083-0.00368607j -0.0173512-0.000607037j 0.0150167-0.0038354j -0.00842612-0.00305368j -0.0058192+0.00160129j -0.0238567-0.00681309j 0.000980963+0.00199503j -0.0299211-0.000788099j -0.000978778-0.00199623j 0.00500375-0.00729189j -0.00615032-0.010712j -0.0468658-0.0044488j 0.133193+0.00110687j -0.0185617-0.0165162j 0.00809496-0.00287431j -0.00850624-0.0240749j 0.0997364-0.0152433j 0.00683795+0.00969149j 0.0323122-0.00779507j -0.00723117-0.00875112j 
-0.00964349+0.000556959j 0.000403636-0.00020143j 0.0249188-0.00206819j 0.0282226-0.00287478j -0.13793-2.36443e-15j -0.0261472+0.000430915j -0.177188-0.00114954j 0.0546152-0.00165394j 0.242012+0.00246142j -0.114634-0.000190223j 0.0475651+0.000150199j 0.0783232-0.00149881j -0.13318+0.00120494j 0.014226-0.000216989j -0.113733-0.000708697j 0.0208897-0.00104136j -0.0041189-0.0018537j -0.135466+0.000207871j -0.0807621+0.00258942j -0.026891+0.00200381j 0.0247394-0.00186386j 0.083316+0.00197719j -0.0459665+0.000484601j 0.10798-0.00135464j -0.156952+0.000134605j 0.0235654+0.000456099j -0.0376352+0.00117018j -0.0353663+0.00149117j -0.0968387-0.000226943j -0.054563+0.000389109j 0.0794205-0.00198886j 0.109141+6.63922e-05j 0.111459-0.00174751j -0.0732342-6.60853e-05j -0.00930321+0.0030535j -0.0651707-0.00219518j 0.188847+0.00524019j 0.0271321-0.00169801j -0.0858638-0.0065004j 0.322211-0.00020737j -0.00465268-0.00032253j -0.111851+0.000630874j 0.0564974-0.00565223j 0.271581+0.0153226j 0.0924281-0.0108283j 0.100523+0.00600601j -0.0410492+0.0037043j 0.0730784+0.00368318j 0.0320256-0.0011633j -0.0958002+0.00396167j 0.0495834+0.00693027j 0.00760353-3.67703e-05j 0.0667143+0.00274431j 0.0329471+0.00634763j 0.0116515-0.00801068j 0.0319444+0.00215287j -0.0427395+0.00025257j -0.0154298-0.000667833j -0.0238874+0.000324108j 0.0137402-0.0032564j -0.00819837-0.00176934j 0.0370577+0.00228506j -0.0230839+0.00492588j 0.00300127+0.000663672j 0.0196565+0.00210433j -0.00873505-0.00352694j 0.00162274-0.00172697j -0.00293629-0.00291137j 0.00716974-0.00686841j 0.0198055+0.00337083j 0.0110255-0.00229485j 0.0440031+0.00598103j -0.00491788-0.000192211j 0.0172017-0.00124941j -0.00861677-0.00167519j -0.00577035-0.00182254j -0.00986602+0.00702361j -0.00525301-0.00346893j -0.0122288-0.0107496j 0.00554902-0.000433372j 7.64609e-05-0.00346285j -0.0536366-0.00924054j 0.0256553-0.00781775j -0.0100203-0.0103043j 0.0523886+0.00721908j -0.0676097+0.0016792j -0.036045+0.00497159j 0.0137533-0.00278547j 0.0512096+0.00320162j 0.0276837-0.00343231j 0.0266683+0.00810446j 0.00947371+0.00411149j 0.00472985+0.0216107j -0.131369+0.0147084j 0.0274554+0.00796083j -0.0475165+0.0151833j 0.00413267+0.00388008j -0.000355158-0.00596283j 
-0.0121673+0.000680223j 0.00563502+0.0016158j -0.000650531+0.00259614j -0.00455931-0.000787336j -0.0261472-0.000430915j 0.0232643-5.13391e-15j 0.0560656-0.00093801j 0.0630984+0.000357232j -0.0650634-0.000253496j 0.133994+0.000644096j -0.11147-0.000225368j 0.123269+0.00101293j 0.109532+0.00041268j 0.0530854+0.000400976j -0.0464367+0.000421146j -0.0424862-0.000252817j -0.0248081+0.000557521j -0.040625-0.000123495j 0.105547+0.00175795j 0.0395052+0.0007716j -0.0524263-0.000490656j 0.0037597+0.000196314j -0.0499635+0.000112829j -0.105026-0.00201946j 0.0680343+0.000660595j 0.125689+0.000336178j 0.0326654+0.000384001j 0.0228739-0.000278783j 0.0500724+0.000993669j 0.0268362-0.000397289j 0.115964-0.00161025j -0.0890073+0.00105493j -0.0746356+0.000910019j 0.221953-0.00154705j -0.135049+0.00126386j 0.113637-0.0027319j -0.0416307+0.00651181j 0.28211+0.00444031j 0.0754303+0.00312118j 0.239632+0.00758755j 0.187354+0.00369393j 0.271992-0.00291303j 0.2425+0.00556609j 0.116453+0.0117216j 0.028171+0.00239002j -0.122854+0.00934424j -0.0519971+0.00226875j -0.0944025-0.00576557j -0.0301971+0.0125389j 0.0799613+0.00711712j 0.0943856+0.00203083j -0.0254004-0.00263793j 0.0757332+0.0014671j 0.00311354+0.00154699j -0.00986897+0.00280694j 0.038175-0.00346606j 0.0160828-0.00364539j -0.00420271-0.00580626j 0.0163755+0.000361667j 0.00947015+0.00492676j 0.0318583+0.00230209j -0.0255459+0.000615713j -0.0264472-0.00609247j -0.0125848-0.00832036j -0.00291939+0.00215268j 0.0312233+0.00328339j 0.00851126-0.000547352j 0.00701375-0.00519116j 0.0313326-0.00716664j -0.00833948+0.00288623j -0.00134037+0.00626562j -0.0139751+0.0027174j 0.00719458+0.00501595j -0.000495463+0.00680433j -0.00928941-0.00856709j 0.00455623+0.00343261j 0.00397589+0.00729525j 0.00279347-0.000902968j -0.00943012+0.00531317j 0.0489306+0.00551225j -0.0246843-0.00476312j -0.0442818+0.00538604j 0.0435382+0.00330243j -0.0256003-0.00936852j 0.0211677-0.00157725j -0.0144057-0.00453033j 0.0370971+0.0150354j -0.0279656-0.000856827j -0.0217438+0.0105548j 0.00879013-0.0153675j -0.0138525-0.00404427j -0.00924272+0.0220264j -0.106446+0.0116054j -0.00635595+0.00233525j -0.027146+0.00525111j -0.0390863+0.00145486j 0.00194516+0.00767662j 0.000132671+0.00379997j 
-0.00336112+0.00358304j 0.0199205-0.000823534j 0.0526166+0.000233903j 0.0411541+0.000900218j -0.177188+0.00114954j 0.0560656+0.00093801j -0.0965728+6.1175e-15j 0.0954991+0.000193262j 0.276114+0.00113244j 0.00245315+0.000852948j 0.0245895+0.00011427j 0.138065-0.00159998j -0.146265-0.00146555j -0.00316007-0.000781619j -0.136237+7.47327e-05j -0.0675818-0.000219678j 0.111925+0.000172836j -0.0657173+0.00202615j -0.129645+0.00042887j -0.0894624+2.84931e-05j 0.00344307+5.76476e-05j -0.0667118-0.000240435j -0.209986+0.00135789j 0.0902892+0.00092815j -0.115366-0.000464335j -0.0985456-0.00217822j -0.0890454-0.000232401j -0.0823646+0.00106796j 0.077559+9.4597e-05j 0.0380944+0.00102641j 0.13511-0.000727339j 0.116937+0.000674075j 0.016025+0.00108908j -0.233951-0.00125741j -0.0458665+0.00107072j 0.0878864-0.00247099j 0.168968+0.00483638j 0.0762412+0.00263009j 0.23497+0.00319535j -0.165109-0.000868056j -0.145987+0.00588252j 0.315434+0.00566526j 0.0102248+0.00253635j -0.0727778-0.00850626j -0.195852+0.00180816j -0.00845411-0.00397362j 0.0334102-0.0018237j -0.00123607+0.00135837j 0.0213101+0.00141657j 0.0995993+0.0010668j -0.0180502-0.00455946j -0.00157267-0.00336618j -0.0260191+0.000438219j 0.0233504+0.000155049j 0.0322311+0.0065404j -0.055051-0.00176212j 0.0306761+0.000534461j -0.0226866-0.00042495j -0.00111683+0.00366706j 0.0128482+0.00365004j 0.0294242+0.00344374j 0.0554896-0.00220138j -0.0217339-0.00225739j 0.015358-0.00159782j 0.0096188-0.00258506j -0.0178519+0.00295148j -0.0356574-0.00120877j 0.00202033-0.0017913j -0.00327752+0.00422783j 0.0133351-0.00380841j -0.00616901-6.02511e-05j 0.0146765-0.00315431j -0.02886+0.00147018j -0.038492+0.00211809j 0.0204727+0.00370769j 0.0131919+0.00315954j 0.0138476-0.00395651j -0.0515129-0.00476134j -0.0279434-0.00320517j -0.0226423+0.00325283j 0.037093-0.00206678j 0.00319696+0.000923424j 0.0010924+0.017318j 0.0235226+0.00239427j -0.0588611-0.00651541j -0.104342-0.0043993j 0.0241814+0.000657106j 0.00383714+0.0055474j -0.0116711+0.00941041j -0.0391599+0.00456834j 0.042618-0.00199437j -0.061153+0.00630749j -0.00664168-0.00963813j 0.0413966-0.0106278j -0.0178884-0.00175883j 0.00095181+0.00845761j 0.0103841-0.00124856j 0.00514408+0.00370117j 
0.01176+0.000917761j 0.0131663-0.00296513j -0.0119416-0.000539289j 0.0314464+0.000522855j 0.0546152+0.00165394j 0.0630984-0.000357232j 0.0954991-0.000193262j -0.0101918+1.17267e-15j -0.0512174+0.000836247j 0.0968627+0.00027291j -0.057003+0.0017056j -0.0417152-0.00112174j 0.00619567-0.000837021j 0.0125705-0.00125521j 0.0883286+0.000631222j 0.021407+0.000973871j 0.113006-0.000536239j 0.0460018+0.00113278j 0.135217-4.23521e-05j -0.026217+0.000198413j 0.00115831-0.00108428j -0.0538789+0.00152896j 0.00701597+0.00135974j -0.056995-0.00139173j 0.0813507-0.00107255j 0.0255332+0.00173168j 0.0379168+0.00165258j -0.0954547+0.00161117j 0.0648151-0.00268249j -0.0562696-0.00042986j -0.110499+0.00124342j -0.108775+0.00239407j -0.0304504+0.00162363j -0.000842739-0.000115731j -0.0119787-0.00205425j 0.0918458+0.00187346j -0.302594-0.00136693j -0.161624+0.000147112j 0.134271+0.00103129j 0.229554+0.00513069j -0.459184-0.00419908j 0.0880541+0.0113471j 0.142904+0.00211274j 0.139575+0.0171466j -0.0299573-0.00170018j 0.166919+0.00912723j 0.092469+0.00917506j 0.00508346-0.00447563j 0.0968389+0.00068244j 0.029351+0.00132512j -0.0346969-0.00645972j 0.0635046-0.000421521j -0.0317816-0.000192927j 0.0473475-0.00196442j 0.00351441+0.00566673j -0.0136927-0.00226733j 0.0311001+0.000651861j 0.00929756+0.00422707j -0.0339512+0.00318313j -0.00748012+0.000268705j 0.00286036-0.000558883j 0.0235243+0.00135388j 0.0148509-0.0024767j 0.0257805+0.00159019j 0.00650823-0.00667682j -0.0117324+0.00103608j 0.00538516-0.00416099j 0.00477093+0.0013793j 0.0486559+0.00377049j -0.0074862-0.00211234j 0.010939-0.00523265j -0.011202-0.00305627j 0.00371765-0.00291663j -0.00545355+0.00179454j 0.00191778+0.00228412j -0.00704609+0.00449204j 0.00305657-0.00284247j -0.00990234-0.00415013j -0.0195971-0.00537491j 0.02589-0.00166438j -0.000836363+0.00225408j -0.0596879-0.00072646j 0.0155517+0.00170109j 0.0475457+0.0037626j 0.0208494-0.00262717j -0.0120319+0.0191148j 0.0315327+0.00831345j 0.0648405-0.00138293j 0.106123+0.0122269j 0.0201389-0.0022521j -0.0372687+0.020354j -0.0756738+0.0130056j 0.0381093-0.00126075j -0.0653058+0.0196208j -0.0303708+0.0173672j -0.00716098+0.00841773j -0.00397088-0.000528888j 0.00960422+0.00261131j 
-0.0152288+0.00126664j 0.000632057+0.00133593j -0.0228095-0.00291485j -0.0357497-3.57846e-05j 0.242012-0.00246142j -0.0650634+0.000253496j 0.276114-0.00113244j -0.0512174-0.000836247j -0.207872+5.84428e-15j 0.0975033+0.000399478j 0.0242964-0.00294745j 0.101609-0.00180882j 0.215344+0.00293975j -0.0966787+0.00034613j 0.0790407-0.00125167j -0.0299371-0.00216042j 0.0658643-0.000352774j 0.126932+0.000416735j -0.022075+0.00231693j 0.155598+0.00104552j -0.02808+0.000137181j -0.0735451-0.000175313j -0.0475075-0.000421604j -0.182786+0.00390123j 0.058394-0.000997935j 0.0612979-0.00273484j 0.100061-0.00120755j 0.00740007-0.000159181j 0.0834637+0.00123097j 0.0865138+0.00140896j 0.0658871-0.000619796j -0.0796631-0.00378066j -0.0858821-0.00216736j -0.223551+0.00272727j 0.0121778+0.00183223j 0.0614699-0.000734213j 0.431484-0.00245379j -0.116407-0.00485651j -0.0704119-0.00257088j 0.029483-0.00383534j 0.0284939+0.00852839j 0.149019+0.00307412j -0.0889238-0.00224182j 0.068542-0.000314955j -0.105691-0.00123135j 0.0701942-0.00143719j -0.00722696+0.00704235j 0.104433-0.00269161j -0.0215772-0.00646743j 0.0373428-0.000238615j 0.0672113+0.00157492j -0.0466122-2.7164e-05j 0.0846094-0.000219101j -0.00732207-0.00262609j -0.0315193-0.0018251j -0.0193821+8.72806e-05j -0.0808436+0.000149642j -0.00144431-0.000603352j 0.0217825+0.00724995j -0.00905781-0.00135688j -0.0110506-0.00579091j 0.0318259+0.000463771j 0.0249531-0.00176874j -0.00696071-0.0035268j 0.002961-0.00130694j 0.00205595-0.000322126j -0.00832575-0.00525396j -0.0274606-0.00519225j 0.00457309-0.00741184j 0.0119498+0.00151734j 0.00211131-0.00556488j 0.0595399+0.00427803j -0.0219765-0.00119096j 0.0473048-0.00211586j -0.0169667-0.00178897j -0.0345049-0.00713728j -0.0304068-0.00491044j 0.069049-0.00156412j 0.0246641-0.00401947j -0.0139586-0.00264152j -0.0173673-0.00131688j 0.0146849-0.00470339j -0.0283179+0.00227512j -0.00951315-0.00297527j -0.0158755-0.00270067j -0.0843258-0.00983196j -0.0325006-0.00410118j 0.0342188+0.000250576j -0.0157224+0.0166197j 0.0678834+0.0143665j 0.0638192+0.00295125j -0.0068384-0.00214158j 0.0266418+0.0105445j -0.0393133+0.00598316j 0.000895431-0.00457567j -0.0201202+0.00774456j 0.00276381+0.00166158j -0.0062548+0.000595304j 
0.0127939-0.00149776j -0.00817747-0.00119165j 0.00314731+0.00117499j 0.0524597-0.000995246j -0.114634+0.000190223j 0.133994-0.000644096j 0.00245315-0.000852948j 0.0968627-0.00027291j 0.0975033-0.000399478j 0.258164+2.34014e-14j -0.102608+0.000955808j 0.234306-0.000178758j 0.0990794-0.000862155j 0.0372807-0.000809942j -0.193747-0.000510974j -0.113967+0.00105114j 0.0822805+0.000597351j -0.146237-0.000280112j 0.17261-0.00125265j 0.126991-0.000585104j -0.109052+0.000312851j 0.106053-0.000237774j -0.122586+0.000394596j -0.068379-0.000534001j -0.155272-0.000120112j 0.183398+0.00261386j 0.174334+0.00204424j -0.0206421+0.000530174j -0.00146787-0.0028359j -0.0711009-0.00249495j 0.140967+0.00150417j 0.108267+0.00376548j 0.093212+0.0037433j 0.0806431+0.00237648j -0.250058-0.00462547j 0.267857+0.00316081j 0.0174758-0.00282966j -0.233409-0.000900621j -0.163239+0.00173201j -0.104278-0.00289901j -0.0342663-0.00420382j -0.131001-0.00206762j -0.0564798-0.00379279j -0.0604953-0.00279207j 0.0538709-0.00202388j -0.0700575+0.000901162j -0.00928932+0.000530313j 0.0294338-0.00455206j -0.088861+0.00183032j -0.0604691+0.00519796j 0.0747981+0.000972788j 0.0380934+0.00332551j 0.00491948+0.00568769j -0.0154323-4.15187e-05j -0.0295625+0.00629083j 0.0859674+0.00306102j 0.00641484+0.00208221j 0.0250924+0.00284079j -0.0227526+0.00168767j 0.00245781+0.00349518j -0.0822456-0.000425583j -0.0215664-0.00157712j 0.0242108-0.00472693j 0.00415346-0.00164691j -0.00986435+0.00172136j -0.0178998-0.00155108j 0.014875-0.000842895j -0.00643819-0.00120979j -0.00989499-0.00195521j -0.0156947-0.00197866j 0.0464635-0.000449182j -0.0811019-0.00307477j 0.0446461-0.0012819j -0.0108997-5.17553e-07j -0.0299165-0.00663069j -0.00233133+0.00589246j 0.0328653+0.00681508j -2.64271e-05-0.00697328j 0.0620855+0.00524251j -0.0277696-0.00930585j -9.86121e-05+0.00927387j -0.0475203+0.00306989j -0.0530444-0.0138196j 0.0435985-0.00106222j 0.0309664-0.00523222j 0.0330177+0.00452617j 0.0418554-0.014766j -0.0161918-0.00834042j 0.0711993-0.00996671j 0.0243079-0.00254641j -0.0155422+0.00319152j -0.00199011-0.0122793j 0.049251-0.0112965j 0.0256826+0.00488589j 0.013777-0.00043583j -0.0204697-0.00250675j -0.00592318+0.00439935j 0.00488232-0.00542445j 
-0.00146536-0.00048318j 0.00640005-0.000597078j -0.00487857-0.00312652j -0.045662-0.00177459j 0.0475651-0.000150199j -0.11147+0.000225368j 0.0245895-0.00011427j -0.057003-0.0017056j 0.0242964+0.00294745j -0.102608-0.000955808j 0.278303+6.95537e-15j -0.0892647-0.00190121j 0.141409-0.000615948j -0.0752686-0.000192505j 0.047394+0.00130111j -0.216705+0.000481332j 0.0675668+0.000775889j 0.114532-0.000392937j -0.183314+0.00206401j -0.104917+0.000630481j -0.164663-0.000240891j -0.0273998+0.00140031j 0.0337473+0.000834063j -0.0848377-0.00042435j -0.0651201-0.00104359j -0.0350201+0.00253584j 0.232097+0.0019953j 0.0998223-0.000330987j 0.0224882-0.00132732j -0.0265749-0.0022043j -0.0761065-0.000841625j 0.419232+0.000108424j -0.187285-0.00275687j 0.223933+0.00235802j 0.108821+0.00349975j 0.255991-0.00169981j -0.0304191+0.000153612j 0.0158772+0.00379686j 0.141813+0.00115134j -0.0769257-0.00098657j 0.026665+0.00162356j 0.0376869+0.00142578j 0.0795133+5.07583e-06j 0.0141017+0.00659421j 0.180116-0.0066637j 0.0804007+0.00133986j 0.0611993-0.000600127j 0.0643272-0.000975762j -0.0793982-0.0025684j -0.146273-0.00155866j -0.120101+0.00218961j 0.0247898-0.00270183j 0.0553549+0.00369232j 0.0101593+0.00592538j 0.0607781-0.00112735j 0.0425373+0.00524797j -0.0324106+0.00135683j 0.0232528-0.00350496j -0.011583+0.000628615j 0.00390418-0.00238816j -0.0169556+0.00284894j -0.0297291-0.00553845j 0.0166417+0.00554891j -0.00188448+0.00320918j -0.0267778+0.00257445j -0.00501185-0.00343052j -0.0080857+0.000737366j -0.0166862-0.000111512j 0.00908303-0.00568382j -0.00606835-0.00164724j 0.00817654+0.000647767j 0.035067+0.00602379j -0.0178786-0.000352032j 0.0154557-0.00297114j 0.00851425+0.0031489j -0.0122121-0.00210451j 0.0210496+0.00805529j 0.0342807-0.000920868j 0.00596776-0.00421188j 0.0167765-0.00393162j -0.0367538-0.0046511j -0.0124269-0.00428402j -0.000185167-0.00587067j 0.0341926+0.000525097j 0.0451905-0.00731495j -0.0396757+0.00144595j -0.028-0.0042697j -0.0343834+0.00824513j 0.0649948-0.00105842j -0.00547063-0.00498485j 0.00307521+0.00638684j -0.0399964+0.00749913j -0.0305309-0.00124956j -8.39447e-05+0.00187547j 0.047952+0.0031109j 0.0055595-0.00120317j -0.000589346-0.00496776j -0.00110551-0.00981072j 
