0.00535509-0j 0.000123656-0j -0.0111841-0j 0.00504889-0j -0.00658612-0j -0.0324934-0j -0.000726486-0j 0.0288202-0j 0.0290816-0j 0.00151727-0j -0.0403718-0j 0.0269637-0j -0.042395-0j -0.00611531-0j -0.000928716-0j -0.000133964-0j 0.0356729-0j -0.0247304-0j 0.00514567-0j 0.0359964-0j -0.00356726-0j 0.00519234-0j 0.000823731-0j 0.0747453-0j 0.00011882-0j 0.0489923-0j -0.0751786-0j 0.0107817-0j 0.00706694-0j -0.0108442-0j -0.0438734-0j -0.00632856-0j 0.0198903-0j 0.0028691-0j 
-0.000446257-0j -1.03046e-05-0j 0.00093201-0j -0.000420741-0j 0.000548843-0j 0.00823849-0j 0.000184196-0j -0.00730719-0j -0.00737345-0j -0.000384694-0j 0.010236-0j -0.00683647-0j -3.71414e-05-0j -0.0726627-0j -8.13629e-07-0j -0.00159177-0j 3.12523e-05-0j -2.16658e-05-0j 0.0611414-0j 3.15357e-05-0j -0.0423866-0j 0.0616959-0j 7.21654e-07-0j 6.54829e-05-0j 0.00141183-0j 4.29211e-05-0j -6.58624e-05-0j 0.128109-0j 0.0839701-0j -0.128852-0j -3.84366e-05-0j -0.0751967-0j 1.74255e-05-0j 0.0340909-0j 
-0.0031238-0j 0.00707247-0j -0.00223175-0j -0.00281768-0j -0.00160945-0j 0.0189545-0j -0.0415513-0j 0.0174823-0j 0.0156074-0j -0.0296857-0j 0.0482302-0j -0.0506498-0j 0.0247304-0j 0.00356726-0j -0.0531179-0j -0.00766204-0j 0.0216391-0j 0.0144261-0j 0.00312136-0j 0.0193184-0j 0.0020809-0j 0.0027866-0j -0.0489923-0j 0.00892568-0j -0.00706694-0j 0.0562839-0j 0.0138017-0j 0.00128749-0j 0.00811872-0j 0.00199084-0j 0.0111489-0j 0.00160819-0j -0.102653-0j -0.0148072-0j 
0.000260317-0j -0.000589373-0j 0.000185979-0j 0.000234807-0j 0.000134121-0j -0.00480579-0j 0.0105351-0j -0.00443253-0j -0.00395715-0j 0.00752663-0j -0.0122285-0j 0.012842-0j 2.16658e-05-0j 0.0423866-0j -4.65355e-05-0j -0.0910411-0j 1.89576e-05-0j 1.26384e-05-0j 0.0370883-0j 1.69244e-05-0j 0.0247255-0j 0.0331106-0j -4.29211e-05-0j 7.81961e-06-0j -0.0839701-0j 4.93092e-05-0j 1.20914e-05-0j 0.0152981-0j 0.0964675-0j 0.0236554-0j 9.76735e-06-0j 0.0191087-0j -8.99319e-05-0j -0.175941-0j 
-0.0537294-0j 0.0214069-0j 0.013109-0j 0.018731-0j 0.00772616-0j 0.00236733-0j -0.00783061-0j 0.00218346-0j 0.00220609-0j 0.00191053-0j 0.0015761-0j 0.000503573-0j 0.00152714-0j 0.000220424-0j 0.00169024-0j 0.000243965-0j -0.00391285-0j 0.000890834-0j -0.000564771-0j -0.0039534-0j 0.000128581-0j -0.000570624-0j 0.00155896-0j 0.000551175-0j 0.000225016-0j 0.000909393-0j 0.000964557-0j 7.95553e-05-0j 0.00013126-0j 0.000139222-0j 0.000562658-0j 8.12127e-05-0j 0.000146783-0j 2.11863e-05-0j 
0.0089549-0j -0.00356782-0j -0.00218483-0j -0.00312184-0j -0.00128769-0j 0.018556-0j -0.0613792-0j 0.0171148-0j 0.0172921-0j 0.0149754-0j 0.0123541-0j 0.00394719-0j -0.000254524-0j 0.00349227-0j -0.000281706-0j 0.00386523-0j 0.000652141-0j -0.000148472-0j -0.00894788-0j 0.000658899-0j 0.00203716-0j -0.00904061-0j -0.000259827-0j -9.18626e-05-0j 0.00356502-0j -0.000151566-0j -0.000160759-0j 0.00126043-0j 0.0020796-0j 0.00220575-0j -9.37764e-05-0j 0.00128668-0j -2.44639e-05-0j 0.000335663-0j 
-0.0214069-0j 0.0009611-0j -0.0152938-0j 0.0209878-0j 0.0263279-0j -0.00276188-0j -6.17501e-05-0j 0.0049529-0j -0.00480614-0j -4.41164e-05-0j 0.0035684-0j 0.00229187-0j -0.00178167-0j -0.000257162-0j -3.90297e-05-0j -5.63345e-06-0j -0.00155896-0j 0.00508079-0j -0.000225016-0j 0.00151276-0j 0.00073335-0j 0.000218349-0j 6.99922e-05-0j -0.000643038-0j 1.01025e-05-0j -0.0040032-0j 0.00108077-0j -9.28145e-05-0j -0.000577812-0j 0.000155996-0j 0.00191733-0j 0.000276743-0j 0.000835899-0j 0.000120652-0j 
0.00548373-0j -0.00218483-0j -0.00133793-0j -0.00191173-0j -0.000788548-0j -0.000241614-0j 0.000799209-0j -0.000222848-0j -0.000225158-0j -0.000194992-0j -0.000160861-0j -5.13957e-05-0j 0.0298076-0j -2.2497e-05-0j 0.0329909-0j -2.48996e-05-0j -0.0763729-0j 0.0173877-0j 5.76417e-05-0j -0.0771643-0j -1.31232e-05-0j 5.8239e-05-0j 0.0304285-0j 0.0107581-0j -2.29656e-05-0j 0.01775-0j 0.0188267-0j -8.11958e-06-0j -1.33966e-05-0j -1.42093e-05-0j 0.0109822-0j -8.28874e-06-0j 0.00286499-0j -2.16232e-06-0j 
-0.013109-0j -0.0152938-0j -0.0079563-0j 0.0391198-0j -0.00551983-0j -0.0016913-0j -0.00191053-0j 0.00456016-0j -0.0015761-0j -0.00115956-0j 0.0032917-0j -0.00035977-0j -0.00109104-0j -0.000157479-0j -0.00120756-0j -0.000174297-0j 0.00279076-0j -0.000636443-0j 0.000402812-0j -0.000964557-0j -9.18626e-05-0j -0.000139222-0j 0.00325589-0j -0.00485075-0j 0.000469947-0j -0.000649702-0j -0.000585422-0j -0.000700146-0j -9.37764e-05-0j -8.44985e-05-0j 0.00117511-0j 0.000169613-0j -0.000104867-0j -1.51362e-05-0j 
-0.00111936-0j 0.000445977-0j 0.000273104-0j 0.00039023-0j 0.000160962-0j -0.00468831-0j 0.0155079-0j -0.00432418-0j -0.00436899-0j -0.00378365-0j -0.00312136-0j -0.000997288-0j -0.00302631-0j 0.0203097-0j -0.00334951-0j 0.0224787-0j 0.00775402-0j -0.00176535-0j -0.0520374-0j 0.00783437-0j 0.0118473-0j -0.0525767-0j -0.00308936-0j -0.00109225-0j 0.0207328-0j -0.00180213-0j -0.00191144-0j 0.00733015-0j 0.0120941-0j 0.0128278-0j -0.00111501-0j 0.00748286-0j -0.000290878-0j 0.00195209-0j 
