-0.00039421-0j 0.155302-0j -0.168007-0j 0.0570942-0j -0.322669-0j -0.00133337-0j 0.000459549-0j -0.00076982-0j -0.000539795-0j 0.00194423-0j -0.000927264-0j -0.000535356-0j 0.00239285-0j -0.165929-0j 0.0563878-0j -0.0655549-0j -0.115392-0j -0.101193-0j 0.0711036-0j -0.0815068-0j -0.047058-0j 0.460638-0j -0.184744-0j -0.066895-0j -0.128476-0j 0.138258-0j -0.0262569-0j 0.195854-0j 0.136202-0j -0.0352188-0j 0.0973626-0j -0.350681-0j -0.0610008-0j 0.109472-0j 0.0699036-0j 0.000297822-0j -0.0997933-0j 0.0779825-0j -0.000310154-0j -0.068201-0j 0.245647-0j 0.0501994-0j 0.0289826-0j 0.0187959-0j -0.0900874-0j 0.0280535-0j 0.0190314-0j -0.0441162-0j -0.0306798-0j 0.00677315-0j -0.00323971-0j 0.000532499-0j 
-0.106373-0j -0.0830415-0j -0.044225-0j 0.0958956-0j 0.174723-0j -0.0563878-0j 0.124003-0j 0.166495-0j 0.0708074-0j 0.0354037-0j 0.121634-0j -0.359143-0j 0.101193-0j -0.0431307-0j 0.0935227-0j 0.0528548-0j 0.0930366-0j -0.167835-0j -0.0614048-0j -0.0342178-0j 0.101034-0j -0.0623453-0j -0.16869-0j -0.0921033-0j 0.363879-0j -0.101015-0j 0.168986-0j 0.0515551-0j -0.111209-0j -0.147063-0j 0.0408743-0j 0.0204372-0j 0.049807-0j -0.0893832-0j 0.11741-0j -0.0390666-0j -0.0418948-0j 0.107369-0j 0.0406844-0j -0.114551-0j -0.0572753-0j 0.113765-0j -0.335911-0j 0.123832-0j -0.204162-0j 0.0877689-0j 0.126974-0j 0.0565699-0j -0.122026-0j -0.0671354-0j -0.0183195-0j 0.00389701-0j 
0.232689-0j -0.044225-0j 0.201515-0j -0.0510666-0j -0.093044-0j 0.0610008-0j 0.0652126-0j 0.0352188-0j -0.0766-0j -0.0383-0j -0.131584-0j -0.0759701-0j -0.109472-0j -0.196544-0j 0.049807-0j -0.0579041-0j 0.423963-0j -0.0893832-0j -0.131029-0j -0.0361096-0j -0.0208479-0j -0.065792-0j 0.0176094-0j 0.0822681-0j -0.0379851-0j -0.00988901-0j -0.00466172-0j 0.0564758-0j -0.121823-0j -0.131029-0j 0.0431341-0j 0.021567-0j -0.22695-0j 0.407282-0j -0.0625237-0j -0.393851-0j -0.0442109-0j 0.0230561-0j -0.0440127-0j 0.0610008-0j 0.0305004-0j 0.0111372-0j 0.00643005-0j 0.0166023-0j -0.0199867-0j -0.0207176-0j -0.0170222-0j 0.00210473-0j -0.00454008-0j 0.000859252-0j -0.00035966-0j 4.73002e-05-0j 
-0.221009-0j -0.174723-0j 0.093044-0j -0.201753-0j 0.0446487-0j -0.0393759-0j 0.0865921-0j 0.116264-0j 0.147115-0j 0.0735577-0j -0.0306953-0j 0.090633-0j -0.18737-0j -0.0305004-0j 0.0661358-0j 0.111209-0j -0.0237765-0j 0.314707-0j 0.041828-0j 0.0693509-0j -0.20477-0j -0.0153476-0j 0.0233825-0j 0.0379851-0j 0.0182278-0j 0.0189925-0j -0.0184174-0j -0.036455-0j -0.0284183-0j 0.10399-0j -0.0278429-0j -0.0139215-0j -0.0352188-0j -0.167589-0j 0.397729-0j -0.0272804-0j -0.136716-0j -0.0148827-0j -0.19544-0j 0.0809995-0j 0.0404997-0j -0.00718901-0j 0.0212268-0j 0.0875693-0j -0.034209-0j -0.00321503-0j -0.267137-0j -0.0013586-0j -0.00105909-0j 0.00114095-0j 0.000690752-0j -3.05322e-05-0j 
-0.000443966-0j -0.0563878-0j 0.0610008-0j -0.336325-0j 0.0393759-0j 0.00259627-0j -0.000530641-0j -0.000286579-0j -0.000607926-0j -0.000303963-0j 0.00183584-0j -0.000202642-0j -0.000175493-0j -0.0617698-0j 0.340564-0j -0.073829-0j -0.0436778-0j -0.0230202-0j -0.0821034-0j 0.480132-0j -0.0529975-0j -0.0562123-0j -0.0687741-0j -0.0753383-0j -0.0486307-0j -0.0501994-0j -0.029571-0j 0.0729099-0j 0.0515551-0j 0.0406672-0j -0.112425-0j -0.0562123-0j -0.368425-0j 0.0249035-0j 0.0113668-0j -0.000343895-0j -0.0162271-0j -0.0900465-0j -3.92414e-05-0j 0.0787517-0j 0.0393759-0j 0.303188-0j -0.0334662-0j -0.0217037-0j -0.0204938-0j -0.0323934-0j 0.0214335-0j -0.016423-0j -0.0116128-0j -0.00782096-0j -0.00364861-0j -0.000614877-0j 
-0.00131088-0j -0.166495-0j -0.0352188-0j 0.189858-0j 0.116264-0j 0.000286579-0j -0.00156681-0j 0.00123483-0j 0.000350986-0j 0.000175493-0j 0.000202642-0j 0.00087316-0j 0.000101321-0j 0.0356628-0j -0.192251-0j 0.0426252-0j 0.0252174-0j -0.0679711-0j -0.242424-0j 0.0529975-0j 0.22836-0j 0.0324542-0j -0.203067-0j 0.0434966-0j -0.14359-0j 0.0289826-0j -0.0873134-0j -0.0420946-0j -0.0297653-0j -0.17523-0j 0.0649084-0j 0.0324542-0j -0.0406672-0j -0.014378-0j 0.0335625-0j 0.000198548-0j 0.00936872-0j 0.0519884-0j 2.26561e-05-0j 0.232528-0j 0.116264-0j 0.0334662-0j 0.144202-0j 0.485338-0j 0.0118321-0j 0.0187023-0j -0.479296-0j 0.00948184-0j 0.00670468-0j -0.0230927-0j 0.00210653-0j 0.000355-0j 
0.000796738-0j 0.101193-0j -0.109472-0j -0.115393-0j 0.18737-0j -0.000175493-0j -0.00018761-0j -0.000101321-0j 0.00109098-0j 0.00054549-0j -0.00167017-0j -0.000964272-0j -0.00041948-0j -0.0218389-0j -0.0230202-0j 0.132493-0j -0.207841-0j -0.0550251-0j -0.0290279-0j 0.164733-0j 0.0951089-0j -0.267487-0j -0.0243153-0j 0.135202-0j -0.231409-0j 0.0900874-0j 0.0530679-0j 0.0257775-0j 0.245325-0j 0.014378-0j -0.0397481-0j -0.0198741-0j 0.0249035-0j 0.0595266-0j -0.301469-0j -0.000121585-0j 0.430372-0j -0.0318362-0j 0.00390846-0j 0.0278429-0j 0.0139215-0j -0.0204938-0j -0.0118321-0j -0.00767341-0j -0.0489862-0j -0.0114528-0j -0.0384644-0j -0.00580642-0j -0.0552597-0j -0.00276513-0j 0.00654777-0j -0.000217392-0j 
-0.22981-0j 0.0431307-0j 0.196544-0j -0.049807-0j -0.0305004-0j 0.0617698-0j 0.0660347-0j 0.0356628-0j 0.0756522-0j 0.0378261-0j 0.0436778-0j 0.0252174-0j 0.0218389-0j -0.196528-0j 0.049803-0j 0.0564713-0j -0.138967-0j 0.017608-0j 0.136016-0j -0.0365591-0j -0.0211074-0j -0.0223878-0j -0.0898313-0j 0.409324-0j -0.0635204-0j -0.107927-0j -0.0877689-0j -0.0564758-0j -0.0399344-0j 0.131029-0j -0.0447756-0j -0.0223878-0j 0.22695-0j 0.0802388-0j -0.00880471-0j -0.398816-0j -0.0064628-0j -0.117617-0j 0.00488333-0j -0.0610008-0j -0.0305004-0j -0.124624-0j -0.0719515-0j 0.016601-0j -0.0440611-0j 0.399926-0j -0.0166023-0j -0.0619692-0j -0.0438189-0j -0.0357511-0j -0.0195729-0j -0.00426896-0j 
-0.102457-0j 0.251245-0j -0.133794-0j -0.0935301-0j 0.177657-0j -0.172727-0j -0.12246-0j 0.510004-0j 0.068201-0j -0.245647-0j 0.0393759-0j -0.116264-0j -0.0610681-0j -0.133794-0j -0.0935301-0j 0.0515551-0j 0.0305004-0j -0.0330679-0j -0.0591537-0j 0.0321503-0j -0.094929-0j -0.0610681-0j 0.10257-0j 0.0176094-0j -0.0233825-0j -0.0273105-0j -0.00853809-0j -0.159914-0j 0.036455-0j -0.147063-0j 0.0393759-0j -0.141824-0j 0.049807-0j 0.0176094-0j -0.0165339-0j 0.0385803-0j 0.00568341-0j 0.0210473-0j 0.00440235-0j -0.114551-0j 0.412589-0j 0.0101668-0j -0.0300192-0j -0.123842-0j 0.00359451-0j 0.00454673-0j -0.123842-0j -0.00595964-0j 0.0013586-0j -0.00161355-0j 0.000320224-0j 4.3179e-05-0j 
-0.0711036-0j -0.08965-0j -0.0946063-0j 0.0321503-0j -0.0610681-0j 0.246582-0j -0.0849851-0j 0.142364-0j -0.0973626-0j 0.350681-0j -0.0562123-0j -0.0324542-0j 0.0871799-0j -0.0982067-0j 0.0333738-0j 0.0378423-0j 0.0223878-0j 0.0117994-0j 0.0824878-0j 0.0922242-0j 0.0532457-0j -0.175176-0j -0.0325403-0j 0.0114921-0j 0.00741809-0j 0.279581-0j -0.141635-0j -0.113076-0j 0.0257775-0j 0.0203336-0j 0.112951-0j -0.406828-0j 0.0352188-0j 0.0124517-0j 0.00568341-0j -0.0550766-0j 0.0163031-0j 0.0137356-0j -0.00628473-0j 0.0393759-0j -0.141824-0j -0.104079-0j -0.06009-0j 0.0111246-0j -0.0367975-0j -0.155153-0j 0.0107168-0j 0.448949-0j -0.102345-0j -0.108389-0j -0.0726915-0j -0.0215824-0j 
-0.153377-0j 0.0623453-0j 0.065792-0j 0.0693509-0j -0.0153476-0j 0.0562123-0j 0.0600935-0j 0.0324542-0j -0.21002-0j -0.10501-0j 0.0438201-0j 0.0252996-0j 0.267487-0j -0.0223878-0j -0.0235988-0j 0.0816291-0j -0.0174523-0j -0.112295-0j -0.0583277-0j 0.198936-0j 0.114856-0j -0.0440253-0j -0.00741809-0j 0.0247894-0j -0.00578275-0j -0.194429-0j -0.305519-0j -0.0257775-0j -0.0200948-0j -0.014378-0j -0.0798685-0j -0.0399343-0j -0.0249035-0j -0.118503-0j -0.136716-0j 0.0389451-0j -0.392176-0j -0.00971256-0j 0.279007-0j -0.0278429-0j -0.0139215-0j 0.073595-0j 0.0424901-0j -0.00786627-0j 0.350202-0j 0.10971-0j 0.023117-0j 0.102345-0j 0.0797828-0j 0.0766425-0j -0.156802-0j 0.015261-0j 
