-0.257036-0j -0.290353-0j 0.472887-0j 0.477788-0j -0.207438-0j -0.171128-0j -0.0546762-0j -0.0336554-0j -0.0372497-0j -0.0294484-0j 0.0979532-0j -0.0297536-0j 0.0685308-0j -0.0121469-0j 0.0399763-0j -0.021257-0j -0.0123999-0j -0.00323482-0j -0.0218946-0j -0.00316021-0j -0.0238939-0j -0.00344879-0j -0.0185082-0j -0.00267142-0j -0.0187-0j 0.0337015-0j -0.00269911-0j 0.0048644-0j -0.0209072-0j 0.0695428-0j -0.00301769-0j -0.0121959-0j 0.0240775-0j 0.0100376-0j -0.00176032-0j 0.00347529-0j 0.0344036-0j -0.00862378-0j 0.00496574-0j 0.0141908-0j -0.00871315-0j -0.00124474-0j 0.00204826-0j -0.00125763-0j -0.00393702-0j -0.00056826-0j -0.000868031-0j -0.00012529-0j 
0.318066-0j 0.00511413-0j -0.288656-0j -0.287964-0j -0.0108439-0j 0.407829-0j -0.265818-0j 0.0416464-0j 0.000656095-0j -0.035856-0j 0.0242937-0j -0.0357701-0j -0.00059543-0j -0.0744315-0j -0.0485407-0j 0.0758463-0j 0.0444343-0j -0.0196726-0j 0.0270932-0j 0.00391056-0j 0.000420855-0j 6.07452e-05-0j -0.0225353-0j -0.00325269-0j -0.0224813-0j 0.0209072-0j -0.00324489-0j 0.00301769-0j -0.000362341-0j 0.000245499-0j -5.22994e-05-0j -0.0295388-0j -0.0443313-0j 3.54347e-05-0j -0.00426356-0j -0.00639867-0j 0.0204026-0j -0.000752164-0j 0.00294486-0j -0.0259091-0j 0.0626336-0j -0.000108565-0j -0.00373966-0j 0.00904038-0j 0.0188335-0j 0.00271838-0j -0.00633778-0j -0.00091478-0j 
-0.185539-0j 0.410226-0j -0.171128-0j -0.158345-0j 0.29308-0j -0.478284-0j 0.511363-0j -0.0242937-0j 0.0526283-0j -0.021257-0j -0.0141713-0j -0.0196692-0j 0.0485407-0j -0.00876807-0j -0.0560133-0j -0.0140523-0j -0.0104149-0j 0.103292-0j -0.0158044-0j -0.00228116-0j 0.0337586-0j 0.00487264-0j -0.0133599-0j -0.00192834-0j -0.012362-0j -0.0121959-0j -0.0017843-0j -0.00176032-0j 0.0295388-0j 0.0196925-0j 0.00426356-0j -0.0340862-0j -0.00871315-0j 0.00284237-0j -0.00491991-0j -0.00125763-0j -0.0114018-0j 0.0121841-0j -0.00164571-0j -0.00597539-0j -0.0243523-0j 0.00175863-0j -0.000862473-0j -0.00351496-0j 0.0368213-0j 0.00531469-0j 0.0616692-0j 0.00890118-0j 
0.0319283-0j -0.108853-0j 0.0294484-0j 0.0297536-0j 0.0257674-0j 0.021257-0j 0.00679172-0j -0.197752-0j -0.218871-0j 0.522229-0j -0.115355-0j 0.527641-0j -0.201871-0j -0.0713723-0j -0.117758-0j -0.124902-0j -0.0728592-0j -0.0190071-0j 0.00271968-0j -0.03753-0j 0.00296804-0j -0.0409571-0j 0.00229903-0j -0.0317253-0j 0.00232286-0j -0.00633413-0j -0.032054-0j 0.0874072-0j -0.00783809-0j 0.00173135-0j 0.108161-0j -0.00457222-0j 0.0014994-0j -0.0238917-0j 0.0630939-0j -0.0206908-0j 0.00214244-0j 0.00107122-0j -0.0295644-0j 0.000883712-0j 0.00108232-0j -0.0147822-0j -0.0121947-0j -0.0149354-0j 0.000489045-0j -0.00674853-0j 0.000107824-0j -0.00148791-0j 
-0.0372497-0j -0.000598931-0j 0.0685308-0j -0.0672698-0j -0.000427897-0j 0.0485407-0j 0.0311308-0j 0.23071-0j 0.0036346-0j 0.201871-0j -0.671477-0j -0.198157-0j -0.00668682-0j 0.0832677-0j 0.536379-0j -0.14157-0j -0.250168-0j -0.108981-0j -0.00317296-0j 0.043785-0j -4.92876e-05-0j 0.00068014-0j -0.0026822-0j 0.0370128-0j 0.00263285-0j 0.00488402-0j -0.0363318-0j -0.0673966-0j -4.31267e-05-0j 0.00014345-0j 0.000595122-0j 0.00345938-0j 0.00348931-0j -0.00197953-0j -0.0477373-0j -0.0481504-0j -0.00484384-0j -1.77888e-05-0j 0.0668421-0j -0.00605249-0j 0.0024715-0j 0.000245475-0j 0.0835207-0j -0.0341052-0j 0.0022416-0j -0.0309328-0j 0.000742236-0j -0.0102424-0j 
-0.0228107-0j -0.0257674-0j 0.062442-0j -0.021257-0j -0.0172374-0j 0.045073-0j -0.00485224-0j 0.141281-0j 0.156369-0j -0.366895-0j 0.0824137-0j 0.124902-0j -0.428045-0j 0.648237-0j 0.0841306-0j 0.0835542-0j -0.154489-0j 0.0135793-0j -0.00194304-0j 0.0268127-0j -0.00212047-0j 0.0292612-0j 0.00487483-0j -0.0672697-0j -0.00165953-0j -0.0014994-0j 0.0229005-0j 0.0206908-0j 0.0055067-0j -0.00123694-0j -0.0759892-0j -0.00108232-0j -0.00100304-0j 0.017069-0j 0.0149354-0j 0.0138413-0j 0.0045428-0j -0.00972933-0j -0.0626879-0j -0.000631354-0j -0.000724031-0j 0.134259-0j 0.00871232-0j 0.00999119-0j 0.00103696-0j -0.0143095-0j -7.70334e-05-0j 0.00106302-0j 
0.0325934-0j -0.0357701-0j -0.0295797-0j -0.0303612-0j 0.0758463-0j -0.0195542-0j 0.0733328-0j -0.201871-0j 0.21707-0j 0.173804-0j -0.117758-0j 0.178396-0j -0.196999-0j 0.36079-0j -0.110091-0j -0.378267-0j 0.349431-0j -0.35552-0j 0.00277634-0j -0.0383119-0j -0.00294362-0j 0.0406202-0j -0.00230928-0j 0.0318667-0j -0.00237029-0j 0.00214244-0j 0.0327086-0j -0.0295644-0j 0.00253435-0j -0.00171711-0j -0.0349725-0j 0.0014163-0j -0.0045428-0j 0.0236951-0j -0.0195441-0j 0.0626879-0j 0.00215112-0j 0.00526091-0j -0.0296842-0j 0.00430736-0j -0.0030031-0j -0.0725974-0j -0.059439-0j 0.041441-0j -0.00519571-0j 0.0716977-0j 0.00308331-0j -0.0425479-0j 
-0.0134441-0j 0.0446956-0j -0.0123999-0j -0.0598193-0j 0.031932-0j -0.0104149-0j 0.0534546-0j 0.0832677-0j -0.271234-0j 0.0728592-0j 0.0485728-0j 0.351485-0j -0.250168-0j 0.0300529-0j 0.0576959-0j 0.251113-0j -0.432685-0j 0.259285-0j -0.00114518-0j 0.0158028-0j 0.00367812-0j -0.0507558-0j -0.000968058-0j 0.0133586-0j -0.00467008-0j -0.000883712-0j 0.0644443-0j 0.0121947-0j 0.00321835-0j 0.00214557-0j -0.0444114-0j -0.000742245-0j -0.000631354-0j -0.0296076-0j 0.0102425-0j 0.00871232-0j -0.00430736-0j 0.0013275-0j 0.059439-0j 0.00524805-0j -0.000530286-0j -0.0183187-0j -0.07242-0j 0.00731763-0j 0.00384906-0j -0.0531147-0j -0.00939012-0j 0.129578-0j 
-0.0813561-0j 0.0226678-0j 0.0185082-0j 0.0187-0j 0.0161946-0j 0.0133599-0j 0.00426855-0j 0.00262746-0j -0.0117901-0j 0.00229903-0j 0.00153269-0j 0.00232286-0j 0.0026822-0j 0.000948302-0j 0.00156462-0j 0.00165953-0j 0.000968058-0j 0.000252542-0j -0.164459-0j 0.000246717-0j -0.179477-0j 0.000269246-0j 0.563634-0j -0.000845549-0j 0.569475-0j -0.126909-0j -0.000854311-0j 0.000190386-0j -0.157042-0j -0.104695-0j 0.000235591-0j -0.091608-0j -0.0906684-0j 0.00015706-0j 0.000137428-0j 0.000136018-0j -0.129553-0j -0.0647766-0j 0.000194352-0j -0.053438-0j -0.0654479-0j 9.71761e-05-0j 8.01662e-05-0j 9.81832e-05-0j -0.0295725-0j 4.43639e-05-0j -0.00652013-0j 9.78131e-06-0j 
0.0117427-0j -0.00327181-0j -0.00267142-0j -0.00269911-0j -0.0023375-0j -0.00192834-0j -0.000616113-0j 0.0362574-0j -0.162697-0j 0.0317253-0j 0.0211502-0j 0.032054-0j 0.0370128-0j 0.013086-0j 0.0215908-0j 0.0229005-0j 0.0133586-0j 0.00348493-0j -0.000246717-0j -0.159324-0j -0.000269246-0j -0.173873-0j 0.000845549-0j 0.546034-0j 0.000854311-0j -0.000190386-0j 0.551693-0j -0.122946-0j -0.000235591-0j -0.00015706-0j -0.152138-0j -0.000137428-0j -0.000136018-0j -0.101426-0j -0.0887475-0j -0.0878372-0j -0.000194352-0j -9.71761e-05-0j -0.125508-0j -8.01662e-05-0j -9.81832e-05-0j -0.0627539-0j -0.0517693-0j -0.0634042-0j -4.43639e-05-0j -0.0286491-0j -9.78131e-06-0j -0.00631653-0j 
-0.0226678-0j 0.00110001-0j -0.0209072-0j 0.0205225-0j -0.000260391-0j 0.0295388-0j 0.0189442-0j -0.00296804-0j -4.67583e-05-0j 0.00783809-0j -0.00173135-0j -0.00769387-0j -4.31267e-05-0j -0.00107122-0j 0.00345938-0j 0.00182127-0j 0.00321835-0j 0.00140202-0j 0.185776-0j -0.000278696-0j 0.00288578-0j -4.32916e-06-0j 0.157042-0j -0.000235591-0j -0.154153-0j -0.432672-0j 0.000231256-0j 0.000649083-0j -0.00762085-0j 0.00168337-0j 1.14326e-05-0j 0.611302-0j 0.102421-0j -2.52535e-06-0j -0.000917058-0j -0.000153649-0j -0.14218-0j 0.00104153-0j 0.000213294-0j -0.177657-0j -0.144706-0j -1.56248e-06-0j 0.000266516-0j 0.000217083-0j -0.131245-0j 0.000196891-0j -0.0434577-0j 6.51941e-05-0j 
