-0.000838014-0j -0.000585825-0j 0.00111275-0j -0.0729019-0j 0.291021-0j 0.121371-0j 0.0860497-0j -0.358369-0j 0.0509077-0j 0.000311965-0j -0.00100162-0j -0.000717486-0j 0.00258424-0j -0.00092113-0j -0.000775681-0j 0.000228335-0j 0.000110296-0j -0.00010356-0j -0.122901-0j -0.0871345-0j 0.362886-0j 0.0485274-0j -0.174786-0j 0.0280173-0j -0.0827258-0j -0.0434521-0j -0.154975-0j -0.108338-0j 0.0597171-0j -0.223312-0j 0.0353291-0j -0.0383031-0j -0.0889157-0j 0.0483261-0j -0.142691-0j -0.0917934-0j 0.18377-0j 0.03155-0j -0.0418934-0j -0.0558171-0j -0.0193828-0j 0.0471672-0j 0.148649-0j -0.143448-0j 0.0214556-0j 0.0274513-0j 0.0591871-0j -0.21318-0j -0.0271095-0j -0.0338869-0j 0.122054-0j 0.133409-0j 0.00854292-0j 0.0377095-0j -0.0458235-0j 0.0207789-0j -0.0613532-0j -0.0159744-0j 0.00734645-0j 0.0103218-0j 0.00313243-0j -0.0147625-0j 0.00336536-0j -0.00430616-0j 0.000912008-0j -0.0319489-0j -0.00126289-0j 0.0690382-0j 0.156402-0j 0.00013719-0j 
0.00126219-0j -0.000319855-0j -0.00058278-0j 0.165567-0j -0.0512266-0j 0.043948-0j 0.0469824-0j 0.0253734-0j -0.343996-0j -0.0014215-0j 0.000353735-0j 0.000382078-0j 0.000191039-0j -0.000820701-0j -0.000106618-0j -0.000763038-0j 0.00255101-0j -0.000391616-0j 0.0434043-0j 0.0464011-0j 0.0250595-0j -0.0545036-0j -0.0272518-0j -0.0936268-0j -0.0540555-0j -0.077893-0j -0.22766-0j 0.0576922-0j -0.0670713-0j 0.159472-0j 0.491083-0j -0.103534-0j -0.196954-0j -0.0542774-0j -0.0313371-0j -0.0988941-0j 0.03155-0j 0.147396-0j -0.0680561-0j -0.0202111-0j -0.0105828-0j 0.0512822-0j -0.0524974-0j 0.0192307-0j 0.053808-0j -0.280239-0j 0.0648362-0j 0.0324181-0j -0.28375-0j 0.113241-0j 0.0566207-0j -0.0285759-0j -0.0664548-0j 0.0413087-0j 0.208798-0j 0.0227621-0j 0.0131417-0j 0.0888233-0j -0.0408488-0j -0.0470321-0j -0.0313166-0j 0.0052136-0j -0.0112462-0j 0.00229313-0j -0.00102432-0j -0.0349982-0j 0.0154276-0j -0.00673541-0j -0.0151547-0j 0.000150284-0j 
0.00058278-0j -0.00126368-0j 0.000279657-0j -0.157256-0j -0.202385-0j -0.0844052-0j 0.185617-0j 0.24922-0j -0.0396849-0j -0.000220593-0j -0.000228335-0j 0.000507339-0j 0.00025367-0j 0.000651337-0j -0.00167321-0j -0.000177998-0j -0.00104969-0j 0.00249117-0j -0.0280173-0j 0.0616134-0j 0.0827258-0j 0.104678-0j 0.052339-0j -0.0218408-0j 0.0644886-0j -0.133321-0j -0.0353291-0j 0.0766062-0j 0.128815-0j -0.0509077-0j -0.0275407-0j 0.364531-0j 0.0628729-0j 0.104244-0j -0.307797-0j -0.0230695-0j 0.0418934-0j 0.0680561-0j 0.0326579-0j 0.0388169-0j -0.0418104-0j -0.448891-0j 0.0338869-0j 0.101433-0j 0.166394-0j -0.019411-0j -0.0418516-0j -0.0209258-0j -0.0584776-0j 0.0264164-0j 0.0132082-0j -0.0943344-0j -0.205503-0j -0.0266646-0j 0.0324021-0j -0.0146929-0j 0.0433832-0j 0.152029-0j -0.0699162-0j -0.0072986-0j -0.139063-0j -0.00336536-0j -0.00262345-0j 0.00304492-0j 0.00196728-0j 0.0225913-0j 0.0890772-0j -0.0488174-0j 0.00978231-0j -9.70079e-05-0j 
-0.119543-0j 0.0406246-0j -0.229591-0j 0.0310735-0j 0.0645883-0j 0.107769-0j -0.0371428-0j 0.0622204-0j -0.06538-0j -0.0434043-0j 0.139357-0j -0.0485274-0j 0.174786-0j -0.0250595-0j 0.0135415-0j 0.0969129-0j 0.077893-0j 0.0497389-0j 0.105102-0j -0.0362237-0j 0.0606808-0j 0.0425491-0j -0.153254-0j 0.0730912-0j 0.0421992-0j -0.188616-0j -0.0690076-0j 0.023451-0j -0.0272635-0j -0.0940137-0j -0.04799-0j -0.042085-0j 0.0631225-0j -0.072358-0j -0.0417759-0j 0.408933-0j -0.214739-0j -0.0777561-0j -0.149336-0j 0.189908-0j -0.0407558-0j -0.0405421-0j -0.128734-0j 0.007817-0j 0.131947-0j -0.0234757-0j 0.086434-0j -0.311319-0j -0.0240713-0j -0.0895252-0j 0.322452-0j 0.0225913-0j -0.0885919-0j 0.0906439-0j 0.0396843-0j 0.0689528-0j 0.0398099-0j -0.070221-0j -0.123742-0j 0.0435444-0j 0.0244478-0j -0.0754478-0j -0.0524686-0j 0.0125551-0j -0.00643441-0j 0.0276685-0j -0.0121966-0j 0.00532481-0j -0.135448-0j 0.00118554-0j 
-0.0512266-0j 0.111078-0j 0.202385-0j -0.0442391-0j -0.111598-0j 0.0231626-0j -0.0509373-0j -0.0683915-0j -0.0896614-0j 0.0576922-0j 0.0597171-0j -0.132686-0j -0.0663429-0j -0.170346-0j 0.147076-0j -0.128815-0j -0.103534-0j 0.135998-0j -0.023451-0j 0.0515715-0j 0.069243-0j 0.0294479-0j 0.014724-0j 0.0505859-0j -0.149363-0j 0.042085-0j -0.0579624-0j 0.125683-0j 0.0710304-0j 0.041566-0j 0.12503-0j -0.22555-0j 0.0156614-0j 0.00872731-0j -0.0257688-0j 0.0159013-0j -0.122836-0j -0.0670674-0j 0.264968-0j -0.102041-0j 0.202238-0j -0.138226-0j -0.0276685-0j 0.166415-0j 0.0283593-0j -0.0162473-0j -0.0104251-0j -0.00521253-0j 0.0160475-0j 0.0596835-0j 0.0298417-0j 0.0770237-0j 0.0106853-0j 0.0781835-0j -0.0264562-0j 0.11492-0j -0.33932-0j 0.046814-0j -0.206234-0j 0.10504-0j 0.0169201-0j 0.0761624-0j -0.164289-0j -0.0990639-0j -0.029157-0j -0.0184457-0j 0.00813107-0j 0.0398592-0j -0.00798722-0j 0.00702527-0j 
-0.248373-0j 0.0844052-0j 0.0579393-0j 0.06538-0j -0.130904-0j -0.226733-0j 0.078144-0j -0.130904-0j -0.0167072-0j -0.0303094-0j 0.0973135-0j -0.0338869-0j 0.122054-0j -0.0174991-0j 0.0281351-0j -0.0244568-0j -0.144227-0j -0.166394-0j 0.0743244-0j -0.0256161-0j 0.0429112-0j 0.0895252-0j -0.322452-0j -0.0186792-0j -0.0107845-0j 0.353673-0j 0.0470069-0j -0.0159744-0j 0.0552562-0j 0.0664778-0j -0.0118138-0j -0.0760144-0j -0.00874956-0j 0.0298417-0j 0.0172291-0j 0.0204846-0j 0.0135697-0j 0.0146194-0j -0.00341034-0j -0.0206978-0j 0.00291225-0j -0.0760144-0j 0.0910284-0j -0.00532481-0j 0.446974-0j -0.0166011-0j -0.0119808-0j 0.0431526-0j 0.0506431-0j -0.0228773-0j 0.0823995-0j -0.0159744-0j -0.0588291-0j -0.00572793-0j -0.028061-0j -0.00252578-0j -0.00145826-0j -0.131661-0j -0.0120189-0j -0.00104577-0j -0.118932-0j 0.00128222-0j -0.000322247-0j -0.000159109-0j 0.000187985-0j -0.0195646-0j -0.0771431-0j -0.00376521-0j 0.0957764-0j -7.58523e-06-0j 
-0.000353735-0j -0.00037287-0j -0.000228335-0j -0.0464011-0j -0.0597171-0j 0.0512322-0j -0.345856-0j 0.0295789-0j 0.0324021-0j -0.000408458-0j 0.00266984-0j -0.00045667-0j -0.000228335-0j -0.000235824-0j -0.00012429-0j 0.00188786-0j -0.000144412-0j -6.59147e-05-0j -0.051878-0j 0.350215-0j -0.0299518-0j -0.0635373-0j -0.0317687-0j -0.0366833-0j -0.0211791-0j -0.0183416-0j -0.0654168-0j -0.0689554-0j 0.493738-0j 0.0458235-0j -0.0462567-0j -0.0243794-0j -0.0565937-0j -0.0632737-0j -0.0365311-0j -0.038747-0j -0.0377095-0j -0.0413087-0j -0.0266646-0j -0.0235611-0j -0.0123369-0j 0.0120755-0j 0.0627463-0j -0.0229851-0j 0.00905666-0j -0.0359421-0j -0.0774941-0j -0.038747-0j 0.0354947-0j 0.0443684-0j 0.0221842-0j 0.0341548-0j -0.0111853-0j 0.31178-0j -0.378866-0j -0.027206-0j -0.0157074-0j 0.0209154-0j -0.00961876-0j -0.0135144-0j -0.00410132-0j -0.00623144-0j -0.00440629-0j -0.00274082-0j -0.0011941-0j 0.0418309-0j 0.00165351-0j 0.00805036-0j 0.0181133-0j -0.000179624-0j 
-0.159472-0j -0.0831319-0j -0.0509077-0j 0.26785-0j -0.041566-0j 0.0349982-0j -0.0769652-0j -0.103338-0j 0.189399-0j -0.184143-0j 0.0458235-0j -0.101815-0j -0.0509077-0j 0.543713-0j -0.110074-0j 0.0324021-0j -0.0651043-0j -0.0146958-0j 0.0349982-0j -0.0769652-0j -0.103338-0j 0.0428639-0j 0.021432-0j 0.0247475-0j -0.0730711-0j 0.0123737-0j -0.0920714-0j -0.0479962-0j 0.0264562-0j 0.26785-0j -0.0651043-0j -0.0169692-0j 0.109349-0j 0.014288-0j -0.0421876-0j 0.00874956-0j -0.0131443-0j -0.0291155-0j -0.00929443-0j 0.00319489-0j -0.00286832-0j -0.0421876-0j 0.0428639-0j -0.063551-0j 0.00618687-0j -0.225966-0j 0.0174991-0j 0.00874956-0j -0.225966-0j 0.0303094-0j 0.0151547-0j -0.119325-0j 0.00252578-0j 0.00836618-0j -0.170483-0j 0.00368914-0j -0.0108928-0j 0.014288-0j 0.00130431-0j -0.00635353-0j 0.00276685-0j 0.000603777-0j 0.000426935-0j -0.000478054-0j 9.00058e-05-0j 0.0285759-0j 0.00112956-0j -0.0617496-0j 0.0123737-0j 1.10789e-05-0j 
0.0434043-0j -0.239307-0j 0.0280173-0j 0.0349955-0j -0.023451-0j 0.204666-0j -0.0418309-0j -0.0225913-0j -0.0247475-0j -0.262148-0j 0.051878-0j 0.0560347-0j 0.0280173-0j 0.0289362-0j 0.0152507-0j 0.0366833-0j 0.0177197-0j 0.00808791-0j -0.20465-0j 0.0418276-0j 0.0225895-0j 0.0479195-0j 0.0239598-0j -0.144709-0j 0.0159732-0j 0.0138332-0j -0.0256893-0j 0.141636-0j -0.0307046-0j -0.0349982-0j -0.0181651-0j -0.00957383-0j -0.0728876-0j 0.426239-0j -0.0470487-0j -0.0499027-0j -0.0799404-0j -0.0875703-0j -0.0565264-0j -0.0689528-0j -0.0458998-0j -0.00922285-0j -0.0479233-0j -0.0090263-0j -0.00691713-0j 0.0271074-0j -0.0998054-0j -0.0499027-0j -0.0271095-0j -0.0338869-0j -0.0169435-0j 0.136444-0j -0.0144057-0j -0.104667-0j -0.0458235-0j 0.416453-0j -0.0459685-0j 0.0835545-0j -0.0281499-0j -0.0502808-0j 0.00309319-0j -0.0280867-0j -0.0198603-0j -0.0144974-0j -0.00724654-0j 0.366167-0j -0.00126289-0j -0.00614856-0j -0.0138343-0j -0.00136895-0j 
-0.0250595-0j 0.135091-0j 0.0827258-0j 0.10333-0j -0.069243-0j 0.0225913-0j -0.123513-0j 0.097343-0j -0.0730711-0j -0.0289362-0j -0.0299518-0j 0.165452-0j 0.0827258-0j -0.124682-0j -0.341036-0j -0.0211791-0j -0.0102305-0j 0.0238809-0j -0.0225895-0j 0.123503-0j -0.0973353-0j -0.0276663-0j -0.0138332-0j -0.0159732-0j -0.0688265-0j -0.00798658-0j 0.0148317-0j -0.0799549-0j 0.0177273-0j -0.103338-0j 0.0104876-0j -0.0282683-0j -0.215213-0j 0.0470487-0j 0.202727-0j 0.0288113-0j -0.236037-0j 0.0505587-0j -0.166904-0j 0.0398099-0j -0.135527-0j 0.0397401-0j 0.0276685-0j 0.201846-0j 0.00399361-0j -0.0156504-0j 0.0576227-0j 0.0288113-0j 0.0156517-0j 0.0195646-0j 0.00978231-0j 0.112402-0j 0.00831712-0j 0.0604292-0j 0.0264562-0j 0.0459685-0j 0.198073-0j 0.00922285-0j 0.0162523-0j 0.0290296-0j -0.00178585-0j 0.0162159-0j 0.0114664-0j -0.0428061-0j 0.00418379-0j 0.0184457-0j 0.00072913-0j 0.314847-0j 0.00798722-0j 0.000790361-0j 
-0.043948-0j 0.242305-0j -0.0844052-0j -0.0358834-0j -0.0231626-0j 0.209842-0j -0.0428889-0j -0.0231626-0j -0.0754943-0j -0.258884-0j 0.0512322-0j 0.0553371-0j 0.0276685-0j 0.0285759-0j -0.0154418-0j -0.110512-0j -0.0888233-0j -0.0567186-0j -0.204666-0j 0.0418309-0j 0.0225913-0j -0.0491354-0j -0.0245677-0j 0.441482-0j -0.0487313-0j -0.070221-0j 0.0247475-0j -0.136444-0j -0.030327-0j 0.0349982-0j -0.0533825-0j -0.046814-0j 0.014288-0j 0.0856677-0j -0.0094561-0j -0.0298417-0j 0.00714399-0j -0.00802377-0j -0.0154102-0j -0.00366233-0j -0.00159837-0j -0.046814-0j 0.0479233-0j 0.00869538-0j -0.0491197-0j 0.0271095-0j 0.0195646-0j 0.00978231-0j -0.0277952-0j -0.103375-0j -0.0516874-0j -0.136444-0j -0.020053-0j 0.00935367-0j 0.0458235-0j -0.0215737-0j 0.00238133-0j 0.424112-0j -0.00740194-0j 0.00170774-0j -0.0282321-0j 0.000675043-0j -0.00145613-0j 0.000259824-0j -0.000103175-0j -0.366167-0j -0.0140834-0j 0.00614856-0j 0.0138343-0j 1.23866e-05-0j 
