-0.201932-0j -0.223498-0j 0.533269-0j -0.117794-0j 0.538795-0j -0.206139-0j -0.0728812-0j -0.120248-0j -0.127542-0j -0.0743995-0j -0.0194089-0j -0.0268153-0j -0.029264-0j -0.0226678-0j -0.0229027-0j 0.0624527-0j 0.0772813-0j -0.0170707-0j 0.0450808-0j -0.0147836-0j -0.0211239-0j -0.0105619-0j -0.00871315-0j -0.0106714-0j -0.00482184-0j -0.00106312-0j -0.0176256-0j -0.00254403-0j -0.0190378-0j -0.00274787-0j -0.0145403-0j -0.00209872-0j -0.014691-0j -0.00212047-0j -0.0130053-0j 0.062651-0j -0.00187715-0j 0.00904289-0j -0.0160932-0j -0.00232286-0j -0.00938771-0j 0.0443389-0j -0.001355-0j 0.0271519-0j 0.00639977-0j -0.00848187-0j 0.00391904-0j 0.0387965-0j -0.00122425-0j -0.00856977-0j 0.0055998-0j 0.0160028-0j -0.0104958-0j -0.00123694-0j 0.0023098-0j -0.00262394-0j -0.00151493-0j -0.00865857-0j -0.00530227-0j -0.000378734-0j -0.00124976-0j -0.00276646-0j -0.000765317-0j -0.00378813-0j -0.000399304-0j -0.000546769-0j -0.00139756-0j -0.000201721-0j -0.000266852-0j -3.85167e-05-0j 
0.235588-0j 0.00371144-0j 0.206139-0j -0.685672-0j -0.202346-0j -0.00682819-0j 0.085028-0j 0.547719-0j -0.144563-0j -0.255456-0j -0.111285-0j 0.0312845-0j 0.000485962-0j 0.0264458-0j -0.0259592-0j -0.0481551-0j 0.000425216-0j -0.00141438-0j -0.0341085-0j -0.0344036-0j 0.0477589-0j 0.000175393-0j 0.0596758-0j -0.0243683-0j -0.0221016-0j -0.00731824-0j 0.0205632-0j 0.00296804-0j 0.000316144-0j 4.56315e-05-0j 0.0169637-0j 0.0024485-0j -0.0166516-0j -0.00240345-0j -0.0302652-0j 0.0103881-0j -0.0043684-0j 0.0014994-0j 0.000267246-0j 3.85736e-05-0j -0.021437-0j -0.000486628-0j -0.00309416-0j 0.0104958-0j -7.02387e-05-0j -0.0493726-0j 0.00151493-0j -0.0145702-0j -0.00712632-0j 0.0484641-0j -0.00210302-0j -0.0182058-0j -0.000347664-0j 0.0069952-0j -0.00262777-0j 0.00306127-0j -5.0181e-05-0j 0.0394391-0j -0.00600988-0j 0.000441856-0j 0.00569254-0j 0.0252936-0j -0.000867452-0j -0.0130068-0j 0.00365082-0j -0.00187737-0j -0.0080132-0j -0.00115661-0j -0.00214384-0j -0.000309436-0j 
0.144267-0j 0.159675-0j -0.374652-0j 0.0841559-0j 0.127542-0j -0.437094-0j 0.661941-0j 0.0859092-0j 0.0853206-0j -0.157755-0j 0.0138664-0j 0.0191578-0j 0.0209072-0j -0.0480644-0j 0.0163625-0j 0.0147836-0j -0.0542945-0j 0.0121959-0j 0.0106714-0j 0.00988966-0j -0.0447907-0j 0.0959284-0j 0.00622497-0j 0.00713874-0j -0.0102242-0j 0.000759527-0j 0.0125923-0j 0.00181754-0j 0.0136012-0j 0.00196317-0j -0.0308311-0j -0.00445009-0j 0.0104958-0j 0.00151493-0j 0.00929142-0j 0.0063614-0j 0.0013411-0j 0.000918189-0j -0.0341238-0j -0.00492534-0j 0.0067069-0j 0.0104958-0j 0.000968058-0j 0.00601823-0j 0.00151493-0j -0.0179848-0j 0.000868656-0j -0.0272568-0j -0.00259588-0j 0.00612254-0j -0.00393418-0j 0.00378813-0j 0.00702126-0j 0.000883712-0j 0.000546769-0j 0.0606659-0j 0.00101343-0j -0.0183595-0j 0.0481577-0j 0.00875637-0j -0.00264996-0j 0.00197645-0j 0.00695097-0j 0.00253411-0j 0.000285276-0j 0.000365767-0j -0.00296337-0j -0.000427725-0j 0.000190648-0j 2.75177e-05-0j 
-0.206139-0j 0.221659-0j 0.177478-0j -0.120248-0j 0.182167-0j -0.201164-0j 0.368417-0j -0.112419-0j -0.386264-0j 0.356818-0j -0.363036-0j -0.027374-0j 0.0290232-0j 0.0227688-0j 0.0233704-0j -0.0211239-0j -0.0249879-0j 0.0169302-0j -0.0139643-0j 0.0447907-0j -0.0212094-0j -0.0518711-0j -0.0424693-0j 0.0296097-0j 0.0512282-0j -0.0304006-0j -0.0179928-0j -0.00259703-0j 0.0188812-0j 0.00272526-0j 0.0146052-0j 0.00210807-0j 0.014991-0j 0.00216377-0j -0.0132762-0j -0.00908961-0j -0.00191626-0j -0.00131197-0j -0.0157048-0j -0.00226679-0j -0.00877649-0j 0.0145702-0j -0.00126678-0j 0.0272568-0j 0.00210302-0j 0.00851968-0j 0.00393418-0j -0.0129067-0j 0.00122971-0j 0.00874476-0j -0.00186293-0j -0.0258441-0j -0.0308943-0j 0.0012622-0j -0.00373028-0j 0.0185784-0j -0.00445921-0j 0.00796498-0j -0.0267923-0j 0.00268156-0j 0.00114965-0j -0.0298705-0j -0.00386714-0j 0.0547995-0j -0.00431144-0j 0.00790962-0j 0.0257215-0j 0.00371258-0j -0.0107997-0j -0.0015588-0j 
0.085028-0j -0.276968-0j 0.0743995-0j 0.0495997-0j 0.358916-0j -0.255456-0j 0.0306882-0j 0.0589156-0j 0.256422-0j -0.441832-0j 0.264767-0j 0.0112912-0j -0.0362652-0j 0.00954478-0j 0.0460456-0j 0.00871315-0j -0.031732-0j -0.0211547-0j 0.00731833-0j 0.00622497-0j 0.0424693-0j -0.0130888-0j -0.0517443-0j 0.00522847-0j -0.0379506-0j 0.092584-0j 0.00742164-0j 0.00107122-0j -0.0235924-0j -0.00340528-0j 0.00612254-0j 0.000883712-0j 0.0295362-0j 0.00426318-0j 0.00547616-0j 0.00374927-0j 0.000790416-0j 0.000541161-0j -0.0199434-0j -0.00287858-0j 0.00459953-0j -0.0182058-0j 0.000663884-0j 0.00378813-0j -0.00262777-0j 0.00357148-0j 0.000546769-0j 0.0258441-0j 0.000515499-0j 0.0172294-0j 0.00373028-0j -0.0314883-0j -0.0130068-0j 0.00248685-0j -0.00454495-0j 0.00110487-0j -0.00187737-0j 0.00424228-0j 0.0106602-0j 0.000159474-0j 0.000612321-0j -0.0217735-0j 0.00153866-0j -0.0224963-0j -0.00314274-0j -0.00324707-0j 0.0190648-0j 0.00275177-0j 0.0668461-0j 0.0096484-0j 
0.025906-0j -0.116247-0j 0.0226678-0j 0.0151119-0j 0.0229027-0j 0.0264458-0j 0.00934999-0j 0.0154267-0j 0.0163625-0j 0.00954478-0j 0.00248999-0j -0.162728-0j -0.177588-0j 0.557702-0j 0.563482-0j -0.125574-0j -0.155389-0j -0.103593-0j -0.0906439-0j -0.0897142-0j -0.12819-0j -0.0640949-0j -0.0528756-0j -0.0647591-0j -0.0292613-0j -0.00645151-0j 0.0022612-0j -0.0312032-0j 0.00244237-0j -0.0337033-0j 0.00186539-0j -0.0257413-0j 0.00188472-0j -0.0260081-0j -0.00676439-0j 0.00114232-0j 0.0933446-0j -0.0157633-0j -0.00837051-0j 0.115508-0j -0.0048828-0j 0.00188472-0j 0.0673797-0j 0.00115415-0j -0.0260081-0j 0.00108815-0j -0.0159266-0j 0.00164913-0j -0.0150158-0j 0.00109942-0j -0.0227571-0j 0.000680233-0j 0.00134651-0j -0.0151714-0j -0.00938681-0j 0.000336628-0j -0.0185811-0j 0.00111082-0j 0.000680233-0j -0.00464527-0j -0.0153286-0j 0.000354911-0j -0.00938681-0j 0.000485982-0j -0.00489756-0j -0.00670626-0j 0.000179294-0j -0.00247416-0j 3.42346e-05-0j -0.000472417-0j 
-0.029264-0j -0.000461024-0j 0.0772813-0j -0.0170707-0j -0.0758593-0j -0.000425216-0j -0.0105619-0j 0.0341085-0j 0.0179572-0j 0.031732-0j 0.0138235-0j 0.183821-0j 0.00285541-0j 0.155389-0j -0.15253-0j -0.428118-0j -0.00754065-0j 0.00166565-0j 0.604868-0j 0.101343-0j -0.140683-0j 0.00103057-0j -0.175787-0j -0.143183-0j -0.129864-0j -0.0430004-0j -0.00255429-0j 0.0352477-0j -3.92705e-05-0j 0.000541909-0j -0.00210719-0j 0.0290779-0j 0.00206841-0j -0.0285429-0j -0.00188472-0j 0.00907938-0j 0.0260081-0j -0.12529-0j -3.31965e-05-0j 0.000458092-0j 0.00266284-0j 9.14608e-05-0j -0.0367456-0j 0.00393485-0j -0.0012621-0j -0.00122919-0j -0.0542987-0j -0.00546234-0j 0.0169621-0j 0.00120657-0j 0.075377-0j -0.00682532-0j -2.16503e-05-0j -0.01665-0j 0.0941853-0j -0.000380262-0j 0.000298762-0j 0.00245602-0j 0.00074653-0j 0.00524739-0j -0.0338916-0j 0.00157513-0j -0.0103017-0j 0.00161567-0j -0.0217358-0j -0.0222953-0j 0.000995376-0j -0.0137356-0j 0.000266301-0j -0.0036748-0j 
-0.0238939-0j -0.0264458-0j 0.0205718-0j 0.0695428-0j -0.0211239-0j -0.0478736-0j 0.0427039-0j 0.0283816-0j 0.0447907-0j 0.00866223-0j -0.00229659-0j 0.150089-0j 0.163795-0j -0.12484-0j 0.12819-0j -0.231027-0j -0.141022-0j -0.476722-0j 0.0836037-0j 0.489865-0j 0.232057-0j -0.292739-0j -0.0972789-0j -0.177272-0j -0.0265557-0j 0.00595042-0j -0.00208557-0j 0.0287797-0j -0.00225268-0j 0.0310856-0j 0.00169291-0j -0.0233612-0j -0.00173834-0j 0.0239881-0j 0.00306958-0j -0.00105359-0j -0.0423584-0j 0.014539-0j 0.00187371-0j -0.0258561-0j -0.00111082-0j 0.00346746-0j 0.0153286-0j 0.00315938-0j -0.0478489-0j -0.00492718-0j -0.0435976-0j 0.00149665-0j 0.0679922-0j 0.0050594-0j -0.0206528-0j -0.0006274-0j -0.00735234-0j -0.0698167-0j 0.00865775-0j 0.00215346-0j 0.101458-0j -0.00201086-0j 0.00310681-0j -0.0297164-0j 0.0277487-0j 0.000652954-0j -0.0428721-0j 0.00133033-0j -0.00901038-0j -0.0183577-0j 0.000162716-0j -0.00224539-0j -3.15756e-05-0j 0.000435725-0j 
0.0241416-0j -0.0259592-0j 0.0211239-0j -0.0702635-0j -0.0213341-0j 0.0477589-0j 0.00871315-0j -0.0262615-0j -0.0152418-0j 0.0424693-0j 0.0425162-0j -0.151645-0j 0.160781-0j -0.12819-0j 0.129466-0j 0.233421-0j 0.140683-0j -0.46795-0j -0.0773587-0j 0.166764-0j -0.238187-0j 0.058029-0j 0.46929-0j -0.0552677-0j -0.288417-0j -0.168411-0j 0.00210719-0j -0.0290779-0j -0.00221123-0j 0.0305136-0j 0.00173834-0j -0.0239881-0j -0.00175564-0j 0.0242268-0j -0.00310139-0j 0.00106451-0j 0.0427973-0j -0.0146896-0j -0.00186922-0j 0.0257941-0j 0.00102784-0j 0.00340366-0j -0.0141836-0j 0.00107554-0j -0.0469685-0j -0.0050594-0j -0.0148418-0j -0.00153619-0j 0.0698167-0j 0.00510976-0j 0.0211985-0j 0.00302668-0j 0.00243169-0j -0.0705116-0j -0.0417664-0j 0.0003137-0j -0.0335559-0j -0.00189099-0j -0.000633645-0j -0.00432887-0j 0.0260946-0j -0.00697789-0j 0.00874392-0j 0.00216237-0j 0.0962908-0j -0.0298394-0j 0.00306143-0j -0.0422459-0j 0.00126479-0j -0.0174533-0j 
0.0209072-0j 0.000329371-0j -0.0542945-0j 0.0121959-0j -0.0179572-0j -0.000901622-0j 0.0959284-0j -0.0243683-0j -0.0120127-0j 0.0672841-0j -0.00987598-0j -0.131328-0j -0.00204-0j 0.329485-0j 0.108973-0j -0.101343-0j 0.00529773-0j -0.00119-0j 0.143183-0j -0.0677944-0j -0.298303-0j -0.00936012-0j 0.125589-0j 0.0957836-0j -0.275362-0j 0.030721-0j 0.00182488-0j -0.0251822-0j 2.80562e-05-0j -0.000387159-0j -0.00446804-0j 0.0616563-0j -0.00147775-0j 0.020392-0j 0.00134651-0j 0.000921894-0j -0.0185811-0j -0.0127216-0j -7.03893e-05-0j 0.000971331-0j -0.00190242-0j 2.16503e-05-0j 0.0262523-0j 0.000872161-0j -0.000298762-0j -0.00260636-0j -0.0120353-0j 0.0038376-0j 0.0359662-0j -0.000862019-0j -0.0529566-0j -0.00161567-0j 1.44832e-05-0j 0.0118953-0j 0.0222953-0j 0.0087917-0j -0.00019986-0j 0.0052077-0j -0.00678033-0j -0.12132-0j -0.0718631-0j -0.00112532-0j 0.0935646-0j -0.00108082-0j 0.0155288-0j 0.0149147-0j 0.00211058-0j -0.0291247-0j -0.000190255-0j 0.0026254-0j 
-0.0172476-0j 0.037364-0j 0.0148495-0j -0.0100611-0j -0.0139643-0j -0.0339091-0j 0.0308253-0j -0.0397672-0j 0.0296097-0j 0.00727556-0j 0.0733332-0j 0.10834-0j -0.231418-0j -0.0901141-0j 0.0847422-0j 0.0836037-0j 0.199243-0j -0.134994-0j 0.233663-0j -0.177272-0j -0.0769066-0j 0.413597-0j 0.0409618-0j -0.495456-0j 0.248364-0j -0.422747-0j -0.00150545-0j 0.0207743-0j 0.0031827-0j -0.0439194-0j 0.00122201-0j -0.016863-0j -0.00114916-0j 0.0158577-0j -0.00111082-0j -0.000760524-0j 0.0153286-0j 0.0104948-0j -0.00264728-0j 0.0365308-0j -0.00310461-0j 0.00245602-0j 0.0428418-0j 0.00228056-0j -0.0338916-0j 0.000712838-0j -0.0314704-0j 0.000989387-0j -0.00983674-0j -0.000670344-0j -0.0136529-0j -0.000526964-0j -0.0052077-0j 0.00925035-0j 0.00727179-0j 0.00155445-0j 0.0718631-0j 0.00281755-0j 0.00205381-0j -0.0214504-0j -0.0388805-0j 0.00306152-0j -0.0283414-0j 0.00111737-0j -0.0422472-0j -0.015419-0j -0.00519573-0j 0.071698-0j 0.00413142-0j -0.0570112-0j 
