-0.00599897-0j -0.000865877-0j -0.00494579-0j -0.0008743-0j -7.28583e-05-0j -0.00302676-0j -0.00305813-0j -0.00050446-0j -0.000308918-0j -0.000509688-0j -0.000312119-0j -6.30575e-05-0j -6.3711e-05-0j -3.7157e-06-0j -3.75421e-06-0j -0.00220905-0j -0.00273356-0j -0.00159457-0j -0.000356483-0j -0.000291067-0j -0.000441126-0j -4.2012e-05-0j -0.000257323-0j -0.000360178-0j -3.63834e-05-0j -5.19871e-05-0j -0.000210104-0j -4.28783e-06-0j -4.50222e-05-0j -1.95712e-07-0j -3.03258e-05-0j -5.30592e-06-0j -2.62629e-05-0j -3.09512e-06-0j -2.42181e-07-0j -1.41272e-07-0j 
0.00094852-0j -0.0130144-0j 0.000781998-0j -0.0065014-0j -0.00164839-0j 0.000478573-0j 0.000483533-0j -0.00375123-0j 4.88442e-05-0j -0.0037901-0j 4.93503e-05-0j -0.000947778-0j -0.000957599-0j -0.000112284-0j -0.000113448-0j -0.0837419-0j -0.103625-0j -0.0604481-0j -0.00265085-0j 4.60218e-05-0j -0.00328026-0j -0.000631455-0j -0.00191349-0j 5.69491e-05-0j -0.000270552-0j -0.000781386-0j 3.32203e-05-0j -9.70104e-05-0j -0.000334791-0j -7.40046e-06-0j -0.000455808-0j -0.000120044-0j -0.000195294-0j -7.00258e-05-0j -9.1576e-06-0j -5.34193e-06-0j 
-0.0713283-0j 0.000108235-0j 0.000618224-0j -0.0103955-0j 9.10729e-06-0j -0.0724467-0j -0.0731975-0j 6.30575e-05-0j -0.00738473-0j 6.3711e-05-0j -0.00746126-0j -0.00074976-0j -0.00075753-0j 4.64463e-07-0j 4.69276e-07-0j 0.000276131-0j 0.000341694-0j 0.000199322-0j -0.00853257-0j -0.00346082-0j -0.0105585-0j 5.25149e-06-0j -0.00615913-0j -0.00428254-0j -0.000869752-0j 6.49839e-06-0j -0.00249815-0j -5.09827e-05-0j -0.00107626-0j 2.4464e-08-0j 3.79073e-06-0j -6.30878e-05-0j -0.00062782-0j -3.68012e-05-0j 3.02726e-08-0j 1.7659e-08-0j 
0.000499914-0j 7.21564e-05-0j -0.118511-0j 7.28583e-05-0j 6.07153e-06-0j 0.00025223-0j 0.000254844-0j -0.0120879-0j 2.57431e-05-0j -0.0122131-0j 2.60099e-05-0j 5.2548e-06-0j 5.30925e-06-0j 3.09642e-07-0j 3.12851e-07-0j 0.000184087-0j 0.000227796-0j 0.000132881-0j 2.97069e-05-0j -0.00697454-0j 3.67605e-05-0j -0.00100669-0j 2.14436e-05-0j -0.00863056-0j 3.03195e-06-0j -0.00124571-0j -0.00503449-0j 3.57319e-07-0j 3.75185e-06-0j 1.63093e-08-0j -0.000726666-0j 4.4216e-07-0j 2.18858e-06-0j 2.57926e-07-0j 2.01817e-08-0j 1.17727e-08-0j 
-0.000108235-0j -0.0690924-0j -8.92329e-05-0j 0.00149951-0j -0.0178173-0j 0.0104568-0j 0.0105652-0j 0.000865199-0j -5.57355e-06-0j 0.000874165-0j -5.63131e-06-0j -0.00503166-0j -0.0050838-0j -0.00183014-0j -0.00184911-0j -3.9856e-05-0j -4.93193e-05-0j -2.87696e-05-0j -0.117073-0j -5.25149e-06-0j -0.144871-0j -0.00335233-0j -0.0845081-0j -6.49839e-06-0j 6.24011e-05-0j -0.0041483-0j -3.79073e-06-0j -0.00104858-0j 7.72174e-05-0j -0.000161224-0j -0.00241984-0j -0.00129755-0j 4.50435e-05-0j -0.000756903-0j -0.000199504-0j -0.000116377-0j 
0.011888-0j 0.0017148-0j 0.0147623-0j -0.0814837-0j 0.000217195-0j -6.30575e-05-0j -6.3711e-05-0j -0.0708146-0j 0.00123079-0j -0.0715484-0j 0.00124354-0j -0.0118787-0j -0.0120018-0j 1.47947e-05-0j 1.49481e-05-0j -4.60218e-05-0j -5.69491e-05-0j -3.32203e-05-0j 0.000349281-0j -0.0826395-0j 0.000432213-0j -0.0119204-0j 0.000252124-0j -0.102261-0j -0.00681743-0j -0.0147508-0j -0.0596524-0j -0.00121586-0j -0.00843614-0j 9.75096e-07-0j -0.00860461-0j -0.00150454-0j -0.00492108-0j -0.000877651-0j 1.20662e-06-0j 7.03862e-07-0j 
0.0126976-0j -6.37778e-06-0j -3.64292e-05-0j 0.00185056-0j -5.36652e-07-0j -2.22942e-05-0j -2.25252e-05-0j -3.7157e-06-0j -0.124827-0j -3.75421e-06-0j -0.12612-0j 0.000133469-0j 0.000134852-0j -2.73687e-08-0j -2.76523e-08-0j -1.62712e-05-0j -2.01345e-05-0j -1.17451e-05-0j -2.62575e-06-0j 0.00061608-0j -3.2492e-06-0j -3.09447e-07-0j -1.89536e-06-0j 0.00076236-0j -0.0147017-0j -3.82922e-07-0j 0.00044471-0j 9.07571e-06-0j -0.0181925-0j -1.44155e-09-0j -2.23371e-07-0j 1.12306e-05-0j -0.0106123-0j 6.55119e-06-0j -1.78383e-09-0j -1.04057e-09-0j 
1.04149e-05-0j 0.0203755-0j -0.00123019-0j -0.000217195-0j -0.0788933-0j 5.2548e-06-0j 5.30925e-06-0j 0.0179546-0j 5.36315e-07-0j 0.0181407-0j 5.41873e-07-0j 0.00148384-0j 0.00149922-0j -0.0166222-0j -0.0167945-0j 3.83515e-06-0j 4.74576e-06-0j 2.76836e-06-0j -8.85579e-05-0j -7.23988e-05-0j -0.000109585-0j -0.14164-0j -6.39245e-05-0j -8.9589e-05-0j -9.03841e-06-0j -0.17527-0j -5.22602e-05-0j -0.004643-0j -1.11845e-05-0j -0.00221207-0j -0.102241-0j -0.00574541-0j -6.52427e-06-0j -0.00335149-0j -0.00273729-0j -0.00159675-0j 
-0.00211258-0j 0.00705171-0j 9.10729e-06-0j 0.0292682-0j 0.00181847-0j 5.57355e-06-0j 5.63131e-06-0j -8.8304e-05-0j 0.0102933-0j -8.92191e-05-0j 0.0103999-0j -0.0982105-0j -0.0992282-0j 0.000186788-0j 0.000188724-0j 4.06779e-06-0j 5.03363e-06-0j 2.93629e-06-0j -6.24011e-05-0j -0.000102501-0j -7.72174e-05-0j 0.000342146-0j -4.50435e-05-0j -0.000126839-0j -0.115243-0j 0.000423384-0j -7.39893e-05-0j -0.0204667-0j -0.142605-0j 1.64548e-05-0j 0.000246974-0j -0.0253262-0j -0.0831865-0j -0.0147736-0j 2.03618e-05-0j 1.18777e-05-0j 
8.75637e-05-0j -0.0036273-0j -7.58941e-07-0j -0.00243902-0j 0.0288087-0j -4.64463e-07-0j -4.69276e-07-0j 1.47947e-05-0j 9.06561e-06-0j 1.49481e-05-0j 9.15956e-06-0j 0.025127-0j 0.0253873-0j -0.0668544-0j -0.0675472-0j -3.38983e-07-0j -4.19469e-07-0j -2.44691e-07-0j 1.04549e-05-0j 4.24855e-06-0j 1.29373e-05-0j -0.000175995-0j 7.54674e-06-0j 5.25732e-06-0j -0.000204064-0j -0.000217783-0j 3.06677e-06-0j -0.161271-0j -0.000252516-0j -0.0183887-0j -0.00012704-0j -0.199563-0j -0.000147301-0j -0.116411-0j -0.0227549-0j -0.0132737-0j 
3.4307e-08-0j 0.000339849-0j 2.82841e-08-0j -1.43589e-06-0j -0.00545384-0j 1.73095e-08-0j 1.74889e-08-0j -8.28493e-07-0j 1.76664e-09-0j -8.37079e-07-0j 1.78495e-09-0j 2.47495e-05-0j 2.5006e-05-0j 0.0395891-0j 0.0399994-0j 1.26331e-08-0j 1.56327e-08-0j 9.11908e-09-0j -5.85465e-07-0j 1.66456e-09-0j -7.24476e-07-0j 1.64893e-05-0j -4.22611e-07-0j 2.05979e-09-0j -5.97538e-08-0j 2.04045e-05-0j 1.20154e-09-0j -0.000320967-0j -7.39416e-08-0j -0.195407-0j 1.19026e-05-0j -0.000397177-0j -4.31326e-08-0j -0.000231686-0j -0.241804-0j -0.141052-0j 
0.005608-0j 0.000809445-0j 9.15096e-05-0j 1.61768e-05-0j 1.34806e-06-0j 0.0028295-0j -0.00274565-0j 0.000471583-0j 0.000288784-0j -0.000457609-0j -0.000280227-0j 5.89479e-05-0j -5.72011e-05-0j 3.47354e-06-0j -3.37061e-06-0j 0.00206508-0j 5.05777e-05-0j -0.00289279-0j 0.00033325-0j 0.000272098-0j 8.16194e-06-0j 3.92739e-05-0j -0.000466822-0j 6.6642e-06-0j 3.40122e-05-0j 9.61894e-07-0j -0.000381159-0j 4.00838e-06-0j 8.33025e-07-0j 1.82957e-07-0j -5.50155e-05-0j 9.81729e-08-0j -4.76448e-05-0j -5.615e-06-0j 4.48096e-09-0j -2.56288e-07-0j 
-0.0008743-0j 0.0119961-0j -1.42666e-05-0j 0.00011861-0j 3.00728e-05-0j -0.000441126-0j 0.000428054-0j 0.0034577-0j -4.50222e-05-0j -0.00335524-0j 4.36881e-05-0j 0.000873616-0j -0.000847728-0j 0.000103498-0j -0.000100431-0j -0.00032195-0j -7.88518e-06-0j 0.000450993-0j 0.00244343-0j -4.24207e-05-0j 5.98443e-05-0j 0.000582045-0j -0.00342279-0j -1.03896e-06-0j 0.000249381-0j 1.42554e-05-0j 5.94235e-05-0j 8.94195e-05-0j 6.10783e-06-0j 6.82138e-06-0j -0.000815337-0j 2.19006e-06-0j -0.000349337-0j -0.00012526-0j 1.67069e-07-0j -9.5555e-06-0j 
0.0644186-0j -9.77497e-05-0j -1.10508e-05-0j 0.000185821-0j -1.62794e-07-0j -0.000341694-0j 0.000331569-0j -5.69491e-05-0j 0.00666936-0j 5.52615e-05-0j -0.00647173-0j 0.000677129-0j -0.000657065-0j -4.19469e-07-0j 4.0704e-07-0j 0.0597905-0j 0.00146439-0j -0.0837555-0j -4.02438e-05-0j 0.00312556-0j -9.85648e-07-0j -4.74277e-06-0j 5.63741e-05-0j 7.65511e-05-0j 0.000785498-0j -1.1616e-07-0j -0.00437834-0j 4.60439e-05-0j 1.92384e-05-0j -2.20941e-08-0j 6.64375e-06-0j 1.1277e-06-0j -0.00110034-0j -6.4499e-05-0j -5.41127e-10-0j 3.09498e-08-0j 
9.77497e-05-0j 0.0623993-0j 1.59505e-06-0j -2.6804e-05-0j 0.000318487-0j 4.93193e-05-0j -4.78579e-05-0j -0.000781386-0j 5.03363e-06-0j 0.000758231-0j -4.88448e-06-0j 0.00454424-0j -0.00440958-0j 0.00165286-0j -0.00160388-0j -0.00863002-0j -0.000211366-0j 0.0120891-0j -0.000552176-0j 4.74277e-06-0j -1.35239e-05-0j 0.00302759-0j 0.000773497-0j 1.1616e-07-0j -5.63562e-05-0j 7.41515e-05-0j -6.64375e-06-0j 0.000947-0j -1.38027e-06-0j 0.000145606-0j -0.00424109-0j 2.31939e-05-0j 7.89447e-05-0j -0.00132657-0j 3.56617e-06-0j -0.000203967-0j 
-0.000618224-0j -8.92329e-05-0j 0.00144532-0j -1.78332e-06-0j -1.4861e-07-0j 0.059728-0j -0.0579581-0j 0.00744829-0j -3.18355e-05-0j -0.00722758-0j 3.08921e-05-0j -6.49839e-06-0j 6.30583e-06-0j -3.82922e-07-0j 3.71575e-07-0j -0.000227653-0j -5.57567e-06-0j 0.0003189-0j 0.00703459-0j 0.00429757-0j 0.000172291-0j 0.000620301-0j -0.00985416-0j 0.000105256-0j -3.74949e-06-0j 1.51924e-05-0j -0.0060201-0j -4.41882e-07-0j -9.18323e-08-0j -2.01691e-08-0j -0.000868927-0j -1.08225e-08-0j 5.25235e-06-0j 6.18995e-07-0j -4.93979e-10-0j 2.82531e-08-0j 
