-0.0840912-0j -0.00857713-0j -0.00866601-0j -0.0049489-0j -0.000714312-0j -0.00612395-0j -0.000883916-0j -0.0035723-0j -0.000515618-0j 0.50105-0j -0.000618224-0j 0.584558-0j -5.15186e-05-0j 0.357967-0j -0.000721261-0j 0.511488-0j -0.00044168-0j -6.01051e-05-0j 0.210978-0j -3.68067e-05-0j -0.000631103-0j -5.25919e-05-0j -0.000260317-0j -2.16931e-05-0j 
0.0148654-0j -0.0713089-0j -0.0720478-0j -0.0832163-0j -0.0120036-0j -0.102975-0j -0.0148537-0j -0.0600687-0j -0.00866467-0j 0.000618224-0j 0.488902-0j 0.000721261-0j -0.00130317-0j 0.00044168-0j 0.570386-0j 0.000631103-0j 0.349289-0j -0.00152036-0j 0.000260317-0j -0.000931028-0j 0.499088-0j -0.00133032-0j 0.205863-0j -0.000548728-0j 
-0.00123878-0j 0.0180799-0j 0.0182673-0j -7.29041e-05-0j -0.142628-0j -9.02143e-05-0j -0.176493-0j -5.2625e-05-0j -0.102955-0j -5.15186e-05-0j 0.00130317-0j -6.01051e-05-0j 0.47336-0j -3.68067e-05-0j 0.00152036-0j -5.25919e-05-0j 0.000931028-0j 0.552253-0j -2.16931e-05-0j 0.338185-0j 0.00133032-0j 0.483222-0j 0.000548728-0j 0.199319-0j 
0.00145541-0j 0.00750027-0j -0.00727802-0j 0.00432757-0j 0.00062463-0j 0.00010599-0j 1.52984e-05-0j -0.00606212-0j -0.000874992-0j 0.00305813-0j 0.000540606-0j 7.06159e-05-0j 4.50505e-05-0j 0.00218483-0j 1.24832e-05-0j -0.00299826-0j 0.000386227-0j 1.04027e-06-0j -0.00376113-0j 3.21856e-05-0j -0.000530023-0j -4.41686e-05-0j -0.000664881-0j -5.54067e-05-0j 
-0.000242569-0j 0.0587899-0j -0.0570478-0j -0.000721261-0j 0.00989626-0j -1.76651e-05-0j 0.000242379-0j 0.00101035-0j -0.0138628-0j 0.0730239-0j 0.00423746-0j 0.00168621-0j 0.00107438-0j 0.0521708-0j 9.78482e-05-0j -0.0715943-0j 0.00302739-0j 2.48088e-05-0j -0.0898106-0j 0.000767576-0j -0.00415451-0j -0.00105335-0j -0.00521157-0j -0.00132136-0j 
-0.000148542-0j -0.000765493-0j 0.00074281-0j 0.0844676-0j -6.37511e-05-0j 0.00206877-0j -1.56139e-06-0j -0.118323-0j 8.93035e-05-0j -0.000312119-0j 0.0105518-0j -7.20721e-06-0j -4.59795e-06-0j -0.000222989-0j 0.000243654-0j 0.000306009-0j 0.00753858-0j -1.06172e-07-0j 0.000383869-0j -3.28493e-06-0j -0.0103452-0j 4.50794e-06-0j -0.0129775-0j 5.65492e-06-0j 
3.03211e-05-0j -0.0148537-0j 0.0144136-0j -0.00857586-0j 0.0575528-0j -0.000210039-0j 0.00140958-0j 0.0120132-0j -0.0806209-0j 6.3711e-05-0j 0.101839-0j 1.47116e-06-0j 0.0127213-0j 4.55173e-05-0j 0.00235159-0j -6.24638e-05-0j 0.0727573-0j 0.000293751-0j -7.83569e-05-0j 0.00908855-0j -0.0998453-0j -0.0124723-0j -0.12525-0j -0.0156457-0j 
-1.78669e-06-0j 0.00175974-0j -0.00170759-0j -5.31259e-06-0j -0.0209334-0j -1.30116e-07-0j -0.0005127-0j 7.44196e-06-0j 0.0293239-0j -3.75421e-06-0j 0.000126838-0j -8.66892e-08-0j 0.142506-0j -2.68214e-06-0j 2.92885e-06-0j 3.68071e-06-0j 9.06178e-05-0j 0.00329064-0j 4.61723e-06-0j 0.101811-0j -0.000124355-0j -0.139716-0j -0.000155996-0j -0.175265-0j 
0.0464775-0j -0.00455879-0j 0.00478974-0j 0.00273527-0j 0.000394803-0j -0.00325491-0j -0.000469806-0j 0.00197442-0j 0.000284984-0j 0.00193292-0j 0.000341694-0j 0.00225507-0j 2.84745e-05-0j -0.0040369-0j 0.000398643-0j -0.00189751-0j -0.00071363-0j 3.32203e-05-0j 0.000813897-0j -5.94691e-05-0j -0.000335435-0j -2.79529e-05-0j 0.000143878-0j 1.19898e-05-0j 
0.0451003-0j -0.00478974-0j 0.00483558-0j -0.00276362-0j -0.000398894-0j 0.00328443-0j 0.000474067-0j -0.00176267-0j -0.00025442-0j -0.00195295-0j -0.000345235-0j 0.00218825-0j -2.87696e-05-0j -0.00139525-0j 0.000386831-0j 0.00199207-0j -0.000246648-0j 3.22359e-05-0j -0.00385511-0j -2.0554e-05-0j 0.000352152-0j 2.9346e-05-0j -0.000681493-0j -5.67911e-05-0j 
-0.00750027-0j -0.0345988-0j 0.0363515-0j -0.000441403-0j 0.00605639-0j 0.00052526-0j -0.00720697-0j -0.000318621-0j 0.00437173-0j -0.000311923-0j 0.00259328-0j -0.00036391-0j 0.000657509-0j 0.000651452-0j 0.00302549-0j 0.000306209-0j -0.00541606-0j 0.000767094-0j -0.000131342-0j -0.00137321-0j -0.00254577-0j -0.000645465-0j 0.00109196-0j 0.000276859-0j 
-0.00727802-0j -0.0363515-0j 0.0366995-0j 0.000445977-0j -0.00611915-0j -0.000530023-0j 0.00727233-0j 0.00028445-0j -0.00390288-0j 0.000315155-0j -0.00262015-0j -0.000353127-0j -0.000664323-0j 0.000225158-0j 0.00293584-0j -0.000321469-0j -0.00187193-0j 0.000744363-0j 0.000622115-0j -0.000474615-0j 0.00267264-0j 0.000677632-0j -0.00517217-0j -0.00131137-0j 
-0.00612395-0j 0.000600674-0j -0.000631103-0j 0.0342819-0j -5.20198e-05-0j -0.0407947-0j 6.19024e-05-0j 0.024746-0j -3.75499e-05-0j 0.036489-0j 0.00428254-0j 0.0425705-0j -3.75185e-06-0j -0.0762074-0j 0.0049963-0j -0.0358206-0j -0.0089441-0j -4.37716e-06-0j 0.0153645-0j 7.83575e-06-0j -0.00420409-0j 3.68312e-06-0j 0.00180326-0j -1.5798e-06-0j 
0.000883916-0j 0.00824171-0j -0.00865923-0j 5.20198e-05-0j 0.0332073-0j -6.19024e-05-0j -0.0395159-0j 3.75499e-05-0j 0.0239703-0j -0.00526673-0j -0.000617739-0j -0.00614452-0j 0.00734004-0j 0.0109996-0j -0.000720696-0j 0.00517026-0j 0.00129015-0j 0.00856339-0j -0.00221768-0j -0.0153297-0j 0.000606423-0j -0.00720559-0j -0.000260113-0j 0.00309069-0j 
-0.00594248-0j 0.000631103-0j -0.000637144-0j -0.0346371-0j 5.25589e-05-0j 0.0411646-0j -6.24638e-05-0j -0.022092-0j 3.35228e-05-0j -0.0368671-0j -0.00432692-0j 0.041309-0j 3.79073e-06-0j -0.0263392-0j 0.00484825-0j 0.0376057-0j -0.0030913-0j -4.24745e-06-0j -0.0727756-0j 2.70823e-06-0j 0.00441361-0j -3.86667e-06-0j -0.00854133-0j 7.48288e-06-0j 
0.000765493-0j 0.00353122-0j -0.00371011-0j -0.00861552-0j -0.000618128-0j 0.0102523-0j 0.000735558-0j -0.00621901-0j -0.000446188-0j 3.18355e-05-0j 0.0506169-0j 3.71414e-05-0j -6.71068e-05-0j -6.64885e-05-0j 0.059053-0j -3.12523e-05-0j -0.105713-0j -7.82912e-05-0j 1.3405e-05-0j 0.000140153-0j -0.0496896-0j 6.58775e-05-0j 0.0213134-0j -2.82568e-05-0j 
0.000857723-0j 0.00865923-0j -0.00874211-0j -5.25589e-05-0j -0.0335514-0j 6.24638e-05-0j 0.0398743-0j -3.35228e-05-0j -0.0213995-0j 0.00532131-0j 0.000624141-0j -0.00596245-0j -0.00741611-0j 0.00380173-0j -0.00069934-0j -0.00542792-0j 0.000445908-0j 0.00830963-0j 0.0105042-0j -0.00529832-0j -0.000636645-0j 0.00756468-0j 0.00123205-0j -0.0146394-0j 
0.00074281-0j 0.00371011-0j -0.00374562-0j 0.0087048-0j 0.000624533-0j -0.0103452-0j -0.000742229-0j 0.00555204-0j 0.000398336-0j -3.21654e-05-0j -0.0511414-0j 3.60408e-05-0j 6.78022e-05-0j -2.29801e-05-0j 0.0573031-0j 3.28098e-05-0j -0.0365372-0j -7.59713e-05-0j -6.34944e-05-0j 4.84402e-05-0j 0.0521659-0j -6.91605e-05-0j -0.100953-0j 0.000133841-0j 
-9.02143e-05-0j -0.00126617-0j 0.00133032-0j 0.00050502-0j -0.0103869-0j -0.000600962-0j 0.0123602-0j 0.000364543-0j -0.00749767-0j -3.75185e-06-0j -0.00902727-0j -4.37716e-06-0j 0.0344725-0j 7.83575e-06-0j -0.0105318-0j 3.68312e-06-0j 0.0188535-0j 0.0402179-0j -1.5798e-06-0j -0.0719959-0j 0.0088619-0j -0.033841-0j -0.00380113-0j 0.0145154-0j 
4.1177e-06-0j 9.65904e-05-0j -0.000101484-0j 2.42333e-07-0j 0.00159704-0j -2.88371e-07-0j -0.00190044-0j 1.74925e-07-0j 0.0011528-0j 1.71248e-07-0j -7.23972e-06-0j 1.99789e-07-0j -0.0164238-0j -3.57651e-07-0j -8.44634e-06-0j -1.68111e-07-0j 1.51202e-05-0j -0.0191611-0j 7.21077e-08-0j 0.0343011-0j 7.1071e-06-0j 0.0161229-0j -3.04844e-06-0j -0.00691559-0j 
-8.7541e-05-0j -0.00133032-0j 0.00134305-0j -0.000510253-0j 0.0104946-0j 0.000606412-0j -0.0124723-0j -0.000325446-0j 0.00669356-0j 3.79073e-06-0j 0.00912082-0j -4.24745e-06-0j -0.0348297-0j 2.70823e-06-0j -0.0102197-0j -3.86667e-06-0j 0.00651623-0j 0.0390262-0j 7.48288e-06-0j -0.0248836-0j -0.00930354-0j 0.0355275-0j 0.0180045-0j -0.0687537-0j 
3.99568e-06-0j 0.000101484-0j -0.000102455-0j -2.44844e-07-0j -0.00161359-0j 2.90986e-07-0j 0.00191767-0j -1.56165e-07-0j -0.00102917-0j -1.73022e-07-0j 7.31474e-06-0j 1.93869e-07-0j 0.016594-0j -1.23613e-07-0j -8.19605e-06-0j 1.76489e-07-0j 5.22591e-06-0j -0.0185933-0j -3.41545e-07-0j 0.0118553-0j -7.46128e-06-0j -0.0169264-0j 1.44393e-05-0j 0.0327564-0j 
