-0.13423+2.14134e-14j -0.109758-0.0013248j -0.0462752+0.0492334j -0.0986347+0.103434j 0.0203948+0.000269135j 0.027839+0.0376536j -0.0296541-0.0285468j 0.00839582-0.103649j 0.0231449-0.0198446j 0.0111886+0.0817298j -0.00322795+0.0138142j 0.0128619-0.012781j -0.0329203-0.0838418j -0.0216073-0.0459774j -0.0124683-0.0103613j 0.0342616+0.0061545j 0.0108204+0.00378988j -0.000919373-0.0301502j -0.0198066+0.0031178j -0.030118-0.00636786j -0.0242646+0.0188428j -0.0191242-0.0333835j -0.0532515+0.0512816j -0.0182731+0.0336182j -0.0314581+0.0408306j 0.164-0.0119873j 0.0378753-0.139232j 0.0795179+0.0228102j -0.0818423-0.0182092j 0.01283-0.071382j -0.0482362-0.0621234j 0.0593707-0.0423825j 0.0288109-0.00273565j 0.083027-0.0983343j -0.013216-0.0788305j 0.0237876+0.0266011j -0.0506693+0.0559065j 0.00670565+0.0519689j 0.0186652-0.0103783j 0.00766359-0.012081j -0.0099422-0.0125814j 0.0415601+0.0195851j -0.0206896+0.0154499j -0.0014629-0.00593267j -0.000160852-0.0173163j -0.0121271+0.00662845j -0.0109815+0.0357724j -0.0323793+0.0415943j -0.00883217-0.00132334j 0.0131198-0.0401185j 0.0282425+0.0391826j 0.0169774-0.0695601j 0.0545535+0.0261713j 0.0247878-0.00740073j 0.0541075+0.012636j 0.00917864+0.0455452j -0.0365337+0.0132845j 0.0472023+0.0360715j 0.000206503-0.0177248j -0.00456074-0.00882844j 0.027827+0.0151704j -0.0289288-0.0514903j -0.0359523-0.00327267j -0.041194-0.109502j -0.103912-0.135705j -0.135112+0.224532j -0.267296+0.0627095j -0.0798638-0.0923708j 0.0486361+0.153449j 0.0533194-0.0292111j 0.0139515-0.000659859j 0.180863-0.0748812j 
-0.109758+0.0013248j 0.138456+7.07767e-16j 0.101924-0.0779024j -0.0480252+0.0757577j -0.0140543-0.0515702j 0.0120022-0.0569151j 0.0262779-0.0341692j 0.0288121+0.0588969j 0.014985-0.0101701j -0.0287928+0.0178675j -0.00422483+0.0148674j 0.0395356+0.00404752j 0.00139399-0.0152764j 0.00471183-0.00550615j -0.000270292-0.00967437j -0.0344517+0.0293082j -0.0376963-0.0327025j 0.0211766+0.0248371j -0.0146364-0.0430375j -0.00985522-0.0409346j -0.0379014-0.0540233j 0.0175076-0.0450054j -0.0421081-0.0453141j -0.0495862-0.0279462j -0.0203454-0.0283018j 0.0227298+0.162211j 0.149116-0.0237401j -0.115195+0.0600725j -0.0125966+0.0466369j -0.0329447-0.00166595j 0.038508+0.00343212j 0.0546632+0.067202j 0.113637-0.0728137j -0.0247606+0.0182797j -0.0133456-0.00441634j 0.0415727+0.0596828j 0.0198773+0.00997732j -0.0307549+0.0820492j 0.0455704+0.0396096j 0.0276643+0.0474908j -0.000328882+0.0728921j -0.036785+0.0252031j 0.0160474-0.0292109j -0.00484074-0.000552693j 0.0446817+0.0617072j 0.04089+0.0372465j -0.0442687-0.0216546j -0.0241359-0.0161157j 0.00700212-0.0197371j -0.0223029-0.00748483j 0.019663-0.0201738j 0.0371048-0.0094977j -0.0130691+0.00612874j 0.00120898-0.0656055j 0.00482563-0.00419422j -0.0197272-0.0475285j -0.000377473-0.0274018j -0.0539085+0.0380516j -0.039932-0.00286482j -0.00159822+0.028787j -0.0418508-0.0586717j -0.0173738+0.062303j 0.0816261-0.014772j 0.0609967-0.0139637j 0.054939-0.0773067j -0.28798-0.0725236j 0.0599163-0.220107j 0.0654251-0.211499j 0.0083188-0.0250497j -0.0370746-0.0936847j 0.189674-0.0810528j -0.0190511-0.00636234j 
-0.0462752-0.0492334j 0.101924+0.0779024j 0.0754644+1.94289e-16j 0.0410855+0.0138643j -0.148864-0.000818764j -0.108734+0.05525j 0.122022-0.0126233j 0.0814028-0.0199618j -0.0921835-0.090493j -0.0912081+0.0188275j -0.0617814-0.0140903j -0.0463908-0.0219255j 0.0955531+0.0720817j 0.146069+0.148471j 0.0289104-0.0470198j 0.0328617-0.0236836j 0.031055+0.0325942j 0.036433-0.0504466j 0.0132644+0.0225023j 0.0607544+0.0870216j 0.0898115+0.165226j 0.18319+0.168826j -0.0226866-0.0209353j -0.172709+0.0940051j -0.00662625-0.123698j -0.0378666-0.0631442j -0.00647298-0.0368306j 0.0176944-0.075048j -0.112652-0.049569j -0.0276003-0.00920597j 0.0873175+0.00214685j 0.0650441+0.115568j 0.0603717+0.048316j 0.0688535+0.0227089j 0.0580091+0.0121127j 0.00172069-0.0241181j -0.0405429-0.0419281j -0.0715566-0.0451004j -0.0140774-0.0594962j -0.00841377-0.00592353j -0.0513237-0.0568349j -0.00628875+0.0425829j 0.0258943+0.017718j -0.000285471-0.00705725j -0.0116695-0.052701j 0.0104522+0.00395941j -0.0380742-0.0227733j 0.0176796+0.0412285j -0.00958722-0.022564j -0.0179034-0.00103694j 0.038342+0.0671173j 0.0126321-0.0196345j 0.00768576+0.0249367j -0.00792077-0.0822193j 0.0194869-0.00558718j -0.0237669-0.0273982j -0.0191247-0.0392177j -0.0169964-0.0529388j -0.0252124-0.10811j 0.0199859-0.0307431j -0.0569747+0.0233349j -0.0531546-0.0762928j 0.120233-0.0575075j 0.060278+0.0155282j 0.0725197+0.161347j -0.0531685+0.0175815j -0.105714+0.0437817j -0.00243024+0.00792319j 0.0286539+0.0602992j 0.0339385+0.0501675j 0.0353834+0.0626043j 0.000971228+0.0185328j 
-0.0986347-0.103434j -0.0480252-0.0757577j 0.0410855-0.0138643j 0.130164+7.49401e-16j -0.222486-0.0263j -0.0285546-0.0441926j -0.00191748+0.0164556j 0.0919769+0.0566128j -0.0153826-0.0222208j -0.0209895+0.0205778j 0.00266166-0.0346889j -7.88446e-05+0.0121472j 0.059549+0.0375011j 0.0715467+0.00946825j -0.0442993-0.0609861j 0.00129607-0.0223469j 0.0569141+0.102856j -0.0453261-0.0557585j 0.00772461+0.0446799j 0.0390614-0.00217292j 0.101562-0.0274522j 0.0839488-0.115077j 0.0113334-0.0673024j 0.1481+0.135782j -0.103883+0.0151455j 0.0903079+0.0239525j -0.0120301+0.0956755j -0.00502026-0.00418495j -0.0351904+0.0954408j 0.0410343+0.0688922j -0.119973-0.200526j 0.0170611+0.043255j -0.0163199-0.0244695j 0.0678503+0.070006j -0.0656857+0.0249807j 0.0618521-0.045834j -0.057454-0.0274252j 0.0357576-0.00864343j 0.0548749+0.0498409j 0.0264776+0.0095658j -0.0177095-0.00654938j 0.0199264-0.0308449j -0.0134977-0.00397336j -0.0371914-0.0415401j 0.0417855+0.0742677j 0.0205068+0.0505406j -0.0161541+0.035174j -0.00665152-0.0344145j -0.0210075+0.013231j 0.0163386-0.00637393j 0.0288774+0.0153262j -0.0136474+0.0058377j 0.0177608+0.0143364j -0.0896918-0.0219176j -0.00543617-0.0230016j -0.0792953-0.0603392j -0.0915052-0.038929j -0.009636-0.0322115j -0.0684056+0.0192469j -0.0203356+0.00993381j 0.056046+0.0363628j -0.0176978+0.056751j -0.104204-0.185207j 0.00468761+0.0298319j 0.0703704-0.0559633j 0.063282-0.0530087j -0.0521618+0.036414j -0.0511606+0.0425429j 0.0298096-0.0808413j 0.0134175-0.00151674j -0.0263009-0.00354607j 0.0564332+0.0905823j 
0.0203948-0.000269135j -0.0140543+0.0515702j -0.148864+0.000818764j -0.222486+0.0263j 0.305667-8.60423e-16j 0.143731+0.0274215j 0.0111247-0.045105j -0.083302-0.0474806j 0.140072-0.00252204j 0.0265501+0.00350597j 0.0222878+0.0156478j 0.136491+0.00308833j -0.14057-0.00661689j -0.148933+0.00522257j -0.0339773-0.0351028j -0.14989-0.036801j -0.0964302-0.0361498j -0.122541-0.0545009j -0.00108892-0.0138154j -0.171899-0.0107681j -0.170615+0.0208619j -0.0563437+0.0295634j 0.0777086+0.0510758j 0.151632+0.186536j 0.0188562-0.0798585j 0.202381+0.107188j 0.0409197+0.0426894j -0.180292-0.222213j 0.12065+0.0836291j -0.0447123+0.0469606j 0.0255347+0.00825137j -0.0183101-0.0233062j -0.0320943+0.0284735j -0.00838083-0.0293715j 0.0325871-0.0182948j 0.0501605-0.0065847j 0.0329866+0.00697837j 0.020048-0.0261028j 0.00912136-0.0458139j 0.0163772+0.00294265j 0.0453963-0.0359979j -0.0201773+0.0113731j -0.0124478+0.0270994j -0.00505576+0.00122059j 0.0356155-0.0230564j 0.0292051+0.00650584j -0.0169527-0.0151568j 0.0184563+0.0458259j -0.0171338-0.0238994j 0.0478926+0.0121119j -0.039861+0.00815109j 0.0364151-0.0171737j -0.0144651-0.00831023j -0.0413232-0.0581209j -0.0213386-0.0357124j -0.0481107-0.0395386j -0.0151102-0.00556568j 0.000949914-0.0250473j 0.0431024-0.0413341j 0.0115649-0.0175296j 0.0472843+0.0598467j -0.0397906-0.0418654j 0.00630378-0.105319j 0.0286404+0.00168297j 0.0125385+0.103593j -0.0383482-0.0834943j -0.0362415+0.0679534j -0.0201762-0.00756117j 0.0228744-0.00876385j -0.000413598+0.00046906j 0.00598976+0.0217386j -0.00590234+0.000491117j 
0.027839-0.0376536j 0.0120022+0.0569151j -0.108734-0.05525j -0.0285546+0.0441926j 0.143731-0.0274215j 0.166053-1.57513e-15j -0.0312464+0.0666061j -0.088981-0.018841j 0.1229-0.0882748j 0.0311283+0.0898229j 0.0762591-0.0729591j 0.0137937+0.0553727j -0.090896+0.0375933j -0.110385-0.00153384j -0.0197001-0.0328474j 0.0498817-0.0587815j -0.0389575+0.0534705j -0.0408795+0.0888978j -0.101013+0.0723972j 0.0414472+0.0218149j 0.0537491-0.059934j 0.0294073-0.0764467j 0.0374804-0.126367j -0.0104385+0.00317926j -0.122802+0.0434457j 0.0982888+0.0880487j -0.0944034+0.157531j -0.150046+0.092206j -0.035839+0.0708033j -0.0262243-0.0964463j 0.00957129-0.105798j -0.0769448+0.143845j -0.103722+0.0692143j -0.0260209+0.0875448j -0.0105693+0.0432294j 0.0691637-0.00411193j 0.00654169-0.0499561j 0.018095-0.0554304j -0.0419975+0.082315j -0.00740018+0.0383716j 0.00350293+0.0232268j 0.00663637-0.0317193j -0.00820306-0.0455698j 0.0230183-0.0221155j -0.0472568+0.00551527j 0.00235266+0.0481365j -0.00358734+0.002479j 0.0481766-0.0601423j -0.0348184-0.00478724j 0.00911695-0.00215778j -0.0066938+0.0152841j -0.0358911+0.0651969j -0.0224753+0.0289873j -0.0128604+0.0130924j -0.0205196+0.0207786j 0.000607915+0.0202534j 0.0251242-0.0711026j 0.0411738-0.0821159j -0.0573863+0.00516752j -0.0288612-0.0263569j 0.0260261-0.0267352j -0.019385+0.0339845j -0.0157101-0.0385605j -0.0815079+0.0329274j 0.036708-0.0928957j 0.00435457-0.0468313j -0.0283379-0.0781914j -0.0681328+0.00258541j 0.0156925-0.0401201j -0.00972145-0.0162799j -0.0605804+0.0347503j 0.0106599+0.106967j 
-0.0296541+0.0285468j 0.0262779+0.0341692j 0.122022+0.0126233j -0.00191748-0.0164556j 0.0111247+0.045105j -0.0312464-0.0666061j -0.195448-3.55688e-14j 0.00413174-0.0514064j -0.0489667+0.0507226j -0.0599137-0.00740154j 0.0223933-0.0357348j -0.0557152-0.0905665j 0.10098-0.00798572j 0.0307385-0.0633122j -0.0234801+0.0484328j -0.0853244+0.112956j 0.0523959+0.0739206j 0.0492138-0.0806867j 0.0944772+0.0191538j -0.0163783-0.101572j -0.00473949+0.0124372j -0.0872919-0.0454462j 0.017525-0.106126j 0.0590484-0.0612891j 0.129776+0.000272724j 0.098147+0.116896j 0.162161+0.00016758j -0.1343-0.0386583j 0.0806451+0.103525j 0.125209+0.101202j 0.181113-0.171239j -0.0748925-0.12204j 0.0452669-0.144663j -0.097419+0.0803049j 0.00438992+0.00941312j -0.0424133+0.0625494j 0.0803183+0.00101092j -0.036489+0.049784j 0.0230668+0.0433299j 0.0170866-0.0322979j 0.00171825+0.0625355j -0.075227-0.00798006j 0.0470794-0.0367139j -0.00898901-0.00924755j 0.0157832-0.0109622j 0.0389495+0.0271484j 0.0158175-0.011887j 0.0280265+0.0322424j 0.00351128+0.0147461j -0.00361404+0.00836773j 0.00289566-0.00888554j -0.0160077+0.00143044j 0.00726941-0.00388811j 0.0341838-0.0561349j -0.0491825+0.0030934j -0.013356+0.0214742j 0.0333044+0.0391672j -0.0860109+0.0213842j 0.0357804+0.0769931j -0.00155972+0.0348027j -0.0414797+0.022261j -0.0120163+0.00662765j -0.0188811-0.0177253j 0.0476544-0.00028664j -0.037702+0.00314925j -0.0251168+0.0268577j 0.00706709-0.00863559j -0.0106209-0.0216086j -0.0333113-0.0247689j -0.0130421-0.00867614j -0.00262731-0.134467j -0.109122+0.0249519j 
0.00839582+0.103649j 0.0288121-0.0588969j 0.0814028+0.0199618j 0.0919769-0.0566128j -0.083302+0.0474806j -0.088981+0.018841j 0.00413174+0.0514064j -0.00206241-3.60822e-16j 0.0139418-0.00607915j -0.0168049+0.0119512j -0.0796487-0.265975j -0.121507+0.0320236j 0.0215423-0.00638249j -0.0425684+0.033876j -0.0341695+0.0324857j 0.12551-0.0877028j 0.00902307-0.155817j -0.0988221-0.211689j -0.087055+0.00660799j -0.00708244+0.129675j -0.0198598-0.0495354j -0.16698-0.00659415j -0.0714481+0.0234954j 0.00913249+0.0555454j -0.0412136-0.0431645j 0.0184716-0.0328933j 0.00284995-0.035291j -0.107086-0.146856j 0.0897887+0.0540477j 0.23722+0.239625j -0.193802-0.0489692j -0.0616139+0.185892j -0.0727585+0.0866152j 0.0291332+0.0654306j -0.0168988+0.0508262j -0.0248196-0.0402769j 0.0065096-0.0261579j 0.0334664+0.00149713j 0.0298534-0.000458568j 0.0021412+0.00341954j 0.0213593-0.00484555j -0.060337-0.010112j -0.0023242+0.00436298j -0.0561324-0.0164477j 0.0287417+0.025006j 0.0170368+0.0228566j 0.0255569-0.012213j 0.0479007+0.0192351j -0.00349906-0.00429952j 0.0531527+0.0885793j -0.00359773-0.00356443j -0.0103604+0.0356535j -0.0244445-0.0110338j -0.0237695-0.0560647j -0.0443001-0.0782385j 0.00480175-0.0188719j 0.0415151+0.0529099j 0.032241-0.0752149j -0.00501332-0.011657j 0.00753947-0.0644367j -0.0222346+0.0436122j 0.0332452-0.0167427j -0.0235464-0.00649288j -0.0121692-0.00856329j 0.0129201+0.0608937j -0.0379873-0.0589381j 0.0194007+0.00705216j 0.0125557-0.023125j -0.0688633-0.0165609j 0.0300522+0.0673147j -0.0638896+0.0358641j 0.0202232+0.0603433j 
0.0231449+0.0198446j 0.014985+0.0101701j -0.0921835+0.090493j -0.0153826+0.0222208j 0.140072+0.00252204j 0.1229+0.0882748j -0.0489667-0.0507226j 0.0139418+0.00607915j -0.0335154-2.0331e-15j -0.17703+0.149707j 0.0123952-0.0507047j -0.102512-0.0070262j -0.0193126+0.009921j -0.051779-0.0156601j -0.0701311-0.0282109j -0.0456318-0.00550603j 0.0946079-0.0229932j 0.0240158+0.0366511j -0.027017-0.0402876j -0.0205617-0.0396293j 0.138637+0.0417892j -0.0646999-0.0837516j 0.0152057-0.100322j -0.210885-0.171588j 0.0587535-0.0282368j -0.178162-0.0409603j -0.00856648-0.0543243j 0.0039667+0.0715472j -0.113576-0.1749j 0.0645553-0.0769672j 0.0972851-0.017711j -0.128486-0.0583142j -0.1143+0.020288j -0.0997382+0.0680635j 0.0183668+0.0136494j -0.0735024-0.0531814j 0.0186588-0.0253366j 0.0521302+0.0024155j -0.0244036-0.00511365j -0.00537978-0.0400925j 0.0204523+0.0048667j 0.000292284+0.0477158j -0.0129154+0.00179281j -0.0137497+0.014526j -0.0288426-0.0126369j 0.00183282-0.00713057j 0.0386552+0.0172107j -0.0132408-0.0203383j 0.000358821+0.031174j 0.0107118-0.0234167j -0.0110961+0.0114056j -0.044177-0.0324639j -0.0120772+0.0431462j 0.0673313+0.0138618j -0.0349422+0.0138662j 0.00188737+0.00425306j -0.0110631+0.00500984j -0.00977528-0.0186887j -0.0268455+0.018287j -0.0230343+0.0122814j -0.0293139-0.0422623j -0.0197703-0.0259372j 0.017717-0.0215201j 0.0332141+0.00761366j 0.0209975-0.0108309j 0.0416373-0.00284387j 0.0187473-0.0305835j 0.040088+0.0186273j -0.0145627+0.0275056j 0.0370338+0.0272021j -0.0493879-0.0207845j -0.0723557+0.0567922j 
0.0111886-0.0817298j -0.0287928-0.0178675j -0.0912081-0.0188275j -0.0209895-0.0205778j 0.0265501-0.00350597j 0.0311283-0.0898229j -0.0599137+0.00740154j -0.0168049-0.0119512j -0.17703-0.149707j -0.17976+2.78111e-14j 0.029982-0.0167868j -0.0333249-0.127853j -0.235124+0.0489949j -0.0905407+0.0292509j -0.0865577-0.109324j -0.0467191-0.128284j -0.0176353-0.137573j 0.00175227-0.109155j -0.105452-0.112484j -0.131402-0.0518282j -0.0149288+0.213598j 0.0294317-0.172675j -0.0465334+0.206399j -0.0712146+0.105325j -0.0989162-0.0952462j -0.0842407+0.0229772j 0.164851-0.166011j 0.00997773-0.0463828j 0.0625314-0.149973j -0.0073054+0.0943776j -0.0788234+0.0744764j 0.160846+0.141786j 0.0468089+0.0140676j 0.0218955-0.0713564j 0.0177546-0.0268279j -0.00256075-0.00845956j 0.0114253-0.00930114j -0.0152491-0.0342407j 0.0445014-0.0104651j 0.0509688-0.0156456j -0.00956688-0.00963974j 0.00265588-0.0172113j 0.0213016+0.0219957j -0.00771652-0.0189077j -0.0101987+0.0462128j -0.00212582+0.00207055j -0.0179286-0.0243576j -0.0142414+0.00497655j 0.0166379+0.0189725j 0.0121939+0.0440568j -0.00281616+0.0230206j -0.0163261-0.00324953j 0.013349+0.00186442j 0.0145348+0.0170372j 0.00592116-0.00632048j 0.0218458-0.0542721j -0.0263588+0.0333586j 0.0228172+0.0106288j -0.00203695-0.0507802j -0.0173315-0.00933958j 0.00970576+0.0234092j 0.0310767-0.00468135j -0.0332893-0.0329759j 0.0158743-0.0194988j 0.0165919-0.00908799j -0.0166572+0.0193707j 0.0396903+0.0205863j 0.0301391+0.00421689j -0.0304065-0.0110865j -0.00477336+0.0310156j 0.0490914+0.0333055j 0.0397406-0.0277595j 
-0.00322795-0.0138142j -0.00422483-0.0148674j -0.0617814+0.0140903j 0.00266166+0.0346889j 0.0222878-0.0156478j 0.0762591+0.0729591j 0.0223933+0.0357348j -0.0796487+0.265975j 0.0123952+0.0507047j 0.029982+0.0167868j -0.275119-2.33008e-14j -0.00281759+0.0871088j -0.0199198-0.0565424j -0.0432697+0.190128j 0.0318114+0.00307327j -0.102926-0.0935074j -0.0563932+0.128327j -0.0159069-0.0857896j 0.131844+0.0625276j 0.141477-0.0690105j 0.00868158-0.0858332j -0.202613+0.0381664j 0.0547269+0.0149548j 0.022589+0.176247j 0.239943+0.0975242j -0.0145685-0.0639438j 0.0202384-0.0234702j -0.00866105-0.126707j 0.0121804-0.069553j 0.108296+0.0520603j 0.0405034-0.0682608j 0.054588-0.0106531j 0.0304744-0.0429423j -0.118896+0.00790817j -0.0265649-0.00842018j -0.0702228-0.0201959j -0.0101971-0.0229896j -0.0187568+0.0620793j 0.0203793+0.0458747j 0.0544231-0.0104522j 0.0251551+0.0235111j -0.0546931-0.0183289j 0.0219058-0.00692184j -0.0158864-0.0562187j -0.00488183+0.0365539j -0.0173235-0.0146994j -0.00192937+0.0290515j 0.0179825+0.00180264j -0.0215102+0.0275608j -0.00980142+0.0526706j -0.0227964+0.0342977j -0.021188-0.0101294j -0.0175365+0.0320953j 0.0433683-0.0295418j -0.0227874+0.00970567j 0.030875+0.00761089j -0.00649238+0.0094942j -0.051396+0.0368485j 0.0257213+0.00925078j -0.0138032+0.00555076j -0.011614+0.0172377j 0.0129456-0.00881764j -0.0322213-0.0409838j 0.0410356-0.00157456j -0.0356835-0.0477802j -0.0126506+0.0415986j 0.00323969-0.00569076j 0.0116335-0.00702907j -0.0423971+0.0137962j 0.00277365+0.00904998j 0.0180693-0.0808985j -0.0331907+0.00506149j 
