-0.219641-0.277626j -0.00624084-0.0412223j -0.0345108+0.0197393j -0.0153889-0.0124732j -0.00816584+0.0109143j 0.0256725+0.00874945j 0.0021458+0.00433411j 0.0134062+0.00276189j 0.00382663-0.00238705j 0.00924758-0.00687602j -0.0108043-0.00229547j -0.00155629-0.00396909j 0.00519486+0.00319279j -0.00679331-0.00925986j -0.00198744+0.00400524j 0.019106+0.00400163j 0.00388133+0.00369329j -0.01783-0.0031589j 0.00253185+0.00281135j -0.00945685-0.00688368j 0.0159405-0.00232451j -0.00523382-0.00407939j 0.00565517-0.00190483j -0.00952655-0.00333931j 
-0.281042+0.190481j -0.0358038+0.00548109j 0.027928+0.0251611j -0.0157832+0.0133208j 0.011828+0.00735192j 0.00886842-0.0198421j 0.00317826-0.00594785j 0.0061704-0.00911986j 0.00195855-0.00244216j -0.00776347-0.010997j -0.00737151+0.0097201j -0.0001737+0.00179848j -0.000855191-0.00480555j -0.00729288+0.00302652j -0.00374926-0.00101515j 0.00390672-0.00919438j 0.00283999-0.00262555j -0.00810561+0.0126651j 0.00181142-0.00201299j -0.00851228+0.00706595j -0.00134195-0.00942286j 0.0104941+0.0001627j 0.00139125-0.00523911j -0.00851486+0.00891791j 
-0.103507+0.156329j -0.0397333-0.0131229j -0.0307971+0.00807905j 0.00345919+0.0254235j 0.00308494-0.0121461j 0.0064875-0.0253766j 0.002091+0.0111281j -0.00240357-0.0255418j -0.00442548-0.0136827j 0.0174634+0.00228809j 0.00199931+0.0239153j -0.00419625-0.00793122j 0.00746203-0.00277736j -0.00301582+0.0146802j -0.00459674+0.00109615j 0.0137614-0.00885372j -0.00231242-0.00348157j -0.00556091+0.0163285j -0.00137165-0.000271577j 0.00779666+0.000117336j 0.0152745-0.00490754j -0.010603-0.0159425j 0.000883977-0.00794946j 0.00144076+0.0130626j 
0.0513873-0.0297854j 0.0126253+0.0141459j 0.0121931+0.0337145j 0.00223702-0.0133869j -0.00334264+0.0119646j 0.00297505-0.00839989j 0.00141912+0.00956715j -5.22829e-05-0.0106248j -0.000380225+0.000836719j 0.00808855+0.0218014j 0.00158659+0.00842097j 0.00189779-0.00217815j -0.0017196-0.0136187j 0.00338033+0.0134284j -0.00641898+0.000178783j 0.00920952+0.00364868j -0.00611734-0.00101045j -0.00690371+0.00346906j 0.00159634+0.00523248j -0.0178314-0.0295931j -0.0132578+0.00853255j -0.00122906-0.0255721j -0.00278072-0.00531312j 0.00331013+0.00464587j 
-0.12499-0.144888j 0.0259452-0.0409127j -0.00786479-0.0258461j -0.0303562-0.00437963j 0.0222545+0.00996199j 0.0170912+0.00075019j -0.00705337+0.00478875j 0.0160873-0.00328023j 0.00907166-0.000866028j 0.00320236+0.0226652j -0.0171107-0.00848631j 0.00640072-0.000913183j -0.000200489+0.00561143j -0.00182377-0.000194666j 0.00427369-0.00360592j -0.00700785-0.00850962j 0.00116891-0.00366011j -0.00485754-0.00157639j 0.00180175-0.000964681j -0.00367102+0.000330697j -0.00207241+0.0164849j 0.00709827+0.0033753j 0.00398974+0.00422544j -0.00782635-0.00336035j 
0.0794442-0.053431j 0.0207581-0.0220226j 0.0101632-0.00626485j -0.00552683+0.0114335j 0.00412397-0.0219539j -0.00109365+0.00642118j -0.0140994+0.00263127j 0.00881444-0.00386012j 0.00911885-0.00906674j -0.0225912-0.0053019j -0.011067-0.00289682j 0.0066531-0.00585975j -0.00416519+0.00468545j -0.0030181-0.00825791j -0.00155205+0.0152012j -0.0212493+0.00231076j 0.00898658+0.000470065j 0.0156261+0.00155902j 0.000876648+0.00320634j -0.0145686-0.00180666j 0.0187668-0.0255084j -0.00363586-0.0142036j -0.00109303-0.00619534j 0.000617744+0.0083522j 
-0.00972861+0.0752012j -0.0114342+0.0124173j -0.026721+0.0333759j 0.00239608-0.00104014j 0.00711385+0.00100479j 0.00273802-0.000655762j -0.00581439+0.00373416j 0.00661361+0.00601703j -0.00744656+0.0109925j -0.0160353+0.0251349j -0.000208235-0.0150127j -0.000780526+0.0090748j 0.0163292-0.00426096j -0.0154171+0.00691608j 0.0116527-0.00278423j -0.0132382-0.0171431j 0.00453648-0.00157944j 0.00815487+0.00643084j -0.00179174-0.000376215j 0.00925601-0.012342j 0.0131977-0.00678077j -0.00170399+0.0109218j 0.0025905-0.000282301j -0.000778037-6.92784e-05j 
0.0937662+0.217041j 0.0287574+0.0670854j -0.0101984+0.0193182j -0.0150027-0.00917809j 0.0296298-0.00604278j -0.00380539-0.00662103j -0.0091287-0.00208653j 0.00338379-0.011491j 0.0133464-0.00590562j 0.00684645-0.02184j -0.0116063+0.0131268j 0.00524471-0.0058938j 0.00153254-0.000436597j 0.00279485-0.00231828j 0.00504498+0.0006865j -0.0161235+0.00946491j 0.00118951-0.00100016j 0.0083527-0.00222361j -0.000813681-0.00114078j 0.0122501+0.00454082j -0.0131872-0.0166683j 0.00469897+0.00466996j -0.00155584-0.0018925j 0.00172546+0.00243671j 
0.108868+0.0124753j -0.000328497+0.00432511j 0.00545786+0.00596334j 0.00805302+0.00396783j -0.00353326-0.0110529j -0.00770725+0.00374567j 0.00514061-0.00282356j 0.00264432+0.00573584j 0.00486993+0.0107539j 0.0213346-0.00671029j -0.000993561-0.0128599j 0.00666154+0.00473157j -0.00297221-0.00740244j -0.00295298+0.00681985j -0.0125554+0.00106338j -0.0145506-0.0154395j -0.00423971-0.00202788j -6.49311e-05+0.0088063j -0.00186183+0.000137463j -0.00792199+0.0131237j -0.00281309-0.00699945j 0.0324332-0.00818925j 0.00404603-0.00479423j -0.00535533+0.00630006j 
-0.108357+0.106641j -0.01062+0.0145406j 0.00770785-0.0134357j -0.0099713+0.0100861j 0.00194536-0.0159633j 0.00586554+0.00483751j 0.00607154+0.000797297j 0.00297222+0.000742753j 0.0035155-0.00346869j 0.0182486-0.0221772j -0.00101277-0.00126622j -0.00577701-0.00238047j 0.0152454+0.00685933j -0.018425-0.0123377j 0.016844+0.00890078j -0.00538113-0.0156207j -0.00478539+0.0014204j -0.00308184+0.00936098j 0.00279029-0.000910772j -0.00218593-0.00233909j -0.0156509+0.0214823j -0.00436137-0.00185697j -0.00173488+0.00296724j 0.000689085-0.000774767j 
0.111151+0.0785919j 0.014738+0.0401275j -0.00209892-0.0153308j 0.0110936-0.0192678j -0.00750082+0.0271119j 0.00897335-0.000879915j -0.00503951-0.00446093j 0.00922612-0.00212595j 0.00520459-0.00324599j -0.00250131-0.0131581j 0.00605722+0.00567416j 0.000640183-0.00168809j 0.00938245+0.00181645j -0.0217737+0.000975859j -0.00356437+0.00811423j 0.0223887-0.0095285j 0.00538386+0.00224526j -0.00803599+0.0100938j -0.0021874+0.00187136j 0.00314441+0.00181675j 0.0110124-0.0139537j 0.00486892-0.0113866j 0.00199962-0.00589593j -0.0035251+0.00619277j 
