0.0267924-0j 0.00709988-0j -0.107041-0j 0.000940722-0j -0.103642-0j 0.00091085-0j -0.0274647-0j -0.0163768-0j -0.132604-0j 0.000139356-0j -0.0217128-0j -0.0790696-0j 8.3096e-05-0j -0.0248474-0j -0.00363902-0j -0.104832-0j 0.000110171-0j -0.0277802-0j -0.00406855-0j 1.30563e-05-0j -0.0170118-0j -0.00249147-0j -0.00153435-0j -0.0104766-0j 0.00207725-0j -0.0226636-0j 0.00185795-0j -0.020271-0j 1.45974e-05-0j -0.0232944-0j -0.00341158-0j 0.00078338-0j 8.93906e-06-0j 5.50503e-06-0j 0.00127205-0j 0.00174183-0j -0.019004-0j -0.0138786-0j -0.00854699-0j 1.22403e-05-0j 
0.0328138-0j -0.12256-0j 0.00446224-0j -0.03363-0j 0.00432054-0j -0.0325621-0j -0.0161372-0j -0.00962239-0j 0.00362058-0j -0.00755814-0j -0.0127576-0j 0.0021589-0j -0.00450681-0j -0.00956212-0j -0.00442801-0j 0.00286232-0j -0.00597524-0j -0.0106908-0j -0.00495067-0j -0.000949497-0j -0.00654673-0j -0.00303165-0j -0.00186701-0j -0.00403174-0j -0.153987-0j 0.000464487-0j -0.13773-0j 0.00041545-0j -0.00106157-0j -0.00896449-0j -0.00415126-0j -0.0580721-0j -0.000650076-0j -0.000400343-0j -0.0942974-0j -0.129122-0j 0.000389484-0j 0.000284439-0j 0.000175169-0j -0.000890154-0j 
-0.00599096-0j 0.0223762-0j 0.0486848-0j 0.00613998-0j 0.0471388-0j 0.00594501-0j -0.176064-0j -0.104984-0j -0.000661024-0j 0.00137992-0j -0.139191-0j -0.000394159-0j 0.000822826-0j 0.0017458-0j -0.0483114-0j -0.000522586-0j 0.00109092-0j 0.00195186-0j -0.0540138-0j 0.000173354-0j 0.00119526-0j -0.0330765-0j -0.0203699-0j 0.000736092-0j -0.000464487-0j -0.146311-0j -0.00041545-0j -0.130864-0j 0.000193815-0j 0.00163668-0j -0.0452919-0j -0.000175169-0j 0.000118687-0j 7.30923e-05-0j -0.000284439-0j -0.000389484-0j -0.122685-0j -0.0895967-0j -0.0551773-0j 0.000162519-0j 
-0.00691776-0j 0.0535089-0j -0.000940722-0j -0.0962616-0j -0.00091085-0j -0.0932049-0j 0.00704543-0j 0.00420108-0j 0.0342381-0j -0.0459667-0j 0.0055699-0j 0.0204157-0j -0.0274092-0j -0.187265-0j -0.0126746-0j 0.0270676-0j -0.0363398-0j -0.209368-0j -0.0141706-0j -0.00881344-0j -0.128211-0j -0.00867771-0j -0.00534408-0j -0.0789577-0j -0.000536344-0j -9.79225e-05-0j -0.00047972-0j -8.75845e-05-0j -0.00985372-0j -0.175561-0j -0.0118824-0j -0.000202268-0j -0.00603415-0j -0.00371607-0j -0.000328442-0j -0.000449738-0j -8.21105e-05-0j -5.9965e-05-0j -3.69289e-05-0j -0.0082626-0j 
0.001263-0j -0.0148214-0j -0.00504595-0j 0.0566523-0j -0.00488572-0j 0.0548533-0j 0.057334-0j 0.0341874-0j 0.000139356-0j -0.109504-0j 0.0453265-0j 8.3096e-05-0j -0.0652953-0j -0.00115636-0j -0.21915-0j 0.000110171-0j -0.0865702-0j -0.00129285-0j -0.245017-0j -0.0458651-0j -0.000791708-0j -0.150042-0j -0.0924017-0j -0.000487566-0j 9.79225e-05-0j -0.00106837-0j 8.75845e-05-0j -0.000955583-0j -0.0512787-0j -0.00108409-0j -0.205453-0j 3.69289e-05-0j -0.0314017-0j -0.0193384-0j 5.9965e-05-0j 8.21105e-05-0j -0.000895859-0j -0.000654243-0j -0.000402909-0j -0.0429985-0j 
0.00709988-0j -0.00150068-0j 0.025155-0j 0.00645292-0j -0.0274647-0j -0.00704543-0j 0.00580515-0j -0.11195-0j -0.00198858-0j -9.25458e-05-0j 0.0810972-0j 0.038349-0j 0.00178471-0j -0.0823012-0j -0.024962-0j -0.0277802-0j -0.00129285-0j 0.00587183-0j 0.00178093-0j 0.000182189-0j 0.0635393-0j 0.0192715-0j -0.032918-0j -0.108533-0j 3.11513e-05-0j -0.000339873-0j -0.000436625-0j 0.00476375-0j -1.29984e-05-0j 0.0870047-0j 0.0263886-0j -0.000575787-0j -0.000140656-0j 0.000240257-0j 0.000337089-0j 0.000461578-0j -0.005036-0j -0.00367777-0j 0.00628207-0j -0.000192601-0j 
-0.000103124-0j 0.00203515-0j -1.40235e-05-0j -0.0159569-0j -1.35781e-05-0j -0.0154502-0j 0.000267965-0j 0.000159783-0j -1.13784e-05-0j 0.103472-0j 0.000211845-0j -6.78476e-06-0j 0.061699-0j 0.000158783-0j -0.00210102-0j -8.9954e-06-0j 0.0818021-0j 0.000177524-0j -0.00234901-0j -0.272941-0j 0.000108711-0j -0.00143847-0j -0.000885867-0j 6.69486e-05-0j -7.99534e-06-0j -1.45974e-06-0j -7.15125e-06-0j -1.30563e-06-0j -0.305157-0j 0.000148859-0j -0.0019697-0j -3.01523e-06-0j -0.18687-0j -0.115082-0j -4.89612e-06-0j -6.70429e-06-0j -1.22403e-06-0j -8.93906e-07-0j -5.50503e-07-0j -0.255882-0j 
-0.0238137-0j -0.00035712-0j -0.0843723-0j 0.000741501-0j 0.0921194-0j -0.000809586-0j 0.00138146-0j -0.026641-0j -0.000148695-0j -7.00954e-06-0j 0.0192988-0j 0.00286753-0j 0.000135176-0j 0.000436625-0j -0.00286837-0j -0.00207725-0j -9.79225e-05-0j -3.11513e-05-0j 0.000204646-0j 1.02913e-05-0j -0.000337089-0j 0.00221448-0j -0.00378259-0j 0.000575787-0j 0.00632414-0j 0.00113997-0j -0.0886409-0j -0.0159781-0j -7.34243e-07-0j -0.000461578-0j 0.0030323-0j -0.116893-0j -7.94526e-06-0j 1.35714e-05-0j 0.0684337-0j 0.0937068-0j 0.0168913-0j 0.0123356-0j -0.0210707-0j -1.08795e-05-0j 
-0.0301223-0j 0.00636686-0j 0.0036326-0j -0.0273774-0j -0.00396615-0j 0.0298912-0j 0.000838314-0j -0.0161666-0j -0.000188086-0j 0.000392638-0j 0.0117112-0j 0.00362717-0j -0.00757189-0j -0.00778429-0j -0.00360474-0j -0.00262754-0j 0.00548511-0j 0.000555376-0j 0.000257182-0j -0.000772963-0j 0.00600974-0j 0.00278298-0j -0.00475365-0j -0.0102653-0j -0.000132164-0j -2.41297e-05-0j 0.00185244-0j 0.000338208-0j 5.51476e-05-0j 0.00822917-0j 0.00381075-0j 0.00244286-0j 0.000596753-0j -0.00101932-0j -0.00143015-0j -0.00195831-0j -0.000357537-0j -0.000261108-0j 0.000446003-0j 0.000817138-0j 
-0.11367-0j -0.0301223-0j -0.0154576-0j -0.00399114-0j -0.0149668-0j -0.00386441-0j -0.00396615-0j -0.00236495-0j -0.0125421-0j -0.000591238-0j -0.00313551-0j -0.00747864-0j -0.000352546-0j -0.00235014-0j -0.000525507-0j -0.00991537-0j -0.000467415-0j -0.00262754-0j -0.000587535-0j -5.53933e-05-0j -0.00160903-0j -0.00035979-0j -0.000221573-0j -0.000990906-0j -0.00881302-0j -0.00160903-0j -0.00788261-0j -0.00143916-0j -6.19316e-05-0j -0.00220326-0j -0.000492663-0j -0.0033236-0j -3.79252e-05-0j -2.33559e-05-0j -0.00539685-0j -0.00738995-0j -0.00134921-0j -0.000985326-0j -0.000606803-0j -5.19312e-05-0j 
0.00614868-0j -0.00269147-0j -0.000741501-0j -0.0758759-0j 0.000809586-0j 0.0828429-0j -0.000354381-0j 0.00683412-0j 3.83928e-05-0j 0.0023121-0j -0.00495067-0j -0.000740392-0j -0.044588-0j 0.00329066-0j -0.00999045-0j 0.000536344-0j 0.0322998-0j -0.000234774-0j 0.000712776-0j -0.00694698-0j -0.0025405-0j 0.00771296-0j -0.0131746-0j 0.00433947-0j -0.00163289-0j 4.92545e-06-0j 0.022887-0j -6.90364e-05-0j 0.000495637-0j -0.00347872-0j 0.0105614-0j 0.0301816-0j 0.0053633-0j -0.00916115-0j -0.0176695-0j -0.024195-0j 7.29819e-05-0j 5.32984e-05-0j -9.10399e-05-0j 0.007344-0j 
