-0.0837436-0j -0.0732757-0j -0.0717802-0j -0.0512823-0j -0.0302247-0j 0.401765-0j 0.492059-0j 0.351544-0j 0.405928-0j 0.290009-0j 0.435597-0j 0.0926593-0j 0.0832111-0j -0.00603005-0j 0.0713238-0j 0.0902183-0j 0.0720629-0j 0.0514843-0j 0.0485398-0j 0.0300325-0j -0.00516862-0j -0.00653784-0j -0.00522218-0j -0.0037309-0j -0.00351753-0j -0.00217636-0j -0.00213195-0j 0.0815129-0j 0.0475492-0j 0.00783471-0j -0.00590699-0j -0.00344574-0j 0.0294196-0j -0.000567757-0j 
-0.000122148-0j 0.00729508-0j -0.0073556-0j -0.00525509-0j 0.00911537-0j 0.0832111-0j 0.0014506-0j 0.00103636-0j -0.0816801-0j -0.117565-0j 0.0902183-0j -0.0753984-0j -0.00567985-0j -8.7954e-06-0j -0.342033-0j -0.00615815-0j 0.33574-0j 0.239864-0j 0.455606-0j 0.423863-0j -0.000529648-0j -9.53606e-06-0j 0.000519903-0j 0.000371436-0j 0.000705518-0j 0.000656362-0j -0.000218469-0j -0.390895-0j -0.228022-0j 0.184648-0j -0.000605312-0j -0.000353099-0j -0.141082-0j 0.000285933-0j 
0.000846266-0j -0.0505418-0j 0.0509611-0j 0.0364084-0j -0.0631532-0j 0.00603005-0j 0.000105121-0j 7.51019e-05-0j -0.0059191-0j -0.00851957-0j 0.00653784-0j -0.00546389-0j 8.7954e-06-0j -0.00586293-0j 0.000529648-0j 9.53606e-06-0j -0.000519903-0j -0.000371436-0j -0.000705518-0j -0.000656362-0j -0.353058-0j -0.00635664-0j 0.346562-0j 0.247596-0j 0.470291-0j 0.437525-0j -0.145629-0j 0.000605312-0j 0.000353099-0j -0.000285933-0j -0.403495-0j -0.235372-0j 0.000218469-0j 0.1906-0j 
-0.00603005-0j 0.00519166-0j -0.00516862-0j 0.0109594-0j -0.00217636-0j -0.0284655-0j 0.0354313-0j -0.0751279-0j 0.0292293-0j -0.0205474-0j 0.0313657-0j 0.00667204-0j -0.00589559-0j -0.041106-0j -0.00505337-0j 0.00649627-0j 0.00518897-0j -0.0110026-0j 0.00349516-0j -0.00212783-0j -0.0352337-0j 0.0452941-0j 0.0361792-0j -0.0767138-0j 0.0243694-0j -0.0148359-0j -0.0731397-0j 0.00586943-0j 0.00342383-0j 0.000564147-0j 0.0409236-0j 0.0238721-0j -0.01049-0j 0.00393342-0j 
-0.0059191-0j -0.00532881-0j 0.00522218-0j 0.0037309-0j 0.0104991-0j -0.0292293-0j 0.0347793-0j 0.0248476-0j 0.0295202-0j -0.0193226-0j -0.0316907-0j -0.0713017-0j 0.00588146-0j 0.0410075-0j -0.00518897-0j 0.00637674-0j 0.00524062-0j 0.00374408-0j -0.00323409-0j -0.0104324-0j -0.0361792-0j 0.0444607-0j 0.0365393-0j 0.026105-0j -0.0225491-0j -0.0727379-0j -0.0149232-0j -0.00593025-0j -0.00345931-0j -0.0104439-0j -0.0413477-0j -0.0241195-0j -0.00214034-0j -0.0728183-0j 
0.000502504-0j -0.000432638-0j 0.000430718-0j -0.000913287-0j 0.000181363-0j 0.00721666-0j -0.00898266-0j 0.0190467-0j -0.00741031-0j 0.00520926-0j -0.00795193-0j -0.00169152-0j -0.0704535-0j -3.5603e-05-0j -0.0603887-0j 0.0776317-0j 0.0620093-0j -0.131483-0j 0.0417679-0j -0.025428-0j -3.05168e-05-0j 3.92304e-05-0j 3.13357e-05-0j -6.64437e-05-0j 2.1107e-05-0j -1.28498e-05-0j -6.33481e-05-0j 0.0701408-0j 0.0409155-0j 0.00674167-0j 3.54449e-05-0j 2.06762e-05-0j -0.125358-0j 3.40683e-06-0j 
0.000493258-0j 0.000444068-0j -0.000435181-0j -0.000310909-0j -0.000874928-0j 0.00741031-0j -0.00881738-0j -0.00629944-0j -0.00748407-0j 0.00489873-0j 0.00803433-0j 0.0180766-0j 0.0702847-0j 3.55176e-05-0j -0.0620093-0j 0.0762033-0j 0.0626265-0j 0.0447425-0j -0.038648-0j -0.124669-0j -3.13357e-05-0j 3.85085e-05-0j 3.16476e-05-0j 2.26102e-05-0j -1.95303e-05-0j -6.30001e-05-0j -1.29253e-05-0j -0.0708677-0j -0.0413395-0j -0.124807-0j -3.58123e-05-0j -2.08905e-05-0j -0.0255775-0j -6.30698e-05-0j 
-8.7954e-06-0j -0.000516864-0j -0.000529648-0j 0.00112306-0j 0.000656362-0j -0.00589559-0j 0.000104452-0j -0.000221479-0j -0.00588146-0j 0.00832961-0j 0.00649627-0j -0.00542914-0j 0.000402424-0j -5.9957e-05-0j 0.0242334-0j -0.000443424-0j 0.0241753-0j -0.051261-0j 0.0328064-0j -0.0300311-0j -0.00361054-0j 6.60658e-05-0j -0.00360188-0j 0.00763737-0j -0.00488782-0j 0.00447433-0j -0.00749491-0j -0.0281469-0j -0.016419-0j 0.0132958-0j 0.0041936-0j 0.00244627-0j 0.0503048-0j -0.00198094-0j 
0.0341111-0j -0.0293684-0j 0.0292381-0j -0.061996-0j 0.0123114-0j -0.00340415-0j 0.00423718-0j -0.00898445-0j 0.0034955-0j -0.00245724-0j 0.00375098-0j 0.000797901-0j -0.000348836-0j -0.00241681-0j -0.000299003-0j 0.000384377-0j 0.000307026-0j -0.000651013-0j 0.000206805-0j -0.000125902-0j -0.00207155-0j 0.00266305-0j 0.00212714-0j -0.00451035-0j 0.00143279-0j -0.000872272-0j -0.00430021-0j 0.000347288-0j 0.000202585-0j 3.338e-05-0j 0.00240608-0j 0.00140355-0j -0.000620683-0j 0.000231263-0j 
0.0334835-0j 0.0301443-0j -0.0295411-0j -0.0211052-0j -0.0593921-0j -0.0034955-0j 0.00415922-0j 0.00297149-0j 0.00353029-0j -0.00231076-0j -0.00378985-0j -0.00852688-0j 0.000348-0j 0.00241102-0j -0.000307026-0j 0.000377305-0j 0.000310082-0j 0.000221533-0j -0.000191358-0j -0.000617273-0j -0.00212714-0j 0.00261405-0j 0.00214831-0j 0.00153483-0j -0.00132576-0j -0.00427659-0j -0.0008774-0j -0.000350887-0j -0.000204684-0j -0.000617955-0j -0.00243102-0j -0.00141809-0j -0.000126642-0j -0.00428132-0j 
7.03632e-05-0j 0.00413491-0j 0.00423718-0j -0.00898445-0j -0.0052509-0j 0.0233357-0j -0.000413439-0j 0.000876649-0j 0.0232798-0j -0.0329699-0j -0.0257133-0j 0.0214894-0j 6.87943e-05-0j -4.98531e-06-0j 0.0041427-0j -7.58034e-05-0j 0.00413277-0j -0.00876306-0j 0.00560825-0j -0.00513382-0j -0.000300209-0j 5.49324e-06-0j -0.000299489-0j 0.000635032-0j -0.000406413-0j 0.000372032-0j -0.000623187-0j -0.0048117-0j -0.00280683-0j 0.00227292-0j 0.000348689-0j 0.000203402-0j 0.00859961-0j -0.000164711-0j 
