-0.028308+0.00735596j 0.0350277+0.00899908j 0.017569+0.0108695j -0.0258745+0.00615195j -0.00411852-0.0224517j -0.000885299+0.0173835j 0.0120185-0.00337742j 0.0032663+0.000448541j 0.0280399-0.015815j -0.0144089-0.00604651j 0.00662802+0.0139433j 0.000542132+0.00600024j -0.00675383+0.00860338j 0.000113873-0.00580581j 0.00695781+0.00349843j 0.00252105+0.0110915j 0.0104319-0.000575796j -0.00232321-0.0171341j -0.0056863-0.00435049j -0.0119989-0.000105216j -0.00166074-0.0078816j 0.018923-0.00434499j 0.0101684-0.0110408j 0.0140556+0.00043119j 0.00811082-0.00835677j 0.00963202-0.000933044j 0.00564548-0.0024085j -0.00391609-0.00397528j -0.0136755+0.00780689j 0.00106064+0.0039531j 0.00895899-0.00224129j -0.00162846+0.0237318j -0.002695-0.0098303j 0.00874172+0.00143264j -0.0142772+0.00449796j -0.00229827-0.00640654j -0.00191894-0.00861753j 0.00355261-0.00470539j 0.0025246+0.00637312j 0.0166293+0.00426999j -0.0133701+0.00276825j 0.0119359+0.0100597j -0.000294696-0.00903503j -0.00198762+0.00531993j -0.00226167-0.00776021j -0.00392548+0.00459606j -0.00840786+0.0106333j 0.002088+0.00644138j -0.0289621-0.00673013j -0.00394008+0.013713j 0.00176982-0.00394627j -0.0078926-0.00788698j 0.000288636-0.00834062j 0.00337993+0.0004458j -0.00508843+0.000562019j 0.0106723-0.00673023j -0.012346-0.00414135j 0.0120728-0.0050778j 0.00428709-0.00242902j -0.0131428-0.000207733j 0.014789-0.0171244j -0.00207097+0.00371352j -0.0166425+0.00231447j 0.00785911-0.00732188j 0.00336682-0.00270186j 0.000343531+0.00798156j -0.0199757+0.00677398j 0.00910168+0.0033887j 0.00362641-0.0173723j 0.00460933+0.0090486j -0.0113599-0.00196727j 0.0316662-0.0185019j 0.0216298+0.0156071j 0.00320871+0.0114412j 0.0069393+0.00514827j -0.0217962+2.48509e-05j -0.00542356-0.00277363j -0.0171841-0.0111224j -0.0204111+0.015523j 0.00825071-0.00579337j -3.34597e-06+0.0116812j 0.00780767-0.0077109j -0.00711116+0.0282303j -0.0105533-0.000388329j -0.00657089+0.0025058j 0.0104564-0.0249558j -0.00573576+0.013908j 0.00486062-0.0363115j 0.00540227+0.0283673j -0.00544768+0.022457j -0.00392846-0.0121999j 0.000666402-0.225897j 0.00468973+0.0140296j -0.0027785+0.0169445j 0.0154684+0.030369j 0.0224248-0.113583j 0.20646+0.00272107j 
0.0343271+0.0089614j 0.0287975-0.00772149j 0.0294977-0.00468778j 0.0248305+0.0122187j -0.00419621-0.0133072j 0.00167386-0.0220271j 0.0105836-0.0184957j 0.023226-0.00231101j -0.0192012-0.00603554j -0.00342113-0.00100937j 0.000427655-0.0186881j -0.00510351+0.0102129j 0.00501011+0.00408951j -0.000530733+0.0103894j 0.00982934+0.0020963j 0.00674933-0.00603646j -0.00227757-0.00995351j 0.0140702-0.0119086j 0.00314063+0.00918071j 0.00576727+0.000458974j -0.00404995+0.000896165j 0.000162704+0.000161073j -0.00136862-0.00165382j 0.00518493-0.00195494j 0.00445994-0.00833615j 0.00989889+0.00109089j 0.0197761-0.0152487j -0.000654181-0.00465342j -0.0016342-0.0121421j -0.00680126+0.00481784j -0.00937563+0.0204183j -0.0109117-0.00563287j -0.00345163-0.00423204j -0.00985973+0.00421769j -1.37139e-06-0.0020213j 0.00208363+0.00553405j -0.000307857+0.0053461j 0.00236291+0.0053119j -0.000576482+0.0132141j -0.00338264+0.00872552j -0.00968061-0.00479168j -0.00113238-0.00458548j -0.00510394+0.0152486j -0.0156763+0.00954092j -1.9839e-05-0.000718651j -0.00909838-0.000631876j -0.00243927+0.00526923j 0.00790873+0.00304384j -0.00818915-0.0155784j 0.00640771+0.00248944j -0.010007+0.00434448j 0.0117447-0.00800268j -0.00238643-0.00301108j -0.00101996+0.00446894j 0.0190325-0.00518792j 0.0238685-0.000971321j 0.0227036+0.00750729j -0.00653139+0.0093616j -0.00216488+0.00124438j 0.00131153-0.0135573j 0.0195712+0.00986118j -0.00882195+0.00973169j 0.00697821-0.0036742j 0.00589504-0.000242787j 0.0231448-0.00591609j -0.0167695+0.000434572j -0.00238291-0.00864027j 0.00143746+0.0149166j 0.0224084+0.00223501j -0.0234838+0.00164297j 0.0100452-0.0113916j 0.0192105+0.0154062j -0.0266488+0.00804894j -0.00566905+0.0075787j -0.0191802+0.0140773j 0.0125939-0.0164796j 0.00355664-0.000917362j 0.00222935-0.0123563j 0.000273144-0.0218682j 0.00516472+0.000672673j -0.0062905+0.011362j 0.00460277+0.00587385j -0.019352+0.000777598j 0.00353762-0.018927j 0.00333146-0.00196027j -0.00228867+0.0333851j -0.00722491+0.022872j 0.000201916-0.0116992j -0.00593664+0.00302844j -0.00545872-0.0197014j -0.000975476-0.052594j 0.00664739+0.0136196j 2.00797e-05+0.22335j 0.0117985+0.0283907j 0.00529785-0.01698j -0.207929-0.00383736j 0.0218264-0.113276j 
0.0265872+0.012177j 0.0422057-0.00360928j 0.00660265-0.00360386j 0.0090887+0.00724512j -0.00124533-0.0258382j 0.00557449-0.0202115j 0.00257275-0.0159427j 0.0310852-0.00541134j -0.00357045-0.0062002j 0.0148704-0.000128142j -0.00163038-0.0175767j 0.00782357+0.0178644j -0.0184727+0.00566445j -0.00470406+0.0163017j 0.00115679-0.00858343j 0.00405759-0.00181181j -0.019571-0.00555412j 0.000897603-0.00695707j 0.00431409+0.00548946j 0.00584071-0.00907897j 0.00360175-0.00563013j -0.00503972+0.00288932j 0.00695043-0.00157813j -0.00118909-0.00292332j 0.0252149-0.0055928j -0.00690384+0.00209384j -0.00156324-0.0198986j -0.00469281-0.0144251j -0.00139067-0.0124327j -0.0139517+0.000484734j -0.0113062+0.00488633j -0.0153038-0.0123734j 0.0040011+0.00388176j -0.00501478+0.00783771j 0.0124361-0.00323524j 0.0123761+0.00759753j 0.00653092+0.00229452j 0.00331066+0.00676498j -0.0137603+0.00971465j 0.00400676+0.0132293j -0.00922882+0.00252052j -0.0123597-0.0148212j 0.0108134+0.00927421j -0.0321848-0.000165823j 0.00721347-0.00491578j -0.0106167-0.00362532j 0.0119015+0.000150152j -0.00475439-0.00638406j 0.00862344-0.00652029j -0.00235082-0.0133865j 0.00685913+0.00742551j 0.0157612-0.00731809j 0.0034904+0.0210579j -0.0363177+0.0161221j 0.00483642-0.00989908j 0.0247119-0.00535032j -0.0398653-0.00304671j -0.0180828+0.00222198j -0.017826+0.00569977j -0.0322274-0.0184842j 0.0159879+0.014305j 0.000783705+0.00723033j -0.00503465-0.0141018j 0.005231+0.0033285j 0.0251526-0.00557603j 0.0111333+0.0148773j 0.0101388-0.0143199j -0.0209037+0.00921425j 0.000223873+0.0265519j -0.00506528+0.0063272j -0.015392+0.0174192j 0.00975595+0.00293252j -0.00145522-0.00575065j 0.0109912-0.0194567j -0.0179899+0.0426199j -0.000160978-0.00577205j 0.0128394-0.0074533j -0.0177235+0.0233961j 0.00279979-0.043802j 0.0126676-0.0178982j 0.00165667+0.0199313j 0.0110772-0.0212762j 0.0062794-0.00766455j -0.0129818-0.0207742j -0.00207865+0.0383736j -0.000881236+0.190988j -0.00252687+0.022623j -0.000524638+0.117843j 0.00326483-0.0541726j -0.000315656+0.0282568j -0.0336589-0.0386386j -0.0158-0.120103j 0.04314-0.0718389j -0.0189718+0.110337j 0.235037+0.0011837j 0.0286332-0.0339183j 0.105753-0.00638268j 
-0.0441614+0.00506602j 0.0386875+0.0142327j 0.0194648+0.00823828j 0.0182545+0.00575748j 0.0159987-0.0241572j 0.0078143+0.029965j -0.0336472-0.00781458j 0.0230509+0.0065651j 0.0101542-0.0176451j 0.0133614+0.00454522j 0.000159085+0.00405599j -0.0110251+0.017933j -0.023283-0.00181694j 0.00268711-0.0101786j 0.0066651-0.0153496j -0.00200839+0.0129352j -0.0138347-0.00539686j -0.0211983-0.0161019j 0.0116436-0.0112403j 0.00872074-0.00469444j 0.0180677-0.0110746j 0.0133621-0.0152604j 0.0180468-0.0147604j 0.00127783-0.000290685j 0.00814117-0.000366686j -0.00481449-0.00834627j -0.00352638-0.0201105j 0.0132166-0.0207615j -0.0154953+0.0112589j -0.0026699+0.00588959j -0.0133697+0.0155286j -0.00339664+0.00855703j 0.00744467-0.0101198j 0.0139218+0.0100804j 0.00364492-0.0194683j -0.000950415+0.00275426j 0.000722276+0.00345919j 0.00622505+0.00632124j -0.00643039+0.00584786j 0.0221598+0.00830624j -0.0019497+0.00184818j 0.0152942-0.00913365j 0.0106788-0.00153363j -0.00301568+0.0138498j 0.00710836-0.0135228j -0.013758-0.00234724j 0.0134727+0.0132662j -0.0106997+0.00607513j -0.0128154+0.00156924j -0.0270319+0.00485492j -0.0115411+0.00457425j 0.00851179-0.0185052j 0.0146757+0.00914609j -0.00720301+0.0226048j 0.0159957-0.0150889j 0.0146335-0.00233426j 0.0197202+0.00822867j 0.0144537+0.00954143j -0.0131584+0.0161143j -0.0160532-0.000253492j 0.014928-0.00465802j 0.0212438+0.00458832j -0.0152685+0.00767017j -0.0302765-0.005095j -0.00234541-0.00535426j 0.0316999-0.00404019j 0.00847428-0.0100567j -0.0259712+0.0289772j 0.00905139+0.00342025j 0.0119696+0.0010492j -0.00761764+0.0259293j -0.0173899-0.00542435j 0.00687625-0.00671497j 0.00298802-5.43989e-05j 0.0218873+0.0320409j 0.00322699+0.00252438j -0.0055827+0.00378229j 0.00452414-0.00778521j -0.00182521+0.00550867j -0.00643427-0.0380188j -0.00437898+0.0335406j -0.00736784-0.0403573j 0.0129079-0.00748631j 0.00026421+0.00466329j 0.00792225+0.0330761j 0.0289785+0.0618889j 8.39982e-05+0.104082j -0.00361383-0.201715j 0.0169539-0.0105378j 0.00971046+0.0106673j 0.0211244-0.0287398j -0.0565158+0.0623211j -0.00562344-0.139173j -0.251235-0.0199114j -0.0157888+0.100531j 0.125565-0.00833723j -0.0389469+0.0366565j 
-0.00848167+0.00647781j 0.0171597-0.00999062j -0.00974515-0.0073732j -0.0550603+0.00518783j -0.00402995-0.0118087j 0.000799821-0.0109822j 0.0373201-0.0128649j -0.019488-0.013754j 0.0304967-0.0101886j -0.0231319-0.00522832j 0.00911488+0.00401292j 0.000529215+0.00170136j 0.00447255+0.0102751j 0.00302649+0.00260497j 0.00886602+0.0123608j 0.00218951-0.00192266j 0.0132723-0.00472373j -0.00248238-0.0218489j -0.00517407+0.00890351j -0.00991882+0.00563615j 0.0100892+0.00529059j -0.00536831-0.000249162j 0.00755076+0.000258272j 0.012573+0.00224308j 0.00270025-0.00350508j 0.00729406+0.00169628j 0.0356933+0.00878152j 0.00168036+0.00374238j -0.0164166+0.000718253j 0.00484467-0.00764833j -0.00101512-0.0104587j 0.0250716+0.00545801j -0.00312021+0.0204722j 0.000599715+0.00939943j -0.0317053+0.0106589j 0.00888449+0.000285597j -0.0106084-0.000428044j 0.0156653+0.00859422j 0.00836384+0.00224593j 0.0237749-0.00479328j -0.00749245+0.0091762j 0.0236824+0.00125651j -0.0224345+0.019828j -0.0219085+0.0185255j 0.00607+0.0134438j 0.00775027+0.00906037j -0.033856-0.00104469j -0.0226519-0.00805888j -0.0257398+0.0131396j -0.0366098-0.00415854j 0.0257651+0.0125761j -0.0372906+0.00365089j -0.0018084-0.000849304j -0.00678716-0.00938389j -0.0341797-0.0144221j 0.0155812-0.0322514j -0.0751462-0.00447332j 0.0457274+0.00612834j 0.0184147-0.00286405j -0.0116786-0.00162763j 0.00472073-0.0162608j -0.0145335+0.0284042j -0.0449661-9.26245e-05j 0.0319242-0.0310299j -0.00837923-0.0541962j 0.026625+0.00951246j -0.0345216+0.0152331j 0.00254841-0.0046148j -0.03022-0.0250935j 0.0566478+0.0239016j -0.045984-0.0369034j 0.0425659-0.0373535j 0.0948426+0.0164733j 0.0116895+0.0138222j 0.0342657+0.0203424j -0.0733717-0.0087434j -0.00138655-0.0167177j -0.060008+0.02401j -0.052077-0.0190698j 0.0404464+0.0151251j -0.013849-0.00581197j 0.00930493+0.0838143j 0.0203364+0.0734966j -0.0509598-0.00412191j -0.025915-0.0398966j 0.0126952-0.044727j -0.026829+0.0681872j 0.0237225-0.0252652j 0.0454661+0.0116785j -0.0530519+0.00200939j -0.118523+0.000928918j 0.0513869-0.166371j -0.141351+0.00973166j -0.0178113+0.00764863j 0.0469681+0.0108491j 0.0631102-0.147772j 0.230254+0.0465989j 
-0.00928448+0.00685591j -0.0272881+0.00118452j -0.0424869+0.00328326j -0.0142052+0.00576769j 0.0115539-0.00356437j -0.0136156+0.0068755j -0.00553079+0.00725353j -0.0194346+0.00192779j -0.00244238-0.0137802j 0.0208459+0.00244781j -0.00360979+0.0141981j 0.0100579-0.00581704j 0.00151242+0.0056318j 0.0105849-0.000121283j -0.0172226-0.00084816j -0.0149588+0.00293312j -0.00834763+0.00214661j -0.0213946+0.00657047j 0.0113126+0.00221236j -0.00163916+0.000141891j 0.017992-0.00186689j -0.011008+0.00216164j 0.00502684+0.00268426j -0.00535181-0.00246785j 0.00793312+0.00372654j -0.0075088-0.00171645j -0.0243021-0.00636843j 0.000949245+0.00313257j 0.0157124+0.0113911j -0.0187871-0.0151755j 0.00287487-0.00209585j -0.00860567-0.010871j 0.0353117+0.00514201j 0.0294768-0.00028891j 0.0011365+0.0253988j 0.00974463+0.00105502j 0.012298+0.00330474j 0.00930929-0.0102265j -0.0111637-0.00166661j -0.0162604-0.0172871j 0.0251032+0.012392j -0.0178315-0.013872j 0.0258782+0.00531294j 0.0294061+0.012031j 0.0124003-0.00163523j 0.0253024-0.00104181j -0.0112672+0.00731663j -0.0280802+0.0106758j 0.053263+0.0202962j -0.014061+0.0172065j 0.0438076-0.0091302j -0.00153405+0.0126005j 0.013227-0.0160096j -0.00273014-0.00252092j -0.0406857+0.0130757j -0.0713122-0.0140395j -0.0292023+0.0286466j 0.0101425-0.0244653j 0.00770414-0.0117593j 0.00995693+0.00772649j -0.0502588-0.0147887j 0.0327189+0.00538218j 0.00620329+0.020995j -0.0368117-0.0102573j -0.0838134+0.00443568j 0.0393159-0.00570844j 0.042823+0.0252018j -0.0300108-0.0053556j -0.0488506-7.97476e-05j 0.0567134-0.0193838j -0.0268827+0.0157738j -0.104057-0.0370468j 0.022617-0.0353138j 0.00363174+0.00293069j 0.0522264-0.0285639j -0.00455188+0.0410412j 0.00612683-0.0117366j 0.0282227+0.0251431j 0.0156859+0.0430421j -0.0322107-0.00199492j -0.00814731+0.0370813j -0.0191173+0.00678099j 0.0863339+0.0416785j -0.00143505+0.0391796j 0.0126384+0.00141731j 0.00540847-0.0112713j 0.0255399-0.0197545j 0.0252076+0.0638683j 0.0511464-0.0020365j 0.0697567+0.0115508j -0.0262443+0.0440416j 0.144232-0.0222336j 0.0564516-0.152447j -0.0303778-0.00355308j 0.00243812-0.00836383j 0.225371+0.0589834j -0.0501787+0.159194j 
-0.0448751-0.0110943j -0.0153733+0.00668298j 0.0171308-0.000518012j 0.0214268-0.00576372j 0.0300194+0.0170717j 0.0143579+0.0212643j -0.0444029+0.00616634j -0.0114262+0.00901777j 0.0395766+0.00882654j 0.00294065+0.00824442j 0.0114984-0.00171089j -0.00764571+0.00382115j -0.0282187-0.0153376j -0.0069983-0.0156933j -0.000820905-0.0161152j -0.00346237+0.00262808j 0.0205737+0.00401714j -0.0166748+0.000194855j -0.0118048-0.0171831j -0.0176862-0.00551322j -0.00830829+0.0010479j 0.0342506-0.0142037j 0.0202883-0.00203355j 0.0200283+0.00527629j 0.0131226+0.00875866j 0.00601244-0.00204176j -0.00808186-0.0122472j -0.0217312-0.0151337j -0.00619381+0.0170908j 0.00349969+0.0128562j -0.0211721+0.0259286j 0.00759714+0.00307672j 0.0165665-0.0139739j 0.0128335+0.00445618j -0.0203862-0.0354545j -0.0304345-0.00262238j -0.0166552+0.00847088j 0.0124568+0.00340621j -0.000650796-0.0072553j 0.0284273-0.00191866j -0.0156748-0.0030183j 0.0214117-0.0048082j 0.00443378-0.0158001j 0.0102514+0.0131378j 0.00147127-0.0142491j -0.00833352+0.00200754j 0.0207552-0.00606763j 0.00243546-0.000453293j -0.0409114+0.00823273j -0.00763094-0.00734898j -0.0258968+0.00437273j 0.0183872-0.0196454j 0.0394949+0.0168369j 0.0244581+0.0255276j 0.00330968-0.0239265j -0.022343-0.00414624j -0.0294077-0.02956j -0.0178011+0.0105397j -0.010761+0.0197926j -0.0116287+0.00472345j 0.00448894-0.00815235j 0.0134825-0.0142766j -0.0305233+0.00287129j -0.0278911+0.0184066j -0.00676094+0.0154107j 0.00911355+0.00938054j -0.0397251-0.00759554j -0.00337197+0.00667793j 0.0049799-0.0136613j 0.00880301+0.0113615j -0.000306204+0.0220634j 0.041103-0.00640227j 0.0458744+0.00883919j 0.00319541+0.00627692j 0.0151697+0.0250751j -0.0433119-0.0129445j -0.00813102+0.0507927j -0.0305628-0.0535648j -0.0118331+0.0365045j -0.00742768-0.0662037j 0.00932538+0.00609995j -0.0124857-0.144883j -0.0221262-0.0635556j -0.0211001-0.0466783j -0.0290751+0.0832374j -0.00866989-0.0497896j 0.0365012-0.156249j -0.0153869-0.00799759j 0.000807907+0.0588328j -0.0194368+0.040533j 0.241288+0.000290258j 0.0246543-0.0140577j -0.0399936+0.048089j 0.0265066-0.0401972j -0.0452396+0.0142338j -0.0286505-0.0679365j 0.0468256+0.0458389j 
-0.0358396-0.00287901j -0.0129115+0.0119681j -0.0272327+0.0133015j -0.0340249-0.0154808j -0.0170876+0.00152673j 0.000705103+0.0284827j 0.0101695+0.0355666j 0.0390177+0.00532603j 0.00680934-0.00461341j 0.011048-0.00392921j 0.00798579+0.0318459j 0.0297128-0.00993856j -0.00387895+0.00663047j 0.0187327+0.00408586j 0.00499226-0.00849494j -0.00582204+0.0209443j -0.0100511+0.0196527j -0.0162882+0.0212502j -0.00539319-0.0110277j -0.0189026-0.0208285j 0.00205294-0.0148283j 0.00592564+0.00934031j -0.0181606+0.00814844j 0.009073+0.013j 0.00494644+0.0186517j 0.0166821+0.00476263j -0.00532625+0.0172909j -0.0285555-0.00796391j 0.00542633+0.0103192j -0.00249636-0.0171603j -0.016183-0.0252517j 0.00128367+0.00704123j 0.016601+0.00595714j -0.000482342+0.00673813j -0.0268752+0.00696759j 0.00599588-0.00863095j -0.0146794-0.0160617j -0.0231107-0.0137538j -0.0193177-0.00629857j 0.0119847+0.00420608j 0.000639701+0.00869872j 0.037596+0.00738957j 0.0282488-0.0262897j -0.0419972+0.00110149j -0.021384-0.0303629j 0.0293591-0.00412181j 0.00680293+2.41416e-05j -0.012961+0.0187991j -0.0508436-0.0260633j 0.0730019+0.0259213j 0.0474704-0.0203427j 0.0137406+0.00814101j -0.0281833-0.01978j 0.000919496+0.0291497j 0.00752355+0.00611388j 0.014558-0.00153242j 0.0434009+0.016553j -0.00445141-0.0266431j 0.0195998-0.0074049j -0.0171594+0.00386092j -0.00393433+0.00214482j 0.00688829-0.00310245j -0.000341142-0.0190532j -0.0061642+0.00743923j -0.0204916+0.0347029j -0.0063497+0.00140591j 0.0126025-0.0318016j 0.00712256-0.00575335j 0.0398367+0.00650987j -0.0049689-0.00706144j 0.0137619+0.0302814j 0.0209857+0.0268344j -0.0359485+0.0124028j -0.0266421+0.0101509j -0.0216901-0.0706698j 0.0136479+0.0123669j -0.0138919-0.0247336j -0.00882142-0.0393462j -0.00360446+0.116674j 0.0208386+0.053201j 0.00520922+0.156678j 0.0206602-0.0630579j -0.00852925+0.115104j 0.0303674+0.0986275j -0.00264098-0.00935554j -0.00220753+0.0712953j -0.0374711+0.0151025j 0.00360336+0.0520933j -0.00376228+0.0664711j 0.269913-0.0493255j 0.00864233-0.0573639j 0.00596159+0.0754711j -0.0162718-0.00159849j 0.00425885+0.0256571j 0.0373902-0.0251408j -0.029164-0.0351917j -0.0749447-0.0207255j 
0.050772-0.0136877j -0.0586661-0.0134514j -0.0363369-0.0181525j 0.00147368-0.025289j -0.00216151+0.0411673j 0.0110746-0.0346842j -0.0276299+0.0226197j -0.0150374-0.00553275j 0.0291619+0.0501963j 0.00784827+0.00221476j 0.00526467-0.00922777j 0.0365647-0.0107083j -0.0196061-0.0128068j -0.0354201+0.0151798j -0.00281256-0.00700299j -0.00103192-0.014543j 0.00714195+0.0242902j -0.00114218+0.0354173j -0.0345602-0.00641772j -0.000992502-0.0175683j -0.028763+0.0115819j -9.34384e-05+0.0226017j -0.0189519+0.020346j 0.00566509+0.00345207j 0.0216962+0.0224725j -0.00880542-0.0007043j 0.0128864+0.0196895j -0.00283153+0.0182087j 0.0136076-0.0147986j 0.00932006+0.00454002j -0.00347879+0.00115977j 0.0228032-0.0138305j 0.00283504-0.00110175j -0.0127812-0.00653283j 0.00238761-0.00928592j -0.041145-0.0107935j -0.00646183-0.00466626j -0.0180973-0.0125615j -0.0374111-0.0280331j -0.0184325-0.00778023j -0.0350076-0.0079992j -0.0164935+0.0144151j -0.00942405-0.0279819j 0.00141601-0.0253158j -0.0432694-0.00579976j 0.0251261-0.000214928j 0.0125207-0.025299j 0.0254753-0.0150026j 0.0275496+0.007418j 0.0704932-0.0239034j -0.032837-0.01443j 0.0210891+0.0105514j 0.0253439+0.00182836j -0.00365744-0.0230481j -0.0611507+0.0234097j -0.0074756+0.0118227j -0.0172249-0.0250533j -0.00908899+0.00292527j 0.0143686-0.02454j -0.0257961+0.0237989j 0.00601338+0.00794483j -0.0062358-0.0196954j -0.0331428-0.00785467j 0.00859335+0.0175163j 0.0138896+0.0395063j 0.0200702+0.0260007j -0.0210549+0.0155943j -0.018033-0.0784171j 0.00131939-0.0446645j -0.00744891+0.0127508j -0.00342126-0.0530683j 0.0343148-0.0156037j 0.0117524+0.0387442j 0.0218443+0.0346765j -0.0316962-0.0746245j -0.00791748-0.0204737j 0.010988+0.0218483j -0.0168344-0.021858j 0.011259+0.0660995j 0.0291113+0.0282559j 0.00453023-0.127128j 0.0137362-0.0826496j -0.00942428-0.0852223j -0.0344151+0.0795297j 0.0109776-0.0652921j -0.0241859+0.121079j -0.0155226+0.118516j 0.0214398+0.025248j -0.296738+0.00176441j 0.00548367+0.0783855j -0.0426911-0.0268496j 0.0309497-0.0234223j 0.0102013+0.0691818j -0.0169978+0.0425809j 0.11644-0.00301517j -0.0701724-0.00324868j 0.0350789+0.0252105j 
0.0321108+0.0126468j 0.0245237-0.00770341j -0.0638226-0.0163987j -0.0225552-0.00999084j -0.0106039-0.0255965j 0.0177642-0.0276386j 0.018457-0.00127961j 0.0341647-0.0124318j 0.0171539+0.00389318j -0.0054762-0.00184691j 0.00286025-0.0155113j -0.00374111+0.0116433j -0.00357606+0.00971652j -0.00445875+0.0230033j 0.00413539-0.0132121j 0.0110048-0.00115769j 0.00116558+0.00852632j 0.0142667+0.0110551j -0.0248463+0.00213648j 0.0162678-0.0016436j 0.0146841+0.0116023j 0.00375909+0.0241633j 0.00256336+0.00206307j 0.0154937+0.000341339j 0.0177329+0.00246115j 0.00280113-0.0141563j 0.0105814+0.0195365j -0.0142729+0.0433627j -0.00369171-0.0326999j -0.0147568-0.017939j 0.0220664-0.0130369j 0.0186477-0.0150127j 0.0180087+0.0167816j 0.000816149+0.0122807j 0.0311558+0.015438j 0.0327817-0.0050217j 0.0386401-0.0166538j 0.00112192-0.00667776j -0.0252748+0.00409897j -0.0136866+0.0103023j -0.0113611+0.00498551j 0.0531454+0.00748289j -0.0029241+0.0103876j 0.0251468+0.00214682j -0.00102457+0.0016691j 0.0280245-0.0149566j -0.0111259-0.00336811j -0.0289621+0.0028637j -0.0167842-0.00361722j -0.0249919-0.00369797j -0.0701579-0.0128509j -0.0309575+0.0134404j -0.0167416-0.0106499j 0.013776-0.00593504j 0.00942209+0.020663j 0.0613776-0.0265878j 0.0789568+0.0173971j 0.0473997-0.0220408j 0.0287697-0.0303223j 0.000603934+0.00730868j 0.0539444+0.00100264j 0.0217255+0.00843865j -0.0286721-0.0105049j -0.0342884+0.00629264j -0.00741916-0.0121988j 0.0523284-0.00519756j -0.00526179-0.0151904j -0.0334939+0.0047085j -0.00199527+0.0114556j 0.0262029-0.018976j -0.0116633+0.00385566j -0.0300712+0.0228936j 0.0121048+0.0588797j 0.037542-0.0434116j 0.00768622-0.0105704j 0.0262832-0.0374577j -0.0404439-0.0738757j 0.0359825+0.141977j -0.00144395-0.0911703j 0.0574591+0.095888j -0.0365693+0.00491134j 0.0750768-0.10848j 0.025785-0.0149656j 0.000351543+0.0348846j 0.0542954+0.0820537j 0.17728-0.00741415j -0.208474+0.0781007j -0.138758-0.180119j -0.0104739-0.0272707j -0.0292496+0.0283886j 0.0329231-0.0671863j -0.0220659+0.0101167j 0.0350958+0.0143901j -0.218821+0.0200184j -0.0602087+0.048895j -0.0275211+0.00474569j 0.0155842-0.00783771j 
0.0210426+0.000751834j 0.0329218-0.00581198j 0.0235309+0.000787661j -0.000158598+0.00759801j -0.0172444+0.00302669j 0.026892-0.0137893j -0.0158265-0.0132372j 0.0208852-0.00753264j -0.00835685+0.00220731j 0.00879046-0.00561476j 0.00186939-0.00315506j 0.0143407+0.000540503j -0.0355791+0.00538197j -0.0323184+0.00746555j 0.0130594+0.00713186j 0.0248144-0.00294877j -0.0393081+0.00464936j -0.0104488-0.000471999j 0.0130038+0.00199421j 0.0176989-0.00645899j -0.0130055-0.00319777j -0.0240359+0.00129507j 0.0094408+0.00641921j -0.00269524-0.000639257j 0.0438485+0.0119906j 0.00869927-0.0021788j 0.0247844-0.00139321j -0.0471637-0.0213909j 0.000720237-0.00830073j -0.0031673-0.0060139j -0.0540479-0.00783904j -0.0402586-0.00295772j -0.00119905+0.0167207j -0.0010324+0.00660111j 0.0247192+0.00536707j 0.0176596+0.00143825j 0.0319579+0.00410557j 0.0223943+0.0190063j -0.045234-0.00434032j 0.0196536-0.00165494j -0.0546783-0.00557256j -0.0779756+0.0183731j 0.0183972+0.0120251j -0.0983432+0.00194512j 0.0229351+0.0277454j -0.00974219-0.00165124j 0.0645103-0.00276614j -0.00480573-0.00773741j 0.0681353-0.00687208j -0.0242879-0.0188983j 0.0431943-0.0159757j 0.0348694+0.0126516j 0.0292461-0.00442425j -0.14006-0.0110078j -0.0307039+0.0339623j 0.0903594-0.00142734j -0.0656645+0.0365478j 0.05025+0.0123744j -0.0568508-0.00942928j -0.0974378+0.000639447j 0.0489772+0.00512573j 0.026257+0.0147718j -0.0368307+0.0110624j -0.0162246-0.0332617j 0.073292-0.00888155j 0.0961052+0.0283403j 0.0650614+0.0549074j -0.0977686-0.03296j -0.00187747+0.00485954j 0.0143233-0.00935238j -0.076704-0.0524178j -0.0372549-0.0316831j -0.0305273-0.0253569j 0.0493329+0.0320244j -0.0225105+0.00257632j 0.046115+0.0231721j 0.0637734-0.0286579j -0.0473267-0.0160958j 0.00880601-0.0502905j 0.0516814-0.0903309j -0.0200516+0.049557j -0.00747093-0.01846j 0.0976711-0.0218269j -0.0882851-0.0561251j 0.152773+0.026944j -0.0390435+0.135781j 0.107744-0.0206248j -0.063028+0.104064j -0.00919821-0.0531382j 0.020538+0.0182379j -0.0719108+0.00508564j 0.0118613+0.0163464j 0.0105509-0.107634j -0.0426712+0.0945684j 0.250187+0.0148093j 0.0474543+0.0262626j -0.0539318-0.0143343j 
