-0.0754207-0.0560065j 0.0555509+0.0248358j -0.00327451+0.0033647j -0.096763+0.0311931j 0.0149203+0.00557259j 0.0373427+0.00815113j -0.0201719+0.0211589j -0.00217257-0.0544056j -0.0469567+0.023685j 0.0320897-0.0190657j -0.0200746+0.00682683j -0.0191445-0.017315j -0.0134137+0.00306953j 0.027185-0.0037548j 0.00972769+0.00597042j 0.0193452-0.00610664j -0.0118915+0.00648884j 0.00331359+0.0210649j -0.0162589-0.00351878j 0.00419069+0.0103688j 0.026345+0.0033989j 0.00532699-0.0100291j -0.0127141-0.00633358j -0.000979238-0.00879534j -0.0173417+0.00186326j -0.0157533+0.000756771j 0.00162107-0.0109436j 0.0175069-0.00338405j 0.00843069-0.0146966j -0.0121981-0.0206872j -0.00409657+0.0135273j 0.0186577-0.0257731j 0.0170871+0.00913775j -0.00776557-0.00204254j 0.0128296+0.0022731j -0.0228301+0.00657213j -0.011522+0.00304494j -0.00485522+0.0206425j 0.0052946+0.0170526j -0.00387036-0.00298607j 0.0148547-0.0218174j 0.0130337+0.00550673j 0.0119037-0.00278518j -0.0257673-0.0048625j 0.00842048-0.00271142j -0.00280913-0.0165345j 0.0148901+0.00493195j -0.00432395+0.000796473j -0.000801435-0.00820035j -0.00902065-0.00245193j 0.0155642+0.0167845j -0.0110425+0.00786161j -0.0132801+0.0166364j -0.0107416+0.000561688j 0.00116523-0.000507806j -0.00331476-0.00459729j 0.00467314+0.0153242j -0.000628843+0.00108861j -0.00454159-0.0205481j -0.000784417-0.00564553j 0.00316712+0.00604616j 0.0107772-0.0097873j -0.00230493+0.0137095j 0.038133+0.00964527j -0.0194055-0.0259171j -0.00186201-0.0174729j 0.0123259+0.00723216j 0.00438858-0.00393079j -0.00860466-0.00687025j 0.0255925+0.00113154j -0.00438806-0.0111345j 0.00633962+0.0157477j 0.00729761-0.00919608j -0.0101795+0.00298782j 0.00919756+0.0175478j 0.0187517+0.05458j 0.00076734+0.0310333j 0.00178242+0.0522106j -0.0154967+0.0221343j 0.0393262-0.0200914j -0.0825443-0.0028123j -0.00974336-0.0483105j -0.0884327-0.000304336j 0.00843942+0.0126246j 0.051706-0.122024j 0.0236853-0.00827073j 0.0386318+0.0266702j -0.0198414-0.0357099j -0.0753507-0.0348219j -0.00247325+0.101045j -0.0369646-0.0181103j -0.0107591+0.017994j -0.00766379-0.0176809j -0.039193+0.0079387j -0.0707963-0.147138j -0.0397712+0.0117805j -0.131699-0.1384j 
-0.0596646-0.0296814j -0.0736323-0.0616261j -0.0836045+0.0111026j -0.0210809-0.0122616j 0.0160392+0.0277092j 0.00153054-0.00528881j 0.0296407-0.01729j 0.0414407-0.0141206j 0.00178437-0.0334897j 0.0124729+0.0414607j 0.0119838+0.00304145j 0.0247664+0.0139543j 0.0119474-0.0119722j 0.0227312-0.0017783j 0.00428704+0.00469103j 0.0142461+0.0137401j 0.00432398-0.0277913j -0.0234113+0.0411418j -0.000981054-0.00855436j -0.0114876-0.00249022j -0.00730866+0.0219976j -0.0136359+0.0163944j 0.00655407-0.00590535j -0.00721873+0.0112217j 0.0113661-0.0146613j -0.0012144-0.00681074j 0.0137413+0.00995544j 0.00201759+0.00905204j -0.00135676+0.011092j 0.0262629+0.00677949j 0.00320049-0.0197581j 0.0131734+0.00180343j -0.00297132+0.0146393j -0.0200396+0.0181642j 0.0010157-0.0036877j -0.00356935-0.0227242j -0.0156375-0.0121247j -0.00456096-0.00066119j 0.01259-0.0188172j 0.00956933-0.00640818j -0.00125515+0.0117401j -0.00630746+0.0116396j -0.0074981+0.00571985j -0.0108114-0.022055j 0.00132034-0.00460321j 0.00146055+0.00241903j -0.0124566+0.00259064j -0.00147007-0.00356855j -0.0166713+0.00878527j 0.0238463-0.0135777j 3.942e-05+0.0106034j 0.00549108-0.0113948j 0.00534095-0.0110168j 0.00275895-0.00273574j -0.000643699-0.000367323j 0.0128473+0.00177306j -0.000306716+0.022599j -0.00476461+0.0234095j 0.0184856-0.00432721j -0.00759037+0.0111194j -0.00936523+0.00851419j 0.00632066-0.00649322j -0.0137858+0.00675331j -0.00871897+0.0196851j 0.0201321-0.0143549j 0.0227617-0.0237264j -0.00557117+0.0242181j 0.0106596-0.0160469j 0.000256562-0.0177262j 0.0305482+0.0167481j -0.0106028+0.00127662j 0.0221848+0.00794179j -0.0226059-0.034981j 0.0198761-0.0177019j -0.00344828+0.00557085j -0.0192792+0.0259115j -0.0440654-0.0148953j -0.0379308-0.0078101j -0.0333418-0.0253887j 0.0507779+0.0322557j 0.0272737-0.057995j 0.0529364-0.0286654j 0.0367632-0.0762485j -0.0329984+0.0545362j 0.0833524+0.0311529j 0.0066544-0.0192049j -0.0418495+0.00337705j 0.0342799-0.00676848j 0.0110482-0.136876j -0.0735722-0.0500091j -0.0544917-0.0207759j 0.00189577+0.0136686j -0.0197015+0.0163801j -0.0414195-0.119501j 0.086251-0.0441515j -0.113604-0.123637j 0.0569752-0.0317484j 
0.010463+0.00524846j 0.0278008+0.113371j 0.0131905+0.0466082j 0.015396+0.0485654j -0.0285768-0.0411134j -0.0287309+0.00386868j 0.0714062-0.018925j -0.0588304-0.0062558j -0.026803+0.0454395j -0.0466542-0.000333227j -0.00301565+0.00456466j -0.0368482+0.025221j 0.0153297-0.0298498j -0.0161978-0.0320891j 0.00134843-0.0183676j -0.0192703-0.004886j 0.0303885-0.0212604j -0.00372754+0.000175978j -0.00359575-0.00655454j 0.00786408-0.0101054j -0.00237658-0.0079042j -0.0188552+0.0337998j 0.0204085-0.0125074j -0.0267237+0.00640705j 0.0206697-0.000134362j -0.00274746-0.0022145j -0.0179945+0.0147771j 0.00317309-0.0141307j 0.0182993+0.0222826j -0.00428979-0.00308407j 0.022752-0.0245741j 0.0204589+0.0108447j -0.0270021-0.0141384j 0.0123673-0.0159093j 0.0237665-0.00230841j 0.0246213+0.0301485j 0.00128164+0.00472679j 0.00834482-0.0236208j 0.0171874-0.0191372j 0.0176318+0.0191258j -0.0294648+0.0202533j -0.000869499+0.0279058j -0.00567866-0.00689446j 0.0226101+0.015364j -0.00692597+0.0161803j -0.000820736+0.00195224j -0.00163139-0.0101487j 0.0377606+0.0273787j -0.040411-0.00739912j -1.53672e-05+0.011047j 0.0255369-0.0124914j 0.00140912+0.0195496j 0.0120659+0.0106885j -0.00177822+0.00787856j -0.0111153+0.0137373j -0.0288741+0.0186233j 0.00319521+0.0455764j -0.0388668+0.00279154j -0.0161976+0.00467942j 0.0256238-0.015733j 0.0291316-0.00697571j -0.0462164+0.0247713j 0.00959125-0.0177939j -0.0408788-0.00632617j -0.0141712+0.024735j 0.00578073+0.0273053j -0.0164731-0.00742521j -0.0161749+0.00725841j -0.0339446+0.0501359j -0.0314881+0.0163825j 0.00290063-0.0126797j -0.0344121+0.0215443j -0.0545667-0.0259143j -0.0529634+0.0204301j 0.00112211-0.0347404j 0.037784+0.0194083j 0.0205905-0.0729505j -0.0643377+0.00417239j -0.031828+0.023865j 0.0410398+0.0164432j 0.0102775-0.00997729j 0.0306042-0.071146j -0.00122799-0.0381596j 0.0378529-0.048949j -0.0546695-0.0582019j 0.0200169+0.0100172j 0.0542157+0.0248971j -0.0251914+0.0222986j -0.0393316+0.013136j -0.025421+0.0290909j -0.124758-0.0989138j 0.00854404+0.0157108j -0.0160642-0.00698434j -0.0572532+0.00370161j 0.148323+0.0628775j -0.270852+0.23473j 0.136084+0.158329j 
0.00408094+0.10209j 0.017832-0.0345393j 0.0500861-0.0493789j -0.0238553-0.0389539j 0.0271444+0.00925992j 0.000476747-0.0314801j -0.0675294-0.0078877j -0.003158+0.0297422j 0.0247324+0.0197263j -0.0240037+0.00103075j 0.0183704-0.00305102j -0.00973225+0.0181332j 0.00456623-0.00209986j -0.00466853+0.0159658j 0.0140833+0.0319193j -0.02897-0.00108503j -0.00686085+0.0075214j -0.0305898-0.012207j 0.00630138+0.0205339j -0.0157048+0.0140039j -0.0299624-0.0112123j 0.0311126+0.00876207j -0.00560658+0.00376043j 0.0191834-0.00319635j 0.00879967-0.00842075j 0.00492244-0.00963856j -0.0141387+0.0237258j -0.0185741-0.00776977j -0.0070279+0.0043674j 0.0171379+0.0172115j -0.0140661-0.00789852j -0.0194368-0.00769107j 0.0135736+0.0258756j -0.00630381-0.0095671j -0.0194409+0.0277312j 0.0125647+0.00404704j 0.0115457-0.00273664j -0.000705365-0.00379373j -0.0199694+0.0109009j -0.00310984-0.0169532j -0.0152015-0.00128231j 0.0225305+0.00668785j -0.00904887+0.00806726j 0.00400899-0.0172374j 0.0139048+0.00217407j -0.00382025+0.00746375j -0.0298212+0.00593269j 0.0143332-0.0242362j 0.0153473+0.0190179j 0.00512753+0.0401105j -0.00853151-0.00627219j 0.012673+0.00408878j -0.0201312+0.00347168j 0.0137085-0.0140691j 0.0190542-0.0397827j 0.0365645+0.00907253j 0.0194365+0.027682j -0.00448027+0.0277749j 0.00232081+0.032287j -0.033903+0.0202794j -0.0276108-0.00237568j -0.00180446+0.0337158j 0.00473222-0.0274812j -0.0408388+0.0300232j 0.0347646-0.00316379j 0.0014285+0.031847j -0.0102155-0.00740463j -0.0143818+0.0210211j 0.0202261+0.023183j 0.00452644+0.0159565j 0.0309382-0.0124013j 0.00593096+0.0442825j -0.0311593+0.0266402j -0.0229085+0.031j -0.0212813-0.0201504j 0.0148975-0.045154j -0.0276723-0.0650758j 0.018929+0.0709433j 0.064684+0.00511529j -0.0191819-0.077829j 0.00542326-0.00710873j -0.0326587-0.0125458j -0.0314699-0.0248374j -0.123168-0.00694999j -0.0153149+0.0765288j 0.0291259+0.0226617j 0.0983305-0.0029735j -0.0294947-0.0241474j -0.038452+0.0343054j 0.109623-0.0206068j -0.0980495+0.0576583j 0.0216478+0.0149438j -0.0222631-0.0113364j -0.0131731+0.0598503j 0.0981153-0.15515j -0.0793462-0.154509j -0.272155+0.200331j 
0.0262779+0.0278594j -0.0148523+0.0135709j 0.0252503+0.0336432j 0.0849907+0.0251433j 0.0470552+0.0340363j 0.0108253+0.0022001j 0.0569145+0.00537672j -0.0197062+0.0283052j 0.0437964-0.000266259j 0.0294425-0.0134782j 0.0377305-0.0170749j 0.0161938+0.0296512j 0.00361224+0.0137953j -0.0391946-0.0244142j 0.0387986-0.0381161j -0.00711963+0.0199136j 0.0387425+0.0497256j -0.0220063+0.0103527j 0.0210591+0.0365879j 0.0054604-0.0180655j -0.0379317+0.0131034j -0.0526259-0.0157667j -0.0129855+0.0402792j -0.0126393-0.000442838j 0.0158649+0.0072282j -0.0239491-0.00923316j 0.0292922-0.0183714j 0.0174528+0.027042j 0.0160769-0.00113393j 0.0296014+0.0183755j -0.01294-0.0132449j 0.000471688+0.00656578j -0.00259446-0.0163924j -0.0309399+0.0154409j -0.0102486+0.0242946j -0.00295499+0.000856312j 0.000534455-0.0211633j 0.012858-0.00605641j 0.0221909-0.004315j 0.0028866+0.015751j -0.00379293+0.0250848j -0.0336263-0.0512475j -0.0256653+0.0257138j -0.0409129+0.0284738j 0.0123768-0.0168236j -0.0453311+0.00732879j 0.00403719+0.0241623j -0.0255045-0.00814578j -0.0165369-0.033367j 0.000677682+0.0118868j -0.0301766-0.012751j -0.00571769-0.0153027j 0.044897-0.0427728j -0.0218472-0.00251019j -0.0254651-0.0191856j -0.0174827-0.0103665j -0.0186678-0.0156151j -0.00593788-0.00706861j 0.0154856-0.00867203j -0.00787769+0.0174247j 0.00942499-0.0165295j 0.00765727-0.0366561j -0.0177006+0.0137443j -0.0064731-0.00872971j -0.00724567+0.0243134j 0.00339975-0.0347669j 0.0248277+0.0131095j 0.000260368-0.00901654j 0.0388063+0.0411891j 0.00347229-0.0107448j 0.0499357-0.0392751j 0.0119428+0.0305502j 0.0285764+0.0174781j -0.0187518+0.0463231j -0.0154239-0.0345425j -0.0104773-0.0344963j -0.0376844+0.00735631j -0.0438119-0.050434j -0.0885566-0.00397486j -0.0406846+0.0600849j 0.053376+0.0664275j 0.00683488+0.0173843j -0.0175469-0.101879j -0.0271543+0.0240387j -0.0300778+0.0209597j -0.0473561+0.0395507j -0.0903725-0.0531647j -0.0528304-0.0458809j 0.0615655+0.00296772j -0.0395724-0.0724331j 0.0298186+0.0029935j 0.0388376-0.04242j -0.114455-0.0334962j -0.0800294+0.0140473j 0.0540701+0.0416148j -0.0148505+0.0422034j 0.110473-0.0243336j 
-0.0187352+0.0311509j -0.0129587-0.0464377j -0.0367039-0.0409488j 0.0131908-0.000422321j -0.0405065+0.00505887j 0.0643313+0.0428292j 0.019146-0.00940657j -0.0163032+0.0144396j 0.0278956-0.0360167j -0.0170158+0.0290511j -0.0610962+0.0139996j 0.0139258+0.00529304j 0.0206073+0.00345282j 0.0224689+0.0399137j -0.00584641-0.0200433j 0.00470121-0.0137413j 0.0386482-0.0403402j -0.014367+0.0416177j 0.00569044-0.0113817j 0.00667531-0.0104231j 0.0084199+0.0368668j -0.0393747+0.00839121j 0.0447898+0.0172972j -0.0280476+0.020441j -0.0103551-0.00514003j 0.013551+0.00529209j -0.00764121-0.0113609j 0.0160954-0.0177401j 0.0321668-0.0103129j -0.00418611-0.0254543j 0.00456091-0.0296073j -0.00521003+0.0200854j -0.0303124-0.0120176j -0.028791-0.00183571j -0.0290983+0.0033892j 0.0112005-0.0217878j -0.0256984+0.00250584j -0.0405286-0.0121823j 0.022186-0.0141578j 0.023345-0.00565896j 0.0130363+0.0053454j -0.0232838+0.00884627j -0.00633732-0.00625087j -0.0101999-0.0151978j -0.0219097-0.0113483j 0.00532337+0.0258011j 0.0163234-0.0217426j -0.0100162-0.00358083j -0.0178193-0.0124503j 0.0260388-0.00834598j 0.000494006+0.0478536j -0.0125113+0.0110241j -0.0446465+0.028009j -0.031419+0.0243743j 8.25113e-05+0.0141178j -0.00800413-0.0227625j -0.0260184+0.0161728j -0.0156536+0.00815319j -0.0248353+0.0152127j 0.00620522+0.0394046j -0.0403531+0.010717j -0.0167712-0.0105222j 0.0116539-0.0205265j -0.000592702+0.000722168j 0.00293004+0.0116508j -0.0184463-0.0152857j -0.0269795+0.0311549j -0.0286403-0.0159612j -0.00530263-0.0262815j -0.0236975+0.0218248j -0.0380594-0.0268743j 0.0296029-0.00632346j 0.0130926-0.0535872j 0.0208456+0.0235409j -0.0283207+0.000235941j 0.0149849+0.00695592j -0.043684+0.0310757j -0.0158485+0.0274716j 0.00218573+0.110253j 0.089241+0.0462364j 0.0210196-0.0315229j 0.0687741+0.0232145j -0.071392+0.00304675j -0.0113383+0.0590611j -0.0223675+0.00638987j 0.0707164+0.0824693j 0.000583323+0.0144619j -0.0153187+0.0733041j -0.0306222-0.0835236j -0.0445082-0.00837554j -0.0863936-0.00997175j -0.0960693-0.0336219j -0.0584026+0.0626585j -0.0211376+0.0231928j 0.00459248-0.0592247j -0.1123+0.0074883j -0.0639059+0.0768866j 
0.0694834-0.00245471j -0.014635-0.0285633j -0.0218188+0.0514728j 0.069318+0.0482412j -0.01734-0.0191727j -0.0430389-0.00957177j 0.0234803+0.050963j 0.0452675+0.0248371j -0.039022-0.0213606j 0.0134158-0.0151389j 0.0152399-0.0257496j 0.018919+0.0393753j 0.0501633+0.0445109j 0.0197439+0.0111607j -0.0304034-0.00235107j 0.0500106+0.0323362j 0.0231105+0.0222534j 0.0337916-0.000841709j 0.0112051-0.026776j 0.0270699-0.0234131j 0.0166205-0.0417236j 0.0172226-0.0173237j -0.0162058-0.0188338j 0.029317-0.0223067j 0.0283661+0.0473182j -0.00812141-0.0232974j 0.0262444-0.0140715j -0.00086447+0.0272058j -0.0146985-0.0064796j 0.00892147-0.0032303j 0.0216132+0.0347413j -0.0100064+0.0120573j 0.00330024-0.0383806j 0.0100278+0.0236527j 0.0343978+0.0240694j -0.0150457-0.00137951j 0.0235496-0.0389498j -0.0109282+0.0288684j -0.000557033+0.0206721j 0.00750921+0.0117019j 0.0532736+0.00550196j -0.0543294+0.00369461j 0.011141+0.0150086j 0.00274979+0.00448645j -0.0189595+0.0242356j -0.0202708-0.0231629j 0.0241337-0.00466489j -0.0238098+0.0328886j -0.0138586-0.00834704j -0.0197752-0.0153395j -0.0333108-0.0531746j -0.0106378-0.0184551j 0.0516825+0.0294044j 0.000791582-0.020307j -0.0267199-0.0418717j 0.0176644+0.010753j -0.0131465+0.0447538j 0.0353244+0.0123549j 0.0229138+0.00275863j 0.0208018+0.0239437j -0.0156213+0.0420205j 0.00186667-0.0224149j -0.020305+0.00839878j -0.0169107-0.00398883j 0.0435161+0.054377j 0.0402415-0.0119203j -0.0231433+0.0336962j 0.0543237+0.0391251j -0.00614058-0.0146476j -0.0328789-0.00055069j 0.0652265+0.0555992j 0.0116397+0.0245258j 0.0415257+0.0397312j 0.0278795-0.0304292j -0.0424538+0.040783j -0.106895-0.0357169j 0.0169013-0.00856611j -0.021609-0.0587081j 0.0380437-0.0233748j -0.0153998-0.0335078j -0.00990209-0.0130422j -0.0310929-0.0114939j -0.0176542+0.0120943j -0.0310144+0.0929135j 0.0315346-0.03138j -0.00575174+0.00769331j 0.041873-0.0110745j 0.0189564+0.0417216j -0.0120836+0.089518j 0.0308094+0.0059188j -0.0368704+0.0639331j 0.0139169+0.00180379j 0.00392423+0.0484773j -0.166275+0.27967j 0.222704+0.182298j 0.105439-0.0531517j 0.0521778+0.042273j 
-0.0367221+0.0942776j -0.0265957-0.0112893j 0.00387853-0.0419218j 0.00405966+0.009045j -0.00968411-0.00228616j -0.0183679-0.0604654j 0.056652+0.0322126j -0.026739+0.02399j -0.0493681+0.0072113j -0.0447907+0.00226118j 0.0174315+0.0133962j 0.0118451+0.0441936j 0.0310964+0.03755j 0.0312021+0.00277982j 0.00479598+0.046613j -0.0119718+0.0106892j 0.0589124+0.0389842j -0.0632661-0.0542567j -0.0547228+0.00874301j -0.0150231+0.0083118j -0.00457035-0.0276958j 0.0220369+0.0199969j 0.0208718-0.058582j -0.00224511-0.035374j 0.020844+0.0445285j -0.0257653-0.0512537j -0.014476+0.0167936j 0.0321982-0.0208438j 0.0316585+0.00343063j 0.0475683+0.0197448j -0.000305791+0.00973397j 0.0524235-0.0475575j -0.0150042-0.00326671j -0.0183284+0.0207753j 0.00808573+0.00898847j -0.00841244-0.0214164j -0.00861526-0.0217027j -0.0330831-0.00865683j 0.0106984+0.0467332j 0.0660219+0.0447558j 0.02059+0.0292284j -0.0292018+0.00358067j 0.0195934-0.00887944j -0.0059528-0.00564716j 0.0132109+0.0234142j -0.0228648-0.0215598j -0.042473+0.000773771j 0.0652316+0.0161216j -0.00576599-0.0170879j -0.0444277+0.00488287j -0.0337159-0.0536033j -0.0051744-0.0126791j -0.0316481+0.0129426j -0.00119352-0.031773j -0.0188905-0.0600183j 0.0240132+0.019662j -0.00197505-0.0397057j -0.0429671-0.0167148j -0.019722+0.0266412j -0.042788-0.0184208j -0.0381671+0.00217556j -0.0141492+0.0485136j 0.0353293+0.00303362j 0.00476233+0.0486942j 0.0360145+0.049121j -0.0271902-0.0293938j -0.0145235+0.0174818j 0.00551466+0.0428359j -0.0209332-0.00794553j -0.0150688-0.0139955j 0.0507096-0.0397894j 0.00125034+0.0249599j 0.00544923+0.0658015j -0.0188478-0.0599446j 0.0447914-0.0383739j -0.0355776-0.04931j -0.0797861-0.0145322j -0.138591-0.0159473j -0.0226822+0.0117153j 0.0493525+0.0181733j -0.0128805+0.0201625j -0.0237617-0.0346491j -0.00370745+0.0409442j 0.0728075-0.092804j -0.0344484+0.018191j 0.0163125+0.0140248j -0.0224221+0.0132437j 0.00932284+0.0232468j 0.00404976+0.094454j 0.0267508+0.0767408j -0.0214696-0.0214863j -0.0555414-0.030957j 0.0420207-0.0774739j 0.123831-0.0953818j 0.114507-0.00906212j -0.108602+0.0439352j 0.0429422+0.132478j 
0.0140249+0.0441798j 0.0234681+0.0686829j 0.0368327+0.022908j -0.0186714+0.0286483j -0.0209681-0.0388689j 0.0130345-0.0151112j -0.0335091+0.0339778j 0.0317527+0.0640095j -0.00982893+0.0335991j -0.0139147-0.0112189j -0.0337594-0.0211317j 0.0260297+0.0593348j -0.0243021+0.0815792j -0.000803138-0.00428906j -0.024269+0.0308282j 0.0281149-0.00468861j -0.0209278+0.00501104j -0.0186648-0.0388608j 0.0218156+0.000209855j -0.0048398+0.0206087j -0.00792258+0.00479845j -0.00654396+0.0508693j 0.03262-0.00935071j 0.0107578-0.00119192j -0.0341555+0.0416977j 0.0108794-0.0181479j -0.00364231+0.0185565j -0.000490625-0.0652624j -0.027331+0.00754357j 0.0250402+0.0178405j -0.0211199+0.0341098j -0.0102709-0.0414016j 0.0333825+0.0300123j -0.0295569-0.0256176j 0.0376387-0.00531638j 0.0541543-0.010309j 0.0233459+0.0136312j -0.00682053+0.0169125j -0.0501348+0.0165549j -0.00197214+0.0355584j 0.0251758+0.030013j 0.0362983+0.0118761j -0.00686064-0.00214452j -0.030403+0.0132828j -0.0117516-0.0122266j 0.0428737-0.0131579j 0.010692-0.00412203j 0.000539908+0.0613892j 0.00239482+0.0324007j 0.0415405-0.0422627j 0.0660078+0.0533377j 0.042377+0.0124972j -0.0303591+0.0276208j 0.00720392-0.0139878j 0.0572295-0.0379806j 0.0101085+0.0341023j 0.00078222+0.0323279j 0.0347671-0.0405108j 0.0247782-0.00397723j -0.0146755-0.00354172j -0.00518813-0.0278675j 0.0488748+0.0117273j -0.0155757+0.01592j -0.0298809+0.0322758j -0.020028+0.0375915j 0.0281758-0.00775589j -0.0221243-0.0330294j -0.00584727+0.0719465j 0.00217579-0.00323071j 0.00245691-0.0223463j 0.0358664+0.0683582j -0.0330313-0.00193569j 0.00928304+0.0311426j 0.121345+0.0902287j 0.0129015-0.0330966j 0.0284482-0.0703333j -0.00354844-0.0326887j 0.124638-0.0394594j 0.0351129+0.0529004j -0.0577918+0.0247646j -0.00286288-0.00168784j 0.0457679-0.0820176j -0.00191705-0.00769617j -0.0341615-0.0194994j 0.0416103-0.114121j 0.0299899+0.028991j 0.0321839+0.0309187j -0.0296752+0.0177485j -0.0419531-0.00046262j -0.0505406+0.144208j 0.0618104-0.144073j -0.0259212-0.0202954j 0.0369453-0.0801112j 0.201514+0.0787169j -0.033849-0.0560195j 0.0645451+0.123785j -0.0103206+0.00785501j 
-0.0189593+0.0246411j 0.0281547-0.0344479j 0.0166748-0.0337463j -0.0231162-0.00919985j 0.00700078+0.0704624j 0.023401+0.0778163j -0.0593948+0.0408168j -0.0117214+0.00463611j -0.0126802-0.0394369j -0.0271772-0.0147124j 0.0306933-0.0961529j -0.0495765+0.0118926j 0.0960428+0.0262402j -0.0159612+0.0912995j -0.0479866+0.0111445j 0.0316824-0.0111904j -0.0231098+0.00460733j -0.0209589+0.0808435j 0.0186432+0.0297011j 0.0311224+0.0154496j -0.0215417-0.0201172j 0.102156-0.054065j -0.0626967+0.0360996j 0.0826847-0.0110805j 0.0316379-0.0432191j -0.00556517+0.0139869j -0.024902-0.0671189j -0.0746291+0.072744j -0.0130522-0.0171669j -0.0264479-0.0107229j -0.0404571-0.00364841j -0.10474+0.0696749j 0.0150661+0.0167086j -0.0106701+0.01721j -0.0132951+0.0254152j -0.0201462+0.00158336j 0.0123824-0.0078358j 0.0212382+0.0328976j -0.0193251-0.0175999j 0.035139-0.0322201j 0.0325912-0.00168627j -0.00978154-0.000592689j -0.0446547+0.00798442j -0.0258061+0.00562581j 0.00182526+0.0155867j -0.00956992+0.053982j 0.0547076-0.0219717j -0.0302064-0.0233644j 0.0197618+0.0385486j 0.00967273+0.0243497j -0.027982-0.0361531j 0.00995958+0.00977114j 0.000376492+0.00583171j -0.0333663+0.0291381j 0.0525921-0.00663877j 0.0122471-0.0211311j -0.00503493-0.014982j 0.0568739+0.0426276j -0.0266195+0.0306085j -0.0240306+0.0263113j -0.0336471+0.0117553j 0.0315978-0.013783j -0.014217+0.0160361j -0.0272697+0.0217115j 0.0542685-0.100202j 0.00394429-0.00139013j -0.0106223-0.0236068j 0.027037+0.0111177j 0.0273473-0.0783655j 0.0482427-0.0341457j -0.0429537+0.0453491j 0.0900991+0.0118273j -0.0226433-0.0309915j 0.0296264-0.0362976j -0.0200481-0.0652275j 0.00550407-0.00712245j 0.0462186+0.089604j 0.0145331+0.0219579j -0.00471187+0.0242411j -0.0994125-0.0162702j -0.0200089+0.0322569j -0.121951+0.00829767j 0.0584866-0.0231915j -0.0289687+0.0399714j 0.0509487+0.00863331j 0.0169664+0.00745405j 0.0496516+0.00835477j 0.100449-0.0230024j -0.0353845+0.00782103j 0.0407002-0.00314637j 0.044631-0.0889267j 0.170672-0.25261j 0.196122+0.0348485j -0.00908577+0.0166934j 0.00639606-0.0202329j 0.0281403-0.028138j -0.0298261-0.0290938j 
0.0124023+0.00884183j 0.0360492-0.0295187j -0.032279+0.0456108j -0.00266533-0.0218885j -0.0145181+0.0467572j -0.0340491-0.0131104j -0.0400717-0.0114953j 0.00910393+0.0081431j 0.00750512+0.00433499j -0.0685538+0.00845116j 0.0558973-0.0674892j -0.0161812+0.0372609j 0.0169109-0.00432013j 0.00294473-0.0198605j 0.0352476-0.0401764j -0.00255442-0.00451545j -0.0140763-0.0139429j -0.0703016+0.0875371j -0.0151959+0.0911534j -0.0329572+0.0434417j -0.0806201+0.0589041j -0.0115563+0.00705493j 0.0437376-0.037745j -0.0135623+0.0262196j 0.0153861-0.00962253j 0.0101398-0.0603882j -0.0344426+0.0641331j 0.0598984-0.0595431j 0.0247959-0.0359986j 0.0740316+0.00881972j 0.0207275+0.0183713j -0.0135936+0.0214485j 0.0838047-0.0115561j -0.0231967+0.00442717j 0.0447775+0.0323956j 0.000852973+0.0212279j 0.00566591-0.0367895j 0.0241263+0.0335105j -0.0144296-0.00449217j 0.0164847-0.007798j -0.057018+0.0346654j 0.0231069-0.0339415j -0.0145719-0.00909992j -0.0141112-0.00697713j 0.0032918-0.0464985j 0.0525057+0.0542905j 0.00822248-0.00483935j -0.017334+0.0140733j -0.0845034-0.00835403j -0.044686+0.0765714j 0.0323917+0.0239293j -0.0126391+0.0338266j -0.0338876+0.0428844j 0.0282039-0.016815j 0.0146323-0.0231502j 0.0528181-0.0886579j -0.101048+0.0649276j -0.0649543+0.0442631j -0.0146305+0.0404541j -0.076746+0.0742879j -0.0368108+0.0801555j 0.00824768-0.0101304j 0.023798-0.00698944j -0.0143138+0.0224978j 0.0366652-0.000516866j -0.00499031-0.00931112j -0.0300124-0.0151127j -0.0832673+0.0307491j -0.065788+0.019351j -0.031182-0.00137597j 0.0347001-0.0393698j -0.0425569-0.0358597j -0.0415194+0.0161193j -0.108879+0.0380182j -0.0175048-0.029373j 0.0485676-0.0620602j -0.0929587+0.0542101j 0.0293761-0.00306759j 0.0887283-0.110297j 0.0510092-0.0538888j 0.0183238-0.0781749j 0.045953-0.0490708j -0.0987149-0.0617302j -0.0820385-0.00338702j 0.0205601+0.0460531j 0.00464204-0.0544412j 0.0138302+0.0831311j -0.138801+0.0777505j 0.00363258+0.0617588j -0.0277941-0.0365143j 0.0300236-0.0766328j -0.0702817+0.0568056j 0.0437582-0.104792j -0.0459392+0.142848j 0.217158-0.112863j -0.0177491-0.0595517j -0.0835967+0.0520584j 
