0.00012334-0j -0.00257227-0j 0.0175748-0j 0.017757-0j -0.000854501-0j -0.000863356-0j 0.0178207-0j -0.0680663-0j 0.0144013-0j 0.0103954-0j 7.28077e-06-0j -0.0550058-0j -0.0397053-0j -0.140594-0j -0.12302-0j 5.88375e-06-0j 4.24712e-06-0j -0.000122706-0j -0.000107368-0j -0.0507432-0j -0.000100999-0j -8.83742e-05-0j -0.0144052-0j -0.0164631-0j -0.000105177-0j -7.51418e-05-0j -0.120509-0j -0.0860961-0j -4.4287e-05-0j 5.11604e-06-0j 4.47653e-06-0j -0.0141113-0j -3.64525e-05-0j -0.00594186-0j -8.65706e-05-0j 4.38517e-06-0j 3.13292e-06-0j -6.1849e-05-0j -0.0100816-0j 1.84648e-06-0j 
-0.00104658-0j 0.00717437-0j 0.00103992-0j 0.0010507-0j 0.0145767-0j 0.0147278-0j -0.0999246-0j 0.00013097-0j -0.0807513-0j -0.0582893-0j -6.17794e-05-0j 0.00010584-0j 7.63991e-05-0j -0.0167247-0j -0.0146341-0j -4.99253e-05-0j -3.6038e-05-0j 0.000342242-0j 0.000299462-0j -0.00603627-0j -0.0820252-0j -0.071772-0j 8.96286e-06-0j 1.02433e-05-0j 0.00029335-0j 0.000209579-0j -0.0143355-0j -0.0102418-0j 0.000123522-0j -4.3411e-05-0j -3.79846e-05-0j 8.77995e-06-0j -0.0296045-0j 3.69699e-06-0j -0.0703073-0j -3.72094e-05-0j -2.65837e-05-0j -0.05023-0j 6.2727e-06-0j -1.56679e-05-0j 
-0.00120848-0j 0.0167436-0j -0.0561942-0j -0.0567765-0j -8.70182e-05-0j -8.79199e-05-0j 0.00120564-0j -0.0144077-0j 0.000974307-0j 0.000703292-0j 0.0103966-0j -0.0116432-0j -0.00840448-0j -0.00467229-0j -0.00408825-0j 0.00840173-0j 0.00606469-0j -0.116407-0j -0.101856-0j -0.00168632-0j -5.11604e-06-0j -4.47653e-06-0j -0.00148676-0j -0.00169915-0j -0.0997772-0j -0.0712843-0j -0.00400482-0j -0.00286118-0j -0.0420134-0j -5.01267e-05-0j -4.38609e-05-0j -0.00145642-0j -1.84648e-06-0j -0.000613257-0j -4.38517e-06-0j -4.29658e-05-0j -3.06962e-05-0j -3.13292e-06-0j -0.00104052-0j -1.80917e-05-0j 
0.00837262-0j 0.00121336-0j 8.70182e-05-0j 8.79199e-05-0j -0.0580054-0j -0.0586066-0j -0.00840614-0j 7.28077e-06-0j -0.00679319-0j -0.00490358-0j -0.0720299-0j 5.88375e-06-0j 4.24712e-06-0j -0.000696124-0j -0.000609109-0j -0.0582089-0j -0.0420174-0j -0.00843563-0j -0.00738118-0j -0.000251245-0j -0.00685604-0j -0.00599904-0j 3.73044e-07-0j 4.26336e-07-0j -0.00723054-0j -0.00516575-0j -0.000596678-0j -0.000426287-0j -0.00304458-0j 0.000347288-0j 0.000303877-0j 3.65431e-07-0j -0.00247448-0j 1.53873e-07-0j -0.00587661-0j 0.000297675-0j 0.00021267-0j -0.00419845-0j 2.61077e-07-0j 0.000125343-0j 
0.00121336-0j -0.000118392-0j -0.00120564-0j 0.00118346-0j -0.00840614-0j 0.00825147-0j 0.000820221-0j -2.16128e-06-0j 0.0465679-0j -0.0657935-0j -0.000148581-0j -0.000122706-0j 0.000173366-0j 0.000137283-0j -0.00819901-0j -0.00843563-0j 0.0119183-0j 0.000823099-0j -0.0491581-0j -0.0102448-0j -1.41424e-05-0j 0.000844631-0j 1.00954e-05-0j -1.69036e-07-0j 0.0495659-0j 0.0354116-0j 0.00826702-0j 0.00590625-0j -0.0614242-0j 7.16374e-07-0j -4.27842e-05-0j -1.01791e-05-0j 0.00105539-0j 1.26144e-05-0j -0.000851637-0j 4.31391e-05-0j 3.08201e-05-0j -0.000608439-0j -7.27231e-06-0j -5.34598e-05-0j 
0.0102543-0j -0.0702942-0j -0.0101891-0j -0.0102947-0j 0.000738374-0j 0.000746025-0j -0.00506161-0j -0.00128324-0j -0.0040904-0j -0.00295261-0j 0.000605312-0j -0.00103701-0j -0.000748555-0j -0.000847179-0j -0.000741282-0j 0.000489166-0j 0.000353099-0j -0.00335327-0j -0.00293411-0j -0.000305763-0j 4.3411e-05-0j 3.79846e-05-0j -8.78178e-05-0j -0.000100363-0j -0.00287423-0j -0.00205345-0j -0.000726154-0j -0.000518789-0j -0.00121026-0j -0.0833183-0j -0.0729035-0j -8.60256e-05-0j 1.56679e-05-0j -3.6223e-05-0j 3.72094e-05-0j -0.0714157-0j -0.0510218-0j 2.65837e-05-0j -6.14596e-05-0j -0.0300712-0j 
-5.62969e-06-0j 0.000196223-0j -0.00270205-0j -0.00273005-0j -4.05372e-07-0j -4.09573e-07-0j 1.41293e-05-0j 0.0324208-0j 1.14182e-05-0j 8.24208e-06-0j -3.3232e-07-0j 0.0262-0j 0.0189121-0j -0.000224663-0j -0.00019658-0j -2.68555e-07-0j -1.93853e-07-0j 9.36052e-06-0j 8.19045e-06-0j -8.10853e-05-0j -2.38329e-08-0j -2.08538e-08-0j -0.157135-0j -0.179583-0j 8.0233e-06-0j 5.73212e-06-0j -0.000192569-0j -0.000137578-0j 3.37839e-06-0j -2.33514e-07-0j -2.04325e-07-0j -0.153928-0j -8.60176e-09-0j -0.0648149-0j -2.04282e-08-0j -2.00155e-07-0j -1.42998e-07-0j -1.45946e-08-0j -0.109972-0j -8.42797e-08-0j 
-0.000101113-0j 3.00152e-05-0j -0.0144077-0j 0.0141426-0j -7.28077e-06-0j 7.14681e-06-0j 2.16128e-06-0j 0.000794249-0j 0.000122706-0j -0.000173366-0j 1.23817e-05-0j 0.0450933-0j -0.0637102-0j -1.70512e-05-0j 0.00101835-0j 0.000702969-0j -0.000993192-0j -0.000208675-0j 0.0124627-0j 0.00127246-0j -6.09288e-09-0j 3.63887e-07-0j -0.0114731-0j 0.000192104-0j -0.0125661-0j -0.00897767-0j -0.0010268-0j -0.000733582-0j 0.0155725-0j -5.96978e-08-0j 3.56535e-06-0j 0.0115683-0j 4.54685e-07-0j -0.0143359-0j -3.66906e-07-0j -3.59493e-06-0j -2.56834e-06-0j -2.6213e-07-0j 0.00826478-0j 4.45499e-06-0j 
8.93723e-06-0j -3.54347e-06-0j 0.0025648-0j -0.0025176-0j -6.19171e-05-0j 6.07778e-05-0j 2.45492e-05-0j -0.000289973-0j 0.00139377-0j -0.0019692-0j 7.50926e-09-0j -0.0164631-0j 0.02326-0j -0.000292046-0j 0.017442-0j 4.26336e-07-0j -6.02351e-07-0j -1.69036e-07-0j 1.00954e-05-0j 0.0217941-0j -1.04169e-07-0j 6.22129e-06-0j -0.0464211-0j 0.000777269-0j -1.01791e-05-0j -7.27231e-06-0j -0.0175866-0j -0.0125645-0j 1.26144e-05-0j 5.27659e-09-0j -3.15135e-07-0j 0.0468061-0j 7.77365e-06-0j -0.0580042-0j -6.2729e-06-0j 3.17749e-07-0j 2.27011e-07-0j -4.48158e-06-0j 0.0334399-0j -3.93769e-07-0j 
-0.000107247-0j 2.11502e-05-0j -0.00498695-0j 0.00489519-0j 0.00149373-0j -0.00146625-0j -0.00029458-0j -1.81995e-05-0j -0.0167247-0j 0.0236296-0j -9.01111e-08-0j -0.00103327-0j 0.00145986-0j 0.0011416-0j -0.0681802-0j -5.11604e-06-0j 7.22821e-06-0j 1.00894e-06-0j -6.02571e-05-0j -0.0851927-0j -0.000119642-0j 0.00714538-0j 0.000128186-0j -2.14634e-06-0j 6.07569e-05-0j 4.34069e-05-0j 0.0687458-0j 0.0491144-0j -7.52926e-05-0j -6.33191e-08-0j 3.78162e-06-0j -0.00012925-0j 0.00892832-0j 0.000160172-0j -0.00720466-0j -3.81299e-06-0j -2.72413e-06-0j -0.00514726-0j -9.23405e-05-0j 4.72523e-06-0j 
0.0010508-0j -0.000207229-0j 0.0488619-0j -0.0479629-0j 7.5664e-05-0j -7.42718e-05-0j -1.49218e-05-0j 0.000178318-0j -0.000847179-0j 0.00119694-0j 8.82905e-07-0j 0.010124-0j -0.0143037-0j 5.7827e-05-0j -0.00345362-0j 5.01267e-05-0j -7.08217e-05-0j -9.88553e-06-0j 0.000590396-0j -0.00431538-0j 6.33191e-08-0j -3.78162e-06-0j -0.00125596-0j 2.10297e-05-0j -0.000595294-0j -0.000425299-0j 0.00348227-0j 0.00248785-0j 0.000737714-0j -0.000121528-0j 0.00725803-0j 0.00126638-0j -4.72523e-06-0j -0.00156936-0j 3.81299e-06-0j -0.00731824-0j -0.0052284-0j 2.72413e-06-0j 0.000904748-0j 0.00906907-0j 
