0.0631973-0.308899j -0.263886-0.0214823j -0.0666311-0.105755j 0.0124123+0.00613671j 0.162926+0.15963j 0.0696852+0.00291113j -0.175461-0.0124168j 0.0585411-0.211723j -0.0718424+0.252603j 0.0204997+0.0401906j -0.185031+0.0784422j 0.044247+0.248585j 0.0115887-0.0414502j 0.0233313-0.270503j -0.350908-0.0197109j -0.179104-0.0646195j 0.195122+0.0351156j -0.0880475-0.0994998j -0.0074584-0.0119081j 0.000538227-0.04184j 0.101234-0.0140531j -0.0533112+0.102316j 0.0237103-0.0418252j 0.0353966-0.0152705j 0.0518779-0.0554392j 0.0501472+0.0240515j -0.00528987+0.0089209j 0.015507-0.0731255j 0.0142594-0.0549274j 0.003762+0.0731919j -0.0284184+0.0445972j 0.0942253-0.117803j -0.0861154-0.0967322j 0.14299-0.0431235j 
0.10243-0.126897j -0.11317-0.0863608j -0.46048+0.209635j 0.285791+0.42721j -0.0522375-0.0709736j 0.249653+0.301852j 0.13929-0.0400484j 0.210296-0.332307j 0.131218-0.138729j 0.0367661+0.0781972j 0.179204-0.0926456j 0.028254-0.0815456j 0.0939362-0.0239321j 0.053998+0.0577945j 0.0628863+0.0999977j -0.0315544-0.0360705j 0.0139304+0.0130491j 0.0609597-0.0120689j -0.00438444+0.0248715j 0.0157891+0.0356955j -0.0245392-0.0197382j 0.00893065-0.0118342j -0.018561-0.0406147j 0.00393915+0.0391672j -0.0335628+0.0270013j -0.0161654-0.014496j 0.0101118+0.0102939j 0.00888161-0.00808454j -0.000532854+0.0207656j 0.000685802+0.00719311j -0.0548804+0.000104239j -0.0165666+0.0259375j -0.0152816+0.00437743j -0.0109975-0.0163283j 
0.0609154-0.0588524j -0.0543973-0.0470494j 0.00225766+0.0233408j 0.0305473+0.0203203j -0.0228854+0.0943626j 0.00943538-0.0330752j -0.0664155-0.0219462j 0.0206098-0.0849499j -0.0738963+0.0960832j -0.0393906+0.0527113j -0.0114447+0.184017j 0.115156+0.121455j -0.00526596+0.0381152j 0.0741204-0.200404j -0.212646-0.0625962j -0.0819408+0.018837j 0.0251494-0.0230712j -0.237495-0.0378764j -0.160161-0.0901982j 0.0367511+0.0689329j 0.0361921-0.0297967j 0.0537637-0.134758j 0.0301693-0.0217976j 0.125744-0.00459409j 0.0493378-0.0214489j 0.0200384-0.0651597j -0.0341155+0.0314162j 0.0215121+0.0213351j -0.0273316+0.0969838j -0.0093614-0.0471241j -0.0442702-0.0208742j -0.161041+0.180503j 0.0264638+0.0829104j -0.150849+0.0418009j 
0.0521761-0.0383131j -0.0182768-0.1071j 0.00470328+0.0346281j 0.0304558-0.0320137j 0.138345-0.0345665j 0.0240504-0.0343408j 0.0045185+0.0731533j 0.0405111-0.0135449j -0.0174611+0.0363138j 0.0127619+0.0459851j -0.0792306+0.0448986j -0.0417917+0.0400825j 0.0354933+0.124145j -0.126198+0.0689056j -0.0227439-0.0613849j -0.00207303+0.13636j -0.126702+0.00373621j -0.00597925-0.082386j 0.0944407+0.206923j 0.114558-0.0801011j 0.0413154-0.131014j 0.107404+0.0926497j -0.0511518+0.0166885j 0.0156048+0.185108j -0.0295659+0.128386j -0.104397-0.169071j 0.102847-0.164295j -0.0792878+0.0658743j 0.102772-0.0235724j -0.194368-0.0675938j -0.052413+0.0406565j -0.213115-0.0454217j 0.159401-0.0783343j 0.0357356+0.0878487j 
0.0577437+0.0931507j 0.085667-0.0764326j 0.0456312+0.0846019j 0.0263973+0.0129349j -0.0439193-0.0560346j 0.0496444-0.0874339j 0.0136479-0.0323715j -0.0114688-0.0438745j 0.00641448+0.0434816j -0.0824477+0.0489964j 0.0260041+0.206098j 0.053323-0.0262657j -0.0410039+0.013137j -0.0633208-0.060065j -0.0302705+0.019445j 0.147256-0.041292j 0.168457+0.0527372j -0.00410467+0.0475507j -0.103507-0.00309635j -0.130437-0.10606j -0.0584904+0.218786j -0.0112448+0.118479j 0.0393334+0.032378j 0.0594456+0.259141j 0.0169404-0.135571j -0.0747648-0.0183668j -0.0948997+0.135856j 0.143343-0.15134j 0.242103+0.0746227j 0.136003-0.0553995j -0.0887261-0.0836378j -0.212946+0.0753865j 0.0952041-0.00164496j -0.0431356+0.0225761j 
0.0490725+0.0902596j 0.0710375-0.0648946j -0.0185983-0.00690137j 0.034563-0.0167396j 0.0382761-0.00861135j -0.0674556+0.0063404j 0.0172863+0.0444793j -0.0267443-0.0476388j -0.0226703-0.0105842j -0.0419215+0.025954j 0.00936601+0.0593292j 0.0101092-0.0129458j 0.200127-0.191238j 0.0343296-0.0890999j 0.0321263+0.032155j -0.196264-0.0671418j -0.0856143+0.0352976j -0.10903-0.196039j 0.0322659+0.116765j 0.0276098+0.178323j -0.0624257-0.283433j -0.0225151-0.173064j 0.00508222+0.307169j 0.201238-0.127009j -0.0439206-0.152524j 0.0583909-0.016898j 0.296841-0.0703643j 0.283333+0.0770141j -0.107018-0.018955j 0.0621963-0.0999727j 0.323028-0.0019659j -0.00947269+0.0161695j 0.0649732+0.0557461j -0.0553169+0.0207865j 
-0.055274-0.068834j -0.0223623+0.0458518j -0.0138836-0.00572911j 0.00307618+0.0107418j -0.0799077+0.110498j -0.0465848+0.0410207j 0.0124081-0.0306873j 0.00525386+0.0389071j -0.0313397-0.022779j 0.0264276-0.0107461j 0.0598317-0.0178076j 0.0569314+0.0792533j -0.0639978+0.15572j 0.10666-0.00769311j -0.0241444-0.0875276j 0.00702483+0.103435j -0.196096-0.132174j -0.121623+0.0674521j -0.083595-0.173865j 0.191513+0.155516j 0.0424341-0.0205027j 0.121982-0.105298j -0.0481178-0.202246j -0.0054988-0.122639j 0.0598309+0.156032j -0.0401572-0.074663j -0.0343892-0.0933002j -0.16904+0.129023j -0.261734+0.0722898j -0.159775-0.0021226j -0.0787846+0.0306121j 0.0399151+0.164707j 0.000932004+0.101642j -0.164267+0.0027273j 
-0.0132645-0.0646738j -0.0787103-0.0230433j 0.038291+0.007977j -0.0104101-0.03557j 0.037199-0.131906j -0.00413497-0.0288496j 0.0584432+0.0144063j 0.000110231-0.0298231j 0.0365472+0.0153531j 0.0160911+0.0334934j -0.00172654+0.0967854j 0.0186206+0.0658442j 0.127847+0.042999j 0.0118472+0.115077j -0.0481322-0.0116491j 0.0890112+0.0496762j -0.0739699+0.0786035j -0.0347804-0.019982j 0.230018-0.0404945j 0.0110473-0.124249j -0.053863-0.0966738j 0.0455294-0.0876207j -0.020354+0.0189826j 0.101833+0.0938097j 0.106865+0.0298467j -0.183007+0.00885561j -0.0922416-0.141582j 0.0374619+0.0148081j 0.0200562-0.131368j -0.10007+0.1154j 0.0359832+0.0510292j -0.0798413+0.204675j 0.000463407-0.122628j 0.0958327-0.0394799j 
0.0524127+0.0532882j 0.0509368-0.0338826j 0.0232121+0.0790707j 0.0356552+0.0338832j -0.0831458+0.0116624j 0.00714337-0.033557j 0.0131741-0.0277626j 0.0109389-0.0176308j -0.0272311+0.00218296j -0.0632816+0.0266699j 0.0518006+0.163734j 0.0695321+0.021411j -0.0382389+0.0702407j 0.0485995-0.0308811j -0.0717639-0.0201219j 0.0106202+0.0416464j -0.0218664-0.047797j -0.144455-0.0155349j -0.179915-0.0969408j 0.0193477+0.0181679j -0.0426195-0.00774647j 0.103089-0.0707601j 0.0508538-0.016985j 0.0852951+0.0718623j -0.00413344+0.00704632j -0.0936231-0.0754541j -0.0690071+0.0447327j -0.00805509+0.0248248j 0.00320302+0.12433j 0.0512851-0.0777788j -0.0789387-0.0427134j -0.0690962+0.189229j 0.106108+0.107249j -0.127844+0.0162784j 
-0.00591668-0.0135085j -0.00450774-0.0130452j 0.0134571+0.00122198j 0.013949-0.0104298j -0.0111739-0.00918636j 0.0173678+0.0287253j 0.00665321+0.0426253j 0.00537934+0.0120431j -0.0387043+0.0322779j 0.0124684+0.00886403j -0.0135303+0.0143517j -0.00764072-0.0090149j 0.0149183+0.0395904j -0.00674146+0.0135033j 0.00544665+0.0159479j 0.00673626-0.00780618j 0.0106069-0.0240354j -0.0021607-0.0208603j 0.0064131+0.0100247j 0.0108734-0.00745949j -0.0247298-0.0126497j -0.0175086+0.0137786j -0.0087872+0.00563989j 0.0181832+0.0190923j -0.0441858+0.0240695j 0.0353537-0.00673754j -0.0356215-0.0128071j -0.0008839+0.0171794j 0.00528354+0.0155476j -0.0240775-0.0135927j 0.0164215+0.0127569j 0.00245991+0.00595869j 0.0127102-0.00510636j -0.00409548+0.00535979j 
0.00185143+0.0710856j 0.0314636-0.0225614j 0.0147728+0.0162052j 0.0165901-0.00668733j -0.00450205-0.00142102j -0.0120199+0.0289236j 0.0018882+0.00533029j -0.0367067+0.0386468j 0.00788528-0.0172181j -0.0242317+0.000864862j 0.0175947+0.0222036j 0.0261939-0.0152665j 0.0152844-0.0545056j 0.00971458+0.0111874j 0.0251395-0.0161425j -0.0304637+0.00845149j -0.0520132+0.0360779j -0.0477704-0.00679241j -0.0250418-0.000673798j -0.0140539+0.0465543j 1.08059e-06-0.0473509j 0.0201662-0.0766227j 0.00352047+0.0555219j 0.027911-0.0194009j 0.0199666-0.0242224j -0.0269319-0.0222108j 0.0734553+0.00274765j 0.0143763+0.0238467j -0.00951231-0.00538012j 0.0172564-0.0192437j 0.0262213-0.0272035j -0.0400699+0.0306315j 0.0273173+0.0264747j -0.0533032+0.0151927j 
