-0.00552706-0.0391219j 0.0537053+0.0331215j 0.010243+0.00739014j -0.0391002-0.0500708j -0.0387125-0.0249071j -0.0804114-0.0268854j 0.168287+0.0806914j 0.0859817+0.0470674j -0.0887867+0.243575j 0.00833088-0.0430502j -0.231908-0.0478381j 0.0442238+0.0842508j -0.034024+0.0511111j 0.140426-0.0757116j 0.00967697+0.0569253j 0.0416628-0.0264407j 0.110085+0.106978j -0.0133597-0.0949049j -0.158511+0.0625401j -0.152515-0.00380236j -0.122773+0.0014826j 0.0884457+0.00829688j -0.00956467+0.0731704j -0.0106846-0.0865583j -0.0826298-0.0223624j -0.0249434+0.0763223j 0.114471-0.0694967j 0.0685584-0.153774j -0.10399-0.164251j -0.0611536+0.174281j -0.177079+0.0737912j 0.0292774-0.0624869j -0.0461472-0.0374923j 0.0606418+0.13226j 0.171978-0.130288j -0.152306-0.230033j 
0.254407+0.0197474j 0.0203972+0.164173j 0.0454756-0.0110457j 0.107451-0.14322j -0.15245-0.24248j -0.0974212-0.00547034j -0.0655546+0.079099j 0.115545-0.254299j -0.0504491+0.130202j 0.148167-0.114589j -0.115799+0.065767j 0.0667346-0.140158j 0.0705963+0.0819437j -0.185202-0.0391474j -0.108044+0.0970467j -0.0856612+0.0544955j -0.059652-0.0164676j -0.0503169-0.0817301j -0.232552-0.185335j 0.15023+0.0310775j -0.0966537+0.170263j -0.102278-0.0253806j -0.0138697+0.039999j 0.0396625+0.0370236j 0.095144+0.0180898j 0.035506-0.0643967j -0.117853-0.0467452j -0.0321063+0.0879815j -0.10505+0.0205533j 0.0203535-0.0766308j 0.123971-0.0137955j -0.0189382+0.0517144j -0.00988835+0.0508596j -0.0346532-0.187607j 0.144144+0.0118701j 0.0147227-0.140561j 
0.0101833+0.0294282j -0.0658618-0.0160638j 0.00746272-0.0771183j -0.0373671-0.00179416j 0.00272546-0.01151j -0.0120753+0.00108111j -0.217683-0.18995j -0.0972414-0.249609j 0.24866-0.259113j 0.210523-0.259619j -0.177512-0.177984j -0.0452236+0.217516j -0.0264601+0.0593446j 0.243732+0.0467018j 0.108073-0.099244j -0.32193+0.138196j -0.27512-0.0803572j -0.14119-0.318195j 0.0443075+0.131585j -0.121016+0.0145762j 0.00250819-0.0852178j -0.0105201-0.0957101j 0.0443616+0.0409857j -0.0381158-0.0360568j 0.0231922-0.0565924j 0.0588139+0.0202944j 0.0179281-0.0260514j 0.0398107-0.0496302j 0.0159871-0.00461406j -0.0705936-0.0256327j 0.0277217-0.0118468j 0.0117382+0.0468023j 0.0209614+0.0299454j 0.0118716+0.000622537j 0.0264515-0.00138017j -0.0101344-0.0233445j 
0.0224457+0.0540063j 0.00513904+0.0429695j 0.00797269-0.00659312j -0.0357049-0.0268999j 0.0959043-0.0479787j -0.030537+0.0127993j 0.000243606+0.016857j 0.0195756+0.00168353j -0.0850933+0.119623j 0.127658-0.172636j -0.263485-0.0284621j -0.104414-0.0375212j 0.129393+0.217099j -0.17144-0.00641533j 0.0636605+0.199397j -9.09546e-05+0.00681236j -0.00920436+0.0962725j -0.0286835-0.199527j -0.259201-0.0990043j -0.0395919-0.00718092j -0.137172+0.12275j 0.042894-0.00964418j 0.0533985+0.0501301j -0.0875089+0.00483212j -0.188267+0.161328j -0.00922502+0.104345j 0.00953552+0.126509j -0.0377215+0.0280681j 0.0539086-0.0260034j -0.0363871+0.212138j -0.0876341-0.0685882j 0.0387972-0.069928j -0.139771-0.115486j -0.0818744+0.0658959j -0.16825-0.00567428j 0.0326534+0.144585j 
-0.108657-0.0613272j 0.028065-0.0311341j 0.0106713+0.00725964j -0.0651958+0.0245671j 0.00712609+0.0771113j -0.0307577+0.00677271j 0.12787+0.0187792j 0.010876+0.114171j -0.0569351+0.102663j -0.0577059+0.015041j -0.0766518-0.0816885j -0.0268149+0.11314j -0.0604715-0.0037366j 0.188073-0.0439348j 0.0695147-0.0333737j 0.0290096-0.027979j 0.0678885+0.0678486j 0.0204008-0.0255106j -0.00628544+0.110998j -0.214385-0.0655374j 0.00133093-0.074849j -0.0511846-0.0854778j -0.0856802+0.0498518j -0.0213424-0.0613229j -0.0595074-0.0268939j 0.130433-0.0454096j 0.0242756-0.100309j 0.0919307-0.0849987j -0.0588115-0.108998j -0.0373198+0.207579j 0.023268-0.0141153j -0.00868175+0.0674486j 0.0331678+0.102346j 0.0164661-0.0451166j 0.0679288-0.0676739j -0.0222293-0.0378472j 
-0.0777055-0.0233263j 0.0409516+0.0159404j 0.0465328+0.0241795j -0.0636313+0.0626845j 0.0407673+0.0356118j 0.00127254+0.0210916j 0.0550759+0.00760812j -0.00659232+0.0821498j -0.0835311+0.0602442j -0.00146398-0.0143199j -0.0302051+0.021199j -0.0187167+0.0384276j 0.0274018+0.0709302j -0.0195118-0.0093764j 0.0097112+0.0360534j 0.00948549-0.0355287j -0.00513605+0.0286855j 0.06466+0.0421622j -0.0575242-0.00059768j -0.0964385-0.0661746j 0.0406412-0.000136212j -0.242334-0.255618j -0.165239+0.0866138j -0.0112557-0.0583046j -0.0445008-0.0209131j 0.41103-0.101165j -0.16368-0.103947j 0.0976414+0.138349j -0.0160639+0.0656795j 0.0229724+0.15822j 0.256305-0.21133j -0.0472597+0.34936j 0.0336964+0.17402j -0.0946867-0.172829j -0.0575654+0.111386j 0.0834716+0.0740434j 
0.063525-0.0114143j 0.0293585+0.0586439j 0.0177874+0.00999065j 0.0305627-0.060335j -0.0954309-0.0704613j -0.0399107-0.0316603j 0.0312036+0.0560903j 0.072462-0.072131j 0.00350278+0.0819659j -0.0306711+0.0170623j -0.030752-0.00499977j 0.0685375-0.0113084j -0.0919578-0.0911828j 0.0874873-0.047464j -0.0404565-0.0535646j 0.0285026+0.00721123j -0.0206996+0.00378722j -0.0117489+0.0116568j -0.0568798+0.0324629j 0.0286675-0.0107345j -0.0347646-0.0492193j -0.00186074-0.0290421j -0.0596405+0.0123575j 0.0320979-0.0196422j 0.125119-0.0301468j -0.0113051-0.0664731j -0.0265279-0.0960575j 0.0842394-0.0514382j -0.0912016-0.101462j 0.0539733-0.0619967j -0.00583529+0.0684573j -0.0464855+0.0372798j 0.050133+0.00842299j 0.0438412-0.0695022j 0.153009-0.120059j -0.0755506-0.206521j 
-0.0559755+0.0436308j -0.0134154-0.0222219j -0.026473+0.000709834j -0.0406423+0.0319683j 0.0828485+0.0427291j 0.034825+0.0303523j -0.00593672-0.0292708j -0.0353859+0.0610018j -0.00827844-0.0212408j 0.0230918-0.0275443j -0.0462606-0.00177891j -0.0625992-0.0388638j 0.0368695+0.0817469j -0.0784232-0.0115923j -0.000200677+0.068744j 0.0271172-0.00416347j -0.00762835+0.0328147j 0.00440175-0.0297603j -0.0362047-0.0227246j 0.00904588-0.0197585j 0.0310615+0.0211316j 0.0475644+0.00262243j 0.0465699+0.0106836j -0.0925093-0.031163j -0.114367+0.0379968j -0.037889+0.0555266j -0.00845112+0.112462j -0.00654214+0.00219962j 0.0891446+0.0559491j 0.0223935+0.0734055j -0.0368682+0.00873319j -0.0103437-0.0608669j -0.0537396-0.00667981j -0.0357628+0.12903j -0.119014+0.100236j 0.0278564+0.105855j 
0.0214717+0.00358457j 0.0243936+0.0046814j 0.00762834-0.0046882j -0.00597616-0.0103786j -0.0115311+0.0164228j -0.00385038-0.00278682j -0.00754507+0.0410567j 0.0256012+0.00176587j -0.0231587+0.0185394j -0.00438929+0.0137047j 0.00431243-0.0179631j 0.00392773+0.0395079j 0.0263521-0.0124564j -0.00173735+0.0140055j 0.0124577-0.0230607j -0.0133778-0.00723128j 0.0522702-0.00477142j -0.00368248-0.00248502j 0.0142844-0.0029734j -0.0436808+0.0204071j 0.0203622+0.0472364j 0.026756+0.00324764j 0.00830987-0.0159598j 0.00572863-0.00480777j -0.0116418-0.019575j -0.0139863-0.00461296j -0.0454469-0.00826786j 0.0193266-0.0313828j -0.0499268+0.00731702j -0.0454377+0.0324907j -0.017102+0.00872069j -0.00891041+0.00608417j 0.0195226-0.0512566j 0.0451594+0.00609164j 0.0350957-0.00551791j 0.000483432-0.0167327j 
0.019012+0.0171978j 0.0108997+0.0263324j -0.0120931+0.00217133j 0.00307048-0.025891j -0.044286-0.0197831j 0.0123157+0.00251672j -0.0123321-0.000366047j 0.0238338-0.0100272j -0.000323912+0.0118008j 0.0274238-0.0172413j 0.0169935+0.0296518j 0.071056+0.0336693j 0.0362811-0.00491359j -0.00277193+0.0159998j 0.00604197-0.00860871j -0.0283909-0.00506598j 0.0188927-0.0271784j -0.0175106+0.0154501j 0.00981719-0.0200372j 0.00728939+0.0327469j -0.0222089+0.00247014j 0.00718426+0.0128538j -0.0205114-0.00269981j -0.0238741-0.0408854j 0.0343184-0.0339344j -0.0343093-0.00143375j 0.0156612+0.021133j 0.0562347+0.0273383j -0.0182019-0.0400366j -0.0255394-0.0640677j -0.00741421+0.00946372j -0.018627-0.0181463j 0.00223879-0.0104993j 0.00743725-0.0610489j 0.0243825-0.0407915j -0.0199322-0.0270817j 
0.00756382-0.00802755j 0.000281002+0.0171957j 0.00936773-0.00193443j 0.0180475-0.0186324j -0.00309961+0.0117159j 0.00872839+0.000829188j -0.0140343-0.00476514j 0.0062905-0.0242061j -0.0100657-0.0161077j -0.0246554-0.0148891j -0.0164516-0.0173339j -0.0431342-0.0437239j -0.0172416-0.00544336j -0.00270909+0.000898593j -0.0110049-6.2082e-06j 0.00716272-0.0139399j -0.0233897-0.0150778j -0.0126308-0.00705057j -0.00817459-0.00850073j -0.0299516-0.0179765j -0.019032+0.0143426j -0.00872804-0.0156171j -0.0160784-0.0173059j -0.0171577+0.0303484j -0.00125497+0.0229328j -0.00719104-0.0491031j -0.0448304+0.000306367j 0.00290759+0.0186748j 0.0146074+0.0311426j 0.0240278+0.0153652j 0.035163-0.0221049j -0.0247397+0.0287287j 0.00309374+0.0423755j 0.00243425-0.0440853j -0.00964091+0.038758j 0.0157566+0.0401194j 
