-0.0246373+0.0672091j 0.0715696-0.0568686j -0.136623-0.0641186j -0.149241+0.0675083j -0.12538+0.178704j 0.0206936-0.018111j -0.048897-0.00362863j -0.0644436+0.0955346j -0.0475772-0.0787828j 0.15624-0.0261145j -0.00384981-0.131178j -0.0232229-0.25414j 0.0334306-0.19646j -0.13199-0.214101j 0.181182+0.0919506j 0.0697009+0.0471752j -0.036685-0.0893075j -0.043713+0.118059j 0.0462956-0.0918664j -0.0212674-0.20452j 0.101251-0.163536j 0.0984309+0.0204775j -0.0605654+0.0905095j -0.16187+0.271562j 0.160494+0.000589067j 0.00579088-0.0829429j 
-0.0962056+0.105491j 0.0603141+0.188103j 0.107396+0.18196j 0.213074+0.0205447j 0.0879938-0.0553778j 0.00148928-0.106376j 0.0625125+0.0679208j 0.181081-0.0297757j -0.0190347+0.0512345j 0.0354063+0.320009j 0.244269+0.0560571j 0.0264144+0.13438j 0.121352-0.175003j 0.0107114-0.117551j -0.0142995-0.081159j 0.209927+0.0872942j -0.13679-0.118759j 0.10661-0.0709667j -0.0942186-0.131965j 0.0825571-0.276041j -0.178424-0.0379516j 0.0953761+0.0900821j 0.158444+0.0577835j 0.106535+0.0796065j -0.0321879+0.0888748j 0.175551+0.0294038j 
0.0651119-0.0474326j -0.025582-0.0428269j 0.248989-0.0519713j -0.0753611+0.103411j -0.0313446-0.262495j 0.246184+0.245638j -0.0188338+0.124002j 0.1272+0.0388065j -0.0554237+0.294386j -0.0282457-0.305473j -0.128788+0.142802j -0.0555403+0.179419j 0.0342599-0.209384j 0.00274578-0.144252j -0.0666802+0.150148j 0.233472-0.0174928j 0.412906-0.0708554j -0.117963-0.0576007j -0.267876-0.102302j -0.0594157-0.0799173j -0.0418058+0.020407j -0.0844556-0.0105532j -0.0319529-0.0193007j -0.0848434+0.0521558j -0.00638579+0.0109723j 0.0105544+0.00555937j 
-0.0248794-0.0380187j -0.0632336+0.0226251j -0.0394157+0.211757j -0.0536518-0.106727j 0.106144-0.0413389j 0.0621487-0.139893j 0.13878+0.184666j 0.216243-0.0547262j 0.058769+0.0970621j -0.0107113+0.148735j 0.0600164+0.00343632j 0.0214545+0.151763j -0.109369-0.0913808j 0.179022-0.042714j -0.207481-0.203315j 0.0661167-0.156737j -0.0938335+0.00219927j 0.16292-0.125456j -0.059552-0.025903j 0.219453+0.2167j -0.0767203+0.0860934j 0.182316-0.155287j -0.216191+0.00631942j -0.158669-0.0216612j 0.0786703-0.047282j -0.0947433-0.0360944j 
-0.0257188+0.126479j 0.0762251+0.0224905j -0.0858668+0.0640261j -0.0797348+0.109179j -0.0650142+0.0970564j 0.0285681-0.0506066j 0.0352853-0.0121166j 0.0467948+0.0275084j -0.130782+0.0784763j 0.0160648+0.0757508j 0.0337789-0.0378358j 0.102788-0.100337j 0.0733075-0.235663j 0.013787-0.0468471j -0.0510984-0.0268526j 0.0754066+0.00543727j -0.0408367-0.0811359j 0.154357-0.00497881j -0.127249-0.0481377j 0.0148306-0.232788j 0.159604-0.0976805j 0.0476279+0.0527967j 0.0287987-0.0373109j -0.0965277+0.155151j 0.0659232+0.0260916j -0.0291135-0.052j 
-0.0633721-0.143154j -0.0632131+0.0107076j 0.0735207-0.0459293j 0.0231825-0.141361j 0.040586-0.0694701j 0.0434312+0.0229288j -0.0305003+0.13154j 0.0357347+0.0744345j 0.225017-0.132077j 0.236802+0.0764035j 0.109697+0.0050999j -0.26906-0.0787228j -0.0474481+0.0395772j -0.12435-0.292661j 0.21029+0.110866j 0.0846232+0.0619614j 0.0404427-0.0519908j -0.256222+0.0734535j 0.141731-0.17216j 0.117956+0.197886j -0.265729+0.109106j 0.122737-0.0747498j -0.0887902+0.14258j 0.154642+0.0870434j 0.0777831+0.0757681j 0.0997989-0.0139412j 
0.0102871-0.0314378j -0.00210138-0.0807496j -0.117035+0.021393j -0.187715-0.0589799j -0.0218044+0.0677867j 0.0414052-0.0177115j 0.0193566+0.0802657j 0.040885+0.0282522j 0.0108509-0.00812586j 0.0541631-0.0302807j -0.0707367-0.0876338j 0.00893522-0.0707444j -0.0694691-0.083953j 0.0282356-0.0659795j -0.00834911-0.0283388j -0.000512129-0.117662j 0.000654841-0.0219353j 0.0251772+0.0289422j 0.0282573-0.0435918j 0.0344765+0.10098j 0.0680644-0.00862307j 0.0799826-0.0897257j -0.151947+0.036499j -0.183383+0.113742j 0.113157-0.0285895j -0.124031-0.0750435j 
-0.0155971+0.0291815j 0.0251589+0.0518029j 0.0774934-0.0307267j 0.143794+0.0551651j -0.00530194+0.00393629j -0.0525475+0.0219072j -0.0218684-0.0838352j -0.0575662+0.00554709j -0.0235384-0.0356379j 0.0100017+0.034728j 0.0253394+0.0495613j -0.0150759+0.0311832j 0.0807179+0.0593585j -0.0600667+0.0277579j 0.087051+0.0828884j -0.00831399+0.070843j -0.00505203-0.0163963j -0.0478313+0.0177704j 0.0338545+0.00115793j -0.0558743-0.133324j -0.0696968-5.01596e-05j -0.0639966+0.0889866j 0.0974405+0.00400116j 0.1276-0.0829421j -0.0266834+0.0475862j 0.0986719+0.0718593j 
-0.0286384+0.00680726j -0.00439305-0.0151832j -0.0242304-0.0218184j -0.031893-0.00883509j -0.00380459-0.00904915j -0.000230927+0.00262594j 0.00662714+0.0153632j -0.0116687+0.0241917j 0.0156235-0.0471347j 0.0241873+0.025887j 0.0118128-1.58595e-05j 0.0243657-0.0158135j -0.0123167-0.01927j -0.00929812-0.00851687j 0.0149908+0.0101928j 0.00171307-0.00499458j 0.000246243+0.00546459j 0.0136525-0.00871275j 0.00750147-0.0323684j 0.00621723-0.00395054j -0.0187009-0.0229926j 0.0103997+0.0124853j 0.013816+0.0125958j -0.0301326+0.030164j 0.0287464-0.00536435j 0.0175311+0.0147235j 
0.00902009-0.0208438j -0.00387021-0.0285329j -0.0086382-0.00357332j -0.00918311-0.0150732j -0.00635012+0.0363514j 0.0410602-0.0116091j -0.0168543+0.00394359j -0.0141002+0.0370262j 0.0238364-0.00729418j 0.0104619-0.034273j -0.00594625-0.00517835j -0.038662-0.00668195j -0.0551798-0.00779919j 0.0435947-0.0317796j -0.0163175+0.0176039j 0.0194677-0.0496644j -0.00250484+0.0154177j 0.00158714-0.00650314j 0.0206314-0.0323441j 0.0224608+0.0544344j 0.0356014+0.0332439j -0.0140118-0.0365585j -0.0404819+0.0109774j -0.00287174+0.00409916j -0.00063948-0.0168117j -0.0235204-0.031438j 
0.0112476+0.00797788j -0.00639733-0.00251776j -0.000749452+0.00397279j -0.0301195+0.0205941j 0.00430666-0.00307647j -0.000207813+0.0206557j 0.0121199-0.0227779j 0.00146731-0.00165707j 0.00859597+0.0206912j -0.00998226+0.00248806j -0.0338789+0.0207022j 0.00377257+0.0246618j -0.00881368+0.0215044j 0.0221865+0.079776j -0.0220338+0.00661829j -0.030906-0.0173426j 0.0216522+0.00615134j 0.0108616-0.0275766j -0.0134766+0.0273845j -0.0146289+0.0159191j 0.0318199+0.027406j 0.00461217+0.019969j 0.024265-0.0425075j 0.0147279+0.00555024j -0.0384033-0.0147856j -0.014758-0.00701209j 
