-0.0135207+0.00274394j 0.0336036+0.0114877j -0.00583834+0.004715j 0.0145773-0.00644659j -0.00647243+0.00185712j -0.00806688-0.00136291j 0.00422293-0.00405122j -0.00680659+0.0194985j 0.0250721-0.0129989j 0.00564554-0.00952474j 0.0169351+0.00616356j 0.00889039-0.0086541j 0.00308479-0.021881j -0.00235078-0.0319369j 0.00281084+0.0083477j -0.000981244-0.0138315j 0.00404025+0.0143513j -0.000307508-0.010185j 0.0115243-0.00747425j 0.00012125-0.00135019j 0.00261228-0.00229503j 0.00328017-0.00567859j -0.00506502+0.00890418j -0.0266705-0.0119477j 0.0138955-0.0115704j 0.0147644+0.0139662j -0.00208068-0.0181644j 0.0199939-0.013184j 0.00786865-0.0258074j 0.0012671-0.0369683j 0.017203+0.0240454j 0.0232103-0.0112888j 0.02724+0.00946281j 0.0394081-0.0289326j -0.00727627+0.0631854j -0.0449517-0.0342224j 
-0.00362229-0.00807999j -0.00943307-0.00809538j 0.0094157+0.00112309j 0.0228951-0.00759644j -0.0050965+0.00836607j 0.00446427-0.003148j 0.000937097-0.0105733j 0.00583266+0.00313128j 0.000163889+0.00595552j -0.00246885-0.0197183j -0.00412746+0.000222475j -0.00806661-0.00313532j -0.00208986-0.00269445j -0.0321915+0.00262386j 0.00172806+0.00299104j -0.00678296-0.00432056j -0.00238569-0.00580498j 0.0065391-0.0160513j 0.00296394-0.0119743j 0.00217599+0.0154235j 0.00377833+0.0144994j -0.00932184-0.00828338j -0.00853497-0.0332928j -0.00747056+0.00948045j -0.000109316-0.0309749j 0.0166247-0.0011007j -0.0102058-0.0290786j -0.0148452-0.0332464j -0.0135778+0.000267609j -0.0195389+0.0142709j 0.0626564-0.0560487j -0.0108421-0.00694295j -0.0091034-0.0259247j -0.0103984-0.0153703j -0.0670508-0.0333421j -0.00047428-0.0734418j 
0.0457833+0.0166416j -0.00818199-0.00331053j 0.00271825-0.00958113j 0.021747+0.00150063j 0.0436398-0.0189296j -0.0049757+0.000836j -0.0139055+0.00161038j -0.0241564-0.00532992j -0.019006+0.0236169j -0.0389619-0.0163495j -0.0168859+0.0245813j -0.0121144+0.0226549j -0.00586755+0.0432377j -0.0112951-0.0122055j -0.00517564-0.0229707j 0.00770789+0.0166839j -0.0140594-0.0212967j -0.00424827+0.00430123j -0.0169715+0.0102731j 0.00204904+0.0471819j -0.0124838-0.0264719j 0.0181141+0.00587967j -0.00659065+0.0261426j 0.0235211-0.0293317j 0.0049069-0.0163267j 0.0337586+0.0128418j 0.0394451-0.0128034j -0.0283395+0.00371917j -0.0264051-0.00887912j 0.001148+0.0377835j 0.00868005-0.00916687j -0.0278466+0.0213861j 0.0659827-0.00694855j -0.00282519-0.0422024j -0.0185283-0.00731595j -0.0205605-0.0218436j 
-0.0125415+0.0136372j 0.0222312+0.0198293j -0.0157384-0.00201765j -0.00788956-0.00930361j -0.0124743+0.0046756j 0.00507144+0.0054379j 0.000616262-0.0204835j 0.00836651+0.0205475j 0.0155205+0.00377766j 0.0414698+0.0201532j -0.000311164-0.00106403j 0.00317924+0.00203304j 0.00541666-0.0310878j -0.0111895-0.00752613j 0.0131245+0.00708633j -0.00811868-0.0121175j -0.0115083+0.025055j 0.00688808-0.00410453j -0.00653988+0.00845148j 0.00348793+0.00376099j 0.0175149-0.0137502j 0.00365732-0.00155438j -0.000475557+0.0255404j -0.0270088-0.0186779j 0.0157573+0.0098916j -0.00227022+0.0129998j 0.0026228+0.00969216j 0.0315751+0.0187009j 0.012008-0.0101305j -0.00405058-0.0399335j 0.00340702-0.0334149j 0.0167593+0.016489j 0.0425635-0.0090412j 0.0261759-0.0647993j -0.0188076-0.0401789j -0.0438045-0.0287129j 
-0.00307026+0.017377j -0.00713513-0.0162075j -0.0230214-0.0138532j 0.016204-0.0228951j 0.0140172-0.000126556j 0.00562181+0.00960939j -0.0377796-0.00180474j -0.0108837+0.0222793j 0.0235029-0.0316872j 0.0089932+0.0147972j -0.00954383+0.00198733j 0.0159986-0.0243957j 0.00836991+0.0370224j 0.0142767-0.0270569j -0.00738086+0.0244758j 0.0144159+0.0328159j -0.00971215+0.0549203j -0.0115154-0.0268166j -0.0142815-0.0164073j -0.0114997-0.0164277j -0.0175654+0.0263878j 0.012757-0.0227495j -0.011103-0.0332416j 0.0262131-0.00710121j -0.000856606+0.00362027j 0.0295941+0.00650968j -0.0633815-0.0162708j 0.0330503-0.0287497j 0.0241839+0.0158149j -0.0133845+0.0183542j 0.0207907-0.00138373j -0.0214401+0.0288594j -0.0336238+0.0294637j -0.0128983-0.0123443j -0.0241581+0.00886945j 0.0178404+0.0255284j 
0.0155055+0.0214899j -0.0139193+0.0303234j -0.00261523-0.00562683j 0.00901809+0.0288743j 0.010893-0.0139316j 0.00205005-0.00306891j -0.0130559+0.00568294j -0.0306256+0.0160474j 0.0117373+0.0258635j 0.00906829-0.0128928j -0.0249742+0.007542j -0.00181576-0.0116019j -6.75982e-05+0.0495525j -0.0113796-0.0135329j -0.0111225-0.0126717j 0.00757162+0.0130071j -0.00591476+0.00772197j -0.00168014+0.00481617j -0.00413884+0.00730378j 0.0034867+0.0441952j -0.0172788-0.0034386j -0.00870142-0.000531959j -0.0117337+0.0181174j 0.0383727+0.0194052j 0.0459162+0.0422534j 0.0294434-0.0365913j 0.0398212+0.00705406j 0.0155605+0.0176361j 0.00479694-0.00708838j 0.00675051-0.0630114j -0.0484532+0.0188582j 0.0482254-0.0168717j -0.0203313+0.0149338j 0.0132648+0.00157212j 0.0410174+0.0222504j -0.0165792+0.013988j 
0.000565427-0.00561681j -0.00800098-0.000264753j -0.00705586-0.00212849j 0.0153433-0.0110004j -0.000932781+0.01403j 0.00451335-0.0100408j -0.00355399+0.00126459j 0.0203886+0.0182723j 0.00514304+0.00112656j -0.0208337-0.0322061j 0.00590909+0.00643213j -0.00610439-0.02261j -0.00354663+0.00752691j -0.0185804-0.00669469j -0.00910656-0.00276274j 0.0013943+0.00124268j -0.00698387+0.0064483j 0.00690589-0.00423226j -0.000491896+0.0024303j -0.0140752+0.0088154j -0.00207392+0.000683901j -0.0095081-0.0125479j -0.00233778-0.0419308j -0.0135166-0.0209391j 0.00388774-0.0429217j 0.0338994+0.0308632j -0.0124772-0.0209122j -0.0268786+0.00589956j -0.03829-0.047446j -0.0204181-0.0177517j 0.0696412-0.0691226j 0.0346927+0.00797082j -0.0255883-0.0125672j 0.0283792+0.0146749j -0.035602-0.0196486j -0.000713263+0.0160007j 
0.00458945+0.00887387j -0.00822032+0.000679233j -0.00198189+0.0620544j 0.0099351+0.00228542j 0.00569567-0.0144161j 0.00426633+0.000800347j -0.033924-0.00516904j -0.00334459+0.012988j 0.00818091+0.00456971j 0.00180594+0.0110301j -0.0140419+0.00674764j 0.00156905-0.0156375j 0.00983109+0.0357238j 0.0084652-0.0122682j -0.0142969+0.0185867j -0.0264908+0.00733195j 0.0412948+0.0149993j 0.0370007-0.00433052j -0.00111506-0.0729495j 0.00639806+8.56679e-05j -0.0140699-0.00614255j 0.0033357-0.00159285j -0.000441219+0.00839649j 0.0172778-0.0236795j 0.0130054-0.00590131j 0.0398044+0.0137634j -0.0359361+0.00135692j 0.0212216-0.0245415j 0.0107302+0.0184714j -0.00111654-0.0162657j 0.014433-0.0109194j -0.00699331+0.00453282j 0.014878-0.00677009j 0.00637522-0.00667278j -0.0184252+0.00326323j -0.00536975-0.00639301j 
0.00642224-0.0170421j 0.0116163+0.00526899j -0.00336705+0.016698j 0.00308574-0.00010572j -0.000120809+0.0138733j -0.0125314-0.015235j 0.0329121+0.00771282j -0.0219056-0.0178647j -0.0113826-0.0249282j -0.0194895-0.0328943j 0.0121575+0.0151343j 0.00717024+0.00461719j -0.00155436-0.0117057j 0.00328592+0.0323208j -0.00645101+0.0202826j -0.00814705-0.00827127j 0.019788-0.0249982j -0.00475479+0.00973734j 0.00376197+0.00808723j 0.0107515-0.00666536j 0.0110312+0.0141131j -0.00443759-0.0158662j 0.00360714+0.0128339j -0.0029343+0.0343259j -0.0266909+0.000637084j -0.0473277-0.00408701j 0.0456036+0.0358488j -0.0144004+0.0763257j -0.000145278-0.0278554j 0.0148461+0.0297592j -0.0342802+0.0305822j 0.00133058+0.00953648j -0.0358758+0.0014348j -0.0214729+0.00312609j 0.0250201-0.0201928j 0.0119942+0.0340241j 
0.0163391-0.0188659j -0.0268991-0.035103j 0.00363401-0.0128916j 0.00864819+0.036367j -0.0362275-2.24797e-05j 0.0152089+0.00746147j -0.0191894+0.0271686j 0.0301845-0.0165086j -0.016373-0.0275541j 0.00382724+0.0321497j -0.0241738-0.0493301j 0.0160839-0.0420125j 0.00589762+0.0536126j 0.0546888+0.0270408j -0.0210198-0.00430047j 0.0186129+0.0412068j 0.00995066+0.0128006j -0.02524-0.00713259j 0.00690106+0.00160318j -0.00361456-0.0331361j -0.0367184-0.00320834j -0.0381349+0.021186j 0.0257646-0.00538407j 0.0656409-0.0135667j -0.0283358+0.00572259j -0.0186291+0.00229255j -0.0469431+0.0372967j 0.0204025+0.023452j 0.0124339+0.0310125j -0.00417387-0.0189615j -0.0234378+0.023717j 0.00751153-0.00657233j 0.0066526+0.0106688j 0.00151922-0.013345j 0.0149378-0.00587246j -0.00937442+0.00371669j 
-0.0129601-0.00891193j -0.0186095+0.0410455j -0.00258097-0.00645359j 0.0161736+0.0213996j -0.034169+0.0139145j 0.00418373+0.000911723j 0.00685792+0.00095139j 0.00608356+0.0256951j 0.0293763+0.0362477j -0.00848989-0.0182447j 0.00408434-0.0400823j 0.000109308-0.0476331j -0.00722518-0.0140536j -0.00856843-0.0159402j -0.0168477-0.00431094j 0.00140336+0.0046502j -0.0089503+0.0189873j -0.00505451-0.0384935j 0.00954892-0.0143085j -0.00668206+0.0248724j 0.0188177-0.0142631j -0.0504723+0.0108114j -0.000596283+0.0425974j -0.017011+0.00263517j 0.0438235+0.0117394j 0.0520426-0.00671465j -0.00931046-0.0094569j 0.00510823-0.00120552j -0.00422114-0.0231414j 0.0169528+0.0174446j -0.0036556-0.0172177j -0.0276787+0.0093443j 0.0256098-0.00334255j 0.000613372-0.00614709j 0.00179615-0.0198233j 0.0033412+0.00743858j 
