-6.66966e-16-0.0363889j 4.80447e-15+0.115946j 5.07551e-17-0.0374998j 1.95905e-16+0.0183359j -3.98643e-16-0.0247129j -2.85462e-18+0.0926048j 2.51949e-16+0.04606j 4.8901e-17-0.0137719j 2.93065e-16-0.0412777j -6.23175e-17+0.0919933j -1.98889e-16-0.0703047j 2.43012e-16-0.0398189j 6.11917e-17+0.0206321j -3.09834e-17+0.0144505j -4.20518e-16+0.0113394j 5.5212e-15+0.0163837j 4.01423e-17-0.0127665j 6.05696e-17-0.0315844j 2.86095e-16-0.00731953j -2.09536e-16-0.00803559j 2.34575e-16+0.0116242j -3.40412e-16-0.0362264j 2.11947e-15-0.0219159j -3.79403e-16+0.0104343j 9.63194e-17-0.00213151j 1.43844e-16-0.00662815j 9.14432e-17-0.00643334j -6.20418e-17+0.00716325j -5.05688e-16-1.60988e-05j 2.64116e-16-0.00109991j 4.2437e-17-0.00960235j 1.52093e-16-0.00705975j -4.46197e-16+0.0124605j -2.64775e-16+0.018687j 4.01464e-16-0.0204572j 9.20069e-17-0.000929145j 2.77063e-16-0.0176046j 7.47606e-16+0.00332698j -2.72037e-16-0.0208405j -2.7566e-17-0.00765987j -2.01816e-17+0.00223166j 1.00184e-17+0.0030833j 7.7432e-18-0.0196519j -3.7588e-17+0.0402072j 1.14245e-16+0.00746284j -1.06383e-16-0.0108534j 1.35244e-16-0.0472671j 5.87329e-17-0.00252112j 6.12435e-17-0.0298424j -9.59088e-17-0.0266168j -1.30747e-17+0.0161292j -2.78326e-17-0.0161318j 1.98065e-16+0.0236363j 3.42586e-17-0.0350435j 1.41744e-14+0.0606176j 3.2147e-15+0.00061717j 
-1.28755e-15-0.113059j -1.40395e-15-0.0383567j -4.0135e-16-0.0408052j -4.92864e-16-0.0300607j 1.51966e-15+0.109448j 3.17996e-16+0.0486714j -5.32722e-16-0.0323914j -2.33101e-17-0.00412341j -8.9143e-16-0.0720754j -1.05198e-15-0.0744357j -1.73625e-16-0.0201796j -8.0678e-17-0.0607406j -2.16779e-16-0.0174587j -1.58251e-16-0.0125422j 7.42708e-16+0.0076474j -8.54906e-15-0.0233733j 1.69394e-17-0.00866395j -2.18889e-16-0.0163077j 2.58782e-16+0.022153j 5.08155e-16+0.0320732j -6.76075e-16-0.031462j 6.38753e-16+0.0263302j -1.43497e-15+0.0185566j 6.39862e-17-0.00779381j -4.04538e-16-0.016584j -6.09351e-16-0.0343387j -2.03902e-16-0.0222646j -1.60111e-15-0.00143617j -7.6702e-14+0.0229902j 9.28887e-17-0.0325192j 2.20958e-16+0.0113066j -1.50783e-17-0.0256683j -1.05969e-16+0.0068816j -2.82166e-16+0.00909489j 3.01871e-16-0.0243487j 2.33253e-16+0.00668651j -1.91921e-16-0.0256192j 6.63348e-16+0.0132622j 2.0999e-17+0.0138499j -4.60531e-17+0.00407569j 5.11244e-16+0.0123896j 2.27833e-16+0.0157547j -2.67051e-16-0.0212529j 1.03106e-16+0.0138183j -5.29211e-16-0.0310378j 1.70237e-16+0.0215281j 7.89631e-17-0.0101765j -3.2273e-16-0.0275204j 1.27338e-17-0.00415933j 5.18006e-16+0.0311675j 9.48207e-17+0.011438j 1.49139e-16+0.00668053j -8.68352e-16-0.0428518j -2.12051e-16-0.0186479j -3.26235e-15+0.000191295j -1.51056e-15-0.0626085j 
2.23548e-17+0.0331354j -1.31454e-16+0.00369477j 1.80858e-16+0.0276031j -3.89514e-16-0.141031j 3.10736e-17+0.0486811j 3.33194e-18-0.0528422j 2.36529e-17+0.0330722j -2.99065e-17-0.0359933j -2.82365e-17+0.0635997j 1.1957e-16-0.053021j -4.00724e-16+0.0752244j 1.15986e-15-0.063426j 1.07637e-16+0.0158787j -7.39939e-17+0.00130768j -5.227e-16-0.043927j 6.78326e-15+0.0163027j 8.33735e-17-0.0143256j 3.88808e-17-0.00568262j 3.98156e-16-0.0262514j -1.04651e-16-0.0145767j 1.64264e-16+0.0022976j -2.08212e-16-0.0393689j 2.13087e-16-0.00538566j -1.83502e-15+0.0347771j 3.44472e-16+0.0050484j 1.36388e-16-0.00226832j -7.79696e-17+0.0123607j 1.4077e-15-0.0199357j 7.98354e-14-0.023213j 4.73417e-16-0.0263742j 2.40837e-16-0.0141738j 6.09241e-17-0.015753j 5.23622e-17+0.000624779j 4.52674e-16-0.0352105j -1.42106e-16+0.0206993j 2.10522e-16-0.0564247j -1.38717e-16+0.0361163j -1.10639e-15-0.0226655j 5.41245e-16-0.0105322j -1.06929e-16-0.00909842j -3.50043e-16-0.0129854j -4.76567e-17-5.78829e-05j 1.19887e-17-0.0166673j 1.03226e-17+0.024731j 1.80303e-16+0.0110845j 8.21606e-17+0.0338216j -1.47753e-16+0.0553831j -1.37447e-18+0.0485509j 6.16707e-17-0.0585322j 7.34133e-17-0.0130193j 6.32066e-17-0.0356189j 4.4182e-17-0.0355669j 1.62646e-17+0.0102525j 1.7061e-17-0.0131653j -3.59633e-16-0.0142426j -8.27027e-17+0.0591016j 
-2.1614e-16+0.0119972j 9.45864e-16+0.0282654j -7.62824e-17+0.0910455j 3.33054e-17+0.0649319j -3.76625e-17+0.0558118j 3.42676e-17-0.0268401j 1.56273e-17+0.0743987j 3.01762e-17-0.030193j 1.08917e-16-0.0130614j -4.23452e-16+0.0696402j -6.26299e-17+0.0949301j -2.95573e-16+0.0593262j -1.76976e-16-0.00785929j 2.41944e-17-0.0441712j 1.07895e-15+0.0311522j -1.28503e-14-0.0354889j 4.40701e-16-0.0447506j -1.80808e-17-0.0250816j 1.10551e-16-0.00595234j -1.79808e-16-0.041697j -7.63319e-17+0.0076306j -1.30289e-16-0.0161383j 2.98763e-16-0.00288356j 1.55815e-15-0.0236268j -3.77051e-18+0.00168532j -6.04495e-17-0.0317955j 6.51789e-17-0.0290127j -9.25351e-16-0.0396975j -4.03376e-14+0.0127803j 3.59777e-16-0.0315401j -4.75744e-17+0.0184198j 2.01512e-16-0.0106468j -1.01984e-15+0.0398026j -2.86973e-16+0.00665111j 2.34436e-16-0.00869586j 1.40206e-16-0.0149629j 4.3069e-17+0.00514609j 9.42025e-16+0.00763572j -3.40224e-16-0.0190784j 2.9411e-17-0.00246644j 2.92343e-16+0.00746885j 6.81658e-17-0.000150471j 6.2229e-17-0.0232405j 7.86751e-17+0.0176028j 2.26632e-17+0.0259642j 3.026e-17-0.0454924j 1.20898e-16-0.0468514j -6.86737e-17+0.0125774j -3.21947e-17+0.0321245j -1.81105e-17-0.0212182j -8.75041e-18+0.0190102j -7.90645e-17+0.0411571j -3.76852e-17-0.01809j -3.75623e-17+0.0326304j 1.39104e-14+0.0591434j 2.98873e-15+0.00380337j 
-1.68852e-15-0.0362885j 7.06678e-15+0.183918j -9.8139e-17-0.0695338j 1.60679e-16+0.0273409j 1.58524e-16-0.102992j 2.31554e-16+0.10077j 1.49029e-16+0.0958624j -7.19695e-17-0.0336163j -1.23016e-17-0.0417206j -6.64103e-16+0.151653j -2.73284e-16-0.103455j 1.25825e-16-0.0501615j 1.55024e-17+0.0509306j -1.97556e-16+0.049423j 2.01443e-16+0.0389706j -2.0411e-15-0.00267757j -4.88468e-17+0.000365576j -1.6022e-16-0.0377393j 3.9353e-16-0.00774494j -1.44045e-17+0.00356847j 1.73554e-16+0.0168542j -3.82347e-16-0.069872j 2.35956e-15-0.0241894j -2.89422e-15+0.0503861j -1.6645e-17-0.0225089j 1.09815e-16+0.00332513j 9.83714e-17+0.00038145j 8.83921e-16+0.0258721j 4.91635e-14-0.0151138j 1.38561e-16+0.0108257j 1.88744e-16-0.0147496j -7.19736e-17-0.0133555j 1.85813e-16-0.00632451j -2.49988e-16+0.0302734j 2.11551e-16-0.0162985j 8.36359e-18+0.0141204j 2.32895e-16-0.0220419j 1.41347e-15+0.00463594j -2.4119e-16-0.044549j -6.81323e-18-0.0136952j 2.43717e-16+0.00676255j 5.34407e-17-0.003153j -1.70024e-16-0.0123663j -9.40446e-17+0.0449963j 1.69162e-16+0.0099571j -1.33627e-17-0.00152955j 2.38365e-16-0.0653734j -1.3468e-16+7.02411e-05j -5.99544e-19-0.0542309j 1.15265e-16-0.041807j 5.02761e-17+0.00439931j 3.12266e-17-0.0369176j -2.3774e-18+0.0565249j 4.22479e-17-0.0712028j 1.95734e-14+0.0848019j 4.11927e-15-0.00262106j 
9.12136e-16-0.183517j 5.01621e-16-0.0344422j 2.93388e-16-0.0659167j 2.32122e-16-0.0570077j -1.11181e-15+0.173592j -6.3072e-16+0.115136j 2.43547e-16-0.0219472j -8.9763e-18-0.0114691j 4.75905e-16-0.118176j 1.0347e-15-0.107747j -3.33007e-17-0.0428198j 1.27844e-15-0.0937547j 3.77569e-16-0.0272786j 3.42284e-16-0.0301817j 8.45064e-16+0.000776953j -8.89054e-15-0.0263826j 3.04726e-16-0.0123042j 1.17785e-17-0.0476379j -3.44012e-16+0.0396303j -1.5117e-16+0.0526242j 8.71368e-18-0.0379636j 1.09122e-16+0.0132724j -2.65621e-15+0.0264004j 7.08759e-16-0.0142575j -1.20716e-16-0.0265526j 1.04016e-16-0.0575952j 2.82097e-16-0.0391149j -2.49226e-15-0.00322685j -1.24935e-13+0.0372436j 1.30303e-15-0.0604792j -1.05149e-16+0.021812j 6.9802e-16-0.037881j -9.17219e-16+0.0290158j -4.57599e-16+0.00477152j 9.49592e-16-0.0349061j 2.8949e-16+0.00105297j 2.88438e-16-0.0370593j 6.72275e-16+0.0173907j -4.56927e-16+0.0112404j -2.36252e-16+0.00681135j 4.72691e-16+0.0182802j -6.5206e-17+0.0258424j 2.55264e-16-0.0460443j -1.15201e-16+0.0345491j 7.85642e-17-0.046902j -3.93008e-16+0.0331493j 1.18054e-16-0.0133921j 2.00754e-16-0.0373193j 6.91309e-17-0.0224216j -2.57777e-16+0.0397289j -1.64035e-16+0.0250096j -1.14841e-16+0.0127874j 1.04376e-16-0.0699086j -5.39243e-17-0.0337735j -2.98783e-15+0.00695606j -1.85349e-16-0.0930284j 
2.79146e-16+0.0003896j -1.67058e-15-0.0447769j -3.5306e-17-0.0255067j -3.99223e-17-0.0166891j 1.06367e-16-0.0468253j 6.16094e-17-0.114214j -2.58743e-17+0.00348433j -1.79566e-17-0.0663807j -3.07116e-17+0.00837064j -5.39295e-17-0.0231723j -6.07024e-17+0.0453565j 1.06006e-16+0.0158591j 3.85172e-17+0.0193357j 6.59512e-17+0.039048j 3.06564e-15+0.06605j -3.79299e-14-0.104739j 4.41114e-17+0.0248544j -6.81832e-17+0.0107703j 1.08454e-16-0.00514756j 1.96824e-16+0.0453235j -1.54259e-16-0.0240703j 3.79956e-18+0.0109291j -2.4406e-15+0.0235748j -3.4035e-15+0.0499258j -1.44599e-16-0.0444224j 1.11467e-16+0.00564338j 1.73342e-16-0.00354355j 1.66787e-15+0.0159292j 8.07266e-14-0.0242576j 1.02233e-16+0.010711j 8.42734e-17-0.00524766j -1.19757e-16-0.0129476j 1.74031e-15-0.0603697j 1.69733e-16+0.00426647j -2.74522e-16+0.0199236j -2.96796e-16+0.02754j -6.06295e-17+0.0024833j -2.54141e-16-0.00422093j 1.87079e-16-5.30755e-05j 3.33555e-17+0.00357911j 1.45277e-17+0.00355701j -7.40933e-17-0.0284906j -7.8898e-17+0.0415016j -5.08493e-17-0.0394019j -2.03435e-17-0.0278119j 5.11463e-17+0.0362742j 5.97935e-18+0.00925755j 1.5703e-17+0.00439857j -6.79151e-17-0.00318696j 4.40158e-17+0.0301543j 4.0409e-17-0.0386427j -1.549e-17-0.0226251j 2.90866e-17+0.0345297j 2.08411e-17-0.0308816j -9.36399e-15-0.0337015j -2.02541e-15-0.0299133j 
-3.15599e-17+0.00520624j 2.0493e-16+0.00653043j -2.02687e-17+0.00217958j 6.11594e-17+0.00661297j 1.05056e-16-0.0788196j 1.38181e-16+0.0529995j -8.85271e-17+0.112959j -1.67652e-16+0.0328031j -1.18443e-16+0.00701792j 2.75893e-16-0.0178996j 5.86391e-16-0.0396755j -1.29028e-15+0.0840192j 4.46304e-17-0.00458824j 7.70085e-17-0.00765845j -3.43632e-16-0.0369877j 4.26082e-15+0.00977267j -2.27854e-16+0.0587983j -5.69194e-16-0.047288j -4.28944e-16+0.06847j 1.6297e-16+0.0474248j 4.12993e-16+0.0389359j -1.56644e-17-0.0851893j -5.14024e-15+0.0462181j -5.36029e-16+0.00874944j -1.31295e-16-0.0053665j 3.81367e-17+0.0159576j -1.13032e-17+0.0134057j -1.49312e-15+0.0268805j -7.58087e-14+0.0219988j -2.59975e-16+0.00674689j -3.22334e-16+0.0510975j -5.13212e-16+0.0150312j -5.27075e-16+0.0334416j -2.38859e-17-0.0579471j -5.54369e-16+0.0324228j -4.94742e-17+0.013187j -2.84856e-17-0.0165626j 2.17815e-15+0.0084503j -4.96497e-16-0.042408j -5.36942e-17-0.0173265j 7.12153e-16+0.0216445j 1.73952e-17+0.00106107j 5.41321e-17-0.0141847j 3.25457e-17-0.0169975j 9.70358e-17-0.00515085j -2.53455e-17+0.0264341j -2.80286e-18+0.0127992j -3.19513e-17-0.00507465j 5.72963e-17-0.0254139j 1.43832e-16-0.036226j 1.02684e-16+0.000460917j -6.10317e-17+0.0325137j -1.11182e-16-0.0284554j -1.57096e-17-0.0130861j -4.19111e-15-0.0123429j -8.33719e-16-0.0256587j 
7.6478e-18-0.0138103j -3.15319e-17-0.00442803j 2.68871e-17-0.0600014j 1.20804e-16-0.0124372j -1.3628e-16+0.0271259j -8.58819e-17+0.120989j 1.84433e-16-0.0711255j 9.04282e-17-0.0823629j -4.06039e-17-0.0801346j 1.25986e-16-0.00543714j 4.46758e-16-0.0799719j -7.2513e-16+0.0280564j 1.58811e-16-0.0434375j 2.69608e-17-0.0453377j -2.48872e-16-0.0353759j 5.18258e-15+0.0122763j 1.49801e-16+0.0278702j 3.6955e-16-0.0693621j 6.54789e-16-0.0406789j 1.62783e-16+0.0529744j 2.37523e-16+0.0418191j 4.96911e-17+0.037321j 6.11025e-15-0.0562245j 5.24252e-15-0.0896783j -1.63294e-16+0.0349874j -3.53421e-16-0.00926262j -8.24414e-17+0.00963712j -2.0398e-15-0.0115527j -1.03316e-13+0.0307969j -5.90187e-16+0.0195359j 1.07751e-17-0.010885j -1.84883e-16+0.0294543j -7.64295e-16+0.0282616j 2.31037e-16-0.0215932j 5.55411e-17-0.00228625j 4.97016e-16-0.0505702j 3.28112e-17-0.00448653j -2.55944e-15-0.0160269j 5.43368e-16+0.0474032j 1.98274e-16+0.0186035j -1.2152e-15-0.0317261j 4.3339e-17-0.0188014j -6.67677e-17+0.00800311j -2.28107e-16+0.0297218j -2.00755e-16-0.0463222j -2.01383e-16+0.0230631j -9.03653e-17+0.0430662j 3.40317e-17-0.0319022j -1.13442e-17-0.0340574j -7.6597e-17+0.0367426j -7.03268e-17+0.0738506j 3.75569e-17-0.00840303j 3.7705e-17+0.0266409j 3.94287e-17-0.0103638j -1.58896e-14-0.0695337j -3.45543e-15+0.0049711j 
1.72797e-16+0.0145082j -7.0744e-16-0.0149152j 6.02182e-17-0.0461277j -6.64202e-17-0.0350477j 3.39268e-17-0.0558925j -1.30986e-16+0.0382557j -8.85348e-17-0.0958981j -1.24786e-16+0.13075j -1.43886e-16-0.012255j 2.24804e-16-0.0455169j -2.00897e-16-0.0678055j 8.06895e-16-0.0893379j 1.81043e-16+0.00922991j -7.38515e-17+0.0922569j -2.30145e-15-0.0338895j 2.72383e-14+0.078133j -6.72658e-16+0.0605908j 1.1207e-16+0.0617877j -4.61558e-16+0.00134909j 2.07368e-16+0.00200389j -5.46352e-18+0.00975157j 3.17996e-16+0.0741695j -1.36758e-15+0.013961j -1.58026e-15+0.0309918j 4.49091e-16+0.0652412j 9.49701e-17+0.0799338j -8.45056e-17+0.0511521j 2.0408e-16+0.0461176j 4.52551e-15-0.00222738j -3.26477e-16+0.0219878j 2.4384e-17-0.0343302j -1.39163e-16+0.0168996j 2.01672e-16-0.0132163j 1.05603e-16-0.00385745j 4.55382e-16-0.0436976j 1.33296e-16+0.00517976j 9.1761e-17+0.00437838j -8.43326e-16-0.00796899j 4.92917e-16+0.0107816j -4.89699e-16-0.0253796j -2.85029e-16-0.0143485j -7.29063e-17+0.0484024j -5.29481e-17-0.00285223j -5.95413e-17-0.00269853j 1.09666e-16+0.0107691j 9.27899e-17+0.0174801j -1.20166e-16+0.0487816j 1.29266e-17-0.0354155j -5.24907e-17+0.0066913j 1.3381e-17-0.0398339j -6.94007e-17-0.0171911j 5.16135e-17-0.0390044j -1.65613e-16-0.0431164j -6.16514e-17-0.00111583j -2.90177e-15-0.0193923j -6.10273e-16+0.0319772j 
1.22757e-16-0.00187268j -1.89637e-16-0.00452752j -2.52615e-16-0.0372955j 5.8483e-16+0.244325j -5.75011e-17-0.135761j -2.44608e-16+0.0598472j -2.48536e-17-0.043196j -5.76069e-17+0.0321318j 7.62831e-17-0.120594j -4.01885e-16+0.134659j 9.39098e-16-0.12361j -2.28731e-15+0.144217j -1.42428e-16-0.0554658j 3.09746e-16+0.0137381j 1.18817e-15+0.0704747j -1.37111e-14-0.033252j -2.83974e-16+0.0555088j 6.44521e-17+0.00843053j -7.08888e-16+0.0332685j 4.84073e-16+0.0220552j -2.6786e-17+0.0401098j 4.33325e-16+0.0894893j -8.60562e-16+0.0128988j 3.20318e-15-0.0560227j -1.11974e-16+0.0217063j -2.70352e-16+0.0333741j 5.39745e-17+0.0135194j -3.8741e-15+0.0243923j -2.27119e-13+0.0666551j -2.05003e-15+0.0823544j -5.76616e-16+0.0312332j -1.56163e-16+0.0358225j -1.18083e-16-0.00210221j -6.38476e-16+0.0324017j 2.26295e-16-0.0383437j -2.94826e-16+0.0787581j 2.35361e-16-0.0700985j 7.99622e-16+0.0226414j -4.63376e-16+0.0229196j -5.97256e-17-0.00720325j 3.01518e-16+0.0105645j 1.48218e-16-0.00887098j 1.6419e-16+0.0388384j -1.31338e-16-0.0507476j -3.66108e-16-0.0454942j -1.85412e-16-0.0435438j 2.50724e-16-0.0834946j -8.64456e-18-0.0922415j -1.61291e-16+0.0825579j -1.33963e-16+0.00082542j -2.63951e-16+0.0690519j -1.60428e-16+0.0557225j 1.13024e-16+0.0151923j 1.31973e-17+0.0131676j -4.02991e-15-7.81014e-05j -7.77833e-16-0.0803797j 
