7.64938e-14+0.177815j 6.8251e-15-0.177325j -2.52233e-16+0.121767j 5.79832e-16-0.011914j -1.01927e-15+0.0260188j -1.13146e-15+0.255877j -5.84919e-16+0.0492954j 5.29105e-17-0.0154291j -3.43438e-16+0.118639j -1.4933e-15+0.167583j 2.37669e-16+0.193088j 1.53743e-17-0.0406174j 3.99533e-16-0.029796j -1.36889e-16+0.0297058j -3.228e-16+0.0363931j 4.41752e-16-0.00846076j 6.87227e-16-0.0471474j 3.25301e-16+0.0027464j -4.55689e-17-0.0211093j 5.24793e-16-0.0570291j 5.73082e-17-0.0104951j 3.89015e-16-0.0672327j -8.82945e-17+0.00636992j -8.40437e-17-0.0427906j 1.63493e-16+0.0063096j -1.59848e-16+0.014956j 1.58545e-16+0.0069097j -1.16255e-15+0.0210585j 2.88363e-16-0.0405075j -4.74887e-19-0.000447377j -2.14722e-16+0.00913336j 7.13544e-16-0.0120963j -2.73651e-16+0.00636578j 3.28533e-17-0.0300231j 3.56783e-16-0.00438704j 2.5219e-16+0.00379072j 8.32095e-17+0.000856708j -1.01176e-14+0.021253j -6.78049e-14-0.0208061j -5.59053e-14-0.00325446j 4.60562e-17+0.00287045j -2.94037e-15+0.0168017j 4.08851e-16-0.0102852j -5.48749e-16+0.0251204j 6.04347e-16-0.0326451j -2.18882e-15+0.0241677j 3.77533e-16-0.00880583j 3.03389e-16-0.0106245j 4.77234e-17+0.000100953j 5.61386e-16-0.00237518j 2.59366e-16-0.0365595j -1.63408e-16+0.00605465j -5.69864e-17-0.0192251j 6.57138e-17-0.00407376j -4.57472e-17-0.0304009j 2.94943e-16-0.0209343j -9.66705e-16+0.0544217j 1.88737e-16-0.0269919j 1.02563e-16+0.00388577j -1.92186e-17-0.0149878j 1.86312e-16-0.0124787j -4.78208e-17-0.000551267j -4.49129e-18-0.00817791j 1.28568e-16-0.0044816j -3.452e-16+0.0759721j -7.5202e-19-0.0202687j 5.26552e-17+0.0152422j -3.1656e-17-0.0632403j -9.62672e-17+0.0216936j 3.70446e-16-0.055966j 1.87744e-16+0.00122431j -3.24687e-16+0.0376534j -1.92038e-16+0.0290323j -1.86468e-16+0.000439542j 3.64605e-17-0.071852j 8.92155e-16+0.0794038j -2.35151e-14-0.0438362j 
-8.67141e-14-0.174695j -4.7071e-15-0.179134j -5.52799e-16-0.0350299j 2.25903e-16-0.116352j -5.35839e-16+0.261024j -7.6511e-16-0.0502689j -3.85646e-16+0.0931892j 1.71461e-17+0.00037881j -2.59514e-16-0.115296j -5.55353e-16+0.214356j -1.08861e-15-0.0983073j -5.0793e-17+0.0933232j 2.57272e-16-0.0590589j -2.80459e-17-0.0157591j -2.00317e-16-0.000634335j 5.19742e-16-0.0508186j 4.41935e-16+0.0163092j 2.80979e-16-0.053323j 3.85085e-18+0.030148j 1.59189e-16-0.0433962j -1.49727e-16-0.0194691j 1.87942e-16-0.0032767j 1.1613e-16+0.0318964j 3.11293e-16+0.0341785j 1.99e-16-0.0429966j -1.56171e-17+0.0161768j -2.91581e-16+0.0440385j 5.62588e-16+0.00237715j 8.39153e-17-0.0429506j -2.31969e-16-0.0243052j -2.82304e-16+0.0071519j 1.51288e-16+0.004316j -1.41622e-16+0.0387703j 1.28663e-16-0.0155499j 2.71983e-16-0.0344243j -1.17074e-15-0.0174333j -1.7082e-16+0.00291111j 2.54238e-14-0.0396893j 1.51937e-13+0.0247694j 1.25972e-13+0.0312468j -5.73686e-16+0.0237445j 1.38337e-15-0.00580126j 6.91921e-17+0.00812011j 1.46135e-17+0.00730965j -1.65167e-16-0.0180972j 1.30172e-15-0.0221206j -1.33549e-16+0.00205915j 4.29775e-17+0.00949893j 7.15398e-17-0.0242856j -8.2061e-16+0.0132847j -2.13989e-16+0.0208933j -1.97384e-16-0.0021969j 7.52199e-17+0.0299318j 2.60422e-16-0.0201878j 2.52914e-17+0.043173j -1.62831e-17-0.0474228j -1.74817e-18-0.0163148j 1.67677e-16-0.0160595j 1.96662e-16-0.0366752j 1.44458e-16+0.014103j 1.03881e-16-0.0105028j 1.0083e-16+0.00487395j 2.79907e-18+0.00600653j 4.7339e-17-0.00266517j -3.01137e-16+0.00338047j -1.10811e-16+0.0464351j 8.09126e-17-0.0624474j -3.59418e-17-0.0275836j -6.07798e-17-0.0217314j 1.92436e-16-0.00538245j -8.16824e-17-0.067147j -1.45401e-16+0.0188496j -9.33909e-17-0.00339019j -1.30178e-16+0.0764513j 1.33982e-16-0.00196346j -2.84922e-15+0.0444523j 3.70174e-14+0.0803639j 
-1.60702e-14-0.0316974j -1.08414e-15-0.0442763j -2.98247e-16-0.138418j 4.39209e-17+0.212899j -5.50494e-17-0.101642j -9.61072e-17-0.0773496j -3.55683e-17+0.140033j 7.32832e-18-0.0673597j -2.40643e-17-0.114076j -2.32567e-16-0.0828606j -6.74794e-16-0.112111j -1.92961e-16-0.197839j -1.08554e-17-0.00540331j 7.76686e-17-0.00105261j 8.07602e-17-0.0675816j -1.44616e-16+0.0428841j 9.87181e-16-0.076867j 5.44335e-16-0.0837727j 1.88518e-16+0.0407748j -2.11626e-17-0.0420956j -9.67473e-16-0.0779096j 3.67566e-17-0.032477j 1.5038e-16+0.0802382j -2.11358e-16-0.0364109j -2.62459e-16-0.00144177j -6.86666e-17+0.0693394j 8.34413e-16-0.0102344j -2.36435e-15+0.0421021j -3.07159e-16-0.0302219j -8.22757e-16-0.0427526j 6.97723e-17+0.00717849j 1.27987e-15-0.0660257j -4.83963e-16-0.0278839j 2.90537e-16-0.00703009j -3.38183e-16+0.0732847j 7.32716e-16+0.00578937j -4.67386e-16-0.00556544j 3.25423e-14-0.062764j 1.58746e-13+0.0499148j 1.25786e-13+0.00438526j 1.16707e-16-0.0464868j 1.47066e-15-0.0082779j -2.57469e-16-0.0237012j -2.02128e-17-0.0147447j -2.25364e-19-0.0253418j -1.06282e-15+0.0121882j -1.60856e-16+0.0258529j -3.06585e-16+0.01291j 1.18059e-16-0.0204196j -9.58004e-16+0.0157808j -3.04807e-16+0.021035j -3.23234e-16+0.0256895j -5.75295e-17+0.00284407j 1.14631e-16-0.00701754j -1.45592e-16-0.0292079j -2.82733e-17+0.0119344j -4.43587e-16+0.0313018j -6.77877e-18+0.0640325j 1.16269e-16-0.022108j -1.38316e-16+0.0507824j 1.17512e-17-0.039603j -2.7677e-16-0.0573768j -5.9532e-17-0.0835636j 1.32287e-16+0.0134932j 1.19658e-16+0.0477362j -1.13163e-16+0.0276437j -3.07228e-17-0.00112269j 3.08996e-16+0.0390517j -6.02315e-18-0.0909864j -7.62242e-17-0.0903508j -1.3907e-16-0.0284112j 2.66716e-17-0.0306148j 2.04539e-17-0.00361988j 5.36772e-17-0.00239947j -1.46546e-16-0.0269474j -2.22915e-15+0.0293455j 3.39101e-14+0.0727866j 
1.4852e-14+0.0339371j 9.82515e-16-0.0286068j -5.51304e-16-0.145369j -1.84382e-16-0.172162j -1.57346e-17-0.0966403j -3.81995e-17-0.0332659j -2.05839e-17+0.13055j -4.22149e-17-0.15775j 1.14603e-16+0.154271j 3.79768e-16+0.121762j -1.4935e-15-0.238848j -1.6272e-17+0.048183j -2.22341e-17+0.0940161j 6.65083e-17-0.0473119j 1.31493e-16-0.0195378j -5.30279e-16+0.0485135j -5.84476e-16+0.0655951j -4.96149e-16-0.0567289j -7.87538e-16-0.15352j -4.24486e-17-0.0926247j -4.768e-17-0.017331j 2.17102e-16-0.0784054j -1.74191e-16-0.0353307j -2.19521e-16-0.0723679j 1.72192e-17+0.0285464j 6.50205e-17-0.0413576j -3.34829e-16-0.0560148j 6.97738e-16-0.032208j 1.41213e-16+0.0959171j 6.45815e-16+0.029228j 3.64002e-16-0.0319402j -6.43673e-16+0.0165499j 4.28518e-16+0.00203496j -3.2367e-16+0.027047j -3.8531e-16+0.0610807j 1.32098e-15+0.0144143j -4.15732e-16+0.0102836j 6.98661e-14-0.0842809j -1.45834e-13-0.022599j -1.69427e-13-0.0484185j 3.91321e-16-0.0375432j -1.93932e-15+0.0121503j 7.12053e-16-0.0660924j -1.00558e-15+0.0326181j 4.82212e-16-0.0368659j -3.08012e-15+0.0369339j 8.48339e-16+0.0138146j 3.47096e-16-0.0475806j 1.8753e-16+0.0276541j -4.11262e-16+0.0223136j -1.49862e-16-0.0133822j -1.50861e-16+0.0121562j 4.41681e-17-0.017094j -1.83101e-16+0.0205783j 3.0429e-17-0.0147222j 2.9908e-17+0.00596716j -3.2577e-16+0.0304041j 1.00634e-16-0.0046654j -3.08257e-17+0.0091388j -4.96152e-17-0.00941392j 2.73145e-17-0.0205067j 1.98636e-16+0.0139487j -3.14552e-17-0.0243754j -9.76773e-18-0.0084606j 6.97181e-17+0.0135651j 1.77702e-16-0.0259127j 1.80174e-17-0.0362157j -6.93106e-16-0.0896883j -2.64041e-17+0.00683732j 1.37529e-17+0.0553477j 9.32322e-17+0.0252487j -1.67641e-18+0.0632432j 1.58059e-17-0.0504177j -5.01459e-17-0.025485j 2.4076e-16+0.0357398j 1.40297e-15+0.0713001j -2.14649e-14-0.0401188j 
8.03425e-15+0.0195084j -6.65894e-17-0.0422351j 1.18052e-15+0.0693214j 6.22295e-16+0.0428321j 2.31419e-15+0.173609j -2.03679e-15-0.154404j 6.04262e-16+0.0416559j -2.19773e-15-0.165116j 1.13713e-15+0.0836902j 4.15336e-16+0.0202101j -1.88017e-15-0.0973611j -1.11826e-16-0.00828574j -1.95154e-15-0.160929j 1.58117e-15+0.163497j 2.5772e-15+0.212831j -1.62499e-16+0.0482209j 7.44657e-16+0.261637j -8.77431e-16+0.0364j -1.39001e-15-0.113043j -1.26683e-16+0.00295932j 7.81349e-16+0.035754j -4.20428e-16-0.0312251j -2.35403e-16-0.0071554j 7.39307e-16+0.0350243j 5.95463e-16+0.0672299j 1.02867e-15+0.0783047j 5.05026e-16-0.0642434j -2.95527e-15+0.0548416j 3.08571e-16+0.0235497j -2.53452e-15-0.109748j -1.63202e-16+0.00377481j 1.24273e-15-0.0820033j -8.18536e-16+0.0194301j 1.3798e-16-0.0111894j 4.75442e-16+0.0450402j 1.44654e-15+0.0151474j 7.94997e-16-0.00631045j -7.17239e-14+0.0738968j 1.00635e-13+0.0428692j 1.25612e-13+0.00680233j -2.16813e-16-0.0108611j 2.68328e-15-0.0224699j -5.67219e-16-0.0183218j -1.73151e-16-0.0430053j -1.13363e-15-0.0284546j 3.23164e-15-0.0605371j -1.08149e-15+0.0119703j 3.1476e-16+0.0636699j -1.16886e-15-0.0649621j 5.87055e-16-0.0517544j 4.63768e-16+0.015776j -1.12287e-17-0.0352484j 4.54786e-16+0.0186451j -4.26525e-16-0.0456559j 8.23763e-17+0.006727j -6.24255e-16-0.0419716j 5.50009e-17-0.0153891j -6.44585e-16-0.0378456j -2.39867e-16-0.0250884j 2.89134e-16+0.0176731j 3.01782e-16+0.0263538j -1.53261e-16-0.00736322j -4.56377e-16-0.0357168j 5.20267e-16+0.0385037j -5.64514e-16-0.031639j 1.66322e-16+0.0162284j 6.43216e-16+0.057774j 5.29433e-16+0.0270147j -2.84406e-16-0.02236j -7.17764e-16-0.0541389j -7.67592e-17-0.00470224j -9.46772e-16-0.0723487j 7.77905e-16+0.0601502j 7.68435e-16+0.0465126j -1.70061e-15-0.0863509j 6.90734e-16-0.00520891j -1.18111e-14-0.024344j 
3.52744e-14+0.0751946j 2.35813e-15+0.0140112j 1.44395e-16+0.0302879j 6.48871e-17+0.0205841j 2.21109e-18+0.0782229j 2.35396e-16+0.22518j -9.49304e-17+0.165712j -1.90571e-16+0.00416333j 3.31206e-17+0.09912j -6.19926e-17-0.0251475j 4.54223e-16+0.069167j 9.74029e-17+0.168525j -9.02516e-17+0.00462667j 8.94952e-17-0.0402051j 4.23931e-16-0.0859217j -8.87598e-17-0.0538262j -1.58095e-15+0.0293526j -1.36086e-15+0.314893j 7.05626e-17-0.00376134j 1.24308e-17-0.124199j -1.28614e-16-0.00542902j 1.47029e-16-0.0379553j 3.91702e-16+0.110594j -2.16695e-16-0.0765639j -7.7374e-17-0.0387743j -5.21332e-16+0.149277j 4.80496e-16-0.0636899j -3.02393e-15+0.0371805j -2.3541e-16-0.0408445j 2.15389e-16+0.0741528j 1.96025e-16-0.0105372j -2.12861e-15+0.0780653j 5.1437e-16-0.0617768j -5.22526e-16+0.0232092j -3.25537e-16-0.00120923j -5.22313e-15-0.069225j -8.01515e-16+0.00640809j 4.34933e-14-0.0507077j 7.94184e-14-0.00090864j 5.28006e-14+0.0267635j -2.30155e-16+0.0174644j 6.12829e-15-0.0375399j -5.15043e-16+0.0604056j 5.20472e-16+0.0253844j 1.52406e-16-0.0439768j 1.51934e-15-0.0320894j 1.63011e-15+0.0207084j 8.2878e-16-0.116292j 5.7443e-17-0.0570162j -9.38455e-16+0.0160344j -8.47602e-17+0.0365589j 9.58113e-18+0.0172696j 3.21686e-17-0.0330701j -1.81901e-16+0.0357014j -2.54667e-16-0.0225267j 5.78847e-17+0.037898j 2.1086e-16+0.00168786j 1.59272e-16+0.014895j 3.4272e-17-0.0301926j -6.47536e-18-0.0375477j 2.68728e-16-0.052034j 2.59517e-16+0.0226284j -9.40821e-17-0.0267058j 2.42965e-17+0.000682505j 2.14892e-17-0.00487217j 3.55239e-17-0.00114813j -1.26728e-16+0.0523241j 2.04597e-16+0.0165102j -3.37399e-17-0.00200542j -4.48397e-18-0.0402357j 1.83182e-17-0.0142484j -1.8516e-17+0.01509j 8.55171e-17-0.0506949j 1.14978e-17-0.073154j 5.6283e-17-0.00806634j 1.60758e-15-0.0381211j -2.46753e-14-0.0542107j 
-1.31987e-15-0.00731706j -1.25425e-16+0.0669718j 1.58724e-16+0.0336545j -1.5307e-17+0.0855043j 1.05599e-16-0.132258j 1.06015e-17+0.0955508j 2.20368e-16-0.16903j 1.06455e-16-0.169661j 8.48898e-18+0.124363j -1.8589e-16-0.11624j 1.46314e-16+0.0202585j 7.14742e-17+0.070225j -7.41273e-17-0.0868358j 1.55101e-16-0.0679726j 9.03087e-17-0.0974805j 9.69519e-16-0.146127j -8.39913e-17-0.011164j -4.02774e-16+0.108816j 2.11459e-17-0.100848j 5.57971e-16+0.227489j 8.06149e-16+0.0322888j -7.1461e-16-0.178591j 1.14799e-16+0.00531472j -2.19474e-16-0.0836585j 3.74129e-16-0.0324392j 2.99217e-16-0.156385j -1.91798e-15+0.0705498j 4.13905e-15-0.0691436j -2.49832e-16-0.0384055j 8.45196e-16+0.0555811j 8.16977e-17+0.0155365j -3.53157e-16-0.0151515j 2.70906e-16-0.00596868j 2.97363e-16+0.0181938j 3.1061e-16-0.0297682j -1.4188e-15-0.01481j -7.61198e-16+0.0161838j 6.84405e-14-0.0896586j 7.30534e-14+0.00760482j 3.21056e-14+0.00939432j 9.29224e-16-0.0642393j -1.00584e-14+0.0677369j -3.72395e-16+0.00377292j 4.3449e-16-0.0274401j 5.93568e-16+0.00899328j -3.80035e-15+0.0568771j 1.7923e-16+0.0337419j -5.35439e-17-0.0211393j 2.75277e-16-0.0372984j -7.43124e-16-0.0107263j -1.30174e-17+0.0733116j 4.5148e-16-0.0388731j 9.18233e-17+0.0443755j 2.3482e-16-0.0151439j 5.64065e-17+0.0302552j 3.07469e-17+0.0280754j -6.12779e-16+0.0320513j -9.76504e-17+0.0478614j -2.97703e-16+0.0346678j -2.91322e-16+0.0209108j -2.57974e-16+0.0490399j -3.41571e-16-0.040856j 9.91838e-17-0.0264539j -1.06138e-17+0.0640224j 4.39618e-17+0.0160372j -1.55663e-16+0.00501486j -1.67322e-17+0.0285672j 6.06623e-16+0.0808501j -4.70441e-18+0.000411398j 5.06591e-17-0.0262907j 9.25096e-18+0.0358889j -2.36849e-17+0.028503j -9.92472e-17+0.0400486j -2.15803e-17+0.0264852j -4.50833e-17+0.00895221j -1.75001e-15-0.083047j 2.73607e-14+0.0518247j 
2.21451e-14+0.0468159j 1.49483e-15+0.014733j 3.76729e-17+0.0262375j 6.23573e-17-0.0149169j -9.30257e-18-0.0219692j 1.06919e-17-0.00560587j 9.96077e-18+0.0627231j -2.10494e-17-0.203163j -2.5316e-16-0.0872362j 2.3953e-17-0.00387888j 1.60544e-16+0.0154769j 3.17279e-17+0.0571391j 3.8052e-17+0.0546175j 2.25824e-16-0.185793j 7.77555e-17+0.0309861j -2.94495e-16+0.0710173j 8.67138e-17-0.016523j -2.03934e-17-0.026842j -3.7551e-16-0.119261j -3.80501e-17-0.0757276j -1.11989e-15-0.084401j 2.62724e-16-0.0058463j -3.11704e-16+0.0289799j -1.04125e-15-0.208092j -7.28807e-16+0.226436j -7.11802e-16+0.0257312j -5.17396e-16-0.0094845j 2.93031e-15-0.0469431j -9.42753e-17+0.0127352j 2.69011e-16+0.00445559j -3.94143e-17+0.0334646j 6.97537e-17-0.021977j -2.3787e-16+0.0136895j 6.80565e-16+0.0206111j -2.14135e-16-0.01712j -4.33473e-15-0.0556856j 1.50882e-16+0.0447881j 6.28103e-15-0.000212621j 2.95298e-14-0.0117033j 2.52463e-14+0.0242975j 2.62399e-16+0.0147705j -5.73097e-15+0.0395606j -3.45745e-16+0.0301365j 1.38532e-16+0.00236077j -5.18288e-16-0.0146913j 3.95145e-15-0.0639966j 1.03433e-16+0.00036748j 5.6246e-17-0.0114501j -4.07559e-16-0.0547847j 1.23009e-15-0.0305265j -3.29953e-16-0.0205863j 1.13821e-15-0.0832916j 6.28441e-16+0.0091942j -4.63513e-17-0.011676j 1.0912e-16+0.0424939j -5.47083e-17-0.0267137j 1.4848e-16-0.00878851j -2.52388e-17-0.0319794j -7.17549e-17-0.00877022j 4.13598e-17+0.020108j -3.9094e-16+0.0523142j 3.22946e-16+0.0602326j 9.08761e-17-0.063677j 8.37616e-17+0.0570803j -5.06632e-17-0.0588221j -3.49861e-17+0.0204276j -6.78157e-17+0.0373167j -1.07742e-16-0.0120372j 2.94307e-17-0.0439647j -1.52687e-17-0.0120858j 2.00249e-16+0.0695354j -4.94276e-17-0.0111249j -2.2005e-17+0.0165588j 1.54818e-17+0.057769j -1.12432e-16-0.0105018j 1.44475e-15-0.0292138j -2.18401e-14-0.0475861j 
-8.16652e-14-0.181666j -5.06988e-15+0.0784912j -4.99638e-16-0.0736037j -2.87605e-17-0.0932261j -4.5288e-16+0.0992109j -3.88274e-16-0.236366j -2.28706e-19-0.0057277j -2.39794e-16-0.087284j 3.4229e-16+0.0936062j 1.29141e-16+0.120238j -1.50863e-15-0.15959j -1.27349e-16+0.218457j 1.74237e-16+0.0848431j -7.82523e-17+0.0317545j 2.59452e-16-0.0528305j 7.64817e-17-0.0605732j -1.78251e-15+0.166865j -1.26144e-15+0.108325j -5.58412e-16-0.130726j -3.36879e-16+0.0731421j 1.13044e-15+0.0560772j -3.05111e-16+0.0244275j 2.00179e-16+0.186093j 3.40927e-16+0.0548137j 2.0551e-16-0.0120481j 3.88555e-16-0.0487045j -6.13841e-16-0.00268845j 3.76039e-15-0.0484371j 1.41348e-15+0.143332j 1.40665e-16+0.0746899j -1.23373e-15-0.0991752j -4.62606e-15+0.236246j 8.16031e-16-0.0396557j -3.27548e-15-0.136755j 1.19534e-15-0.160304j 2.74939e-16+0.00481847j 6.45404e-16-0.0168278j -4.60521e-14+0.01658j 2.52632e-13+0.10021j 2.48864e-13+0.00209712j -7.21117e-16+0.038406j 5.10628e-15-0.030118j 3.20988e-16+0.027131j 3.25186e-16+0.0287557j 7.85977e-17+0.0581731j 1.04067e-15+0.00159666j 5.39823e-16+0.0684671j -6.67403e-16-0.070273j 4.60683e-16-0.0180028j -8.99659e-16-0.0214036j 5.91651e-16+0.156585j 1.4938e-15-0.0520158j 1.44416e-16-0.0256018j -4.66325e-16+0.0103517j 2.87959e-17+0.0536057j 2.1593e-16+0.0287327j 3.05843e-16-0.0259427j 2.48831e-17-0.0337573j 2.50057e-17-0.0488428j -1.58528e-16-0.102337j 6.85927e-16-0.0320895j -5.19048e-16-0.0420398j -2.24994e-17+0.016286j -1.43928e-16+0.035532j -2.05091e-16-0.0638528j 6.15592e-17-0.0228329j -8.98437e-17+0.0908468j -4.27981e-16-0.0510048j -1.45306e-16+0.0419947j 1.7621e-16+0.0174806j -1.97373e-16-0.0792196j -2.54228e-17+0.000267874j -9.95161e-18-0.00449841j 1.68662e-19+0.0846681j -1.22157e-16-0.00908903j -1.09505e-15-0.0365732j 1.50381e-14+0.0290153j 
5.21286e-14+0.0930242j 5.58173e-15+0.284905j -1.2153e-15-0.099586j 1.04464e-15+0.184788j -2.65422e-15-0.382435j -2.25106e-15-0.170966j -5.70244e-16-0.0968026j -1.09843e-16+0.00250912j 2.77308e-16+0.00885016j -2.52959e-15-0.295932j -2.70348e-15-0.159002j -8.59387e-16-0.152255j 2.76982e-16+0.0822008j -1.79349e-16+0.0093474j 4.84846e-16+0.025295j -2.88466e-16+0.0991364j -8.8142e-17+0.0827895j -7.54458e-16-0.0250781j -2.01713e-15-0.182602j 5.5433e-16+0.0370409j -1.52692e-16-0.0241132j 7.04669e-16+0.031899j -2.76336e-19+0.0193335j -6.83659e-16-0.0427846j -4.69095e-16+0.0354857j 5.74951e-17-0.0247382j -4.93965e-16-0.226935j -8.9004e-15+0.0833017j -2.35518e-16+0.065752j -3.41417e-15-0.108737j -6.88519e-16-0.0257126j 9.84727e-16-0.0465604j -2.22562e-15-0.166921j -2.38229e-15-0.0900373j 3.47331e-16+0.108083j 1.09206e-14+0.123593j 1.3531e-15+0.110039j 5.47395e-15+0.0188737j -9.09175e-14-0.0528771j -8.26841e-14+0.0202243j 2.89508e-16-0.0339553j 8.21238e-15-0.0631643j 5.23904e-16-0.0718669j -9.22742e-16+0.0635085j -6.53504e-16+0.0546134j 4.08549e-15-0.0610975j -1.26663e-16-0.00793428j 2.75376e-17+0.0296652j -7.245e-16-0.0270735j 1.91454e-15-0.0609688j 7.41513e-16-0.0146187j -5.31599e-16+0.0115086j 9.37976e-17+0.0381955j -1.25245e-16-0.0190124j -2.5615e-16-0.0235126j 4.54043e-16+0.0470944j 3.55471e-16-0.0413144j -3.2763e-16-0.0411496j -5.75108e-17-0.00155445j 4.98447e-17-0.00342841j 7.40952e-17+0.0254382j -3.40534e-16-0.0249694j -3.39394e-16-0.0486645j -1.62795e-16-0.00872792j -6.82512e-16-0.0737361j -9.87499e-17-0.0595626j 1.08979e-16-0.0195707j -6.2272e-16-0.0417773j -6.32115e-16-0.0844678j 5.88544e-16+0.0654507j 2.93417e-16+0.0327216j -7.58444e-16-0.103279j -2.38433e-16-0.0265702j -4.94746e-16-0.0577855j 9.33769e-16+0.0640561j 8.31112e-17-0.0341054j -4.33943e-15-0.0112178j 
-1.29432e-13-0.280299j -8.11866e-15+0.0473939j -1.64322e-15-0.235157j -1.62565e-18-0.041054j 1.89065e-16+0.152744j -1.86737e-15-0.387468j 2.1859e-16+0.137144j 1.13866e-16+0.0116008j -1.41257e-15-0.301822j -9.54851e-16-0.128098j -2.9392e-15-0.3152j 1.74257e-17+0.0792201j -4.74068e-16-0.176554j -2.04943e-16-0.100237j 1.88776e-17+0.016261j 1.04633e-16+0.0289757j 4.06449e-16-0.00584591j 1.86149e-16-0.0562692j -1.27357e-17+0.072364j 1.17272e-16-0.00829794j -2.97185e-16+0.0102517j 1.82209e-16+0.0425279j 8.88788e-17-0.0646754j -5.6106e-17-0.000420663j -5.56284e-16-0.0748458j -3.92865e-16+0.0395559j -3.71028e-15-0.0430399j 3.29872e-15-0.102102j -1.80902e-15-0.0664118j -1.33405e-15-0.0639976j 7.7049e-16-0.0049197j 1.11717e-15-0.0992407j -1.17202e-15-0.0477201j 1.47685e-15+0.0856839j -3.38976e-16+0.0656887j -6.55938e-15-0.0892172j -5.70193e-17-0.00784943j 1.31661e-14-0.0577405j 2.72029e-13+0.0954843j 2.36574e-13+0.00417958j -9.39496e-16+0.0133533j 5.85623e-15-0.0296334j -1.20248e-15+0.0684199j 1.20906e-15-0.0467481j -8.4871e-16-0.0143342j 5.91416e-15-0.0987087j -1.23585e-16+0.0278678j -2.87927e-16-0.00455144j -2.09434e-17+0.00951371j -9.78484e-16+0.0230243j -6.7358e-16+0.0125916j 1.40929e-15-0.0803042j 5.95528e-16-0.0413757j -2.94706e-16-0.014652j -2.75421e-17+0.0131495j -4.59951e-16-0.0524047j 4.75343e-16-0.0435332j 1.73211e-16+0.0286272j 8.23869e-17-0.0164086j -1.68408e-17-0.00154861j -1.44407e-17-0.0591008j 9.5637e-16+0.0638953j -2.06568e-16+0.00092919j -5.21503e-17-0.00567228j -4.49435e-16-0.0712164j 1.78148e-16+0.133897j -2.95958e-16-0.0362634j -1.69847e-16+0.00378932j -3.61105e-16-0.0573217j 8.05719e-17+0.040062j -2.7469e-16-0.0491084j -2.73812e-16-0.0425305j -3.06946e-16-0.0720164j 3.08995e-17+0.00673274j 5.71096e-16+0.050669j -1.50603e-15+0.025364j 2.50147e-14+0.0533818j 
