-8.90273e-16-0.036845j -9.94694e-16-0.156099j 1.18586e-16+0.0453j -2.20431e-17-0.0110402j 4.2895e-16-0.0457556j -4.14378e-16-0.106369j 2.51936e-16+0.0496855j -4.51447e-17-0.0261087j -5.62631e-17-0.0625538j 6.34119e-16-0.124757j 1.54079e-16-0.0355024j 6.13597e-17-0.0403038j -1.4003e-17+0.0430747j 2.9403e-16+0.0659326j -1.8949e-16-0.0228201j 1.10352e-16+0.0105723j 1.19711e-16+0.043395j -1.8213e-16-0.0263076j 1.7078e-16+0.0210627j 2.17995e-16+0.0307695j 1.08523e-16+0.0155535j 3.41584e-17-0.0120659j 8.6628e-16-0.0256093j -4.69599e-17+0.0253371j 4.15388e-16+0.0333509j 2.93591e-16+0.031644j 5.97975e-16+0.00283541j 1.0064e-15+0.0247203j -1.12129e-15+0.00511157j 7.40705e-16+0.0238695j -1.10653e-15-0.00426383j -2.08507e-16+0.0065662j -8.21751e-17-0.00963479j 5.60169e-17+0.0103582j -2.46431e-16-0.0083026j -4.58649e-17+0.0146144j -6.59955e-17-0.00176609j -5.62504e-16+0.0201089j -1.41267e-17-0.0127119j -1.69366e-15-0.020004j -1.04279e-15+0.0169845j 1.46242e-14-0.00954108j 6.08097e-16+0.0142591j -2.50227e-16-0.00823777j 1.59272e-16-0.000353999j -6.01602e-17-0.0193532j -3.12976e-16-0.0194787j -2.22085e-16-0.0197536j 3.79009e-17+0.00791882j 1.11481e-16+0.0181109j -9.16926e-18-0.00224877j 1.91843e-16+0.0299968j 7.13511e-16+0.00472085j 3.00004e-18-0.00336742j 3.78115e-18-0.019525j 1.43937e-16+0.0155476j 3.21593e-16+0.0127878j 1.56068e-16+0.034909j -1.26407e-16-0.00821517j -1.675e-16-0.0068393j 3.47684e-16+0.0329746j 3.07039e-17-0.00189579j -1.46016e-16-0.0611019j -1.90475e-17-0.0144508j -8.54313e-17-0.0312076j -1.7948e-16-0.0521116j -9.07277e-19+0.00475378j -2.74785e-16-0.0400934j 2.29265e-16+0.0699318j -2.4993e-17-0.00652578j 2.82314e-16+0.0609618j -3.79198e-16-0.0641658j 
7.53751e-16+0.144638j 4.13712e-16-0.0413762j 9.37298e-18-0.0786124j -7.99397e-19-0.0369836j 1.91355e-15-0.146264j 2.35015e-17+0.0624329j -2.09577e-17+0.0360244j 3.3905e-17-0.0182671j 1.91737e-17+0.124055j 2.04815e-16-0.0627402j 5.45065e-18+0.0248219j 1.6735e-16+0.0274658j -3.89915e-16+0.0710516j 1.30436e-16-0.0200308j 1.0794e-17-0.00282126j -5.15331e-18-0.0088902j -1.32383e-17+0.01786j 3.38603e-17+0.0221506j 6.0155e-17+0.0298994j 2.28296e-17+0.00093561j 8.83711e-17-2.86758e-05j -8.45891e-17-0.0108132j 2.78996e-16-0.00414441j -4.27296e-17+0.0218202j 2.16842e-16-0.0272188j 2.95259e-16+0.0258843j 1.81761e-15+0.0379039j 1.65314e-15+0.0272977j -2.81822e-15-0.0203516j 1.26882e-15+0.0242153j -2.73982e-15-0.00998534j -6.87256e-16+0.0233376j -1.06463e-16+0.0176108j -1.14258e-16-0.00192424j 1.45191e-16-0.000625722j 1.53989e-16+0.0151423j 2.30491e-16-0.0288038j -2.62376e-16+0.00823852j 2.29216e-16+0.00356842j 6.68262e-15+0.0197704j 5.90336e-15+0.00698174j -3.07959e-14+0.0202087j -1.40261e-16-0.0176324j -3.71808e-17-0.0340081j 5.50421e-17+0.0228357j 2.48625e-16+0.0161178j -1.00935e-15-0.055213j -2.49792e-16-0.0442438j 1.02164e-16+0.0432083j -2.52103e-17+0.0191104j 1.80662e-16+0.0276632j 3.87929e-19-0.0231882j -1.01146e-15-0.00962394j -3.1201e-17+0.014454j -6.20904e-17+0.0271452j 9.50172e-17+0.0107329j 4.79225e-16+0.0280173j 4.13914e-17-0.0335678j -1.08406e-16-0.00445145j -1.81381e-16-0.0177271j -1.09192e-16-0.00642247j 9.13219e-18-0.0318413j -1.78336e-17+0.0499575j -1.34316e-17-0.0571889j -1.95656e-17+0.00562744j -1.0926e-17-0.00349351j 2.24102e-18-0.0222052j -1.21186e-17-0.00476321j -1.52257e-17+0.0313646j -6.50147e-17+0.0500628j 3.96273e-17-0.064432j -5.47983e-17-0.0691959j 
2.97851e-16+0.0528075j 1.47217e-16-0.0146034j 1.40976e-17-0.0348239j 1.01587e-16+0.192941j -6.22712e-16+0.0496807j 9.71443e-18+0.0655943j 7.53015e-17+0.051753j -1.03888e-16-0.0652855j -4.14934e-17+0.0819701j -4.41642e-16+0.0739115j 1.65108e-17-0.0505806j -3.40896e-16+0.00213133j 4.31415e-16-0.0982806j -3.54236e-16-0.0261008j 2.25979e-16+0.0292424j -1.71456e-16-0.0399546j 1.98364e-16+0.0474082j -3.09657e-17+0.00406164j -3.74582e-17+0.0341144j 5.91432e-17-0.00141073j -3.45973e-16+0.00618516j 1.26866e-16+0.016495j 9.46772e-16-0.0238058j -3.12773e-16+0.0151722j 1.68632e-16-0.0412683j -2.18241e-16+0.0105827j -3.8064e-16-0.0146391j -1.15562e-15+0.00284404j 1.51842e-15+0.0415199j -3.39297e-16+0.0338727j 5.24185e-16+0.00133635j 4.3374e-16-0.00272222j 1.2567e-16-0.0219195j 3.21376e-16-0.000798048j 1.74154e-15+0.0282168j 5.23705e-16+0.00136285j 6.41814e-17-0.019063j -6.56062e-16+0.0290244j 3.2739e-16+0.00772732j 2.0027e-15-0.0021415j 1.88537e-15+0.0126389j -1.34735e-14+0.00884873j -5.19013e-16-0.0153494j 2.64135e-16+0.0230871j -1.04111e-16+0.0174414j 7.49388e-17-0.0102288j -5.26394e-16-0.0347603j -2.41624e-16-0.036238j 1.05064e-17+0.0230043j -6.46018e-17-0.0108482j -1.24744e-17-0.00532832j -2.03321e-16-0.0164564j -1.93397e-15-0.0193486j 6.06446e-17+0.0421705j 2.01325e-17-0.0145443j -2.14965e-16-0.0207753j -2.66079e-16-0.0203745j -1.58408e-17+0.0205428j -5.67675e-16-0.0041025j -6.35109e-16-0.0778373j -5.5094e-16-0.0599148j -2.35378e-16-0.0405569j -5.31651e-17+0.0702135j -2.57709e-17-0.0136331j -1.10554e-16-0.100977j 6.15297e-17+0.0205636j -2.00997e-17-0.0283254j -3.2956e-16-0.0817954j -7.05411e-18+0.0405614j -6.20546e-18-0.0160792j -4.17732e-17-0.0801846j -3.82128e-17-0.0586326j 
-2.83791e-17+0.0283715j -1.34426e-17-0.0591506j -1.19691e-17-0.0904389j -6.57243e-18-0.0916271j -6.05749e-16+0.0495689j -3.86495e-18+0.0183191j 3.28981e-17+0.0951565j 3.61185e-17-0.0452331j 1.06721e-16+0.0557078j 3.64477e-16-0.0584132j -6.61386e-17+0.0199887j 2.57919e-16-0.0236229j -5.45746e-16+0.0380854j 1.95422e-16-0.10417j -9.71828e-17-0.0570259j 9.09727e-17+0.046088j 3.27603e-17+0.0743558j -1.18888e-16-0.0129126j 1.44236e-16+0.027114j 1.44093e-16+0.008787j 5.82415e-17-0.0527962j 4.01504e-16+0.00573145j 4.65495e-16-0.0109416j -2.50176e-16+0.0111946j 3.47201e-16-0.0128655j -1.31283e-16-0.0194624j -2.64716e-16-0.00159114j 3.92021e-16-0.00618625j -2.4702e-16-0.0261548j 1.46468e-16-0.0480664j 1.80585e-14+0.0521785j 2.24159e-16+0.0288063j -8.46095e-18-0.0218091j 1.69294e-16+0.0128955j 1.87442e-15+0.0264592j 3.15788e-16+0.0218016j -3.48233e-16-0.0365635j -3.28219e-16+0.0130602j 3.91021e-16-0.00287483j 8.96955e-16-0.0146999j 8.18369e-16+0.0209691j 2.00033e-15-0.00126573j 3.65038e-17+0.00568701j 7.02585e-18+0.0114739j 6.69453e-17-0.0358253j -1.6573e-16-0.0146658j 2.23589e-16+0.0155974j 7.46009e-17-0.01796j 7.56946e-18+0.018289j 4.78215e-17+0.0184153j 9.87504e-17+0.0205772j 1.43964e-16+0.0215526j -2.44787e-16-0.00398739j 4.75943e-17+0.021059j 4.00518e-17-0.0317484j -6.86724e-17-0.00231672j -2.17387e-16-0.0115348j 1.43194e-17+0.0242635j -1.39963e-16-0.0280829j -2.23122e-16-0.00592034j 3.08825e-16+0.0478552j 9.86013e-17-0.0251635j 4.87078e-17-0.0405234j 4.90421e-17-0.0568105j 1.36591e-17+0.0296583j -2.8264e-17-0.0461694j -6.15384e-18-0.0108794j 1.14898e-16+0.030283j -1.40287e-17-0.0345277j -5.21587e-17+0.0610629j 9.69931e-17+0.059848j -1.5206e-16-0.0624885j 
-8.77635e-16-0.075144j -5.40429e-16-0.116445j -1.23571e-17+0.0871445j -2.05952e-17+0.0337174j 3.72072e-16-0.0334707j -7.64126e-17-0.0940095j 9.8445e-17+0.0480918j 2.60881e-18-0.00814928j 1.45803e-17-0.102529j 2.4184e-16-0.0108567j 2.93521e-16-0.0445055j 2.89799e-17-0.0461705j -1.39182e-16+0.036075j 6.56666e-17+0.0888436j -2.27964e-16-0.0347075j 5.35661e-17-0.00771863j -6.30772e-17+0.0242046j -1.57698e-16-0.0303209j -2.65679e-16-0.0318336j 1.78357e-17-0.00530054j 4.73386e-17+0.066323j -3.51097e-16+0.017017j 4.43709e-16-0.0125914j -2.75378e-16+0.0208631j 2.19799e-16+0.00817512j -4.56871e-16+0.00486762j -8.48904e-16-0.0330039j 9.08299e-16+0.0362367j -1.37297e-15+0.0132269j 1.02446e-15+0.0267111j 6.5948e-15+0.0179355j 3.6233e-17+0.0191911j -2.56193e-16+0.00154905j -1.65871e-16+0.00873403j -3.86869e-16-0.00878782j -2.23481e-16+0.0134702j -1.7027e-16+0.0200779j -2.29198e-16-0.00433817j -3.39764e-16-0.0264347j 3.65693e-16-0.0261136j 9.32062e-16+0.0330994j -8.24958e-15+0.00573036j -1.19999e-15-0.0346649j 3.33768e-16+0.00864928j 2.21309e-16+0.00375815j -2.66575e-16-0.0238983j -1.29946e-17-0.00456725j 5.58286e-17-0.0210884j 1.4398e-16+0.0152446j 1.27948e-17-0.010632j -3.11096e-17+0.00176939j 1.1823e-16+0.0274209j -1.65662e-16-0.00295017j -1.52434e-18-0.0086384j 1.66511e-17-0.000911691j 1.52068e-16+0.0206834j -1.93182e-16-0.0112012j -1.28598e-16+0.00553513j 3.45548e-16+0.0195315j 3.22085e-16+0.0278908j 7.31271e-17+0.00469151j 1.75496e-17-0.00388502j 3.101e-17-0.0352196j 1.88631e-17+0.0113194j 3.73204e-17-0.0359157j -1.8515e-17-0.0388979j -1.65492e-17-0.00513074j -2.14617e-16-0.0487943j -1.5199e-18+0.0751056j 6.88106e-18-0.0300832j 6.14572e-17+0.0521165j -1.041e-16-0.0294348j 
-4.19929e-16-0.0974677j -1.6472e-16+0.0655467j 3.97953e-17+0.0315599j 6.3603e-17+0.060669j -2.0801e-15+0.162722j 4.37334e-18-0.028326j 1.83057e-17-0.0157786j -3.86888e-17+0.0084524j -1.61925e-16-0.0285796j -6.76411e-16+0.106365j -3.88339e-16+0.052095j -3.04804e-16+0.00103848j 5.83821e-16-0.105668j -2.1042e-16+0.00109494j 6.0029e-18+0.00831771j -1.37186e-17+0.00958925j -2.36145e-17+0.0218033j -7.05125e-18+0.010515j -1.42751e-16-0.0092354j -1.80968e-17-0.032496j -2.68701e-16-0.00645828j -1.71158e-16+0.032542j -7.54084e-16+0.0122828j 2.8847e-18-0.0112927j -8.62131e-17-0.00332041j -3.72282e-16+0.0095881j -1.55799e-15-0.0397407j -9.98345e-16-0.0251237j -1.80638e-16-0.00270798j 7.8431e-16+0.0263611j -1.56483e-15-0.00528985j -1.66249e-16+0.00184941j 1.0011e-16-0.0154284j -1.67069e-16+0.00459895j -6.57898e-16-0.0130392j -3.60151e-16+0.042349j -3.7886e-16+0.0242171j 3.51289e-16-0.021112j -5.34068e-16-0.0315155j 3.86658e-15+0.0124628j 3.12747e-15+0.00243294j 1.38435e-14-0.00898297j 5.62358e-16+0.029609j -8.39672e-17+0.0231812j 4.08238e-17-0.0321045j -1.37686e-16-0.00451789j 8.11788e-16+0.0436076j 1.68947e-16+0.0249349j -8.47146e-17-0.0227554j -2.90492e-17-0.00864776j -2.03936e-16-0.027433j 7.28984e-17+0.00110374j 2.00062e-15+0.0211126j 2.49631e-17-0.0107673j 8.81337e-18-0.0328543j -1.16859e-16-0.00931992j -4.81338e-16-0.0300297j -4.68307e-17+0.0193384j -1.03399e-16+0.0233392j -5.67317e-17-0.0317502j 1.84736e-16+0.0273731j 9.10142e-17+0.00585697j -2.96395e-17-0.02416j 4.41029e-17+0.0356286j 2.52343e-18-0.0206131j 2.69178e-17-0.00475455j -1.9363e-17+0.0202257j 1.60575e-17+0.00759079j 3.67906e-17-0.0456918j 9.83572e-18-0.0346039j -2.45608e-17+0.0398125j 8.89382e-17+0.0503263j 
-3.25742e-16-0.0135746j -1.46337e-16-0.0426281j 6.05709e-17+0.0460676j 2.87035e-18-0.0304894j 1.72763e-15-0.142762j 1.36027e-16+0.0520031j 1.23018e-16+0.0643713j -6.10627e-17-0.0466081j 2.73948e-17-0.0158209j 5.42606e-16-0.0870323j 7.61205e-17+0.00202651j 1.19984e-16-0.00444132j -2.15834e-16+0.0314889j -4.01658e-18+0.00183667j -1.58483e-16-0.0464253j -9.97967e-17-0.0329713j 4.50263e-17-0.00659051j -7.93473e-17+0.0195404j -3.43405e-16-0.0781797j -1.5153e-16-0.00688782j 3.00359e-16+0.0124691j -1.73213e-16-0.0142062j 4.37685e-16+0.00641167j -5.4008e-16+0.0479853j 1.68822e-16-0.045421j -1.05902e-15+0.0213238j -2.00045e-15-0.0767124j 1.61857e-15+0.0306914j -3.16981e-15-0.0343708j 1.27615e-15-0.0102612j 2.82127e-16+0.00136703j -1.87368e-16+0.00281837j -2.71555e-16-0.0142998j -3.60386e-16+0.00587436j -4.3247e-15-0.0700097j -7.81843e-16-0.024538j 1.21025e-16+0.04352j -3.02097e-16+0.0167586j -2.45465e-16-0.0144612j -1.12087e-14-0.0422659j -9.43275e-15+0.000778421j 7.94399e-14-0.052503j 2.29014e-16+0.00118595j 2.66282e-17+0.00318391j 5.06847e-16+0.0635388j 4.72099e-16+0.0186457j -7.15454e-16-0.0539681j -1.50036e-16-0.00125419j -1.63917e-16-0.0234949j 1.60996e-17+0.0170243j -2.29236e-16-0.0276682j 1.41746e-16-0.012477j 5.12614e-15+0.0516992j -6.59837e-17-0.0495535j 1.13746e-16+0.0227941j 1.92409e-16+0.0249019j 3.1094e-16+0.0210985j -4.76197e-17-0.0395869j 3.52099e-16+0.0220842j 4.95859e-16+0.0410766j -1.73226e-16-0.0230916j 2.9962e-17+0.0109986j -6.64509e-17-0.0437406j 1.98609e-19-0.00763102j -6.96907e-18+0.0145024j -1.34734e-17+0.0129469j -1.24751e-16-0.0541995j -1.12107e-18-0.0163142j 1.39981e-16+0.0911188j -6.6614e-17-0.0392621j 1.09214e-16+0.036494j 1.05147e-16+0.0275969j 
-5.09643e-17+0.0135891j -3.49203e-17-0.0356873j 3.33884e-17-0.057647j -2.86845e-17-0.00656675j 9.69865e-16-0.0740232j -1.0375e-16+0.100036j 3.06093e-17+0.189462j 7.64406e-18+0.0677892j -7.14867e-18+0.0998917j 1.27597e-16-0.0447347j 1.07925e-16-0.0227349j -1.37044e-16+0.0676302j 3.12078e-16-0.0331582j -2.10139e-16-0.0478427j 9.3418e-17-0.0299877j -8.3311e-17-0.0548515j 9.61223e-18+0.0330832j 9.84418e-18+0.0308641j -2.44391e-16-0.0421001j 4.19579e-17+0.0418418j 5.85737e-17+0.0418966j -2.89778e-16+0.0234881j -1.86104e-16+0.00331027j -3.91506e-16+0.0198186j 5.87744e-16-0.000184569j -6.11956e-16+0.030708j -2.71024e-16-0.0287777j 3.17748e-15+0.075209j -3.97206e-15-0.0182292j 1.32105e-15-6.80481e-06j 7.04644e-15+0.02215j 1.06968e-15-0.0317656j -1.35193e-16-0.00277546j 4.56516e-16+0.00108798j 9.17216e-16+0.0186433j 3.5946e-17-0.0432663j 3.48773e-16+0.00402631j -1.39416e-15+0.0479074j -7.01163e-16-0.0624107j -8.76931e-15-0.0261039j -8.27568e-15-0.00873875j 1.03364e-13-0.0683867j -2.7542e-15-0.0804745j 9.87193e-16+0.0375938j 2.68507e-16+0.0570637j 2.44188e-16+0.0199096j -4.84723e-17-0.00243796j -2.87082e-16-0.0343925j -1.16206e-16-0.00448637j 6.22359e-17+0.0245896j -1.43585e-16-0.0305307j 3.6061e-16+0.0328111j 3.54005e-15+0.0342403j -1.15041e-17-0.00916143j 1.55492e-17-0.0471675j 1.50715e-16+0.0243905j -2.00298e-16-0.0111207j 1.35589e-17-0.0870184j 1.03719e-16-0.0375467j -1.68428e-16+0.00533461j -2.19307e-16-0.0131325j -2.58294e-17-0.060911j 6.76015e-18-0.0113658j 3.66268e-17-0.0382564j -2.4322e-17+0.00348531j -5.37492e-17-0.055194j 7.85128e-18-0.130313j -1.38694e-16-0.0332812j -1.17039e-17-0.0353854j -8.8758e-18+0.00855265j 7.72736e-17+0.0679236j -1.05518e-16-0.0294068j 
-4.0101e-16-0.0590818j -1.73714e-16+0.00187994j -3.39621e-17+0.0703624j 7.59423e-17+0.0162363j 2.98238e-16-0.0104805j -7.57856e-17-0.16767j 1.2966e-16+0.0169024j -6.69069e-17+0.0337007j 3.15263e-17-0.151868j -4.39809e-17+0.0106108j -1.37905e-16+0.048911j 8.84351e-17+0.0785745j 4.86128e-17+0.0226186j -6.54323e-17+0.0252683j -6.11802e-17+0.0466895j 4.71876e-18-0.00568019j -2.06931e-16-0.0444291j -2.17057e-16+0.00670766j 3.47072e-16+0.0727181j 2.91653e-16-0.00872966j -5.47043e-16+0.0356751j 1.30164e-16+0.00983595j -1.83117e-16-0.0171445j -2.63242e-16-0.0552355j -1.01153e-16+0.0751634j -9.04229e-16-0.0475354j -3.0965e-15-0.0571268j 3.40767e-15+0.0485376j -5.05192e-15-0.0269028j 2.01745e-15+0.0387499j -7.52781e-15-0.0222963j 1.643e-16-0.0355746j -8.47328e-17+0.015743j 2.43454e-16-0.0198898j -6.24064e-16-0.0152528j -1.33615e-16+0.0403965j -1.52242e-16+0.00130262j -1.06145e-15+0.0446604j 3.1106e-16-0.013229j -3.31406e-15-0.0249126j -2.59857e-15+0.0158169j -1.62194e-15+0.00136259j 1.2069e-15+0.0175891j -3.79872e-16-0.0555714j -1.3431e-16-0.0515347j 4.79103e-17+0.0240748j 1.14572e-15+0.0863573j -1.09616e-16-0.0416512j -3.35443e-16-0.015056j 9.88955e-17-0.0542648j -7.02823e-17-0.00112947j -9.06244e-17+0.00770006j -1.51106e-16-0.0030059j 1.67047e-16+0.012257j 7.52528e-17-0.0309459j -2.916e-17+0.0062405j -8.15062e-16-0.047639j 1.03697e-16-0.0147519j -1.22883e-16-0.0134226j -1.3927e-16-0.0180426j -3.14246e-17-0.025012j -1.00562e-17+0.0504218j -8.52466e-18+0.00140586j -7.7441e-17+0.0750769j -6.62382e-17-0.0570681j 5.59642e-17-0.0374145j -3.01432e-17+0.0873147j 3.14918e-16+0.0559802j 5.39968e-17-0.000182756j 7.50212e-17-0.0632076j -5.03771e-17-0.0184876j 1.48078e-16+0.0735135j 
1.05592e-16+0.0207456j 5.18066e-17-0.000551447j 5.47373e-17-0.00733667j 1.31098e-16+0.187885j -2.59417e-16+0.028683j -4.72207e-17+0.0709759j 1.37226e-19+0.0283562j -1.21138e-16+0.0262943j -1.08707e-16+0.07531j -4.44909e-16+0.0741038j 1.28076e-16-0.0835479j -4.98487e-16+0.029987j 8.93916e-16-0.130132j -4.60279e-16+0.0479477j 1.74583e-16-0.0398729j 8.30033e-17-0.0175712j 2.57827e-16+0.0140121j -9.30829e-17-0.0169258j -7.80706e-17+0.0440311j 5.2672e-17+0.0234701j -1.79344e-16+0.0173799j 1.08533e-16+0.00584876j 9.56299e-16-0.0310273j 7.59383e-17+0.0181505j 3.59173e-16+0.0268514j 6.86438e-16+0.0648083j 2.29758e-15+0.0460833j 8.31089e-16+0.0348781j 2.84787e-16+0.0263229j -8.02702e-16+0.0191066j -1.04903e-14-0.0305649j -9.92608e-17-0.00542151j 1.31553e-16-0.0343112j 4.28033e-16+0.0137896j 1.78352e-15+0.0239506j 5.91214e-16-0.00880441j 5.08798e-16-0.0462045j -1.11947e-15+0.0376908j -2.11442e-16-0.0173493j -5.50259e-15+0.015206j -5.16186e-15-0.0425162j -1.71006e-14+0.0108524j -2.16799e-15-0.062472j 8.86813e-16+0.038344j -1.02265e-16+0.074947j 3.3049e-17-0.0112454j 6.21871e-17+0.00225119j -6.13515e-17+0.00441055j -1.14512e-16-0.0170775j -4.53483e-17-0.0375877j 5.82472e-17-0.0114704j -2.68817e-16-0.0122584j -2.5615e-15-0.0264507j 3.91415e-17+0.0202756j -5.22251e-17-0.00813692j -2.63141e-16-0.0247569j 2.55815e-16+0.0139467j 1.53652e-16-0.0126261j -3.58732e-16-0.0495879j -6.19552e-16-0.0318707j -5.34359e-16-0.0645576j -1.19157e-16-0.0161388j -9.9742e-17+0.037214j -1.15241e-16+0.0160247j -1.14451e-16-0.0582696j 4.76227e-17+0.026108j 1.55817e-17-0.0562654j -3.72516e-16-0.103642j 6.21763e-17+0.0148153j 1.20219e-17-0.0271115j -2.28613e-17-0.0579849j -1.09456e-17-0.0354121j 
-6.97998e-16-0.0758638j -2.76722e-16-0.0103438j 7.5796e-17-0.0294764j 8.43869e-17+0.0177697j -2.33042e-15+0.19856j -1.05753e-16+0.0114085j 1.70101e-16+0.120898j -4.94224e-17-0.104444j -1.5309e-16+0.0338949j -4.50033e-16+0.0821037j -2.95911e-16+0.0415091j -1.83897e-16+0.00387103j -3.00005e-17-0.0657646j -2.05856e-16-0.0897705j -3.18456e-16-0.0752768j 1.4834e-16+0.122994j 1.39028e-16+0.144995j -2.77411e-16+0.00156558j -2.21608e-16-0.00345699j 4.06071e-17-0.0372135j -2.51576e-16-0.0753721j 1.39938e-16+0.0489923j -7.11989e-16+0.0184966j -5.16848e-16+0.0494879j 5.82611e-16+0.00329674j -9.65002e-16+0.00178571j -2.79508e-15-0.0831067j 4.11735e-16+0.0168188j -8.7491e-16-0.0112061j 1.05742e-15-0.0269883j 2.39964e-14+0.06926j 3.39141e-16+0.0381773j -2.80088e-16-0.0355077j 2.87359e-17+0.0247498j 1.05786e-15+0.00632399j -7.98254e-17+0.0730369j -1.06337e-15+0.0188312j 2.05154e-16-0.0150678j -4.05797e-16-0.0466475j -9.00015e-15-0.0566655j -7.27544e-15+0.0273135j 3.16069e-14-0.0205332j -5.75594e-16-0.00495291j 7.02345e-16+0.0528967j 1.64434e-16-0.0622471j -1.14445e-16+0.000354888j 8.73299e-16+0.0395324j 1.48224e-16+0.00454703j -2.89473e-16-0.0280801j 2.8427e-17+0.0218667j -2.01653e-16-0.0076225j 7.75886e-17-0.0253368j 4.09714e-15+0.041542j 1.3073e-16+0.027189j 4.7979e-18-0.040712j -4.03266e-16-0.0299324j -1.51285e-15-0.0789071j -9.41971e-17+0.0522598j 3.2799e-17+0.000821418j 2.72681e-16+0.0125978j 4.06671e-16+0.0447144j 7.6987e-17-0.0158462j -5.59829e-17-0.0656371j 5.81641e-17-0.0386248j -8.76362e-17-0.0243366j -8.42089e-18+0.00779272j -2.69081e-18-0.00128804j 1.91581e-16+0.0403845j -7.81039e-18-0.00106816j -6.66883e-17+0.00930292j 1.42455e-16+0.0764922j -3.84828e-18+0.000802899j 
