-0.00121336-0j 0.00588148-0j 0.00582116-0j 0.00840614-0j 0.00120564-0j 0.00490358-0j 0.000703292-0j -0.0407469-0j 0.00679319-0j 0.000974307-0j -0.0465679-0j -0.0168072-0j 0.000107368-0j -0.0285169-0j 0.00843563-0j 0.00738118-0j 0.000122706-0j -0.0399153-0j 0.00516575-0j 7.51418e-05-0j 4.4287e-05-0j 0.00723054-0j 0.00304458-0j 0.000105177-0j 
0.00728015-0j 0.000746025-0j 0.000738374-0j -0.0504369-0j 7.5664e-05-0j -0.0294215-0j 4.41373e-05-0j -0.00516846-0j -0.0407591-0j 6.11457e-05-0j -0.00590681-0j -0.00213188-0j 4.47653e-06-0j -0.00361717-0j 0.000347288-0j 0.000303877-0j 5.11604e-06-0j -0.00506298-0j 0.00021267-0j 3.13292e-06-0j 1.84648e-06-0j 0.000297675-0j 0.000125343-0j 4.38517e-06-0j 
0.00920875-0j -0.0446373-0j -0.0441795-0j 0.000663086-0j -0.00915019-0j 0.0003868-0j -0.00533761-0j -0.00321416-0j 0.000535854-0j -0.00739447-0j -0.00367332-0j -0.00132577-0j -0.000814865-0j -0.00224944-0j 0.000439289-0j 0.000384377-0j -0.000931274-0j -0.00314856-0j 0.000269008-0j -0.000570286-0j -0.000336115-0j 0.000376533-0j 0.000158548-0j -0.000798235-0j 
-0.0010508-0j 0.0102947-0j 0.0101891-0j -7.5664e-05-0j -0.0488619-0j -4.41373e-05-0j -0.0285028-0j 0.000741282-0j -6.11457e-05-0j -0.0394864-0j 0.000847179-0j 0.000305763-0j -0.00885846-0j 0.000518789-0j -5.01267e-05-0j -4.38609e-05-0j -0.010124-0j 0.000726154-0j -3.06962e-05-0j -0.00619963-0j -0.00365393-0j -4.29658e-05-0j -1.80917e-05-0j -0.00867768-0j 
0.000107247-0j -0.0010507-0j -0.00103992-0j -0.00149373-0j 0.00498695-0j -0.000871344-0j 0.00290905-0j 0.0146341-0j -0.00120712-0j 0.00403006-0j 0.0167247-0j 0.00603627-0j 0.000904113-0j 0.0102418-0j 5.11604e-06-0j 4.47653e-06-0j 0.00103327-0j 0.0143355-0j 3.13292e-06-0j 0.000632747-0j 0.000372928-0j 4.38517e-06-0j 1.84648e-06-0j 0.000885662-0j 
0.000101113-0j -0.00149109-0j -0.0014758-0j 7.28077e-06-0j 0.0144077-0j 4.24712e-06-0j 0.00840448-0j -0.000107368-0j 5.88375e-06-0j 0.0116432-0j -0.000122706-0j -4.4287e-05-0j -0.0394566-0j -7.51418e-05-0j -0.000702969-0j -0.000615098-0j -0.0450933-0j -0.000105177-0j -0.000430479-0j -0.0276139-0j -0.016275-0j -0.000602545-0j -0.000253715-0j -0.0386514-0j 
-8.93723e-06-0j 0.000176032-0j 0.000174227-0j 6.19171e-05-0j -0.0025648-0j 3.61183e-05-0j -0.00149613-0j -0.00121955-0j 5.00366e-05-0j -0.00207267-0j -0.00139377-0j -0.000503039-0j 0.0144052-0j -0.000853508-0j -4.26336e-07-0j -3.73044e-07-0j 0.0164631-0j -0.00119466-0j -2.61077e-07-0j 0.0100816-0j 0.00594186-0j -3.65431e-07-0j -1.53873e-07-0j 0.0141113-0j 
1.50172e-05-0j 0.00496848-0j -0.00506161-0j -0.000104039-0j -1.49218e-05-0j 0.00834545-0j 0.00119694-0j -0.0344216-0j -0.00590681-0j -0.000847179-0j 0.000576351-0j -0.0430106-0j 9.07007e-05-0j 0.024796-0j 7.16374e-07-0j -4.27842e-05-0j -1.51868e-06-0j 0.0347071-0j 3.08201e-05-0j -6.53373e-05-0j 0.000113333-0j 4.31391e-05-0j -5.34598e-05-0j -9.14532e-05-0j 
-1.7698e-06-0j -0.00118346-0j 0.00120564-0j 1.22612e-05-0j -8.22952e-05-0j -0.000983521-0j 0.00660126-0j 0.00819901-0j 0.000696124-0j -0.00467229-0j -0.000137283-0j 0.0102448-0j 0.00101835-0j -0.00590625-0j 1.23042e-05-0j -0.000734845-0j -1.70512e-05-0j -0.00826702-0j 0.000529354-0j -0.000733582-0j 0.00127246-0j 0.000740941-0j -0.000918206-0j -0.0010268-0j 
-0.000428987-0j -4.396e-05-0j -4.35091e-05-0j 0.00897784-0j -4.45854e-06-0j 0.00523707-0j -2.60082e-06-0j 0.000919994-0j 0.00725519-0j -3.60305e-06-0j 0.00105142-0j 0.000379478-0j -2.63782e-07-0j 0.000643862-0j -2.04641e-05-0j -1.79061e-05-0j -3.01465e-07-0j 0.000901219-0j -1.25317e-05-0j -1.84609e-07-0j -1.08805e-07-0j -1.75407e-05-0j -7.3859e-06-0j -2.58399e-07-0j 
3.33071e-07-0j -9.85757e-06-0j -9.75647e-06-0j 2.39831e-08-0j 0.000240293-0j 1.39902e-08-0j 0.000140171-0j -7.09805e-07-0j 1.93813e-08-0j 0.000194186-0j -8.11206e-07-0j -2.9278e-07-0j -0.00272685-0j -4.9676e-07-0j 1.58886e-08-0j 1.39025e-08-0j -0.0031164-0j -6.9532e-07-0j 9.72975e-09-0j -0.0019084-0j -0.00112477-0j 1.36188e-08-0j 5.73451e-09-0j -0.0026712-0j 
