-0.00104002-0j 0.00712943-0j 0.00727993-0j 0.00104412-0j 0.00720527-0j 0.00103341-0j -0.0493927-0j -0.0288124-0j -6.13924e-05-0j 0.000130149-0j -0.0399153-0j -3.58123e-05-0j 7.59205e-05-0j 0.000297586-0j -0.00723364-0j -4.96126e-05-0j 0.000105177-0j 0.000340098-0j -0.00826702-0j 8.90672e-06-0j 0.000208267-0j -0.0050625-0j -0.00298373-0j 0.000122748-0j 0.00845037-0j 0.000851637-0j 0.00739408-0j 0.000745183-0j 1.01791e-05-0j 0.000291513-0j -0.00708602-0j 0.0030499-0j 6.23341e-06-0j 3.67384e-06-0j 0.00517478-0j 0.00724318-0j 0.000729975-0j 0.000521519-0j 0.000307372-0j 8.72496e-06-0j 
0.000122568-0j -0.00169819-0j -0.000857948-0j 0.00575843-0j -0.000849149-0j 0.00569937-0j 0.011765-0j 0.00686293-0j -0.00105445-0j 0.00146127-0j 0.00950757-0j -0.000615098-0j 0.000852406-0j 0.0103305-0j -0.0398944-0j -0.000852127-0j 0.00118088-0j 0.0118063-0j -0.0455936-0j 0.000150791-0j 0.00722985-0j -0.0279203-0j -0.0164556-0j 0.00426112-0j 5.08399e-06-0j -0.000100366-0j 4.44849e-06-0j -8.78206e-05-0j 0.000172333-0j 0.0101197-0j -0.0390802-0j 1.83491e-06-0j 0.000105532-0j 6.21983e-05-0j 3.1133e-06-0j 4.35771e-06-0j -8.60284e-05-0j -6.14616e-05-0j -3.62242e-05-0j 0.000147714-0j 
0.00644478-0j 0.000933977-0j -0.0451121-0j 6.76759e-05-0j -0.0446494-0j 6.69818e-05-0j -0.00647059-0j -0.00377451-0j 0.000380435-0j 5.60434e-06-0j -0.00522902-0j 0.00022192-0j 3.2692e-06-0j 3.89846e-05-0j -0.000468858-0j 0.000307438-0j 4.52899e-06-0j 4.45539e-05-0j -0.000535838-0j 2.87149e-07-0j 2.72836e-05-0j -0.000328133-0j -0.000193394-0j 1.60803e-05-0j 0.000267323-0j -0.0052774-0j 0.000233908-0j -0.00461773-0j 3.2817e-07-0j 3.8189e-05-0j -0.00045929-0j 9.64821e-05-0j 2.00962e-07-0j 1.18443e-07-0j 0.000163701-0j 0.000229134-0j -0.00452349-0j -0.00323174-0j -0.00190472-0j 2.81289e-07-0j 
-0.000600457-0j -8.70182e-05-0j 0.00844983-0j -6.30533e-06-0j 0.00836316-0j -6.24066e-06-0j 0.00121199-0j 0.000706993-0j 0.00516575-0j -5.22153e-07-0j 0.000979435-0j 0.00301335-0j -3.04589e-07-0j 0.000529354-0j 8.78206e-05-0j 0.00417455-0j -4.21964e-07-0j 0.000604976-0j 0.000100366-0j -2.67535e-08-0j 0.000370471-0j 6.14616e-05-0j 3.62242e-05-0j 0.000218347-0j -2.49064e-05-0j -0.0470606-0j -2.17931e-05-0j -0.0411781-0j -3.05755e-08-0j 0.000518551-0j 8.60284e-05-0j -8.98919e-06-0j -1.87236e-08-0j -1.10353e-08-0j -1.5252e-05-0j -2.13483e-05-0j -0.0403377-0j -0.0288186-0j -0.0169851-0j -2.62075e-08-0j 
0.00832018-0j -0.0570355-0j 0.000605312-0j -0.00835294-0j 0.000599103-0j -0.00826727-0j -0.0041069-0j -0.00239569-0j 0.000491139-0j -0.0010412-0j -0.00331888-0j 0.000286498-0j -0.000607364-0j -0.00238069-0j -0.000601463-0j 0.000396901-0j -0.000841413-0j -0.00272079-0j -0.000687386-0j -7.12538e-05-0j -0.00166613-0j -0.000420936-0j -0.000248091-0j -0.000981983-0j 0.000345113-0j 3.52229e-05-0j 0.000301974-0j 3.08201e-05-0j -8.14329e-05-0j -0.0023321-0j -0.000589188-0j 0.000124558-0j -4.98673e-05-0j -2.93907e-05-0j 0.000211338-0j 0.000295811-0j 3.01911e-05-0j 2.15696e-05-0j 1.27126e-05-0j -6.97996e-05-0j 
-0.000693348-0j 0.00475296-0j -5.04427e-05-0j 0.000696079-0j -4.99253e-05-0j 0.000688939-0j 0.000342242-0j 0.000199641-0j 0.0119707-0j 8.67663e-05-0j 0.000276573-0j 0.00698292-0j 5.06137e-05-0j -0.0580253-0j 5.01219e-05-0j 0.0096738-0j 7.01178e-05-0j -0.0663147-0j 5.72822e-05-0j 5.93782e-06-0j -0.0406093-0j 3.5078e-05-0j 2.06742e-05-0j -0.0239342-0j -2.87594e-05-0j -2.93524e-06-0j -2.51645e-05-0j -2.56834e-06-0j 6.78608e-06-0j -0.0568411-0j 4.9099e-05-0j -1.03798e-05-0j 4.15561e-06-0j 2.44922e-06-0j -1.76115e-05-0j -2.46509e-05-0j -2.51592e-06-0j -1.79746e-06-0j -1.05939e-06-0j 5.81664e-06-0j 
6.12839e-05-0j -0.000420106-0j -0.00129584-0j -6.15252e-05-0j -0.00128255-0j -6.08942e-05-0j 0.00879197-0j 0.00512865-0j 3.61758e-06-0j -7.66913e-06-0j 0.00710499-0j 2.11026e-06-0j -4.47366e-06-0j -1.75354e-05-0j 0.0012876-0j 2.92345e-06-0j -6.19759e-06-0j -2.00405e-05-0j 0.00147154-0j -5.24834e-07-0j -1.22722e-05-0j 0.000901132-0j 0.000531108-0j -7.23299e-06-0j 2.542e-06-0j 0.0145601-0j 2.22425e-06-0j 0.0127401-0j -5.9981e-07-0j -1.71776e-05-0j 0.00126132-0j 9.17455e-07-0j -3.67307e-07-0j -2.16483e-07-0j 1.55665e-06-0j 2.17885e-06-0j 0.0124801-0j 0.00891622-0j 0.00525503-0j -5.14123e-07-0j 
-0.000930224-0j 0.0128883-0j -6.76759e-05-0j -0.0437034-0j -6.69818e-05-0j -0.0432552-0j 0.000928038-0j 0.000541356-0j -5.49111e-05-0j -0.0110902-0j 0.000749968-0j -3.20315e-05-0j -0.00646931-0j 0.000537965-0j -0.00314691-0j -4.43748e-05-0j -0.00896227-0j 0.000614817-0j -0.00359647-0j -0.00114443-0j 0.000376497-0j -0.00220238-0j -0.00129804-0j 0.000221899-0j -3.85848e-05-0j -3.93804e-06-0j -3.37617e-05-0j -3.44579e-06-0j -0.00130792-0j 0.000526986-0j -0.00308269-0j -1.3926e-05-0j -0.000800931-0j -0.000472052-0j -2.36283e-05-0j -3.30727e-05-0j -3.37547e-06-0j -2.41155e-06-0j -1.42131e-06-0j -0.00112107-0j 
0.00588325-0j 0.0008526-0j 0.00042802-0j 6.17794e-05-0j 0.00042363-0j 6.11457e-05-0j 6.13924e-05-0j 3.58123e-05-0j -0.0506138-0j 5.11604e-06-0j 4.96126e-05-0j -0.0295247-0j 2.98435e-06-0j -0.00518659-0j 4.44849e-06-0j -0.0409021-0j 4.13438e-06-0j -0.00592753-0j 5.08399e-06-0j 2.6213e-07-0j -0.00362986-0j 3.1133e-06-0j 1.83491e-06-0j -0.00213936-0j -0.0478025-0j 2.49064e-05-0j -0.0418272-0j 2.17931e-05-0j 2.99577e-07-0j -0.00508074-0j 4.35771e-06-0j -0.0172528-0j 1.83453e-07-0j 1.08123e-07-0j -0.029273-0j -0.0409736-0j 2.13483e-05-0j 1.5252e-05-0j 8.98919e-06-0j 2.5678e-07-0j 
8.66685e-05-0j -0.00180748-0j 6.30533e-06-0j 0.0124774-0j 6.24066e-06-0j 0.0123494-0j -0.000130149-0j -7.59205e-05-0j 5.11604e-06-0j -0.0478286-0j -0.000105177-0j 2.98435e-06-0j -0.0279-0j -7.5445e-05-0j 0.00089845-0j 4.13438e-06-0j -0.0386514-0j -8.62229e-05-0j 0.0010268-0j -0.0101222-0j -5.28005e-05-0j 0.000628784-0j 0.000370592-0j -3.11195e-05-0j -0.000704198-0j 3.66906e-07-0j -0.000616173-0j 3.21042e-07-0j -0.0115683-0j -7.39053e-05-0j 0.000880115-0j -0.000254158-0j -0.0070841-0j -0.00417521-0j -0.000431231-0j -0.000603598-0j 3.1449e-07-0j 2.24683e-07-0j 1.32423e-07-0j -0.00991567-0j 
-8.84557e-06-0j 0.000184475-0j 0.000124478-0j -0.00127347-0j 0.000123201-0j -0.00126041-0j -0.00256937-0j -0.0014988-0j -5.22153e-07-0j 0.00488149-0j -0.00207636-0j -3.04589e-07-0j 0.00284754-0j 7.70007e-06-0j 0.0177369-0j -4.21964e-07-0j 0.00394484-0j 8.80008e-06-0j 0.0202707-0j 0.0010331-0j 5.38893e-06-0j 0.0124132-0j 0.0073161-0j 3.17612e-06-0j -3.66906e-07-0j -0.000693269-0j -3.21042e-07-0j -0.00060661-0j 0.00118068-0j 7.54293e-06-0j 0.0173749-0j -1.32423e-07-0j 0.000723018-0j 0.000426131-0j -2.24683e-07-0j -3.1449e-07-0j -0.00059423-0j -0.000424539-0j -0.000250214-0j 0.00101201-0j 
