-0.0416381-0j -0.00736065-0j -0.000613387-0j -0.0363191-0j -0.00605318-0j -0.0037068-0j -0.000756647-0j -4.45859e-05-0j -0.0228981-0j -0.0231354-0j -0.00369517-0j -0.00373346-0j -0.00301709-0j -0.00304836-0j -0.00043548-0j -0.000377137-0j -0.000439993-0j -0.000381045-0j -4.4446e-05-0j -4.49066e-05-0j -2.02867e-06-0j -2.0497e-06-0j -0.0170137-0j -0.0210534-0j -0.0122812-0j -0.00269011-0j -0.00332884-0j -0.00212672-0j -0.00194182-0j -0.00141781-0j -0.000306965-0j -0.00263168-0j -0.00175445-0j -0.000354453-0j -0.00153514-0j -0.00037985-0j -0.000125318-0j -0.00102343-0j -2.95377e-05-0j -0.000221579-0j -3.13295e-05-0j -0.000438613-0j -0.000155073-0j -0.000255857-0j -3.65511e-05-0j -2.61079e-06-0j -9.04593e-05-0j -3.87683e-05-0j -2.13215e-05-0j -9.72984e-08-0j -3.23069e-06-0j -2.26148e-05-0j -1.20401e-07-0j -1.88457e-06-0j -7.02337e-08-0j 
0.0485778-0j 0.00858742-0j 0.000715618-0j 0.000734135-0j 0.000122356-0j 7.49273e-05-0j 1.52945e-05-0j 9.01235e-07-0j 0.0267145-0j -0.026056-0j 0.00431103-0j -0.00420478-0j 0.00351994-0j -0.00343318-0j 0.00050806-0j 0.000439993-0j -0.000495538-0j -0.000429148-0j 5.18537e-05-0j -5.05756e-05-0j 2.36679e-06-0j -2.30845e-06-0j -0.0390358-0j 0.000425563-0j -0.0279113-0j -0.0061721-0j 6.72874e-05-0j -0.00487948-0j -0.00441316-0j -0.00325298-0j -0.000704292-0j 5.31954e-05-0j 3.54636e-05-0j -0.000813246-0j -0.00348891-0j 7.67809e-06-0j -0.000287526-0j -0.00232594-0j -6.77705e-05-0j -0.000503581-0j -7.18815e-05-0j 8.86589e-06-0j 3.13457e-06-0j -0.000581485-0j 7.38825e-07-0j -5.99012e-06-0j -0.000205586-0j 7.83642e-07-0j -4.84571e-05-0j -2.23239e-07-0j 6.53035e-08-0j -5.13965e-05-0j 2.43372e-09-0j -4.28305e-06-0j -1.5962e-07-0j 
0.0297477-0j 0.0052587-0j 0.000438225-0j 0.0259476-0j 0.0043246-0j 0.00264826-0j 0.000540575-0j 3.18537e-05-0j -0.0481462-0j 0.0165287-0j -0.00776957-0j 0.00266732-0j -0.00634382-0j 0.00217785-0j -0.000915652-0j -0.000792978-0j 0.000314346-0j 0.000272232-0j -9.34534e-05-0j 3.20828e-05-0j -4.26554e-06-0j 1.46437e-06-0j 0.0121552-0j -0.0442675-0j 0.00877408-0j 0.00192191-0j -0.0069993-0j 0.0015194-0j 0.0013873-0j 0.00101293-0j 0.000219306-0j -0.00553344-0j -0.00368896-0j 0.000253233-0j 0.00109676-0j -0.000798683-0j 8.95315e-05-0j 0.000731174-0j 2.11028e-05-0j 0.000158304-0j 2.23829e-05-0j -0.000922239-0j -0.000326061-0j 0.000182793-0j -7.68533e-05-0j 1.86524e-06-0j 6.46272e-05-0j -8.15152e-05-0j 1.52328e-05-0j 6.95134e-08-0j -6.79293e-06-0j 1.61568e-05-0j -2.53158e-07-0j 1.3464e-06-0j 5.01774e-08-0j 
-0.0425056-0j -0.00751399-0j -0.000626166-0j 0.035791-0j 0.00596516-0j 0.0036529-0j 0.000745645-0j 4.39376e-05-0j 0.0227097-0j 0.0236032-0j 0.00366477-0j 0.00380896-0j 0.00299227-0j 0.00311-0j 0.000431897-0j 0.000374034-0j 0.00044889-0j 0.00038875-0j 4.40803e-05-0j 4.58146e-05-0j 2.01198e-06-0j 2.09114e-06-0j -0.0173682-0j -0.0201567-0j -0.0112563-0j -0.00274615-0j -0.00318705-0j -0.00217102-0j -0.00177978-0j -0.00144735-0j -0.00031336-0j -0.00251958-0j -0.00167972-0j -0.000361837-0j -0.00140704-0j -0.000363671-0j -0.000127929-0j -0.000938026-0j -3.01531e-05-0j -0.000203089-0j -3.19822e-05-0j -0.000419931-0j -0.000148468-0j -0.000234506-0j -3.49942e-05-0j -2.66518e-06-0j -8.29106e-05-0j -3.7117e-05-0j -1.95422e-05-0j -9.93255e-08-0j -3.09308e-06-0j -2.07276e-05-0j -1.15272e-07-0j -1.7273e-06-0j -6.43728e-08-0j 
0.0175326-0j 0.00309936-0j 0.00025828-0j -0.044819-0j -0.00746983-0j -0.00457432-0j -0.000933729-0j -5.50205e-05-0j 0.00964177-0j 0.046043-0j 0.00155593-0j 0.00743016-0j 0.00127041-0j 0.0060667-0j 0.000183369-0j 0.000158802-0j 0.000875653-0j 0.000758337-0j 1.8715e-05-0j 8.93709e-05-0j 8.54218e-07-0j 4.07921e-06-0j 0.00716401-0j -0.0259807-0j 0.00619117-0j 0.00113273-0j -0.0041079-0j 0.000895501-0j 0.000978911-0j 0.000597001-0j 0.000129254-0j -0.00324758-0j -0.00216505-0j 0.00014925-0j 0.000773897-0j -0.000468748-0j 5.27679e-05-0j 0.000515931-0j 1.24375e-05-0j 0.000111702-0j 1.3192e-05-0j -0.000541264-0j -0.000191366-0j 0.000128983-0j -4.51053e-05-0j 1.09933e-06-0j 4.56023e-05-0j -4.78414e-05-0j 1.07486e-05-0j 4.09697e-08-0j -3.98678e-06-0j 1.14006e-05-0j -1.48579e-07-0j 9.50048e-07-0j 3.54062e-08-0j 
0.00535859-0j -0.044665-0j -0.0113241-0j 0.00467406-0j -0.0367311-0j 0.000477045-0j -0.00928016-0j -0.00109942-0j 0.00294686-0j 0.0029774-0j -0.0224226-0j -0.022655-0j 0.000388283-0j 0.000392307-0j -0.0053411-0j -0.0022885-0j -0.00539645-0j -0.00231221-0j -0.000820545-0j -0.000829049-0j -6.25951e-05-0j -6.32437e-05-0j 0.00218957-0j 0.00270946-0j 0.00158052-0j -0.0163238-0j -0.0201996-0j 0.000273697-0j -0.0117831-0j 0.000182464-0j -0.00376488-0j 0.000338682-0j 0.000225788-0j -0.00215085-0j 0.000197565-0j -0.0046588-0j 1.61277e-05-0j 0.00013171-0j -0.000545314-0j -0.00271763-0j -0.000384252-0j -0.00266154-0j 1.99571e-05-0j -0.00155256-0j -0.000674792-0j -6.43779e-05-0j 1.16416e-05-0j -0.000475487-0j -0.000393629-0j -3.6051e-06-0j -7.96636e-05-0j -0.000277367-0j -4.46108e-06-0j -4.64704e-05-0j -2.6023e-06-0j 
-0.00605318-0j 0.0504545-0j 0.012792-0j -9.1479e-05-0j 0.000718888-0j -9.33654e-06-0j 0.000181628-0j 2.15174e-05-0j -0.00332884-0j 0.00324679-0j 0.025329-0j -0.0247047-0j -0.000438613-0j 0.000427802-0j 0.00603341-0j 0.00258513-0j -0.0058847-0j -0.00252141-0j 0.000926905-0j -0.000904058-0j 7.07086e-05-0j -6.89658e-05-0j -0.00247339-0j -5.30285e-05-0j 0.00347797-0j 0.0184397-0j 0.00039534-0j -0.000309173-0j -0.0259291-0j -0.000206116-0j 0.00425289-0j -6.62856e-06-0j -4.41904e-06-0j 0.00242964-0j 0.000434746-0j 9.11803e-05-0j -1.82182e-05-0j 0.000289831-0j 0.000615998-0j -0.00598022-0j 0.000434058-0j 5.20906e-05-0j -3.90592e-07-0j -0.00341646-0j 1.32068e-05-0j 7.27226e-05-0j 2.56177e-05-0j 9.30605e-06-0j -0.00086619-0j 4.07239e-06-0j 1.55915e-06-0j -0.000610354-0j 8.73106e-08-0j -0.000102259-0j -5.72642e-06-0j 
-0.0049424-0j 0.0411959-0j 0.0104446-0j -0.00431103-0j 0.0338783-0j -0.000439993-0j 0.00855938-0j 0.00101403-0j 0.00264061-0j -0.00274615-0j -0.0200923-0j 0.0208954-0j 0.000347931-0j -0.000361837-0j -0.00478602-0j -0.00205066-0j 0.00497731-0j 0.00213262-0j -0.00073527-0j 0.000764657-0j -5.60898e-05-0j 5.83316e-05-0j 0.00397158-0j 0.00242788-0j -0.00145776-0j -0.029609-0j -0.0181004-0j 0.000496447-0j 0.0108679-0j 0.000330965-0j -0.00682897-0j 0.000303485-0j 0.000202323-0j -0.00390133-0j -0.00018222-0j -0.00417463-0j 2.92534e-05-0j -0.00012148-0j -0.000989124-0j 0.00250656-0j -0.000696978-0j -0.00238494-0j 1.7883e-05-0j 0.00143198-0j -0.000604664-0j -0.000116773-0j -1.07374e-05-0j -0.000426072-0j 0.000363056-0j -6.53914e-06-0j -7.13845e-05-0j 0.000255825-0j -3.99746e-06-0j 4.28611e-05-0j 2.40018e-06-0j 
0.00499362-0j -0.0416228-0j -0.0105528-0j -0.00420478-0j 0.0330433-0j -0.000429148-0j 0.00834841-0j 0.000989032-0j 0.00274615-0j -0.00277294-0j -0.0208954-0j 0.0210992-0j 0.000361837-0j -0.000365367-0j -0.00497731-0j -0.00213262-0j 0.00502587-0j 0.00215343-0j -0.000764657-0j 0.000772118-0j -5.83316e-05-0j 5.89008e-05-0j -0.00401274-0j -0.00243742-0j 0.00132241-0j 0.0299159-0j 0.0181716-0j -0.000501592-0j -0.00985886-0j -0.000334395-0j 0.00689973-0j -0.000304678-0j -0.000203119-0j 0.00394176-0j 0.000165301-0j 0.00419105-0j -2.95566e-05-0j 0.000110201-0j 0.000999374-0j -0.00227383-0j 0.000704201-0j 0.00239431-0j -1.79533e-05-0j -0.00129902-0j 0.000607041-0j 0.000117983-0j 9.74045e-06-0j 0.000427747-0j -0.000329346-0j 6.6069e-06-0j 7.16652e-05-0j -0.000232071-0j 4.01318e-06-0j -3.88815e-05-0j -2.17732e-06-0j 
0.0043246-0j -0.0360464-0j -0.00913902-0j 6.53558e-05-0j -0.000513599-0j 6.67034e-06-0j -0.000129761-0j -1.53727e-05-0j -0.0069993-0j -0.00231962-0j 0.0532575-0j 0.0176499-0j -0.000922239-0j -0.000305637-0j 0.012686-0j 0.00543557-0j 0.00420423-0j 0.00180138-0j 0.00194893-0j 0.000645891-0j 0.000148674-0j 4.92716e-05-0j 0.00176707-0j -0.000111499-0j -0.00248478-0j -0.0131739-0j 0.000831252-0j 0.000220884-0j 0.0185246-0j 0.000147256-0j -0.00303841-0j -1.39374e-05-0j -9.2916e-06-0j -0.00173582-0j -0.000310598-0j 0.000191718-0j 1.30157e-05-0j -0.000207065-0j -0.00044009-0j 0.00427248-0j -0.000310106-0j 0.000109527-0j -8.21269e-07-0j 0.00244083-0j 2.77689e-05-0j -5.19555e-05-0j -1.83021e-05-0j 1.95672e-05-0j 0.000618836-0j -2.90946e-06-0j 3.2783e-06-0j 0.000436058-0j 1.83582e-07-0j 7.30576e-05-0j 4.09115e-06-0j 
-0.00356761-0j 0.0297368-0j 0.0075393-0j 0.00606199-0j -0.0476382-0j 0.000618699-0j -0.0120358-0j -0.00142588-0j 0.00190609-0j -0.00177978-0j -0.0145034-0j 0.0135423-0j 0.00025115-0j -0.000234506-0j -0.00345473-0j -0.00148025-0j 0.00322579-0j 0.00138215-0j -0.000530746-0j 0.000495574-0j -4.04878e-05-0j 3.78047e-05-0j -0.00145776-0j -0.00341398-0j -0.00404502-0j 0.0108679-0j 0.025452-0j -0.00018222-0j 0.0301566-0j -0.00012148-0j 0.00250656-0j -0.000426747-0j -0.000284498-0j 0.00143198-0j -0.000505627-0j 0.00587019-0j -1.07374e-05-0j -0.000337085-0j 0.000363056-0j 0.00695524-0j 0.000255825-0j 0.00335359-0j -2.51463e-05-0j 0.00397348-0j 0.000850252-0j 4.28611e-05-0j -2.97944e-05-0j 0.000599124-0j 0.00100741-0j 2.40018e-06-0j 0.000100378-0j 0.000709866-0j 5.62105e-06-0j 0.000118932-0j 6.66006e-06-0j 
0.00113987-0j -0.00950104-0j -0.00240884-0j -0.0038909-0j 0.0305766-0j -0.000397113-0j 0.00772522-0j 0.000915202-0j 0.000626851-0j 0.00664142-0j -0.00476969-0j -0.0505343-0j 8.25949e-05-0j 0.000875084-0j -0.00113615-0j -0.000486804-0j -0.0120374-0j -0.00515764-0j -0.000174545-0j -0.00184928-0j -1.33151e-05-0j -0.000141072-0j 0.000465762-0j -0.00225547-0j -0.00428199-0j -0.00347236-0j 0.0168151-0j 5.82202e-05-0j 0.0319232-0j 3.88135e-05-0j -0.000800858-0j -0.000281934-0j -0.000187956-0j -0.000457524-0j -0.000535249-0j 0.00387819-0j 3.43066e-06-0j -0.000356833-0j -0.000115998-0j 0.00736271-0j -8.17372e-05-0j 0.00221558-0j -1.66131e-05-0j 0.00420626-0j 0.000561727-0j -1.36943e-05-0j -3.15398e-05-0j 0.000395816-0j 0.00106643-0j -7.66868e-07-0j 6.63155e-05-0j 0.000751453-0j 3.7136e-06-0j 0.000125899-0j 7.05023e-06-0j 
0.00344811-0j -0.0582756-0j 5.07954e-05-0j 0.00300763-0j 0.000501272-0j -0.0590018-0j -0.00599052-0j 3.69222e-06-0j 0.00189623-0j 0.00191588-0j 0.000306002-0j 0.000309173-0j -0.0238869-0j -0.0241344-0j 3.60627e-05-0j -0.00600296-0j 3.64364e-05-0j -0.00606517-0j -0.000351887-0j -0.000355534-0j 1.67997e-07-0j 1.69738e-07-0j 0.00140893-0j 0.00174346-0j 0.00101702-0j 0.000222771-0j 0.000275666-0j -0.0168376-0j 0.000160805-0j 0.000117411-0j 2.54202e-05-0j -0.0208355-0j 0.000145289-0j -0.00280627-0j -0.012154-0j 3.14559e-05-0j -0.00299725-0j 8.47516e-05-0j 2.44606e-06-0j 1.83493e-05-0j -0.000498677-0j -0.00347258-0j -0.00370891-0j -0.00202567-0j 3.02684e-06-0j -2.06701e-05-0j -0.00216353-0j -0.000617082-0j 1.76566e-06-0j 8.05742e-09-0j -2.5578e-05-0j -0.000359964-0j 9.97054e-09-0j -1.49205e-05-0j 5.81615e-09-0j 
-0.000497692-0j 0.0083847-0j -0.0998813-0j -0.000434114-0j 0.00689533-0j -4.43066e-05-0j -0.0402048-0j -0.0146224-0j -0.000273697-0j -0.000276533-0j 0.00420926-0j 0.00425289-0j -3.60627e-05-0j -3.64364e-05-0j -0.0231394-0j 0.000429606-0j -0.0233792-0j 0.000434058-0j -0.00723739-0j -0.00731239-0j -0.00111275-0j -0.00112428-0j -0.000203362-0j -0.000251647-0j -0.000146794-0j 0.00306437-0j 0.00379196-0j -2.54202e-05-0j 0.00221198-0j -1.69468e-05-0j -0.0163107-0j -3.14559e-05-0j -2.09706e-05-0j 0.000403766-0j -1.83493e-05-0j -0.0201835-0j -1.4979e-06-0j -1.22328e-05-0j -0.00480979-0j -0.0117737-0j -0.00166471-0j 0.000499635-0j -1.85356e-06-0j 0.000291454-0j -0.00595182-0j -0.000856239-0j -1.08124e-06-0j -0.00205997-0j -0.00347189-0j -8.02216e-05-0j -0.00105954-0j -0.00120165-0j -9.92691e-05-0j -0.000618066-0j -5.7907e-05-0j 
