-0.38487-0j -0.00831314-0j -0.325342-0j 0.315702-0j -0.296996-0j -0.007274-0j -0.00484933-0j 0.416036-0j -0.212184-0j 0.291182-0j -0.00300037-0j 0.365269-0j 0.297231-0j 0.269976-0j 0.0894371-0j -0.0519308-0j -0.00111019-0j -0.0428407-0j 0.0415712-0j -0.0383179-0j -0.0262345-0j -0.000938479-0j 0.0536763-0j -0.000856711-0j -0.0265063-0j -0.0249904-0j 0.0363748-0j 0.0242499-0j 0.04563-0j -0.000612064-0j -0.00773101-0j 0.0495073-0j 0.0150039-0j 0.031797-0j 0.0325996-0j 0.0200994-0j 0.00537914-0j -0.0345988-0j -0.0049939-0j -0.000733862-0j -0.000105924-0j -0.0280282-0j -0.00404552-0j 0.0271977-0j 0.00392565-0j -0.0247186-0j -0.00356782-0j -0.0234501-0j -0.000605405-0j -0.00338473-0j -8.73827e-05-0j 0.0346261-0j 0.00499785-0j -0.000541491-0j -0.000370734-0j -0.0167535-0j -7.81575e-05-0j -5.35108e-05-0j -0.00241817-0j 0.022991-0j -0.0216287-0j 0.00331847-0j 0.0288408-0j -0.00832491-0j -0.00312184-0j 0.0209878-0j 0.00416281-0j -0.0012016-0j -0.000374575-0j 0.00302933-0j -0.000353153-0j -5.40653e-05-0j 0.0302979-0j -0.0089214-0j -5.09733e-05-0j 0.0201986-0j 0.00437312-0j 0.0194594-0j -0.00128769-0j 0.0149944-0j 0.00291541-0j 0.00280872-0j -0.000109251-0j 0.0266008-0j 0.00216426-0j -1.5769e-05-0j 0.0124972-0j 0.00383949-0j 0.0115971-0j 0.00180382-0j 0.0139024-0j 0.0016739-0j 0.00651327-0j 0.00200664-0j 0.000940109-0j 0.00146363-0j 0.000211256-0j 
0.039256-0j 0.0428407-0j -0.0319116-0j 0.0335282-0j 0.030293-0j -0.0360479-0j 0.0249904-0j 0.0218666-0j -0.0632669-0j -0.029738-0j -0.0755311-0j 0.0127555-0j -0.0456685-0j -0.00678816-0j 0.00155634-0j -0.249111-0j -0.269071-0j 0.197624-0j -0.207636-0j -0.18381-0j -0.125846-0j 0.21873-0j -0.132681-0j -0.207636-0j 0.371698-0j 0.115281-0j 0.174713-0j -0.121121-0j -0.0749397-0j 0.433648-0j 0.253909-0j 0.117683-0j 0.366076-0j -0.0390997-0j 0.156512-0j 0.0189949-0j -0.00377155-0j 0.003529-0j -0.0484207-0j 0.00378186-0j -0.0518901-0j -0.00274918-0j 0.0377208-0j 0.00288845-0j -0.0396317-0j 0.00252124-0j -0.0345934-0j 0.00239186-0j -0.00300022-0j -0.0328182-0j 0.0411654-0j 0.00181993-0j -0.0249708-0j 0.0027905-0j 0.00191053-0j -0.00499541-0j -0.0382879-0j -0.0262139-0j 0.0685409-0j -0.00234805-0j -0.00212148-0j 0.032217-0j 0.00100715-0j 0.000849123-0j 0.0291083-0j 0.00222895-0j -0.0138188-0j -0.0116506-0j -0.00564291-0j -0.0305829-0j -0.00175013-0j 0.0774251-0j -0.00153136-0j -0.00444512-0j 0.0240131-0j 0.00106163-0j 0.0210115-0j 0.000508792-0j 0.0609906-0j -0.00465517-0j -0.0145663-0j -0.00698102-0j -0.00385471-0j -0.000893295-0j 0.0638725-0j 0.0528896-0j -0.00320866-0j 0.0122567-0j 0.000242332-0j 0.0440253-0j -0.00106261-0j -0.00332499-0j -0.000108994-0j 0.0145799-0j 0.00149548-0j 1.90858e-05-0j -0.000261873-0j 
-0.0396628-0j 0.0415712-0j -0.0335282-0j 0.0338491-0j -0.0306069-0j 0.0363748-0j 0.0242499-0j -0.0195215-0j -0.0218666-0j 0.03122-0j 0.0150039-0j -0.0604179-0j -0.0139468-0j -0.0742735-0j -0.0434488-0j 0.251693-0j -0.261097-0j 0.207636-0j -0.209623-0j 0.185715-0j 0.12715-0j -0.220714-0j 0.118451-0j -0.201483-0j 0.128468-0j 0.121121-0j -0.18342-0j -0.12228-0j 0.35496-0j -0.143946-0j 0.0374699-0j 0.109251-0j -0.075657-0j 0.411407-0j 0.253595-0j 0.36046-0j 0.149079-0j -0.00356558-0j 0.0489225-0j 0.0036698-0j -0.0503525-0j -0.00288845-0j 0.0396317-0j 0.00291609-0j -0.0400111-0j -0.00254737-0j 0.0349519-0j -0.00241665-0j 0.00302743-0j 0.0331583-0j -0.0415387-0j -0.00162475-0j 0.0222928-0j 0.00270782-0j 0.00185391-0j -0.00172654-0j -0.0371533-0j -0.0254371-0j 0.0236894-0j 0.00246506-0j -0.00222895-0j -0.0338226-0j -0.00477045-0j -0.000857923-0j 0.0305829-0j 0.00225028-0j 0.0654543-0j 0.0117714-0j 0.00187313-0j -0.0308756-0j 0.001766-0j -0.0257008-0j -0.00142165-0j -0.000919395-0j -0.0242309-0j -0.000947768-0j 0.0195062-0j -0.0053535-0j 0.0126148-0j 0.00160768-0j 0.0130041-0j 0.0734541-0j 0.000546329-0j -0.00439994-0j -0.0220586-0j -0.00749605-0j -0.000586402-0j 0.0603705-0j -0.00442229-0j 0.00804589-0j -0.00382472-0j 0.0606773-0j -0.00316416-0j 0.0524782-0j 0.0434148-0j -0.00101305-0j 0.0138999-0j 
0.0226502-0j 0.0247186-0j 0.0191469-0j 0.0193453-0j -0.0339841-0j 0.0216287-0j -0.0704901-0j 0.0126168-0j -0.0242794-0j -0.0346921-0j 0.0089214-0j -0.0143098-0j 0.00901385-0j 0.00407289-0j 0.000897988-0j 0.00305621-0j 0.00330108-0j 0.00252124-0j 0.00254737-0j -0.00438457-0j 0.00154394-0j 0.0027905-0j 0.00162779-0j -0.0049529-0j 0.00155994-0j -0.00718985-0j 0.00222895-0j -0.00726435-0j 0.000919395-0j -0.00353853-0j 0.000454982-0j -0.00291913-0j 0.000919395-0j -0.000932677-0j 0.000656847-0j 0.000242332-0j 4.62711e-05-0j -0.193684-0j 0.000293899-0j -0.207562-0j 0.000314957-0j -0.156902-0j 0.000238085-0j -0.158528-0j 0.000240553-0j 0.269044-0j -0.000408252-0j -0.131274-0j -0.17123-0j 0.000199197-0j 0.000259827-0j -0.099884-0j 0.000151566-0j 0.297778-0j -0.104856-0j -0.0937864-0j -0.000451852-0j 0.000159111-0j 0.000142313-0j -0.134008-0j 0.235414-0j 0.000203346-0j -0.0552757-0j 0.365038-0j -0.00035722-0j 0.237853-0j 8.38761e-05-0j -0.000553914-0j -0.105943-0j -0.000360922-0j 0.488297-0j 0.000160759-0j -0.0873985-0j 0.0971033-0j -0.000740949-0j 0.28484-0j 0.00013262-0j -0.0279243-0j -0.000147346-0j 0.169931-0j -0.00043222-0j 4.23727e-05-0j -0.0309-0j 0.0991263-0j -0.000257855-0j 4.68882e-05-0j -0.0360501-0j -0.000150416-0j 0.0258595-0j 5.47029e-05-0j -0.01995-0j -3.92396e-05-0j -0.00622052-0j 3.02725e-05-0j 9.43911e-06-0j -0.0010475-0j 1.58949e-06-0j 
-0.00326928-0j -0.00356782-0j -0.00276362-0j -0.00279226-0j 0.00490518-0j -0.00312184-0j 0.0101744-0j -0.00182107-0j 0.00350443-0j 0.00500738-0j -0.00128769-0j 0.00206544-0j -0.00130104-0j -0.000587871-0j -0.000129613-0j 0.0419335-0j 0.0452934-0j 0.0345934-0j 0.0349519-0j -0.0601598-0j 0.0211841-0j 0.0382879-0j 0.0223346-0j -0.0679577-0j 0.0214036-0j -0.0986503-0j 0.0305829-0j -0.0996726-0j 0.0126148-0j -0.0485513-0j 0.00624271-0j -0.0400528-0j 0.0126148-0j -0.0127971-0j 0.00901245-0j 0.00332499-0j 0.000634875-0j -0.000293899-0j -0.187613-0j -0.000314957-0j -0.201056-0j -0.000238085-0j -0.151984-0j -0.000240553-0j -0.153559-0j 0.000408252-0j 0.260611-0j -0.000199197-0j -0.000259827-0j -0.127159-0j -0.165862-0j -0.000151566-0j -0.096753-0j 0.000451852-0j -0.000159111-0j -0.000142313-0j 0.288443-0j -0.10157-0j -0.0908466-0j -0.000203346-0j 0.00035722-0j -0.129808-0j -8.38761e-05-0j 0.000553914-0j 0.228035-0j 0.000360922-0j -0.053543-0j 0.353596-0j -0.000160759-0j 0.230398-0j 0.000740949-0j -0.102622-0j -0.00013262-0j 0.000147346-0j 0.472991-0j 0.00043222-0j -0.0846589-0j -4.23727e-05-0j 0.0940594-0j 0.000257855-0j 0.275911-0j -0.0270489-0j -4.68882e-05-0j 0.000150416-0j 0.164604-0j -0.0299314-0j -5.47029e-05-0j 0.096019-0j 3.92396e-05-0j -0.03492-0j -3.02725e-05-0j 0.0250489-0j -9.43911e-06-0j -0.0193247-0j -0.00602553-0j -1.58949e-06-0j -0.00101466-0j 
-0.0280282-0j -0.000605405-0j 0.0227844-0j 0.022991-0j -0.0216287-0j 0.000509413-0j -0.000353153-0j 0.0302979-0j 0.0451717-0j -0.020392-0j 0.00106737-0j 0.0266008-0j -0.0632772-0j -0.018907-0j 0.00651327-0j -0.00378186-0j -8.08499e-05-0j 0.00300022-0j 0.00302743-0j -0.0027905-0j -0.00191053-0j 6.57236e-05-0j 0.00390898-0j -6.239e-05-0j 0.00564291-0j 0.00175013-0j -0.0025474-0j 0.001766-0j 0.00332301-0j 0.000130302-0j 0.00385471-0j -0.0034671-0j -0.00533757-0j 0.00231562-0j -0.00694011-0j -0.0014076-0j 0.000391737-0j 0.239672-0j -0.000363681-0j 0.00508359-0j -7.71392e-06-0j -0.18671-0j 0.000283316-0j -0.188403-0j 0.000285886-0j 0.17123-0j -0.000259827-0j 0.162443-0j -0.00403291-0j -0.000246493-0j 6.11959e-06-0j -0.239861-0j 0.000363969-0j 0.003751-0j 0.00256814-0j -0.339262-0j -5.69183e-06-0j -3.89693e-06-0j 0.000514802-0j 0.153155-0j -0.14408-0j -0.000232399-0j -0.199785-0j 0.0576681-0j 0.000218629-0j -0.145386-0j 0.000303157-0j -8.75064e-05-0j -0.00758522-0j 0.000220611-0j -0.00235253-0j 1.15099e-05-0j 0.201829-0j -0.30189-0j 3.56976e-06-0j -0.139919-0j -0.000306259-0j -0.134798-0j 0.000458092-0j 0.30364-0j 0.000212315-0j 0.000204545-0j -0.00518151-0j 0.177201-0j -0.000460748-0j 7.8625e-06-0j 0.422892-0j -0.000268887-0j -0.0803353-0j -0.000641703-0j 0.281527-0j 0.000121902-0j 0.0433881-0j -0.000427193-0j -6.58378e-05-0j -0.0101388-0j 1.53848e-05-0j 
0.00404552-0j 8.73827e-05-0j -0.00328864-0j -0.00331847-0j 0.00312184-0j -7.35274e-05-0j 5.09733e-05-0j -0.00437312-0j -0.00651997-0j 0.00294334-0j -0.000154062-0j -0.00383949-0j 0.00913327-0j 0.00272899-0j -0.000940109-0j -0.0518901-0j -0.00110932-0j 0.0411654-0j 0.0415387-0j -0.0382879-0j -0.0262139-0j 0.000901779-0j 0.0536343-0j -0.00085604-0j 0.0774251-0j 0.0240131-0j -0.0349524-0j 0.0242309-0j 0.0455942-0j 0.00178784-0j 0.0528896-0j -0.0475713-0j -0.0732356-0j 0.0317721-0j -0.0952237-0j -0.0193134-0j 0.00537493-0j 0.000363681-0j 0.232159-0j 7.71392e-06-0j 0.00492424-0j -0.000283316-0j -0.180857-0j -0.000285886-0j -0.182497-0j 0.000259827-0j 0.165862-0j 0.000246493-0j -6.11959e-06-0j 0.157351-0j -0.00390649-0j -0.000363969-0j -0.232343-0j 5.69183e-06-0j 3.89693e-06-0j -0.000514802-0j 0.00363342-0j 0.00248763-0j -0.328628-0j 0.000232399-0j -0.000218629-0j 0.148354-0j -0.000303157-0j 8.75064e-05-0j -0.139563-0j -0.000220611-0j -0.193523-0j 0.0558604-0j -1.15099e-05-0j -0.140829-0j -3.56976e-06-0j -0.00734745-0j 0.000306259-0j -0.000458092-0j -0.00227879-0j -0.000212315-0j 0.195503-0j -0.000204545-0j -0.292427-0j 0.000460748-0j -0.135533-0j -0.130573-0j -7.8625e-06-0j 0.000268887-0j 0.294122-0j -0.00501909-0j 0.000641703-0j 0.171646-0j -0.000121902-0j 0.409636-0j 0.000427193-0j -0.0778171-0j 6.58378e-05-0j 0.272702-0j 0.0420281-0j -1.53848e-05-0j -0.00982098-0j 
0.0163498-0j -0.0346261-0j 0.013821-0j 0.0123387-0j 0.0126168-0j -0.0302979-0j -0.0201986-0j 0.0348072-0j 0.00901385-0j 0.0113804-0j -0.0124972-0j 0.00650042-0j 0.0248674-0j -0.0369322-0j -0.062421-0j 0.00220609-0j -0.00462421-0j 0.00181993-0j 0.00162475-0j 0.00162779-0j 0.00111447-0j -0.00390898-0j 0.00449076-0j -0.0035684-0j 0.00112602-0j 0.00106163-0j 0.00142165-0j 0.000947768-0j 0.000812043-0j -0.00254938-0j 0.000328424-0j 0.00414197-0j 0.000586402-0j -0.00434977-0j 0.000580151-0j -0.00755428-0j -0.00593024-0j -0.139809-0j 0.000212148-0j 0.290756-0j -0.000441197-0j -0.113258-0j 0.000171859-0j -0.101111-0j 0.000153428-0j -0.099884-0j 0.000151566-0j -0.0947583-0j 0.239861-0j 0.000143788-0j -0.000363969-0j -0.27556-0j 0.000418139-0j 0.214538-0j 0.146884-0j -0.0676986-0j -0.000325544-0j -0.000222885-0j 0.000102727-0j -0.0854724-0j -0.0873985-0j 0.000129697-0j -0.0488215-0j -0.0336397-0j 0.00013262-0j -0.0780252-0j 7.40824e-05-0j 5.10454e-05-0j 0.148407-0j 0.000118397-0j 0.139919-0j -0.000225194-0j -0.241115-0j -0.0360501-0j -0.000212315-0j -0.160744-0j 0.000365872-0j 0.253212-0j 5.47029e-05-0j -0.0557439-0j 0.000243915-0j -0.000384227-0j 0.0432853-0j -0.0450296-0j 8.45866e-05-0j -6.56817e-05-0j -0.099455-0j 6.83285e-05-0j 0.414605-0j 0.000150915-0j 0.180903-0j -0.000629128-0j 0.432401-0j -0.000274505-0j -0.000656132-0j 0.221237-0j -0.000335708-0j 
-0.00235989-0j 0.00499785-0j -0.00199489-0j -0.00178094-0j -0.00182107-0j 0.00437312-0j 0.00291541-0j -0.00502398-0j -0.00130104-0j -0.00164261-0j 0.00180382-0j -0.000938255-0j -0.00358931-0j 0.0053307-0j 0.00900969-0j 0.0302692-0j -0.0634477-0j 0.0249708-0j 0.0222928-0j 0.0223346-0j 0.0152915-0j -0.0536343-0j 0.0616168-0j -0.0489612-0j 0.0154499-0j 0.0145663-0j 0.0195062-0j 0.0130041-0j 0.0111419-0j -0.0349795-0j 0.00450623-0j 0.0568311-0j 0.00804589-0j -0.0596822-0j 0.00796013-0j -0.103651-0j -0.0813675-0j -0.000212148-0j -0.135426-0j 0.000441197-0j 0.281642-0j -0.000171859-0j -0.109708-0j -0.000153428-0j -0.0979417-0j -0.000151566-0j -0.096753-0j -0.000143788-0j 0.000363969-0j -0.091788-0j 0.232343-0j -0.000418139-0j -0.266923-0j 0.000325544-0j 0.000222885-0j -0.000102727-0j 0.207814-0j 0.14228-0j -0.0655765-0j -0.000129697-0j -0.00013262-0j -0.0827931-0j -7.40824e-05-0j -5.10454e-05-0j -0.0846589-0j -0.000118397-0j -0.0472911-0j -0.0325852-0j 0.000225194-0j -0.0755794-0j 0.000212315-0j 0.143755-0j -0.000365872-0j -5.47029e-05-0j 0.135533-0j -0.000243915-0j -0.233557-0j 0.000384227-0j -0.03492-0j -8.45866e-05-0j -0.155705-0j 0.245275-0j 6.56817e-05-0j -6.83285e-05-0j -0.0539966-0j 0.0419284-0j -0.000150915-0j -0.0436181-0j 0.000629128-0j -0.0963375-0j 0.000274505-0j 0.401609-0j 0.000656132-0j 0.175233-0j 0.418847-0j 0.000335708-0j 0.214302-0j 
0.0160061-0j 0.0174677-0j 0.0135304-0j 0.0136706-0j -0.0361681-0j -0.0447557-0j 0.0101895-0j -0.0261075-0j 0.00882435-0j 0.0126088-0j 0.00630442-0j 0.00520088-0j 0.00636975-0j 0.00287816-0j 0.000634575-0j 0.00215971-0j 0.00233275-0j 0.00178167-0j 0.00180013-0j 0.00159357-0j -0.0074807-0j 0.00197195-0j 0.0011503-0j -0.00527119-0j -0.00322793-0j 0.00103931-0j -0.0046123-0j 0.00105008-0j -0.00190247-0j 0.00128608-0j 0.000321519-0j 0.00106096-0j 0.000649702-0j 0.000338981-0j 0.000464169-0j 0.000171247-0j 3.2698e-05-0j 0.0014389-0j 0.000207687-0j 0.001542-0j 0.000222569-0j 0.00116564-0j 0.000168246-0j 0.00117772-0j 0.00016999-0j 0.001028-0j 0.000148379-0j -0.00285574-0j 0.00127209-0j -0.000412191-0j 0.00018361-0j 0.00074205-0j 0.000107106-0j 0.00113779-0j -0.00534111-0j 0.00069675-0j 0.000164226-0j -0.000770923-0j 0.000100567-0j 0.000995564-0j -0.00263394-0j 0.000143697-0j 0.000410649-0j 0.000346218-0j -0.000380177-0j -0.00266124-0j 5.92721e-05-0j 4.99722e-05-0j -0.0023047-0j -0.000384117-0j 0.00074205-0j -0.000332655-0j -0.00190128-0j 0.000371025-0j 0.000107106-0j 0.000432862-0j -0.000274426-0j -0.000607468-0j 5.35528e-05-0j 0.000649294-0j 6.24783e-05-0j -8.76805e-05-0j 0.00022956-0j 0.000378755-0j 9.37175e-05-0j 3.31341e-05-0j 0.00026782-0j 5.46685e-05-0j 9.88075e-05-0j 3.86565e-05-0j 0.000148211-0j 1.42616e-05-0j 4.6213e-05-0j 2.13924e-05-0j 6.67027e-06-0j 7.78198e-06-0j 1.12323e-06-0j 
-0.0028295-0j -0.00308788-0j -0.00239186-0j -0.00241665-0j 0.00639367-0j 0.00791176-0j -0.00180126-0j 0.00461519-0j -0.00155994-0j -0.00222895-0j -0.00111447-0j -0.000919395-0j -0.00112602-0j -0.000508792-0j -0.000112178-0j 0.0179555-0j 0.0193941-0j 0.0148125-0j 0.014966-0j 0.0132487-0j -0.0621933-0j 0.0163944-0j 0.00956342-0j -0.0438239-0j -0.0268365-0j 0.00864062-0j -0.0383459-0j 0.00873017-0j -0.0158169-0j 0.0106922-0j 0.00267306-0j 0.00882064-0j 0.00540152-0j 0.00281824-0j 0.00385903-0j 0.00142372-0j 0.000271846-0j 0.0241953-0j 0.00349007-0j 0.0259289-0j 0.00374014-0j 0.0196004-0j 0.00282728-0j 0.0198035-0j 0.00285658-0j 0.017286-0j 0.00249343-0j -0.0480197-0j 0.0213903-0j -0.00692665-0j 0.00308546-0j 0.0124777-0j 0.00179985-0j 0.019132-0j -0.0898115-0j 0.0117159-0j 0.00275972-0j -0.0129549-0j 0.00168998-0j 0.0167405-0j -0.0442901-0j 0.00241476-0j 0.00690512-0j 0.0058217-0j -0.00638866-0j -0.044749-0j 0.000996036-0j 0.000839756-0j -0.0387538-0j -0.00645487-0j 0.0124777-0j -0.00559008-0j -0.0319703-0j 0.00623883-0j 0.00179985-0j 0.00727864-0j -0.00461158-0j -0.0102147-0j 0.000899926-0j 0.010918-0j 0.00104991-0j -0.00147342-0j 0.00386008-0j 0.00636881-0j 0.00157487-0j 0.000556801-0j 0.00450343-0j 0.000918675-0j 0.00166146-0j 0.000649601-0j 0.00249219-0j 0.000239659-0j 0.000777077-0j 0.000359488-0j 0.00011209-0j 0.000130855-0j 1.88753e-05-0j 
