-0.0371838-0j -0.0460126-0j -0.0268407-0j -0.00463339-0j -0.00540563-0j -0.00331026-0j -0.00472992-0j -0.00195099-0j -0.00292122-0j -0.000421642-0j -0.00329987-0j -0.000476296-0j -0.00269434-0j -0.000388894-0j -0.00272226-0j -0.00235754-0j -0.000392924-0j -0.000340282-0j -0.00194487-0j -0.000280718-0j -0.000621397-0j -8.96909e-05-0j -0.00217052-0j -0.000383698-0j -3.19748e-05-0j -0.00240233-0j -0.000424676-0j -0.00189921-0j -3.53896e-05-0j -0.00126614-0j -0.00191889-0j -0.000335736-0j -0.000223824-0j -0.00221574-0j -2.7978e-05-0j -0.000339215-0j -0.000783383-0j -1.8652e-05-0j -0.00129252-0j -2.82679e-05-0j -0.00137092-0j -0.000391692-0j -0.000138484-0j -3.2641e-05-0j -0.000228487-0j -0.000799703-0j -1.15403e-05-0j -0.000242347-0j -1.90406e-05-0j -0.000208622-0j -0.000141369-0j -2.01956e-05-0j -3.68796e-05-0j -1.17807e-05-0j -3.0733e-06-0j 
0.00600051-0j 0.00742525-0j 0.0043314-0j -0.0352553-0j -0.0411312-0j -0.0251876-0j -0.0359898-0j -0.014845-0j 0.000471411-0j -0.00648457-0j 0.000532515-0j -0.0073251-0j 0.000434797-0j -0.00598092-0j 0.000439302-0j 0.000380447-0j -0.0060429-0j -0.0052333-0j 0.000313853-0j -0.00431725-0j 0.000100277-0j -0.00137938-0j 0.000350267-0j -0.00291954-0j -0.000740206-0j 0.000387674-0j -0.00323134-0j 0.000306483-0j -0.000819258-0j 0.000204322-0j 0.000309659-0j -0.0025546-0j -0.00170307-0j 0.000357564-0j -0.00064768-0j -0.00258107-0j 0.000126418-0j -0.000431787-0j 0.000208579-0j -0.000654392-0j 0.000221231-0j -0.00298037-0j -0.00105372-0j -0.000755627-0j -0.00173855-0j 0.000129052-0j -0.000267154-0j -0.00184401-0j -0.000440782-0j 3.36663e-05-0j -0.00107567-0j -0.00046752-0j -0.000280615-0j -0.00027272-0j -7.11457e-05-0j 
0.00489939-0j 0.00606269-0j 0.00353657-0j 0.000610503-0j 0.000712254-0j 0.000436165-0j 0.000623222-0j 0.000257066-0j -0.0367989-0j 5.55563e-05-0j -0.0415688-0j 6.27575e-05-0j -0.0339408-0j 5.12413e-05-0j -0.0342925-0j -0.0296982-0j 5.17723e-05-0j 4.48361e-05-0j -0.0244997-0j 3.69879e-05-0j -0.00782778-0j 1.18178e-05-0j -0.0412868-0j -0.00483347-0j 4.21305e-06-0j -0.0456961-0j -0.00534967-0j -0.0361259-0j 4.66299e-06-0j -0.0240839-0j -0.0365003-0j -0.00422929-0j -0.00281952-0j -0.0421469-0j 3.68642e-06-0j -0.00427311-0j -0.0149012-0j 2.45761e-06-0j -0.0245857-0j 3.72462e-06-0j -0.0260771-0j -0.00493417-0j -0.00174449-0j 4.30082e-06-0j -0.00287826-0j -0.0152116-0j 1.52057e-06-0j -0.00305286-0j 2.50881e-06-0j -0.00396832-0j -0.00178084-0j 2.661e-06-0j -0.000464575-0j 1.55225e-06-0j 4.04942e-07-0j 
-0.000707167-0j -0.000875074-0j -0.00051046-0j 0.00839788-0j 0.00979753-0j 0.00599974-0j 0.00857284-0j 0.00353612-0j -5.55563e-05-0j -0.0356473-0j -6.27575e-05-0j -0.040268-0j -5.12413e-05-0j -0.0328787-0j -5.17723e-05-0j -4.48361e-05-0j -0.0332194-0j -0.0287688-0j -3.69879e-05-0j -0.0237331-0j -1.18178e-05-0j -0.00758283-0j 0.00595923-0j 0.00069544-0j -0.00828431-0j 0.00659566-0j 0.000769711-0j 0.00521433-0j -0.00916905-0j 0.00347622-0j 0.00526836-0j 0.00060851-0j 0.000405673-0j 0.00608338-0j -0.00724877-0j 0.000614816-0j 0.0021508-0j -0.00483251-0j 0.00354864-0j -0.00732389-0j 0.0037639-0j 0.000709928-0j 0.000250998-0j -0.0084569-0j 0.000414125-0j 0.00219561-0j -0.00298996-0j 0.000439246-0j -0.00493319-0j 0.000572778-0j 0.000256227-0j -0.00523244-0j 6.6843e-05-0j -0.00305226-0j -0.000796256-0j 
-0.000612424-0j -0.000757836-0j -0.000442071-0j 0.00359823-0j 0.00419794-0j 0.0025707-0j 0.0036732-0j 0.00151512-0j 0.00924783-0j 0.000661828-0j 0.0104465-0j 0.000747615-0j 0.00852956-0j 0.000610425-0j 0.00861796-0j 0.00746337-0j 0.000616751-0j 0.000534122-0j 0.00615697-0j 0.000440628-0j 0.00196718-0j 0.000140783-0j -3.57489e-05-0j -0.0572738-0j 7.55469e-05-0j -3.95668e-05-0j -0.0633904-0j -3.12803e-05-0j 8.36151e-05-0j -2.08535e-05-0j -3.16045e-05-0j -0.0501145-0j -0.0334097-0j -3.64937e-05-0j 6.61036e-05-0j -0.0506339-0j -1.29025e-05-0j 4.4069e-05-0j -2.1288e-05-0j 6.67886e-05-0j -2.25793e-05-0j -0.058467-0j -0.0206712-0j 7.71208e-05-0j -0.0341057-0j -1.31713e-05-0j 2.72663e-05-0j -0.0361746-0j 4.49871e-05-0j -3.43605e-06-0j -0.0211018-0j 4.77161e-05-0j -0.00550493-0j 2.78344e-05-0j 7.26128e-06-0j 
7.21749e-05-0j 8.93119e-05-0j 5.20986e-05-0j -0.00129015-0j -0.00150518-0j -0.000921731-0j -0.00131703-0j -0.000543248-0j -0.000542099-0j 0.0111495-0j -0.000612366-0j 0.0125947-0j -0.000499995-0j 0.0102836-0j -0.000505176-0j -0.000437495-0j 0.0103901-0j 0.00899812-0j -0.000360915-0j 0.00742307-0j -0.000115314-0j 0.00237171-0j 4.21305e-06-0j 0.0102144-0j -0.0390094-0j 4.66299e-06-0j 0.0113053-0j 3.68642e-06-0j -0.0431755-0j 2.45761e-06-0j 3.72462e-06-0j 0.0089376-0j 0.0059584-0j 4.30082e-06-0j -0.0341333-0j 0.00903022-0j 1.52057e-06-0j -0.0227555-0j 2.50881e-06-0j -0.034487-0j 2.661e-06-0j 0.0104272-0j 0.00368657-0j -0.0398221-0j 0.00608253-0j 1.55225e-06-0j -0.0140792-0j 0.0064515-0j -0.0232296-0j 4.04942e-07-0j 0.00376337-0j -0.0246387-0j 0.000981769-0j -0.0143726-0j -0.00374944-0j 
-3.29432e-06-0j -4.07651e-06-0j -2.37796e-06-0j 9.84191e-05-0j 0.000114822-0j 7.0314e-05-0j 0.000100469-0j 4.14415e-05-0j -2.58807e-07-0j -0.00171425-0j -2.92354e-07-0j -0.00193645-0j -2.38706e-07-0j -0.0015811-0j -2.4118e-07-0j -2.08868e-07-0j -0.00159749-0j -0.00138347-0j -1.72307e-07-0j -0.0011413-0j -5.5053e-08-0j -0.000364651-0j -1.92299e-07-0j 8.15022e-06-0j 0.0185832-0j -2.12836e-07-0j 9.02064e-06-0j -1.68261e-07-0j 0.0205679-0j -1.12174e-07-0j -1.70005e-07-0j 7.13144e-06-0j 4.75429e-06-0j -1.96305e-07-0j 0.0162603-0j 7.20534e-06-0j -6.94042e-08-0j 0.0108402-0j -1.14511e-07-0j 0.0164288-0j -1.21457e-07-0j 8.32001e-06-0j 2.94157e-06-0j 0.0189704-0j 4.85334e-06-0j -7.08502e-08-0j 0.00670705-0j 5.14775e-06-0j 0.0110661-0j -1.8483e-08-0j 3.00285e-06-0j 0.0117373-0j 7.83368e-07-0j 0.00684678-0j 0.00178615-0j 
0.0341882-0j 0.000732982-0j -0.048074-0j 0.00426012-0j 8.61119e-05-0j 0.00304358-0j -0.00419818-0j -0.00525714-0j 0.00268588-0j 0.000387674-0j 5.25671e-05-0j 7.58741e-06-0j 0.00247727-0j 0.000357564-0j -0.00241622-0j 3.75558e-05-0j -0.000348751-0j 5.42071e-06-0j -0.00348344-0j -0.000502791-0j -0.00223585-0j -0.000322717-0j 0.00199566-0j 0.000352786-0j 2.93989e-05-0j 3.82692e-05-0j 6.7651e-06-0j 0.0017462-0j 5.63758e-07-0j 0.00116414-0j -0.00170316-0j 0.000308688-0j 0.000205792-0j 3.52969e-05-0j 2.5724e-05-0j -0.00030108-0j 0.000720272-0j 1.71493e-05-0j -0.00231501-0j -2.509e-05-0j -0.0012168-0j 6.23966e-06-0j 0.000127327-0j 5.19972e-07-0j -0.000409239-0j -0.00215488-0j 1.06106e-05-0j -0.000215102-0j -3.41033e-05-0j -0.000939136-0j -0.000380932-0j -1.79251e-05-0j -0.000166017-0j -3.17443e-05-0j -1.38348e-05-0j 
-0.00540563-0j -0.000115895-0j 0.00760116-0j 0.0317602-0j 0.000641984-0j 0.0226906-0j -0.0312984-0j -0.0391932-0j -0.000424676-0j 0.0058417-0j -8.31159e-06-0j 0.000114332-0j -0.000391692-0j 0.00538798-0j 0.000382037-0j -5.93809e-06-0j -0.00525518-0j 8.16824e-05-0j 0.00055078-0j -0.00757634-0j 0.000353519-0j -0.00486289-0j -0.000315542-0j 0.0026301-0j 0.000666823-0j -6.05089e-06-0j 5.04354e-05-0j -0.000276099-0j 1.27871e-05-0j -0.000184066-0j 0.000269294-0j 0.00230134-0j 0.00153423-0j -5.58092e-06-0j 0.00058347-0j -0.00224462-0j -0.000113885-0j 0.00038898-0j 0.000366035-0j -0.000569089-0j 0.000192393-0j 4.65181e-05-0j 0.000949255-0j 1.1794e-05-0j -0.00305097-0j 0.000340716-0j 0.000240669-0j -0.00160363-0j -0.000773528-0j 0.00014849-0j -0.00283994-0j -0.000406577-0j -0.0012377-0j -0.000720022-0j -0.0003138-0j 
-0.00427352-0j -9.16228e-05-0j 0.00600924-0j -0.000532515-0j -1.0764e-05-0j -0.000380447-0j 0.000524772-0j 0.000657142-0j 0.032098-0j -4.84593e-05-0j 0.000628211-0j -9.48426e-07-0j 0.029605-0j -4.46955e-05-0j -0.0288753-0j 0.000448815-0j 4.35938e-05-0j -6.77589e-07-0j -0.0416293-0j 6.28489e-05-0j -0.0267198-0j 4.03396e-05-0j -0.000249458-0j 0.00421602-0j -3.67486e-06-0j -4.78365e-06-0j 8.08472e-05-0j -0.000218275-0j -7.04698e-08-0j -0.000145517-0j 0.000212895-0j 0.00368902-0j 0.00245935-0j -4.41211e-06-0j -3.2155e-06-0j -0.00359809-0j -9.0034e-05-0j -2.14367e-06-0j 0.000289376-0j 3.13625e-06-0j 0.0001521-0j 7.45679e-05-0j 0.00152164-0j -6.49965e-08-0j -0.00489067-0j 0.000269359-0j -1.32633e-06-0j -0.0025706-0j 4.26291e-06-0j 0.000117392-0j -0.00455238-0j 2.24064e-06-0j -0.00198401-0j 3.96804e-06-0j 1.72935e-06-0j 
-0.00284902-0j -6.10819e-05-0j 0.00400616-0j -0.00035501-0j -7.17599e-06-0j -0.000253631-0j 0.000349848-0j 0.000438095-0j -0.000223824-0j -3.23062e-05-0j -4.38059e-06-0j -6.32284e-07-0j -0.00020644-0j -2.9797e-05-0j 0.000201351-0j -3.12965e-06-0j 2.90626e-05-0j -4.51726e-07-0j 0.000290286-0j 4.18992e-05-0j 0.000186321-0j 2.68931e-05-0j 0.0481831-0j -2.93989e-05-0j -2.4499e-06-0j 0.000923969-0j -5.63758e-07-0j 0.0421602-0j -4.69799e-08-0j 0.0281068-0j -0.0411211-0j -2.5724e-05-0j -1.71493e-05-0j 0.000852205-0j -2.14367e-06-0j 2.509e-05-0j 0.0173902-0j -1.42911e-06-0j -0.0558934-0j 2.09083e-06-0j -0.0293783-0j -5.19972e-07-0j -1.06106e-05-0j -4.3331e-08-0j 3.41033e-05-0j -0.0520272-0j -8.84217e-07-0j 1.79251e-05-0j 2.84194e-06-0j -0.0226744-0j 3.17443e-05-0j 1.49376e-06-0j 1.38348e-05-0j 2.64536e-06-0j 1.1529e-06-0j 
