-0.0415727-0j -0.0420036-0j -0.00488403-0j -0.00604367-0j -0.00352548-0j -0.00298146-0j -0.000430337-0j -0.00347837-0j -0.00213006-0j -0.00050206-0j -0.000307448-0j -0.00304358-0j -0.000439302-0j -0.00125541-0j -0.000181203-0j -0.00217052-0j -0.000383698-0j -3.19748e-05-0j -0.00245187-0j -0.00200194-0j -0.000433433-0j -0.00202269-0j -3.61194e-05-0j -0.000353896-0j -0.0017517-0j -2.94914e-05-0j -0.000357564-0j -0.00144508-0j -0.000309659-0j -2.9797e-05-0j -0.000461709-0j -2.58049e-05-0j -0.000255456-0j -8.16194e-05-0j -2.1288e-05-0j -6.80162e-06-0j -0.00171057-0j -0.000285094-0j -0.000174584-0j -0.00189325-0j -3.56368e-05-0j -2.09992e-06-0j -0.00149675-0j -0.000315542-0j -0.00099783-0j -0.00151226-0j -0.000193229-0j -3.94427e-05-0j -0.000249458-0j -0.0017462-0j -2.32418e-06-0j -0.000166305-0j -0.000152761-0j -0.000617376-0j -0.000252043-0j -0.00101862-0j -0.000101841-0j -0.000154344-0j -3.11822e-05-0j -0.00108041-0j -0.000291034-0j -2.07881e-05-0j -1.83743e-06-0j -3.15053e-05-0j -0.000630238-0j -0.000102896-0j -0.000178221-0j -0.00016977-0j -1.22495e-06-0j -1.85647e-06-0j -0.000164413-0j -6.30107e-05-0j -0.000180068-0j -3.63792e-05-0j -0.000103962-0j -1.2862e-05-0j -0.000110269-0j -0.00010504-0j -2.12212e-05-0j -2.14367e-06-0j -2.25085e-05-0j -7.57901e-07-0j -6.43234e-05-0j -2.74022e-05-0j -1.25047e-06-0j -1.313e-05-0j -1.32633e-06-0j -1.67803e-05-0j -7.7369e-07-0j -3.42527e-06-0j -2.01836e-07-0j 
0.00657323-0j 0.00664135-0j -0.0364116-0j -0.045057-0j -0.0262833-0j 0.000471411-0j -0.00648457-0j 0.000549979-0j 0.000336792-0j -0.00756533-0j -0.0046328-0j 0.000481232-0j -0.00661966-0j 0.000198498-0j -0.00273047-0j 0.00034319-0j -0.00286056-0j -0.00072525-0j 0.000387674-0j 0.000316535-0j -0.00323134-0j 0.000319815-0j -0.000819258-0j -0.00263838-0j 0.000276968-0j -0.000668921-0j -0.00266572-0j 0.000228487-0j -0.00230858-0j -0.000675853-0j 7.30026e-05-0j -0.000585306-0j -0.00190448-0j -0.000608492-0j -0.000482853-0j -0.000154274-0j 0.000270464-0j -0.00212545-0j 2.76041e-05-0j 0.000299349-0j -0.000536996-0j -6.36176e-05-0j 0.000236656-0j -0.00235244-0j 0.000157771-0j 0.000239109-0j 3.05522e-05-0j -0.000594346-0j -0.00185976-0j 0.000276099-0j -7.04118e-05-0j -0.00123984-0j 2.41536e-05-0j 9.76157e-05-0j -0.00187904-0j 0.000161058-0j 1.61024e-05-0j 2.44039e-05-0j -0.000469871-0j 0.000170828-0j -0.00216973-0j -0.000313248-0j -5.56654e-05-0j -0.000474741-0j 9.96494e-05-0j -0.000767114-0j 2.81792e-05-0j -0.00126567-0j -3.71103e-05-0j -5.62423e-05-0j 2.5996e-05-0j 9.96286e-06-0j -0.00134245-0j -0.000548183-0j 1.64379e-05-0j -0.000193812-0j 1.7435e-05-0j -0.000783095-0j -0.000319774-0j -6.4943e-05-0j -0.000339171-0j -2.29608e-05-0j 1.01704e-05-0j -0.00020429-0j -3.78834e-05-0j -0.00019785-0j -4.01814e-05-0j 2.6532e-06-0j -2.34392e-05-0j -5.1614e-05-0j -6.11468e-06-0j 
0.00519659-0j 0.00525044-0j 0.000610503-0j 0.000755459-0j 0.000440685-0j -0.0356304-0j 5.37921e-05-0j -0.0415688-0j -0.0254556-0j 6.27575e-05-0j 3.8431e-05-0j -0.0363727-0j 5.49128e-05-0j -0.015003-0j 2.26504e-05-0j 0.000271315-0j -0.00458543-0j 3.99685e-06-0j 0.000306483-0j 0.000250243-0j -0.0051798-0j 0.000252836-0j 4.51492e-06-0j -0.00422929-0j 0.000218962-0j 3.68642e-06-0j -0.00427311-0j 0.000180635-0j -0.00370063-0j 3.72462e-06-0j 5.77136e-05-0j 3.22562e-06-0j -0.00305286-0j -0.000975404-0j 2.661e-06-0j 8.50202e-07-0j -0.0413589-0j 3.56368e-05-0j -0.0041946-0j -0.0457759-0j -0.000425882-0j 2.6249e-07-0j -0.0361891-0j 3.94427e-05-0j -0.024126-0j -0.0365641-0j -0.00464257-0j -0.000471365-0j 3.11822e-05-0j -0.0422206-0j 2.90523e-07-0j 2.07881e-05-0j -0.00367028-0j -0.0149272-0j 3.15053e-05-0j -0.0246287-0j -0.00244685-0j -0.00370831-0j -0.000372647-0j -0.0261226-0j 3.63792e-05-0j -0.000248431-0j 2.29679e-07-0j -0.000376509-0j -0.0152382-0j 1.2862e-05-0j -0.00428199-0j 2.12212e-05-0j 1.53119e-07-0j 2.32059e-07-0j -0.00397526-0j -0.00151391-0j 2.25085e-05-0j -0.000434755-0j -0.00249783-0j -0.000153709-0j -0.00264935-0j 1.313e-05-0j -0.000253607-0j 2.67958e-07-0j -0.000268991-0j 9.47376e-08-0j -0.00154545-0j 3.42527e-06-0j 1.56309e-07-0j -0.000156911-0j 1.65791e-07-0j -0.000403169-0j 9.67113e-08-0j -4.09342e-05-0j 2.52295e-08-0j 
0.0034644-0j 0.0035003-0j 0.000407002-0j 0.00050364-0j 0.00029379-0j 0.000248455-0j 3.58614e-05-0j 0.000289864-0j 0.000177505-0j 4.18383e-05-0j 2.56206e-05-0j 0.000253631-0j 3.66085e-05-0j 0.000104618-0j 1.51002e-05-0j -0.0524049-0j 3.19748e-05-0j 2.66457e-06-0j -0.0591977-0j -0.0483347-0j 3.61194e-05-0j -0.0488356-0j 3.00995e-06-0j 2.94914e-05-0j -0.0422929-0j 2.45761e-06-0j 2.9797e-05-0j -0.0348898-0j 2.58049e-05-0j 2.48308e-06-0j -0.0111475-0j 2.15041e-06-0j 2.1288e-05-0j 6.80162e-06-0j 1.774e-06-0j 5.66801e-07-0j 0.000142547-0j -0.0068833-0j 1.45487e-05-0j 0.000157771-0j 2.96973e-06-0j 1.74993e-07-0j 0.000124729-0j -0.00761842-0j 8.31525e-05-0j 0.000126021-0j 1.61024e-05-0j 3.28689e-06-0j -0.00602289-0j 0.000145517-0j 1.93682e-07-0j -0.00401526-0j 1.27301e-05-0j 5.1448e-05-0j -0.0060853-0j 8.48849e-05-0j 8.48672e-06-0j 1.2862e-05-0j 2.59852e-06-0j 9.0034e-05-0j -0.0070267-0j 1.73234e-06-0j 1.53119e-07-0j 2.62544e-06-0j 5.25198e-05-0j -0.00248431-0j 1.48518e-05-0j -0.00409891-0j 1.02079e-07-0j 1.54706e-07-0j 1.37011e-05-0j 5.25089e-06-0j -0.00434755-0j 3.0316e-06-0j 8.66353e-06-0j 1.07183e-06-0j 9.18906e-06-0j -0.00253607-0j 1.76843e-06-0j 1.78639e-07-0j 1.87571e-06-0j 6.31584e-08-0j 5.36028e-06-0j -0.000661596-0j 1.04206e-07-0j 1.09416e-06-0j 1.10527e-07-0j 1.39836e-06-0j 6.44742e-08-0j 2.85439e-07-0j 1.68197e-08-0j 
-0.000750064-0j -0.000757836-0j 0.00839788-0j 0.0103918-0j 0.00606191-0j -5.37921e-05-0j -0.0345154-0j -6.27575e-05-0j -3.8431e-05-0j -0.040268-0j -0.024659-0j -5.49128e-05-0j -0.0352345-0j -2.26504e-05-0j -0.0145335-0j -3.9161e-05-0j 0.000659752-0j -0.00785918-0j -4.4237e-05-0j -3.61194e-05-0j 0.00074527-0j -3.64937e-05-0j -0.00887789-0j 0.00060851-0j -3.16045e-05-0j -0.00724877-0j 0.000614816-0j -2.60724e-05-0j 0.000532446-0j -0.00732389-0j -8.33024e-06-0j -0.00634267-0j 0.000439246-0j 0.000140341-0j -0.00523244-0j -0.00167179-0j 0.00596965-0j 0.000490208-0j -3.14988e-06-0j 0.00660719-0j -0.00285827-0j -0.00103955-0j 0.00522344-0j 0.000542561-0j 0.00348229-0j 0.00527757-0j -3.48628e-06-0j -0.00316352-0j 0.000428932-0j 0.00609401-0j -0.00115057-0j 0.000285955-0j -2.75614e-06-0j 0.00215456-0j 0.000433377-0j 0.00355484-0j -1.83743e-06-0j -2.7847e-06-0j -0.00250098-0j 0.00377048-0j 0.000500421-0j -0.00166732-0j -0.000909606-0j -0.0025269-0j 0.00219945-0j 0.000176925-0j -3.2155e-06-0j 0.000291912-0j -0.000606404-0j -0.000919032-0j 0.00057378-0j -1.13685e-06-0j 0.000309619-0j -0.00291781-0j -1.87571e-06-0j -0.0010316-0j -1.98949e-06-0j 0.000180611-0j -0.00170206-0j -0.00106121-0j -0.00180531-0j -0.000375193-0j -1.16054e-06-0j 4.71169e-05-0j -0.000619037-0j -0.00105309-0j -0.000656588-0j -3.02754e-07-0j -0.00038301-0j -0.000274726-0j -9.99175e-05-0j 
-0.000866099-0j -0.000875074-0j 0.00479764-0j 0.00593678-0j 0.00346312-0j 0.00593839-0j 0.000854417-0j 0.00692813-0j 0.00424259-0j 0.00099682-0j 0.000610425-0j 0.00606211-0j 0.000872217-0j 0.00250049-0j 0.000359771-0j 0.00652801-0j -0.0360346-0j 9.55601e-05-0j 0.00737417-0j 0.00602098-0j -0.0407055-0j 0.00608338-0j 0.000107947-0j -0.0332359-0j 0.00526836-0j 8.81381e-05-0j -0.0335803-0j 0.00434618-0j -0.0290814-0j 8.90514e-05-0j 0.00138862-0j 7.71208e-05-0j -0.0239909-0j -0.00766521-0j 6.36214e-05-0j 2.03274e-05-0j -3.56368e-05-0j -0.0404293-0j 0.0006991-0j -3.94427e-05-0j -0.00676458-0j 8.38236e-06-0j -3.11822e-05-0j -0.044747-0j -2.07881e-05-0j -3.15053e-05-0j 0.000773762-0j -0.00748702-0j -0.0353756-0j -3.63792e-05-0j 9.27757e-06-0j -0.0235838-0j 0.000611713-0j -1.2862e-05-0j -0.0357422-0j -2.12212e-05-0j 0.000407808-0j 0.000618052-0j -0.00591901-0j -2.25085e-05-0j -0.0412716-0j -0.003946-0j 7.33456e-06-0j -0.00598034-0j -1.313e-05-0j -0.0145917-0j 0.000713665-0j -0.0240751-0j 4.88971e-06-0j 7.41057e-06-0j -3.42527e-06-0j 0.000252319-0j -0.0255355-0j -0.00690551-0j 0.000416304-0j -0.00244147-0j 0.000441558-0j -0.0148957-0j -0.00402821-0j 8.55699e-06-0j -0.00427256-0j 3.02535e-06-0j 0.000257575-0j -0.00388591-0j 4.99158e-06-0j -0.00249233-0j 5.29437e-06-0j 6.71948e-05-0j 3.08838e-06-0j -0.000650185-0j 8.0568e-07-0j 
-0.000306212-0j -0.000309385-0j -3.59743e-05-0j -4.45159e-05-0j -2.59676e-05-0j 0.00634254-0j -3.16973e-06-0j 0.00739963-0j 0.00453133-0j -3.69802e-06-0j -2.26457e-06-0j 0.00647468-0j -3.23577e-06-0j 0.00267067-0j -1.33469e-06-0j -1.59874e-05-0j 0.00081625-0j -2.35517e-07-0j -1.80597e-05-0j -1.47457e-05-0j 0.000922052-0j -1.48985e-05-0j -2.66044e-07-0j 0.000752853-0j -1.29025e-05-0j -2.17224e-07-0j 0.000760654-0j -1.0644e-05-0j 0.000658746-0j -2.19476e-07-0j -3.40081e-06-0j -1.90071e-07-0j 0.000543438-0j 0.000173631-0j -1.56801e-07-0j -5.00986e-08-0j -1.25995e-05-0j -2.09992e-06-0j -0.071262-0j -1.39451e-05-0j 7.58111e-05-0j -1.54674e-08-0j -1.10246e-05-0j -2.32418e-06-0j -7.34971e-06-0j -1.11388e-05-0j -0.0788726-0j 8.39075e-05-0j -1.83743e-06-0j -1.2862e-05-0j -1.71192e-08-0j -1.22495e-06-0j -0.0623543-0j -4.5474e-06-0j -1.85647e-06-0j -7.50283e-06-0j -0.0415695-0j -0.0630004-0j 6.63347e-05-0j -7.95796e-06-0j -2.14367e-06-0j 4.42231e-05-0j -1.35339e-08-0j 6.70221e-05-0j -4.64214e-06-0j -7.57901e-07-0j -0.0727466-0j -1.25047e-06-0j -9.02263e-09-0j -1.36742e-08-0j -1.21102e-06-0j -0.0257198-0j -1.32633e-06-0j 7.73905e-05-0j -0.0424355-0j 2.73617e-05-0j -0.0450097-0j -7.7369e-07-0j 4.51444e-05-0j -1.57896e-08-0j 4.78829e-05-0j -5.58247e-09-0j -0.0262557-0j -2.01836e-07-0j -9.2106e-09-0j 2.79317e-05-0j -9.76931e-09-0j -0.00684943-0j -5.69877e-09-0j 7.28667e-06-0j -1.48666e-09-0j 
7.21749e-05-0j 7.29228e-05-0j -0.00121637-0j -0.00150518-0j -0.000878022-0j 5.17615e-06-0j 0.0101781-0j 6.03884e-06-0j 3.69802e-06-0j 0.0118744-0j 0.00727158-0j 5.28399e-06-0j 0.0103901-0j 2.17953e-06-0j 0.00428571-0j -0.000544001-0j -9.55601e-05-0j -0.0348911-0j -0.000614514-0j -0.000501749-0j -0.000107947-0j -0.000506948-0j -0.0394137-0j -8.81381e-05-0j -0.00043903-0j -0.0321811-0j -8.90514e-05-0j -0.000362181-0j -7.71208e-05-0j -0.0325146-0j -0.000115719-0j -0.0281585-0j -6.36214e-05-0j -2.03274e-05-0j -0.0232296-0j -0.00742196-0j 2.96973e-06-0j 0.0102502-0j 3.03097e-07-0j 3.28689e-06-0j 0.000842861-0j -0.00946586-0j 2.59852e-06-0j 0.0113449-0j 1.73234e-06-0j 2.62544e-06-0j 3.35467e-07-0j 0.000932877-0j 0.00896895-0j 3.0316e-06-0j -0.0104768-0j 0.0059793-0j 2.6521e-07-0j 1.07183e-06-0j 0.0090619-0j 1.76843e-06-0j 1.76807e-07-0j 2.67958e-07-0j 0.000737504-0j 1.87571e-06-0j 0.0104638-0j 0.000491669-0j -0.00828263-0j 0.000745146-0j 1.09416e-06-0j 0.00369951-0j 3.09412e-07-0j 0.00610387-0j -0.00552175-0j -0.00836846-0j 2.85439e-07-0j 1.09394e-07-0j 0.00647413-0j 0.000860421-0j 1.8049e-07-0j 0.000304205-0j 1.91439e-07-0j 0.00377658-0j 0.000501912-0j -0.00966307-0j 0.000532358-0j -0.00341641-0j 1.11673e-07-0j 0.000985213-0j -0.00563679-0j 0.000310542-0j -0.00597872-0j 2.91325e-08-0j -0.00348759-0j 8.10126e-05-0j -0.000909823-0j 
7.6553e-05-0j 7.73464e-05-0j -0.000857105-0j -0.00106061-0j -0.000618691-0j -0.00105526-0j 0.00352271-0j -0.00123114-0j -0.000753914-0j 0.00410983-0j 0.00251675-0j -0.00107724-0j 0.0035961-0j -0.000444341-0j 0.00148332-0j 3.99685e-06-0j 0.0129426-0j 0.000802125-0j 4.51492e-06-0j 3.68642e-06-0j 0.0146202-0j 3.72462e-06-0j 0.000906096-0j 0.0119374-0j 3.22562e-06-0j 0.000739824-0j 0.0120611-0j 2.661e-06-0j 0.0104452-0j 0.000747491-0j 8.50202e-07-0j 0.000647346-0j 0.00861685-0j 0.00275312-0j 0.000534033-0j 0.000170626-0j 3.14988e-06-0j -5.00316e-05-0j 0.0058766-0j 3.48628e-06-0j -0.0560717-0j 0.000106099-0j 2.75614e-06-0j -5.53749e-05-0j 1.83743e-06-0j 2.7847e-06-0j 0.00650421-0j -0.06206-0j -4.37777e-05-0j 3.2155e-06-0j 0.00011743-0j -2.91851e-05-0j 0.00514203-0j 1.13685e-06-0j -4.42314e-05-0j 1.87571e-06-0j 0.00342802-0j 0.00519531-0j -0.0490627-0j 1.98949e-06-0j -5.1074e-05-0j -0.0327085-0j 9.28363e-05-0j -0.0495712-0j 1.16054e-06-0j -1.80574e-05-0j 0.00599903-0j -2.97931e-05-0j 6.18908e-05-0j 9.37983e-05-0j 3.02754e-07-0j 0.00212098-0j -3.16004e-05-0j -0.0572398-0j 0.00349944-0j -0.0202373-0j 0.00371171-0j -1.84336e-05-0j -0.0333899-0j 0.000108309-0j -0.0354153-0j 3.8293e-05-0j 0.00216517-0j -4.80885e-06-0j 6.31802e-05-0j -0.020659-0j 6.70128e-05-0j 0.000564837-0j 3.90908e-05-0j -0.0053894-0j 1.01978e-05-0j 
-6.37942e-06-0j -6.44553e-06-0j 0.0001436-0j 0.000177696-0j 0.000103656-0j 4.37404e-05-0j -0.0018119-0j 5.10305e-05-0j 3.12497e-05-0j -0.00211388-0j -0.00129448-0j 4.46517e-05-0j -0.00184965-0j 1.84179e-05-0j -0.000762941-0j -3.33071e-07-0j -0.00107857-0j 0.0127397-0j -3.76244e-07-0j -3.07202e-07-0j -0.00121837-0j -3.10385e-07-0j 0.0143911-0j -0.000994797-0j -2.68801e-07-0j 0.0117503-0j -0.00100511-0j -2.2175e-07-0j -0.000870447-0j 0.011872-0j -7.08502e-08-0j 0.0102815-0j -0.000718083-0j -0.000229431-0j 0.00848179-0j 0.00270997-0j -2.6249e-07-0j 8.38236e-06-0j 5.14936e-06-0j -2.90523e-07-0j 0.0143452-0j -0.0381728-0j -2.29679e-07-0j 9.27757e-06-0j -1.53119e-07-0j -2.32059e-07-0j 5.6993e-06-0j 0.0158772-0j 7.33456e-06-0j -2.67958e-07-0j -0.0422495-0j 4.88971e-06-0j 4.50569e-06-0j -9.47376e-08-0j 7.41057e-06-0j -1.56309e-07-0j 3.00379e-06-0j 4.55238e-06-0j 0.012552-0j -1.65791e-07-0j 8.55699e-06-0j 0.00836801-0j -0.0334012-0j 0.0126821-0j -9.67113e-08-0j 3.02535e-06-0j 5.25664e-06-0j 4.99158e-06-0j -0.0222674-0j -0.0337473-0j -2.52295e-08-0j 1.8585e-06-0j 5.29437e-06-0j 0.014644-0j 3.06637e-06-0j 0.00517744-0j 3.25238e-06-0j 3.08838e-06-0j 0.00854235-0j -0.038968-0j 0.00906053-0j -0.0137773-0j 1.89722e-06-0j 8.0568e-07-0j -0.0227313-0j 0.00528531-0j -0.0241102-0j 4.94937e-07-0j -0.0140643-0j 0.0013788-0j -0.00366902-0j 
2.37747e-07-0j 2.40211e-07-0j -8.04147e-06-0j -9.95081e-06-0j -5.80464e-06-0j 1.70504e-08-0j 0.000169758-0j 1.98922e-08-0j 1.21814e-08-0j 0.000198051-0j 0.000121281-0j 1.74057e-08-0j 0.000173295-0j 7.17947e-09-0j 7.14805e-05-0j 1.24128e-08-0j -6.31752e-07-0j -0.0024117-0j 1.40218e-08-0j 1.14487e-08-0j -7.1364e-07-0j 1.15674e-08-0j -0.0027243-0j -5.82684e-07-0j 1.00176e-08-0j -0.00222438-0j -5.88723e-07-0j 8.26413e-09-0j -5.09849e-07-0j -0.00224744-0j 2.64043e-09-0j -0.00194634-0j -4.20604e-07-0j -1.34385e-07-0j -0.00160565-0j -0.000513012-0j 9.78242e-09-0j -4.69403e-07-0j 9.98414e-10-0j 1.08272e-08-0j 1.40579e-05-0j 0.0226013-0j 8.55962e-09-0j -5.19534e-07-0j 5.70641e-09-0j 8.64832e-09-0j 1.10504e-09-0j 1.55593e-05-0j -4.10728e-07-0j 9.98622e-09-0j 0.0250151-0j -2.73818e-07-0j 8.73612e-10-0j 3.53066e-09-0j -4.14984e-07-0j 5.82529e-09-0j 5.82408e-10-0j 8.82665e-10-0j 1.23007e-05-0j 6.17866e-09-0j -4.79182e-07-0j 8.20045e-06-0j 0.0197762-0j 1.24281e-05-0j 3.60422e-09-0j -1.69417e-07-0j 1.01921e-09-0j -2.79523e-07-0j 0.0131841-0j 0.0199811-0j 9.40249e-10-0j 3.60347e-10-0j -2.96479e-07-0j 1.43508e-05-0j 5.94542e-10-0j 5.07377e-06-0j 6.30607e-10-0j -1.72946e-07-0j 8.37129e-06-0j 0.0230722-0j 8.8791e-06-0j 0.00815726-0j 3.67854e-10-0j -4.51172e-08-0j 0.0134588-0j 5.17947e-06-0j 0.0142752-0j 9.59637e-11-0j 0.0083272-0j 1.35119e-06-0j 0.00217235-0j 
