-0.129151-0j -0.00227479-0j 0.182471-0j 0.0484185-0j -0.000266408-0j -0.0114615-0j 0.0159107-0j 0.0198808-0j 0.0408783-0j 0.00590028-0j 0.00048929-0j 7.0623e-05-0j -0.00929965-0j -0.00134229-0j 0.00912854-0j -0.000115823-0j 0.00131759-0j -1.67177e-05-0j 0.013139-0j 0.00189646-0j 0.0084265-0j 0.00121626-0j -0.00746818-0j -0.0013202-0j -0.000110017-0j 0.000476999-0j 8.43224e-05-0j 0.0197222-0j 7.02686e-06-0j -0.00435644-0j -0.0193593-0j 0.00348643-0j -0.000770117-0j -0.000108515-0j 0.000290536-0j -0.00342228-0j -0.00269541-0j -6.41764e-05-0j 0.00870449-0j -0.00028519-0j 0.00458268-0j -1.9183e-05-0j -0.000476485-0j -1.59858e-06-0j 0.00153875-0j 0.00809803-0j -3.97071e-05-0j 0.000810112-0j 0.000128229-0j 0.00352776-0j 0.00143154-0j 6.75093e-05-0j 0.000623626-0j 0.000119295-0j 5.19688e-05-0j 
0.11912-0j 0.14091-0j 0.0787464-0j 0.0147967-0j -0.0167714-0j -0.0313747-0j 0.0148567-0j 0.0297486-0j 0.00929965-0j 0.00134229-0j -0.010206-0j -0.00147311-0j -0.00843976-0j -0.00121817-0j -0.00866273-0j 0.0216407-0j -0.00125036-0j 0.00312356-0j -0.00557926-0j -0.000805297-0j 0.0209235-0j 0.00302005-0j -0.0351526-0j -0.00621416-0j -0.000517847-0j -0.00740673-0j -0.00130934-0j -0.00593043-0j -0.000109112-0j 0.00401808-0j -0.00608711-0j -0.00104836-0j 0.000710302-0j 0.00672188-0j -8.73635e-05-0j -0.00107606-0j -0.0123107-0j 5.91919e-05-0j 0.00375647-0j -8.96716e-05-0j 0.012907-0j 0.00118827-0j -0.00217624-0j 9.90226e-05-0j 0.000664056-0j -0.0119231-0j -0.000181353-0j 0.00228166-0j 5.5338e-05-0j 0.0121308-0j -0.00210772-0j 0.000190138-0j 0.00214445-0j -0.000175643-0j 0.000178704-0j 
-0.0491344-0j 0.17894-0j -0.0412689-0j -0.00610333-0j 0.0209563-0j -0.00436043-0j -0.0297486-0j 0.0362455-0j -0.00383591-0j -0.000553666-0j 0.0127527-0j 0.00184069-0j -0.00353798-0j -0.000510663-0j -0.0170678-0j 0.00911093-0j -0.00246353-0j 0.00131505-0j -0.00297161-0j -0.000428915-0j 0.0152518-0j 0.00220141-0j 0.0144997-0j 0.00256321-0j 0.000213601-0j 0.00925489-0j 0.00163605-0j -0.00248606-0j 0.000136337-0j -0.00165737-0j -0.0119932-0j -0.000439477-0j -0.000292985-0j 0.00853607-0j -3.66231e-05-0j -0.00212011-0j -0.00102545-0j -2.44154e-05-0j -0.00196866-0j -0.000176676-0j -0.00856833-0j 0.00150898-0j -0.000181275-0j 0.000125748-0j -0.000348014-0j 0.0147638-0j -1.51063e-05-0j -0.00151468-0j -2.90012e-05-0j -0.00884718-0j 0.0026099-0j -0.000126223-0j -0.00156398-0j 0.000217492-0j -0.000130331-0j 
0.210343-0j 0.128396-0j -0.0761187-0j -0.0130988-0j 0.0304829-0j 0.0277746-0j 0.0131572-0j -0.00551556-0j 0.033377-0j 0.00481756-0j -0.00929965-0j -0.00134229-0j -0.014903-0j -0.00215107-0j 0.0153029-0j 0.0197188-0j 0.00220879-0j 0.00284617-0j 0.00539309-0j 0.000778425-0j -0.00175121-0j -0.000252765-0j -0.00609774-0j -0.00107794-0j -8.98282e-05-0j 0.0273622-0j 0.00483699-0j 0.00524994-0j 0.000403083-0j 0.0177473-0j -0.00539082-0j 0.000928066-0j 0.00313732-0j -0.0122174-0j 7.73389e-05-0j -0.000952971-0j 0.010898-0j 0.000261443-0j 0.00724298-0j -7.94142e-05-0j 0.0114306-0j -0.00215974-0j 0.00192652-0j -0.000179979-0j 0.00128039-0j 0.0022106-0j 0.000160543-0j 0.00202066-0j 0.000106699-0j -0.000586092-0j 0.000390783-0j 0.000168389-0j -0.000103607-0j 3.25653e-05-0j -8.63395e-06-0j 
-0.0721975-0j 0.0879067-0j -0.0521149-0j 0.0631017-0j -0.0104629-0j 0.0190159-0j 0.00900814-0j -0.00377624-0j -0.00563644-0j -0.00081355-0j 0.0447996-0j 0.00646627-0j 0.00511527-0j 0.000738325-0j -0.00525253-0j 0.0135005-0j -0.000758138-0j 0.00194864-0j 0.0036924-0j 0.000532951-0j -0.00119897-0j -0.000173057-0j -0.00417484-0j -0.000738014-0j -6.15012e-05-0j -0.0046207-0j -0.000816832-0j -0.0252908-0j -6.80693e-05-0j -0.00243532-0j 0.0259694-0j -0.00447082-0j -0.000430508-0j 0.00419345-0j -0.000372568-0j 0.00459079-0j 0.00746138-0j -3.58757e-05-0j -0.00248606-0j 0.000382566-0j 0.00782599-0j 0.000741304-0j 0.001319-0j 6.17754e-05-0j -0.000439477-0j 0.0015135-0j 0.000109917-0j 0.00138345-0j -3.66231e-05-0j -0.00040127-0j 0.000267551-0j 0.000115288-0j -7.09351e-05-0j 2.22959e-05-0j -5.91126e-06-0j 
-0.212523-0j -0.128088-0j 0.0704329-0j 0.0132346-0j 0.029922-0j 0.00945524-0j -0.0135048-0j 0.026608-0j -0.0337229-0j -0.00486748-0j -0.00912854-0j -0.00131759-0j -0.0153029-0j -0.00220879-0j 0.0154553-0j -0.00652174-0j 0.00223077-0j -0.000941332-0j 0.0050716-0j 0.000732022-0j 0.0187146-0j 0.00270121-0j 0.00616093-0j 0.00108911-0j 9.07591e-05-0j 0.0268587-0j 0.00474799-0j 0.00539082-0j 0.000395666-0j -0.0179313-0j -0.00544447-0j 0.000952971-0j -0.00316983-0j 0.0121881-0j 7.94142e-05-0j -0.000962456-0j 0.0022236-0j -0.000264152-0j -0.00670195-0j -8.02047e-05-0j -0.00388972-0j 0.00215457-0j 0.00039308-0j 0.000179547-0j -0.00118475-0j 0.0108382-0j 3.27567e-05-0j -0.000687612-0j -9.87291e-05-0j 0.0108502-0j 0.00191594-0j -5.7301e-05-0j 0.00191806-0j 0.000159661-0j 0.000159838-0j 
0.33962-0j -0.0842304-0j -0.0491344-0j 0.0255188-0j 0.0492177-0j -0.00604073-0j -0.00863142-0j -0.00356028-0j -0.00531408-0j -0.000767022-0j 0.0181173-0j 0.00261501-0j 0.0244547-0j 0.00352974-0j 0.0247081-0j -0.00428868-0j 0.00356631-0j -0.000619017-0j -0.00353798-0j -0.000510663-0j -0.0011304-0j -0.000163159-0j -0.00393608-0j -0.000695806-0j -5.79839e-05-0j -0.00435644-0j -0.000770117-0j 0.0103945-0j -6.41764e-05-0j -0.015975-0j 0.0105022-0j 0.00183751-0j -0.00282401-0j 0.0200478-0j 0.000153126-0j 0.00185655-0j -0.0014206-0j -0.000235334-0j 0.0116945-0j 0.000154713-0j -0.00248606-0j 0.00354398-0j -0.00025113-0j 0.000295331-0j 0.00206732-0j -0.0014502-0j -2.09275e-05-0j -0.000439477-0j 0.000172277-0j -0.000378321-0j -0.000256362-0j -3.66231e-05-0j -6.68783e-05-0j -2.13635e-05-0j -5.57319e-06-0j 
0.0729457-0j -0.087696-0j 0.0482221-0j -0.0637556-0j -0.0102703-0j 0.00647356-0j -0.00924612-0j 0.0182172-0j 0.00569485-0j 0.00082198-0j 0.0439753-0j 0.0063473-0j 0.00525253-0j 0.000758138-0j -0.00530482-0j -0.00446513-0j -0.000765684-0j -0.000644486-0j 0.00347229-0j 0.000501181-0j 0.012813-0j 0.00184939-0j 0.0042181-0j 0.000745662-0j 6.21385e-05-0j -0.00453568-0j -0.000801803-0j -0.0259694-0j -6.68169e-05-0j 0.00246056-0j 0.0262279-0j -0.00459079-0j 0.00043497-0j -0.0041834-0j -0.000382566-0j 0.00463649-0j 0.00152239-0j 3.62475e-05-0j 0.00230036-0j 0.000386374-0j -0.00266311-0j -0.000739527-0j 0.000269124-0j -6.16273e-05-0j 0.00040665-0j 0.00742039-0j 2.2427e-05-0j -0.000470776-0j 3.38875e-05-0j 0.0074286-0j 0.00131175-0j -3.92313e-05-0j 0.0013132-0j 0.000109313-0j 0.000109434-0j 
0.0922698-0j -0.00482343-0j -0.130364-0j 0.0114615-0j 0.000190331-0j 0.00766728-0j 0.0337369-0j -0.0142036-0j -0.0292049-0j -0.00421536-0j 0.000115823-0j 1.67177e-05-0j -0.0197188-0j -0.00284617-0j -0.00652174-0j 7.74813e-05-0j -0.000941332-0j 1.11835e-05-0j 0.0278598-0j 0.00402121-0j -0.00602018-0j -0.000868938-0j 0.00533552-0j 0.000943196-0j 7.85997e-05-0j -0.000340785-0j -6.02428e-05-0j -0.013856-0j -5.02023e-06-0j 0.00311239-0j -0.00458268-0j -0.00244941-0j 0.000550198-0j -0.000230094-0j -0.000204118-0j -0.000810112-0j 0.0244809-0j 4.58498e-05-0j -0.00621879-0j -6.75093e-05-0j -0.00306564-0j -4.06753e-05-0j 0.00432766-0j -3.38961e-06-0j -0.00109934-0j 0.0171709-0j 0.000360638-0j -0.000541933-0j -9.16114e-05-0j -0.00252035-0j 0.00303542-0j -4.51611e-05-0j -0.00044554-0j 0.000252951-0j -3.71283e-05-0j 
-0.0761187-0j -0.181405-0j -0.212744-0j -0.00945524-0j 0.0215912-0j 0.0200487-0j 0.00869783-0j -0.00463261-0j 0.0240928-0j 0.0034775-0j 0.013139-0j 0.00189646-0j 0.00539309-0j 0.000778425-0j -0.0050716-0j -0.0278598-0j -0.000732022-0j -0.00402121-0j 0.0150731-0j 0.00217562-0j 0.0163783-0j 0.00236401-0j -0.00440158-0j -0.000778097-0j -6.48414e-05-0j -0.0386587-0j -0.00683396-0j 0.0037896-0j -0.000569496-0j -0.00256759-0j -0.0035637-0j 0.000669914-0j -0.00045389-0j -0.00865362-0j 5.58261e-05-0j -0.000629979-0j 0.00786663-0j -3.78242e-05-0j -0.0101486-0j -5.24982e-05-0j 0.00755641-0j -0.00152976-0j 0.00139064-0j -0.00012748-0j -0.00179404-0j 0.00185672-0j 0.000115886-0j 0.0013358-0j -0.000149503-0j 0.0187147-0j 0.000328226-0j 0.000111316-0j 0.00330831-0j 2.73521e-05-0j 0.000275693-0j 
