0.00832943-0.00470664j 0.00385234+0.00241522j -0.00978551-0.000603383j -0.00788388+0.00478494j -0.00405637+0.00371967j 0.00681303+0.00175459j 0.00209627-0.00121388j -0.0137488+0.00425815j 0.00598092-0.00189638j 0.00351624-0.00100877j 0.00153937-0.00145668j -0.0167546+0.0069107j 0.00244631+0.00499729j 0.0152925-0.00115193j 0.00461619-0.000393639j -0.0155362+0.00329098j 0.0066889-0.00359231j -0.000633138-0.00263636j 0.0158016-0.00697646j 0.0116072+0.00214847j 0.00502743-0.00427519j 0.00865756-0.00017816j -0.00144568-0.00121218j -0.00127616+0.00232753j -0.0047634-0.00307431j -0.00604713-0.00313067j -0.00445712-1.13323e-05j 0.00259502-0.00388074j 0.00674362-0.000403785j 0.00218468+0.000358635j -0.00364313-0.001698j -0.00395369-0.000178993j 0.0071825+0.000180245j 0.0148578+0.00157633j 0.000995427+0.00156958j -0.00326929+0.000331314j 0.00184321-0.00107046j 0.000373916+0.00198296j 0.00703798-5.91198e-05j 0.00268124+0.000332184j 0.00101917-0.00186306j -0.002351-0.00231314j 0.00298304+0.00192935j 0.00910904+0.00439999j -0.00610339-0.00400912j -0.00379508-0.00228266j -0.000858082-0.00166889j 0.00424067+0.00249027j -0.00259124-0.00100191j 0.00412435+0.00133163j -0.00440624-0.00206319j -0.000312401-0.000927982j -0.00263602+0.00026053j -0.00044975-0.00129906j -0.000244446+0.000649927j -0.00258411-0.00280685j 0.00342574+0.00273542j 0.00161064+0.00223456j 0.00176672+0.00372245j -0.000749028+8.5711e-05j 0.00764396+0.00308023j -0.0031549-0.00476136j 0.00162237-0.00149925j 0.0021675+0.00513047j -0.00330736-0.000732744j -0.0043371+0.000361503j 0.00341939+0.00082382j 0.00285574+0.00265119j -0.0028862-0.00638878j -0.00520268+0.0022054j -0.00301714-0.00336584j 0.00351054+0.000787256j -0.00471982-0.00298446j -0.000927448-0.0061158j 0.00635725+0.00295879j 0.00730133+0.00393993j 0.0015089-0.00423504j 
0.00842827-0.00889074j 0.0125759-0.00118673j -0.00679907+0.0013576j 0.0032848-0.00120431j 0.000472571-0.00125454j -0.0122922+0.00531295j 0.0039173-0.0032292j -0.0091721+0.00227927j 0.00285582+0.00086351j 0.000331531-0.00355711j -0.0056308+0.00473079j 0.00705146+0.00193248j -0.00681143+0.000391557j -0.0131414+0.00817321j -0.00932669-0.000948281j -0.00701034+0.00359562j -0.0179956+0.000459541j 0.0188483-0.00503185j 0.00109872-0.00134993j -0.00879304+0.000433116j -0.00211499-0.0084086j 0.0022423-0.0014705j -0.000778567+0.00130139j 0.0100056-0.000296578j 0.0123398+0.00271519j -0.00141006-0.00222075j -0.0112963-0.00209587j -0.00297534-0.000547416j 0.00380038+0.00128032j 0.00123217+0.00469503j -0.00379628-0.00235929j 0.00272528+0.00120897j -0.00798477-0.00304656j -0.000324829-0.000307125j 0.0019435+0.00228451j 0.00358971+0.00128492j 0.00156284+0.000462574j 0.00653245+0.00455935j 0.00452582-0.00150746j 0.00800312+0.00370448j 0.00275958-0.000947733j 0.00257535+0.00170575j -0.00531276-0.00279505j 0.00196429+0.000940556j 0.00405753+0.000840745j -0.0031769-0.00210593j 0.00594606-6.16498e-05j 0.000866418+0.00190753j -0.00283563-0.00244037j -0.000714197-0.000595923j 0.00151673+0.00255539j 0.00164387+0.000888047j 0.00359699+0.00369497j -0.000877519-0.00451006j -0.003575-0.00279115j 0.00266073-6.54262e-05j 0.00304305+0.0052093j -0.00385388+0.00139168j -0.00271443-0.000544414j -0.000835527+0.00237644j 0.000950955+0.0029783j 0.00502337+0.00301059j -0.000606281+0.002212j -0.00104044-0.000911218j -0.00064057+0.00252506j -0.00294033-0.00131206j 0.000336406+0.000916185j -0.00188371+0.000215557j -0.00185699-0.00150456j -0.00220532-4.69343e-05j 0.00629117+0.000720259j 0.00516345+0.00538598j -0.00282403-0.000838606j -0.00329703-0.00261439j -0.00179852-0.00117299j 0.0111479+0.00149476j -0.003887-0.00865871j 
0.0001494-0.0043455j 0.0104957-0.00436642j 0.00947506-0.00402376j 0.0048799-0.00652337j -0.000740399+0.00363791j -0.0024513-0.00173716j 0.0163385-0.00667227j 0.00337964-0.00292467j 0.00345986+0.000614436j 0.00743493-0.00615402j 0.00449351-0.00511831j -0.0160842+0.00310481j -0.000163184+0.000195635j 0.00746956+0.0043818j -0.00788671-0.00503753j -0.00274024+0.00125988j 0.00162192+0.00320359j -0.0158868-0.000511725j -0.0247968+0.00172092j -0.0029677-0.00301707j 0.0110438-0.00106993j -0.000651156-0.00182576j 0.00180379+0.0019488j 0.0025184+0.00163952j -0.00252172-0.00228005j 0.00333883-0.000539092j -0.00901665+0.000400618j 0.00841239+0.00393484j -0.000334642+0.00231779j 0.00315141+0.00540946j 0.000860981-0.000376894j 0.00468456+0.000805935j 0.00338631-0.000428867j -0.00284861-0.000329091j 0.00363528+0.00127816j 0.00859119+0.00304201j -0.00805841-0.00251533j -0.00709942-0.00264587j -0.000394667-0.00129349j 0.0044363+0.00323073j -0.000898732+0.000651853j 0.00235432+0.00359452j 0.0018087+0.0012925j 0.000473662-0.00166787j -0.00573474-0.00274052j -0.00168917+0.00135891j 0.00313399+0.000680155j 0.00477832+0.00140746j -0.000691703-0.000306425j 0.00490445+0.00192715j 0.00517146+0.00464494j 0.000659605+0.000649345j 0.000458805-0.000761217j 0.00432419-0.000373549j 0.00453022+0.00107526j 0.00361534+0.00240929j -0.00188503+0.00221497j -0.00276238-0.00399284j 0.00469777+0.0026297j 0.00095346+0.00148419j 0.00197578+0.00110028j -0.0042279+0.00124924j -0.00434931-0.00213306j 0.00119925+0.00305803j -0.000576564+0.000103064j -0.00567981-0.00225662j -0.000163905-0.000730614j 0.00188199+0.000737472j 0.00463355-0.00165131j -0.00569649-0.00383213j 0.00508898+0.00243518j -0.0022754+0.000772196j 0.00350426-0.00136254j 0.00177319+0.00341706j -0.00749145-0.00113121j 0.00473664-0.00213867j -0.00607636-0.00499034j 
-0.00354266-0.0143984j 0.00991312+0.00685253j -0.00661272-0.00399589j 0.000310731+0.0143545j 0.000232805+0.00144366j 0.00428276+0.00203024j -0.00186503-0.00648821j 0.00179755-0.00543562j -0.00141016-0.00180992j -0.00313431+0.000521444j 0.00438206+0.00253986j 0.00285824+0.000214202j 0.00431592+0.0110819j 7.12022e-06-0.00363592j -0.0046414+0.00257198j 0.0056716+0.00351422j -5.86647e-05+0.00179686j -0.00911933-0.0117482j -0.00341455-0.000830505j -0.000374136+0.0031667j -0.00678577-0.00943132j -0.00468065-0.00143337j -0.000553491-0.00421425j 0.000623185+0.00259772j 0.000124957+0.00438994j -0.00108714-0.0066927j 0.00448789+0.00123101j -0.00565988-0.00487346j -0.0107268-0.00567874j -0.000347694+0.0110144j 0.00583437-0.00357887j 0.000502513-0.00261137j 0.000626282-0.00354703j -0.00164621-0.00148488j -0.0046843+0.0027434j 0.00135899+0.00296354j -0.0026434-0.00638634j -0.00409722+0.00845122j 0.000559974+0.000804241j -0.00639857+3.49061e-05j 0.000442577-0.000155673j -0.00361662+0.00406419j 0.00230214-0.00235966j -0.0052411+0.000719807j 0.0029161-0.00637936j 0.00256616-0.000512556j 0.00156684-0.00866632j -0.00393002+0.00349589j 0.0043555+0.00126173j -0.00119779-0.000324793j 0.00077648-0.00232599j -0.002292-0.00318521j -0.00450582+0.00406407j 0.00455818-0.00490929j 0.00413856+0.00184183j -0.00168909-0.00333805j -0.00718689+0.00215993j 0.00255832+0.00124271j -0.00564642-0.0025537j -0.00194666+0.000332459j -0.00575786+0.000124063j 0.00371928-0.00102448j -0.00240175+0.000229004j -0.00192997+0.00165421j -0.00651937+0.00197952j 0.00436208+0.00247833j -0.00158205-0.00471708j 0.000312829+0.00554381j 0.00764051-0.00111168j -0.00200947-0.000267362j -0.000788095-0.00497583j -0.00480388+0.00332433j -0.000880325-0.000117574j 0.0112848-0.00483465j 0.0048942+0.00756506j 0.00611054+0.00920263j 0.015494-0.0133292j 
-0.00908091-0.00900622j 0.00158474-0.00713909j 0.00377522+0.00768286j -0.000290528-0.00549714j -0.00154209-0.0135853j -0.00654828-0.00380612j -0.00447113-0.00678153j -0.00237187+0.00301422j -0.00109736+0.0108794j -0.00552643+0.000642834j 0.00568139+0.00445753j -0.0022023+0.000430158j -0.000427829+9.38893e-05j 0.00439063+0.00387612j -0.00170898-0.00870679j 0.0011381+0.0010225j 0.00406504-0.00138433j 0.000124286-0.00252714j 0.00621705+0.0111905j 0.00360177-0.00397583j -0.00405211-0.0093625j -0.000918752+0.000468868j 0.00407314+0.00462214j -0.0104521-0.0123469j -0.00391876+0.000538968j -0.0013025+0.00530789j 0.00289156-0.0127777j 0.000855382+0.0113455j -0.000727086+0.00592207j 0.000796703+0.00674118j 0.00230421-0.00141761j -0.00129189-0.0051499j 0.00363767-0.00383484j 0.00204332+0.0110636j 0.000183227-0.0100039j 0.000535245+0.00910041j 0.00652298-0.00328149j 0.00168504-0.000381482j -0.00309186+0.000448282j -0.00170122+0.00396534j -0.00498152+0.00141744j -0.00814273+0.00201179j 0.00179164-0.00550797j 0.00306067-0.00336887j -0.00102122+0.00317502j -0.00201529+0.00590843j 0.00100888+0.000469056j -0.00111713+0.000352159j 0.0020017-0.00799566j -0.00366033+0.00278461j -0.00251584+0.00332536j -0.00186711+0.0019859j 0.000954859-0.00485986j 0.00102006-0.00425967j 0.000345755+0.000795358j -0.00197733-0.000572699j -0.00290913+0.0010432j 0.00728117+0.00271352j 0.00601575-0.00320871j 0.00365184-0.000381364j -0.00158881+0.00247797j -0.00434476+0.00916019j -0.00249019+0.0012961j 0.00286416-0.00283308j -0.00307207-0.00303337j 0.00666071+0.000397373j 0.0046495+0.00257984j -0.000719766+0.000423579j -0.00714221+0.00240576j 0.00544519+0.00122496j 0.0006774+0.00500306j -0.00646465+0.00606112j -0.00536825-0.00065248j -0.00821766+0.00638888j 0.000518552-0.00551639j 0.0118733-0.0063134j -0.000781428-0.0111561j 
-0.0056129-0.00760584j 0.00167001-0.00385887j 0.000811563-0.00248157j -0.00502249-0.00601571j -0.00228405-0.00456991j 0.000643907+0.007507j -0.0024528-0.00214137j -0.00293605-0.00728276j -0.00251396-0.00781145j -0.000622843-0.00293987j -0.0021841-0.000117391j 0.00334818+0.00761824j 0.00115199-0.00209157j 0.00474182+0.00719669j 0.00171986-0.000514865j -0.00116767-0.0139099j 0.00549274+0.0164656j 0.00376693+0.0160994j -0.00240459-0.0143969j -0.00326441-0.000368418j -0.00402428-0.00129931j -0.00259205-0.0187668j 0.000962907+0.0140975j -0.00273481+0.0169571j 0.000689094+0.000549629j -0.00347816+0.0136655j 0.00480496+0.00508999j -0.000819735-0.00380195j -0.000610208+0.00286692j 6.32088e-07+0.00344062j 0.000528633+0.00531181j -0.00270766+0.00976348j 0.00319195-0.0100919j 0.00166444+0.00351813j 0.00275261-0.00406974j -0.0032849-0.00581314j 0.00417499-0.002628j 0.00337181-0.00537931j 0.000317153-0.000990702j -0.00235156+0.00974483j -0.000446329-0.00057803j 0.00147452-0.00312355j -0.00135395+0.00521926j -0.001755+0.00288414j -0.00252488+0.00520426j 0.00408454-0.00598305j -0.000589845+0.00147559j -0.0036452+0.00359581j -0.00137824+0.00673873j -0.00579052+0.00378096j -0.00228585-0.000477765j -0.00190379+0.00228264j -0.00420771+0.00765443j -0.00245701+0.00172115j -0.0043178+0.000720452j -0.00200669+8.60255e-05j -0.000365821-0.000237064j 0.00104779+0.00287624j 0.000582553+0.00230525j -0.00323601+0.00149069j -0.00636911+0.00475574j 0.00136495-0.00182468j 0.00178686-0.00620232j -0.00459466+0.00165816j 0.00402119-0.00621957j -0.00149313+0.00171112j -0.000206959-0.0020838j 0.000614665-0.00274494j 0.00216201-0.00365996j -0.000188854-0.00516384j 0.00286922-0.00359159j -0.00236373+2.03601e-05j 0.0024001-0.00394981j 0.000770099+0.00582337j -0.00313863+0.00389793j 0.00629934-0.00338531j 0.000664601-0.0070832j 
0.00161208+0.00198408j -0.000123928+0.00160258j -0.00135734-0.00172335j 0.000660033+0.00274106j -0.0039228-0.00461149j -0.000276936+0.0042726j -0.00353915-0.0127375j -0.00467912-0.00255862j 0.000289505-0.00198792j 0.00145988+0.00451335j -0.000147044+0.00031006j -0.00427595-0.015714j -0.00898708-0.01821j 5.54468e-05+0.0035989j 0.00599113+0.0145724j 0.00231421+0.0121048j 0.00202519-0.00819172j -0.00629856-0.000500185j -0.00100833-0.0104878j -0.00146214-0.00859555j 0.00207788-0.00280224j -0.00132241+0.000775333j 0.00113418+0.0145051j 0.00342205-0.00515452j 0.000463341+0.00267712j -0.000522142+0.00436629j 0.00143644-0.0103062j 0.00157467-0.00773279j 9.46891e-05-0.0158193j 0.00213479+0.0104941j 0.00204136-0.0110316j -0.000252506-0.00415847j 0.00289668+0.00207499j 0.00136281+0.00165528j -0.000184959-0.00241502j 0.00391786-0.0139991j 0.00242641-0.00144724j -0.00242757-0.00713269j 0.00138963-0.00593215j 0.00144242+0.00037671j 0.00330055-0.00565383j -6.57173e-05+0.000523272j 0.0038282-0.0103814j 0.000600565-0.00177365j -0.000721465+0.00104181j -0.00030402+0.00136918j -0.00222826+0.00276852j -0.00228387+0.00657816j -0.00140018+0.00245129j -0.000628465+0.000698218j 0.00198752-0.00528643j -0.00265049+0.00593757j -0.000671535+0.00280308j 0.00274594-0.00201999j 0.0037151-0.00646237j -0.00352324+0.00553904j 0.00452313-0.0104058j -0.00137467+0.00252713j 0.00134685-0.00573266j 0.000758937-0.0032777j -0.00136588+0.00320608j 0.00273048-0.00451613j -0.00315427+0.00568338j 0.00627195-0.00618231j 0.00714934-0.000716496j 0.00155986+0.00128637j -0.00399326+0.00765567j 1.60679e-05-0.00770341j -0.000279805-0.00117291j -0.00223605-0.00239505j 0.0054114-0.00316285j -0.0011935+0.00747795j -0.0014728-0.000604461j 0.0012097-0.00113989j -0.000303267+0.000841777j -0.00169839+0.00113122j -6.81687e-06+0.00166976j 
-0.00368287-0.00267933j -0.00161425-0.00504246j -0.00165838-0.00871425j -0.00672782-0.00734073j 0.0061258+0.00577494j -0.0020417-0.00661617j -0.00484508-0.00664096j -0.00324323-0.0074243j 0.000732355-0.00481331j -0.00246796+0.00109987j -0.0070277-0.0138618j -0.00104132+0.00280281j 0.00227153+0.0106652j 0.000590427+0.0044933j -0.00204564-0.00868952j 0.00648706+0.0135323j -0.000235386-0.010887j 0.00377655-0.00890897j 0.0023215-0.00258777j 0.00114241+0.00041671j -0.00190482+0.0249598j -0.00309552+0.00624277j 0.000657521+0.0181085j 0.00171296-0.00482499j 0.00221398+0.00295422j -0.00094906-0.0123878j 0.00161982+0.00289672j -0.000675918+0.00194769j 0.0023917-0.00494797j -0.000118974-0.00237938j 0.000124055+0.00103396j -0.00459391+0.0126763j -0.000752142-0.00259546j -0.00265064+0.00749171j -0.00275398+0.0069025j -0.00302555-0.000197825j 0.00498839-0.00551666j 0.00325812-0.00276386j -0.000773732+0.00458404j -0.00132121+0.00393265j 0.00118544-0.00183117j 0.00079084+0.00636702j -0.00143643-0.00364088j -0.00110519-0.00151674j 0.00384237-0.0048362j -0.00442978+0.0107266j -0.00436362+0.00775942j 0.000544224-0.00480748j -0.00219101+0.00382708j -0.000881825-0.00625535j -0.000695225+0.00146524j -0.00177111+0.000789457j -0.000470603+0.000976142j 0.00399443-0.00594372j -0.00267075-0.00157824j -0.00124208+0.000909918j 6.21255e-05+0.00455226j 0.00369476-0.00372678j -0.000325893-0.00311774j -0.000916123+0.00276926j 0.00141707-0.00305548j -0.00181347-0.0021506j 0.000522169-0.00256548j -0.00273421+0.00393707j 0.00217427-0.00383955j 0.0011066-0.00206912j 0.0033191+0.00121579j 0.00169606+0.00263038j 0.00417931-0.0108364j -0.00132918-0.00136754j -9.29381e-05-0.000640386j -0.00284361-0.00285781j 0.00349331-0.00690789j 0.00100418+0.00520596j -0.00377463+0.00523832j 0.00343528-0.00434355j -0.00165409-0.00287709j 
0.00493081-0.00600432j 0.00207696-0.000647081j -0.00499657+0.00240134j -0.00665254-0.00220209j 0.000839789-0.000211946j 0.00551165-0.0069107j 0.00393964+0.00171667j 0.000280031-0.00477335j 0.00477823-0.000253337j 0.00072141-0.00457257j -0.00369919+0.00421278j 0.00263886-0.0014479j -0.00345042-0.00523528j 0.00471038+0.00732489j -0.000360631-0.00680319j -0.00180464-0.00306042j -0.00270312-0.0020082j -0.00094728+0.00576019j 0.0037527+0.00455506j -0.000356269-0.00468881j -0.00223438-0.000968013j 0.00219992+0.00113313j -0.00144641+0.0071795j 0.00410495-0.00785848j 0.00142087-0.00117854j -0.000401458+0.00195968j -0.00206247-0.00514727j -0.000672409+0.00962895j -0.00176003+0.00745124j 0.00187749+0.00191314j 0.000825874+0.00124054j -0.000122903+0.00198579j -0.000598514-0.00269337j 0.00344789+0.00566864j -0.000577846-0.0067001j -0.00318575+0.00985424j -0.00633067+0.00137057j 0.00108097-0.00324775j 0.00623962-0.0034666j -0.00402509+0.00508601j 0.00343061-0.00271871j 0.000344364-0.00376325j 0.000621546-0.00416554j 0.000550205-9.31315e-05j -0.00125414+0.00559583j -0.00084197+0.0057873j -0.00395889+0.00352993j -8.87105e-05-0.00332973j 0.00335584-0.00290322j 0.000732387+0.00040382j 0.000597065+0.000742481j -0.00156339+0.00187644j 0.000486957-0.00241789j -0.000205924+0.000463591j -0.00218997+0.00871487j -0.00183002+0.000725249j 2.32327e-05-0.00845039j -0.00211912-1.77551e-05j -0.00402904-0.00497579j -0.00230869-0.00155515j 0.00291052-0.00440948j -0.00195349+0.0062685j -0.00136051+2.98581e-05j 0.0018989-0.00369428j 0.000565289-0.00533698j -0.00382857+0.00522939j -0.00130894-0.00160371j 0.000857258+0.00145064j 0.000493216+0.00595897j 0.00269785-0.00738766j -0.00107337+0.000278266j 0.00431293-0.0045569j 0.00209868+0.00124053j 0.00410323+0.0108526j -0.00286703+0.00782998j -0.00621707+0.00299385j 0.00556886+0.0109907j 
0.000553562-0.00539616j -0.00439553+0.0101093j 0.00463543-0.00662525j -0.00408912-0.00118377j -0.00292363-0.00278862j 0.00366158+0.0042972j -0.00403074-0.00248268j 0.00388081-0.000342765j 0.00140541-8.5636e-05j 0.00203484-0.00242711j -0.00379696+0.00357006j 0.00463177+0.00508175j 0.00238789+0.00220594j 0.00259032+0.00385261j 0.00535819-0.0058435j 0.0021531+0.000634711j 0.00291012-0.0039717j -0.000632551-0.0101916j -0.000923629+0.00263741j 0.00388233+0.00514719j -0.00063175-0.0149679j -0.000284281-0.00194103j -0.00181981+0.001398j -0.00246806+0.00222889j 0.00264292-0.000932255j 0.000379174-0.00260778j 0.00320679-0.00264901j 0.00186505-0.00389096j 0.00270483-0.00477263j -0.000929579+0.0100388j -0.00213777+0.000844803j -0.00208241-0.00193669j 0.000707233-0.00319123j -0.00440688+0.0048909j 0.00227889-0.00350589j -0.00549038+0.00748434j -0.00215784-0.00568226j -0.0027165+0.00634762j 0.00355178+0.00586384j 0.00158718+0.00167049j 0.0033819+0.00211999j 0.00578954+0.00326046j -8.38008e-05-0.00308357j 0.0012271-0.00212895j 4.77024e-05-0.00359544j 0.000878229-0.00092412j -0.00368838-0.00398115j -0.00179288+0.00619252j 0.00196781-0.000697705j -0.00184435+0.00499673j -0.00198725-0.00266851j 0.00271817-0.00142192j 0.00159221+0.00483533j 0.000437972-0.00147012j -0.00130344+0.00239917j 0.000163142-0.00145788j -0.00128941+0.0109194j -0.00281629-0.00917435j 0.00196599-0.00854769j -0.00152932+0.000469111j -6.9736e-05+0.00126592j -0.00043883-0.000207117j -0.000287777+0.00474909j -0.0038407+0.000888237j 0.0032867-5.05912e-05j 0.000558168-0.00466818j 0.000976483-0.00809545j 0.00255596-0.003738j -0.000942979+0.00125433j 0.000404911-0.00532443j 0.00278075-0.00636276j 0.000259879+0.00536339j 0.00311074+0.00357371j -0.001565+0.00490358j -0.0017929-0.00365078j -0.00597165-0.0118114j -0.0049538-0.00255379j 
-0.00461999+0.00326802j 0.00201433-0.00852915j -0.000359339+0.0023445j -0.00194981+0.00578936j -0.00563102+0.00265074j -0.00269764+0.00401735j 0.000386253+0.0010399j -0.000988152+0.00112592j 0.00813938-0.00187558j 0.00534457+0.00221659j -0.00324187-0.0017132j 7.52418e-05+0.000573354j 0.00368835-0.00255557j 0.00410887-0.00366972j 0.00322768+0.00467778j -0.00473527+0.00145268j 0.00231046-0.00312274j 0.00152478+0.000549698j -0.00666356+0.00381685j 0.00137702+0.00379008j -0.00342197+0.00422519j 0.000469745+0.0046238j 0.00270709-0.00416605j -0.00729635+0.000111937j 0.00991098-0.00680857j -0.00305681+0.00144557j 0.00880898-0.00530109j 0.00218702+0.00112189j 0.0106308+0.00304072j 0.00291248-0.00324959j -0.0013888-0.00372404j -0.00375996-0.00271495j 0.00437773+0.00166758j -0.00575539-0.00462376j 0.00603384+0.00261592j -0.0137365+0.000575717j 0.00396622+0.00321574j -0.00349189+0.00136617j 0.00808084-0.00231242j 0.00422264-0.000943694j 0.00071953+0.000485099j 0.00512571+0.0043692j 0.00337853+0.000564539j -0.00483356-0.00194947j 0.000298175-0.000453406j -8.93548e-05-0.000368592j -0.000368673-0.00191119j -0.00239795-0.00122668j 0.00479218+0.000330857j -0.00879247-0.00251144j 0.00258651-0.002647j 0.00198584+0.000733126j -0.000847429-0.00411549j 0.00153395+0.00521444j -0.00237059-0.00568859j -0.00293708+0.00236065j -0.00163954-0.0012511j -0.000341724-0.00260288j 0.000547155-0.000425686j -0.00227083+0.00187076j -0.00117817-0.0045043j 0.00485895+0.00241059j -0.00141354+0.00080043j -0.00700423-0.00843056j 0.00207842+0.00717184j -0.000962589-0.00354152j 0.000885445-0.00201149j 0.00245224+0.000504579j 0.000232076+0.00660618j -0.000395421-0.00437651j 0.00564694+0.0034141j 0.00156693-0.000849496j 0.002333+0.00425015j 0.00543484+0.00377603j -0.00531579+0.00308218j 0.0101757+0.000543559j -0.0011237-0.00550051j 
