-0.0120974-0.010091j -0.01296+0.000512465j -0.00978483-0.00163054j 0.00862153+0.00184973j 0.00146217+0.00294999j -0.0130621-0.00818712j -0.00356659+0.00256765j 0.0232681+0.00419073j -0.00562157-0.00292059j -0.00287805-0.00773332j 0.00549703+0.00819432j 0.00305545+0.0025272j -0.0140002+0.00334499j -0.0149674-0.000466824j -0.00404482-0.00232053j -0.00811461-0.00458199j -0.00640687+0.00110252j -0.00577064-0.000886729j 0.0155182-0.00297605j -0.00286526+0.00455336j 0.00350858-1.9039e-06j -7.24324e-05+0.00363635j -0.0052825-0.000223945j 0.00225502+9.99223e-05j -0.00554181+0.00516658j -0.00452726-0.000722651j 0.00307035-0.000292603j -0.00574554+0.00372992j 0.00969712-0.00241439j 0.000493067+0.000900263j -0.00202724+0.00127049j -0.000271339+0.00150416j -0.000630688-0.00141633j -0.00922638+0.00297471j 0.000129791+0.000784387j -0.000359008-0.00292604j 0.00192642-0.00151871j 0.00234545-0.0019432j 0.00220668-0.00235j 0.00523487-0.00641292j -0.00299381+0.000104567j -0.000131303-0.0016275j -0.000710006+0.00223699j -0.00171199-0.00143656j -0.00374233+0.000746441j -0.00420948+0.00318853j 0.00492339-0.00348838j 0.000166784-0.00373279j -0.00215783-0.00245787j 0.00420095+0.000933744j -0.00533016+0.00485081j -0.00348593+0.000749089j -0.00573262+0.00402343j -0.000851856+0.00276611j 0.0123046-0.00167049j -0.00335481+0.0100681j 
-0.00124339-0.00396866j -0.00845741-0.00275452j 0.0116048+0.00403884j 0.00675496+0.00679415j 0.00546301+0.00439054j -0.00518643+0.00157619j 0.0245877+0.00688906j -0.00429412-0.00444988j 0.00545496-0.00444029j 0.0145665-0.00210854j 0.00515954+0.000424734j -0.0276173+9.18053e-06j 0.00563222-9.47897e-05j -0.0119809-0.00323106j 0.0013924+0.00336373j 0.00669995-0.00285449j 0.00730945+0.000975433j -0.00807726+0.00277118j 0.00274524-0.00150682j 0.00699548+0.00257701j -0.0107132+0.00361453j -0.0078231+0.00250754j 0.00565311-0.00242025j -0.00359507+0.000137721j 0.00586794-0.00170448j 0.000781729-0.00155198j 0.0068242-0.00237046j -0.00387321+0.00111974j 0.000676285-0.000324204j -0.000952487-0.000322097j 0.00444504-0.00078236j -0.00801512+0.00538332j -0.00179254+0.00081801j -0.00139823-0.000237979j 0.00338223-0.000854522j 0.000584121-0.00142086j -0.00575994+0.00306752j 0.00428197-0.0034755j -0.00045219-0.000637837j -0.00416435+0.000361977j -9.65016e-05+0.000295107j -0.00280873+0.00331648j 0.00165558+0.00207044j -0.00561937+0.00427034j -0.00506811+0.00256256j 0.00231785-0.000604659j -0.00405622-0.00111903j -0.00355738+0.00205658j -0.000798507+0.00511124j 0.00642436-0.00244305j 0.000640564+0.00131053j 0.00478143-0.000293849j -0.000120641-0.00350213j -0.00647942+0.00188006j 0.00344203+0.00196866j -0.00428283+0.00382177j 
0.0085378-0.0144977j -0.00977514+0.000491402j -0.0027941-0.0051644j 0.00188441-0.0080037j -0.00216237+0.0015893j 0.00281279-0.00103642j -0.00593424+0.0108787j -0.00304977+0.0054758j 0.00142224+0.0026622j 0.006699-0.000160767j -0.00448964+0.0049592j -0.0056349+0.00438659j 0.00106558-0.00043325j 0.0048497-0.000222106j 0.00479649-0.000993134j 0.00619943-0.0129365j -0.00170075+0.00601149j 0.0106229-0.000310421j -0.00723739-0.00592036j 0.000590011+0.00255113j -0.00142954+0.000886885j 0.00345245+0.00623346j -0.00115911-0.000857369j 0.000911362-0.00651148j 0.00259567+0.00513961j -0.00351047-0.00291323j -0.00196144-0.000936891j 0.0047252+0.00561696j -0.00439889+0.00116623j 0.00287643+0.0029968j 0.00475764-0.000690248j 0.00284211-0.00168637j -0.000228265-0.00601385j 0.00447339-0.000721041j 0.00184243-0.00179595j -0.00492768-0.0048364j 0.00162546+0.00294313j -0.00471373+0.00235482j -0.00175265-8.88271e-05j -0.00382005-0.0047771j -0.000320385-0.000868525j -0.00277913+0.000417161j 0.00303275+0.000910645j 0.00514102-0.00254746j 0.00297885-0.00216105j 0.00499632+7.76512e-05j -0.00341787+0.003734j -0.00551848+0.000466202j -0.00209399+0.000574046j -0.00128154+0.0030874j 0.0062493+0.00174173j -0.00395088+0.0054199j 0.00864699+0.00249344j 0.00438284-0.00407415j 0.0145409-0.011605j 0.0174469+0.0169028j 
0.00904057-0.00293758j 0.0025475-0.00850807j 0.00696641-8.24162e-05j -0.00589958+0.0153728j -0.00160553-0.0103414j -0.00758492+0.00153335j -0.00562151+0.00799413j -0.00146104-0.00339517j 0.00329536-0.00397292j 0.000835235-0.00858001j -0.000635862-0.00645619j 0.00423186+0.0035683j -0.00266002+0.0033789j 0.0076458-0.00639256j -0.000848383+0.0131683j -0.00451973+0.00789285j -0.00336989+0.0169023j 0.00155628+0.00598296j -0.00376245-0.000663079j -0.00322516-0.00574874j -0.00150143+0.00557921j -0.000699106+0.00839707j 0.0030936+0.00175316j -0.00545339-0.00472746j -0.00786298-0.00166451j -0.00401024-0.00614362j -0.00466861+0.00087423j -0.000274413-0.00612917j -0.000146845-0.00726949j 0.000330072-0.00505648j 0.000306123+0.00497918j 0.00258287+0.0074467j 0.00281677+0.00466099j 0.000437141-0.00238219j 0.0019828+0.00281897j -0.00169295-4.36091e-05j 0.00561052+0.00270935j 0.00168575+0.00189946j 0.00123455-0.00286443j 0.00130187+0.00207515j 0.00748091+0.00329885j 0.00281134+0.00251794j -0.00063761+0.000583366j 0.00153411-0.00281644j 0.00735194+0.000728557j -0.00345647+0.00437808j -0.000115717-0.0017599j 0.000624661+0.00200806j 0.00641192+0.00410939j 0.00295694-0.00757482j 0.00615737+0.00309855j -0.00153937+0.000311641j -0.00950428-0.00790473j -0.0038159+0.00607064j 0.0144221+0.0102053j -0.00775835+0.012869j 
-0.00277612+0.0013195j -0.00121059+0.00325384j 0.00185071-0.00920469j 0.00533525-0.00505841j 0.00583304-0.00991541j -0.000388684-0.00595035j 0.000999693-0.00154437j -0.00262902+0.0057835j -0.00250487+0.00260244j 0.00650089-0.0141573j 0.00434183-0.0235677j 0.00500866-0.0193058j 0.00238494+0.0235948j -0.00228367-0.00947463j 0.00119233+0.00221674j 0.000666974-0.0170222j -0.000948254+0.00536614j -0.000813095-0.00803155j -0.000982158-0.00625917j 0.00177673-0.0123805j -0.00282002-0.0071207j -0.00236904+0.00133748j -0.00485682-0.0131007j -0.000796339-0.000570332j 0.000718495+0.000645342j -0.00110889-0.000300838j 0.0042288+0.00814088j -0.0023549-0.00994853j -0.000695349-0.00340192j 0.00197624+0.00517033j 0.00127579+0.00346585j 0.000307435+0.00111643j -0.003042-0.00435395j 0.00272528+0.00535854j 0.000767103+0.000643635j -0.00252522-0.00616886j -0.00140735+0.00247015j 0.00359267+0.00725619j -0.00097815-0.000466437j 0.00386878+0.010249j 0.00245171+0.00754125j -0.00503517-0.00245262j -0.00276465-0.0024304j 0.0038163+0.00572533j 0.00196539-0.00140953j 0.00143381-0.00374854j 0.00433656+0.00140192j 0.00543884+0.00697387j 0.00180728-0.00396792j 0.00116341-0.000130927j -0.00147413+0.00443939j -0.00290614-0.00453753j -0.000794338+0.00280673j 0.00226783+0.00231238j -0.00366608-0.00285916j 0.00169351-0.0034056j 
0.00173746+0.00324847j 0.00274798+0.0059466j 0.00541169+0.00120255j 0.00182411-0.00873886j 0.000986639+0.000789811j -0.000649605-0.0114916j -0.00318352-0.000175313j -0.0100115+0.00958216j -0.00118581+0.00533694j -0.00273003+0.00639581j -9.86632e-05+0.00563278j -0.00283779-0.00315283j 0.00296751-0.00356363j 0.0011347+0.00347334j 0.00196375-0.0110389j 0.0010813-0.0175073j 0.00189721-0.00913623j -0.000721044-0.00856386j -0.00194218-0.00226526j 0.00175665+0.00344274j -0.00259119-0.00855227j -0.00205104-0.00859467j 0.00288415-0.000498832j -0.00383419-0.00389946j 0.000605036-0.00108216j 0.00209898+0.00337666j 0.00104281-0.000973959j 0.0012555+0.00783058j 0.00243498+0.00455515j 0.00221245+0.00742272j -0.00139361-0.00375362j -0.000201411+0.000105165j -0.000439309-0.00707844j -0.000175767+0.00506709j 0.00157693-0.000406571j -0.00197087-0.00730296j -0.00364731-0.00280492j 0.000992659-0.00188921j 0.000997352+0.00119263j -0.00360089-0.00414339j -0.000127367-0.00260964j -0.000541594-0.00553595j -0.000286225+0.0010031j 0.00129015+0.00120719j 0.00455863+0.0047011j -0.00120369+0.00354387j -0.00291891-0.00427532j -0.00442074-0.0070552j -0.00567627-0.00751266j 0.00135858+0.0015369j 0.00431403+0.00691077j -0.00531705-0.00281556j -0.0034328+0.0100979j 0.00562832+0.00757243j 0.00817331+0.0083056j -0.00702615+0.0139256j 
-0.0012724-0.0149712j -0.00226425+0.011706j -0.000935832+0.00349796j -0.00757504-6.41611e-05j -0.000180296+0.00103178j 0.00582863-0.000365972j -0.00222012+0.0120913j -0.00173055-0.00272111j 0.00144202-0.00107254j -0.000355643-0.0143419j -0.00408867+0.0101296j 0.00230118+0.00678563j 0.00139452+0.00481174j 0.00596084+0.000498232j 0.00111915-0.000351428j 0.00206714-0.00888342j 0.00147373+0.0144033j 0.00266588-0.00683769j -0.0021389-0.00456393j 0.00166572+0.00459654j 0.00015962+0.00738954j 0.00225673+0.00749491j -0.0021949+0.00234616j 0.00270011-0.015449j 0.00313623+0.000759912j 0.00163587-0.00336414j -0.000321921-0.00207066j 0.000297705+0.00667837j -0.00284463-0.00632515j -0.002896+0.001007j -0.00175793+0.0007307j 0.00224906-0.000337785j -6.50073e-06-0.00137381j 0.0030427-0.000662058j -0.000998811-0.0011558j -0.00237575-0.00666603j 0.0014902+0.00847726j -0.00193903-0.000390761j -0.00167764+0.000876604j -0.00337382-0.00882272j 0.00116978+0.00298601j -0.000269485+8.87836e-05j 0.00219886+0.00138004j -0.00082898-0.00412516j 0.000684673+0.00645334j -0.00249485-0.00754089j -0.0032562-0.00428436j 0.00142026-0.00288021j -0.000476411+0.00757241j 0.00350874+0.00753076j -8.3551e-05+0.00567191j 0.00251561-0.00228313j -0.00241782-0.00682455j 0.00098692+0.00261121j -0.0069139+0.011398j -0.00219371-0.000176992j 
0.00340837+0.00550394j 0.00565746-0.00751706j -0.000525063-0.00128448j -0.00329836-0.00367158j 0.00474075+0.00126604j 0.00478307-0.00458913j -0.000601699-0.00368004j 0.0072757+0.00333212j -0.00259324+0.000318398j -0.00680644-2.4923e-05j -0.0048972-0.00149381j -0.00170576-0.0092223j -0.00180522-0.000598868j 0.00607914+0.00428338j -0.0120397-0.00146894j 0.00199746+0.00106902j 0.0119952+0.000249319j -0.0050274+0.00455355j 0.0111334-0.00462808j 0.00174078-0.00227842j -0.000589172-0.00217858j 0.0153234+0.00260893j 0.00224727-0.00393243j -2.42703e-05-0.000287055j 0.0021377-0.00096942j 0.000667482-0.00434658j -0.000180846-0.00226174j -0.00234721+0.00246361j -0.00767498+0.0008042j 5.96833e-05+0.00266803j -0.00293178+0.00339574j -0.00244287-0.00351592j 0.00188285-0.00329789j 0.00167696+0.00427306j -0.000820437-0.000825802j -0.00613394-0.00129456j 0.00155427+0.00548395j -0.00244979-0.00101632j -0.00649506+0.00495557j -0.00428406+0.00544634j -0.0022584+0.00164991j -0.00129764-0.000225493j 0.00115253-0.00433932j -0.00573345+0.00591427j -0.00112057+0.00291745j -0.00580032-0.00253955j -0.00544974+0.0028179j -0.00309066+0.00112583j -0.00205388+0.00802925j 0.00415602+0.00309358j -0.0014394-0.00117382j 0.00298945-0.000902242j 0.0083191-0.00412752j -0.00517735-0.00768776j 0.0102134+0.00986953j -0.00750916+0.00586786j 
-0.00154253+0.00351411j -0.00539962+0.00580517j -0.00279031+0.0122107j -0.00573333-0.00405597j 0.00528323-0.00311841j -7.2403e-05-0.0092962j -0.00397642+0.00215983j 0.000932144-0.00507605j -0.000793366+0.0019273j 0.00141035-0.00109851j -0.0041061-0.00134555j -0.00352535+0.00748792j -0.00151481-0.000949466j 0.00164184+0.00423907j -0.00139691-0.00248867j 0.00315034-0.00940832j 0.00550745+0.00462499j 0.00681021-0.00321867j 0.0028722-0.00239069j -0.004126-0.00388173j -0.000919118-0.00561321j 0.0111007-0.00716039j 0.000780132+0.00648105j 0.00298082-0.00665255j 0.00198186-0.00583465j -0.00487419+0.00382373j 0.00060603-0.00167211j -0.00393246-0.0016233j 0.000761245+0.00715482j 0.00179772+8.01868e-05j -0.000950466-0.00622503j -0.00349501+0.00448895j 0.0022142-5.37399e-05j -0.00467818-0.000784165j 0.000649964+0.00182141j 0.0015929+0.000749755j 0.000413955-0.0048569j 0.00551497+0.0061435j -0.00139795+0.00424335j 0.0018508+0.00194416j 0.00221353+0.00548649j 0.00481193+0.00455175j -0.00275532-0.00367066j -0.000620174-0.0013994j -0.00417959+0.0027891j 0.000950535+0.00323701j 0.00833418+0.00220045j 0.00117623+0.00390873j 0.00319094+0.00173948j 0.00201347-0.00281001j -3.33218e-05+0.00285234j 0.00641736+0.00378658j 0.000915216-0.0125336j -0.0153338-0.00113115j -0.00644701-0.00997771j 0.00141119-0.00500078j 
0.00174609-0.0022072j -0.00434342+0.00406604j 0.00145464-0.000312376j -0.00235082-0.00356645j -0.00046332+0.00266317j -0.00273279+0.00866111j 0.000186658+0.00170582j 0.00117285+0.00583029j 0.00114179-0.00307905j 0.00410866-0.00689799j -0.00561316-0.00617658j 0.0032108-0.00240003j -0.00242561-0.00110358j 0.00264685+0.00315616j -0.00359151-0.0147372j -0.00193824+0.00470529j 0.00255872+0.0112944j 0.00409996-0.00432853j 0.00481456+0.0147326j -0.000930896+0.000993953j -0.00584979+0.00161827j 0.00428322+0.00768333j 0.00440532-0.00535335j 0.00423021+0.00868546j 0.00150249+0.00349316j 0.000867822+0.00834175j 0.000533758+0.00347641j -0.00466671-0.00709904j 4.55657e-05-0.00639253j 0.00120594-0.00527469j -0.0041014-0.00777673j 0.00220648-0.000651049j 0.000863886-0.000625312j -0.00254897+0.00485229j 1.86528e-05-0.00601448j -0.000460732+0.000169958j -0.00696932-0.00358197j 0.00177098-0.00365311j -0.00828127-0.00514611j -0.00239883+0.000983434j -0.00313751-0.0041207j 0.00194619+7.71336e-05j 0.00212648-0.00163331j -0.00529353-0.00422258j -0.00391982-0.00114013j 0.00457938-0.000483835j -0.00225485-0.00644421j -0.00205321+0.000773142j -0.00908264-0.00119967j -0.00523655-0.00323152j 0.00312513-0.00485692j 0.00375445+0.00344531j 0.00192687+0.00228615j 0.00191537+0.00437577j -0.000656259-0.0078488j 0.00561797+0.00339999j 
0.00347267-0.00571572j -0.00574375+0.00292124j 0.00505035-0.00273304j -0.00385098+0.00436534j 0.00243455-0.00513134j -0.00367022+0.00365875j -0.00104115+0.0020281j 0.00126912-0.0017254j -0.000500751-4.65814e-05j 0.00143283-0.0011396j -0.00725719+0.00783944j -7.00346e-05-0.00318761j -0.00263433+0.00128309j 0.00630521-0.00616947j -0.012899+0.0139653j -0.00126428+0.00415085j 0.00542162-0.0137461j 0.00455872-0.00731284j 0.00237685-0.0063841j -0.00348549+0.00679799j -0.00428156+0.00538572j 0.00138623-0.0148729j -0.000586441-0.00753188j 0.00373309+0.000510108j -0.000234646-0.000143857j 0.00315603+0.00306538j -0.000881014+0.00116095j -0.00219904+0.00353963j 0.00215398+0.00411466j 0.000351143-0.00918893j -0.00333616+0.0032109j 0.000648659-0.000102412j -0.00230936-0.00415609j 0.00337139+0.00597174j -0.00155577-0.00187352j -4.02011e-05+0.0037888j -0.00402818+0.00292937j -0.00104911-0.00430813j 0.000499834+0.00769566j 0.00302997+0.00674183j -0.00104883-0.000266225j 0.00170604-0.00169812j -0.00311289-0.00193146j 0.000377429+0.00539636j 0.000833689+0.00524611j 6.49703e-05-0.000558791j -0.00139689-0.00229635j 0.0021255+0.00227203j 0.00149846+0.00376617j -0.00249212-0.00301333j -0.000982889-0.00229088j 0.00239665-0.00496057j -0.00474085-0.00228193j 0.00046139+0.00928442j -0.000415709-0.00701965j 0.00590737+0.0037366j 
