-0.26913+0.0779484j 0.0467705+0.251669j -0.288615+0.0902483j -0.230257-0.350383j -0.223934+0.216201j 0.0619089-0.053721j 0.134152-0.0272838j -0.107824+0.0432765j 0.133355+0.274044j -0.166921-0.033065j 0.100073-0.142991j 0.140069+0.0556808j 0.216073-0.134727j -0.291468-0.0422337j -0.0184569+0.358329j -0.134392+0.00718646j 0.00636676+0.13264j -0.0578148+0.0285665j 0.0191168+0.0739439j 0.037057-0.00341208j -0.0360196-0.012595j 0.00445882-0.0353921j 0.0302075+0.00349595j 0.019797+0.0133716j -0.0153606+0.0271133j -0.01821-0.01914j 0.00906787-0.034241j 0.0105675-0.00205126j -0.00276283+0.00914778j -0.0309422+0.0121371j 0.0352876+0.0069745j 0.0088973-0.0139332j 0.0107579+0.0157638j -0.0151971+0.0211468j 0.0286538+0.0226982j -0.0136664-0.00495349j -0.0139101+0.0150313j -0.00666463+0.00487086j 0.00566694+0.00739697j -0.0102246+0.0456853j -0.0418566-0.00969701j 0.0302619+0.00121041j 0.00491671-0.0122412j -0.00352344-0.0119687j 0.00122307+0.0180711j 0.00251702+0.0171311j -0.0108232+0.0215148j 0.0274585+0.0132734j 0.00324101+0.00727474j 0.00971923-0.0201604j 0.00795951+0.00664075j 0.015675-0.00462916j -0.00409767-0.00617776j -0.0175306-0.0102034j 0.00329429-0.00957312j 0.0113298+0.00366536j -0.00844489-0.00463421j -0.00927892-0.0172764j -0.0015962+0.00404898j 0.000932628-0.00548023j 0.00172892+0.00192102j 0.00374494-0.0011957j 0.00723263+0.0191375j 0.00324248-0.011275j 0.0102111+0.00187497j -0.00531624-0.00868883j -0.00321617-0.00851406j 0.00713331-0.00553286j 0.0125485-0.0110577j 0.0020198+0.0140466j -0.00263174+0.0048079j 0.00771103+0.00796317j 0.000901981-0.00105651j 0.0124125-0.00874347j -0.0194916+0.0116276j -0.0103963+0.00791927j -0.00368112+0.00145383j 0.00160598-0.00302663j 0.00747088+0.0108342j -0.00236527-0.00553395j -0.00011659-0.00316793j -0.00271845+0.00156364j 0.00218764-0.0060489j -0.00301086+0.00310993j 0.0157475+0.0222915j -0.01563+0.00622277j 0.0130959+0.00038857j 0.00375089+0.00209081j -0.00106912-0.00849394j 0.0175363-0.00246816j 0.000334951+0.0155324j 0.00263731+0.00181025j -0.00378286-0.00392149j -0.00755981+0.00584705j -0.00545553-0.0102059j 
-0.0803081+0.219829j 0.218797+0.0602185j -0.0727217-0.276892j 0.280913-0.0491816j 0.206324-0.0434296j 0.168069+0.135468j 0.0407814-0.327129j -0.0224478+0.12398j 0.0309479-0.147086j 0.00666768-0.108632j -0.257202-0.0872701j -0.110742+0.408797j 0.446186+0.0528705j 0.0782439+0.157428j 0.116263-0.0417879j -0.0653332+0.0892108j 0.0878707+0.064564j -0.00301603-0.0582736j -0.069925-0.00207609j -0.0279249+0.00466481j 0.0208924-0.0133268j -0.0100516+0.0523012j 0.0184091-0.0015448j 0.0126955+0.00269859j -0.00923195+0.00640226j 0.00104837-0.0278164j -0.0357721-0.00261865j 0.0189748+0.0140076j -0.000178359+0.00937847j 0.0109331+0.0101778j -0.0176711-0.0237949j 0.0169316-0.0119139j 0.0239622-0.0205482j -0.0320431-0.0237792j -0.00867136+0.0361741j -0.00459731+0.0129848j 0.00735963+0.00175262j 0.00265866+0.00943405j 0.00809243-0.00238154j 0.0220458+0.0241735j -0.0248108+0.0135857j 0.0139133-0.0193505j -0.0132595-0.00717501j 0.0144535-0.0082872j -0.0139828+0.00232781j -0.0119198-0.00261767j -0.0185217-0.0224098j -0.0190108+0.0220598j 0.00391962+0.0015316j -0.000436924+0.0127665j -0.0196838-0.0124771j -0.0134621+0.00899588j -0.00873016+0.0100122j 0.00272386+0.0218673j -0.00574275+0.00652103j -0.00702583+0.00906376j -0.0124346-0.00389907j -0.016782+0.0103597j -0.011166+0.000215516j -0.00159687+0.0039133j -0.00691856+0.00644564j -0.00294892+0.00283063j -0.00589253+0.0138585j -0.0160635+0.000267426j -0.00375751+0.00723629j -0.00356634-0.00586128j 0.00350146-0.00908263j -0.00261128+0.00120911j -0.0160085-0.0136815j 0.00179357+0.00487032j -0.00943299-0.00309899j 0.000334113-0.00169969j 0.00602821+0.00266851j -0.00297272+0.000297749j 0.00225213+0.0138687j -0.000824925+0.002304j 0.00465889+0.00330835j 0.00318902-0.00302351j 0.00822313-0.021523j 0.0104+0.0111268j 0.0208612-0.000887939j 0.00564588-0.0137005j 0.0116441+0.0123331j -0.00806778+0.00152243j -0.0194203+0.00960257j -0.00208944-0.0200759j 0.00195555+0.00373384j -0.00482144+0.00141159j 0.0013166+0.00102422j 0.0082727-0.00839853j 0.0105178+0.00677144j 0.000507872+0.00418815j 0.00237537-0.00547405j -0.00185904+0.00484749j -0.00410314-0.00150361j 
0.0397958-0.0392377j -0.0261521-0.0346275j 0.0195623-0.0795499j 0.0182364+0.0313626j -0.0536559+0.00897004j 0.0569582+0.00506511j 0.0484909+0.0210162j 0.00377673+0.0261274j 0.00156082+0.0366361j -0.0152784-0.0183282j -0.0173673-0.0342219j 0.00612813-0.0223362j -0.00447358-0.0521423j 0.00502459+0.000168203j 0.0290633+0.0132904j -0.131296+0.0829717j 0.0560372+0.12344j -0.220116+0.202983j 0.219661+0.160543j 0.020069+0.11633j 0.12758+0.330769j 0.0413197+0.262522j -0.0857158+0.0143305j -0.0566618-0.0793543j 0.255917-0.0532312j 0.0298809+0.0607829j -0.162199+0.0775873j -0.0883684-0.108337j -0.0376636+0.0442136j 0.0686675-0.161117j -0.0517122-0.0131848j 0.00173631+0.100119j -0.192834+0.0541337j -0.0827985-0.141748j -0.346964+0.0193453j 0.11816-0.210418j -0.132668-0.132675j -0.056242+0.108961j 0.111517+0.0555963j 0.048567-0.0522362j 0.085563+0.057437j 0.067547+0.070147j 0.0818537-0.0990543j 0.0214241+0.0473686j 0.0394107-0.0411496j -0.00733632-0.0508238j -0.026196+0.0271175j -0.0315356+0.0496909j 0.0190611-0.0108127j -0.00598077+0.00422088j 0.0451291-0.00325744j 0.00892532-0.00465538j 0.0426424+0.0127452j 0.0144424-0.0254301j -0.00428815+0.0122111j -0.0263213-0.0308606j -6.63555e-05-0.0233428j 0.0146945+0.0400641j -0.0231095-0.00153614j -0.0280484-0.0153102j 0.00259766+0.0109317j 0.0204624-0.0326619j 0.00629752-0.00656501j -0.0184794-0.0254686j -0.0110435+0.00921026j 0.00241177-0.0246011j -0.00173819-0.0227899j 0.0202537-0.0327424j -0.000988097+0.0141231j 0.00882124-0.00379583j -0.00381931-0.0157267j -0.0165122-0.0181857j -0.0161+0.00295831j 0.00461056+0.0181236j 0.0233547-0.0132276j 0.000331097-0.00932917j -0.0330935-0.00270789j 0.0123631-0.00717573j 0.0185661-0.0155886j -0.000258155-0.00605901j -0.0210616+0.00735865j 0.00835949+0.0227688j 0.00857174-0.000753925j 0.0305383-0.00952544j -0.0156372+0.00513215j -0.0216016+0.000332042j -0.0333854+0.0209961j -0.0191504-0.0137515j 0.0344142+0.0665219j 0.0031114+0.00368442j -0.0192207-0.00122734j -0.0446546-0.0300237j 0.00237225+0.0470809j 0.026984+0.00111265j 0.0045327+0.0414827j 
-0.00869723+0.0546859j 0.0501317+0.000422657j -0.0251995+0.0387707j -0.0191476+0.0199457j -0.0109471-0.0316546j 0.0617569-0.038058j 0.0222465+0.0247594j 0.0445255+0.017064j -0.0460697+0.0408287j 0.0386962-0.00542086j 0.0172649+0.0183497j -0.0168017+0.0261281j -0.0284254+0.0216859j -0.0109033+0.0175203j 0.0169541-0.00456306j 0.0379538-0.128896j -0.120578-0.0257687j 0.0716963-0.0270583j -0.0935837-0.0346798j 0.363574+0.0135607j 0.20466+0.183194j -0.12786+0.0996884j 0.0184217+0.195532j -0.113399+0.240924j 0.152314+0.124727j 0.0093793+0.111148j -0.287964+0.0328297j 0.0720808+0.0807896j 0.0100184+0.00961387j 0.0842454+0.0596308j 0.134572-0.24129j 0.129463-0.312783j 0.0104809+0.079432j -0.0227333+0.194503j 0.194685+0.181505j 0.194913+0.0256223j -0.00748033-0.214476j -0.0223435-0.112166j -0.118466+0.0258966j 0.000358606+0.0147962j -0.0131222-0.0146624j -0.00713956-0.0377932j -0.0133001+0.0124934j 0.0957618+0.00631302j 0.049815+0.00389022j -0.0427834-0.0877847j 0.00609379+0.0177953j 0.0251203+0.0267574j 0.0283531-0.0438135j -0.0127331-0.0159366j -0.0133302+0.0138552j 0.037047-0.0373054j -0.044463+0.0173754j 0.0149598-0.00201305j 0.0069043+0.0384665j -0.0245676+0.00157164j -0.00663835-0.0411924j 0.00428431+0.0208865j -0.0189498-0.0112241j 0.0309442-0.00864554j -0.0129957+0.0286183j -0.0137444-0.00655542j 0.0116845-0.00826006j 0.00773203-0.0173161j -0.0152338-0.00838536j -0.0141451+0.00231222j 0.00939578+0.00181153j -0.000977418+0.0213622j 0.00371827+0.00729225j -0.00462484-0.00164963j 0.000202213-0.00436203j 0.0136813-0.00380971j 0.00214991-0.0191892j 0.00331248+0.00831022j 0.0194559+0.0225318j 0.0253761-0.00168666j -0.0315629-0.0240945j 0.0201472-0.00875503j 0.0204234+0.00784329j -0.010999+0.00770371j 0.0144663-0.0213452j -0.0547092+0.00476039j 0.0204533+0.0206795j -0.00607004+0.00213159j -0.003819+0.00645492j 0.014964+0.0128131j 0.0286535-0.00435938j -0.0105674+0.00922484j 0.0370414-0.0142822j -0.0198767+0.0115284j -0.0127092-0.0117009j -0.00942586+0.0216953j 0.0172653-0.00827378j -0.010014+0.0230702j -0.017223-0.0107572j 
-0.0389966-0.0216164j -0.0233456+0.049026j 0.0607579+0.0181561j -0.0135318+0.0161859j -0.0110108-0.0104173j 0.00299973-0.0475108j -0.0334802-0.0140701j -0.00551525+0.066671j -0.0194057+0.00363744j -0.0672258-0.041567j -0.0146579+0.0320756j -0.0114113-0.0165091j 0.00877293+0.015442j 0.00337851+0.00667598j 0.00561905+0.00236254j 0.0795281+0.092231j 0.0889596-0.0897034j -0.179436-0.12301j -0.0669073+0.188378j -0.0265348-0.171108j 0.0969416+0.00777653j -0.0963047+0.0117558j 0.114919+0.289657j -0.171824+0.00251564j 0.0424255+0.0418837j 0.138855+0.0470723j 0.141472-0.0140539j -0.188375+0.19275j -0.306022-0.294836j 0.0706818-0.00933097j 0.243379-0.117295j -0.26746+0.364944j 0.191206+0.117145j -0.150349+0.0281111j 0.0526091+0.0484904j 0.039466+0.0202907j 0.0268038-0.0268091j 0.120973+0.0596336j 0.0560166-0.116574j 0.0106566+0.0238748j -0.0283809+0.0372466j -0.0321062+0.0696377j 0.0762578+0.0310897j -0.00890007-0.0274931j 0.0212486-0.0192545j -0.0328175-0.0286332j -0.00212079-0.0181897j -0.0122572-0.0031606j -0.0253576-0.0611777j -0.00671036-0.0511752j -0.0253538+0.0247114j 0.00901216-0.0091112j -0.0107007+0.0205306j -0.031963+0.0145058j -0.0324398+0.0142713j 0.00351936+0.00816636j 0.0179318+0.00459801j 0.022784-0.00500672j -0.00296772+0.00481955j 0.00698114-0.00717463j -0.00489066+0.00148089j 0.00484982+0.00929203j 0.0209183-0.00293418j -0.00747992-0.00105182j 0.00218688-0.00143864j -0.00701627+0.00224678j 0.00141042+0.00153845j -0.00202465-0.000276421j -0.00340445-0.00119634j -0.0231158+0.00910198j -0.0045731+0.00786232j -0.00215555+0.0138844j 0.00397218+0.0208353j 0.00835951-0.000174509j 0.00660074-0.0151069j 0.0179172+0.0207187j -0.02679+0.00739002j -0.00731945+0.0369736j -0.00249473-0.0111973j -0.0280072+0.00024283j 0.0296622+0.0139218j 0.00139145+0.0189742j -0.00624674+0.0142009j 0.0226763+0.0254896j 0.000529796+0.0128649j -0.013591-0.00888919j -0.0387999-0.0176641j -0.00523012+0.0388083j 0.00617705-0.0141683j -0.000109861-0.00646219j 0.00719269-0.00161358j -0.00732391-0.00564488j -0.00856636+0.0119853j 0.00459073-0.00344728j 0.00560558+0.00347228j 
0.00466692+0.00962125j 0.00182091-0.00211786j 0.0105714+0.000873271j -0.0032641+0.0109342j -0.00760557-0.00885088j 0.00413814+0.0104618j -0.00351435-0.00648343j -0.000722341+0.000720828j -0.00155607+0.00938524j 0.0075357+0.00643091j -0.00535674-0.00127527j 0.000997033-0.00688359j -0.00040636-0.00557321j 0.00350425+0.00618687j 0.00500642-0.00684238j 0.0179596-0.0328217j -0.0227724-0.0183888j -0.0299004-0.079773j 0.0029887-0.00304386j -0.0376585-0.0171019j -0.0726106+0.0742601j 0.0083849-0.00329763j 0.00209832-0.0344095j 0.0136676-0.0161679j 0.0743344-0.00226613j 0.0596401+0.0407046j -0.011972+0.0307343j -0.0261219-0.0619603j -0.00345721+0.0439793j 0.0154288-0.0386906j -0.0295099-0.0210874j 0.00741064+0.0276487j -0.0265556+0.0501212j -0.0118013+0.00960143j -0.0762116+0.0264833j 0.00845877-0.0512348j -0.00697135-0.0398159j -0.00556951+0.0986347j 0.0949632+0.00406233j 0.038979-0.08099j 0.114211-0.0421145j 0.121339-0.0487038j 0.0669891-0.180434j 0.025379+0.136347j -0.102559-0.112508j -0.193243-0.0776833j 0.124242+0.149382j 0.123312+0.091131j 0.0302169-0.0105097j 0.0469891-0.0484866j -0.0451994+0.0535571j 0.00984299+0.0764466j -0.144207-0.103943j 0.0178103+0.179199j -0.0335845-0.061028j -0.063064+0.0720927j 0.0330834+0.0621139j 0.0209007-0.105584j 0.0109202-0.0933705j 0.055583+0.0399315j -0.0381161-0.0696448j -0.0849342+0.127459j 0.0498013+0.0958508j 0.0244868+0.0282113j 0.0286047-0.0350349j -0.0594012+0.0356343j -0.023209+0.0616604j -0.10217+0.0628894j -0.00538659+0.017351j -0.0664852+0.00974657j -0.0171761+0.0403162j 0.0168369+0.0458456j 0.103819-0.0204135j -0.0239324-0.0526102j -0.12138+0.0374311j 0.0129869-0.000805697j 0.0468588-0.00673814j -0.0113038+0.0506976j -0.0332894+0.072112j -0.062172+0.0504708j 0.0490688-0.0748467j -0.0917328+0.0151162j 0.00289111+0.0332573j -0.0470764+0.0262228j -0.00973399-0.00814627j 0.0372969-0.086889j 0.102752-0.101324j -0.00974393-0.0106995j -0.245842-0.139172j 0.0393899+0.0408705j 0.0183898+0.0207804j 0.213376+0.0412409j -0.0841267-0.189511j -0.099307-0.0338157j 0.00822847-0.128982j 
-0.00978397-0.00744972j -0.00225457+0.0090011j -0.0127587+0.000377845j 0.00989882-0.00727041j 0.0105755-0.00636335j -0.00878261-0.00198091j 0.0181862-0.00404153j 0.00478748+0.00193281j -0.0149704+0.00143526j -0.00348586+0.00607034j -0.00215785-0.00212185j -0.00180107+0.00676028j 0.000110872+0.010837j -0.000688562+0.00053699j -0.000192801+0.0136636j 0.0148887+0.0360138j 0.0249266-0.0218288j -0.00584124+0.0571555j 0.0140549-0.0468016j 0.00289465+0.0404734j 0.000287527+0.0148401j 0.0180058-0.00149157j 0.0332928-0.00655487j -0.0262502+0.0136212j -0.0381589+0.0687961j 0.0853124+0.0609473j -0.0483069-0.00530612j 0.0309682-0.00864173j 0.0217549+0.0455802j 0.0401542-0.016603j 0.0308514-0.0110785j -0.0176033-0.0333653j 0.0131334-0.0078369j 0.0229353+0.0110532j 0.0560888+0.0581247j 0.00642411+0.0262985j 0.00395239-0.030932j -0.0626909-0.0400247j -0.0257987+0.0664301j -0.00123373-0.00207827j -0.0630837+0.0450925j -0.123326+0.0500803j 0.0183167+0.0532813j 0.184599-0.0452988j 0.0790171-0.0603524j -0.112889-0.0510083j 0.0679481-0.0666601j -0.0138014+0.0218572j 0.090095+0.0783539j 0.0693446-0.00815963j -0.0207165+0.110498j 0.0406757-0.0451809j 0.0744894+0.150761j -0.0957347+0.0351531j 0.0605468-0.210699j -0.176866+0.110543j 0.042085+0.162224j 0.0427286-0.0672165j 0.0574409+0.0688146j -0.141764-0.0695932j 0.0120509-0.0917129j -0.0570517+0.0980757j 0.0528283+0.0635377j -0.0234965+0.0247606j 0.12954-0.0254159j -0.0170334+0.0183624j -0.0706849+0.0344395j -0.0853651-0.0417462j -0.0608508-0.0293105j 0.0465526-0.0265152j 0.0215574-0.0233118j -0.0664906+0.106123j 0.0943316+0.0187672j -0.0102639-0.0550968j -0.104463-0.121051j -0.0926575+0.0592841j 0.155472+0.101177j 0.000918774-0.0379782j 0.00358443-0.116773j -0.0125867-0.0500121j -0.104706+0.121713j 0.0239506+0.0280534j -0.0373577-0.0691548j -0.0263901+0.123761j -0.0193468-0.0488319j -0.118752+0.06578j -0.119452+0.140934j 0.0759313+0.0055001j -0.189059+0.236315j 0.0126402-0.0222739j 0.0169618-0.0236715j 0.0365335-0.0400472j -0.0184567+0.106996j 0.0395517-0.142231j 0.115699+0.0522655j 
0.0168809-0.000620869j -0.00102447-0.0123369j 0.0135231-0.0201126j -0.011058+0.00868816j -0.0211902+0.0129058j 0.0272615-0.00748297j -0.0191162-0.00184647j -0.0129091-0.00609248j 0.0107123-0.000881295j 0.00228218+0.00833494j -0.00148793+0.0102015j 0.00689721+0.0006993j 0.000730743+0.00747787j -0.012088-0.00975238j -0.00185052-0.0126233j -0.0164133-0.0206885j -0.0087274+0.0376359j 0.0227421-0.00623728j -0.0107704+0.0101653j 0.0286344-0.028979j 0.052822-0.00541807j 0.0108958+0.0313674j 0.020307-0.0106967j -0.0150266-0.0540889j -0.0348628+0.0295896j 0.0145589+0.0261727j -0.0430572-0.0143407j -0.0464924+0.0166321j 0.0267462+0.0589326j 0.0433785+0.0029149j 0.0327701+0.0214314j -0.0286746+0.0540599j -0.00755934-0.0114009j -0.00648532-0.00655868j 0.00998946+0.00251343j -0.0092888-0.00959585j -0.00938915+0.0117286j 0.0422308+0.00490992j -0.00757743-0.0680276j -0.00585081+0.0674493j 0.0150183-0.00464737j 0.105783+0.0149657j 0.0208339-0.0332495j -0.0649646-0.0251098j -0.0441377+0.176776j 0.124943+0.000139098j -0.155384+0.0739587j 0.094592-0.0118086j -0.0421974-0.112109j -0.0615602+0.100671j -0.0764824+0.0534368j -0.0961893-0.181498j -0.0202725+0.0720745j -0.0090193+0.0379189j 0.113258-0.0766838j -0.2501-0.0226634j 0.0657319+0.130576j -0.105258-0.158481j 0.0717149-0.0784251j 0.0333338+0.0153339j 0.139564-0.0193177j -0.00384486+0.154764j -0.00226852+0.0245074j 0.162583+0.0510288j -0.0106551+0.135268j 0.0590651+0.0703583j -0.000799949+0.0240631j 0.045568+0.0661832j 0.0163426-0.146819j -0.0206455-0.0304645j 0.0829901+0.0795262j 0.0669219+0.0279435j -0.0144192+0.0511905j -0.0907021+0.04289j -0.00198246-0.108284j -0.13167-0.108991j 0.0956325+0.0228759j 0.0125474-0.305707j 0.0813017-0.0117199j -0.0207615-0.0524262j 0.0714283-0.0349362j -0.00518219-0.0106674j 0.201408+0.185176j 0.109698+0.00443731j 0.0587677-0.00096253j 0.197146+0.14015j 0.0560825-0.0578294j -0.0793517+0.00170373j 0.0947071+0.0542269j -0.0536355-0.053775j 0.0352729-0.0915768j 0.127517-0.127533j -0.107617-0.118563j 0.0415948-0.0104356j -0.000944215+0.0519334j 
-0.00977812+0.00828323j -0.00658558+0.00683566j 0.00303603+0.00870907j -0.00374358-0.0319513j 0.0137178-0.00394577j -0.0113712+0.00344615j 0.0282511+0.00986397j 0.00558856-0.0234168j -0.00384328-0.0257009j -0.0466486-0.016608j 0.0113034-0.00811628j 0.011744+0.0355077j -0.0293837+0.0057844j 0.0107033-0.0114582j 0.0121724+0.017758j 0.00482467-0.0160452j -0.0127659+0.000928829j 0.0208986-0.0408143j -0.0155471-0.00956538j -0.00815102-0.0309575j -0.00818042-0.00936787j 0.00378267-0.00641106j 0.0174775-0.0166427j 0.0113661-0.0137887j 0.000694285+6.98454e-05j 0.0151956+0.00912076j -0.00099403+0.000914426j -0.0193776-0.00780015j 0.0044118+0.0211893j -0.00107381-0.000914422j 7.27526e-06+0.00193065j -0.00265253+0.015775j 0.00481165+0.0155419j -0.00407649+0.0202343j 0.0114594-1.3032e-05j -0.0268604+0.0177214j 0.0117164+0.0171535j 0.0185283+0.0217329j 0.0161681-0.0213711j 0.0607032-0.0134002j 0.0383302+0.0334345j 0.0698847-0.032209j 0.0161358-0.0614298j -0.014727+0.0888829j 0.00136613-0.0242909j 0.0139256-0.0726661j 0.0665948+0.0340445j 0.0605917-0.0168794j 0.145001+0.0279358j -0.068848-0.0475883j -0.15211+0.0528308j 0.112768+0.103163j 0.0678799+0.124596j -0.0436481+0.0406908j 0.153452-0.0518605j -0.00899038+0.0279993j -0.0161944+0.272353j 0.0162833-0.0357848j -0.0582573+0.0952166j -0.0609939-0.0128969j -0.191937+0.158515j 0.189537-0.250689j -0.114626-0.251219j -0.0495492-0.0718717j 0.0873477-0.208406j -0.0523382+0.0224317j -0.000779555+0.0553258j 0.012186-0.0915937j -0.183233-0.156985j 0.172021-0.0118769j 0.216829+0.0842313j 0.075197-0.0434904j -0.0689354-0.0266079j 0.0165655+0.101461j 0.103606-0.00436293j 0.0145572-0.0643735j -0.000954301-0.123822j -0.0198014-0.0724683j 0.0380596-0.013428j -0.00891302+0.0212822j -0.0362404+0.000346246j -0.0770053+0.00547595j -0.127918+0.108419j 0.200455-0.0470549j -0.231952+0.0884041j -0.0593601-0.0378549j 0.0445941+0.0133349j 0.0421932+0.00868159j 0.0508131-0.02836j -0.00694555+0.16087j -0.11219-0.00995122j 0.0705501-0.0178944j 0.000541756-0.0680967j 0.0218255+0.00991527j -0.0148801+0.0198549j 
-0.0120698+0.0146702j 0.0041793-0.00391831j -0.00381849+0.0262394j 0.0175964-0.0140107j 0.0119522-0.00164532j -0.0278082-0.00400678j 0.0162384-0.00883329j 0.00343446+0.0119692j -0.0169503+0.0180632j 0.0171735-0.00164528j -0.0123805+0.00543078j -0.0176485-0.00979211j 0.0110692-0.0204294j 0.00762341+0.00428651j -0.00659238+0.0138138j -0.00269357-0.0288102j -0.0241935+0.00636557j 0.0340814-0.052311j -0.02911-0.00468427j 0.00806578-0.0515811j 0.0336146-0.00548722j -0.00964801+0.0248156j 0.00516549-0.00793042j 0.00864986-0.0211669j -0.00208211-0.0040294j -0.0153236-0.00190372j -0.0246298-0.00684202j -0.0478591+0.00950069j 0.0164933+0.028558j -0.000126947+0.0270308j 0.00735727+0.0179554j 0.0113482+0.0274668j -0.00941173+0.0070316j -0.00117866+0.0257359j 0.0202412-0.00938465j 0.003245-0.000629082j 0.00207962-0.0109228j 0.0396848+0.0255812j 0.011591-0.0483857j 0.0723711-0.0751084j 0.108857+0.0572091j 0.0724068-0.0244382j 0.0185898-0.0568971j -0.0659826+0.139288j -0.0596041+0.0185641j 0.0940809-0.041565j 0.0541024-0.117549j -0.0531772+0.01088j -0.0139313+0.0444768j -0.0238405-0.0325896j -0.0785838+0.0543696j 0.161313+0.108856j 0.178099+0.00642405j -0.0472579-0.11406j 0.0559648-0.0336598j 0.131968+0.100731j 0.0380298-0.0978438j -0.0452707+0.0125538j 0.0500508+0.190613j -0.0684632-0.118616j 0.0743784+0.00546201j -0.190324+0.0115323j 0.180116+0.119006j 0.00544079+0.10592j 0.0645772+0.0692776j 0.110762+0.155411j 0.108649+0.0031436j 0.198961-0.0165106j -0.0637626+0.11582j -0.0897731-0.0133094j 0.00732241-0.131152j -0.00365605+0.0174639j 0.0948662-0.000331971j 0.0877746-0.215668j 0.118961+0.0403646j 0.0115264-0.0608711j 0.100979+0.134228j 0.0053285-0.105531j 0.0519074+0.154663j -0.0523333+0.087577j -0.120294-0.0136988j -0.0629819+0.000715802j 0.0224345-0.0849276j 0.166229+0.243386j -0.159956-0.130799j 0.089145-0.100685j 0.0642331+0.0328041j 0.049505+0.0305855j 0.152692-0.00642667j 0.122133-0.0137506j 0.0238053+0.148851j 0.0280354-0.0537014j -0.00801785-0.0383217j 0.00911478+0.00124463j -0.00204369+0.0134295j 
0.000671442+0.00101615j -0.00579748-0.00945305j -0.0104554+0.00559392j 0.0198998-0.010133j 0.00530231-0.03908j 0.0105738-0.0168832j -0.00646575-0.00734052j 0.0123562+0.0089194j 0.011674-0.00628223j -0.00366557+0.00506872j 0.00545984-0.0346376j -0.00813345-0.00978463j -0.000714858+0.00403959j 0.00107968-0.00256981j -0.00319673+0.00491187j -0.0216611-0.0158349j -0.0114407+0.0276565j 0.0157571+0.0129977j 0.0225449+0.0350713j 0.0888821+0.00997691j -0.0358305-0.00924327j 0.0345848-0.0684129j -0.0230624+0.0304784j -0.0241878-0.0385181j -0.0045547-0.0214951j -0.00703212+0.0140344j -0.0146358+0.0247825j -0.0291727-0.00440603j 0.00387948+0.0195835j 0.0323084+0.0127339j -0.0051743-0.0490698j 0.00314277+0.00985486j 0.04545-0.0150332j 0.00618807+0.00112749j 0.00332363-0.00386226j -0.00904644+0.000126918j 0.000430508+0.00788132j 0.0550098+0.00723142j -0.00575958-0.0639325j 0.0222869-0.00841844j 0.0191306+0.0124305j 0.00243473-0.0428135j -0.04033+0.0698977j -0.212321-0.0369286j 0.0800543-0.23008j -0.13832-0.00563732j 0.00629258-0.00454748j -0.130132-0.0226222j 0.0527343+0.175314j -0.233503-0.0347773j 0.179943-0.0555819j -0.0262911-0.140284j -0.0508632+0.0533397j -0.153112+0.120035j 0.119685-0.0852056j 0.0417876-0.0936299j -0.0277218-0.0789088j -0.119205-0.0807819j -0.00910419+0.0282227j -0.0420124-0.0840577j -0.02999+0.0415736j -0.0212213-0.0264707j -0.0454858+0.0939485j 0.0861017+0.0173183j -0.0330498-0.093038j 0.0414759-0.115711j 0.0526227+0.0854449j 0.0623696+0.108969j -0.00871186-0.0264396j -0.0312511+0.0365347j 0.0710063+0.0522303j 0.031404-0.11184j 0.0889057-0.0688373j -0.0843181-0.0792342j 0.019773-0.164921j -0.0851665-0.0824659j 0.0543373+0.0219962j -0.0234926+0.045944j -0.239591+0.0437177j 0.0102797-0.0996912j -0.032646-0.117459j -0.0856048-0.197214j 0.0301579-0.0785065j 0.00633226+0.0030653j -0.048849+0.065179j -0.117074-0.119444j 0.0330276-0.22286j -0.33667-0.0360997j -0.0320461+0.183348j 0.0101089-0.00202986j -0.000276118+0.0189192j -0.041027+0.0449884j 0.0331716+0.0477298j 0.0134271-0.0238329j 0.0207137+0.019051j 
