-0.00974258-0.0119461j 0.0109762-0.00943267j 0.022639-0.00186882j -0.00117002+0.0205025j -0.00129855+0.00991834j 0.000827778+0.00691086j -0.0194133+0.00882175j -0.0119008-0.0219966j -0.00928143-0.00392361j 0.00549911-0.00596031j -0.0048467+0.00279722j 0.000201551+0.0092556j -0.00561625+0.0094719j 0.00193456-0.00578592j -0.00643603-0.00469758j -0.00594393-0.0080904j -0.00552932-0.002721j 0.00257679-0.00462891j 0.00180513-0.0108942j -0.00660294-0.0119985j 0.0016979-0.00412875j -0.0036096-0.00608744j 0.00283167-0.000842697j -0.004229-0.00104919j 0.00203384-0.00157663j -0.0110824+0.000709013j 0.00227105+0.00160569j 0.000274634-0.000284206j 0.00246664-0.0038555j -0.00146606+0.00295396j 0.00119204+0.00134723j -0.00627076+0.00311805j 0.00597167+0.00127631j 0.00819089-0.0016775j -0.00223725+0.000292391j -0.00509264-0.0081051j -0.00222988-0.00217451j 0.000489903+0.00168564j -0.00253202-0.00563386j -0.00872713-0.00126473j 0.00934259+0.00328872j 0.00201763+0.00323795j 0.00298301+0.00445923j 0.00600526+0.00345189j -0.0117872+0.00111954j 0.00604113+0.00253462j -0.000185514-0.00107753j 0.000487872+0.00674891j -0.00646405-0.0108389j -0.00746879+0.00133638j -0.0078592-0.0121759j -0.0169005+0.015299j 0.00105871+0.0161093j 0.0191988-4.968e-05j 0.00426046-0.0162056j -0.0176071-0.0064572j 
-0.012421+0.00277645j -0.00365408-0.0136443j 0.0113725-0.00172057j 0.0032338+0.00808237j -0.014081-0.00772976j 0.00881981-0.0111248j 0.000818974-2.19651e-05j 0.00294311-0.00613234j 0.00332338+0.000672828j 0.0060457-0.00214015j -0.0149007-0.006176j -0.00657381-0.00724246j 0.00429709+0.00389598j -0.00968815+0.0116438j 0.00972517-0.000474852j 0.00389776-0.00537688j -0.00251641+0.00129835j 0.000662771-0.00217051j -0.00234748-0.00510047j 0.00476859-0.00272448j -0.00727333+0.00210029j 0.00233747-0.00517329j -0.00275892-0.00174926j -0.00342102-0.000657447j 0.00106759-0.00636999j 0.00220606-0.00277658j -0.000697049+0.00272422j -0.00126244+0.00654835j -0.00231026-0.00582358j 0.00496147+0.00685098j 0.000624792-0.000586179j 0.00711985+0.00292267j 0.0035708-0.00364177j -0.000797249-0.000531441j -0.000494204-0.00190315j 0.00330372-0.00315195j 0.0062113-0.0113572j -0.00264954+0.00527597j 0.0015943-0.00151785j -0.00526158+0.00414094j -0.00358473+0.000995512j -0.00252726+0.00560887j 0.00404951+0.0032037j 7.20101e-05+0.00729198j -0.00324198-0.00359557j 0.00205105+0.00081858j -0.00713167-0.00518171j 0.00221876-0.00684993j 0.00872651-0.0150631j -0.0122046-0.0107548j 0.00454755+0.00409894j -0.00576677-0.0132362j -0.00233777+0.0137274j 0.0118108+0.00441183j -0.0126581-0.0105802j -0.0084226+0.0110805j 
-0.0170629+0.00864193j -0.0104049-0.0194206j 0.0214221+0.00242895j 0.000720067+0.0177934j -0.0208328-0.0126266j 0.0112939-0.0172496j 0.000551071-0.0065724j 0.00701797-0.00988953j -0.00414072+0.0120722j -0.00391008+0.000574913j -0.0124201-0.00420714j -0.00638053-0.00341647j -0.00236399+0.00487377j -0.0115872+0.00138083j 0.0145187+0.00632579j -0.00105783+0.00180071j -0.00688688-1.35877e-05j -0.00413127+1.06318e-05j -0.00486899-0.00229731j 0.00357166+0.00190884j 0.000638882+0.0132611j 0.00817924-0.00764319j -0.0144036-0.00212269j -0.00670652+0.00604198j -4.3869e-05-0.00553292j 0.00681378-0.000248683j -0.00553448-0.00416353j -0.00453529+0.00225844j -0.00467319-0.00744099j 0.00298109+0.00189632j 0.00695375+0.00688422j 0.0136658+0.00750711j 0.00306474-0.00398017j -0.00499969+0.00265786j -0.00229833-0.00559917j 0.000445873+0.00945761j 0.00876441-0.0144051j -0.00248093+0.00860779j 0.00111051-0.0106987j -0.00498736+0.0064295j -0.0142751+0.000258565j -0.00408602+0.00337045j -0.00359493-0.00446024j 0.00549769+0.0111382j 0.00768081-0.00796617j 0.00532373-0.00307026j -0.00326267-0.0118452j 0.0128842+0.00273471j 0.0194024-0.0217479j -0.0213105-0.0127401j 0.0106609+0.00939048j -0.00380785-0.0147657j -0.00570457+0.029397j 0.0295884+0.00403308j -0.016128-0.00654755j -0.00554+0.0151924j 
0.0251689+0.024892j -0.0235209+0.0246095j -0.0446373+0.00243084j 0.00222615-0.0372306j 0.0128546-0.0108598j -0.00490808-0.00759703j 0.037271-0.0132666j 0.0159545+0.0447858j 0.00813937+0.0101211j -0.0265681+0.0104413j 0.024178+0.00398677j 0.0135678-0.0105921j 0.00667348-0.0159632j 0.00408301-0.00405673j 0.00377244+0.0110597j 0.00529266+0.028766j 0.0132029+0.00746246j -0.0112625+0.00950053j -0.0050342+0.0255835j 0.00800642+0.0263007j 0.00738971+0.0177005j -0.0038316+0.0171041j -0.00729906+0.00688796j 0.013371+0.00715985j -0.0100719+0.00802411j 0.018653-0.00313804j -0.00183224-0.00296381j -0.000865893-0.00510872j -0.0096005+0.0162191j -0.00386901-0.0168547j 0.00130874-0.00118788j 0.00688041-0.00834448j -0.0178479+0.00283893j -0.0161526+0.00053073j 0.00303665+0.0092261j 0.0100417+0.0251753j -0.000116627+0.0121188j 0.00151654-0.0108457j 0.008947+0.0104902j 0.0236822-0.00529351j -0.0151893-0.00471708j -0.000435927-0.0142857j -0.0112428-0.0190351j -0.00712908-0.00569477j 0.0364142-0.00771504j -0.0100679+0.00119049j 0.0138726-0.00286675j -0.00575971-0.00405978j 0.011542+0.0278374j 0.0161359-0.00764236j 0.0148125+0.0269548j 0.0280178-0.0333643j -0.00211706-0.0322953j -0.0313404+0.00399331j 0.00237481+0.0388737j 0.038179+0.000458906j 
-0.0173841+0.00966371j -0.00960171-0.0185197j -0.00476156-0.00245286j 0.00805451-0.00865247j -0.018925-0.0296677j 0.0220002-0.0241089j 0.0174307-0.0033733j 0.0156829+0.00910082j 0.0146535+0.000334284j 0.0184238+0.00620599j -0.0272741-0.0270669j -0.0109189-0.031423j 0.0209406+0.0016396j -0.0264529+0.0364262j 0.0232053+0.00606591j 0.0130663-0.0110955j -0.00275106+0.00769085j 0.00478457-0.00452206j 0.00329648+0.00478604j 0.0124365+0.00381924j -0.0233693+0.00755847j 0.00679092-0.0165673j -0.00796474-0.00286568j 0.00164888-5.48369e-06j 0.00465735-0.00982816j 0.0192483-0.00238386j 0.00878831+0.00336324j -0.00925556+0.0103546j -0.013294-0.0161895j 0.0121227+0.0118779j -0.00434696-0.00384145j 0.0228804+0.00215999j 0.00289837-0.0133829j -0.0104646-0.00304827j -0.00215957-0.00402494j 0.00227341+0.00161765j 0.0098157-0.0236084j 0.00169814+0.013374j -0.0031678+0.0158941j -0.0028079+0.0131903j -0.0175714+0.000201266j -0.00533793+0.0141516j 0.00450171+0.00610314j -0.00978707+0.00722904j -0.0151978-0.00832667j 0.00247354-0.0015352j -0.0284183-0.00296234j -0.0105754-0.0196012j 0.0186287-0.0170877j -0.0239296-0.0160593j 0.0167125+0.0153058j -0.0201106-0.0301399j -0.00866212-0.00293238j 0.00178457+0.00881624j -0.0274059-0.00684969j -0.00449686+0.028372j 
-0.00117875-0.014015j 0.0141313-0.00339432j 0.0305072+0.00358418j -0.00528342+0.0271587j 0.00620081+0.014215j -0.0107151+0.0139231j -0.0230706+0.000110406j -0.0148838-0.0270209j -0.0154632+0.000853911j 0.00628524-0.00579836j 0.00370977+0.00886483j -0.00667351+0.0253065j -0.0144427+0.00581814j 0.00969335-0.0220573j -0.00935772-0.00929037j -0.00844702-0.00994108j -0.00719602-0.00611623j 0.00451566-0.00185722j -0.00274458-0.0283201j -0.00801693-0.011792j 0.00786267-0.0164756j 0.00139282+0.00350927j 0.00428645+0.00191031j -0.0146076-0.00308424j 0.00442657-0.00143769j -0.0258199+0.00544444j -0.00610564+0.00494627j 0.00442549+1.8131e-05j 0.00884519-0.00155139j -0.00426873+0.00288748j 0.00946317+0.00506003j -0.0161025+0.00196992j 0.00723883+0.00662983j 0.01964+0.00128358j -0.00497341+0.00553808j -0.00505728-0.00979506j -0.00723356+0.0147776j -0.00380844+0.000268475j -0.0053152-0.0117217j -0.0103318+0.000377356j 0.0109882-0.00442758j 0.00636303-0.0109626j 0.00277616+0.00140533j 0.0136623+0.00283483j -0.0033631+0.00960811j -0.000263547-0.00674377j 0.0167759-0.00261497j 0.0092312+0.0166665j -0.00995599-0.0104614j -0.000538663+0.0102383j -0.00883325-0.0102151j -0.0156645+0.0327123j 0.00453002+0.0262076j 0.0278047-0.0158263j 0.0134634-0.019293j -0.0166929-0.0140754j 
0.0472202-0.00523984j 0.00760344+0.049208j -0.0570721-0.00967869j 0.00494512-0.0488286j 0.048382+0.0228276j -0.0243972+0.0368947j 0.00705832+0.0133797j -0.0182659+0.034132j 0.0145407-0.0192308j -0.00627115+0.0010264j 0.0357275+0.0194199j 0.0199509+0.00626831j 0.0177281-0.0142144j 0.0254901-0.0058824j -0.0304151-0.0133027j 0.00905373+0.0120528j 0.0168938+0.00603269j 0.00269295+0.00550617j 0.00303322+0.013014j -0.00885143+0.00905034j 0.010354-0.0246817j -0.0193733+0.0261483j 0.0300596+0.00787529j 0.0230437-0.00637234j -0.00307317+0.0197795j -0.00893448-0.00114871j 0.0044627+0.0100003j 0.00889262-0.0107453j 0.00495675+0.0221526j -0.00993984-0.0111745j -0.0123793-0.0110543j -0.0298546-0.0255558j -0.0192312+0.00756795j 0.00371567-0.000658291j 0.00921469+0.0237656j 0.00313731-0.00569134j -0.0219317+0.0464816j -0.00524988-0.0313552j -0.00553211+0.028879j 0.0273194-0.0198794j 0.0120217-0.00336805j 0.0166229-0.0245035j -0.0097658+0.0120884j -0.0161368-0.0222904j 0.0197201+0.0138607j -0.0143237+0.0128894j 0.0378203+0.0197679j -0.0290772-0.00837508j -0.0227499+0.0464796j 0.0405476+0.0137339j -0.0157955+0.000606685j -0.00176429+0.0238447j -0.00408443-0.0654652j -0.0592465-0.00857774j 0.0398226+0.025377j 0.0233625-0.0351425j 
-0.0105001-0.0350369j 0.0355534-0.00945009j 0.0321249-0.0102217j 0.00516782+0.0309245j -0.000197043+0.0412369j -0.0227601-0.00661086j 0.000847775+0.0139014j -0.0352731-0.0109621j -0.00491506-0.0113827j 0.0487808-0.0194305j -0.0232227-0.0271837j -0.00498479-0.000599813j 0.00352728+0.0046385j -0.00376146+0.010768j -0.00904596-0.0181112j -0.00539754-0.0364744j 0.00265176-0.00966282j 0.0243364-0.00916526j 0.011854-0.0206192j -0.00511969-0.0143296j -0.0102701-0.0236207j 0.00857312-0.0138241j 0.0233099-0.00984455j 0.00283597-0.00331786j 0.0202626-0.0127198j -0.0192854+1.7508e-05j 0.0143898-0.00109338j -0.00425074-0.00193693j 0.00154673-0.0138868j 0.0102287+0.0193709j -0.0155419-0.024071j -0.00795621+0.00784184j 0.0120718+0.00704766j 0.016784-0.00316958j 0.00332754-0.00574947j -0.0114908-0.0466878j -0.00993447-0.00122539j -0.00139865+0.0055128j -0.0130194+0.0230215j -0.0179409+0.0050675j 0.0337062-0.0072811j -0.0167958+0.000312621j 0.0250001+0.0229893j 0.0101134-0.00552104j -0.0319134+0.0221206j 0.013597-0.00815877j -0.0179976+0.0136347j -0.00760869+0.00412458j -0.0214448+0.00540627j 0.0317904+0.0224204j 0.00840359-0.0528617j -0.0416078-0.00466598j 0.00395166+0.00700269j 0.0180784+0.00571027j -0.000183895-0.037875j -0.0405023-0.00173997j 
0.0341529-0.0118531j 0.010633+0.0364202j -0.043801-0.021041j 0.0133293-0.0383133j 0.0333609+0.00909307j 0.000334849+0.0492651j -0.0264776+0.0300319j -0.0156566+0.00892196j 0.0340648-0.0335117j 0.0223124-0.00191444j -0.00258981+0.00670526j 0.0192546-0.0136384j 0.038658-0.00262307j 0.0282459+0.0269693j -0.0245615-0.0390846j 0.030467-0.00240517j 0.00834899+0.01788j 0.0196558-0.00521329j 0.0233294+0.00774092j -0.00855446-0.00411139j -0.0118418-0.037923j -0.0229662+0.0127989j 0.0241059-0.00504874j 0.0301542-0.0129535j -0.00595087+0.0249137j -0.0100533-0.0029733j 0.018692+0.0193932j 0.0137984-0.0176829j 0.00579543+0.0120041j 0.000286646+0.00534211j -0.0298343+0.00470263j -0.0281362-0.0205483j -0.00572322+0.00215326j 0.00782393-0.00122681j 0.0251284+0.0146699j 0.00825019-0.0312535j -0.0132742+0.0185588j -0.015902-0.0315674j -0.0198631+0.0445023j 0.0020761-0.0226493j 0.0214221-0.0235935j 0.00659736-0.00376928j 0.0129879+0.023125j -0.0331242-0.0116265j -0.00456178+0.0115605j -0.0240023+0.0240498j 0.0105915+0.0605764j -0.0277096-0.00707011j -0.0360255+0.0202628j 0.00541916+0.000139469j -0.0264566-0.00686274j -0.00181861+0.0264865j 0.00208435-0.0770019j -0.071083+0.00120871j 0.0258409+0.00582659j -0.000262075-0.0268795j 
0.0390453-0.00647464j 0.00743082+0.0451953j -0.054547-0.00355546j -0.00356617-0.0504259j 0.0294637+0.0346735j -0.0414254+0.0291894j -0.000671418+0.0082816j -0.017676+0.0269956j 0.0124732-0.0109058j -0.02465-0.000514614j 0.0462074+0.0449129j 0.00997907+0.0198886j 0.0033022-0.0188853j 0.0255019-0.0240204j -0.0370055+0.00418247j -0.00950648+0.021701j 0.0123875-0.0168221j -0.0111962+0.00917076j -0.00619971+0.0289272j -0.0100157+0.0131735j 0.0296901-0.0187732j -0.0106618+0.0249507j 0.0320654+0.0105125j 0.0224635-0.0037151j 0.00165705+0.0208418j -0.005911+0.00381138j -0.0165799-0.00440117j 0.00455176-0.00326213j 0.0212891+0.0176502j -0.0131914-0.0143894j -0.00280246-0.0087277j -0.0295724-0.0231004j -0.028+0.0140575j -0.00680537+0.00645984j 0.0168189+0.0129292j -0.00886953+0.001758j -0.0122766+0.0448754j 0.00450405-0.0265829j 0.00223436+0.00208418j 0.0291568-0.0236704j 0.00952756+0.0142736j 0.0133687-0.0148333j -0.0329897+0.0124974j -0.017799-0.030236j 0.0127293+0.0219938j 0.00518906+0.01357j 0.0241028+0.00393605j -0.00443974-0.00867449j -0.0249935+0.0740049j 0.0515762+0.0138114j -0.0170493-0.000664558j 0.0203469+0.0404394j -0.00423096-0.0575364j -0.0434774-0.00261504j 0.0400043+0.0358703j 0.0278642-0.0371819j 
0.0138304+0.0662909j -0.0638752+0.017647j -0.098985-0.0119038j 0.0193899-0.0857321j -0.0258374-0.0380823j 0.00796777-0.0781835j 0.140063-0.0190504j 0.0470317+0.139046j 0.0347871+0.0249371j -0.0401853+0.012135j 0.018294-0.0446168j 0.0460441-0.0760678j 0.0354075-0.0303505j -0.0440727+0.0524091j 0.0402226+0.0462496j 0.0189129+0.0557349j 0.0413453+0.024814j -0.02412+0.0112589j -0.0103854+0.0931022j 0.0487676+0.0716412j -0.0307583+0.0791868j -0.0142855+0.00600519j -0.02327+0.00732133j 0.0455245+0.0319696j -0.0150334-0.00788727j 0.0787463-0.035128j 0.017524-0.00697769j -0.0248088-0.00686882j -0.0368509+0.0141727j 0.0166653-0.0300611j -0.0113704-0.0143923j 0.0759921-0.0106979j -0.0494975-0.0177929j -0.0697735-0.00734613j -0.0130387-0.00374204j 0.0260162+0.0617609j 0.0117142-0.005664j 0.00573963+0.00270364j 0.0316753+0.0457504j 0.0531496+0.0156483j -0.065308+0.0235358j -0.0201267+0.000735256j -0.00986505-0.0248239j -0.0266567-0.0100157j 0.0450732-0.0287828j 0.000499839-0.00232678j -0.0304264-0.0286135j -0.0341108-0.0392202j 0.0945372+0.056171j 0.0224181-0.0306627j 0.102764+0.0275781j 0.0435219-0.127047j -0.0395171-0.0629687j -0.0732014+0.0329833j -0.0388801+0.0814651j 0.0803191+0.0502532j 
