-0.00878072+0.01741j -0.0172243-0.00958483j -0.0248176-0.00392795j 0.000499478+0.0255233j -0.0120579+0.0159053j -0.00263474+0.0164892j -0.0244102-0.0267472j 0.0270418-0.0276256j 0.0174641-0.00877468j 0.00381698+0.00907361j -0.00249405+0.00749028j 0.0175873-0.0129488j 0.0205592+0.0249499j 0.0127045-0.0242122j -0.018505+0.0131841j -0.00188489+0.00504318j -0.000131486+0.00603222j 0.00295821+0.0126363j 0.00343658+0.000578082j 0.0272115-0.00703734j -0.0191081-0.0106599j 0.0110949-0.00668196j 3.03332e-05+0.00590132j 0.0128416-0.0158953j 0.00158776-0.0111878j 0.00429914+0.0119916j 0.00295086+0.00588249j -0.010326+0.00471866j 0.0065077-0.00617919j 0.00657308+0.00609753j 0.0109659-0.012454j 0.00924125+0.0274286j -0.010609-0.00582294j -0.0104946+0.00434198j -0.00643405+0.00434919j 0.00562848-0.00589625j -0.00117179+0.00168311j -0.0210648+0.0032711j 0.014845+0.00524666j 0.00705057+0.00362808j 0.00320405+0.00212026j 0.0080807-0.0110166j 0.0229822+0.00886319j 0.0141708-0.00218348j 0.00437368-0.0039067j -0.011134+0.0021986j 0.0108725-0.00236612j 0.00302439+0.00735938j 0.00933113+0.0137776j 0.0036019+0.00044816j 0.0103842-0.010432j 0.00307935-0.000827691j -0.00460426-0.00418741j 0.00601565-0.0103617j -0.0070694-0.00615487j 0.0146716+0.00572441j -0.00682303-0.00272618j 0.00822005+0.0078061j -0.00507483-0.0118634j -0.00459417-0.00220771j -0.00676688+0.00775851j 0.00255825-0.00445424j -0.0211156+0.0109636j -0.012625+0.0125712j -0.00662879-0.00158028j 0.0106577+0.00536437j -0.0265976-0.00107283j -0.00203245-0.000532864j 0.0219998+0.0262747j 0.00288896-0.0149394j 0.017343+0.00541971j 0.00957435-0.021124j -0.0428104-0.0203837j 0.0109227+0.0168496j -0.0213037+0.00734168j -0.0217409-0.0180993j -0.0177159+0.0213247j 
0.0195032+0.00506547j -0.00460586+0.0203538j 0.0171536+0.0135427j 0.0115021-0.012847j -0.0234806+0.00262362j 0.0130682+0.0146887j 0.00683271+0.0127828j -0.00668661+0.00967644j 0.0094594+0.00325444j -0.0104453-0.0108625j -0.0334872+0.00402386j 0.0037229-0.019704j 0.012251+0.013488j 0.0049232+0.0186899j -0.00886417+0.000771418j 0.00843229+0.0144009j 0.00973139-0.00238273j -0.00189568-0.00432094j -0.00162369+0.00464993j -0.000935583+0.00865468j -0.00999808+0.0020513j 0.000602719+0.0332575j 0.0164865+0.00910403j -0.0119777+0.0192292j 0.00318382+0.019262j -0.000972523+0.00258088j 0.0206875+0.000462308j -0.00938421-0.0116881j -0.0113802-0.000303897j -0.00769699+0.00106389j 0.00505763-0.00952558j 0.00423084+0.0167636j -0.00667522+0.0121191j 0.0054911+0.000310893j -0.00445885+0.00969776j -0.01031-0.00645818j -0.00718669+0.00474347j 0.00278137-0.00654185j -0.00719203-0.00853994j 0.00256449-0.00332315j 0.00595583+0.00239697j -0.00110951-0.00378192j 0.00879752-0.00945699j 0.00445865-0.00412296j -0.000550861-0.00742554j 0.00575586+0.00603799j 0.0095165+0.000753368j 0.00432833+0.00557304j 0.013154-0.017153j -0.0016714-0.0253621j -0.00598955+0.0020036j 0.0113774-0.00159134j -0.0115568-0.0142912j -0.0166243-0.00713406j -0.00180064-0.0146699j 0.00120219+0.0155477j -0.00321223+0.00652722j -0.011488-0.009571j 0.00957575+0.00305174j -0.00679933-0.00832105j 0.0124913-0.000612827j -0.00187966+0.00267831j -0.0154703-0.00718734j 0.00628524-0.0186485j -0.000597109-0.0178578j -0.000940311+0.00572128j 0.0146533-0.0102364j -0.0112795+0.0127647j -0.0126463+0.0276153j 0.0181491+0.0169426j -0.0190562+0.0312127j -0.00197208-0.00673863j 0.00926665-0.0265412j -0.00407141-0.0173135j 0.0201344-0.00749914j -0.0131225+0.0239151j 0.024157+0.0130185j 
0.024462+0.0126117j -0.0117921+0.025744j 0.0430053+0.0100297j 0.00905299-0.0358668j -0.0424366-0.00690738j 0.000830386+0.024788j 0.0243888+0.00763952j -0.0155379+0.032091j -0.00365518-0.0243653j 0.00595389-0.0100603j -0.036094-0.00476916j 0.00561773-0.0138324j -0.00226255+0.00427182j 0.0081986+0.0239139j -0.000929125-0.0170523j 0.0204047+0.00420957j 0.0313641+0.00470447j -0.00304771+0.00264031j -0.00990708+0.00451046j 0.0316412-0.0184948j 0.0133604-0.000153263j -0.00373948-0.00576267j 0.001367-0.00763417j -0.0106197-0.00677695j -0.00903703+0.00248383j -0.0024889-0.0225761j -0.0154402-0.00985903j 0.000251346-0.0239495j -0.00665743+0.00849947j 0.0196292-0.000473816j -0.00124294-0.0102802j 0.00566828+0.0126334j -0.0150183+0.0037637j -0.00586585+0.00490428j 0.00466696+0.0143205j -0.0117694-0.00216101j 0.0140818-0.0108555j -0.0269591+0.00712337j 0.0206571-0.0193833j 0.00687331-0.00880383j 0.011546+0.000543198j -0.00983048-0.0028806j 0.006278+0.00102721j 0.0185272-0.00701114j -0.00967906+0.00191046j 0.00632471+0.0140813j 0.00917127+0.000923258j 0.0163569+0.0152379j -0.00465355+0.0285018j -0.00670941-0.00520777j -0.00307139+0.000407916j 0.0035723-0.0130928j -0.00143727-0.0172437j -0.00520826-0.00960314j -0.0170448-0.00788328j 0.016489+0.0278001j -0.0251025+0.00146726j 0.0155072+0.00266144j 0.0119767+0.0274065j -0.0114126+0.000807999j 0.0175433-0.0143362j -0.00724838+0.00378815j -0.00710432+0.00576196j -0.0345642-0.0236028j 0.000325504-0.0332676j 0.031419+0.0186272j 0.00662631-0.00556292j -0.000818209+0.017573j 0.0233452+0.00850238j 0.0349692+0.0365544j -0.0247428+0.0228487j 0.00609602-0.000625904j 0.0138185-0.0193249j -0.0221264-0.0506438j 0.0558352-0.0198369j -0.0172801+0.0146023j 0.0151023+0.0178899j 
-0.0256641+0.0224978j -0.0229213-0.0271295j -0.0146459-0.0130653j -0.00758268+0.0118704j -0.00304592+0.00037396j -0.0305264+0.015696j -0.0217358-0.0458293j 0.0233218-0.021544j -0.00762485-0.0354564j 0.0371448+0.0272748j 0.0447428-0.00350453j 0.0038422+0.00944729j 0.00124432-6.72233e-06j -0.00231536-0.040613j -0.0104653-0.0080458j -0.0133388-0.0130425j 0.0048281+0.0153509j 0.000120564+0.0146375j 0.0003807+0.000744368j 0.034712-0.0328368j 0.0104595-0.00638508j 0.00146201-0.0789744j -0.0174249-0.0183664j 0.0143686-0.0524178j -0.00829794-0.0377212j 0.00902208-0.00738992j -0.0486752+0.0118432j 0.00511092+0.0166191j 0.026632-0.0178507j 0.0253432+0.00282205j 0.0157946+0.00628211j -0.0102247-0.0171422j -0.00374897-0.0346789j -0.0259707+0.0058126j -0.0052462+0.00577175j 0.0222286+0.00169505j 0.0255451+0.00253754j -0.0138923+0.0192277j 0.0435204+0.00194647j 0.00234706-0.00845629j -0.000726345-0.00875757j -0.00623521+0.00242919j 0.00461201+0.0259933j 0.0145792+0.0217528j 0.00295659+0.0346443j -0.0331687+0.00248578j -0.00770527+0.0190836j -0.00325259-0.00347505j -0.0327635+0.0437556j -0.0106728+0.0470042j 0.0199597-0.0107729j -0.0201191-0.00609254j 0.00375803+0.00294492j 0.0247872-0.00203871j 0.00255971+0.0232447j 0.0178591-0.0325846j -0.0255503+0.00414695j 0.0309565+0.0318455j -0.0130859+0.0067371j -0.000813573+0.000204968j -0.0120378-0.00727707j 0.0121154-0.0127082j -0.00603213+0.015981j -0.0287994+0.0544481j -0.0155457-0.00594715j 0.0483958+0.00238983j -0.0576833+0.00513995j 0.0305577+0.00601046j 0.0618545-0.0143868j -0.00305243-0.0160363j 0.0306685-0.0140868j 0.015214-0.0197789j -0.0440524-0.0151121j 0.0127159-0.00240889j -0.00136097+0.00680242j -0.00449916-0.0457861j -0.0441619+0.00269838j 
0.00576615+0.0371498j -0.036134+0.00396844j -0.0520312+0.00636827j 0.0176217+0.0515618j -0.033852+0.0510208j 0.0252816+0.0433208j -0.0532968-0.0305208j 0.0525639-0.0571355j 0.0459688-0.00670902j -0.00771481+0.0139882j -0.0410918+0.0327761j 0.0371208-0.0652694j 0.0551993+0.0667274j 0.030555-0.035524j -0.0418449+0.0451896j 0.0163468+0.0171711j -0.000466039+0.0100892j 0.0117016+0.0212186j 0.0181993-0.00908566j 0.0547884-0.0169905j -0.0757924-0.00964743j 0.0455245+0.0339439j 0.0173074+0.02938j 0.0208359-0.0101112j 0.00597933-0.00315361j 0.0250441+0.0388998j 0.0375451+0.0109391j -0.0333204+0.00179149j -0.0145426-0.0100422j 0.0202656+0.0265353j 0.018177-0.0515902j 0.0422392+0.0985037j -0.034676-0.0176509j -0.0131323+0.0346515j -0.0146341+0.00815831j 0.00732368-0.0179257j 0.00476545-0.00617874j -0.0321397-0.00899901j 0.0146371+0.00432306j 0.0168394+0.017078j -0.00830285+0.0210677j 0.0202986-0.0296973j 0.0634745+0.0183351j 0.0499469-0.013588j -0.00239552-0.0246476j -0.0291321+0.0298945j 0.0444282-0.00820853j 0.0151275+0.0216749j 0.0589903+0.00535397j 0.0300288-0.0202003j 0.0116703-0.0346028j 0.0190157-0.00772528j -0.019841-0.0100422j 0.0182642-0.0228592j -0.018034-0.047585j 0.0269216+0.0309536j -0.0076572-0.0130374j 0.00555364-0.00455708j -0.000617932-0.033726j -0.0171643-0.00913524j -0.0161104+0.0220577j -0.00109568-0.00235849j -0.0492405+0.0134606j -0.0197369+0.00904762j -0.012394-0.0209659j 0.00509086+0.0277586j -0.0186766-0.0371273j -0.0368434+0.0254456j -0.0117639+0.0928238j 0.020642-0.0366003j 0.00494146+0.061037j 0.0162118-0.0611896j -0.0523575-0.0694826j 0.0163332+0.0460927j -0.03997-0.00295453j -0.0567516-0.0168494j -0.0137513+0.0563596j 
-0.0320955+0.00169002j -0.00262902-0.0349999j -0.0526778-0.0198472j -0.0180496+0.0414245j 0.0368104+0.000209295j -0.0140516-0.0180955j -0.0249494-0.0151274j 0.021803-0.0307137j -0.0052481+0.00555224j 0.0298583+0.0118204j 0.0497985-0.0152111j 0.00107458+0.0153021j -0.0145106-0.00297964j -0.00403471-0.0397797j 0.0120902+0.00620345j -0.021762-0.0327928j -0.0182309+0.018569j 0.0225308+0.0159299j -0.00231589-0.0243945j 0.0170315-0.0378769j -0.00671616-0.0167147j -0.00340531-0.0599603j -0.0376329-0.00501585j 0.0205886-0.0525315j -0.0131802-0.0326523j 0.0028027-0.00204328j -0.0332428+0.00192632j 0.0139206+0.0185124j 0.0227387-0.0144765j 0.0319389+0.0127353j -0.00591955+0.0109193j 0.010215-0.0100845j 0.0262004-0.0254595j -0.0364079+0.000520786j 0.00198343-0.0193914j 0.0194623+0.0173047j 0.0173754-0.00596715j -0.0128069+0.0144594j 0.0286213+0.0166651j 0.00279439+0.00943687j -0.0167875-0.00122556j 0.000565476+0.00303274j 0.000849862+0.0205072j -0.00436516+0.022542j 0.01728-0.00220398j -0.0227138-0.0122739j -0.0197613+0.0168116j -0.00214727-0.0101659j -0.0164011+0.0295003j 0.00465392+0.0529618j 0.0221435-0.011852j -0.0198539+0.0109995j 0.0113486+0.00726102j 0.0379518+0.0208424j 0.00923952+0.0168304j 0.0142939-0.000900353j 0.00851853-0.0231855j 0.0258007+0.0151961j -0.00845758-0.0163667j -0.00584916+0.0160679j -0.0350615-0.00494534j 0.00564523-0.000753122j 0.0285271+0.013625j -0.0111407+0.0162996j -0.00889097+0.0343804j 0.0205265-0.00711646j -0.044499+0.00321328j 0.0271594-0.00642102j 0.0302786+6.28209e-06j -0.0431277-0.0330373j 0.0517622-0.0302279j -0.0167378+0.000375535j -0.0480978+0.0241744j 0.00413983+0.037592j -0.0561834-0.00300048j 0.0107482-0.046638j -0.0476141-0.0114483j 
0.0176607+0.0297042j -0.0286911+0.0183435j -0.00614156-0.00265575j -0.000529555+0.0133832j -0.0268161+0.059211j 0.052649-0.019423j 0.0714527-0.00210813j 0.0276424+0.0472789j 0.0287993-0.0279472j 0.0477853+0.0285519j -0.0155854-0.0298455j 0.00393897+0.0427726j -0.0591373+0.0405047j 0.0733739+0.0547509j -0.00864297-0.0352874j 0.0386312-0.0475841j -0.00560924+0.0385799j 0.0545962+0.0187627j -0.0421754-0.0874814j 0.0826558-0.0812883j 0.0243101-0.0182742j -0.0364364-0.025705j -0.0557725-0.0118337j -0.00933216-0.0698933j -0.025629-0.0378499j -0.00866863-0.0345443j -0.0680817-0.0213623j 0.0138467-0.0162345j -0.0315357-0.012469j 0.0636815+0.0150837j -0.0321546-0.0047656j 0.00831051-0.0186675j -0.0178842-0.00931719j -0.0341983-0.0158358j -0.00582258+0.0062484j -0.00953666+0.0424695j 0.0197474-0.0348057j -0.0404697+0.00752822j 0.0796977-0.0636825j -0.00149094+0.0114673j 0.00479714+0.00991965j -0.0543586+0.0139989j -0.0146172-0.00139283j 0.0266124+0.0249867j 0.0189355+0.0110032j -0.0204228+0.0399539j -0.0144114+0.0259685j 0.0403851-0.0110468j -0.0160693+0.0755535j -0.0367967+0.0472945j -0.0118131+0.0170127j -0.0247679-0.00141915j 0.00185842-0.0363663j 0.0545722+0.0271253j -0.0247163-0.0167478j 0.0586852+0.0911337j -0.0125178-0.0158718j 0.0319786-0.0184361j 0.00442126+0.00653142j -0.0329452-0.000212606j -0.0378383-0.0227996j -0.0451983+0.0173868j 0.0244746+0.00241537j -0.0240766-0.0302594j 0.0377912-0.0454564j 0.0458965+0.0616783j 0.00633633-0.0087162j 0.0253583+0.0580149j 0.0795086+0.00628978j 0.0105594+0.0508712j -0.0483458+0.042436j -0.0950906-0.0474882j -0.0454943+0.0957817j -0.0251778-0.0217933j 0.0171298-0.0119956j -0.0142638-0.0276411j -0.0283421+0.0166085j 
0.0449524-0.019709j 0.0216547+0.0472002j 0.067701-0.00161646j -0.00479726-0.0616737j -0.0671309-0.074763j -0.0423916+0.0615595j -0.00933295+0.0278771j -0.0508404+0.0359041j -0.04513+0.00465188j -0.0434438-0.0899088j -0.118444-0.00590268j 0.0608718-0.0675331j 0.0164815+0.019217j -0.014+0.0130929j 0.0391647-0.00603738j 0.0112551-0.0034614j 0.120528-0.0212568j -0.00936176+0.0416205j -0.0186663+0.0564097j 0.0835353-0.0437145j 0.0547159-0.0491204j -0.00863235-0.051926j -0.0297179-0.0111637j 0.0234196-0.0239967j -0.0343372+0.00333947j -0.051631-0.102636j -0.0200035-0.0739123j -0.0356849-0.067744j 0.0177733+0.0713603j 0.0654348-0.0210739j -0.0174478-0.0334982j 0.0458273+0.0435614j 0.0221525+0.0320918j -0.0162171+0.0438734j 0.0672441+0.0253633j 0.00188939+0.0221881j 0.0459035-0.0265067j -0.0441453-0.0235131j 0.0325786-0.0386344j 0.0258951-0.0521474j 0.00290619-0.0133895j -0.00468401-0.0145983j 0.041616-0.0227615j 0.0115795-0.0165589j -0.00954343-0.056337j 0.0559801-0.04445j 0.0294551+0.0552825j 0.0294822+0.0426357j -0.00470542+0.0480102j 0.0444809-0.0333374j -0.0184255-0.0134805j -0.021723-0.0169188j -0.0181585-0.0638851j -0.0197049-0.0417778j 0.00551701-0.0436499j 0.021843+0.0536654j -0.0469392-0.0344509j 0.00489894-0.00803755j 0.013782+0.0902746j -0.078426+0.0641233j 0.114434-0.0375288j -0.00188054+0.0466433j 0.063342+0.0348174j -0.0748376-0.0933526j -0.0171584-0.0163667j -0.00185399+0.0314409j 0.0240942-0.0130815j -0.0636221+0.0140252j 0.0147745+0.0685681j -0.0158109-0.000227725j 0.0544902-0.0327285j 0.0475851+0.0717198j 0.0311928-0.0486468j -0.0547291-0.094229j 0.0894534-0.0603744j -0.0354392+0.0393748j 0.0351123+0.0360324j 
-0.00318453+0.0215357j -0.0212521-0.000826224j 0.0733058-0.0254126j -0.0242987-0.0689113j -0.0445862-0.0384295j -0.0656399+0.0332473j 0.0356331-0.0610675j -0.0117009+0.0561428j -0.0645106-0.0771561j 0.0692811+0.0255454j 0.0473287-0.0271303j -0.00854274+0.0523843j -0.044521-0.0206159j 0.00297895+0.0163129j 0.013322-0.0701021j -0.00255438-0.0373591j 0.0821945-0.00241626j -0.00161382+0.0253052j -0.038683+0.0120457j 0.0646992-0.0993343j 0.13039-0.0173022j -0.0581216-0.181165j -0.0552377-0.0776326j -0.0204254-0.0925686j -0.0404538-0.0646782j -0.0324755-0.108751j -0.145525-0.0296654j 0.0062808-0.0303123j 0.0484387-0.00566149j 0.0660432-0.0127325j 0.00973817+0.0369745j -0.038589-0.0980467j -0.00137127-0.0335303j -0.0530131+0.00084986j 0.0308724+0.0439791j 0.00595365+0.0329116j 0.0720376+0.00432513j -0.0133446+0.0208382j 0.116137-0.0538704j -0.00425962-0.0645959j 0.0124095-0.0464809j -0.0554211+0.0320032j -0.0317556+0.00385867j 0.0155381+0.0534078j 0.00814335+0.0624354j -0.0124715-0.000734922j -0.040655+0.0916674j 0.00200585-0.00271769j -0.121547+0.120059j -0.043149+0.074329j 0.00336156+0.0069809j -0.0377214-0.0309457j -0.00129179-0.0532187j 0.0337509-0.0138665j 0.0136338+0.0364845j 0.0325927-0.00838747j -0.10533-0.000451678j 0.0631412+0.0635827j 0.00766004+0.103436j -0.0191755+0.0205562j 0.0486134-0.0423309j 0.0183492+0.0210567j 0.0341069+0.0290477j -0.0528926+0.0372231j -0.0204139-0.0488047j 0.106004+0.0434979j -0.0533266+0.0216758j 0.0580123+0.0545083j 0.149639-0.0514827j -0.00342799+0.0345299j 0.0172939-0.0458285j 0.00646262+0.0101253j -0.000845493+0.0257139j -0.0174402-0.110732j 0.117446-0.00960259j 0.00749041-0.0425501j -0.0409676-0.00962122j 
0.0392893+0.0115866j -0.0102429+0.0374286j -0.00927359+0.0367232j 0.0406041+0.00608398j -0.0700539-0.0244034j -0.0374155+0.0870017j -0.0855955-0.0492767j 0.0653887-0.0674638j 0.0688898+0.0480521j -0.0282997+0.0457205j -0.025869-0.0031615j 0.0713999-0.0688816j 0.0107349+0.0936441j -0.00824602+0.019287j -0.0501417+0.0718288j 0.0802446+0.0195434j 0.0860728+0.0239421j 0.0648889+0.0414203j 0.00701183-0.0117713j 0.0753695-0.100513j -0.020705-0.0549644j 0.0380492-0.0327376j -0.00786455+0.00634615j 0.0314479-0.0135167j -0.038059-0.026267j 0.027345-0.0280851j 0.0158456-0.0215004j -0.057313-0.00730089j 0.0375305+0.0298007j 0.0620516+0.0394547j -0.040959+0.00568671j 0.0652367+0.0985006j -0.0463353-0.0300273j -0.0502767+0.0568811j 0.0690957+0.0088404j 0.0439764+0.0107444j 0.0284759+0.00877879j -0.0236978-0.0357787j 0.0611104-0.0267639j 0.00442348-0.0247698j -0.00472166+0.023041j 0.017123-0.0193611j 0.0901942+0.00596876j 0.0467644-0.0410673j 0.00221544-0.0824763j -0.0369295+0.00863045j -0.00219951+0.0337725j -0.00472968+0.016868j 0.0642373+0.0883338j 0.053298-0.0432661j 0.00190503-0.0324941j -0.0384199-0.066269j -0.0207031-0.0600433j 0.082039-0.0315891j 0.0133269-0.0530671j -0.0126824+0.029151j -0.0191671-0.0493189j -0.00522488+0.0469313j 0.0334828+0.00215716j -0.0263461+0.0645699j 0.039319-0.00153475j 0.0295335-0.00531472j -0.0217298+0.0405841j -0.0662626-0.0024443j -0.0390162+0.0146746j -0.0324447-0.0171886j 0.0697147-0.0546958j -0.0352651+0.150037j 0.0829166+0.0839708j 0.066351-0.0339252j 0.068028+0.054483j 0.0332391+0.0185464j -0.0451403-0.0769558j -0.0136403-0.0175698j 0.00271692-0.0188703j -0.0693342-0.0205684j -0.0206152+0.0731655j 
-0.0287921-0.0683488j 0.0642961-0.029151j -0.0922286-0.000148172j -0.0173921+0.087984j 0.106445+0.00467064j 0.045541-0.106305j 0.0439777+0.0765299j -0.0121846+0.00984058j 0.00162672+0.133294j -0.0357124-0.0744185j -0.0221002-0.0958866j 0.0495802+0.0788368j -0.0966218+0.0340844j 0.004594+0.0399423j 0.072417+0.0149299j 0.0255811-0.102113j -0.0423503+0.0658359j 0.133234+0.0132018j -0.0533282-0.110387j 0.0342162-0.0664929j -0.0223123-0.0775043j -0.081493+0.0123238j -0.134404+0.0223175j 0.0763189-0.0898379j -0.0622884-0.0398206j -0.0206967-0.0462376j -0.0369782-0.120055j 0.0293509+0.026226j -0.0181345+0.0274905j 0.0689709-0.00859621j -0.117667+0.0349797j 0.0667898-0.034436j 0.105728+0.0342524j -0.0545051-0.0326849j 0.0530567-0.0589602j 0.00330739+0.113684j -0.0146435-0.052444j -0.019253-0.0334796j -0.00988599-0.0565372j -0.00262581+0.019429j -0.0208399+0.0459442j -0.016655-0.0137202j -0.0264439-0.0572767j -0.073258+0.0262753j 0.0787592-0.13775j 0.0172687-0.0803382j -0.00893625+0.0261459j -0.0160628-0.0158424j 0.0212968+0.0128814j -0.00919202+0.0994844j -0.0343879+0.0382991j -0.122925+0.0357253j 0.0233399+0.0195162j 0.112708+0.0819619j 0.0268615-0.0114776j -0.0105431+0.075664j 0.133283-0.0642008j -0.0427575-0.0787052j -0.0209919-0.0941122j -0.100746+0.0771453j -0.0723645-0.0403771j -0.0770286-0.00128211j 0.150968+0.0339474j -0.0194455-0.0879017j 0.0781766+0.102631j -0.0717423+0.0017444j 0.0380046-0.0156186j 0.00706655+0.0154131j -0.00554415+0.0593831j -0.134092-0.0438365j 0.0471779-0.0337492j -0.127485+0.016911j 0.015894+0.168111j -0.0627225+0.0868673j -0.0833527-0.0499748j 0.0405602-0.0239367j -0.0208023-0.0444292j 
