-0.00398731+0.00364871j 0.00780719-0.000908748j 0.00307531+0.00226377j -0.0129748+0.00428507j 0.00901683+0.000176958j 0.00685129-0.00410938j -0.0049369+0.00309312j -0.0101867-0.000430528j 0.00122198+0.000243275j 0.00222059-0.00183977j -0.00640227+0.00285863j -0.000487292-0.00177268j -0.00162501-0.000988707j -0.00445097-0.00231009j -0.00193144+0.000936163j -0.00889424+0.00222339j 0.00795802-0.00142963j 0.000914301+0.000635813j 0.000507596-0.000550042j 0.00109143-0.00373586j -0.00169122+0.000455866j -0.00449046+0.0012517j 0.000931783+0.00113753j -0.00738497+0.00315953j -0.000773959+0.000282462j 0.00790308-0.0033103j 0.0108075-0.00189731j -0.000703869+0.00117397j -0.007745+0.00270882j 0.00587948+0.000529142j 0.00769552-0.00493697j -0.00319576-0.00399376j -0.00278926-0.00237684j 0.0100836-0.00181526j -0.000556028-0.00308192j -0.0025361+0.00249992j 0.00743009-0.00147235j -0.00966085+0.000950459j 0.00656396-0.00716271j 0.00657681-0.000499051j 0.00607012-0.00145993j 0.00327362-0.00102991j -0.00253191+9.21015e-05j 0.00298436+1.4972e-05j -0.00654483+0.000496082j 0.00573152-0.00361447j -0.00892234+0.00418493j -0.00528147-0.000270074j 0.00123547-0.0019959j -0.00448031-0.00469892j -0.00288641+0.00158658j -0.00623557-0.00336353j -0.0102094-0.001849j 0.00755636+0.00138115j 0.00266229+0.00270885j -0.00433929-0.000672044j 0.00103822+0.00401216j 0.00550211+0.00332737j 0.00101309+0.00366076j -0.00519377-0.00147772j -0.0100467-0.00254122j 0.00619141+0.0045992j -0.000259187-0.00485859j 0.00129237-0.00120091j 0.0043858-0.00279381j 0.00335578+0.0014657j 0.00122135-0.00605771j -0.0143154-0.0088571j -0.00522928+0.00174893j -0.00925945-0.00793438j 
0.00619438+0.000732799j 0.0106646-0.00574926j 0.00528431+0.000158127j -0.00500848+0.0023361j -0.0012091+0.000206536j -0.00203185+0.000149951j 0.00614952-0.00179007j 0.000309397-0.00148885j -0.00336894-0.00100759j -0.00264937+0.00271073j 0.00213051-0.00150605j 0.0170834-0.00347767j -0.00443095+0.0034786j 0.00348192-0.00131772j -8.07261e-06-0.0019951j 0.00457693-0.00119954j 0.00225933-0.00327534j -0.00423561+0.00105404j -0.00271998-0.00206649j 0.000367684-0.000569017j -0.004349+0.00223789j -0.0021584-0.00282724j 0.000525923+0.00192629j -0.00988816-6.47111e-05j -0.00188389-0.00157126j 0.00572415-0.00124927j 0.00430176-0.00259082j -0.00616047+0.006542j 0.00286123+0.000205603j 0.00371302-0.000756644j -0.0138972+0.000287922j 0.00278287-0.00177286j -0.0047486+0.00434822j 0.00593151-0.00115145j -0.00271691-0.00412846j 0.00175773-0.000143629j -0.0103157+0.00189209j 0.0115157-0.000357755j -0.00065231-0.000969809j -0.00676577+0.00194153j 0.003136-0.00410958j -0.00633547+0.00192479j 0.00280283-0.000195838j 0.00180312-0.00535385j -0.0114163+8.71143e-05j -0.0106741-0.00210935j -0.000766433-0.00157561j 0.0031196-0.00193767j -0.0058242-0.004605j 0.00812647-0.00244356j -0.0126111-0.00182033j 0.00185218+0.00310184j -0.00153874-0.00265174j -0.00606157+0.00209872j -6.56611e-06+0.000341643j -0.00922953-0.00386378j -0.0105529-0.00323673j 0.00538983+0.00053639j -0.000409096+0.00347826j 0.00749508+0.00483012j 0.000273091-0.00571905j -0.00188692+0.000694823j 0.00403485+0.0058069j -0.000658111+0.00360328j 0.0014667+0.000495281j -0.0111555-0.00583192j -0.000609822-0.00234945j 0.000181164+0.0010568j 0.00734476+0.0081392j -0.0113008-0.00273071j 
-0.00827399+0.00137714j -0.00814231+0.00540179j 0.00205657-0.00286026j 0.00497773+0.000109498j 0.00615476-0.00312369j -0.00187864-0.000396192j -0.00592253+0.00258615j 0.00392797+0.000204126j 0.00669895-0.00183531j -0.00433705-6.80255e-05j 0.00131968-1.72053e-05j -0.00731546+0.00158671j 0.00115954-0.0013525j 0.00502516+0.000110539j -0.00537721+0.00203324j 0.000232847-0.000262803j -0.00485673+0.00357965j -0.00446398+0.000457386j 0.000479618-0.00235632j 0.00800552-0.0020631j -0.015083+0.00461454j -0.00332693+0.00297255j 0.00523361-0.00435657j -0.00183158-0.0015718j -0.00239256+0.00250295j 0.00481003+0.000911367j 0.00386924+0.00274652j 0.00837407-0.00163926j 0.00326808-0.000801437j -0.00073834+0.00280736j -0.00396245+0.00370737j -0.00143697-0.000147549j -0.00441963-0.000101059j 0.0116532-0.00262714j -0.00168247-0.00598772j -0.0155737+0.00113932j -0.00272769-0.000675529j 0.00295515+0.000768857j -0.00721276-0.000869364j -0.00420204-0.00241226j -0.0023209+0.00279787j -0.0106305-0.00143251j -0.00484753-0.00237507j 0.0184534+0.00340942j -0.00395063+0.00211234j -0.00918872+0.0023849j -0.000129281+0.000473608j 0.00352881+0.00362451j -0.00558282+0.00267757j -0.00524817-0.00296765j -0.0031517-0.00156648j 0.00425036-0.000275421j -0.00642736-0.00434659j 0.00732534+0.00170095j 0.000225489+0.000789987j 0.00882801+0.00354052j -0.00789406-0.00222135j 0.00116002+0.0034963j 0.00479674+0.00327419j 0.000749626-0.000385658j -0.00246517+0.000237276j -0.00134067-0.00476692j 0.0032843+0.00171859j -0.0100109-0.00437598j 0.0023493+0.000982662j 0.00126045+0.00150742j -0.0088819-0.00129769j -3.88537e-05+0.00365411j -0.00800716-0.0055624j 0.00716408+0.00115538j 
-0.00355303+0.000424944j -0.0035371+0.00251445j -0.00281732+0.00153377j -0.00175518-0.000190445j -0.00496118+0.00250941j 0.00574678+0.0022756j 0.0084791-0.00235357j -0.00776903+0.00431208j -0.00581998+0.00422636j -0.0057025+0.00306531j 0.00631013+0.000120019j -0.00543463+0.00265056j 0.00879642-0.00325507j -0.00698663+0.00132682j -0.00610429+0.00192323j 0.00219201-0.0034367j 0.00152453-0.000773739j 0.00940875-0.000880755j 0.00244638-0.00124115j -0.011949+0.00221652j -0.0107356+0.000216002j 0.0061834+0.0023675j 0.00458041-0.00268057j -0.00666256+0.000248135j -0.00608205+0.00188684j 0.00261701-0.00313751j -0.000872557-0.000164579j 0.000669039-0.000374269j -0.0091359+0.00267024j -0.00551534-0.0011184j -0.00497498-0.000985681j 0.00697393-0.000749888j -0.00222114+0.00118179j -0.00636819+0.00265809j -0.00795334-0.0164176j -0.000701703-0.000296699j 0.000272809+0.00165909j 0.00112097-0.00056226j 0.00814007-0.000190983j -0.00270205+0.00157359j 0.0100756-0.00143135j -0.00600172-0.000972403j -0.00450695-0.0019428j -0.00564511-0.00119294j -0.00570207-0.00327812j 0.00657019+0.00176508j 0.00293238+0.00107862j 0.00642251+0.0035779j -0.00538333+0.00342425j -0.00832776-0.00190971j 0.00488646+0.000558969j 0.00241342+0.00312007j -0.00671929-9.59449e-06j -0.00751529-0.00191765j 0.000365119+0.00249977j -3.62107e-05-0.000503497j -0.00588315-0.00268755j -0.00979008-0.0050011j 0.0114724+0.00381581j -0.00318733+0.000880318j 0.0047965+0.00129854j -0.00175492-0.00275338j -0.00583909-0.00496451j 0.0099459+0.00323985j -0.00587469+0.00267514j -0.00704498-0.00254911j 0.000861733-2.45561e-06j -0.00265235-0.00184411j -0.00319651-0.00245718j 0.00258746+0.00034537j 
-0.0076217+0.00213888j -0.00451486+0.00376629j 0.00355726-0.00365086j 0.00367756+0.000469787j 0.00621969-0.00198997j -0.00177511-0.000608833j -0.0101878+0.00416233j 0.0020837-0.00263748j -0.00504564+0.00308924j -0.00103069+0.00270711j 0.00255004-0.00141412j 0.00632721-0.000951595j -0.00305402+0.00305891j -0.00192685-0.000498197j -0.0137395+0.00447831j 0.000135743-0.000299204j 0.0139266-0.00382421j 0.000950307-0.00107294j 0.00195764+0.00196871j -0.00641878+0.000589657j -0.00127067-0.00186039j 0.00142714+0.000563372j -0.00183427-0.000542478j -0.00363671-0.000865499j 0.00682585+0.00139651j -0.00638325+0.00264032j -0.0175192+0.00364455j -0.00300312-0.00124489j -0.00535047+0.0024815j 0.0108863+0.00289363j -0.00181917+0.00174291j -0.00915985-0.00102406j -0.00177052-0.00068928j -0.00545881-0.00142659j 0.00204712+0.00399793j -0.00672178+0.000768769j -0.00984106-0.00117318j 0.00264207+0.00122188j -0.00111963-0.00271602j 0.00179788-0.00213124j 0.0051098+0.00112065j 0.00869981+0.00333299j -0.00871349-0.0018566j -0.00684316+0.0015396j -0.000702061+0.00238686j 0.000421349+0.00136872j -0.00672061-0.00213552j 0.00264384+0.00236198j 0.00351411+0.00189677j -0.00144286-0.00344127j -0.0125666-0.00275482j -0.000519191+0.00126274j 0.00724005+0.00063912j -0.0133347-0.00638941j -0.00119614-0.00137758j -0.00617861-0.000995973j 0.0063014-0.00133049j -0.00054489-0.000809587j 0.00981754+0.00209806j 0.00299634+0.000201562j -5.63241e-05-0.00200797j 0.00878424+0.00275522j 0.00701399+0.000202842j -0.00362681-0.00166452j 0.00384714+0.000406835j 0.00153723+0.00267549j -0.0070391-0.00081295j 0.000445784+0.0019672j -0.00623658-0.00341733j 0.00315717-0.000152858j 
-0.00990018+0.00457088j 0.000257789+0.00322447j 0.00982188-0.00356266j -0.00254134+0.00390749j 0.00152011-0.00026982j 0.00326387+0.00106062j 0.00388039-2.25339e-05j -0.00115825-9.46053e-05j -0.00393651+0.00151527j -0.0123761+0.00492065j 0.002379+0.00020673j 0.00294216-0.0014875j 0.00796168-0.003682j 0.00640439+0.00131402j -0.00292318+0.000343318j -0.00234184+0.00209642j -0.0086167+0.00326444j -0.0120704+0.00406654j 0.00141379-0.00185612j -0.0100973+0.000930237j 0.00449737-0.00366383j -0.00232594+0.00338258j 0.000563427+0.000441799j -0.00622049-0.00275624j -0.00401718+0.00182926j -0.0143828+0.00127027j 0.00927753+0.00074359j -0.00263191+0.000383222j 0.00660998+9.67479e-05j 0.00407069+0.00138984j -0.000147922-0.00139855j -0.0023245-0.00432471j 0.00312538+0.000297374j -0.00256781-0.000152741j 0.00232386+0.00746509j 0.00955833+0.00229583j 0.0153271+0.00336423j 0.00710765-0.000619673j 9.04832e-05-0.00325919j 0.000906435-0.00138068j 0.00402353-0.000942146j 0.00440813+0.000715025j 0.00065259-0.00258619j 0.0111384+0.00110852j 0.0138251+0.00338274j -0.0015543-7.78435e-05j -0.00779626-0.00290547j -0.00298117+0.000140037j -0.00536945+0.000342837j 0.0107232+0.00290154j 0.00721037+0.00313539j 0.000772919-0.00182015j -0.000367428+7.38427e-05j -0.00586324-0.00182122j 0.00341342+0.00124068j -0.00258765-0.000667521j 0.000372735-0.00307402j -0.00377925+5.59377e-05j 0.00157422+0.00337948j -0.00493561-0.00135487j 0.00207615+0.00207574j -0.00407751-0.00246j 0.00511177-0.00113361j 0.00441411+0.0010027j 0.00318981+0.00321727j -0.00770784-0.000946495j -0.00909382-0.00296314j -0.00261456+0.000675298j -0.00701196-0.00233004j -0.000517989-0.00199981j 
-0.00188762+0.00266097j 0.0044242-0.00110346j 0.00925151-0.00533208j 0.00322199+0.00151197j -0.00944281+0.00298234j 0.000212855+0.00191801j -0.00230798-0.00112595j 0.00531486-0.0054115j -0.00638665+0.00344046j -0.00496601-0.000449866j -0.00842374+0.00327958j -0.00247978+0.00222867j 0.00104469-0.000300937j -0.0116185+0.00505466j 0.00189382-0.000792175j -0.00234479+0.00104713j -0.00861987-0.00070024j -0.00234552-0.00097774j 0.00620328-0.00368512j 0.00814897-0.00254561j 0.00714653+0.000317386j 0.00763682-0.000507921j 0.00742653-0.00127061j -0.00412041-0.00107548j 0.0137025+0.00148541j 0.0063367+0.000779627j -0.00492092-0.0017864j -0.000691175-0.000102448j -0.0104627-0.00129825j 0.000159502-0.000746272j -0.00953523-0.0013905j -0.00652365-0.00240579j 0.0152224+0.000664638j 0.0131218+0.00108819j -0.00166768-0.00551778j -0.00277244+4.66464e-05j -0.000726087+0.00015018j -0.00483224-0.00439977j 0.00345809-0.000983826j -0.0160377-0.00416146j 0.000835035-0.000304948j 0.00615577+0.000654005j 0.00127529+0.00301194j 0.00276784-6.43003e-05j -0.000284494+0.00108389j 0.00256847+0.000169205j 0.0046038-0.00391985j 0.00186667+0.00106305j -0.000295887-0.00178237j -0.00982042-0.00201395j 0.000217369+0.0015428j -0.0019387+0.000923064j 0.00366242+0.00111881j -0.00289912+0.000197512j 0.0085319+0.00340866j 0.00274684-5.30139e-05j 0.0056182-0.000163036j 0.00141935+0.00189277j -0.0095192-8.85348e-05j -0.00738624-0.00219808j 0.00596595+0.00286382j -0.00175793+0.000190524j 0.00573981+0.000422073j 0.00528287+0.0015151j 0.00533829+0.00208773j -0.00323433+0.000312034j -0.00517519-0.00104586j 0.00202022+0.00153932j -0.000867795+0.000645444j -0.00244858-0.000983883j 
-0.00508189-0.0118263j -0.00266618+0.000687398j -0.00512055-0.0108781j -0.00199763-0.00866577j -0.00329656-0.00236436j 0.00348027+0.00402223j -0.00178734-0.0108858j 0.00329612+0.000635475j 0.00154609-0.0035656j -0.000173556-0.00150841j -0.00176447-0.00156968j 0.00286988-0.00229298j 0.000282803-0.00408763j 0.00102902+0.000728251j 0.000866075+0.00105413j -0.00126282+0.00526744j 0.00282568-0.00162816j -0.000146311-0.0033165j 0.00356883+0.00144916j 0.00182152+0.0093214j -0.00315688-0.00716418j -0.000237885-0.00342226j -0.000166377+1.24307e-05j -0.00206034-0.00185491j 0.00134506-0.000339718j 0.00144638+0.00222014j 0.00506467+0.00400802j -0.0046011-0.00685325j -0.0031728-0.00221136j 0.00189237-0.00205073j 0.00224812+0.00299633j 0.00133802+0.00516852j -0.00215146-0.00108273j 0.00186615-0.00208233j -0.00804167+0.00631912j -0.00117031+0.00304916j 0.00360941+0.0052018j -0.00118267-0.00106898j 0.006522+0.0143333j -0.00136594-0.0109175j 0.00445048+0.00413124j 0.000881078+0.0056921j 0.000708523+0.00210218j 0.00347344+0.00214307j -0.00240461-0.0122412j -0.00155949+0.00774707j -0.00666432-0.00164092j -0.00302358+0.00209039j -0.00209864-0.00124068j 0.000311774+0.0131626j -0.0031639-0.00707937j 0.00430915+0.000310839j -0.00234156+0.00586574j 0.00152489-0.00233176j 0.00714586+0.00292644j -0.00584471+0.0054856j 0.00802087-0.00475319j 0.00309583-0.000117079j 0.00756931-0.00978245j 0.0066855+0.00247721j -0.0153921+0.00481243j -0.0012785+0.00129463j -0.00213719-0.00315969j 0.0062991+0.00066377j -0.00330407+0.000176765j -0.00415105-0.00190345j -0.012791+0.0100828j -1.50583e-05+0.00736268j 0.0146854-0.00817341j -0.00555768+0.0124117j 
-0.00441173-0.00265545j 0.00557743+0.0111549j -0.000975444+0.00267663j -0.00219424-0.00443191j 0.00217588+0.00574242j -0.00154782-0.00761533j 0.00115783+0.00369175j -0.000473292-0.000317231j 0.00228172+0.00507978j -0.0035704-0.00941363j 0.00152379+0.0097806j -0.00125285+0.00449739j -0.00450203-0.00709533j -0.0026003-0.00510364j 0.00362135+0.00625385j 0.000143983-0.00401563j 0.000957083+0.00388689j 0.000218348+0.00673451j 0.000281457+0.00521714j -0.000210531+0.00139941j 0.00033383-0.00720521j 0.00410841+0.00247739j -0.00171689-0.000697337j 0.00239005-0.000646608j 0.00346133+0.00369915j -0.000640132-7.8464e-05j 0.00154162-0.00149383j -0.00485788-0.00643045j 0.00033613+0.000551502j 0.000538329-0.00226015j -0.00139756+0.000493641j -0.00115995-0.00216936j -0.000959178-0.00666276j 0.00278177-0.000512604j -0.000390379-0.00411527j 0.00338912+0.00535832j -0.00637375-0.00409016j 0.00295984-0.00498286j -0.00275016-0.00447771j -0.00329389-0.000566599j 0.000225171+0.0066778j -0.0012857-0.00228109j 0.00405269+0.0135044j 0.000946249+0.0115807j -0.00209749+0.00606527j -0.00322401+0.000480419j 0.00102403+0.0185719j 0.000675515+0.00802611j -0.00401163+0.00540699j 0.0106592+0.00258979j 0.00142026+0.00212883j 0.000171456+0.000372291j -0.00111487+0.00993155j -0.00253267-0.0025567j -0.00417666-0.000388674j -0.00953473+0.00428314j -0.00101166+0.0121454j -0.00319736+0.00488762j -0.00917008+0.00203354j 0.000895912-0.0025491j -0.00664729+0.00337481j -0.00632336-0.00811845j 0.00811943-0.0105305j 0.0111043-0.00271841j 0.00624129-0.00655468j 0.000701701+0.0114857j 0.0057398-0.00296j 0.00718862-0.00564638j 0.00647966-0.014099j 0.0118717-0.00510154j 
-0.00395668-0.00582289j 0.00316808+0.00869643j -0.00339825-0.00900265j 0.00216704-0.00205144j -0.00243838-0.00545156j -0.00174657-0.00488515j 0.00170385-0.00315496j 0.00378951+0.0055543j 1.80574e-05-0.00895907j -0.00172532-0.0013426j 0.000974128+0.00341861j 0.00267886+0.00604979j -0.00182505-0.00319379j 0.00198025+0.00323415j 0.0017581-0.000200945j -0.000624623+0.00233599j 0.00175627-0.00162367j -0.000519009-0.00124337j -0.00271524-0.010671j 0.000565975+0.00306488j 0.00247021+0.00506074j 0.00205448+0.00227602j -0.00258478-0.00561379j -0.00284892-0.000124543j 0.00154792-0.00191416j 0.0027284+0.00425752j 0.004175+0.00562729j -0.00217565-0.00343215j -0.0023565-0.00119191j 0.00155431+0.00309625j 0.00510134+0.0115023j -0.000746251-0.00429385j 0.00184031+0.00378924j 0.00143421+0.00621148j 0.0105133-0.00729292j 0.00467053+0.00915025j -0.00106327-0.0076705j 0.000614664+0.00429607j 0.00286715+0.00405778j 0.000736586+0.00387225j 0.000357769+0.00883292j 0.00096323-0.00722026j -0.00278003-0.0112733j -0.00666612-0.00560862j -0.0020592+0.0136247j -0.000200149-0.00355478j 0.00331115-0.00401656j -0.00290657-0.0115066j -0.00544056+0.021753j 0.00298169-0.0144352j -0.0013109+0.0055345j -0.00447837+0.00541726j 0.00226521-0.00581886j 0.000598581+0.00518658j 0.00185445+0.00356636j -0.00307186+0.000868328j -0.000464948-0.000451453j -0.000574379+0.00499667j -0.00899206+0.00579448j -0.00389358+0.00721921j -0.000312857-0.00171566j 0.00915253-0.0099283j -0.00958367+0.00189253j 0.00326934-0.00496191j -0.00127407-0.00288821j 0.0016893-0.0054942j -0.00347363-0.00412605j -0.00828086+0.0125808j 0.00622261-0.00969458j 0.00301688-0.00105549j 
-0.000455861+0.00200022j 0.00342337+0.00596894j -0.00332646-0.00829802j 0.00375568+0.00299719j -0.000879839-0.00539195j -0.00506863-0.0101326j 0.00166109+0.00587457j -0.00257726-0.0041734j -0.0017357-0.00772928j -0.00150397-0.00296355j -9.74293e-07+0.0015705j -0.0038331-0.00151186j -0.000790069-0.00508761j -0.000511231-0.000901038j 0.0014832+0.00206899j 0.000941659-0.00074072j 0.00115919-0.00137486j 0.000435637+0.00719218j -0.00212086-0.00299485j -0.00204439-0.00416522j 0.00403223+0.00880856j 0.00147792-0.000890214j -0.00253538-0.00422999j -0.000644547+0.00265882j -0.000387538+0.00136496j 0.00451654+0.006888j 0.00156011+0.003901j -0.00432204-0.00603293j 0.00156108+0.00707968j 0.00103656+0.0144458j -0.00188267-0.00468913j 0.00318589-0.00167655j -0.00213761-0.00492881j -0.00420051-0.0201285j 0.00624763-0.0031351j 0.00219706-0.0165855j -8.76929e-05+0.0159345j -0.000669808-0.0036325j 0.00198145-0.011005j -0.00282535-0.00820128j 0.000222121-0.00301749j -0.00113491-0.00202621j 0.00179803-0.00731916j -0.00722354+0.00928835j -0.00153691-0.0093074j -0.00100196+0.0175489j 0.00550156-0.0151073j -8.33274e-06-0.0045557j 0.00305197-0.0220246j -0.00388966+0.00442689j 0.00436201-0.011254j 0.00225717-0.00566529j -0.00390363+0.00286272j -0.00050285+0.00654511j 0.000214819+0.0012j -0.00493544+0.000992438j -0.00472731-0.000217758j 0.000122633-0.00297975j 0.000655351-0.00332152j 0.00307031-0.00934059j -0.00252938+0.00218661j -0.00224718+0.00217775j -0.00310228+0.00635772j 0.000862308-0.00171305j 0.00577313-0.00726854j -0.00213564+0.00821378j -0.00206068-0.00349897j -0.0059128+0.0126801j -0.00050291-0.00273305j 0.00383101-0.00493563j 
