-0.112399+0.257969j -0.261712-0.103802j -0.0814948-0.210946j 0.169108-0.0519875j -0.0524763-0.102085j 0.113068-0.0857397j 0.201007+0.0738545j -0.0637957+0.143182j -0.00752052+0.0149059j 0.181932-0.0739367j -0.0663092+0.0152003j -0.0182424+0.0608261j 0.0103563-0.0826604j -0.00425267-0.075734j 0.0416382-0.0747503j 0.158454+0.11267j -0.0443736+0.0836845j 0.00518153+0.0119721j 0.0825937-0.0394813j -0.145375-0.113783j -0.0136868+0.0377843j -0.00561475+0.121619j 0.074389+0.110367j 0.0701389-0.0848374j -0.0175801+0.0924728j -0.0712599-0.0430667j -0.00575728-0.00597816j 0.00216447+0.0483326j 0.00840517-0.0814167j 0.0273305-0.0324719j 0.00607633+0.0348347j 0.0447128-0.106016j 0.0354157+0.0720856j -0.0813475-0.0288821j 0.0071351-0.0191616j 0.0102971-0.161833j 0.0568303-0.00394764j -0.0890626+0.0814086j 0.0408011-0.0490827j -0.00482268+0.030637j -0.083176+0.0297884j 0.0120895+0.0264016j 0.088957-0.0337049j 0.121239-0.0309088j 0.0309169+0.0133868j 0.00578433+0.0287853j 0.0633355+0.0375732j -0.0194925+0.0822721j -0.129992+0.0594749j 0.056566+0.0995519j -0.0287101+0.00020301j 0.090443+0.0673179j -0.0851137+0.157295j 0.142412+0.0712011j 0.2784-0.0361402j -0.0366429-0.278933j 
-0.112848-0.10226j 0.106002-0.115642j -0.240288+0.133518j -0.109091-0.23637j 0.0499228+0.0715274j 0.0880357-0.18486j 0.23155+0.120705j -0.0427281+0.0949811j 0.06325+0.116533j -0.128435+0.145407j -0.00916297+0.0290878j 0.0201818-0.178657j -0.01234-0.093314j -0.0622569-0.0120206j -0.115778-0.0187147j -0.0556776+0.0935165j -0.00629902+0.0598228j -0.124885+0.0066669j -0.0481-0.0462659j 0.058068+0.0473333j -0.133732+0.0748923j -0.0782773+0.0246818j -0.110695+0.0166226j 0.00681656-0.0829995j 0.0722859+0.00402104j 0.0365467+0.0297288j -0.0691065-0.00291611j -0.0143917+0.0318217j 0.0127846-0.0130109j -0.0289216-0.0436215j -0.0477142+0.0527228j 0.171664+0.0595574j 0.0334379-0.0294358j -0.0291706+0.0334863j -0.0464603+0.0137269j 0.00885459+0.0725602j -0.0642453-0.0642937j -0.092147-0.0441545j 0.0145925+0.0289538j 0.0379065-0.0183978j -0.0358043+0.0494138j 0.117626+0.092396j -0.00520989+0.111798j 0.0540258+0.113288j -0.0247544-0.0238183j -0.0135954-0.00857203j -0.122584+0.117004j 0.0290122+0.0330239j 0.0416273+0.230253j 0.219629+0.0621346j -0.115151+0.0985114j 0.0864772-0.114866j 0.0848723+0.187502j 0.17343-0.0715462j -0.0980583+0.138196j 0.137751+0.0983152j 
-0.0240536+0.0178041j -0.0198896-0.0217254j 0.0220394-0.0301591j 0.0132879+0.0286908j -0.0222473-0.0359054j 0.0269659+0.000305629j 0.0358563+0.016764j -0.0231706+0.02704j -0.00902982-0.00726469j 0.0597441-0.0205989j -0.0186918+0.00382895j -0.00839174+0.021985j 0.00665879-0.0210297j 0.00305285-0.0127924j 0.012663-0.0157138j 0.0325673+0.0334592j -0.00659664+0.0115511j 0.00467-0.00973164j 0.0192057-0.0173709j -0.0391696-0.0346691j 0.00533212+0.00771232j 0.000543629+0.0158254j 0.0167758+0.0261595j 0.00661581-0.0149613j -0.00761237+0.0187243j -0.0160799-0.00567719j 0.00453123-0.00744789j 0.00265457+0.0017652j 0.0146755-0.0252853j 0.00709869+0.00220089j -0.00647021+0.0132766j -0.00495928-0.0319505j -0.0044789+0.0122072j -0.0291501-0.00256631j -0.00127913-0.00640911j 0.00205369-0.0327492j 0.0154469-0.00720356j -0.00107627+0.0228711j 0.00410652-0.0149566j 0.00632103+0.0161571j -0.0179171-0.00104817j 0.00775217+0.000128268j 0.0123232-0.0152369j 0.0135431-0.00535783j 0.0107068+0.00704083j 0.00331309-0.0082975j 0.0129083-0.0143417j -0.0110934+0.0183575j -0.0327281+0.00532654j 0.00153171+0.00948446j 0.00855976-0.00822859j 0.0150283+0.0146591j 0.00961551+0.0234941j 0.0219544-0.0151918j 0.0211337-0.0336194j -0.0342253-0.0211632j 
0.0201638-0.00668825j 0.00760343+0.0204026j -0.0082365+0.00775445j -0.00290186-0.000813036j -0.0305976+0.0362267j 0.0389965+0.0100866j 0.00755499+0.0204871j 0.00608265+0.0223923j 0.00339912+0.0145368j -0.0129725-0.00618786j 0.00750211-0.00798516j -0.017466-0.0201921j 0.00510242-0.0242442j -0.0170759-0.0120164j -0.00236338-0.00495019j -0.00747777+0.0263763j -0.0210793+0.00484028j -0.0135371+0.00589741j -0.00506756+0.00308533j 0.00983402+0.00824465j -0.0126832+0.00967747j -0.00342977+0.0158566j -0.00993176-0.00649242j 0.00193038-0.00267359j 0.0131078-0.00399107j -0.00166489-0.0074366j -0.0167581+0.0081105j -0.0161885+0.00280755j 0.0115566+0.00866413j 0.0107896-0.00266795j -0.0144417-0.00129549j 0.0166835-0.00346878j 0.0032391-0.00983116j -0.00467208+0.00726077j -0.00450455-0.0099656j 0.00805329+0.00160824j -0.0212676-0.00357833j -0.0132428-0.0163593j -0.00123357-0.00528517j -0.0021492-0.0023556j 0.0103119-0.0165942j 0.00899263+0.00624796j 0.00575131+0.0172143j 0.0164939+0.027868j -0.0153808-0.00805891j -0.00527032-0.0115222j -0.028414+0.0163415j 0.000165135-0.000898142j 0.0138388+0.024365j 0.00482545-0.0181057j 0.0143111-0.00357388j 0.00332044+0.00148466j 0.0103108-0.0174558j -0.0199182-0.0104154j 0.0227163-0.00925773j -0.0090221-0.0222728j 
-0.00480535+0.0184585j -0.0188702-0.00498623j 0.0131164+0.0334965j -0.0337472+0.0106852j 0.016394+0.0154893j 0.0285357-0.0162808j 0.00423905+0.0229817j 0.00990488+0.00233251j -0.00955387-0.0157433j -0.0147161-0.0256484j 0.0285712-0.0400833j 0.00170554-0.0153574j 0.0467921+0.00534069j 0.00738774+0.00652849j 0.00240411-0.00130086j 0.027635+0.00193003j -0.00306882-0.00209671j -0.012329-0.00550923j 0.00526036+0.0125119j 0.0094624+0.00418672j -0.00753795-0.0159193j 0.0158715-0.00783701j 0.0188121+0.0199976j 0.00749163-0.00304968j -0.00268645+0.00856601j -0.00105224-0.0027622j -0.00100314-0.023759j -0.0209924-0.0100146j 0.00141692+0.00853611j 0.00528427-0.0212767j -0.00504929-0.00790305j -0.00651133-0.00763195j 9.43747e-05+0.0118326j -0.000621303-0.0073544j 0.000227365-0.00664805j -0.00459005-0.0192624j 0.0175051-0.00474417j 0.00160631-0.0221533j 0.00500025-0.00707746j -0.00964174-0.0202211j -0.00693501-0.0289293j -0.0286199+0.0150253j -0.014169+0.00219906j 0.00948101-0.0251j -0.0228773-0.00721088j 0.0264976+0.00516175j -0.0245692+0.00475377j 0.0129711-0.037988j 0.0244569+0.0043188j -0.0294246+0.00850706j -0.0226367-0.03874j 0.0225948-0.0250972j 0.0249041+0.0131712j 0.0121388-0.022529j 0.00133799+0.00936156j 0.00928514-0.00142352j 
-0.0121455+0.0143496j -0.0145328-0.0131487j -0.0149621+0.000882934j 0.000308869-0.0212505j 0.0331254-0.0118558j -0.0250004-0.0232942j 0.00035457-0.0101931j 0.00404361-0.0121414j 0.000748857-0.00375764j -0.0158117+0.0112995j 0.00427224+0.00140821j 0.0223071+0.00436996j -0.00431995+0.0251593j 0.0133139+0.00932916j -0.00336355+0.00629963j 0.00453847-0.0310289j 0.0157161-0.00342404j 0.00190529+0.00260465j -0.00317255+0.00494626j 0.00509833+0.00616503j 0.00115979-0.0103221j -0.00104195-0.0101219j 0.00335277+0.00138406j 0.00432375+0.0025979j -0.00783297+0.00227699j 0.00578707+0.00590858j 0.00678757-0.0071249j 0.00747736-0.00163236j -0.0216167-0.00185295j -0.0110209-0.00692104j 0.0157167-0.0028219j -0.00198687+0.0152677j 0.00515058+0.00807637j 0.0161629-0.00263666j 0.00353465+0.00944515j -0.0057128+0.00393444j 0.00996459+0.0024809j 0.00263441-0.00125739j 0.00446863+0.0122618j -0.00440145-0.00932352j -0.00738013+0.0128467j -0.0110834-0.00153102j -0.00852771+0.000489878j -0.00624547-0.0214885j 0.00364116-0.00243952j 0.004251+0.0138979j 0.00997063+0.00818204j 0.00583228-0.00843733j 0.00571461-0.0104566j 0.00190224+0.0153561j -0.0212639+0.00657155j -0.00199799-0.00586885j -0.0234339+0.02205j 0.0211099+0.0226415j 0.00486375+0.0215292j 0.021591-0.00474687j 
-0.0154666-0.03156j 0.0296534-0.0137197j 0.0185988+0.0235746j -0.0330004+0.0205146j 0.0056573-0.0287671j 0.000863801-0.00320207j 0.00918363+0.00668177j -0.0243547-0.00480419j -0.00683801-0.0103585j 0.0190453-0.000324366j -0.0111019+0.00579219j 0.00606903+0.00903654j 0.000873756-0.00510495j 0.00989915+0.0105235j -0.0036597-0.0019698j 0.00833467+0.00905215j 0.0121154-0.00210506j -0.000567538-0.0176711j 0.00125111-0.0182368j -0.0135815-0.012031j 0.00545664+0.00248889j -0.00074784-0.0145807j 0.00164182+0.0111782j -0.008113-0.000794041j -0.005937+0.00222305j -0.00103268+0.00746476j 0.00973287-0.0141864j 0.00800998-0.00670226j 0.0108446-0.0185713j -0.00389059+0.00127248j -0.00680984+0.0113013j -0.0116329-0.00472636j -0.0115919+0.00213905j -0.0140013+0.00627245j -0.00575618+0.00226455j -0.00190674+0.000838901j 0.0107641-0.00799427j 0.0163136+0.0119733j -0.00582987+0.00234113j 0.00801574+0.0053104j -0.0092499+0.000891276j 0.00729674+0.00311187j -0.0118558-0.0114083j -0.0102371-0.00580595j 0.00735919+0.00341673j 0.00627498-0.00480625j 0.00318878-0.0196705j -0.0013881-0.00185386j -0.00796544+0.00133983j 0.00387655+0.00632647j -0.0074604+0.00267996j 0.00377666-0.0102296j 0.0236321+0.0156007j 0.0134533-0.0220843j -0.0369968-0.00414798j -0.00442779+0.0369555j 
-0.000385495+0.00624919j -0.00623793-0.00203546j -0.000479297-0.00969639j 0.0117784-0.00639154j -0.00124518+0.00809662j -0.0049409+0.0121548j -0.00638568-0.00431877j 0.00974162-0.000961089j 0.00886292+0.0010465j -0.00616598+0.011592j 0.00266953-0.00775782j -0.0118081+0.0012137j -0.00070039+0.000141952j -0.00121607+0.00400743j 0.00573384+0.0020914j -0.00973078-0.00187338j 0.000926368+0.00570758j 0.00826033+0.00249555j 0.00577551+0.00417642j 0.007174+0.00582552j -8.52544e-05+0.00162576j 0.00155851-0.00465368j -0.00706104-0.00220441j -0.0013101-0.00670848j 0.000851019-0.00295724j 0.00182235+0.00238513j 0.00271308+0.00771169j 0.00249639+0.00256583j 0.00842773+0.00199059j 0.000882208+0.00512776j 0.00125917-0.00170506j -0.00080224-0.00445508j -0.00201083-0.00318563j -0.00118183-0.00536678j 0.000223744-0.00133014j -0.007242+0.00481799j 0.00788689+0.00277988j -0.00257053+0.00366813j -0.00222651-0.00382888j 0.00688103+0.00504635j -0.00249682-0.00360383j 0.00500892-0.00269529j 0.0015972-0.00683993j 0.00293903-0.000116625j 0.00366664+0.00950565j 0.00213147-0.00140924j 0.00348246-0.00598721j -0.00494751+0.00446704j -0.0104964-0.000525424j -0.000174861+0.00702174j 0.00566287-0.00304012j 0.00351754+0.00597722j 0.0186192-0.00228287j 0.00032177-0.019696j -0.0160985+0.00768502j 0.00784996+0.0156727j 
0.0113415-0.00878698j 0.0103573+0.0121645j 0.00187023+0.0280806j -0.0214862+0.00672692j -0.010889-0.000421748j -0.0011137+0.0118466j -0.0143674+0.00627928j -0.0334292-0.00079151j -0.0032945+0.00811703j -0.0199701-0.022843j 0.00409905+0.0203798j -0.00702614-0.00114615j -0.0170379-0.0208384j -0.0105126+0.0150598j -0.0103312+0.00440271j 0.0106685+0.00557573j 0.00377251-0.00134074j -0.0112598-0.00493717j -0.00941055-0.00648502j -0.012411+0.00712776j 0.00798744+0.000880778j -0.00336495-0.0163229j 0.00252637-0.00983157j -0.00764739+0.0125532j -0.0028796-0.00636152j -0.00421299+0.011375j -0.00405048+0.00110708j -0.00570146+0.00747832j 0.0107814-0.0141334j 0.00457656-0.00198544j -0.00856496+0.0125011j -0.00524626+0.0022261j -0.00864769+0.00337515j 0.000832094+0.0108583j -0.00213268+0.00320017j 0.00677215+0.00340017j 0.000312031+0.00981116j 0.00784926-0.000851122j -0.018899+0.0061402j -0.00192713-0.0138723j 0.000603745-0.00354395j 0.00491155+0.00585174j -0.00490729-0.000983877j -0.00468047+0.0130802j -0.00657702-0.00214876j -0.00451637+0.00475596j -0.00254907-0.000893597j 0.00786657-0.0128878j 0.00809099-0.0185834j -0.00466186-0.00396536j -0.00724762+0.0152291j -0.0248555-0.00369801j -0.0123947+0.0147354j 0.0168886+0.0146736j 0.00926432+0.00953355j 0.00934296-0.00884981j 
-0.000718043-0.00505485j 0.0052189+0.000557409j 0.00268747+0.00682908j -0.00961494+0.00902352j -0.00918357-0.00116367j 0.0128981-0.0153128j 0.0179151+0.00529792j 0.00674069+0.00637244j -0.00910558+0.00763555j 0.0131299+0.0128692j -0.0217853+0.0122291j 0.0326404+0.0113436j -0.00522843+0.0139508j 0.00479351-0.0270603j 0.00435138-0.0243018j -0.0076511-0.00682601j 0.00601616-0.011326j -0.00864764-0.0118104j 0.00949529-0.00612521j 0.00872252-0.0127002j 0.0108035+0.000619139j -0.0146749+0.0069696j -0.00153882+0.0140805j 0.0131179+0.00738431j -0.00915696+0.00725372j -0.00427199-0.00904746j -5.54124e-05-0.00594074j 0.00830489+0.00044087j -0.0243495-0.00396017j -0.00457622+0.0060984j -0.000760812-0.012994j 0.00434288+0.0122086j 0.00156743+0.0014445j 0.00818462+0.00168064j -0.00388325-0.00275794j 0.0159758+0.00590764j -0.00507486-0.000150219j -0.00698725+0.000389402j 0.00465866+0.0269387j 0.00328828-0.00375895j 0.00555753+0.00701274j -0.00424356-0.00221942j -0.0137887+0.00910247j -0.00249446-0.00679003j -0.000152481-0.00882503j -0.0159887-0.00765389j 0.00430574+0.0143286j -0.0017612+0.0141743j 0.0233499+0.00447256j -0.00160873-0.00758792j -0.0124823-0.0125826j 0.0119185-0.0223282j -0.00402175-0.000472052j -0.00433555+0.00590585j 0.0155217-0.0140652j -0.014161-0.0152858j 
0.00791611+0.013993j -0.0136677+0.00655542j 0.00101265+0.00394008j 0.00242114-0.00250246j -0.00546402+0.0288276j 0.0181549+0.00998143j -0.0031425+0.00986446j 0.000615775+0.00396436j 0.0186755+0.0100151j -0.0122404+0.0133002j -0.00280279+0.0121185j 0.0065134-0.00211867j -0.00952354-0.00301591j -0.0171556-0.000278344j -0.00226843-0.0211672j -0.0177089+0.00202876j 0.0112666-0.0040284j -0.00924026-0.0108398j 0.0138737-0.00845322j 0.00528309-0.0036889j 0.0149391-0.00526419j -0.0147433-0.0103467j -6.32094e-05+0.00626805j 0.00808313-0.00934641j -0.0090723+0.00464679j -0.00462756+0.00909254j 0.00277034+0.00996762j 0.00665626+0.0103901j 0.00207605-0.00970031j 0.00827713+0.0124731j -0.0141378-0.00442758j -0.00105772+0.00137481j -0.00501288+0.00649232j 1.29312e-05-0.0066187j -0.0040663+0.000707192j 0.00302543+0.00453485j 0.0267931+0.0105803j -0.00628881+0.0127025j -0.00133216+0.0225537j 0.00974743-0.0151915j -0.00638854-0.00858415j 0.00745321+0.00359587j -0.0158918-0.00272932j 0.00241448-0.00801175j -0.0027463+0.0156653j -0.0165203+0.00906539j 0.0186804-0.0117627j 0.00982605+0.0106761j -7.88065e-05-0.0164345j -0.0071086+0.00934446j -0.0122944+0.00323862j -0.00968897-0.0133515j 0.0270972+3.4431e-05j 0.00282258-0.0240525j 0.00077571+0.0138019j 0.014113-0.00104025j 
