0.0369339+0.0228858j 0.0635832-0.0226884j -0.0868992-0.0361665j 0.00655759+0.0744689j 0.116626+0.0523643j -0.101495-0.067004j 0.0223995-0.153745j -0.141189-0.157585j -0.0737435+0.0506415j -0.0503757+0.0454872j 0.0486969+0.188938j -0.246307+0.292189j 0.116587+0.0138418j 0.101969+0.0480639j 0.0666094-0.0630173j 0.043284-0.137027j 0.0448763-0.147813j -0.126131+0.069706j 0.050341-0.0287446j 0.0820624-0.0377644j -0.0768715-0.0524965j 0.127003+0.11673j -0.165968-0.0554929j 0.0326483+0.0564512j -0.212233-0.114186j 0.0988771-0.0914598j -0.0799778-0.0708213j 0.0105241-0.085745j -0.162192-0.0585535j 0.1058-0.0274685j -0.0503434+0.171142j 0.017486+0.0419898j -0.0708651-0.0818258j 0.076203-0.10554j 0.135611-0.0703193j 0.0027921+0.124302j -0.0266416-0.064173j -0.0415958+0.0467125j 0.0450465+0.0705036j -0.0657684+0.0333962j 0.0179631-0.0209818j -0.0657522+0.0253187j 0.0102188-0.0390101j -0.0523191+0.122891j -0.0258925-0.00494054j -0.110241+0.0849777j -0.0225745-0.0204954j -0.214799+0.254431j -0.0158725+0.0890804j -0.0867427-0.021571j 0.0829208+0.148807j -0.104346+0.028281j 
0.0843264-0.026122j -0.033856-0.0564357j -0.0693803+0.077705j 0.085041+0.112558j -0.0542423+0.0241868j -0.0869855+0.0757092j -0.0297033-0.194563j -0.0924143-0.0454341j -0.0794497+0.067777j -0.157392-0.0901561j -0.019998-0.180607j -0.013166-0.0174081j 0.0677558+0.00257968j 0.0503413-0.0630521j 0.0571408-0.0300591j -0.0542337-0.0715176j -0.105076-0.0150104j 0.0820053+0.0240981j 0.234324+0.0737412j 0.0544237+0.0920846j -0.139899+0.24568j 0.149334+0.02308j 0.206226-0.0316284j 0.0177793+0.0130439j 0.135159+0.136913j 0.055957-0.169492j 0.175931+0.124346j 0.0400133-0.0440706j 0.0606224+0.0685129j -0.0699824+0.00788598j 0.0485003+0.0971108j 0.0494663+0.102604j -0.071201-0.00926178j -0.0642982+0.117215j -0.16287-0.151752j 0.119914-0.103805j -0.0896848+0.0913686j -0.0479655-0.0619803j -0.0984466+0.0245122j -0.0111796-0.0842564j 0.00279434+0.0372146j -0.114948-0.0526969j 0.054513-3.74478e-05j -0.157688-0.0156664j -0.0322776-0.0777589j -0.140906-0.171405j -0.0224509-0.0740556j -0.236599-0.15476j -0.0164696+0.05867j -0.033928-0.0411667j 0.136913-0.0402945j 0.0796923+0.139415j 
0.0463655-0.055189j -0.0780846+0.00142854j -0.117087+0.0248601j 0.00109777+0.156701j -0.0867955+0.0997891j 0.0782881+0.0606606j 0.0980592-0.14474j -0.143316-0.136066j 0.0410407+0.189452j -0.165454+0.00233476j -0.0100489-0.17822j 0.00944556-0.0621858j 0.00755149-0.00986848j -0.00661373-0.000306323j -0.00649511-0.0716511j 0.050436-0.00205713j -0.00988187+0.0805587j 0.0494185-0.134032j -0.0698903-0.139724j -0.000767991-0.0562864j 0.0923082-0.264226j 0.132963+0.0888183j -0.113278+0.024401j 0.0126488-0.0804189j -0.106423-0.0168144j -0.141406+0.0888214j -0.0167337-0.0291027j -0.123036-0.0127278j -0.0690094+0.0479141j -0.0921537-0.0564392j 0.146551-0.070492j -0.0143706-0.0246177j 0.19633+0.0608427j -0.0402311-0.0528859j 0.0331811+0.0770456j -0.152365-0.160806j -0.029966+0.0544377j 0.013192+0.0431317j 0.226895-0.151028j 0.0542664+0.00115169j -0.192823+0.0514076j -0.0689807-0.126674j -0.0890122+0.0782069j 0.0788859-0.098156j 0.0558555-0.0868422j 0.0600479-0.0676253j 0.048424-0.0547562j -0.0313472-0.0476722j -0.139593+0.216214j -0.189142-0.111957j 0.0224839-0.0189961j 0.0644539+0.0255707j 
-0.00452936+0.0352194j 0.0320616-0.0191047j -0.0717949-0.0192571j -0.0315391+0.0744981j 0.0897864+0.131574j 0.285811-0.0291089j -0.00121302+0.171816j -0.0541239+0.104089j 0.0407956+0.120889j -0.0121643+0.111569j -0.00647747-0.0521102j 0.111261+0.0746754j 0.0961237-0.166196j 0.0413673+0.131768j 0.135326-0.273924j 0.0639209-0.0147624j -0.0319906-0.13367j -0.00179023-0.0986688j 0.0979094+0.0982656j 0.0199093+0.0118844j -0.139124-0.0487435j -0.153768+0.0139857j 0.0754507-0.103683j 0.0253982+0.101819j 0.0517695+0.0167647j -0.0638581+0.0442705j -0.0410655+0.139253j -0.0837397-0.0603336j 0.00507606-0.0814033j -0.0325487+0.0793747j -0.190478+0.0487683j 0.137331+0.00248797j 0.0581456+0.0263409j -0.0755839+0.15634j 0.00583627-0.0775194j -7.91995e-05+0.0446896j 0.0114835+0.0469308j 0.10018+0.222554j 0.0415104+0.0986668j 0.0830385+0.12697j 0.025715-0.0711139j -0.0864248+0.0277619j 0.115203-0.115552j -0.0881562-0.0462155j -0.0389703+0.113781j -0.000600401+0.220904j 0.301532+0.0312157j 0.0369855-0.160241j -0.00243334+0.0785659j -0.0880331-0.0049677j -0.0117352-0.020088j 0.00170357+0.00142792j 
0.0332083-0.0751831j -0.0644528+0.00553743j -0.163102+0.0944476j 0.113795+0.167862j -0.135704+0.0692051j 0.113446+0.0336031j 0.0129347+0.0612638j 0.0801345-0.0138323j 0.062538-0.199058j 0.117974+0.00356288j 0.181183+0.0175054j -0.170312-0.00208971j 0.0310471+0.00510939j -0.192536-0.0600522j -0.00812476-0.0416395j -0.085799-0.0805444j -0.0301745+0.135257j -0.0239804+0.00132301j 0.0352886+0.0828134j 0.129977-0.0481002j -0.0596975+0.0871425j -0.0166306-0.0911395j -0.134848+0.028256j -0.0746636-0.00949789j 0.116907-0.117231j 0.00602156-0.0964134j -0.100106+0.0142786j 0.0979985+0.06381j 0.0458184-0.0234978j 0.070912+0.0630711j 0.101143-0.125928j 0.042688-0.158939j -0.0176468-0.0230982j -0.0661063-0.0803595j -0.0228846-0.112835j -0.0396349+0.122338j 0.0905196+0.0179132j 0.0933276+0.183538j -0.131017+0.0807002j 0.0776809+0.0865983j 0.0712991-0.0566687j 0.0818377-0.168236j -0.235958-0.0316211j 0.0273839+0.31688j 0.21776-0.0885013j -0.0601855-0.136206j 0.0733356-0.0235548j 0.033098-0.0817891j 0.0302573+0.129211j -0.0920415+0.0129726j 0.0113117-0.0167811j 0.0378453-0.0104211j 
0.065417+0.0650614j 0.103038-0.103187j 0.0203275+0.0161507j 0.0339624-0.0230241j 0.235509+0.154487j 0.0852001-0.0159037j -0.174217+0.0221816j -0.0225307+0.0337072j -0.118173-0.153697j -0.0468627-0.0673815j -0.0757324-0.0797791j -0.0496892-0.0897557j 0.0494668-0.0108232j -0.142163-0.140692j 0.0361685+0.00776776j 0.0450352-0.00206808j -0.121084+0.170595j 0.0447082+0.13751j 0.00709685+0.0014312j 0.155185-0.107415j 0.0836618-0.119053j 0.0483569+0.188397j -0.099188+0.0233439j 0.0642266-0.0593956j 0.10762+0.0875515j 0.131882-0.0139658j -0.143985+0.124088j -0.0776958+0.0519332j -0.00326305+0.096973j -0.0226768-0.0681654j -0.0942473+0.0120947j -0.179522-0.209264j -0.0582536+0.056307j 0.165155-0.0709622j -0.0982529-0.0897868j -0.0193515-0.183105j 0.0273492-0.137922j -0.0672825-0.0312243j 0.118912-0.0369324j -0.104078+0.019443j 0.20453+0.263999j 0.0627168-0.166853j 0.016728+0.0102479j -0.0778574-0.00750902j -0.0746231+0.0947981j 0.00347331+0.140335j 0.164295-0.0400723j -0.0382389-0.0271485j 0.0406229-0.0545529j 0.0626355-0.00293438j 0.039265+0.0140803j -0.0289327+0.0102828j 
-0.0909294+0.0778205j 0.0398102+0.107544j -0.0866337+0.0240382j 0.0454808+0.0856366j 0.0342033-0.258118j -0.019948-0.0129148j -0.0598871+0.103362j -0.0494696+0.00326042j -0.129709+0.0817768j -0.103734-0.024884j -0.0420942-0.0213479j -0.0505168+0.0104374j -0.0142337-0.0710218j -0.155448-0.0385145j 0.0108232-0.0718175j 0.0392927+0.089954j -0.149351-0.0958672j -0.199326+0.0990994j -0.0702136-0.184549j 0.0714479+0.0327208j 0.0393052-0.0534069j 0.0234948+0.0102722j 0.109266+0.0452589j -0.158914+0.0592995j 0.0574514+0.00166157j 0.171366+0.137724j 0.0777163+0.122428j 0.258213-0.186248j 0.00778157+0.0226864j -0.311304-0.0114987j 0.0310392-0.0693677j -0.100481-0.279568j 0.0120732+0.114633j 0.17116-0.11508j 0.10603-0.0189985j 0.110386+0.0113553j 0.0628637+0.0381275j -0.0253849+0.000217377j -0.00654947+0.0527193j 0.00920759-0.0300121j -0.156711-0.149246j -0.0589871+0.188531j 0.0449897-0.0796482j -0.0381224+0.00926603j 0.0473244-0.122896j -0.0752769-0.0227717j 0.00165131+0.0636791j 0.046007-0.0482631j 0.0460656+0.015716j -0.0401686+0.0586858j -0.0191894+0.0271883j -0.0158162+0.00522082j 
-0.00627788-0.00267033j -0.0107468-1.25339e-06j 0.0130183+0.0056854j -0.00311151-0.007407j 0.00105157-0.0222611j 0.0132876+0.0123704j 0.00456617+0.031088j -0.000262657+0.0248646j 0.0124044-0.00777034j 0.0155484+0.0104955j 0.00488913-0.00940464j 0.0415842-0.00610266j -0.00837836+0.0152482j -0.00959634+0.00189427j -0.0145377-0.00296133j -0.0251488+0.0186845j -0.00198068+0.00246182j -0.00462548+0.0112131j -0.0187986-0.00426539j -0.010857+8.71423e-05j 0.0152017-0.00216761j -0.0266014-0.0210859j 0.00775603+0.0284121j -0.00470688-0.0234417j 0.0115089+0.00381946j -0.0365274+0.0335522j -0.0124511-0.0301738j -0.0055575+0.00902256j -0.00180784-0.0113176j -0.00709869+0.0343975j -0.0096915-0.0209458j -0.0138615-0.00400522j -0.00816878+0.0187424j 0.00279683-0.00448239j 0.00232281+0.0370349j -0.00712937+0.00331984j 0.0206975+0.00917227j -0.00188934+0.0081994j 0.00825393+0.00975077j 0.00679335+0.00088822j 0.00827826+0.00310333j -5.8688e-05+0.00768782j -0.00625636+0.000723289j 0.00264812+0.00135369j -0.0090071+0.0137463j 0.0259859-0.0266435j -0.00681956+0.0144472j -0.00489706-0.0482101j 0.00364756-0.0201774j -0.00171527-0.00856757j -0.0168074-0.00866261j 0.00179763-0.00353709j 
-0.0131183+0.00151957j 0.00841484+0.00430174j 0.00907503-0.00176787j -0.00934231-0.0146348j 0.0254627+0.0116351j 0.00153974-0.0025737j -0.0185943+0.0241944j -0.00630385-0.00132975j 0.00710331+0.000729046j 0.00344087+0.0228366j -0.00841915+0.0271582j 0.00143786+0.022244j -0.00414534-0.00316224j -0.00645923+0.00778938j -0.00511669-0.00132925j 0.0110163+0.00452764j 0.0117737-0.00640243j -0.0189169+0.00704618j -0.0107293-0.0156072j 0.0202311-0.00831726j 0.0187208+0.00447414j -0.0132082+0.00967636j -0.00559882-0.0250143j -0.0108924+0.00513664j -0.0178914-0.0292347j 0.0292438+0.0244963j -0.0225956-0.0106664j 0.0100375-0.0110213j -0.0276731+0.009081j 0.0328308+0.00559947j -0.0137515+0.00495297j -0.0141075+0.0211802j 0.00720394-0.00501278j 0.0363946+1.53801e-05j 0.0265242+0.00129537j -0.0172291+0.0201324j -0.0178371-0.017252j -0.0102696+0.00665033j -0.0082632+0.0184879j 0.00711789-0.000306291j 0.000193574-0.00823005j -0.00117973-0.00665677j 0.00968171+0.00398017j -0.0046699-0.00148573j -0.00846821-0.00981472j 0.035369+0.0258553j -0.0115985-0.000148542j 0.0415811-0.00784339j 0.0113174+0.000784674j 0.00758113-0.010687j -0.00173048+0.00550335j -0.0164854-0.00505166j 
0.00125878-0.0014518j -0.00236681+0.0045022j -0.00365082-0.00914144j -0.000190047+0.00142203j -0.0155094-0.0140112j 0.00270869-0.00606728j 0.0107786-0.00026433j 0.0139909-0.000676452j 0.00110551-0.00569161j 0.00868077-0.0184512j 0.0198731-0.0119848j 0.00209741-0.013565j -0.0240768-0.0228292j -0.0025721-0.00612921j 0.0165409+0.0119709j 0.0121492+0.00158485j 0.00254313-0.00112865j 0.00868468-0.0299221j -0.00567329-0.00243604j 0.009811-0.000964388j -0.00125712-0.0206168j 0.00104659+0.0136175j -0.00391269-0.00161899j 0.0178332-0.00892863j 0.00107918-0.0105709j -0.0158843-0.0091489j -0.00842752+0.0167684j 0.0104961-0.0237896j -0.0266151-0.00658976j -0.00116863+0.0111442j 0.0408782+0.00324821j 0.00395205+0.0289754j 0.0279486+0.00323701j 0.0241137+0.00876438j -0.00319141-0.0126648j -0.0227377-0.0109807j -0.0130842+0.0100158j -0.00257078+0.019587j -4.16549e-05+0.0185383j 0.00997973+0.000816952j -0.00356196+0.0222703j -0.0230425-0.00189944j 0.0134856+0.0233745j 0.00126187+0.0264701j -0.0211446-1.22039e-05j 0.0017093-0.0217502j -0.00422305+0.0100927j 0.00567844+0.0156791j 0.0153317+0.00698241j -0.00596378+0.0202883j 0.00190773+0.0026893j 0.00188535-0.00231989j 
0.00229321+0.000826954j 0.00411925-0.00335073j -0.00447571+0.0134068j 0.00705091+0.00431334j -0.000698101+0.0194253j -0.000901073-0.00341803j -0.00574568-0.015126j -0.00988179+0.00176019j 0.00151008+0.0014142j -0.000699821+0.00909034j -0.036804-0.0155829j 0.023077-0.022828j 0.00864066+0.0137972j -0.00644434+0.00354497j -0.0282064+0.0133647j 0.0252748+0.00305276j 0.0160338+0.0150231j 0.00629957+0.00018544j 0.00560039-0.00456574j -0.00793155+0.00482287j -0.0042298+4.13041e-05j 0.00270268-0.0143013j -0.00578233+0.0160854j 0.0165565+0.0203616j -0.00917111-9.99468e-05j -0.000840979+0.00567555j 0.00663011-0.0105294j 0.0148481+0.00233633j -0.0150987-0.0038697j 0.0118707+0.00547642j 0.0276043+0.010813j -0.00527205+0.0226942j -0.0193009+0.0217722j 0.0212168-0.00610523j 0.0094859-0.014906j 0.00536249+0.002514j -0.00231411-0.0262747j -0.00621924+0.00293659j 0.0196295+0.0237204j 0.00654945-0.0204549j 0.0232155-0.0130147j 0.0169545+0.0031002j 0.0296395-0.0122679j 0.0143727+0.000667521j 0.0208264+0.00760878j -0.0118355-0.00843847j 0.0124313+0.00340567j 0.0129612-0.0139152j -0.00559792+0.0058414j -0.0016894-0.0101317j 0.00768648-0.00571446j 0.00277793+0.00547247j 
