-0.0972495-0.0123007j -0.029277+0.0832301j -0.14546+0.135294j 0.155299+0.184189j 0.0656824+0.0830031j 0.15523+0.0658321j -0.0403238+0.350021j 0.175377+0.0125457j -0.0471837-0.0325901j 0.0289029-0.0571391j 0.133068+0.0526007j -0.136567+0.0459258j -0.191342-0.0303314j -0.0545659+0.0580255j 0.111349+0.0543681j -0.275625-0.00207483j 0.133066+0.0608265j 0.059413+0.0299705j -0.0299168+0.119092j -0.0739482-0.00878864j 0.103302-0.124117j 0.0570345+0.0690875j 0.0285231+0.113306j 0.0829429+0.0407329j 0.0421035-0.139484j 0.0550839-0.136802j -0.0409768-0.00631883j 0.0423176+0.0276466j 0.102829-0.0297585j 0.0878216+0.0047349j -0.0302527-0.0817342j 0.0392388-0.0304172j -0.0975626+0.0116372j 0.0739664-0.00563776j 0.0219225+0.0320711j 0.171522-0.186697j 0.106552-0.167747j -0.0232061-0.00380791j 0.0808659+0.276347j 0.217704-0.0184151j 0.0577824-0.0296175j 0.0714592+0.0136261j 0.121537+0.0373167j -0.0537437+0.11512j -0.0246227-0.030107j -0.0187292-0.0310037j 0.0787702-0.04135j 0.0539902+0.0669833j 0.0148571-0.000122816j -0.0215443+0.00993995j 0.00572545-0.012625j 0.00340443+0.0321549j -0.00251699-0.0135105j 0.0123529+0.0271518j 0.00207147+0.0161816j 0.00234252-0.0111153j 0.010557+0.0161675j 0.0295414+0.0101772j 0.0149644+0.00372131j 0.00975184+0.0284237j 0.0169874-0.0174536j 0.0310566+0.0114519j 0.0165394+0.0114097j 0.00866864-0.0124035j -0.0367644+0.000556685j -0.00162601+0.00775138j 0.0056956+0.0323414j -0.0097096-0.0133326j 0.0263413+0.00549194j 0.00255331+0.0112317j -0.0225417-0.0204717j 0.00274313-0.00685274j -0.00534998-0.0115244j 0.00973349-0.0260924j -0.0163516-0.00864476j 0.0098998+0.0133529j 0.0128558+0.00272011j 0.000283283+0.00944167j -0.00158069-0.0172997j -0.0085666+0.00933587j 0.00986016+0.00124359j -0.0175921-0.0241089j 0.0191979-0.00607721j -0.0198079-0.00593428j 0.00617634-0.00250894j -0.0193686-0.0261011j 0.0090961-0.0104164j -0.0508822-0.00255901j -0.00874989+0.0356859j 0.0208572+0.0148619j 0.035426+0.0131637j 0.00674337+0.0289493j 
-0.0903684+0.0641052j 0.0875741+0.0723993j -0.0404248+0.107211j 0.0653768+0.0516692j -0.182774-0.042654j 0.00194913-0.127824j -0.0529712+0.0168599j 0.00848857+0.0625654j -0.0966954-0.0276253j 0.0639898-0.197736j -0.127765-0.138714j 0.231409-0.301371j 0.048394-0.0658711j 0.156496+0.0473157j 0.00582906+0.120579j 0.0279479+0.0892864j -0.0418908+0.148608j -0.000847848-0.0868394j 0.131533+0.0268815j -0.142145-0.0611612j -0.0636801-0.0166791j 0.0438834-0.14831j 0.113287-0.122223j 0.107741-0.0574843j -0.223586-0.0445457j -0.068535+0.171665j -0.0305575+0.0778051j -0.0599678-0.0954826j -0.120839-0.147475j 0.0297926-0.0148285j 0.00576127-0.0941831j 0.0533374+0.0385088j -0.0526891-0.127353j 0.0926289+0.113725j -0.0139146+0.16837j 0.213329+0.148103j 0.186171+0.0606776j 0.0527557-0.120501j 0.143328+0.0393364j 0.0132992-0.125608j -0.140469-0.0308791j -0.0121479-0.122915j 0.0712995+0.00708485j -0.00866443+0.0717122j 0.0482245+0.0188068j -0.0215287+0.0602558j -0.0136842+0.0122689j -0.0263092+0.0150457j 0.0296938-0.00894465j -0.00609036+0.0247767j -0.026544+0.0450466j -0.0778495-0.00138267j -0.00447372+0.0105062j -0.0104057-0.0128742j 0.0073177+0.0312601j -0.00976391+0.0105365j 0.0111447-0.00700036j -0.00390562-0.00591012j 0.0233021-0.0264736j 0.016686+0.0136256j -0.00756813-0.00897366j 0.0171643-0.0231475j -0.0256784-0.00262811j -0.0170668-0.00424524j 0.0416098+0.0182829j 0.00361581+0.0200305j -0.0144275-0.0188829j 0.00820485-0.00111742j -0.0103911-0.00623767j -0.000155201-0.0139054j -0.011295-0.00574934j -0.00112967-0.00825089j -0.00453484-0.00593708j -0.0176453+0.0172885j -0.0101805+0.00109286j 0.0118755-0.0384218j 0.0214176-0.00853625j 0.00790443+0.000503755j -0.00498083-0.00888771j -0.00701156-0.0151146j -0.0216979+0.00420505j -0.00555687-0.0170415j -0.00556796+0.0213907j -0.00116751-0.00976752j 0.00176898+0.00133562j 0.00695283-0.0338147j 0.00593207+0.00170639j 0.00169059-0.0363096j -0.0173789+0.00847994j -0.00206882+0.0104555j 0.0103351-0.0221423j 0.0303627+0.0158734j 
-0.0386735+0.0751987j 0.085159+0.0147833j -0.138111+0.0543942j 0.0446564+0.184843j -0.121069+0.0506765j -0.238417-0.0517518j -0.0377487-0.165329j 0.0257188-0.0327366j -0.000276448-0.00587625j -0.0567119-0.0777512j 0.261119+0.110009j 0.0526117+0.156584j -0.0209254+0.14384j 0.0617973-0.153123j -0.0563138+0.0119764j -0.0248227-0.00288023j 0.11338-0.0936273j -0.154148+0.0454536j -0.0680748+0.0148216j 0.17564-0.0642433j -0.0390971-0.126176j -0.125551-0.08227j -0.105357+0.0120944j -0.000819576-0.106005j -0.0309226+0.0995944j -0.0869997+0.0149498j -0.0755794-0.00289918j -0.113461+0.0489472j -0.0123665+0.0421177j 0.121787+0.123015j -0.193227+0.0845376j -0.0253983-0.272667j 0.189335+0.0902715j -0.0702231+0.159653j -0.187726+0.0116173j -0.0906203+0.223725j 0.123737-0.168598j -0.157195-0.081451j 0.075658+0.0786002j 0.0715005-0.0723351j -0.0524462+0.092812j -0.0940861-0.0380734j 0.0590248+0.0603868j -0.0570882+0.0673531j 0.0521665-0.0225107j 0.0497289+0.0523262j -0.0363556+0.0411932j -0.011735-0.0354682j -0.00756719-0.0240046j -0.0109327+0.000629449j -0.0180624-0.0525721j 0.0267107-0.0064359j 0.0349204-0.0265133j 0.0259182+0.00442615j -0.00739718-0.0164723j -0.00922814-0.00791609j -0.0312352-0.000767421j 0.0248903+0.00963732j 0.0125122-0.000487306j -0.0196132-0.0112077j -0.0031081+0.0149702j 0.0112101-0.0144315j 0.00833545+0.0094161j 0.00704922+0.00681128j 0.000315239-0.00366543j 0.00549272-0.00021837j -0.00669793-0.00463765j -0.00101962+0.0208224j -0.00799159-0.0011076j -0.00435094+0.0123742j -0.0107641+0.0105367j -0.0181431+0.00932665j 0.00795031+0.0177575j -0.00193751-0.016885j 0.00354864-0.0125949j -0.0158183+0.00161817j -0.00450881-0.0123375j 0.00591311-0.0103795j -0.0053909+0.0171625j -0.0191156-0.0121067j -0.0103726-0.00592021j 0.00524124-0.0171763j -0.0158442-0.0187824j -0.0177998-0.00135156j -0.00523747+0.00432141j 0.0106559-0.00735372j 0.0081505+0.00325457j 0.00359526-0.0066064j -0.0177997+0.0177134j 0.0118514+0.012334j -0.000723255-0.00804906j 0.0140196+0.000744007j 
-0.00187256+0.0784737j 0.0896879-0.00808715j -0.032453-0.0347545j -0.0505146-0.00935906j -0.165849-0.175724j 0.242219-0.0129085j -0.161987+0.147388j -0.0609607+0.196111j 0.191659+0.115282j 0.0017947+0.230013j -0.0195021+0.0774259j -0.00356194-0.0605212j 0.0729254+0.105683j -0.112611+0.00283954j 0.0522876-0.00318053j -0.00530726+0.116088j 0.131401-0.0304825j -0.0634635+0.077472j 0.107344-0.152157j 0.15601+0.0615945j -0.0518811+0.0158223j 0.105555+0.0171867j -0.133381+0.0710419j 0.133899-0.078754j 0.0746941+0.0506354j -0.156569-0.0664372j 0.117858+0.178909j -0.0117237+0.109632j 0.0197396+0.00174769j -0.0682798+0.167415j -0.110186-0.0405213j -0.0869267+0.0391349j 0.12983-0.187384j 0.0541357+0.295422j 0.322958-0.0316317j -0.0629716-0.149925j 0.0558349+0.0655286j 0.0808197-0.0621603j 0.0819882+0.0149232j 0.0225457-0.0909408j 0.0102379+0.0823985j -0.0958027-0.00710664j -0.0089581-0.0135514j -0.00477951-0.0122385j 0.0244708+0.0700169j -0.0816628-0.00442565j 0.038161-0.00435302j -0.0480542+0.0579723j -0.0261709+0.0194016j -0.0124959-0.0645983j 0.0232154-0.00109101j -0.0014827+0.0022896j -0.0360693-0.00551393j 0.0114972+0.000510468j -0.00670304-0.014242j -0.00564233+0.0158367j -0.0294371-0.00789732j 0.0111185+0.0104592j -0.000653505+0.00538634j -0.00720702-0.0106077j -0.0163377+0.00505437j 0.00652998+0.0033004j -0.00304826-0.0133733j -0.0185218-0.0119109j -0.00603383-0.00800799j -0.000499079+0.00931603j 0.0103993+0.0198574j 0.0132605+0.00488783j 0.00248673-0.0113704j -0.00547147-0.0165895j -0.0010669+0.0206784j 0.00119645-0.00253003j -0.01327+0.0152534j 0.00372159-0.0065127j -0.0207388+0.00577595j -0.019248+0.012044j 0.0138209+0.0194419j -0.0109579+0.00263639j 0.0143104+0.00284523j -0.000723944-0.0122269j -0.0192719-0.00186063j 0.0124412+0.0121046j -0.00716224-0.00469476j -0.00151216+0.00591907j 0.00885153+0.00321614j 0.0191155-0.0173735j -0.00886809-0.0131148j -0.00727576+0.000556462j -0.0103413+0.00871531j 0.00132425+0.00526677j -0.000244752-0.00162998j 0.00871625+0.000814085j 
-0.0745972-0.0242176j -0.0515774+0.0854603j 0.141386+2.6793e-05j -0.00156292-0.155444j -0.0863475+0.262673j -0.0803495-0.0186466j -0.0518144+0.00121939j 0.0395559+0.067282j 0.148171-0.0767172j 0.0315708+0.100794j -0.0030581+0.0548598j 0.0856917-0.0613169j -0.138505+0.170439j 0.00486745-0.0146577j 0.00935372+0.163276j -0.0749364-0.0578595j 0.0289775-0.0967454j -0.137443-0.135945j 0.0906733+0.141824j 0.205536-0.0870732j 0.0236171+0.0554145j 0.111749+0.0214644j -0.0396827-0.108443j -0.165559-0.04368j -0.0929961-0.0678948j 0.129928+0.0201575j -0.0576438+0.11094j 0.349565+0.207904j -0.156022-0.186787j -0.154803+0.321348j -0.0982913+0.00920585j -0.0477222-0.0398593j -0.0898646+0.0831633j -0.0284996-0.105478j -0.0889484+0.0699137j 0.0456762-0.0433346j -0.0331293+0.0623026j 0.0950728+0.0222956j -0.0477797+0.0392944j 0.0483466+0.0857445j -0.0726881-0.0551836j 0.0861475-0.0899697j -0.0197741-0.0779166j 0.0688242-0.0306599j 0.0332972-0.0512521j 0.0234266+0.0261069j 0.0173804+0.0239795j -0.00121844+0.0279561j -0.000773634+0.0257486j -0.024983+0.00266048j 0.00997587-0.0097151j 0.00164104+0.0116183j -0.00484938-0.0189623j 0.0340793-0.0286596j 0.00948175+0.0102674j -0.00249813-0.00468461j -0.0239908-0.0204967j -0.00431859-0.0220547j 0.00974021-0.0011217j -0.0107328-2.84096e-05j 0.00686852-0.00258287j -0.0029964-0.0053227j -0.0186442+0.00699631j -0.000476594-0.00190005j -0.00043532-0.0123701j -0.0153848+0.0095693j -0.0199651-0.00370104j -0.0166038+0.00836979j -0.000777178+0.00164456j 0.00578263-0.00459428j -0.00181879-0.011714j 0.0133974-0.00398623j -0.00203188+0.00905479j -0.0166774-0.0173575j 0.000929284+0.0136639j -0.010115+0.00259981j -0.00359273-0.00503799j 0.00419696-0.0185978j 0.0118533-0.00844147j -0.00184828+0.0351089j -0.0211102+0.0301701j 0.0221479+0.00796593j -0.0042075-0.00436578j -0.00363802+0.000424525j -0.00288959-0.00495717j -0.0155986+0.0115827j 0.00826758+0.00394988j -0.00611374-0.00232495j 0.0110507-0.00523382j -0.0055351-0.0020705j 0.00343101+0.000806627j -0.00341804-0.000619409j 
-0.0485509+0.0144472j 0.00106935+0.0263828j -0.00494902+0.0445822j 0.0267666+0.0202631j 0.0272629+0.0198577j 0.0315621-0.0233351j 0.046959+0.0299888j 0.0254059+0.00435563j -0.0179767+0.036703j -0.0242287+0.0217908j 0.00044379-0.0397974j -0.00175177+0.0528608j 0.0204076+0.0236827j -0.0160055-0.0130103j 0.0184956-0.00292022j 0.0484004-0.0190685j 0.0159646-0.00459856j -0.0045451+0.00871706j 0.00377753-0.0507465j 0.00720707+0.0189212j -0.0193283+0.0185898j -0.0269464+0.00912399j -0.00272535-0.0226838j -0.042638-0.00516406j 0.00852452+0.0239681j 0.00045919+0.0135947j 0.0224036-0.00633087j 0.013315+0.00339625j -0.0179478+0.0213024j -0.0186768-0.00140249j 0.0123372-0.00210338j 0.00439526-0.0017609j 0.0168908-0.0075116j -0.0404971+0.00828073j 0.0148021-0.00428452j -0.0117106+0.0456709j -0.00892932+0.0197612j -0.0306788-0.0116572j -0.0215105-0.0629486j -0.0683475+0.00716219j -0.00155855-0.0571772j 0.0283885-0.0141795j -0.140583-0.000456517j -0.0230195-0.121995j 0.00245569+0.0988856j 0.089754-0.0175794j -0.0162601+0.226402j -0.166269-0.174565j -0.0624238+0.0861172j -0.158513-0.0190344j 0.021424-0.0565973j -0.154808+0.124665j 0.0547156+0.0460785j -0.114572+0.0234233j -0.0613365+0.0557617j -0.0269274-0.123659j 0.0382869+0.0485443j -0.0253334-0.0647754j 0.156253+0.00326947j -0.104709-0.0155129j 0.0435533-0.116441j 0.232133+0.0691708j -0.0177758+0.0312371j 0.0301854+0.0138569j -0.0477646+0.0300305j -0.122534+0.0849675j -0.019011+0.0614214j 0.0158366-0.0779485j 0.0623239-0.030843j 0.0343308-0.0243204j -0.0405205-0.129711j -0.0289032-0.101862j -0.0588753-0.0371159j -0.00910944-0.00878141j -0.0343136-0.11883j 0.0400731-0.0459065j 0.076076-0.0199015j 0.0571907+0.0104265j 0.00882651-0.0122842j 0.0372884+0.0415767j -0.00127239+0.0474218j -0.1154-0.0738089j -0.00868431+0.0136386j -0.115306+0.0642416j 0.0119382-0.0611817j -0.145694-0.0979325j -0.0328504-0.0796518j -0.2838+0.0268452j -0.0547661+0.101251j 0.0944172+0.0954672j 0.135446+0.0482022j 0.00780676+0.106867j 
-0.0126839+0.0360742j 0.0539261-0.00301437j 0.00614613+0.0530387j 0.0262754-0.0160829j -0.0285524+0.0281337j -0.00341433-0.0183728j 0.0293459+0.0113376j -0.00360516-0.0178575j 0.00059007+0.00722002j -0.0254585-0.0140695j -0.0301917+0.0072149j -0.0194326-0.0357348j 0.00250707-0.0157998j -0.0173724+0.00577124j -0.0165235-0.00508726j -0.0250606-0.0210247j 0.000618345-0.034901j 0.00989742+0.0132416j -0.0334195-0.00727747j -0.0253055-0.00339604j 0.0373943-0.0127306j -0.0217307+0.0552384j -0.0374579+0.0074184j 0.0208333+0.0105828j 0.0275896-0.0334422j 0.00697398+0.0067878j -0.00535668-0.0212176j 0.0242691+0.00717077j 0.0121826+0.0195834j 0.0084583+0.0214884j 0.0136178+0.00398115j 0.00778078+0.00265167j 0.0184047-0.0135164j -0.00760259-0.028022j 0.00919515-0.00927468j -0.0408721-0.022961j -0.0510225-0.0138509j -0.0210091+0.0233345j -0.0564776-0.0185742j 0.00493672+0.0472895j -0.0079587+0.00470196j 0.0427229-0.0382828j -0.0382201+0.0252133j -0.0534458-0.0682035j -0.176959+0.00213913j -0.0236091-0.101151j 0.00991623+0.0571347j 0.063015+0.0241478j 0.048576+0.0207882j -0.0455973-0.0547427j -0.0242931-0.239541j 0.134406-0.222012j -0.017676+0.0247999j 0.0828241+0.0553958j 0.0354965-0.0342647j -0.0568212+0.0359251j 0.0535013-0.132687j -0.151746+0.105685j 0.0453629+0.0356811j 0.0278388-0.0569303j -0.0137759-0.108757j 0.0144801-0.108915j -0.151578-0.0042331j -0.0726292-0.0561504j 0.177019+0.116139j 0.05941+0.114148j -0.12338+0.0263092j 0.0310885+0.0392196j -0.112082-0.0849251j -0.125976+0.000643354j -0.127874+0.115653j -0.0430817-0.0202033j 0.0593567+0.0502445j -0.131285+0.112253j -0.147818-0.00579803j -0.0064397-0.134707j 0.0312964-0.103566j -0.0256462+0.0554223j 0.0492513+0.0801134j -0.090092+0.0552178j -0.0644903+0.0105253j -0.0150848-0.0932273j -0.042068+0.0568228j 0.00366555-0.0791646j 0.0534026-0.057409j 0.0267802-0.222099j -0.0261138-0.0405217j 0.0427549-0.253232j -0.0294277+0.0397283j 0.00267048+0.0469548j 0.0149978-0.125667j 0.127234+0.0519645j 
0.00722466-0.0381481j -0.0445238+0.0259459j 0.0427274-0.0433019j -0.0250863-0.0345232j 0.0243683-0.0492776j 0.0150481+0.00543507j 0.00800159-0.0373512j -0.0416043-0.0104111j -0.00582348-0.0346382j 0.0299194-0.00122227j 0.0136842+0.0025505j 0.0160157+0.0110621j -0.00728042+0.0146668j 0.0157489+0.00349448j -0.00665776-0.00464312j -0.00903129-0.00851831j 0.0417572-0.000137824j -0.0155979-0.000998717j -0.00718711-0.0451422j -0.0353669-0.0220621j 0.0320745-0.0416824j -0.0181144+0.0117516j -0.0221367-0.0249309j 0.00152762-0.0203467j 0.00259601-0.0265439j 0.0039931-0.011911j -0.00417684+0.0119787j -0.00893206+0.036418j -0.0290173-0.00129177j 0.0319366+0.0048728j 0.00667599+0.00637653j 0.0131474-0.0290139j -0.0170365-0.00380214j -0.00954026+0.0324821j 0.00477429+0.00402242j -0.0207176+0.00395057j 0.0137195-0.00720778j 0.0114071-0.0107874j 0.0366054-0.0148989j -0.00738348-0.0227914j 0.0219805+0.0425166j -0.0521609+0.0559144j 0.0967219+0.0344126j -0.0234039+0.101359j 0.130549-0.063111j 0.0812334+0.0242515j 0.106196-0.0555939j 0.0592039+0.141344j -0.0922875-0.11213j 0.0466757-0.0673632j -0.0535636+0.0446887j 0.0499555-0.00918089j 0.00126101+0.00261769j -0.0271009+0.0362087j -0.0362434-0.0563687j -0.043803+0.0140299j 0.0473884+0.044217j -0.0298303-0.132587j 0.134429+0.127428j -0.0274376-0.0835695j 0.108506-0.266587j -0.0401068-0.0960571j -0.20563+0.0206815j -0.0384987+0.0601891j 0.145882+0.123972j -0.167484+0.039064j -0.134863+0.0385045j 0.127186-0.0134157j -0.0891517-0.017303j 0.000430287+0.0353129j 0.127881-0.100437j 0.0152942-0.0725528j -0.186628-0.014913j 0.0390825+0.106545j -0.131791-0.115132j 0.170382+0.0220997j 0.0156834+0.0328921j 0.0392511+0.0933785j 0.200243-0.0958085j 0.0288415+0.0625872j 0.182635+0.0296255j 0.00358991+0.090922j 0.151477-0.0635506j -0.155763-0.00439099j -0.10717+0.0845932j -0.0790487+0.0453024j -0.0135805+0.02383j -0.0457022-0.0493331j 0.155004-0.176647j -0.14628-0.124346j 0.0246874-0.0131243j -0.0232023+0.0304508j 
0.00466784+0.0207325j 0.0125058-0.0192399j 0.0281495-0.0193389j -0.0191166-0.0336076j -0.0443412-0.0316841j 0.0697978-0.0150757j 0.00977523+0.0332148j -0.0424523+0.00725243j -0.0258173-0.0532276j -0.0088202+0.00556533j 0.0496876-0.00266094j -0.00325032+0.0102628j 0.0151781-0.0174618j 0.0209351+0.029673j -0.00016505+0.0538579j 0.00490145-0.0353933j -0.0263182-0.0276612j 0.0174881-0.0111388j -0.0274268+0.00186578j 0.0151641-0.00590634j 0.00718345+0.00626746j -0.0062352-0.00832156j -0.0074655+0.00287793j -0.0194447-0.00223844j -0.0121848+0.0249493j 0.00134038+0.0368145j -0.0132333+0.0101913j -0.00224044-0.0220118j -0.00070093+0.00208833j 0.00314349-0.0105124j -0.0195006+0.00513505j 0.0269951-0.00725099j 0.00187308+0.0142534j -0.0135927+0.00430931j 0.00535733+0.0114841j 0.00301947-0.00459531j -3.86653e-06+0.00127915j -0.00903065+0.00988025j -0.0241737+0.0209192j 0.0150969+0.0226832j -0.0119243-0.0139637j 0.00898366-0.0216615j 0.0594571+0.0443575j -0.070661+0.0773761j -0.0622729-0.133895j 0.272075-0.00295981j -0.012424+0.137936j 0.0784855-0.0787921j -0.0343225-0.134707j 0.0599143-0.109935j 0.0408083+0.116257j -0.109657-0.0454222j -0.0853553+0.195044j 0.0843197+0.0113587j 0.126444-0.258449j -0.0587337-0.0107374j -0.0462376-0.132904j 0.0360676-0.0790176j -0.0970289-0.0742487j 0.0462496+0.0102088j -0.140413-0.0608756j 0.0746122-0.0644679j 0.0964299-0.0693155j -0.00428689-0.104442j -0.0577784-0.0416383j -0.0181968-0.0360247j 0.0983001+0.16358j 0.0779047+0.039808j -0.0125343-0.0378378j 0.0753837-0.0659267j -0.177614+0.0486386j 0.0902084-0.00240105j -0.0690521-0.0571681j 0.0716071-0.14825j 0.00857152+0.0792556j 0.0128731+0.0309302j 0.00229832+0.0562986j 0.0906227+0.198923j 0.0948728+0.0879217j 0.0515569+0.0865287j -0.000150296+0.0405463j 0.10161-0.00366217j -0.116861+0.102867j 0.0949649+0.0765994j 0.0440418-0.0831288j 0.0119205-0.199874j -0.301829-0.0250132j -0.0173157+0.186595j 0.0476683-0.0899377j -0.0937359-0.0446416j -0.00523224+0.030029j -0.0187112-0.0210506j 
0.00594402+0.0371982j 0.0302665-0.0268434j -0.0290206+0.0562544j 0.0685722+0.0137679j -0.0480735+0.0155283j -0.0250356+0.0127883j -0.0250649-0.0276504j -0.02229+0.00634105j 0.0102401-0.0303892j 0.0250855+0.032771j 0.0429375-0.0156072j -0.000307536+0.0174342j 0.0227368-0.00226699j -0.00498361+4.85556e-05j 0.0102158-0.0149133j 0.0186865+0.00619061j -0.0192462+0.00703414j -0.0161402-0.0231199j -0.00699826-0.0221512j -0.0159726+0.0144063j 0.0379595+0.00794525j 0.0198641+0.0102361j 0.0133292-0.000247439j 0.016873-0.0221616j 0.000420707+0.00659555j 0.0162271-0.0245301j 0.0114312-0.0178078j 0.00552939-0.0111972j -0.0291463+0.00153251j -0.0231695-0.0174225j 0.00645087-0.0279986j 0.0141658-0.0100697j 0.0132975-0.000668368j 0.0172234+0.000270399j -0.000698774-0.00358459j 0.0156036+0.00140074j -0.0143241+0.0071347j 0.0012327+0.0140585j -0.0222673+0.0190451j 0.0148807+0.0219908j -0.0363952-0.018362j 0.0177786-0.0599754j -0.141765+0.00805083j -0.0380649-0.131196j -0.12853-0.0158211j -0.0652953-0.016945j -0.0051481-0.0920885j 0.10582+0.0274479j 0.0626488-0.14819j 0.159397+0.0245859j 0.187056+0.115762j -0.138032+0.0865404j 0.0647764-0.0190771j 0.0820573-0.0140925j -0.00123805+0.0659813j -0.0845247-0.073815j -0.00662219+0.0137061j 0.0826925-0.00409388j 0.0504418+0.10606j -0.0774948-0.0236012j 0.145829-0.125439j -0.0391542-0.185423j 0.0717798-0.0103843j -0.0704215+0.0611844j 0.0759073-0.131792j -0.0665216+0.0526008j 0.0784426+0.0140658j 0.1498-0.00037133j -0.0529712+0.0655889j 0.0672707+0.120639j -0.0320282+0.0606535j -0.113619+0.0797469j -0.0594625-0.0598732j -0.080115-0.0353261j 0.0423349-0.135077j 0.023632+0.208494j -0.0966573-0.0597419j -0.108735-0.193625j 0.178274-0.174237j -0.12752-0.0506541j 0.0458765-0.172524j 0.0421978-0.0125764j -0.155739-0.0573345j 0.0202054+0.308322j 0.198761-0.0584258j -0.0620237-0.117934j 0.0240029+0.0120807j 0.0585515-0.0357551j 0.0397945+0.092247j 0.0741794-0.0283055j -0.00868977+0.00295042j 0.00782637-0.0211069j 
-0.0496807+0.000236155j -0.0259196+0.0650105j 0.0140464+0.0339767j 0.0308191+0.00958644j 0.0695722+0.0508575j -0.0362884+0.0140035j 0.0152938-0.0220677j -0.0151228+0.0264626j -0.00910134-0.0360145j 0.0214035+0.0163512j 0.00402218-0.0209896j -0.0332948-0.0395202j 0.029931-0.00763218j 0.0178306-0.00274028j 0.0133622+0.0192971j -0.0301209+0.00426442j 0.0299302-0.0270893j 0.0178421+0.0219366j -0.00693307-0.00343845j -0.00750635-0.0104042j 0.00828479+0.0102327j 0.0113531-0.0436743j -0.0119773+0.0119911j 0.00135834+0.0234137j -0.0252874-0.0109351j -0.00197479+0.000208413j 0.018419-0.00282393j -0.0141539+0.017398j 0.0105804-0.0149598j -0.0312663-0.0020851j -0.00296213-0.0205604j -0.00221677-0.00133342j 0.00751348+0.00211276j -0.006766+0.00973476j 0.0110219+0.000894339j 8.35145e-05-0.00627364j 0.0123909-0.0213728j -0.015445-0.000984019j 0.016424-0.052844j -0.0614729-0.000368915j 0.0380555-0.00845444j -0.0192961+0.0669388j -0.0454886+0.0353762j -0.0113965-0.0251453j 0.13299+0.18431j -0.116431-0.0268329j 0.130104-0.0397405j 0.014058+0.019658j -0.0384938-0.221587j 0.0340006-0.0757835j 0.0214818-0.0547454j -0.0835739-0.122221j 0.112575+0.0593588j 0.155443+0.124338j -0.013606-0.00502124j 0.00780738-0.0424203j 0.0757269-0.25655j -0.068674-0.0649456j -0.0108373+0.043623j -0.156037+0.125976j -0.0829284+0.0523501j 0.00861798+0.121478j 0.148462-0.00586396j 0.0804209-0.0813369j 0.126851+0.0124411j -0.172603-0.0162564j 0.0452083-0.113163j -0.0776754+0.143165j -0.0389063-0.0717757j 0.0510496-0.0562924j 0.0106643+0.0375718j 0.126646+0.218834j -0.0341093+0.0170778j 0.0853784-0.0819294j -0.107057-0.0675678j -0.077741-0.126545j -0.0510757+0.120158j 0.0135436-0.0462116j -0.0452151+0.0162378j 0.0755357-0.0537061j 0.223566+0.233802j 0.102439-0.251532j -0.107912+0.0383034j -0.0209394+0.107732j 0.0243744+0.0622539j 0.0198951+0.0713139j 0.166828-0.0496894j 0.0133831-0.0609235j 0.0372246-0.00572972j -0.0200329+0.00963035j 0.0242539-0.0121558j 0.000712187-0.00807611j 
