-0.0614561+0.015979j 0.0163003-0.0345701j -0.0743835-0.0515193j -0.00770741+0.0490247j 0.0810822+0.0404414j 0.0590737-0.0233783j -0.0863325-0.161139j -0.091332-0.0450823j -0.0969216+0.0440134j -0.108789+0.0275361j -0.0429133+0.0155151j 0.0867224-0.230638j -0.0588835-0.0289608j 0.0256158+0.0524268j -0.0438444+0.0812967j -0.0113285-0.128074j -0.0747294+0.0486066j 0.149494+0.0172013j -0.125037-0.0169055j -0.087116-0.0281775j 0.0343328-0.116142j 0.0212666-0.0349451j -0.0154353-0.03361j -0.0677528-0.0508774j -0.0305057-0.0750494j 0.137794-0.0325493j 0.079677+0.0234502j 0.0673249-0.0382524j -0.00113015+0.104938j 0.0198284+0.0951107j 0.0198629+0.124053j 0.0870572+0.00394331j 0.172765+0.113479j 0.0905642-0.0660359j -0.0386836+0.0695037j -0.0473355-0.0254061j 0.0098496-0.0335195j 0.156611-0.0142107j -0.0839978+0.0297867j -0.170115-0.00333046j -0.0708374-0.130024j -0.0575344-0.0986588j -0.0892321+0.027754j 0.0282097-0.128502j -0.067625+0.0888129j 0.0324747-0.0356794j 0.0336208+0.0626774j 0.109409+0.00272627j -0.00758738-0.0912624j -0.0259869-0.117198j -0.0896766+0.0664052j 0.0441149+0.0239063j 0.0135453-0.0231541j -0.0752645+0.00419623j 0.0738056-0.0289427j 0.0242433+0.0279857j -0.00741065-0.099703j 0.0157572-0.0083022j 0.0140958+0.075285j -0.102792-0.0930767j 0.0593197+0.0801081j 0.2145-0.00287665j -0.0449217-0.0468375j 0.134136+0.128981j 0.0340824+0.0264184j 0.260592+0.0172397j 0.0225971+0.0900019j -0.0530182-0.000531062j -0.0969646-0.0835072j -0.0169747+0.0762663j 
0.0239321-0.0410054j 0.0580732-0.00589887j 0.029419-0.00437219j -0.0317626-0.0789775j 0.0972814-0.0362842j -0.000859942+0.076894j 0.0310121+0.0894291j 0.0091635-0.0526776j -0.0141364+0.0177343j 0.131073+0.0924372j -0.019596-0.146129j -0.00513819-0.053992j 0.0244805-0.0767742j 0.0163742+0.102684j -0.0315778+0.034476j 0.0691272-0.121411j -0.0490061-0.018119j 0.0637765-0.0830258j 0.0783045+0.036177j 0.0206846-0.0603974j -0.0650784+0.157502j 0.120714-0.0656009j 0.0807027-0.0894502j -0.169992+0.0167671j 0.0952524+0.0838028j 0.0962246+0.0817479j -0.0505097+0.04449j 0.00602749+0.0511981j -0.0695402+0.0712424j -0.112529+0.0579928j -0.147493+0.0448946j -0.0636162+0.0647388j 0.0193549+0.0415621j 0.00691239+0.117611j 0.0570315-0.130404j 0.0548642-0.0560034j -0.109751+0.00561107j 0.158885+0.0606814j -0.0813643-0.114598j -0.0517521-0.128487j 0.0796887+0.00441416j 0.126243+0.0887146j -0.0559785+0.014932j 0.126873+0.0556954j -0.0356697+0.0294837j 0.0647801-0.130344j -0.135661-0.101496j -0.0393956+0.164551j 0.0582166-0.0637405j -0.00705627-0.0562626j 0.0414243+0.0143165j 0.100067-0.0552513j -0.00808758+0.0998886j 0.0689255-0.0294577j -0.0649798-0.0352283j 0.0660761-0.0710355j -0.0849095-0.0191015j -0.0341757+0.00722186j 0.135092+0.0202687j -0.025251+0.113776j 0.0697725-0.0821737j 0.0205189-0.185951j -0.0555656+0.0154337j 0.0876429-0.203912j -0.0402447-0.0590348j 0.0633655-0.213072j 0.00806837-0.0538851j 0.0311016-0.03063j 0.042127-0.0786053j -0.0836222-0.0778212j 
0.0356279-0.0387358j 0.0367589-0.0134264j 0.0458173+0.0485716j 0.0422226-0.0535924j 0.0189293-0.102501j 0.0386371+0.0455711j -0.0299426+0.167218j 0.12509+0.0851752j 0.0150467-0.0607206j 0.168977+0.00433363j -0.0264462-0.110945j -0.124619+0.00557896j 0.0275278+0.083855j -0.0223924-0.154837j -0.04076-0.0933519j -0.00921318+0.0549829j 0.0136063-0.151616j -0.0790464-0.000840835j 0.0156657-0.0479074j 0.113579-0.0402468j -0.0451504-0.0641234j -0.0446387-0.00346724j -0.0407417+0.0123157j 0.0990405-0.0103253j 0.0295905-0.0351907j 0.0081564+0.000405093j -0.159573+0.0621259j 0.109365-0.0247966j 0.0879499-0.014749j -0.109785-0.0396397j 0.0419941+0.104146j 0.0686089+0.151646j 0.0157362+0.0898263j 0.0836264-0.104773j -0.127427+0.0801745j -0.00138496-0.152337j 0.168851-0.0272874j -0.0153954-0.0460881j -0.0228701-0.0298813j -0.028382+0.114359j -0.0385489+0.0199997j -0.040346-0.133232j -0.0631361-0.10921j 0.0336807-0.0948308j -0.196823+0.0771814j 0.0937001+0.0805847j 0.102159+0.0310043j 0.0856396+0.032244j -0.147452-0.158324j 0.0337344-0.0817782j -0.115359-0.0506835j 0.109929+0.14263j -0.040578+0.00782343j 0.0231586+0.0428791j 0.0419956-0.0575499j 0.0336016+0.11786j 0.145586-0.145577j -0.0902254-0.0224691j 0.111936+0.0781934j -0.00258168+0.0598121j 0.124882-0.00939449j 0.0621169-0.0494791j 0.0769976-0.142879j 0.0398065-0.0257291j 0.0243082-0.073618j -0.0824232+0.00863768j 0.0349136-0.18781j 0.173703+0.0187973j -0.00969354+0.0241313j -0.0306692+0.00697392j 
-0.00229735-0.000929874j -0.0167697+0.0292785j -0.0939144-0.0482699j -0.0736042+0.135596j -0.0347068+0.0551319j -0.108764-0.0031719j 0.0243942-0.0624486j -0.086971-0.0100361j 0.0937358+0.0173974j -0.0461499-0.0387781j 0.0128113+0.171691j -0.137019+0.0411389j -0.0418447+0.118249j -0.0335385+0.0346275j 0.126077+0.0438346j 0.0971813+0.142431j 0.0273417+0.0671901j -0.0158592+0.0688925j -0.0269145-0.00331177j -0.056059+0.0656102j 0.0568926+0.0993708j 0.0085277+0.0459778j 0.0242752-0.0211414j -0.0986371+0.0759117j 0.0241524+0.0865146j 0.0397705+0.111943j -0.0480092-0.0474746j 0.107001+0.0697679j -0.0908527+0.0928931j -0.0192183-0.00970619j 0.00680937+0.0937691j 0.00760906+0.147413j -0.0451157+0.00476239j 0.11097-0.103098j 0.131814-0.00391799j 0.156796-0.0746706j 0.0812496-0.0281667j -0.000484039+0.0316079j -0.0906363-0.110961j 0.0322974+0.0766222j -0.168485+0.00140074j -0.00948754+0.100151j -0.117102-0.0256553j -0.089881+0.0516422j -0.201222-0.0980283j 0.157458+0.0652016j -0.0494232-0.0460341j -0.114951-0.0649142j -0.109705-0.247521j -0.0277389-0.0623389j 0.118675-0.12542j 0.000522932+0.00458863j 0.0942631-0.0302141j -0.00585393+0.0534886j -0.0649822+0.0576573j 0.0106185-0.0885301j -0.130423-0.205582j 0.0375224+0.126677j 0.0160897-0.153775j 0.0265873+0.0313105j 0.0690908-0.098039j -0.0125059-0.0561079j -0.153191+0.00866102j -0.00565964+0.0824396j -0.144992+0.00236125j -0.0723003+0.121407j 0.0791663+0.083667j -0.102258+0.0773051j -0.0133769+0.0134954j 0.0285744+0.0294972j 
-0.015405+0.0319578j -0.0297493+0.0363183j -0.0303567+0.00688508j 0.037014+0.0382739j -0.0341918-0.0357253j 0.115256+0.0184997j 0.0131874-0.096361j 0.0295876-0.0258756j 0.0389447-0.0870038j -0.0169848-0.0663222j -0.112167+0.0788814j 0.0419791-0.152132j -0.12369-0.0752532j -0.0965858-0.0669303j 0.0391771-0.175372j 0.152208-0.00279393j 0.0756793-0.0168797j 0.0871669+0.176152j 0.191862+0.115095j 0.158207-0.134097j -0.0278535+0.1083j 0.0860301-0.0109021j -0.048471-0.00199722j 0.0642609-0.0621268j -0.0735639+0.00920462j -0.0485545-0.131153j -0.0660982+0.041194j -0.0536695+0.118216j 0.200103-0.0644116j 0.0871801+0.0258814j -0.0229924+0.0634087j -0.14188-0.0417161j -0.00715426-0.0318251j -0.019713+0.0190523j -0.122785+0.128725j 0.0616262-0.0464071j -0.0811787-0.0763897j 0.04292-0.0440342j -0.143524+0.0454056j -0.0599572-0.0578976j -0.0833374+0.152893j -0.016795+0.0762976j -0.00659321-0.105909j -0.00145555+0.0230144j -0.0548559+0.0176555j -0.122201-0.0219033j -0.0131542-0.0462639j -0.0379685+0.0290979j 0.0761131+0.0253787j -0.0903032-0.0976647j 0.105023-0.13139j 0.0374892-0.057022j -0.0558364+0.0348989j -0.102429+0.123288j 0.00551039+0.105201j 0.13151+0.137499j -0.0973396-0.0549627j -0.105023-0.0749846j -0.0507279-0.021701j -0.0893992+0.0787557j -0.134671+0.140682j -0.116251-0.161669j -0.141852-0.0470575j -0.119915+0.145805j 0.0722672+0.0668418j 0.00854445-0.0735789j -0.000848216-0.0268915j 0.0220859+0.0406035j 0.00969351-0.0466396j 0.00329975-0.0140434j 
0.00389775-0.0254701j 0.00890078-0.0267186j 0.0451836-0.00728842j -0.0035681-0.030425j 0.0395506+0.0520093j -0.131158+0.0534386j 0.0721589+0.138501j 0.0714269-0.00299627j -0.0990637+0.0291368j -0.0335551-0.0329709j 0.00602387+0.08488j -0.125071-0.0452951j -0.0521828+0.0969323j 0.188972-0.00906934j 0.136778+0.0281028j 0.158344-0.141342j -0.00569052+0.150051j 0.15633+0.211758j -0.0461769-0.0096824j 0.111297+0.134294j 0.0475692+0.0116373j -0.0351969+0.0342531j -0.060535-0.180273j 0.0734873-0.116822j -0.0319654+0.109149j 0.0401255-0.13733j 0.0761547-0.0687139j -0.000919371+0.0482731j -0.0513829-0.142045j -0.0941276+0.0568765j -0.0249004+0.0245594j 0.00735467+0.0669841j 0.156507-0.0276773j -0.121198-0.00284025j -0.0611435-0.0657015j 0.0314939+0.00923945j 0.0670885+0.0297397j -0.0738556-0.0269996j -0.0889092-0.0771402j 0.068061-0.018446j 0.157472-0.0138512j 0.0156644-0.0749969j 0.0576776+0.0431776j -0.0856112-0.0240757j -0.0403245+0.0028705j 0.009642-0.138947j 0.043818+0.0485332j 0.0144018-0.0171928j 0.057693+0.0982922j -0.039495+0.00416633j -0.0467024+0.0395461j -0.173482-0.00688515j -0.00313022-0.00285432j -0.215963+0.0575954j 0.0300068+0.0273719j 0.0244561+0.0279843j 0.0455819-0.0314073j -0.149927+0.120626j 0.00383978+0.0968265j -0.0294273+0.216549j 0.185739+0.11581j -0.126258+0.054357j 0.0254826-0.0505875j -0.0223848-0.127795j -0.165306+0.0490982j 0.0522636+0.11469j -0.00237726+0.016722j -0.0236284-0.00361096j 0.0108581+0.0222248j -0.00272165+0.00716332j 
-0.0277793+0.0253249j -0.000637866-0.0476766j -0.113524-0.0225472j -0.0365958+0.0967512j 0.0720871+0.141613j -0.170377-0.00343633j -0.00584183+0.0423567j -0.0370076-0.0309218j -0.012719-0.0931641j 0.154009+0.120877j 0.0832509-0.0681783j 0.0111337-0.079681j -0.0479535+0.159887j -0.144267+0.0675663j -0.0829813+0.0919138j 0.0460465+0.104046j 0.036468-0.0607402j 0.0338931+0.0165967j -0.0292865+0.0194172j -0.0647548-0.0968083j -0.0342862+0.0553856j -0.0957222+0.153969j -0.130534+0.158659j 0.0937208-0.00366565j 0.160495-0.0631487j 0.034446-0.136489j 0.0777543+0.0968798j -0.0810257-0.0429923j 0.0425504+0.0635277j 0.0941201-0.0812135j -0.114597+0.0354989j -0.0407725+0.0952997j 0.00612359+0.016102j -0.10881+0.0434808j -0.222868-0.0305149j -0.137387+0.00242555j -0.0560011-0.0801467j 0.0121457-0.0494757j 0.0805832-0.0948465j 0.0208439+0.0162489j 0.0336851+0.0315776j 0.189861+0.0764124j 0.105924-0.069749j -0.00905052-0.0671515j 0.0187583+0.115619j -0.00291455-0.0706836j 0.0921116+0.063031j 0.0148586+0.0426152j -0.0492236-0.0375845j -0.0660776+0.109553j 0.122579+0.131371j -0.0648544+0.041992j -0.0704285-0.0282709j 0.0390442+0.122322j -0.067672+0.14309j 0.150691-0.0913025j 0.0601506-0.0229604j -0.00300141+0.111143j 0.151116+0.134069j 0.105586-0.193769j -0.136869+0.0163473j 0.0219208-0.0677363j -0.0595888+0.00371495j 0.00378497-0.000914396j -0.145842-0.000454031j -0.0466845+0.0599646j 0.0737746+0.0553959j -0.012311+0.0440459j 0.00699989+0.00859666j -0.00119887-0.0334497j 
0.00693146-0.0239147j 0.00440701-0.0209388j 0.0502945+0.0127984j -0.0117208-0.0399081j 0.106446-0.0660565j 0.0708353+0.0850083j 0.0565037+0.00716714j 0.0581575-0.0445143j 0.13252-0.00377787j -0.113833+0.171114j 0.111919+0.225837j -0.0705926-0.0245699j -0.150735-0.0402187j 0.0290325-0.0617805j -0.0451757+0.0853647j 0.0422182-0.0255077j -0.248669-0.083712j -0.0166514+0.00729509j 0.132417-0.0527919j -0.0174536+0.0342845j -0.0703368+0.0646414j -0.123185+0.116068j -0.0154244-0.00732091j 0.0400844-0.0229744j 0.0504282-0.131892j -0.0714761-0.00456928j -0.076128+0.0122283j -0.0284306+0.0183615j -0.0350668+0.0351307j 0.0863036-0.0341265j 0.00774453+0.0358675j 0.164322-0.0209024j -0.0350352+0.0185649j 0.00283109-0.00626765j -0.0679691-0.000839097j 0.0586286+0.00421505j -0.0758993+0.0117028j 0.133383+0.0234232j 0.0560011+0.00774111j 0.0180263-0.0419166j -0.0297822-0.0891809j 0.02455+0.138533j 0.0273216+0.090853j 0.0511842+0.0670886j 0.0477707+0.152889j 0.0927604+0.106005j 0.0656722+0.141811j 0.0474513-0.202257j -0.0346157+0.0122057j 0.0563345-0.00225749j 0.141983-0.076629j -0.0308322+0.0430549j -0.209058+0.256605j 0.00915328-0.162534j 0.188756+0.174496j -0.154458-0.0377306j -0.138616-0.00546092j -0.105544-0.00761189j -0.0631249+0.138492j 0.0784662+0.13817j 0.104284-0.0784448j 0.0682028+0.040296j -0.0280134-0.0259476j -0.0701875+0.00695878j 0.0234276+0.0409498j -0.0127648-0.0118345j 0.0096686-0.000765342j -0.0170313-0.0168221j 0.0146995+0.0136191j -0.0086841+0.0014333j 
0.00123983+0.0450918j -0.043453+0.0338419j -0.0957642+0.0509828j 0.033226+0.108165j -0.193116+0.00993661j 0.0344536-0.00589945j 0.127106+0.0198698j 0.0590968-0.0787887j 0.131652-0.122278j 0.0751211+0.0213149j -0.0495701+0.0542766j 0.0663466-0.00607513j -0.0868189-0.0260931j 0.0503063-0.0612681j -0.130172+0.112882j -0.0636687-0.173579j -0.0186357-0.110011j 0.100368+0.00329862j -0.0831505+0.0134996j 0.109505+0.162743j -0.0374277-0.00402555j 0.0865661-0.11108j 0.109386-0.0185827j -0.0371869+0.0504443j 0.016329+0.0632344j -0.069208+0.0364931j -0.00456941-0.0538028j 0.0142899-0.168508j 0.00817546-0.068848j -0.110071-0.155994j 0.056016-0.0190687j 0.0703494-0.0419464j -0.0182154+0.0767547j 0.0501035+0.0726065j -0.104756-0.0671412j 0.0772744+0.0950096j -0.0242862+0.0236324j -0.0722408+0.0625231j 0.0946884+0.0856055j -0.0757061-0.0615209j 0.0303211+0.0397029j 0.152551+0.0350585j -0.0166598+0.118756j -0.137916-0.0723053j -0.115322+0.0695119j -0.00364246+0.00504957j 0.0999573-0.0166883j 0.0844748+0.0980203j 0.010751+0.0367984j -0.0533211-0.185146j 0.12943+0.127453j -0.174953+0.0637931j 0.102672+0.111099j 0.111568+0.0922924j 0.132319-0.215738j -0.0460946-0.184309j 0.135362-0.13522j -0.0416904-0.0713559j -0.0963267-0.0376179j 0.00159016+0.0241226j -0.107845-0.0402213j -0.0630887-0.134818j -0.0942947+0.0439626j 0.0104713+0.0759348j 0.00883421+0.0320211j 0.0197785+0.0250801j 0.0188588-0.0167084j -0.00386293+0.0281662j 0.00134794+0.00349724j 0.0171889+0.007013j 
0.0575082-0.00715967j -0.0269886+0.103335j 0.00136357-0.0196425j -0.0377174-0.0102627j -0.131424-0.138529j 0.00815486+0.0285838j 0.111533-0.00848696j -0.139546+0.0280811j 0.0997634+0.223886j 0.0477059+0.0427937j -0.0943974-0.0471412j -0.0880691-0.0629067j 0.00868442-0.00571803j -0.0757067+0.171188j 0.0742073+0.0385453j 0.00537571-0.0816206j -0.0483035+0.0323196j 0.0663889-0.0457913j 0.114949-0.0074427j -0.0266953-0.0301465j 0.046332-0.239658j -0.0304306+0.221834j -0.0171327-0.141686j 0.117786-0.101409j 0.0966154+0.0332712j 0.20906+0.013588j -0.0663962-0.0236355j -0.160985+0.00126135j -0.0298743+0.0328586j 0.0918836-0.0161188j 0.182186-0.0534936j -0.130256+0.0717921j -0.170449+0.0639377j 0.0368549-0.0591234j -0.0715977+0.0153197j -0.119245-0.111151j -0.12582+0.00546527j -0.0647012+0.10457j -0.0118013-0.0806806j 0.0563944+0.166627j 0.0975086+0.0506933j 0.00158837+0.0947248j 0.102991-0.0342551j 0.06658+0.0118241j -0.141106+0.121782j 0.0369482-0.0499097j 0.229323+0.052826j 0.115322+0.0631884j 0.143665+0.102311j 0.0306905+0.0817189j -0.0365482-0.0506061j 0.0058734-0.0200713j 0.103991+0.0195394j 0.0167536-0.021671j -0.0454659-0.112243j -0.037638-0.00476518j -0.00116075-0.072007j 0.0247593-0.0692857j -0.0202666-0.136756j -0.0940407+0.0491533j 0.0705239-0.0191168j 0.0332923+0.0226971j -0.0315271+0.0458245j -0.0059529+0.0756815j 0.0707779-0.0346476j -0.0272492-0.0043508j 0.0280442+0.0245363j -0.0538888+0.0267869j 0.0227139-0.0108868j 0.0112388+0.00486316j 
0.0190255-0.089127j 0.0704565+0.03076j -0.0620859+0.035582j 0.0392357+0.0577227j 0.00892124-0.150459j -0.0276069-0.0232812j -0.0583082+0.129794j -0.062309-0.120445j -0.135703+0.0858664j -0.136561+0.0290419j 0.0341946-0.02666j 0.0141541-0.0347038j -0.026376+0.00557886j -0.141307-0.165276j 0.0393267+0.102684j 0.0859565+0.0727334j -0.0441579-0.0269518j -0.0212453-0.0593068j -0.0274543+0.146773j -0.156199+0.0243692j 0.0298204+0.0736686j 0.143629-0.134765j -0.138707-0.0680716j 0.181277-0.109764j -0.0949687+0.114918j -0.195374-0.0737874j -0.0381002+0.144498j 0.0550223-0.054661j -0.12378+0.179553j -0.0861675+0.0633712j -0.0429253-0.188717j 0.00685219+0.0210104j -0.0517126+0.0425468j 0.197025+0.0179126j -0.123061-0.109354j -0.0393707+0.107516j 0.118265+0.190485j 0.0540443-0.103614j -0.131857+0.112196j 0.154358-0.101049j -0.0307489+0.0237336j 0.0464238-0.00774824j -0.112286-0.0687522j -0.0630593-0.00061941j 0.0549786+0.0128992j 0.0239312-0.0765037j 0.118215+0.0345835j 0.0591596-0.00250551j 0.0992367+0.0435868j 0.0397512+0.217226j 0.0137521-0.0358611j 0.103538-0.0864534j 0.0271575+0.0374559j -0.0149589+0.0549332j -0.0545697-0.0379392j 0.00107172-0.0151959j -0.0129363-0.112345j -0.00516539-0.110043j -0.093114+0.0401545j 0.0262669+0.0175706j -0.00227693-0.0324906j 0.00163114+0.0156551j -0.0218493+0.0783616j 0.048255+0.0152567j -0.0270877-0.0107877j -0.0261686+0.048646j 0.0240409-0.0271023j 0.0118505+0.00583867j -0.00228832-0.0063157j 0.000157774+0.00977552j 
