0.0057184+0.00211609j 0.00179714-0.00157879j 0.000893858+0.00224454j -0.0114205-4.62418e-05j 0.00320198+0.00395386j 0.0012985+0.00353294j -0.00250957+0.00476837j 0.0019657+0.000288075j 0.000999752-0.00249588j 0.00103472-0.00219607j 0.00148674-0.00282753j -0.0015876-0.00331992j 0.00642281+0.00597935j 0.0160008+0.00459429j -0.00697678-0.0005768j 0.047596-0.0094058j 0.0255041+0.023824j 0.0198517+0.00363676j -0.00879024+0.0149607j -0.0030282+0.0088438j -0.00469306+0.00985681j -0.00876683+0.00553533j 0.0075762-0.00397384j -0.0035089+0.00106119j 0.00721851+0.00307361j -0.00311399+0.00790259j -0.00389187+0.00880542j -0.00280867-0.0025101j 0.00199811-0.00560146j -0.00920972+0.00438879j 0.00243588-0.0106739j -0.00237789-0.00168158j -0.00627793-0.00704681j -0.00229192+0.00603446j 0.016205+0.0183306j 0.0179276-0.00272293j 0.00307876+0.0063696j -0.00974496+0.00306462j 0.00303916+0.0264495j -0.0118429-0.00657397j -0.00127699+0.0259993j 0.00782969+0.0196976j -0.0133409+0.0178139j 0.00939404+0.00669554j 0.00322236+0.0141185j 0.00383673-0.00569996j 0.00704734-0.0197099j -0.00870864-0.00893842j -0.00158568-0.00439331j -0.0023355-0.00472746j -0.00134358-0.00554903j -0.00174859-0.000137378j -0.00233753-0.00424103j 0.000258906-0.0102042j -0.00830917-0.000690566j -0.00572162-0.00327448j 0.00142755-0.00415692j 0.000559646-0.0090617j -0.00232127-0.00114246j -0.00265067-0.00723771j -0.00498008+0.00239706j -0.00894193-0.00242294j 0.00288899+0.0039678j -0.00205282+0.0125232j -0.00179193-0.00441238j -0.000637634+0.00679232j -0.000858604+0.00684546j -0.00827324-0.00287061j 0.00545024+0.00595132j 0.00237097+0.00237871j 0.00516093-8.31691e-05j -0.00662853+0.00740048j 0.00164835-0.00675827j -0.00307055-0.000245941j 0.00619601+0.00657017j 0.000519194-0.00958261j -0.00871042-0.0100074j -0.00709489+0.00109928j -0.00390691-9.10797e-05j -0.0076544+0.00676284j -0.00140415+0.00986869j -0.0127432+0.0110016j 0.00067495+0.00921178j 0.0133549-0.000138182j -0.00695126-0.0140904j -0.0149654-0.000512603j 0.0057977-0.0327767j -0.0133975-0.00664071j -0.0133519+0.00890467j -0.012309+0.0221893j 0.0247921+0.0181449j -0.0162616-0.273437j -0.146903-0.0736735j 0.00864201+0.0287283j -0.0405297-0.0345847j 0.06633+0.0431052j -0.630674+0.0233202j 
-0.000777847+0.00162665j 0.00595722+0.00256711j -0.00886975-0.00166514j -0.00649176-0.00447104j -0.00683172-0.000603629j -0.0075785-0.0011364j -0.0125844-0.00373195j -0.000344527+0.00118415j 0.00510069+0.00144819j 0.00442101+0.000538765j 0.00628+0.00042268j 0.00528184-0.000375841j -0.0113377+0.00299209j -0.0117286+0.00651762j -0.000621524-0.00113927j 0.0267165+0.0242803j -0.0464053+0.00915645j -0.00439411+0.0159847j -0.0185381-0.00715046j -0.0104258+0.00133238j -0.00808164+0.00133977j 0.000206589-0.00891632j -0.00133927+0.00569607j 0.00200168-0.00335911j -0.00983435+0.00708237j -0.0101108+0.00224119j -0.00734996+0.000911347j 0.00329977-0.0035129j 0.00676214-0.00111196j -0.00370742-0.00405149j 0.0138992-0.00214845j 0.00186649-0.00186631j 0.00732499-0.00543476j -0.00906242-0.00282514j -0.0152212+0.012511j 0.01115+0.0327687j -0.00105066-0.00575566j 0.000170702-0.014919j -0.0121628-0.00200577j -0.000237871+0.0238713j 0.013726+0.00836339j 0.0126825-0.0182306j 0.00365579+0.0237201j 0.00448531-0.00296947j 0.00118406-0.00358753j -0.010961-0.00774099j -0.00756053-0.00284672j -0.00214246+0.013324j -0.00393278+0.0108635j 0.00186983+0.0136117j 0.00220679-0.00316586j -0.00972014-0.00146121j 0.00225389+0.00150435j -0.00328201-0.00266388j -0.00673593+0.0023397j -0.00248055-0.00290344j -0.000586511+0.00937352j -0.00131633-0.0084498j 0.00115878-0.00940979j -0.00219123+0.000710134j -0.00800484-0.00520093j -0.00192072-0.00827158j -0.00127928+0.00467606j 0.00855605+0.00929539j -0.000355301-0.000570962j 0.00106872-0.00518832j -0.00549645-0.00290589j -0.00705549-0.00404348j -0.00235866-0.00327056j -0.00711259+0.000321977j 0.000418944-0.00729101j -0.00501416-0.0117814j 0.00133144-0.00234228j 0.00234928+0.00466143j -0.00460828+0.00357123j -0.00289731+0.00186362j 0.0107651-0.00515845j -0.00284765-0.00694221j 0.00552188+0.000207438j 0.00219106-0.00563196j -0.0158691+0.0106901j 0.00387418+0.0105294j -0.00483931-0.00984459j 0.000372733+0.0156721j -9.77777e-05+0.000266936j 0.00229521+0.00105675j 0.0137844+0.0139553j 0.0119912-0.0422053j 0.00243042-0.00630537j -0.0263228-0.00980186j -0.00881301+0.0143231j 0.146924+0.0746455j -0.0149952-0.274002j 0.0312725+0.0389961j 0.0115862+0.0229144j 0.630939-0.0227116j 0.0658567+0.0427077j 
-0.00288637+0.00103112j -0.0156125+0.000770732j 0.00394426+0.00921374j 0.0110031+0.00673793j -0.00286342-0.0064699j -0.00698478-0.003613j 0.00798911+0.00110303j -0.00761577-0.00483364j -0.00859569+0.00142598j -0.0076335+0.00708247j -0.011647+0.0194251j 0.00766812-0.00741262j -0.0132663+0.00383293j -0.0474463+0.0207428j -0.00342371-0.0311451j -0.0225396+0.00605287j -0.00294426-0.00533008j 0.0222911-0.00193091j -0.0163558+0.0052275j 0.0104983+0.00693226j 0.00516524-0.00249298j -0.0147658+0.00960163j 0.005367+0.00428502j -0.00762744+0.00409456j 0.0107045+0.00661275j 0.00805896+0.00252164j -0.00019134+0.00845765j 0.00435777-0.00263836j -0.00486863-0.00286962j -0.00231005+0.00997897j -0.0184432+0.00673555j -0.00387038+0.00738663j 0.015234+0.0330216j 0.0300193+0.022799j 0.0638686-0.00274387j 0.0903323+0.0501472j -0.0210234+0.00864334j -0.0485072-0.0147791j 0.025454-0.0328014j 0.0241626-0.00544262j -0.0169262-0.0209921j -0.0344875-0.00198252j 0.0580112-0.0224763j -0.0281131-0.0255473j 0.0293449-0.0115753j -0.00480168-0.0633021j -0.0507389+0.0142301j 0.0116781+0.0207436j -0.0174037-0.0594454j -0.0135841+0.0104168j -0.0282238+0.0180829j 0.0093684-0.056122j 0.0093814+0.0654954j -0.012794+0.00337205j 0.0217055-0.0544687j -0.00319023+0.0112407j -0.0455187-0.0385825j -0.00771245+0.0187033j 0.00595277+0.0102814j -0.00752191+0.00511458j 0.0296984-0.0541783j 0.0123598+0.00796828j 0.013801-0.00061502j -0.0288618-0.0675888j 0.011747+0.0409939j -0.00220879-0.00176585j 0.0369849-0.0496898j 0.038319-0.0543863j -0.00887033+0.00860855j -0.00805611-0.0106056j -0.02305-0.0131063j 0.0340283+0.00138242j -0.011575+0.062008j -0.00787017+0.0354594j -0.0240136-0.0489577j -0.0191451+0.0278808j 0.0424444+0.0810511j 0.00625132+0.0303989j 0.0122542+0.0656235j 0.0120345-0.0298842j 0.0425877-0.014349j 0.0262719-0.145385j -0.0108504+0.00726997j -0.0712936+0.0340409j 0.0102163+0.154556j 0.145565-0.0361902j -0.0437025+0.213729j 0.129095+0.264511j -0.10204-0.145954j 0.0470623-0.000458021j -0.193932-0.0326896j -0.0844774+0.113951j -0.025496-0.0359171j -0.0785068-0.0835375j 0.582846-0.0529308j 0.0211996-0.0324616j -0.0333852+0.00244183j 
-0.0227226+0.00216056j -0.00172361-0.00299719j -0.0116977-0.00403524j 0.00543005+0.00607002j -0.0140125-0.00266855j -0.00535226+0.00432387j -0.00286228-0.00379585j -0.00758442+0.00671335j 0.00284235+0.00809762j 0.0096658+0.00714197j 0.0249707+0.00579341j -0.00188919-0.00374254j -0.00608589+0.00743673j 0.00130574+0.0343276j -0.0496377+0.0210992j 0.00793947+0.00337921j -0.024073+0.00123033j 0.0113124+0.0022957j 0.0372489+0.00199429j 0.0291386+0.0167296j 0.0241314-0.0035441j 0.0100195-0.00117961j -0.0187147+0.00350268j -0.000388052-0.00054964j 0.00538263+0.0114315j 0.0278916-0.00586326j 0.0217313+0.00383531j 0.00393714-0.0129829j -0.0170589+0.00229842j 0.0245079-0.00871092j -0.0215563+0.0169191j 0.00732823+0.00297774j 0.00876072-0.0177167j 0.0544146-0.00331494j 0.0298484-0.00358199j -0.0209142+0.0130705j 0.0130657+0.024043j 0.0554652-0.0398737j 0.089139+0.0494527j 0.0217506+0.0206905j 0.0552192+0.0103449j 0.0613168-0.0212104j -0.0227354+0.0194041j 0.0263272+0.0903486j -0.0419945+0.0370125j -0.0221759+0.0572919j 0.00510505+0.0059005j -0.0259933-0.0270839j 0.0034436+0.0798769j 0.0221499-0.00351006j 0.0567898-0.013547j -0.0245199-0.0086838j -0.00996716-0.0470114j 0.00175659+0.0179942j -0.0326892+0.0372047j 0.00938812-0.0485005j -0.00845577+0.0398469j 0.0315666+0.0229919j 0.0108599-0.00673823j 0.00326321+0.0155345j -0.0216886-0.0269955j -0.0104153-0.0526929j -0.0156227+0.0014545j 0.0380472+0.0273873j -0.0213045-0.0275131j 0.016224-0.000804303j -0.038145+0.0408601j -0.0501771+0.0502555j 0.0190997-0.0268617j 8.25468e-05-0.0321539j 0.017847+0.0231695j -0.0283707-0.0593613j 0.0431861+0.00500739j 0.0339349-0.0172933j 0.00645755+0.00569679j 0.0044762+0.0107232j -0.0133408-0.0984866j 0.0347361-0.0541467j -0.0207728-0.0665937j 0.0503779-0.0253591j -0.0680608+0.00913957j -0.0554085+0.0263473j -0.050677-0.014019j 0.0380684+0.0259195j 0.00222308+0.00449949j -0.126584-0.125481j 0.0900745+0.319023j 0.0770295-0.244842j -0.0178169-0.0440045j -0.0126366+0.0250961j -0.0382564-0.0988942j -6.82398e-05-0.021231j 0.0833906-0.120575j 0.60051-0.0371755j 0.128354+0.0621081j -0.0180449-0.000236218j -0.027354+0.0336418j 
-0.00995879+0.00205755j -0.0163962-0.00192713j -0.00898523-0.00318058j 0.00194825+0.00545891j -0.0105641-0.00219724j -0.0128048+0.000690844j -0.000719444+0.00224099j -0.0124076+0.000531372j -0.00345743+0.00308258j 0.00138436+0.00383974j 0.0120896+0.00636264j 0.00232591-0.0055903j -0.00277011-0.00221069j 0.000922319-0.00706422j 0.0454241-0.0512267j -0.0132111+0.0214087j 0.003036-0.0214308j 0.0151311+0.011591j 0.0219263-0.00690383j 0.0031506+0.0130181j 0.000127575-0.00617703j -0.0127849+0.00283615j -0.0178934+0.0137215j -0.0134582+0.00199531j 0.00650364+0.0221168j 0.00504819-7.3159e-05j -0.00524566+0.0156303j 0.00720752-0.0253559j -0.00340847-0.00597338j -0.0132809-0.0104168j -0.0204607+0.00732806j -0.0133602-0.00144415j -0.0334986-0.0267828j 0.0135732+0.0102797j 0.0929822+0.030003j -0.0354626-0.02439j -0.0806386-0.00627385j 0.0660715-0.0181565j -0.0812652-0.05096j 0.0251637+0.0157586j 0.054529+0.0384107j 0.0695762-0.00240537j -0.0915014+0.0292893j 0.0589528+0.163089j -0.105487+0.0638221j -0.031391+0.103433j 0.0745327-0.00549009j -0.00864652-0.0753154j 0.0439988+0.159849j 0.11026-0.0140729j 0.084981-0.0175031j -0.0300395+0.0410824j -0.0208543-0.112581j -0.00463325-0.037725j -0.0677468+0.130887j 0.00870859-0.0511285j 0.032652+0.0907106j 0.0206904+0.00159389j -0.00428835-0.00099258j -0.00673558-0.00195862j -0.0475211-0.00626033j -0.0266192-0.0673226j -0.00184115+0.00812891j 0.121935+0.137372j -0.0473302-0.0557827j 0.00952411+0.0375137j -0.0774181+0.103286j -0.122018+0.143297j 0.0209948-0.0824252j 0.0125588-0.0189579j 0.041913+0.0479442j -0.101109-0.0504932j 0.053522-0.0559738j 0.0173072-0.0295352j 0.0284967+0.0682963j 0.00292125-0.0593962j -0.0429445-0.197032j 0.0507896-0.0504117j -0.0304721-0.0914553j 0.0640577+0.0951192j -0.156454+0.0335778j -0.0426024+0.206265j -0.0559407+0.0201682j 0.16067-0.00627803j -0.0620952-0.102805j -0.258728-0.0380762j -0.0580785-0.0777904j 0.0363939+0.225894j 0.0100952-0.039069j -0.209799+0.000637111j 0.272129-0.0463439j -0.0467165+0.0260707j -0.0130371+0.0141712j -0.19981+0.00541848j 0.217787-0.0449989j 0.00533724+0.00556847j -0.0240255-0.00449242j 
-0.00165565-0.00508941j 0.0341205+0.0061135j 0.00757702-0.00389972j -0.0113558-0.0119519j 0.00708126+0.000594502j 0.0185941+0.00505479j 0.00107309-0.0116482j 0.0112803+0.00893586j 0.00918227+0.0149503j 0.00666621+0.00753332j 0.00501065+0.00386369j -0.00795376-0.0121711j 0.023506+0.00948863j 0.0139574+0.0483545j 0.00810516+0.00510774j -0.0200322+0.0418634j 0.0139439+0.0384818j -0.053154+0.0104373j 0.00405753+0.0203945j -0.0427299+0.0140375j -0.025605+0.00891488j 0.011038-0.00911913j 0.0394242-0.000190499j 0.0245995-0.00546575j 0.0107627+0.00805176j 0.000241705+0.00652297j 0.0400394-0.00475007j -0.0334076+0.0151636j -0.0113031+0.00209407j -0.0241519+0.00402312j 0.0425599-0.0140048j 0.0129451+0.00203923j 0.00744175-0.0137875j 0.090226+0.0223404j -0.0345122-0.0201953j -0.0437903-0.00830078j 0.0445793-0.0514102j -0.00985858+0.0261725j -0.0769732+0.008533j -0.0669174-0.0491406j -0.0450475-0.0362166j -0.0547044+0.0242966j 0.0431589-0.00736458j -0.021979-0.157071j 0.0631337-0.0406785j 0.0394042-0.00704139j 0.0246598+0.00211913j 0.0296794+0.0191234j 0.00468799-0.0860414j -0.0271447+0.0192419j -0.111902+0.0156054j 0.0337607+0.0996938j 0.044931+0.022448j -0.0415254-0.0316093j 0.0181375-0.0621697j -0.0293226+0.125161j 0.035381-0.0266644j -0.0781258-0.107433j -0.0784419+0.0419266j -0.00931568-0.00176032j -0.0124724+0.0684866j -0.0365231+0.135662j 0.0380165-0.0540157j -0.10945-0.0116268j 0.0352372+0.0500264j 0.00733923-0.00295834j 0.070347-0.0147914j 0.0472746-0.0780438j 0.0317143+0.0772987j 0.0533853+0.0952925j 0.00891262+0.0617624j 0.0800389+0.0847345j -0.0464792-0.0206796j -0.0981497+0.0311721j 0.00280066+0.0383099j 0.0507232-0.107712j -0.0627925+0.0695509j -0.00055226+0.0281525j 0.0351817+0.132077j -0.082212+0.0685159j 0.15016+0.0466395j 0.061724+0.186918j 0.117122+0.232573j 0.0822272-0.0881543j 0.0099092-0.147882j 0.046608-0.168815j 0.0473825+0.0384831j -0.0528478+0.041157j -0.343229+0.0135132j -0.0723199-0.05948j 0.39316-0.0626183j -0.0241298-0.0525412j 0.0592032+0.0317422j 0.105267-0.0080156j 0.103213-0.0112225j -0.0500267+0.0195509j -0.0234019-0.0212225j 
0.00173585+0.00697979j -0.00898656-0.00119731j 0.00691086-0.0231136j 0.0127062-0.0134826j 0.00145694+0.0243377j 0.0140704+0.0405085j 0.00431551+0.0126705j 0.00149195+0.026343j 0.00468815-0.0140623j 0.00554425-0.0158926j 0.00889662-0.064218j -0.0115378+0.0164808j -0.0248701+0.0146112j -0.013775-0.0194198j 0.0326089+0.000591785j -0.0203565-0.025988j -0.0175375+0.0321305j 0.0161346-0.0146939j -0.0172812+0.0133408j 0.0244116+0.000474339j 0.0254308+0.00370566j -0.00754715-0.00935136j -0.00285568-0.0137684j -0.0141682-0.00250969j 0.0153379-0.00403757j 0.0301271-0.000712245j 0.000295714-0.00196125j 0.0232589+0.00110057j -0.00384447+0.00271543j 0.0273338+0.0178209j -0.0143969-0.010971j 0.0252325+0.0103779j 0.017199-0.0152398j 0.057591-0.0281301j 0.0265168+0.0175153j 0.0545826+0.013579j -0.0403697-0.00863268j -0.0082242+0.00620974j -0.0663576-0.0330673j 0.00359233+0.0151234j -0.0129168-0.0087989j -0.0205834-0.00736284j 0.0636389-0.0185285j -0.0205965-0.043909j 0.00317755-0.0190324j -0.0252539-0.0564458j -0.0627902-0.0118566j -0.100145+0.0316194j -0.0266948-0.00769081j -0.0728671-0.0219827j 0.0783163-0.0673854j -0.0178-0.158417j -0.0254876-0.0288016j 0.0508783+0.107016j 0.047087-0.021047j 0.0348544-0.0762269j -0.0161812-0.0247646j -0.0126761+0.0542487j 0.000687023-0.0919092j 0.0877597+0.0155494j 0.0135473-0.000373983j -0.00766301+0.0524232j -0.0926912+0.0119156j 0.00421642-0.065538j 0.0192542-0.129748j 0.0445473-0.024208j -0.0124864-0.0138381j 0.0600106-0.0289757j -0.00374154+0.0592026j -0.0708036-0.143074j -0.0442365-0.0805885j 0.0712949-0.0411059j -0.0295748-0.0708636j 0.152762-0.0251423j 0.00028666-0.175706j -0.0379238+0.0694451j -0.00369264-0.0392398j -0.103097-0.0236543j 0.0714656-0.126279j 0.101072-0.192977j 0.00404317-0.0790865j -0.0272787-0.0167813j -0.100816-0.00926931j -0.178388-0.242491j -0.123678-0.254656j -0.0418107-0.0673483j 0.156513-0.0950723j 0.0695002-0.00489556j 0.147661-0.0886169j 0.356219-0.0671444j 0.344117-0.0106317j 0.0294932+0.0669946j 0.0124079+0.0163523j -0.0124593+0.0185707j 0.0632045-0.00364032j 0.00135417-0.0242027j 0.0296107-0.00574536j 
-0.0325036-0.00968442j 0.0283066-0.00741413j -0.0138023+0.00111073j -0.00811173-0.0009443j -0.00355028+0.000416003j 0.00328821-0.00263273j -0.00884856-0.00791546j 0.0174285+0.00372257j 0.00676406+0.000366674j 0.00688709-0.00647893j -0.0080462-0.00964595j 0.0277933-0.000781265j -0.0314474+0.0225066j 0.0165694-0.0458096j -0.0100966-0.0382048j 0.016315+0.0141827j 0.00815113-0.029394j -0.0227886-0.00511443j 0.0344484-0.000229992j -0.000504084-0.00563366j 0.0453365+0.00288346j 0.0635129-0.000796239j 0.0115743+0.00899553j 0.0529503-0.00341413j -0.0581625+0.00713448j -0.00605422+0.0010627j 0.0159573-0.0062987j -0.0348566+0.0107168j -0.00746428+0.00378685j 0.0532175-0.00469402j 0.0581524+0.00723478j 0.0456062-0.00092472j 0.0936542+0.0238971j 0.0534153+0.0106875j 0.0512558+0.0510742j 0.0288837-0.0105701j 0.0882147-0.0438191j -0.003413-0.0125707j 0.044865+0.0184416j -0.0442612-0.0437393j -0.00470795-0.00659259j -0.00348732+0.00232621j 0.0483372+0.00795661j -0.0295246-0.0868441j 0.0938337-0.028641j 0.0218185-0.0279683j 0.00105832+0.011804j 0.0162812+0.0377977j -0.0339425-0.115649j -0.0933167+0.0254131j -0.0755138+0.0123422j 0.00812959+0.0601684j 0.00444235+0.0476795j -0.00637384+0.0480698j 0.0213339-0.142956j -0.0220813-0.0175955j 0.0437609-0.0435576j 0.0309857-0.00105196j 0.0336781+0.00846216j -0.0429376-0.00473343j 0.0194836+0.0647202j 0.0391048-0.0912965j -0.00807351-0.0174555j -0.108495-0.0956736j -0.00735928+0.0627157j -0.0402907-0.122915j 0.00143988-0.024044j 0.119066-0.0159466j -0.0822547+0.0122429j -0.00408097+0.0777216j 0.0234022-0.0789896j 0.000680367-0.0679989j -0.045331+0.0485818j -0.052982+0.0214325j -0.00898248+0.0906939j 0.0316899+0.115428j 0.0929828+0.0130748j -0.0188736-0.000900439j -0.0697205-0.109472j -0.0701817-0.120023j -0.0671481+0.199351j 0.124212+0.189477j -0.060629-0.275685j -0.0729566+0.108345j 0.0535883-0.0705033j 0.0604272-0.0808027j 0.189382-0.111232j 0.133994+0.0671466j 0.340377+0.0141964j -0.337475+0.0816859j 0.12079+0.00768009j -0.0289742-0.0291653j -0.0293931-0.10325j -0.00783178+0.0212211j 0.0509423-0.0214924j 0.0381522+0.0146117j -0.0433753+0.036034j 
-0.0274152-0.00261698j 0.00331242-0.00846445j -0.0104027+0.0140972j -0.00168817+0.00277192j -0.00294851+0.0106174j -0.00788175-0.0166831j -0.0100748-0.000975173j -0.000530561-0.0188703j 0.00547282-0.0331382j 0.0140885-0.0188428j -0.00670573+0.009151j -0.000407093+0.0246536j -0.0229841+0.00368376j -0.0231252-0.0182343j -0.00221814-0.0151117j 0.00510382-0.0123801j 0.0010258-0.0225173j -0.0148016-0.00155003j 0.0397892-0.00598368j -0.0332394-0.00799477j 0.00901587+0.0143907j 0.0424388+0.00160683j 0.0394186-0.00104102j 0.0125978+0.00246134j -0.00272927+0.00285776j 0.0175408+0.00320416j 0.00801504+0.0149805j -0.0659715-0.0177856j 0.00262657-0.00767456j 0.0465183-0.00379044j -0.0189969-0.0376227j 0.0504986-0.00361534j -0.0403302+0.0139103j 0.0087087-0.0070421j 0.0197621+0.00845221j -0.0104978-0.00445883j 0.0177604-0.0103836j 0.0353688-0.024107j -0.0392074+0.0149785j -0.0161304-0.0342997j 0.024731+0.0262941j 0.0582533+0.0135836j -0.0784385+0.0128101j 0.0228224+0.074353j -0.00608465+0.0202522j 0.00470582+0.0801534j 0.155391+0.0118737j 0.0571835-0.0398835j 0.045115+0.0330402j 0.0777334+0.0109268j -0.0304106+0.00422493j -0.00390862+0.226414j 0.0490155-0.104094j 0.061111-0.0194948j -0.0470719+0.00169988j -0.0189386+0.103517j 0.138942+0.0482993j -0.12263-0.0563037j -0.0231873-0.061453j -0.103454-0.14215j -0.113442+0.112751j -0.0572584+0.0258447j 0.0524547-0.124389j -0.0241326+0.159751j -0.0631161+0.0280963j 0.0314976-0.0287327j -0.0668689+0.08905j -0.0933565-0.00993834j 0.0782263+0.085935j 0.0753177+0.0698401j 0.0887509+0.00956089j -0.0277248-0.025651j -0.0254164-0.188264j -0.00739565-0.0172117j 0.114803+0.153237j 0.128885-0.028835j -0.0650381+0.106708j -0.0756283+0.220996j 0.051319+0.0624635j -0.231916-0.176486j -0.125688-0.0754403j 0.0154577-0.144387j 0.178444-0.139229j 0.11833-0.14807j -0.161343+0.0148626j 0.196856+0.0231763j 0.0862317+0.00352741j 0.0910341-0.0156327j 0.152444-0.0509691j 0.236121-0.00407165j -0.0416814+0.0307603j 0.00531536-0.0179811j -0.0130139-0.019546j 0.00141718+0.00946725j 0.0425426-0.0112767j 0.00739802+0.00838775j -0.0318231+0.0096154j 
-0.0264171-0.00205242j 0.00582453-0.0046712j -0.00454772+0.0128152j 0.00585595+0.00140334j -0.0210807+0.0159859j -0.00278994-0.00615665j -0.0108614+0.013545j 0.0191216-0.00751963j 0.00155809+0.00654979j 0.0119039-0.00752163j 0.0145816+0.00639722j 0.0229429+0.00771366j -0.0139351-0.0146195j -0.0072499+0.0163043j 0.0268746-0.00449604j 0.00050617+0.00506831j -0.00327374-0.00396914j -0.00854129-0.008961j 0.00262027+0.0146457j -0.0268993+0.00387508j 0.0135459+0.0134597j 0.0124508+0.00781423j 0.0558414-0.00167635j 0.0231264-0.00872653j 0.0274315+0.00830098j 0.0477481+0.0189875j 0.0272653+0.00513177j -0.0501984+0.00370537j -0.0506858-0.0128243j 0.0729778+0.00484207j -0.0518608-7.57799e-05j 0.00935255-0.0151589j -0.00385607-0.00978792j 0.0353387-0.0104832j 0.0125066-0.0056939j 0.0331675-0.00373765j -0.00770792-0.026004j 0.00667415-0.0133252j -0.115197-0.0115174j -0.036648-0.0349442j -0.0135544-0.00871999j -0.0149698+0.0107075j 0.0407536-0.0124417j -0.0188131-0.0742416j 0.0649685-0.0133806j 0.0312842-0.0127515j 0.00443221+0.0117629j 0.065161+0.0166251j -0.00752403-0.071247j -0.000769842+0.0144915j -0.0494941+0.0445885j -0.0158118+0.10005j -0.039524+0.01889j -0.123147-0.0617728j -0.0781609-0.0159091j -0.0229507-0.0869143j 0.123293+0.0555214j 0.0714594-0.0812325j -0.0445326+0.154064j -0.0407229+0.0599493j -0.0408689+0.163585j 0.037024-0.039991j 0.0568828+0.0240539j -0.0103017+0.063203j 0.040186+0.044329j -0.0468131+0.0512098j 0.0164298-0.0669147j -0.0628817-0.0441535j 0.0104467-0.0349964j 0.0233884+0.0106037j -0.0323881-0.0264704j 0.049212+0.320053j -0.0554372+0.0890253j -0.128067-0.257821j 0.0327602+0.086219j -0.206771+0.0338676j -0.00463511-0.00208619j -0.0703377-0.152675j -0.254719-0.125775j -0.0959712+0.0950046j 0.175798-0.167544j -0.202375-0.0535394j 0.151584-0.0916272j -0.0410693+0.00490072j 0.167431-0.0854198j -0.243539+0.0661226j -0.0992734-0.0130922j 0.0272628-0.0277513j 0.16575-0.0282671j 0.121712-0.015938j -0.010648-0.00692412j 0.0217385+0.067282j -0.00115152+0.0197014j 0.00463439+0.0050353j 0.0309455-0.00298475j -0.0138193-0.0167146j 0.0240863-0.00957413j 
-0.0131476-0.0175552j 0.0315938-0.000380383j -0.000635026-0.0541076j -0.0206084-0.0152248j -0.00740893-0.00696828j 0.00130306+0.0516168j 0.00233678+0.00982619j -0.00146458+0.0314371j 0.0106947+0.00468181j -0.00902579+0.0302271j -0.00290405-0.00497706j 0.00106026+0.00429241j -0.0203443-0.0117606j 0.0162383-0.0147067j -0.0283099-0.0136338j 0.00445501+0.0460545j 0.0164833-0.0289561j -0.0513539+0.00765711j 0.00564011+0.00594616j -0.0493247+0.0212025j -0.0131571-0.0175007j -0.0117966-0.00979566j -0.0020664+0.00469747j 0.010057-0.00485654j -0.0177977+0.0254016j -0.0539583-0.00374018j 0.017198+0.00395067j -0.000357901+0.00026755j -0.0111326+0.00445105j -0.00300999+0.0117579j -0.0449867-0.000801078j -0.0499987+0.00941655j 0.117168+0.00875898j -0.0460587-0.00223847j 0.0648018+0.00308973j -0.0567811-0.0252396j 0.0373878-0.0317413j 0.010299+0.00469289j -0.00491528+0.0356642j -0.0519948-0.0498552j -0.00566567-0.0256029j -0.0567539+0.0223829j 0.0324974+0.000718887j 0.0225689-0.111533j -0.0420112-0.0266257j -0.0159447+0.0421985j 0.0493286-0.00319215j -0.0704875-0.0385531j -0.0163372+0.0462948j -0.039599-0.00489181j -0.00570717-0.0657105j 0.000850852-0.0437566j 0.031487-0.101213j 0.0106493+0.0544622j 0.0392233-0.0775783j 0.0176193+0.0348051j 0.0861226+0.00350628j -0.142264-0.12287j -0.196019-0.131857j 0.170843+0.0527299j -0.0398276+0.142647j -0.0899312+0.254358j -0.074131+0.0309178j -0.0441494+0.00239992j 0.122747-0.207008j -0.0146893-0.0195691j -0.0185317-0.0796491j -0.00433128-0.0228327j 0.00972851+0.0868422j -0.0205166+0.0665745j -0.0171634-0.0652015j 0.0405341+0.0862028j -0.158142-0.245545j 0.00112506+0.0389659j 0.0169567-0.182418j 0.0149142+0.0156038j -0.125026-0.110158j -0.262073+0.0239333j 0.270611-0.0992352j -0.0179535+0.0700678j 0.0692042-0.07116j -0.171763+0.0362644j -0.111769-0.0591998j 0.0225281+0.13761j -0.0254637+0.101202j -0.105632+0.03424j -0.0760413+0.0174113j 0.0147406+0.0098177j 0.0601404+0.0051201j -0.128053+0.0541101j -0.147905+0.00143341j -0.0219714-0.0766291j -0.0168697+0.00292048j -0.00216467-0.00670917j 0.0114679-0.01544j -0.0205458+0.0313461j -0.0584292+0.000397098j 
