-0.12473-0.0430077j 0.0484147-0.126864j 0.217079-0.149533j 0.165888+0.230461j 0.140148+0.0807466j 0.0905687+0.209703j 0.22011-0.227815j -0.0965904+0.0956246j 0.125501-0.0421006j 0.185712-0.106557j -0.100098-0.211823j -0.0625172+0.10284j -0.152205-0.194547j -0.0108743+0.0147103j -0.0459345+0.144868j -0.0278227-0.0505521j 0.0684086+0.0646622j -0.140764-0.00594852j -0.029927+0.0201381j -0.177671-0.0106617j 0.182972-0.0342302j 0.00346018+0.138813j -0.0383204+0.0412104j -0.0953977-0.00569186j -0.0470367+0.152645j -0.0828914+0.210686j 0.152665+0.172932j 0.17716+0.16831j 0.198819-0.129776j 0.0797088+0.0186554j -0.0179447+0.0990236j 0.103322-0.0466881j 0.0350473+0.0854355j -0.0357917-0.0195831j 0.0140765+0.0384256j -0.0481164+0.0197099j -0.0311793-0.0208001j -0.00302136+0.00931318j -0.034823-0.0226699j -0.015303+0.0195064j -0.029988+0.0152595j -0.0311658+0.0224292j 0.0233479+0.0108121j -0.0250235-0.0140208j -0.00207944+0.0222618j 0.0224698+0.00596717j -0.00427646+0.005185j 0.0113362-0.00158598j -0.00837021+0.0111441j -0.000284746+0.0256259j -0.00443831+0.0136451j 0.0128195+0.0208854j -0.00515855+0.00725814j 0.011853+0.0272555j -0.0236187-0.0223499j 0.00899991-0.00156853j -0.0130402-0.0118261j 0.00874044+0.00889503j 0.0055173-0.00176475j -0.0184931+0.0179423j 0.018915-0.00383444j 0.00561199-0.000596077j -0.00590975-0.00290139j 0.0149183-0.0165997j -0.0285713-0.00290962j -0.0135955+0.0239839j 0.0126297+0.0178177j 0.0287589+0.00554369j -0.00353016-0.0219072j 
-0.172324+0.110819j -0.135714-0.15376j 0.110405-0.0693167j 0.0453111+0.156661j -0.20071-0.094174j -0.082296-0.198692j 0.0493373+0.0569843j 0.0226011-0.236068j 0.226668-0.0921382j -0.186077+0.0240438j -0.0132291+0.0344978j -0.00495411-0.144261j -0.0209348+0.0261524j 0.13884-0.110933j 0.0483935+0.19452j -0.0994278-0.074451j 0.0607092-0.0762958j 0.010379+0.0544277j 0.0609476-0.0589033j -0.0740878+0.00824053j -0.289579-0.120329j 0.115932-0.153166j -0.146086-0.00425916j -0.0569742-0.1929j -0.101916-0.0470408j -0.229355-0.0727307j -0.129192+0.250057j 0.177611-0.0912685j -0.1177-0.13195j 0.130175-0.0875158j 0.0945623+0.132979j 0.0478671-0.0155597j 0.000590921+0.0445309j 0.0338512+0.0175506j -0.00459753-0.0518127j 0.027595-0.0472271j 0.0370151-0.019163j 0.0494944+0.00747627j 0.00124138+0.0174342j -0.00129918+0.00187885j -0.00719647-0.0189615j 0.0115316+0.000605746j -0.0268496-0.00229778j -0.0156176+0.0171849j 0.00360688+0.00503631j 0.00590229-0.0199624j 0.00257072+0.0192064j 0.0114714+0.0087809j 0.00344598+0.0104425j -0.0143201-0.00773006j -0.00140628-0.019342j -0.00676906-0.0163248j -0.025581-0.014577j 0.0169793-3.2364e-05j -0.00871862+0.00488335j 0.012482-0.012978j 0.00191002+0.0112337j 0.0120837+0.0157305j 0.0120157+0.00729053j 0.0259175-0.0156018j 0.00636528-0.0103547j 0.0117312+0.0201779j -0.00438078-0.0233663j 0.00674034+0.00184151j -0.0054183-0.0183251j -0.0186003+0.00184169j -0.00902301+0.0156953j 0.0127592-0.0155273j -0.0236297-0.0130868j 
0.0409512+0.130807j -0.158267+0.0342191j 0.177086+0.136904j -0.176094+0.189707j 0.0656382-0.161863j 0.117315+0.00786599j 0.034539-0.0397367j 0.0270266+0.216206j -0.211001-0.00144267j -0.0726246+0.0615097j 0.0851354-0.0227057j -0.204124+0.00368035j -0.126033+0.0703821j -0.0118411-0.00981022j 0.0165931+0.0341425j 0.0858165-0.0106215j 0.0598158-0.18605j -0.131194-0.0252812j 0.0764948-0.217698j 0.205056+0.100401j 0.103252+0.108002j 0.136966+0.165254j -0.0624995-0.418569j -0.24276+0.0886384j 0.216962-0.0976565j -0.180019+0.0263971j 0.0559736+0.119033j -0.0326438-0.0637257j -0.0481446+0.0181347j -0.0152172-0.12436j 0.125627-0.00493769j 0.0347201+0.0628219j -0.076287+0.0355498j -0.00950284+0.0170586j 0.0245481+0.00488665j 0.00467069+0.0219933j 0.00150231+0.026053j -0.0462441-0.00328021j 0.0114915-0.0303837j -0.00151527+0.001965j -0.00811371-0.0143812j -0.00196581-0.00657625j -0.00200036+0.0052747j -0.0164115+0.0243082j 0.0213693+0.0229957j 0.00695461+0.00603392j 0.00708939-0.0236771j -0.0053478-0.0088542j 0.0141095-0.00171484j 0.0042697-0.00150403j 0.00827515-0.00250311j -0.00635404+0.00560031j -0.00427308+0.00429463j 0.0162791+0.00242124j 0.000526289+0.00830859j -0.0104733+0.00316205j 0.0123872+0.0027837j -0.00594661-0.00730827j 0.0192348+0.0167396j -0.0128235+0.00288997j -0.00741717+0.0267189j -0.0133909+0.0179471j 0.0336269-0.0108021j -0.0103563-0.0186978j -0.00125794+0.00718488j -0.0158586-0.000716748j -0.00329102+0.0110062j -0.00107042-0.00531618j -0.00860304-0.000613425j 
0.0473241+0.00287764j -0.0155606+0.033131j -0.0375733+0.0457634j -0.0309466-0.0331259j -0.0243743-0.0333892j -0.0552073-0.0196186j 0.0239449+0.06766j 0.0427053-0.00450817j 0.0392048-0.03965j 0.00646984-0.0305805j 0.0362877-0.0381321j 0.0025605+0.0501801j -0.00658233-0.0227744j 0.0157956+0.00577611j -0.0344841+0.0260673j 0.000613267-0.0172708j 0.0204308+0.0119001j -0.0324428-0.0107416j 0.00915336+0.000252331j -0.0176147+0.00382337j 0.0128677-0.00446291j 0.0193718-0.00516817j -0.013061+0.0118099j -0.0123338+0.00296473j 0.0293209+0.0199134j 0.0209089+0.0315463j 0.0316799+0.00524018j 0.0039618+0.00823593j 0.0294047+0.0212627j 0.084479-0.01828j 0.00978847+0.0707237j 0.169294-0.0909855j 0.130151+0.162556j -0.033545-0.11215j 0.167575+0.0300703j -0.0609325+0.360473j -0.183021-0.123356j 0.0230652-0.0643416j 0.0747194-0.00452627j 0.109716+0.0460549j 0.141317-0.089164j 0.220067-0.0248639j -0.0423631+0.0676482j 0.225658+0.0162218j 0.115695+0.0554033j -0.195626-0.0783369j 0.0497634+0.0346875j 0.03435-0.0980227j 0.0902784-0.101648j 0.0263355-0.00570947j -0.0232139-0.109804j -0.0340097-0.118063j 0.0814635-0.0117394j 0.0425407-0.134165j -0.0302089+0.0750308j -0.0136171-0.0356396j 0.111963+0.00422898j 0.011613-0.0450368j -0.0809229+0.0009128j -0.0531063+0.0236144j 0.0292591+0.0956862j 0.0455246+0.0308018j 0.0885808-0.00471709j 0.0542001+0.0787132j 0.191367-0.228527j 0.065244-0.199973j -0.165469-0.0731377j -0.18665-0.0741572j -0.0424426+0.130403j 
-0.0464418+0.0452036j -0.0608795-0.0315196j 0.0112341-0.0616822j 0.0468565-0.00588945j -0.0302704+0.0130152j 0.010707-0.0162612j -0.0240784-0.0276206j -0.00647836+0.00707822j -0.000979728-0.0395094j 0.0128622+0.0407751j 0.0565172-0.00487719j 0.0134205+0.052809j 0.00417306-0.0206366j -0.0255273-0.00642355j -0.00243996-0.00703811j 0.00750781-0.00281971j -0.00207624+0.0319362j -0.0372988-0.0168519j -0.00287521-0.00708119j 0.0196259-0.0433483j 0.0125411+0.00962743j -0.0103802-0.0126955j 0.0298103-0.0210411j 0.011479-0.00660271j 0.0145259-0.0193528j 0.00699667-0.0107445j 0.012741-0.0209137j -0.0192664-0.0219312j -0.00818872+0.00395452j -0.0548238+0.0870913j -0.127914-0.0375218j -0.0418413+0.1169j -0.112931-0.0889219j -0.170738-0.0263142j 0.00206976+0.155691j 0.0407127-0.0544178j -0.00575397+0.0264192j -0.0459024+0.122976j -0.125678+0.0315361j 0.0612995+0.26813j 0.238183-0.24572j 0.135253-0.0802481j -0.0991133-0.128999j 0.0425418-0.0235769j -0.078078+0.0834007j -0.0217298+0.110914j -0.000974437+0.0665061j 0.111871+0.0162815j 0.0331802+0.0367228j -0.144234-0.0674644j 0.0732343-0.127148j 0.133014-0.111394j -0.116041+0.0172581j 0.178418+0.0297784j -0.0290323+0.181611j 0.0473727-0.0640617j 0.111648+0.137297j 0.12792+0.126916j 0.0647116-0.0109042j -0.012231+0.0136631j 0.0521764-8.43324e-05j 0.0525957-0.139897j -0.120694-0.146172j -0.0119196-0.089481j -0.204958-0.178565j -0.1046+0.0185206j 0.02263+0.121912j 0.0680593-0.152082j -0.179026-0.0843081j 
0.00989803-0.0537602j 0.0584927-0.0120159j -0.0476266+0.0387865j -0.0441186-0.0415427j 0.0314921-0.0444205j 0.0664439+0.00120769j 0.00834297-0.0365448j 0.0050044-0.0148252j 0.0256521+0.00496197j 0.00124358+0.00798376j 0.0335697-0.00559911j 0.0152834+0.0101851j -0.0125766-0.0298766j -0.018022-0.0273561j 0.0303668+0.000415438j -0.0108642-0.0166823j -0.0112934+0.00413743j -0.00950697-0.0121964j 0.00741611-0.0404278j -0.00084399+0.0107155j -0.0235454+0.00445084j -0.0178338-0.0202195j -0.0184119-0.00767606j -0.0310404-0.01687j -0.0174968+0.00535779j 0.0106328+0.00478948j -0.0072366-0.0037382j 0.014013+0.00435276j 0.0017227-0.00335554j -0.0103742-0.0867984j 0.107618-0.0382273j 0.139698-0.0425279j 0.0660448+0.202079j 0.131592-0.0750132j -0.240881-0.0569757j -0.0410273-0.14293j 0.026789+0.0694958j -0.10102-0.0861156j -0.00532044+0.00456289j 0.209841+0.165976j 0.0604506-0.0678539j 0.0466526-0.131671j 0.0609014-0.14635j -0.0766506+0.0445676j 0.065121-0.0709482j -0.0609993+0.0706328j -0.134034+0.0397278j 0.0932088-0.025565j -0.0478901-0.123307j -0.198794+0.0456195j 0.102793+0.10868j 0.0924806+0.00875383j 0.000985421-0.105795j -0.107034+0.0693446j 0.0349137+0.0033865j -0.0742727+0.010496j -0.105922+0.0912746j 0.0568388+0.0663918j -0.109882-0.0857873j -0.0376161+0.289987j 0.226395-0.0141945j -0.178309-0.119476j -0.0701317+0.106618j -0.113373-0.0045331j -0.119336+0.14074j 0.152123-0.227239j -0.164697-0.138587j 0.0263541+0.046561j 0.0661866-0.0321487j 
-0.0206735-0.0458496j 0.0506096-0.0258868j -0.00767499-0.0174443j 0.00451171+0.0188357j 0.0770444+0.0341709j -0.0494913+0.00407642j -0.0369455+0.0417689j -0.0336108+0.027704j 0.00246652-0.0313005j -0.0200926+0.00321132j 0.0165191+0.030344j -0.00516403+0.00203046j -0.0318647-0.00362874j -0.00458505+0.00468501j 0.0220191+0.0333833j -0.0211914+0.0150052j -0.00917466+0.0171465j -0.02145-0.0247705j 0.00775011-0.0196086j -0.00944032+0.0121705j 0.00601638-0.0147645j -0.0126528+0.0094615j -0.0295883+0.0080478j 0.0230258+0.0233751j 0.00640691-0.0166161j 0.000783041-0.00234464j -0.0057007+0.000424165j 0.0107315-0.00993209j -0.0083118-0.0100148j -0.0542216-0.0802816j 0.0965751-0.0553329j -0.031608+0.0209507j -0.0178873-0.0224004j 0.178713+0.231158j 0.256855-0.0291065j -0.125627+0.0721612j 0.125774-0.179848j -0.0290294+0.209472j -0.140658-0.151818j -0.0208903+0.0965017j 0.0440948+0.0475667j -0.0627964-0.0581432j -0.0789498+0.0282798j 0.032012-0.0649206j -0.0460996-0.103456j -0.130191+0.0534976j -0.0737753+0.0914582j -0.118121+0.109244j -0.0492867+0.0178538j -0.163881-0.0685736j -0.103349-0.0282683j 0.139003-0.0439992j 0.0724475-0.113802j -0.0403663-0.0142229j 0.168557+0.0758559j 0.088248+0.168832j -0.0145131+0.116271j 0.049962-0.0766794j 0.119422-0.120705j 0.0593088-0.0572364j 0.0688832+0.033263j -0.0541135+0.131576j 0.0315875+0.35557j 0.377651-0.03659j -0.0474132-0.126378j 0.0291818+0.0144337j -0.0149434-0.024234j 0.0335864+0.0236493j 0.0143906-0.0338533j 
-0.0711446+0.0137345j 0.011951-0.0726072j -0.0353008-0.00525948j -0.0216263-0.04209j -0.00405121+0.0618243j -0.0191987-0.000428803j 0.000570727-0.0112169j 0.0262789-0.0273841j 0.0145737+0.00731544j 0.0163988+0.0111419j -0.00819415-0.0306373j -0.0484871+0.0168915j -0.022863+0.0379526j 0.0110735-0.0118681j 0.00108612+0.00548365j 0.0097936-0.0112068j 0.022956-0.0241693j 0.023559-0.037226j -0.0426397-0.0337706j 0.0042205-0.0125917j -0.00723818-0.0218497j 0.00420193+0.0144472j -0.000603978+4.78039e-05j 0.0014509-0.00380607j -0.00267301-0.00189862j -0.00635419+0.00704716j 0.00542172+0.00385784j -0.00980565-0.0128226j -0.0178242+0.00823057j -0.128269+0.0151705j 0.0215586-0.124658j 0.119127+0.0163017j -0.0216837+0.175858j -0.0995857+0.202408j 0.064672+0.0462907j 0.0590798+0.0234512j -0.0168075+0.104578j 0.0252987-0.109312j 0.124954-0.0124574j 0.00254339-0.0701647j 0.133604-0.0849411j -0.0909329+0.157217j -0.0163023-0.0287582j -0.0158699-0.194522j -0.126665+0.0171167j 0.0204138-0.0443854j 0.150171+0.15682j 0.051094+0.128291j -0.0556062-0.0689211j 0.183014-0.0650019j 0.116638+0.0177402j -0.0336295-0.104175j 0.17766+0.0868913j -0.0871441+0.0365674j 0.117258+0.0136458j 0.116109-0.0888428j -0.181151-0.109769j 0.301158+0.257305j -0.178646+0.283159j -0.0355307-0.109898j -0.0995165-0.00285987j -0.065317+0.048716j 0.0445974+0.140144j 0.074666-0.110905j -0.0707545+0.0529993j 0.012376-0.102079j -0.0987783+0.0270101j 0.0506747-0.0236396j -0.0188556-0.0195407j 
0.00811578+0.0029521j -0.00587395+0.00575419j -0.00984668+0.00785832j -0.00720971-0.00919577j -0.00412678-0.00687916j -0.00622193-0.0089615j -0.00255558+0.0122156j 0.00768623+0.00339925j -0.000219412-0.00269268j -0.00261297-0.00159336j 0.00835733+0.00233768j 0.000546544+0.00643114j 0.00816737-0.00481899j 0.00548552+0.00858612j 5.77101e-05-0.00241508j -0.00646422-0.00380842j 0.00615098-0.00698721j 0.000932788-0.00380385j 0.000947288-2.09007e-05j 0.00299477+0.0036375j 0.0060602+0.00374863j 0.00442005-0.00274708j -0.000275808+0.00335772j -0.000765488-0.00090274j 0.00800363+0.00208648j 0.00468754+0.00270282j 0.000220772-0.00131507j -0.0029599-0.00334376j 0.00060659+0.00502634j 0.00537598+0.00307093j -0.00584747+0.000507811j 0.0166118+0.00885283j 0.0154914+0.014697j 0.0197087-0.0163009j 0.00755971+0.0151208j -0.0295831+0.0475292j 0.020481-0.00815333j 0.0183655-0.0223912j 0.00887791+0.0196192j 0.00696057+0.0128212j 0.0194713+0.0518527j 0.0441686+0.0374835j -0.0184543+0.0278043j 0.0275157-0.00145483j 0.0545194-0.00402896j 0.0017825+0.00164252j 0.00892036-0.00509001j 0.0101804-0.0640654j 0.0409454-0.0248104j 0.00976648+0.0242445j -0.0164012-0.0204045j 0.00492493-0.0390462j 0.0717268+0.000431293j -0.0124558-0.0360324j -0.000151206-0.00544362j -0.0282776-0.00516801j 0.0173393-0.00879231j 0.00478404-0.0175052j -0.0162096-0.0118999j 0.0100008-0.00249903j 0.011419+0.00301565j -0.00305456+0.0184149j 0.0208557-0.0214681j 0.00627537+0.0139009j -0.0383439-0.058575j -0.0197657-0.0441736j -0.010406+0.00445642j -0.024253+0.00547729j 0.00620677+0.00724969j 
-0.0110325+0.00645021j -0.0101572-0.00689007j 0.0119951-0.00593265j 0.00415376+0.00909221j -0.010638-0.000404226j 0.00426231+0.00195961j 0.00285213-0.00452417j -0.00336682-0.00407419j 0.000681395-0.00550628j -0.00284936+0.00523312j 0.0037689+0.000459255j 0.00166269-0.00128626j 0.00366667+0.00480237j -0.00831291+0.00176251j -0.000962645+0.00741824j 0.00601462-0.00974713j 0.0098608+0.00444988j -0.00651401-0.0012498j 0.00347651-0.00335947j 0.00092623-0.00770849j -0.00496486+0.00344803j 0.00139007-0.00242891j -0.00111563-0.00320307j 0.00247968-0.00595986j 0.00565244-0.00328892j -0.000330422-0.00345467j 0.00160167+0.00392246j 0.0036319+2.47111e-05j 0.000171161-0.00493856j -0.00641128+0.00315607j -0.0128518-0.00124196j -0.00302792-0.00787882j -0.00618247-0.0272117j -0.0219502-0.0335045j 0.000872202+0.00770674j 0.0463946-0.00388872j -0.00577341-0.00376731j -0.0153752+0.00207465j -0.0110482-0.0135613j -0.0354341+0.0146602j 0.0302223-0.0113054j 0.00994285+0.00238312j -0.0247584-0.0193577j 0.00312698+0.019495j 9.6402e-05+0.0209094j -0.0093918+0.0365738j 0.0142402+0.0149703j 0.0386176+0.0273082j 0.0351747-0.00653035j 0.022532-0.000292822j 0.0412015-0.0763237j 0.0510599-0.00349889j 0.00659662+0.00885233j 0.0375127-0.0178412j 0.00697342-0.0198785j 0.00406654-0.0249911j 0.0295488+0.0408409j 0.00108835+0.0210329j -0.00733771-0.023574j -0.0126872-0.00789491j -0.0258747+0.00276687j 0.0164686+0.00858841j -0.0478118-0.00637394j 0.00244412-0.00620262j -0.0459318+0.0382377j -0.025739+0.0225897j 0.0040763-0.0051444j -0.00924327-0.00505361j -0.0172989+0.0102187j 
0.000535534+0.00239515j -0.00205781-0.000106963j 0.00979895+0.00195469j -0.00452386+0.00150046j -0.00930162-0.00215034j 0.00873262+0.00592286j -0.000452861+0.00344258j -0.0043293-0.00446236j -0.00759501-0.000536125j -0.00568839+0.00298501j 0.002705+0.00832338j 0.00219207-0.00870947j 0.00693321+0.0070481j -0.00356041+0.012479j -0.00249476+0.00130411j 0.00469306-0.00386658j 0.00817069-0.00367337j -0.00779591-0.000399788j 0.00242108-0.00444908j -0.00285258-0.00809578j -0.00744841-0.00440229j -0.00152728-0.0004778j -0.000454516-0.00126892j 0.00433162-0.00207717j 0.0140488+0.0033042j 0.0120944+0.00564248j -0.00265808+0.00543513j -0.00162542-0.00070113j -0.00489257+0.00337117j 0.00311894-0.00403343j 0.000247277+0.000727255j 0.00694819-0.0206082j 0.0101048-0.0115529j 0.00791833-0.0403966j -0.0010438+0.00425846j 0.0105244+0.0232976j -0.0261068-0.0115606j -0.0179557+0.00181755j -0.010557-0.0278974j -0.0313095-0.0134476j 0.00264369-0.00194235j -0.0057576+0.0123587j -0.0137568-0.00171529j 0.00797002+0.00392619j -0.0144861-0.00368227j 0.0450986-0.00239365j 0.0165359-0.00769588j -0.0227676-0.0437911j -0.0312581+0.0506672j -0.0286801-0.0242507j -0.0195718+0.0169583j -0.0239488-0.0284886j -0.00804237+0.0293772j 0.0107676+0.031632j 0.00551559-0.00120241j 0.0017496-0.00199684j 0.0359899-0.0403753j 0.0410364+0.0140278j 0.0390292-0.0176039j -0.00355992-0.0417847j 0.0190422-0.000917787j -0.0303395+0.0103126j -0.0227714-0.030835j -0.00816633+0.00432394j -0.00285477-0.00261868j 0.0309591+0.0106233j 0.00449983-0.0290965j 0.00110172+0.000655214j 0.000779048+0.000468924j 
