0.108884+0.0144261j 0.0129315-0.121667j -0.0608002-0.0787261j 0.107768-0.0831961j 0.0834868+0.0621334j 0.126329+0.000260655j 0.0059186-0.107774j -0.0452464-0.135749j 0.0738582-0.0459686j -0.06409+0.0139186j 0.012952-0.0512687j 0.022836+0.0911014j -0.141104+0.106701j 0.0671828+0.0903656j -0.0890816-0.0647731j -0.13169+0.0213083j -0.0199135-0.0595443j -0.0374848+0.0534353j -0.0107051+0.142676j 0.00317382+0.00674336j -0.180881+0.00405184j 0.0118948+0.173596j 0.0762036+0.0282496j 0.0309846-0.0597306j -0.145515-0.00183553j -0.047605-0.118751j -0.00758765-0.110369j -0.0701047+0.0448859j -0.0188796-0.0743954j -0.032184+0.0156021j -0.0764202-0.0268391j 0.0988518-0.0189061j 0.0283593-0.164671j 0.100793-0.0190412j 0.128433+0.00570482j -0.127584+0.0970469j 0.0255909+0.0414965j -0.102604-0.10644j 0.120072-0.0403568j -0.0350618+0.0816368j -0.00579666-0.0799345j 0.00379989+0.00399835j 0.0318985+0.0268474j 0.0256093+0.0439521j 0.0121812+0.283938j -0.0766646-0.10085j -0.00434084-0.0135613j -0.0249843+0.180787j 0.114589-0.0694773j 0.0217573+0.0439242j -0.0958904-0.0191189j 0.0747187+0.0372663j -0.00325236-0.00430143j 0.0278735+0.0116901j -0.0101928-0.0614418j -0.231709-0.0473907j 0.0989807-0.00683271j -0.014213+0.075464j 0.117622-0.152369j 0.0299142-0.0303571j 0.0632625-0.0593088j 0.0543396+0.111974j -0.0893022-0.121052j -0.0959157-0.0550625j -0.03545+0.0278507j -0.0479114-0.00608998j 0.0523476-0.0281062j 0.0469088-0.0872936j -0.0190337-0.00416828j 0.0285665-0.0181919j -0.0210855+0.0250465j 0.048878+0.0153811j 0.00965007+0.0646267j -0.0671814-0.0522125j 0.06172-0.0446667j 0.0092328-0.0414773j -0.0573722-0.0100576j 0.0134042-0.00335749j -0.051219+0.0243241j -0.000647738-0.0130499j -0.0131212-0.0272006j -0.00645296-0.0125476j -0.0205224+0.011202j 0.0263991-0.0294282j -0.0102751-0.0393005j 0.024873+0.00102021j -0.00651749+0.0124368j -0.0655423+0.0029798j 0.0244045-0.0785085j 0.0819901+0.0306959j 0.0143203-0.0624943j 0.0656581+0.0180725j 
0.108982-0.0209406j -0.0413111-0.116891j 0.0156194-0.0247521j 0.0372622+0.0402263j 0.0373078+0.0119322j 0.0889024-0.109121j -0.0178984-0.0527537j 0.00295522-0.115903j 0.0600426+0.0340285j 0.12265+0.062452j 0.127029-0.042628j 0.00841894-0.0854822j 0.0649955-0.0609886j -0.0412201-0.0201276j 0.0404617+0.0739753j 0.0339522-0.0131851j -0.0733734+0.0663555j -0.0101142-0.0570701j -0.0352778-0.0390324j 0.0703825-0.0213099j 0.0904184-0.0203521j -0.00910096+0.0947266j 0.00665882-0.0571683j 0.003771+0.144332j 0.0374318+0.0428706j -0.106932-0.0542391j 0.0860025+0.0473975j -0.119575-0.00282201j -0.0330757+0.061127j 0.089293-0.0338181j -0.0252091+0.011813j -0.0345808+0.0321435j 0.0595168+0.0553373j 0.0833772+0.0332068j 0.00812939+0.0333344j 0.0799297-0.00982413j -0.00301382-0.0705857j 0.04417+0.0204792j -0.0910355-0.0504317j 0.027381-0.0662431j -0.0279128-0.0382622j -0.0128168+0.00126056j 0.00548586-0.0238108j 0.026965-0.00047134j -0.00264128-0.116123j -0.0254941+0.0383559j 0.0405327-0.00450181j 0.0317213-0.113975j -0.0316818+0.0695254j -0.0284896-0.0702264j 0.0457749-0.00573962j -0.0487092+0.0206368j 0.0203762-0.0397729j -0.0396063-0.0502558j 0.0279308-0.030567j 0.116506+0.0199497j 0.0325585-0.00168099j 0.0222901-0.00732234j 0.0961694-0.107416j -0.0985127+0.0455786j -0.0549979+0.0608613j -0.00298763-0.0184225j 0.0278873+0.145879j -0.0509404-0.0231233j 0.113527+0.0027231j 0.111782-0.0112118j 0.0551295-0.0468121j -0.00503281-0.109414j -0.021995+0.0359959j -0.0740328+0.0416575j 0.0180097-0.0528504j -0.00103547+0.142078j -0.00401679+0.0827992j 0.0254803-0.0311905j -0.0120445+0.0480022j -0.0202457+0.0940531j 0.0342644-0.00722324j 0.0709083+0.0220856j -0.0233953+0.0412256j 0.0794156-0.012542j -0.0345422-0.0785089j -0.0206646-0.0557338j -0.0611403+0.00251965j 0.11542-0.0913319j -0.00790483-0.142862j -0.0225467-0.0113421j 0.150767+0.0363651j -0.10736+0.0527039j 0.0354972-0.0861255j 0.147812+0.0786509j 0.0353953-0.131607j 0.131303+0.056203j 
0.00457445+0.167622j 0.182627-0.0256645j 0.091185+0.122989j -0.118779-0.00281526j 0.0925824-0.0675742j 0.0176385-0.0768148j -0.13576-0.0563534j -0.0728128+0.039744j -0.00686626-0.106911j -0.0109475+0.0194981j -0.0237819+0.0151568j -0.0278005-0.0605514j -0.0442754+0.0201455j 0.0305204-0.0897649j 0.00246375-0.212452j -0.0329186-0.0401118j -0.0477818-0.0754735j 0.0875809+0.0637456j 0.0452916+0.0524713j -0.0365972+0.0414385j -0.00648265-0.106368j -0.0509717-0.0848767j -0.102151+0.102918j 0.00319467-0.00185963j -0.0398223+0.0799212j -0.0854752+0.0112183j -0.0833117-0.0326804j 0.0353335+0.0631319j -0.00546565+0.0242859j 0.00880554-0.00896542j 0.138708+0.0124859j -0.00928189+0.0962408j 0.0284413+0.111445j 0.0119934+0.0635602j 0.00041432-0.0513037j 0.0569076+0.0146946j -0.0655733-0.0102451j -0.0449437-0.0173746j 0.02483-0.0428307j 0.0174523+0.00439969j 0.00884648-0.0119122j -0.0455786+0.0084699j 0.0338743-0.000210972j 0.118642-0.0135655j -0.0486333-0.00405351j -0.013907-0.0179101j 0.00549563+0.0223387j 0.032531-0.0523387j 0.0268835-0.0263756j -0.0706568+0.0342302j 0.0426531+0.0265022j 0.092523-0.0444669j -0.0516684+0.0277433j 0.0148283-0.0190994j 0.0227267+0.0403295j 0.0276638-0.0115176j -0.0333821-0.0773141j 0.0496532+0.0447958j 0.066332-0.00120543j 0.0356732-0.00469605j -0.0273373+0.120976j 0.0292318+0.0254313j 0.103185-0.0754034j -0.00803217+0.0257895j -0.0520544+0.0474533j 0.0561432+0.0352677j 0.0556708+0.0582326j 0.027347-0.0475735j -0.0148287-0.0478948j 0.091132+0.0759632j 0.0152258-0.00487268j -0.0541645+0.147984j -0.0158054+0.0170705j -0.0267173-0.014032j 0.0641992-0.10204j -0.0507693+0.0105538j 0.0545283-0.0404676j 0.115218+0.0692549j 0.0373962+0.0636381j 0.00751647-0.0607131j -0.0718067-0.0584014j 0.0805844+0.0505703j 0.0730889-0.0146865j -0.0383118-0.06344j -0.0858041+0.0224305j 0.106536-0.0185733j 0.0680177-0.095878j 0.0387448+0.0812115j 0.0122111-0.0418771j 0.0416855-0.0465971j 0.198332+0.0471024j -0.0409533+0.169335j 
-0.0310442+0.021309j 0.00658114+0.0341237j 0.112-0.0581465j 0.0184213+0.0843202j 0.17307-0.022423j -0.0225753-0.160842j -0.0988401-0.103421j 0.0715083-0.0902991j -0.0441751-0.0446507j 0.0138638-0.0066881j 0.0127971+0.122398j 0.0606008-0.121942j -0.112785-0.082456j 0.00958039-0.00188886j -0.0878613-0.0317388j 0.0718793+0.21317j 0.0991616-0.18585j 0.0339096-0.171711j -0.0178593+0.140148j 0.114308-0.00860259j 0.0583394+0.214732j 0.113861-0.00812095j 0.032531-0.0963638j -0.0166536-0.0729054j 0.044935-0.117076j -0.00144505+0.100795j -0.00411377+0.0438071j -0.0385057-0.00237386j 0.0258748+0.0360479j 0.0279119-0.0613708j -0.0605172+0.00201515j -0.0620963-0.0226866j 0.0175427-0.0381905j -0.035258-0.025753j -0.0909993+0.0537511j 0.0176717-0.011959j 0.0314817-0.0444429j 0.0609785-0.202253j 0.013254+0.0667621j 0.0397408+0.0718369j 0.204458+0.0217866j 0.0998168+0.0111733j -0.182644-0.00526215j 0.34063-0.0141199j -0.0071445+0.0236744j 0.137804-0.0120726j -0.050191+0.072295j -0.0834368-0.106529j 0.0462272+0.166727j 0.0500166+0.145643j -0.00120548-0.0675197j -0.0278335+0.00972264j 0.0902643-0.0134948j -0.0107878-0.0155621j -0.0122157-0.108748j -0.121136+0.0155685j 0.0190756+0.0862733j 0.0463779+0.0375709j 0.0134596+0.0719381j 0.0518784+0.0135967j -0.104942+0.0387342j 0.0614776-0.0547554j -0.000390332-0.0291241j -0.00565544-0.00622147j -0.0182654+0.017004j 0.0589164+0.00522487j -0.0114076-0.0189366j 0.048009+0.0133183j 0.00399295-0.004294j 0.00250215+0.0290132j -0.00208552+0.00558364j 0.00416952+0.0237102j 0.0464226-0.00590954j -0.0571551+0.00154084j -0.0495082-0.00973443j 0.0136965-0.0102239j 0.00119364-0.0120293j -0.0188398+0.00997474j 0.0065771+0.00835273j 0.0178507+0.0019181j -0.023466+0.00354091j 0.029838-0.0166658j -0.00461738-0.0285903j -0.0293832+0.0161401j -0.0231505-0.0078293j 0.0122492+0.0347327j -0.00163419-0.0413899j 0.0116032-0.00849341j 0.0242254+0.0108089j -0.0126807+0.0235214j -0.0136206+0.00723744j -0.00646931-0.00614555j 
-0.0691495+0.0314473j -0.0142718+0.0806662j 0.0337195-0.0952089j 0.0689198+0.0886926j -0.163336-0.0182734j 0.0598812-0.140467j -0.112992-0.00626725j 0.0295201+0.0625305j -0.0473378+0.0674067j -0.0295738+0.0195572j 0.0849786+0.0922719j 0.0444745+0.0809842j 0.0266627+0.0244168j -0.00829225+0.0852803j 0.0195174+0.149171j -0.0286383+0.0139361j -0.0332268+0.0555436j 0.0327279+0.0114771j -0.0460424-0.0480395j 0.0496434+0.0206941j -0.038459+0.0446127j -0.00517991+0.127115j 0.0373608-0.00706825j 0.0140296+0.186552j 0.0839094-0.0440525j 0.0764343-0.0745779j 0.00812218-0.151521j -0.0362053+0.0883307j 0.0629497+0.00924827j -0.0333861-0.049937j -0.179341-0.0768223j 0.0156097+0.0400367j 0.0622782-0.0928568j 0.0329396-0.0368871j 0.0673596-0.0674612j -0.0336412+0.0698249j -0.0997035-0.0266465j -0.03521+0.0015902j -0.0402982+0.066095j -0.0194768+0.0299162j -0.140106+0.0178238j -0.0621249-0.0332202j 0.0266767+0.0251887j 0.00174813-0.0088156j 0.0152194+0.0133305j 0.0470593-0.0387984j -0.0702875+0.0200998j 0.061316+0.0217518j 0.100934+0.00525333j -0.0208113-0.0509327j -0.00798732+0.0098812j 0.00564692-0.0731137j -0.0705445-0.0521743j 0.0237759-0.0304339j -0.011396-0.000723063j 0.0086275-0.0625785j 0.0508845-0.049234j 0.013799-0.158065j -0.0562942+0.0454758j -0.0452945-0.0312714j -0.0467047-0.0743288j -0.15017-0.0862854j -0.180671+0.088769j 0.00206111+0.0628535j 0.0717427+0.143314j 0.141992+0.0663335j -0.107929-0.107114j 0.0684077+0.0596799j 0.051606-0.0408319j -0.0771521+0.0417185j 0.0134246+0.0443675j 0.00828759+0.114736j -0.0608901-0.00929781j 0.0454906+0.00453754j 0.112668-0.154221j -0.126569-0.019945j -0.00720114-0.0526407j 0.029912+0.144128j -0.0391717+0.0807256j 0.0285936-0.0796718j -0.0291614-0.0179496j 0.211849+0.0430236j 0.0772313-0.0183885j -0.0547008+0.0488167j -0.079134-0.00686454j 0.104427+0.05758j 0.056259-0.162943j 0.0869758+0.0199297j 0.0383594+0.0363941j -0.032004+0.0555702j -0.0245794+0.0663463j -0.058434+0.00529484j 
0.067987-0.0270663j 0.0202639-0.0807523j -0.0212259+0.0540686j -0.0341289-0.00661883j -0.06754-0.0266061j 0.0733742+0.0896303j 0.0506918-0.0466296j -0.019763+0.0834359j -0.0647239+0.0866055j 0.0194547-0.0376908j 0.00269076-0.0204247j -0.0593175-0.0395313j 0.0106568-0.0397073j -0.020336+0.0851376j 0.0120631+0.115703j -0.010256+0.0229753j 0.0172276-0.0282489j -0.0957553-0.0329181j -0.065115-0.0212541j 0.0052156-0.0037437j 0.0463135+0.0876166j 0.0785389+0.0291583j 0.0417862-0.167027j 0.0220879+0.0527788j 0.0271213-0.0127607j 0.0349377-0.0304541j -0.0172591-0.073492j -0.0577511+0.00849418j -0.034067-0.0968465j -0.0773167-0.0406186j -0.137068-0.0159891j 0.0576131-0.0550707j 0.0128377-0.0588177j 0.0436106+0.0298454j 0.000294535+0.12283j 0.0187269+0.0769703j 0.0234638+0.0355671j 0.0379089+0.0181218j 0.00709785+0.0788428j -0.0163237+0.00882299j -0.0597492+0.0241562j 0.0562364-0.00378531j -0.0420282+0.0183596j -0.0517026+0.0222416j 0.0472649-0.0131877j 0.0155361-0.0550819j -0.0638958+0.0504081j -0.0775522-0.000352926j -0.0180996+0.0385079j 0.0346879-0.0339267j 0.0480323-0.0340493j 0.00874482-0.110141j 0.0558238+0.0410791j -0.0386316-0.0323812j -0.0486594-0.054394j 0.0584786-0.0507568j 0.0340232+0.0594149j -0.0694093-0.0140449j -0.03187-0.0626456j -0.0996306-0.0187318j -0.0458874-0.00466024j 0.0233916-0.0148424j -0.0742229+0.130512j -0.00775894-0.00564402j 0.0687348+0.0133615j -0.0934565-0.00935818j -0.0296598-0.0324028j 0.0228334-0.0206904j 0.0303897+0.0606818j -0.0535645-0.0806964j 0.00456468-0.0359372j 0.0479384-0.0385534j 0.0409658+0.028404j 0.0193926-0.0148908j 0.0351576+0.105346j 0.0401134+0.0183174j 0.0897418+0.00445704j -0.0646614-0.0510735j -0.0378354-0.0282687j 0.0632176+0.0318266j -0.0719318-0.00142527j -0.0643047-0.0361922j -0.0737627+0.00628049j -0.0408229-0.072335j 0.00109401+0.0248538j -0.15054+0.0232878j -0.0884259+0.100393j -0.0831167-0.0785403j -0.0964619-0.0448665j 0.0360404-0.176746j 0.101185-0.00410965j -0.00337441+0.0531066j 
-0.0659932-0.00951428j -0.00390947+0.0722743j 0.0134214-0.0510417j 0.0466111+0.0126086j -0.0516931+0.0223225j -0.050856+0.0484284j 0.0526363+0.0247834j 0.0250406+0.0897433j -0.0679403-0.00421165j -0.0378992-0.0255962j -0.0696229+0.0160149j 0.0214113+0.0254308j 0.000737224+0.0115347j 0.0155626-0.0226104j -0.00910234-0.000657879j 0.0131731+0.0101264j 0.0585797-0.0275516j -0.00529025+0.0346681j 0.025984-0.00731713j -0.034389-0.00367071j -0.021634+0.00694502j 0.0279365-0.0391088j -0.0510192-0.0112277j -0.030702-0.026406j 0.0357792-0.0139663j 0.00432158+0.0632649j -0.0109598-0.0568483j 0.0888526+0.0267434j 0.0526579+0.0142933j -0.0252008+0.000781916j -0.0256422-0.033157j 0.0218195-0.0733348j -0.0207212-0.00900634j -0.0371223-0.010978j -0.0307971-0.0260527j -0.0547589-0.0167562j -0.0182699+0.03499j -0.0313608-0.0102107j 0.008372+0.0361706j -0.0295906+0.0128396j -0.00161111+0.0396856j 0.0431447+0.00643031j -0.00586709+0.0162635j 0.00540797+0.00422255j -0.011033+0.0260347j 0.00555235-0.0225694j -0.00606232-0.00975011j 0.0105858+0.0231142j 0.0197336-0.0513571j -0.00308332+0.0502089j -0.0263569+0.0189483j -0.00098907+0.0178704j -0.0361188+0.00707874j 0.0322498+0.0254421j -0.0428202-0.00472178j -0.0389638+0.00784076j -0.0181856-0.0252831j 0.022962-0.0176695j -0.0742525+0.0596401j 0.0439667+0.00612072j 0.0423755-0.0189835j -0.0107486-0.0607526j -0.0312724-0.040701j 0.0677773-0.0134607j 0.00135256+0.0317065j -0.0582831+0.00275751j -0.0392641+0.013475j 0.00088061+0.0624999j 0.000653871+0.00714518j 0.00114704-0.00328003j 0.00388178+0.0178925j 0.0171521-0.0748045j -0.033498-0.0585136j -0.0153904-0.008355j -0.0170159+0.000109341j -0.00790195-0.00366965j 0.0220693+0.0362215j -0.0294356+0.0164246j 0.0361858-0.0151489j 0.00119195+0.0397341j 0.100868+0.0497817j -0.00565681+0.0430606j 0.00661341+0.00788001j -0.0817012+0.0374165j -0.00619522+0.134376j -0.0407018+0.0367461j -0.0494934-0.0176855j 0.0428249-0.0748169j 0.0598562+0.0641807j -0.0917148+0.0208436j -0.0367004+0.0571071j -0.0655303-0.0419769j 
-0.00337976-0.0133923j -0.00766299+0.0111072j 0.0101478-0.0785188j 0.135241+0.0257521j -0.0253865+0.106009j 0.0203646+0.0713951j 0.130291-0.036044j 0.0365982-0.0347502j -0.104076-0.00461856j 0.0209869+0.0075449j 0.0145128+0.0134873j 0.0700148-0.079952j -0.0321943+0.0233958j 0.0336847-0.088239j 0.000495967-0.000377594j 0.045743-0.0379459j 0.0540881-0.0694821j 0.00660276+0.0513031j 0.0278955+0.0107107j -0.0425903-0.00795902j 0.0173353-0.0258212j -0.0121044+0.0234406j -0.101178-0.0440142j -0.123572+0.053318j 0.0218497+0.0542389j -0.149709+0.00817348j -0.0193071-0.115512j 0.0532309+0.10267j 0.115886+0.0746253j 0.0990181+0.0144544j -0.0348964-0.105911j 0.0104036-0.123362j 0.0376197+0.127705j 0.0621114-0.0255748j 0.010821+0.0313469j -0.0222858-0.0722571j -0.0524939-0.0492904j -0.0613339-0.00306163j -0.0270889-0.0213127j -0.059756-0.054598j -0.0116208+0.0257679j 0.0797059+0.023117j 0.0365292+0.015925j 0.053236+0.0432411j -0.0289248-0.0194551j -0.0451673-0.0410167j 0.0281432+0.00382964j 0.0334712+0.0527336j 0.0330732-0.0832129j -0.0687705+0.108247j 0.0198509+0.00428814j -0.0647576-0.0164343j -0.0389222-0.0160262j 0.0754901-0.0332036j -0.110243-0.016944j -0.0204809+0.0547418j 0.0253422-0.0742718j 0.0136716+0.00337686j -0.0264665-0.0262694j -0.100828+0.0721215j 0.0607918+0.0655677j 0.148192-0.0425452j 0.0108148+0.0238407j 0.112966-0.10139j 0.152223+0.1061j -0.0248441-0.0446427j 0.0659721+0.0138243j 0.0230117-0.117806j -0.156893+0.155808j 0.0100461+0.0226752j -0.0651368-0.0154644j -0.0295935+0.0276027j -0.0454287-0.0119777j -0.039132-0.0627228j 0.0498415+0.00756381j -0.0236195+0.137273j 0.0973519-0.00612837j 0.0585478-0.0122544j 0.068663+0.0501864j 0.133569+0.187522j 0.105783-0.0515163j -0.0633757+0.00139289j -0.00456837+0.0846939j -0.131041-0.0767135j -0.0278522+0.139635j -0.0616032+0.101815j -0.00888602-0.111933j -0.00745871-0.0430959j 0.176175+0.0277496j -0.019898+0.106929j -0.0398374-0.0167959j 0.0115258-0.0210576j 
-0.0355838-0.057441j -0.061754+0.033911j -0.022553+0.124877j -0.105678-0.012706j -0.0449908-0.00632882j -0.0242179+0.0466861j -0.0124469+0.0716678j 0.0137608-0.133634j -0.0192832+0.053563j -0.0179105-0.0584469j 0.147958+0.0833923j -0.00799164-0.0565039j -0.102321+0.0274446j 0.00979655+0.037006j 0.0241644+0.0286237j 0.00154302-0.0201202j 0.0731203+0.00747671j 0.0586239-0.0276661j -0.0359562+0.02333j 0.037494+0.0647932j 0.0516582+0.0342368j -0.173762+0.00750487j 0.12185+0.0934104j -0.0291406+0.00723749j -0.107012-0.0434758j -0.00461463-0.0181366j -0.153642-0.0366698j 0.0355368+0.155443j 0.141085+0.0275103j -0.0446322+0.0458188j 0.00688037-0.0503564j -0.0693032+0.100018j 0.0317664+0.0996029j -0.0225941-0.0789048j -0.0294913+0.0510881j 0.0672306-0.0201377j -0.023762-0.0221282j -0.00932845-0.0262686j 0.0304146+0.0392343j -0.0281656+0.014905j 0.00693509-0.0253824j -0.0716778+0.0099397j -0.0364028+0.0244091j -0.0756952+0.0781689j 0.0202226+0.00141821j -0.023326+0.0134769j -0.0453478+0.0422557j -0.099042+0.146372j 0.0103744+0.0409486j -0.00509878+0.0209765j -0.0508729+0.000847487j 0.0683279-0.122225j 0.0370042+0.019964j 0.0097734-0.0760728j -0.03159+0.04947j -0.026978+0.0103145j -0.0207241-0.0680363j -0.129868+0.00832365j -0.0914577+0.0746722j 0.0309464-0.0307351j -0.039608-0.012238j 0.172204+0.00331688j -0.0636915+0.000440592j 0.109112+0.0070524j 0.0353629-0.101986j 0.0901019-0.0255025j -0.0438543-0.0186263j -0.0818126+0.0386008j -0.142815+0.135115j 0.00817431-0.0185658j -0.118827+0.0813637j -0.105313-0.0765038j 0.0345041-0.00177382j 0.00153615+0.0903517j 0.117508-0.00740988j 0.0342515-0.0630895j -0.0621768-0.0613663j -0.0770531-0.0500166j 0.0571725+0.00311036j 0.0420119+0.186791j -0.169943-0.0988492j -0.0247859-0.261618j 0.0526849-0.0111545j 0.0686242+0.028579j 0.0725503-0.120175j 0.0579522-0.0285888j 0.0794674-0.0462202j 0.00920578+0.150271j -0.106993+0.0417111j -0.0212284-0.0441773j -0.0179889+0.0160401j -0.0306197-0.00149302j 
-0.0150212-0.0697762j -0.12945+0.0375432j -0.0392707-0.10602j 0.082337+0.0107728j 0.0293209+0.0617069j -0.0531917-0.0535961j 0.0312591+0.0525953j 0.0833831-0.144465j 0.0868545+0.00352711j 0.0136853+0.0433023j 0.0552154-0.0119252j 0.0660383+0.0514212j 0.017352+0.0222047j -6.33409e-05-0.0188207j -0.0175812+0.0432152j 0.0247432+0.00440969j -0.0229403+0.0788501j 0.0344495-0.0301258j 0.0186286-0.00671223j 0.0317994-0.0173708j -0.0131619-0.0252027j -0.0571949+0.0543455j 0.0412004+0.081194j -0.0131004-0.0203167j -0.010345-0.0177922j -0.0184534+0.0041323j 0.0582457+0.129172j -0.0248932-0.050729j 0.0114483+0.0650109j 0.072029+0.0464295j 0.0429503+0.0294631j -0.0283741+0.00471995j -0.0212708-0.038137j -0.0342651-0.0536459j 0.0119261-0.0412227j -0.00797761-0.0781909j 0.0196792-0.0228035j 0.0125668-0.00400245j -0.0214552-0.0600261j 0.0114973-0.02876j 0.0564416-0.0301707j -0.0247678+0.00747863j -0.00151688-0.0299196j -0.0365304-0.025329j -0.0140183+0.000276909j -0.00780586+0.0699116j 0.0536308-0.0381356j 0.0425257+0.00900103j -0.0136919+0.014092j 0.0128689-0.00475303j -0.0643265-0.0196561j -0.0434574+0.112347j 0.00452636-0.0562341j -0.00565808+0.0460809j 0.0383044+0.0233928j -0.0520136+0.046674j 0.00893553-0.0041572j 0.0268468+0.0186368j 0.0129999+0.0115873j 0.0659218+0.0605069j 0.0510844-0.0729406j -0.0336213+0.0172652j 0.0263705-0.0470035j -0.0321093+0.0249427j -0.0313852-0.0634294j 0.0749326+0.0156166j -0.00606764-0.00652897j -0.0643065+0.035969j 0.000298697-0.0346778j -0.0208245-0.00475755j 0.0187102+0.0258742j 0.032626-0.051967j -0.00229705-0.000366342j 0.00117056+0.0326692j -0.0787186+0.0062924j -0.000790394+0.0014584j -0.095055+0.0202455j -0.0309378-0.0209714j -0.01874-0.0220374j -0.0374051-0.0259023j 0.0842159-0.000197276j -0.00631202-0.0388418j -0.00473747+0.0204568j 0.148877+0.0487374j 0.056171-0.100277j 0.0507243-0.0251066j 0.0716069-0.0390148j 0.0285248+0.0390632j 0.0541872+0.0278661j 0.00457812+0.167521j -0.185585-0.0411482j 0.0465356-0.119591j 
0.0100424-0.00548062j -0.0175262-0.00893114j -0.000163755-0.0235757j 0.0219621+0.00689724j 0.000913879+0.00508537j 0.00581804-0.0154553j 0.00876737-0.00205858j 0.0123566-0.0205276j 0.00185826-0.00306567j 0.00798145+0.00136116j 0.0202752-0.00293673j 0.00952575+0.00378405j -0.0021582-0.00614131j 0.0102978-0.0145437j -0.011159+0.00610412j -0.00655614-0.00357899j -0.00194266+0.0040372j 0.00383998+0.0126253j 0.0166564+0.00469225j -0.0106068-0.00410227j -0.00595959-0.00290502j 0.00773865+0.0215367j -0.0116026+8.90989e-06j -0.00763833+0.0153085j -0.0227482+0.00939642j -0.0210374-0.00925925j 0.0134703+0.00368016j -0.00459852+0.0084311j 0.00762756+0.0164198j 0.0162093+0.00222456j -0.0103337-0.00442818j -0.00246177-0.0198875j 0.00115194-0.0215187j 0.0151048+0.00997629j -0.00686256-0.0028765j -0.0119453-0.0077027j -0.00240487+0.00724277j 0.00612454-0.0202805j -0.0106766-0.014835j -0.00329194-0.0111829j -0.0164762-0.013553j 0.0134724-0.00530017j 0.00368672-0.0189513j 0.0109784+0.00346227j -0.0134566+0.0050245j -0.0106804+0.00752615j 0.00873773-0.0116895j -0.0104038+0.0062346j -0.0031797+0.0046899j -0.00156694+0.00316361j -0.0127235-0.00224165j -0.00676095+0.0105761j 0.00750563-0.00412277j -0.00806734+0.000103685j -0.0123334-0.00544603j -0.00437227+0.0129543j -0.0125989+0.00692181j 0.0159953-0.00747945j 0.000797816+0.00840527j 0.00571163+0.00319719j 0.00457924-0.0114701j -0.00740086-0.00928711j -0.00231558+0.00989569j 0.00263563-0.0214376j 0.0176369-0.00502893j 0.0184864-0.0147606j 0.00541436-0.00525952j 0.00117521+0.000997055j -0.00943918+0.0131763j -0.0103571+0.00944233j -0.00360836+0.00174146j -0.00235367+0.00181047j -0.00205354+0.00245329j 0.0030956-0.0126571j -0.00131741+0.00591228j -0.0191376+0.00224856j -0.0015893+0.0136541j 0.00364619+0.00192394j -0.00571818+0.0108424j 0.0033928+0.0128345j 0.032508-0.00083954j 0.00279595-0.00535884j -0.00681118+0.000258872j -0.00689686+0.00498818j -0.0135786-0.0153984j 0.00464771+0.00010458j 0.0109397+0.0058165j -0.00555728-0.002505j 0.0122587-0.0118795j 0.0102208+0.0351508j -0.0122111-0.0121884j 0.0139482-0.00529742j 
