-0.0111714+0.00596098j 0.0430148-0.0011448j 0.0412934+0.0323611j 0.0212427-0.041951j -0.00661681+0.0352714j 0.00205452-0.0180707j -0.000360178-0.025089j 0.0414241+0.016972j -0.0349486+0.0169731j 0.031139+0.0193431j -0.00933421+0.0269722j -0.0148121+0.0239172j -0.0185773-0.0136211j -0.0206972-0.0124425j -0.00626859-0.00089996j 
0.0192795+0.0168944j 0.0249892-0.0464283j 0.0137593+0.0219915j -0.0231873-0.0215537j -0.0185224+0.0173642j 0.00535336+0.0232625j -0.0017525-0.000367923j 0.0045404-0.0269517j -0.0312059+0.0112325j 0.0286861+0.00178353j 0.00840723+0.0122866j 0.0200438-0.0340675j 0.00826933-0.00548523j 0.0150824+0.0265598j 0.0231196+0.000565317j 
0.0224613+0.000565821j 0.0110618+0.0368733j 0.0010017-0.00570738j -0.0356912+0.00195627j -0.0421152+0.0294161j 0.0228934+0.0520485j -0.0322644-0.00671397j 0.0276276-0.0217054j -0.0415727+0.0393104j 0.0364146-0.00157011j 0.00524436+0.0355981j -0.0064757-0.0304825j 0.00867418-0.00798951j 0.0145264-0.00591874j -0.00333254-0.00754382j 
-0.0625302+0.00139754j -0.0119188+0.00197455j 0.00520964+0.00909909j -0.00535284-0.000345026j -0.0151636+0.0011319j 0.00722991+0.0167223j -0.0369674+0.00340233j 0.0209286-0.0333669j -0.0211119+0.0329515j 0.0393079+0.0083045j 0.022318-0.00418871j 0.00417916+0.00748448j -0.0248121-0.0321392j -0.00285958+0.0321605j 0.0214447-0.00221466j 
0.0301553-0.00126752j -0.0137128-0.0181496j -0.0187045+0.0393179j 0.0363695+0.016666j -0.00773996-0.0386115j -0.0052108-0.0070188j -0.0329187+0.00800046j 0.00399284-0.010726j 0.00618846+0.0130036j 0.0200883+0.0155139j 0.0129749-0.0425517j -0.00836737+0.0465262j -0.0519054-0.0386395j -0.00814599+0.0309888j 0.0200705-0.0173022j 
0.0233335-0.0142229j 0.0162564+0.0392362j 0.0109523-0.0258578j 0.0136084-0.0222476j 0.0105677-0.0100344j -0.0219245-0.021705j -0.0157713+0.00479691j 0.0173389-0.0144597j -0.000336755+0.0131858j 0.0218166+0.0101306j 0.0116696-0.0182467j 0.0159042+0.0371463j -0.0344545-0.0209531j -0.0175643+0.0344057j 0.0181329+0.00930857j 
-0.00434869-0.00372046j 0.0084891+0.00601252j 0.000897296-0.0165832j -0.00727293-0.0125554j 0.00667775+3.57296e-05j -0.0142756-0.0148373j 0.0224115-0.00732461j -0.0320772+0.00594347j -0.0199051+0.0168216j 0.0275083+0.000348621j -0.00780602-0.036615j -0.0159119-0.030117j -0.0375236-0.0354688j 0.0533151+0.0260966j 0.0515141-0.0358301j 
