6.23765e-15+0.022045j 1.35675e-15-0.0041581j 3.60127e-17+0.00446979j -3.91912e-17-0.0052352j 1.56406e-17+0.00256238j 7.0995e-17+0.012875j 8.52253e-18-0.0141191j -4.10294e-18+0.00316319j -9.39379e-18-0.00975077j 1.11452e-17+0.00646438j -1.41221e-17-0.00823851j -1.35959e-17-0.00207394j -1.68641e-17-0.00109068j -3.5095e-17-0.010734j 3.48963e-17-0.00531671j -6.4141e-17-0.0111967j -1.15997e-16+0.00128351j 9.72892e-17-0.00430164j -5.29463e-17+0.00214097j 1.25247e-17-0.00974657j -3.02965e-17-0.016737j -1.32719e-16+0.0173621j 1.49736e-17-0.00797992j -1.06022e-19+0.0123304j 1.28053e-17-0.000645366j -5.89053e-17+0.00707704j 4.89521e-18-0.00203819j 1.66739e-16+0.0033141j 2.15539e-16+0.00683674j -1.48833e-17-0.00470539j 9.42759e-17-0.00185374j 1.72953e-17-0.00459588j -3.47717e-17+0.00137735j 1.67974e-17+0.00102749j 1.05097e-16+0.0203989j -1.08517e-17-0.00350636j -1.15906e-16-0.0110465j 1.19405e-16-0.000820269j 3.63212e-16-0.00949103j -1.23934e-16+0.0143559j 5.9687e-17+0.00480551j 1.07203e-16+0.00148048j -7.83017e-17+0.0121553j -7.38809e-18-0.00409156j 5.55339e-18-0.0026847j -3.29866e-17+0.00414709j 5.03273e-18-0.00678844j -3.19972e-17+0.00954357j -3.11546e-17+0.010513j 4.03965e-18+0.00880216j 8.28789e-18-0.0105245j -7.86589e-18+0.00182617j -2.73784e-17-0.0105207j -2.76388e-17+0.0020827j -1.40703e-15+0.0110142j 6.44839e-15+0.0185918j 
2.48903e-15+0.0102015j 5.42159e-16-0.00812285j -3.64707e-17+0.00151169j 3.78922e-17+0.010111j 8.39173e-18-0.000778577j 3.74653e-17+0.00674371j 7.99674e-18-0.00353952j 1.60387e-17-0.00984673j -7.17308e-18-0.0023955j 1.1058e-17+0.00386194j 2.13449e-18-0.00104123j -8.17671e-18-0.000665601j -4.54646e-18+0.00272526j 7.55936e-18-0.00418941j 8.2854e-17+0.00241637j -2.97731e-17-0.00410039j -7.42152e-16+0.0142778j 1.32325e-16-0.00625781j -5.16189e-17+0.000315391j 1.3057e-17-0.00412534j -3.86941e-17-0.000215414j -1.27327e-16+0.0146056j -3.44442e-18+0.00397601j -2.42409e-17-0.00219156j -3.88844e-18+0.0062874j -1.0797e-17-0.00150235j 2.62591e-17+0.00171317j -1.23181e-16-0.00342232j -2.47875e-16-0.00708427j 7.06798e-19+0.0055365j -1.63772e-16+0.00781393j -4.91282e-17-0.000817337j -2.49286e-17+0.00888878j 8.46458e-18-0.00546923j 8.34386e-17+0.0111548j 5.81481e-17-0.0142152j -6.46968e-17-0.0027993j -3.49805e-18-0.00231249j 8.57213e-17-0.000946596j -5.59716e-17+0.000629376j 7.09316e-17+0.0103825j 6.63277e-17-0.00420285j -1.41504e-17+0.00272322j 1.06251e-17+0.00236533j -4.13658e-18+0.000222229j -3.27277e-17+0.00543334j 4.94228e-18-0.0034355j -6.33117e-18+0.00260592j 6.87008e-18-0.00427476j 7.51909e-18+0.00894442j -5.05297e-18-0.00915258j -2.26342e-18-0.00376449j 3.38653e-17+0.00615636j 2.76966e-17+0.00401792j -1.17225e-15+0.00102403j 5.37506e-15+0.0137212j 
-8.27919e-16-0.00505751j -1.8828e-16+0.0104287j 7.30642e-17+0.00115009j -6.28079e-17-0.0176403j -1.07222e-17+0.00447476j -1.53497e-17-0.0025446j -1.56873e-18-0.000648804j -4.038e-17+0.0158861j 7.08079e-18+0.0039455j -1.26791e-17-0.00324019j -7.77714e-18-0.00180832j 1.64846e-17+0.00182132j 5.6778e-18-0.00584136j -1.57138e-17+0.00630277j -6.272e-17-0.00637422j -1.25807e-17-0.00283397j 8.99062e-16-0.0172735j -1.41074e-16+0.00832967j 5.60785e-17+0.00156244j -2.06479e-17+0.00576789j 6.12649e-17-0.00981629j 1.04331e-16-0.0113069j 3.77889e-17-0.00816296j 2.0007e-17+0.00831304j 1.90006e-17-0.00618827j -2.28427e-17+0.00846349j -1.23555e-17-0.0079337j 2.9862e-16+0.00688359j 4.78026e-16+0.0143554j -1.04245e-17-0.00660201j 3.0158e-16-0.0103514j 7.75735e-17-0.00482737j 2.06041e-17-0.0142425j -2.10266e-17+0.0108778j -6.50715e-17-0.00450597j -1.04205e-16+0.0183894j 9.63773e-17+0.00301129j 8.5526e-17+0.00211434j 2.89502e-17-0.00245738j -2.19061e-17+0.0103481j -4.52419e-17-0.0101635j -7.67349e-18+0.00753259j 2.50212e-17-0.0033197j -6.52156e-18-0.00457338j 6.64291e-18+8.9251e-05j 3.9023e-17-0.00704815j -9.04646e-18+0.00236229j 6.93474e-18-0.00435498j -4.60124e-17+0.012745j -2.12986e-18-0.0103427j 9.68054e-18+0.00744797j -5.22769e-18+0.00474828j -4.461e-17-0.015348j -5.30898e-17-0.00392083j 1.1271e-15+0.00395803j -5.20464e-15-0.0122181j 
-1.41052e-14-0.050626j -3.0686e-15+0.0129768j -5.56535e-17-0.0105606j 6.16569e-17+0.00494725j -3.79637e-17-0.00573716j -1.71779e-16-0.0307356j -2.19694e-17+0.0304546j -1.64786e-18-0.000701192j 2.00535e-17+0.0189685j -2.79757e-17-0.0151323j 2.88452e-17+0.0171422j 2.59818e-17+0.00378192j 3.74398e-17+0.00124478j 5.79591e-17+0.0219281j -1.34449e-16+0.00957666j 1.65827e-16+0.0268247j 7.34266e-16-0.012309j -2.81796e-16+0.0118645j 1.3366e-16-0.00500873j -3.28625e-17+0.020292j 8.49834e-17+0.0352507j 3.5329e-16-0.0447455j -3.5881e-17+0.0132973j 1.55569e-17-0.0235255j -2.64953e-17-0.00386033j 1.24201e-16-0.0148798j -2.93732e-17+0.0051903j -2.89974e-16-0.00490146j -3.09133e-16-0.0101517j 3.24524e-17+0.00466706j -1.01062e-16-0.00166792j 8.32338e-20+0.0115988j 9.2157e-17-0.00712708j -3.80413e-17+3.9105e-06j -2.70153e-16-0.0490683j -1.20039e-17+0.0157739j 2.4666e-16+0.0222607j -2.5241e-16+0.00342132j -7.79636e-16+0.0196028j 2.95336e-16-0.0316703j -1.75307e-16-0.0171015j -2.78788e-16-0.000879608j 1.51031e-16-0.0240462j 5.48986e-18+0.0065865j -8.51606e-18+0.00457514j 8.60271e-17-0.0111366j -1.10932e-17+0.0155902j 6.61032e-17-0.0186672j 6.04153e-17-0.0196296j -1.23856e-17-0.0225077j -1.34459e-17+0.0272267j 1.81632e-17-0.000788473j 3.76911e-17+0.0184786j 4.05543e-17-0.00703027j 3.51159e-15-0.0231598j -1.60969e-14-0.0454664j 
-4.00224e-15-0.015048j -8.71221e-16+0.00682073j 7.01299e-18-0.00374303j -5.328e-18-0.00472966j -1.1585e-17-0.00211955j -6.01812e-17-0.0105692j -8.68011e-18+0.00716831j -1.05642e-17+0.00564349j 7.35376e-18+0.00137822j -1.01271e-17-0.00463382j 6.24801e-18+0.00341734j 1.27663e-18-0.000195787j 8.90784e-18-0.000415778j -3.18509e-18+0.00284209j -9.76038e-17+0.000606881j 7.17536e-17+0.00992035j 6.76139e-16-0.0127872j -1.39099e-16+0.00502779j 4.96155e-17-0.00183686j -9.59065e-18+0.00314069j 3.6387e-17+0.00828821j 1.56795e-16-0.0182289j -1.51645e-17-0.000849245j 1.89802e-17-0.00260617j -3.51711e-18-0.00674698j 2.95488e-17-0.00396839j -3.18033e-17+0.00312461j -1.56319e-17+0.000867405j 6.62643e-17+0.00171151j 1.30389e-17-0.00500043j 7.20582e-17-0.00626977j 3.50387e-17+0.00537071j 4.05062e-17-0.00520004j -7.86733e-18+0.00151167j -1.07317e-16-0.0172414j -3.76148e-17+0.0118016j 4.51529e-17+0.00287555j -6.3277e-17+0.00261662j -1.79406e-16+0.00376449j 1.09022e-16-0.00946129j -9.03493e-17-0.0112238j -1.23752e-16+0.00181205j 6.07064e-18-0.00249745j -9.84601e-18-0.000733606j 2.96613e-18-0.000464999j 3.39974e-17-0.00451395j -1.65198e-18+0.00454114j 7.21796e-18-0.00144241j 1.08439e-17-0.00224459j -7.25207e-18-0.0084424j -3.7871e-19+0.0111335j 4.45825e-18+0.00320356j -1.2235e-17+0.000819371j -6.96199e-18-0.00435477j 1.28258e-15-0.00510721j -5.87873e-15-0.0158754j 
-3.00704e-15-0.00709965j -6.22768e-16-0.0143667j -1.45647e-16-0.00129752j 7.83353e-17+0.0338141j -2.83967e-18-0.00338757j -6.69591e-18-0.000268347j -1.80445e-17+0.0129409j 1.14778e-16-0.0304697j -4.8026e-17+0.0142987j 1.01711e-17-0.000376292j 1.91019e-18+0.0103047j -4.42691e-20+0.00351734j 3.86223e-18+0.00718193j 5.01091e-17+0.0113228j 1.76321e-16+0.0139047j -8.63221e-18+0.00194873j -2.03149e-15+0.0388726j 2.30246e-16-0.00846509j -4.75143e-17-0.00120353j -2.20343e-17+0.00894394j -8.64705e-17+0.0219524j -2.03459e-16+0.0142471j -6.83269e-17+0.0240264j -1.36324e-17-0.0250711j -8.50657e-17+0.0212681j 7.22396e-17-0.0111193j 8.9832e-17+0.00229852j -4.88945e-16-0.013544j -8.79937e-16-0.0278634j -5.50841e-17+0.0258775j -6.22195e-16+0.025474j -1.50742e-16+0.000249602j -6.27559e-17+0.018923j 1.00102e-17-0.0130174j 5.65019e-17+0.00105284j 2.45341e-16-0.0327266j 2.8923e-17+0.0141195j -1.4235e-16-0.00583871j -3.74787e-16+0.0125269j 1.69543e-17-0.0146459j 6.09707e-17+0.023121j 9.08311e-17-0.0123917j 1.80754e-16-0.0170884j 1.63503e-17+0.0132775j -4.16298e-17+0.00658227j -4.6483e-17+0.00671863j -3.56857e-18+0.00185764j 8.87645e-17-0.0134428j 1.04785e-16-0.0251526j -2.48099e-18+0.00847871j 2.82303e-18-0.00923318j 4.25792e-17-0.0144696j 7.09609e-17+0.030256j 8.85205e-17+0.00850391j -8.23933e-16-0.0135626j 3.87563e-15+0.00682644j 
-1.14036e-14-0.044624j -2.46427e-15+0.0272864j 1.10788e-16-0.00419003j -1.51119e-16-0.026801j -1.10114e-17+0.00571235j -1.14981e-16-0.0246087j -4.37595e-17+0.0211101j -1.09299e-18+0.0264122j 5.16376e-17+0.0251003j -4.67372e-17-0.0167539j -1.59783e-17+0.0095241j 7.14725e-17+0.00758943j 4.70043e-18-0.0103816j 6.07346e-17+0.0313697j -2.03084e-16-0.00441703j 8.34354e-18+0.0104181j 1.84199e-15-0.0348522j -3.93382e-16+0.0236563j 2.12757e-16+0.000160976j -3.63514e-17+0.0283965j 8.30269e-17+0.00583154j 4.02667e-16-0.0486517j 1.4868e-17-0.00306476j 9.43075e-17-0.00313834j 8.66664e-18-0.00983385j 1.11543e-16+0.00686753j -8.58555e-17-0.0143268j 3.85495e-16+0.00854198j 6.96427e-16+0.0179771j -1.89308e-17-0.00414428j 4.14906e-16-0.0167275j 7.29283e-17-0.003949j 2.42697e-17-0.0310445j -1.08263e-17+0.0208569j -2.52935e-16-0.0398373j -1.23579e-16+0.0414597j 4.05261e-16+0.024901j -4.59722e-18+0.00508878j -5.45797e-16+0.0102319j 2.33526e-16-0.0001278j -1.90462e-16-0.0264214j -1.257e-16+0.0128401j 1.74163e-16-0.0276315j -2.15155e-17-0.0022999j 6.87001e-18+0.00506423j 1.0327e-16-0.0208241j -2.90679e-17+0.0154852j 4.40414e-17-0.0255866j 3.77228e-17+0.00937558j -4.20028e-17-0.0347419j 1.04921e-17+0.0307289j 1.68605e-17+0.00584953j -1.37532e-16-0.0144377j -6.93288e-17-0.0105871j 4.49664e-15-0.00927728j -2.05185e-14-0.0535242j 
-1.06526e-14-0.0348296j -2.35717e-15-0.00541334j -2.03771e-16-0.0132097j 2.98358e-16+0.0312886j -7.62122e-17-0.0157334j -1.82028e-16-0.0249875j 2.71591e-17+0.0254584j -5.79524e-17-0.0242721j -4.16961e-17+0.000568081j 5.2597e-18-0.00689718j 7.60557e-17+0.0163156j -4.97636e-17-0.00302779j 7.78408e-17+0.0123875j -1.40867e-17-0.000792814j -2.44581e-17+0.0183627j 3.20029e-16+0.0341392j -3.47735e-16+0.00935141j -1.08677e-16-0.00459357j -1.27288e-17-0.00859853j -3.68416e-17+0.00036746j 1.20741e-16+0.0492185j 1.86735e-16-0.025144j -5.07283e-17+0.0208157j -9.99792e-17-0.0311886j -4.63903e-17-0.000532175j 2.98613e-17-0.0310791j 6.98539e-17+0.0249761j -8.46177e-16-0.0150794j -1.16157e-15-0.0316062j 8.29242e-17+0.0066123j -4.97243e-16+0.0102037j -9.82596e-18+0.0246491j 1.80841e-16+0.0188065j -8.99517e-17-0.0208761j -2.20256e-16-0.0396165j 4.1434e-17-0.0124359j -6.5335e-17+0.0065628j -3.95627e-16+0.00149665j -6.25181e-16+0.0192372j 1.79232e-16-0.0513419j -1.06744e-16-0.00487517j -3.79643e-16-0.0133231j 4.3242e-17-0.00579867j 3.66619e-17+0.0108779j -2.08345e-17+0.000518051j 5.54267e-17+0.00301784j 1.50064e-17+0.00879609j 7.21672e-17+0.000308656j -5.18278e-18-0.0388216j 4.37807e-17-0.0011297j -3.05365e-17+0.0141392j 2.84459e-18-0.00460351j 2.51256e-16+0.0414183j 1.26633e-16-0.00207779j 1.10032e-15-0.0262683j -5.26004e-15-0.0189813j 
-9.60947e-15-0.0390262j -2.07887e-15+0.0295693j 1.34082e-16-0.00601139j -1.67821e-16-0.0356593j -1.85161e-17+0.00235662j -1.34807e-16-0.0257208j -4.16191e-17+0.014219j -2.58421e-17+0.0349706j 3.27668e-17+0.00933016j -4.20198e-17-0.0145326j -1.53419e-17+0.00461827j 3.41589e-17+0.00249139j 4.74183e-18-0.00956015j -1.44054e-17+0.0158617j -3.20011e-16-0.00805007j 9.65841e-17+0.0162125j 2.66e-15-0.0515748j -4.73395e-16+0.0228457j 1.9664e-16-0.00144236j -3.95114e-17+0.0155852j 1.06843e-16+0.00280321j 4.70303e-16-0.0544703j -9.83907e-18-0.0134701j 1.11624e-16+0.00653188j 5.47332e-18-0.0227161j 7.08066e-17+0.00439151j -1.18277e-16-0.00560344j 4.35569e-16+0.0118842j 8.9579e-16+0.0245948j -1.07158e-17-0.0195963j 5.59021e-16-0.0279614j 1.56788e-16+0.00371766j 6.69687e-17-0.0319086j -7.91165e-18+0.0193368j -2.99515e-16-0.0424535j -1.78417e-16+0.0514403j 2.43151e-16+0.010988j -7.74293e-19+0.00844958j -3.58134e-16+0.0044133j 2.54078e-16-0.00418081j -2.73023e-16-0.0379775j -2.37383e-16+0.0148632j 5.3592e-17-0.0107729j -4.83088e-17-0.00808487j 1.47154e-17-0.000615011j 1.10282e-16-0.0198812j -1.87076e-17+0.0130462j 1.84529e-17-0.0100615j 1.33202e-17+0.0140508j -4.06604e-17-0.0329728j 2.01926e-17+0.0340802j 1.67682e-17+0.0134142j -1.5697e-16-0.0208107j -9.99981e-17-0.0147154j 4.37374e-15-0.00492454j -1.99842e-14-0.0512391j 
-2.7385e-14-0.093392j -5.95676e-15+0.002647j -2.773e-16-0.0197208j 3.04064e-16+0.0525784j -6.0353e-17-0.0147287j -2.81679e-16-0.0519666j -2.40663e-17+0.0673356j 5.66098e-17-0.0409989j 4.28979e-17+0.0485081j -3.40403e-17-0.025464j 8.14295e-17+0.0418207j 6.12443e-17+0.0102545j 7.86193e-17+0.0119327j 2.21607e-16+0.0494763j 3.11029e-17+0.034241j 2.50185e-16+0.0484603j -1.24178e-15+0.0292689j -1.92537e-16+0.00826564j 1.62538e-16-0.0102695j -3.00648e-17+0.0439604j 6.7425e-17+0.0881809j 3.97682e-16-0.0565359j -7.66532e-17+0.0530548j -6.40135e-17-0.0717002j -6.84462e-17+0.0202137j 2.9275e-16-0.0403412j 3.72929e-17+0.0132156j -1.17544e-15-0.0259785j -1.75023e-15-0.0536005j 8.72029e-17+0.0402974j -8.94512e-16+0.0298405j -2.23166e-16+0.0209932j 1.2056e-16+0.0135353j -7.00596e-17-0.017852j -3.48351e-16-0.081096j 1.93539e-16-0.0162565j 4.94056e-16+0.0540763j -6.39834e-16-0.00162691j -1.7437e-15+0.0487949j 5.20904e-16-0.0734608j -1.27713e-16+0.000783489j -3.93501e-16-0.017906j 3.92993e-16-0.0605997j 7.15445e-17+0.0280389j -3.74913e-17+0.0156333j 9.73934e-17-0.00938891j -1.63925e-17+0.0281986j 1.51576e-16-0.0468859j 1.80738e-16-0.0661069j -2.80995e-18-0.0258975j -6.06291e-17+0.0336069j 3.17378e-17-0.019661j 2.30965e-16+0.0708087j 2.18021e-16-0.000930545j 4.70824e-15-0.0563861j -2.1574e-14-0.0664597j 
5.31869e-15+0.0222999j 1.17369e-15-0.0197934j -7.11422e-17+0.00971017j 4.02394e-17+0.0277959j 3.662e-17+0.00789983j 1.4981e-16+0.0230087j 8.99232e-18-0.00332731j 8.2762e-17-0.028607j 2.77543e-18+0.0200517j 1.64508e-17+0.00660615j -1.50813e-17+0.00130811j 4.64019e-17+0.00757096j -2.10017e-17+0.0012761j 1.16417e-16+0.0161139j 3.80248e-16+0.00618939j -2.66817e-16-0.0272633j -2.83829e-15+0.0552907j 4.36387e-16-0.0110013j -8.9075e-17+0.00554772j 2.29603e-17+0.0116039j -1.31211e-16-0.00867423j -4.47304e-16+0.0476192j 4.50405e-17+0.0198081j -5.86629e-17-0.0120107j -5.63395e-18+0.0344653j 1.27573e-17+0.00899847j 1.17404e-16-0.0169752j -1.2758e-16-0.00876843j -5.60229e-16-0.0175629j -4.85193e-17+0.0350789j -4.59345e-16+0.0322584j -2.14647e-16-0.0206575j -1.56328e-16+0.0156055j 2.06673e-17-0.00382675j 2.94767e-16+0.0388527j 2.01799e-16-0.0434848j 1.20933e-16+0.0145966j 9.56411e-17-0.0108054j 5.13776e-17+0.00220517j -2.35414e-16+0.0215304j 3.01705e-16+0.0423371j 4.17057e-16-0.00879946j 1.73965e-16-0.0197049j 5.56256e-17+0.0115319j -2.35731e-17+0.00948298j -9.06199e-17+0.00942496j -1.05255e-17-0.00583875j 3.17522e-17-0.0194356j 3.81031e-17-0.00644569j 9.49798e-18+0.0167872j -1.12111e-17-0.0289359j 3.70584e-19-0.0190884j 5.5248e-17+0.0125551j 7.09656e-17+0.0158816j -2.63643e-15+0.00219034j 1.21576e-14+0.031027j 
