0.000674558-0j -0.00506801-0j 0.00559876-0j -1.25001e-05-0j 2.08288e-09-0j 0.0234298-0j 0.00200726-0j -1.35447e-06-0j 8.98058e-11-0j 0.000155159-0j -5.17082e-08-0j -6.43589e-10-0j -0.0601849-0j 0.000232739-0j -5.48448e-08-0j 1.45601e-05-0j -1.67209e-09-0j 4.16885e-07-0j -0.0167137-0j 1.59498e-05-0j -1.2952e-09-0j 6.08899e-07-0j 1.3923e-08-0j -0.00204277-0j 6.8077e-07-0j 1.46761e-08-0j -0.000144906-0j 1.66411e-08-0j -6.33762e-06-0j 0.00175331-0j 0.0065206-0j -1.18311e-06-0j 7.84443e-11-0j -9.41681e-05-0j 0.000191668-0j -1.78301e-05-0j -6.3875e-08-0j -9.73702e-10-0j -5.67748e-05-0j 8.99302e-06-0j -1.03277e-09-0j 3.43064e-09-0j -0.0542948-0j 4.49318e-08-0j 0.000209962-0j 0.00116888-0j -4.94774e-08-0j -2.30763e-12-0j 1.31351e-05-0j -1.50845e-09-0j -1.11545e-06-0j 5.31866e-07-0j 8.88153e-09-0j 9.05796e-11-0j -0.015389-0j -0.00190384-0j 1.46855e-05-0j -1.19254e-09-0j -2.45855e-08-0j 5.60636e-07-0j 1.28194e-08-0j -0.00417367-0j -0.00190753-0j 0.0204657-0j 6.35701e-07-0j 1.37045e-08-0j 0.000638668-0j -0.000136715-0j 1.57005e-08-0j 
1.63519e-07-0j 0.000354905-0j -0.00498208-0j 0.0100242-0j -1.38229e-05-0j 2.89939e-05-0j 0.0193009-0j 0.002228-0j -7.46178e-07-0j 0.000359962-0j 8.52315e-05-0j -1.547e-08-0j -0.000232739-0j -0.0618534-0j 0.000181593-0j 0.000104081-0j 4.60423e-06-0j 5.99847e-06-0j 0.00140292-0j -0.0130611-0j 7.16397e-06-0j 8.76133e-06-0j 3.34666e-07-0j -0.00473912-0j -0.00112213-0j 3.52769e-07-0j -0.00103585-0j -4.58225e-05-0j -9.11908e-05-0j 0.0168591-0j -0.00288859-0j 0.00194613-0j -6.51777e-07-0j -0.00273224-0j 0.00044466-0j 0.00951854-0j 0.000105286-0j -2.34049e-08-0j -9.81117e-09-0j 6.42858e-05-0j 2.8438e-06-0j -1.70631e-05-0j -0.000209962-0j -0.00014814-0j -0.0558001-0j -9.81129e-05-0j 0.000163821-0j 3.1993e-08-0j 9.38954e-05-0j 4.15363e-06-0j 0.000913428-0j 7.65292e-06-0j 2.13485e-07-0j -5.01012e-07-0j 0.00129172-0j 0.000542133-0j -0.0120258-0j 6.59614e-06-0j -3.53756e-07-0j 8.06688e-06-0j 3.0814e-07-0j -2.55139e-06-0j -0.00442538-0j 2.53258e-05-0j -0.00104784-0j 3.29415e-07-0j -2.66862e-05-0j -0.000977294-0j -4.32324e-05-0j 
8.18796e-12-0j 6.67977e-08-0j 0.000133902-0j -0.00336642-0j 0.0146446-0j 4.08396e-09-0j 1.84173e-05-0j 0.0137674-0j 0.00159615-0j 5.26101e-07-0j 0.000525118-0j -1.44017e-07-0j -5.48448e-08-0j -0.000181593-0j -0.0635245-0j -5.63901e-06-0j 8.61003e-05-0j 1.83982e-05-0j 6.66436e-07-0j 0.00142145-0j -0.00760656-0j 2.68723e-05-0j 3.11557e-06-0j -6.92644e-06-0j -0.0069135-0j 3.2841e-06-0j 5.61209e-05-0j -0.000856893-0j -0.000279696-0j 1.60873e-05-0j -1.36733e-06-0j 0.0120257-0j 0.00139422-0j 0.00029823-0j 6.49892e-07-0j -0.00158669-0j 0.000648677-0j -2.17888e-07-0j -3.81824e-13-0j -3.48293e-06-0j 5.31797e-05-0j 0.0120254-0j -4.94774e-08-0j -0.00277234-0j -0.000163821-0j -4.66072e-08-0j -0.0573076-0j -0.00013731-0j -5.08714e-06-0j 7.7674e-05-0j -9.94089e-05-0j 2.34726e-05-0j 1.98744e-06-0j 0.000531965-0j 6.13612e-07-0j -8.70941e-06-0j 0.00130878-0j -0.00700364-0j -1.08502e-06-0j 2.47423e-05-0j 2.86862e-06-0j -2.39059e-10-0j -6.46789e-06-0j 3.56729e-09-0j -0.00645581-0j 3.06669e-06-0j -3.58252e-09-0j 5.29486e-05-0j -0.000808457-0j 
-4.35964e-09-0j 1.15817e-07-0j -1.35447e-06-0j 5.59007e-06-0j 2.14157e-07-0j 0.000233826-0j -0.00274071-0j 0.00587421-0j -3.99898e-06-0j 0.023985-0j 0.00183774-0j 8.63081e-05-0j 1.45601e-05-0j -0.000104081-0j -5.63901e-06-0j -0.0631458-0j 7.4457e-05-0j 4.2863e-05-0j -0.000132423-0j 0.000401389-0j -3.34666e-07-0j -0.010789-0j 3.59755e-06-0j 0.00091353-0j 6.99951e-05-0j -0.000653515-0j -0.00364668-0j 4.2999e-06-0j -0.000651619-0j 1.38915e-05-0j 0.000271852-0j -2.9774e-05-0j 2.02692e-08-0j -7.46094e-07-0j 0.0147714-0j -0.00137413-0j 0.00113179-0j 8.6968e-05-0j 2.28779e-10-0j 0.000226317-0j -2.66857e-07-0j -6.07871e-05-0j 1.31351e-05-0j 1.13075e-06-0j -9.38954e-05-0j -0.00320122-0j -5.08714e-06-0j -5.96268e-10-0j -0.056966-0j 6.71702e-05-0j 0.00970326-0j 5.46851e-05-0j 2.2949e-06-0j -8.09029e-06-0j -0.000121927-0j 1.10252e-07-0j 0.000369574-0j -3.0814e-07-0j 0.00131194-0j -0.00993384-0j 3.3124e-06-0j -1.64369e-05-0j 0.000853052-0j -1.18517e-06-0j 6.53612e-05-0j -0.00061025-0j -7.25052e-09-0j -0.00344055-0j 4.05685e-06-0j 
-1.38471e-13-0j -7.23446e-10-0j 3.57934e-08-0j -7.46178e-07-0j 6.55399e-06-0j 1.78708e-08-0j 6.02678e-05-0j -0.00159385-0j 0.0105072-0j 9.26205e-06-0j 0.013969-0j 0.000656043-0j 1.67209e-09-0j 4.60423e-06-0j -8.61003e-05-0j -7.4457e-05-0j -0.0648339-0j -2.84412e-06-0j -2.54197e-08-0j -5.42179e-05-0j 0.000585369-0j 0.000715889-0j 2.73456e-05-0j 3.52769e-07-0j 0.000532044-0j -0.00496748-0j -4.2999e-06-0j -0.00374416-0j 4.32372e-05-0j -3.05473e-07-0j -3.5764e-06-0j 8.07858e-06-0j -5.32568e-05-0j 4.9506e-08-0j 5.70415e-06-0j 0.000122105-0j 0.00860296-0j 0.000661058-0j 5.81037e-15-0j 2.66857e-07-0j 0.000232367-0j -0.00139423-0j 1.50845e-09-0j -6.14946e-07-0j 4.15363e-06-0j -6.14501e-07-0j -7.7674e-05-0j 2.61415e-06-0j -6.71702e-05-0j -0.0584889-0j -0.00131068-0j -3.62855e-06-0j 1.74439e-05-0j 0.0141508-0j -2.34049e-08-0j -1.93898e-09-0j -4.99205e-05-0j 0.000538971-0j -8.70518e-05-0j 0.000659146-0j 2.51781e-05-0j -8.96272e-10-0j 3.29415e-07-0j -9.05796e-11-0j 0.000496822-0j -0.00463862-0j 3.39396e-11-0j -4.05685e-06-0j -0.00353252-0j 
8.8018e-11-0j -3.12046e-09-0j 5.48448e-08-0j -4.55617e-07-0j 9.88143e-07-0j 4.39012e-08-0j -8.60366e-07-0j 5.63901e-06-0j 2.16026e-07-0j 5.65542e-06-0j -2.4531e-05-0j -1.54814e-06-0j 0.000135665-0j -0.00195206-0j 0.00598727-0j 0.0139488-0j 0.00092555-0j -0.0912182-0j 7.16397e-06-0j -6.64031e-05-0j -3.11557e-06-0j 0.000288869-0j -0.00770674-0j -7.4457e-05-0j 0.000322965-0j 3.5303e-05-0j 0.000603282-0j 4.00299e-05-0j -0.00300664-0j 0.000172933-0j 6.3875e-08-0j -0.00113344-0j -4.34211e-05-0j 4.0363e-08-0j -0.00160758-0j -6.49892e-07-0j 0.00697307-0j 0.000538971-0j -4.10448e-12-0j 0.0172683-0j 0.00114581-0j 1.62754e-06-0j -5.31866e-07-0j -1.87063e-07-0j 7.65292e-06-0j -5.01012e-07-0j -2.34726e-05-0j -5.55095e-09-0j -5.46851e-05-0j -3.62855e-06-0j 4.6439e-06-0j -0.0580624-0j 2.13643e-05-0j 2.17888e-07-0j 6.59614e-06-0j -3.56729e-09-0j -6.11398e-05-0j -2.86862e-06-0j -1.16637e-05-0j 0.000265972-0j -0.00709588-0j -2.5698e-09-0j -6.95278e-05-0j -8.82412e-06-0j 0.000301584-0j 3.29659e-05-0j 1.67358e-10-0j 0.000569181-0j 3.77672e-05-0j 
-1.153e-12-0j 5.25849e-11-0j -1.2952e-09-0j 1.79745e-08-0j -1.18322e-07-0j -8.63465e-10-0j 2.54197e-08-0j -3.34666e-07-0j 1.4687e-06-0j -2.23111e-07-0j 2.93739e-06-0j -1.05253e-05-0j 1.3923e-08-0j -3.34666e-07-0j 3.11557e-06-0j 3.59755e-06-0j -2.73456e-05-0j -2.3682e-05-0j 6.0935e-05-0j -0.00113455-0j 0.00609801-0j 0.00995801-0j -0.0655517-0j 2.93739e-06-0j -3.86725e-05-0j 0.000240015-0j -3.58038e-05-0j 0.000272151-0j 0.000360022-0j 2.22038e-08-0j -1.50845e-09-0j -2.92327e-07-0j 1.28289e-06-0j -1.19254e-09-0j -2.75608e-07-0j 2.56388e-08-0j 3.62855e-06-0j -1.5924e-05-0j 4.8381e-14-0j 2.22203e-06-0j -1.689e-05-0j -1.94885e-07-0j -3.61599e-06-0j 1.11019e-08-0j 8.69176e-05-0j 1.48025e-08-0j -0.000809159-0j -3.77392e-08-0j -0.000934337-0j 0.00710205-0j -2.75608e-07-0j 0.0086982-0j -0.0837767-0j 1.48135e-06-0j -1.94885e-07-0j 7.01627e-11-0j 3.62855e-06-0j -1.95029e-05-0j 1.39663e-06-0j -3.18481e-05-0j 0.00020965-0j 4.33053e-11-0j 2.74293e-06-0j -7.54226e-10-0j -3.61123e-05-0j 0.000224125-0j -2.46696e-12-0j -3.378e-05-0j 0.000256767-0j 
0.00837192-0j -0.0309873-0j -0.00190384-0j 1.36022e-06-0j -1.35478e-10-0j 0.0688251-0j -0.000330055-0j 1.10252e-07-0j -4.86491e-12-0j -1.68839e-05-0j 3.36327e-09-0j 3.48641e-11-0j 0.0204657-0j -2.53258e-05-0j 3.56729e-09-0j -1.18517e-06-0j 9.05796e-11-0j -2.71156e-08-0j 0.00274826-0j -1.29829e-06-0j 7.01627e-11-0j -3.96048e-08-0j -7.54226e-10-0j 0.000222287-0j -4.42795e-08-0j -7.95024e-10-0j 1.17951e-05-0j -9.01473e-10-0j 4.1222e-07-0j -4.9049e-06-0j -3.77236e-05-0j 1.63843e-09-0j -7.22966e-14-0j 2.63435e-07-0j -3.54839e-07-0j 3.30093e-08-0j 7.06839e-11-0j 8.97393e-13-0j -1.50201e-05-0j -1.2454e-08-0j 9.5183e-13-0j -3.79634e-12-0j 0.000314112-0j -6.22239e-11-0j -3.88707e-07-0j -3.26993e-06-0j 5.47515e-11-0j 2.12678e-15-0j -1.81902e-08-0j 1.39024e-12-0j 1.54473e-09-0j -5.88561e-10-0j -8.18549e-12-0j -8.3481e-14-0j 4.30507e-05-0j -9.5147e-05-0j -2.03373e-08-0j 1.09908e-12-0j 2.72063e-11-0j -6.20398e-10-0j -1.18147e-11-0j -0.000434161-0j 3.53145e-06-0j 0.0010228-0j -7.03465e-10-0j -1.26305e-11-0j 0.000100697-0j 1.8933e-07-0j -1.447e-11-0j 
3.74543e-06-0j 0.00540413-0j -0.037532-0j -0.00273224-0j 1.22457e-06-0j 0.000330055-0j 0.0707571-0j -0.000297366-0j 4.9506e-08-0j -9.81129e-05-0j -7.55065e-06-0j 1.02637e-09-0j -0.00175331-0j 0.0168591-0j -1.60873e-05-0j -1.38915e-05-0j -3.05473e-07-0j -5.31404e-07-0j 0.0051431-0j 0.00174324-0j -4.75302e-07-0j -7.76165e-07-0j -2.22038e-08-0j 0.00129172-0j 9.94089e-05-0j -2.34049e-08-0j 0.000138252-0j 3.04015e-06-0j 8.07858e-06-0j 0.00105151-0j -0.000370222-0j -4.41912e-06-0j 7.35702e-10-0j -0.000170412-0j -2.06198e-06-0j -4.41394e-05-0j -1.58688e-07-0j 2.64185e-11-0j -4.46377e-09-0j -1.45975e-07-0j -3.20997e-09-0j 2.57175e-08-0j -2.69102e-05-0j 3.36385e-07-0j 0.000258757-0j -6.11936e-06-0j -2.46911e-07-0j -3.61125e-11-0j -2.1321e-07-0j -4.68847e-09-0j -2.07414e-06-0j -1.15345e-08-0j -2.40974e-10-0j 5.65524e-10-0j 8.05652e-05-0j 0.000104996-0j 2.73073e-05-0j -7.44547e-09-0j 5.33181e-10-0j -1.21584e-08-0j -3.47816e-10-0j -6.60963e-07-0j 2.05214e-05-0j 4.9049e-06-0j 1.5793e-06-0j -3.71831e-10-0j -8.6568e-06-0j 2.21916e-06-0j 4.87991e-08-0j 
3.54252e-10-0j 2.16556e-06-0j 0.00288852-0j -0.036078-0j -0.00277234-0j 1.10252e-07-0j 0.000297366-0j 0.0726921-0j -0.000149763-0j 5.63823e-06-0j -9.94089e-05-0j 1.35128e-08-0j -1.18311e-06-0j -0.00194613-0j 0.0120257-0j -2.9774e-05-0j -8.07858e-06-0j -3.48293e-06-0j 1.07603e-05-0j 0.00750524-0j 0.000713705-0j -5.08714e-06-0j -2.92327e-07-0j -7.42308e-05-0j 0.00130878-0j -3.0814e-07-0j 0.000296318-0j 8.04002e-05-0j 5.29486e-05-0j 4.41912e-06-0j -5.01822e-07-0j 0.00108027-0j -2.22561e-06-0j 8.1923e-05-0j 1.18495e-07-0j -0.000289302-0j -2.08922e-06-0j 3.47816e-10-0j -3.16274e-13-0j -3.12871e-07-0j -8.48914e-08-0j -3.87306e-05-0j -1.81586e-08-0j -0.000249039-0j -2.98696e-05-0j -1.28029e-08-0j 0.000184573-0j 2.1919e-07-0j -4.56977e-07-0j -1.23992e-07-0j -8.92989e-06-0j -7.55992e-08-0j -3.17257e-09-0j -8.49181e-07-0j 1.68557e-07-0j -4.00017e-06-0j 0.000117567-0j 1.118e-05-0j 3.49458e-09-0j -7.96886e-08-0j -4.57922e-09-0j -1.31856e-10-0j -1.1793e-06-0j 1.63843e-09-0j 2.07925e-05-0j -4.89539e-09-0j -2.30651e-09-0j 4.75637e-06-0j 1.29055e-06-0j 
6.49619e-15-0j 1.02411e-10-0j 5.79601e-07-0j 0.000913346-0j -0.0243681-0j 4.86491e-12-0j 4.9506e-08-0j 0.000149763-0j 0.0746296-0j 1.25704e-09-0j 5.7207e-06-0j 5.93015e-08-0j -7.84443e-11-0j -6.51777e-07-0j -0.00139422-0j -2.02692e-08-0j -5.32568e-05-0j 1.33428e-07-0j 1.19254e-09-0j 7.67512e-06-0j 0.00947887-0j 1.94885e-07-0j -1.28289e-06-0j -1.65497e-08-0j -7.53165e-05-0j -1.35228e-06-0j 2.01725e-07-0j 0.000530026-0j -2.02842e-06-0j 7.35702e-10-0j -4.99811e-11-0j 2.22561e-06-0j 0.00110906-0j -1.03095e-06-0j 2.64185e-11-0j -1.95199e-07-0j 1.20229e-07-0j 1.52641e-09-0j -4.63758e-18-0j -2.12993e-10-0j -5.59633e-07-0j -0.000168478-0j -1.20398e-12-0j 3.88991e-05-0j -1.00036e-08-0j -1.4189e-12-0j -2.13988e-05-0j -0.000332022-0j -3.11096e-10-0j -8.17397e-07-0j -9.13201e-09-0j 2.89615e-09-0j -1.3923e-08-0j -1.12782e-05-0j 1.86807e-11-0j -5.34179e-10-0j 1.20229e-07-0j 0.000148484-0j -1.33875e-10-0j 3.05281e-09-0j -2.00961e-08-0j -4.15105e-15-0j -2.62924e-10-0j 7.22966e-14-0j -1.19655e-06-0j -2.14836e-08-0j -8.17402e-14-0j 3.23799e-09-0j 8.50774e-06-0j 
