-0.0510762-0j -0.00737222-0j -0.0420036-0j -0.00742525-0j -0.000618771-0j -0.0256411-0j -0.0259069-0j -0.00427352-0j -0.00261699-0j -0.00431781-0j -0.00053419-0j -0.00264411-0j -0.000539726-0j -3.14775e-05-0j -3.18037e-05-0j -0.0186669-0j -0.0230991-0j -0.0134745-0j -0.00301236-0j -0.00245958-0j -0.0037276-0j -0.00035501-0j -0.00217444-0j -0.000307448-0j -0.00304358-0j -0.000439302-0j -0.00177542-0j -3.6233e-05-0j -0.000380447-0j -0.00025626-0j -1.6538e-06-0j -0.000221927-0j -4.48361e-05-0j -2.61544e-05-0j -2.04648e-06-0j -1.19378e-06-0j 0.0436616-0j -0.0171631-0j -0.0105102-0j 0.00690351-0j -0.0150177-0j -0.00619448-0j 0.0054577-0j -0.00271372-0j 0.00363847-0j 0.000787751-0j -0.00166181-0j -0.0023745-0j 0.000909617-0j -0.00214538-0j -0.000979433-0j -0.00143026-0j 0.000321598-0j -0.00131377-0j 7.58014e-05-0j -0.000309659-0j -0.000875849-0j 8.03995e-05-0j -0.000189627-0j -0.00187721-0j -0.00125147-0j -0.000357564-0j -0.000270952-0j -0.00077431-0j 6.69996e-06-0j -0.000218962-0j -0.000126418-0j -0.000516206-0j -2.9797e-05-0j -0.000111762-0j 2.49693e-07-0j -7.74148e-05-0j -0.000312868-0j -3.16045e-05-0j -1.82469e-05-0j -0.000110616-0j -1.93537e-05-0j -0.000129052-0j -2.63371e-06-0j -2.60724e-05-0j -2.76539e-05-0j -1.61281e-06-0j -4.56266e-05-0j -1.07543e-05-0j -9.81524e-08-0j -2.30449e-06-0j -6.01058e-08-0j -1.14067e-05-0j -8.58834e-08-0j -9.50555e-07-0j -3.54251e-08-0j 
0.0595889-0j 0.00860092-0j 0.000849038-0j 0.00015009-0j 1.25075e-05-0j 0.0299147-0j -0.0291773-0j 0.00498578-0j 0.00305315-0j -0.00486289-0j 0.000623222-0j -0.0029779-0j -0.000607861-0j 3.67237e-05-0j -3.58186e-05-0j -0.0428288-0j 0.000466914-0j -0.0306234-0j -0.00691147-0j -0.00564319-0j 7.53479e-05-0j -0.000814524-0j -0.00494182-0j -0.000705399-0j 6.15213e-05-0j 8.87983e-06-0j -0.00403498-0j -8.31321e-05-0j 7.69016e-06-0j -0.0005824-0j -3.79444e-06-0j -0.000504373-0j 9.06294e-07-0j -5.94409e-05-0j 4.13665e-08-0j -2.71309e-06-0j 0.0171631-0j -0.000682265-0j 0.0122619-0j 0.00271372-0j -0.0169135-0j -0.0211798-0j 0.00214538-0j -0.000107876-0j 0.00143026-0j 0.000309659-0j 0.00193877-0j -0.00267426-0j 0.000357564-0j -8.52831e-05-0j -0.00334882-0j -5.68554e-05-0j 0.000126418-0j 0.00153274-0j 2.9797e-05-0j -1.23096e-05-0j 0.00102182-0j 3.16045e-05-0j 0.000221231-0j -0.00211419-0j -0.00140946-0j -1.42138e-05-0j -0.000305157-0j -0.00264748-0j 2.63371e-06-0j 0.000255456-0j -5.02535e-06-0j -0.00176498-0j -1.18449e-06-0j -0.00038213-0j 9.81524e-08-0j 9.03173e-05-0j -0.000352365-0j -1.25634e-06-0j 2.1288e-05-0j -0.00012458-0j 2.25793e-05-0j -0.000441246-0j -1.04695e-07-0j -2.93637e-05-0j -3.11449e-05-0j 1.88161e-06-0j -0.000156004-0j -3.67705e-05-0j -3.90175e-09-0j -2.59541e-06-0j 7.01235e-08-0j -3.9001e-05-0j -9.67253e-08-0j -3.25009e-06-0j -1.21124e-07-0j 
0.0364906-0j 0.00526697-0j 0.0300088-0j 0.00530486-0j 0.000442071-0j -0.0539138-0j 0.0185088-0j -0.00898563-0j -0.00550255-0j 0.00308479-0j -0.0011232-0j 0.00188904-0j 0.000385599-0j -6.61854e-05-0j 2.27216e-05-0j 0.0133363-0j -0.0485688-0j 0.00962664-0j 0.00215213-0j 0.00175721-0j -0.00783776-0j 0.000253631-0j 0.00155349-0j 0.000219651-0j -0.0063995-0j -0.000923689-0j 0.00126842-0j 2.58861e-05-0j -0.000799938-0j 0.000183081-0j 1.18154e-06-0j 0.000158553-0j -9.42736e-05-0j 1.86856e-05-0j -4.30298e-06-0j 8.52877e-07-0j 0.0105102-0j 0.0122619-0j 0.00666597-0j 0.00166181-0j -0.0315766-0j 0.00442555-0j 0.00131377-0j 0.00193877-0j 0.000875849-0j 0.000189627-0j 0.00105398-0j -0.0049927-0j 0.000218962-0j 0.00153274-0j 0.000699741-0j 0.00102182-0j 7.74148e-05-0j 0.000833247-0j 1.82469e-05-0j 0.000221231-0j 0.000555498-0j 1.93537e-05-0j 0.000120269-0j -0.00394707-0j -0.00263138-0j 0.000255456-0j -0.000569711-0j 0.000553193-0j 1.61281e-06-0j 0.000138874-0j 9.03173e-05-0j 0.000368796-0j 2.1288e-05-0j 7.98466e-05-0j 6.01058e-08-0j 4.90995e-05-0j -0.000657845-0j 2.25793e-05-0j 1.15729e-05-0j -0.000232583-0j 1.22749e-05-0j 9.21989e-05-0j 1.88161e-06-0j -5.48204e-05-0j -5.81459e-05-0j 1.02291e-06-0j 3.25972e-05-0j 7.68324e-06-0j 7.01235e-08-0j -4.84549e-06-0j 3.81215e-08-0j 8.14931e-06-0j -1.80581e-07-0j 6.79109e-07-0j 2.53089e-08-0j 
-0.0521403-0j -0.0075258-0j 0.0413928-0j 0.00731729-0j 0.000609774-0j 0.0254302-0j 0.0264307-0j 0.00423836-0j 0.00259546-0j 0.00440512-0j 0.000529795-0j 0.00269757-0j 0.00055064-0j 3.12185e-05-0j 3.24468e-05-0j -0.0190558-0j -0.0221152-0j -0.0123501-0j -0.00307512-0j -0.00251082-0j -0.00356883-0j -0.000362406-0j -0.00199298-0j -0.000313853-0j -0.00291394-0j -0.000420591-0j -0.00162726-0j -3.69879e-05-0j -0.000364242-0j -0.000234875-0j -1.68826e-06-0j -0.000203408-0j -4.29264e-05-0j -2.39718e-05-0j -1.95931e-06-0j -1.09416e-06-0j -0.0150177-0j 0.0169135-0j 0.0315766-0j -0.0023745-0j -0.0148852-0j -0.0298875-0j -0.00187721-0j 0.00267426-0j -0.00125147-0j -0.000270952-0j 0.0049927-0j -0.00235355-0j -0.000312868-0j 0.00211419-0j -0.00472562-0j 0.00140946-0j -0.000110616-0j 0.00394707-0j -2.60724e-05-0j 0.000305157-0j 0.00263138-0j -2.76539e-05-0j 0.000569711-0j -0.00186065-0j -0.00124043-0j 0.000352365-0j -0.000268561-0j -0.00373593-0j -2.30449e-06-0j 0.000657845-0j 0.00012458-0j -0.00249062-0j 2.93637e-05-0j -0.000539235-0j -8.58834e-08-0j 0.000232583-0j -0.000310108-0j 3.11449e-05-0j 5.48204e-05-0j -0.00010964-0j 5.81459e-05-0j -0.000622655-0j 2.59541e-06-0j -2.58423e-05-0j -2.74099e-05-0j 4.84549e-06-0j -0.000220142-0j -5.18879e-05-0j 9.67253e-08-0j -2.28416e-06-0j 1.80581e-07-0j -5.50355e-05-0j -8.51256e-08-0j -4.58629e-06-0j -1.70921e-07-0j 
0.0215068-0j 0.00310424-0j -0.0518339-0j -0.00916302-0j -0.000763585-0j 0.0107968-0j 0.0515586-0j 0.00179946-0j 0.00110194-0j 0.00859309-0j 0.000224933-0j 0.00526217-0j 0.00107414-0j 1.32543e-05-0j 6.32941e-05-0j 0.00786012-0j -0.0285051-0j 0.00679275-0j 0.00126842-0j 0.00103566-0j -0.00459999-0j 0.000149485-0j 0.00109618-0j 0.000129458-0j -0.00375588-0j -0.000542115-0j 0.000895024-0j 1.52567e-05-0j -0.000469485-0j 0.000129186-0j 6.96371e-07-0j 0.000111878-0j -5.53293e-05-0j 1.31849e-05-0j -2.52543e-06-0j 6.01808e-07-0j 0.00619448-0j -0.0211798-0j 0.00442555-0j 0.000979433-0j 0.0298875-0j -0.036289-0j 0.00077431-0j -0.00334882-0j 0.000516206-0j 0.000111762-0j 0.000699741-0j 0.00472562-0j 0.000129052-0j -0.00264748-0j -0.00573779-0j -0.00176498-0j 4.56266e-05-0j 0.000553193-0j 1.07543e-05-0j -0.00038213-0j 0.000368796-0j 1.14067e-05-0j 7.98466e-05-0j 0.00373593-0j 0.00249062-0j -0.000441246-0j 0.000539235-0j -0.00453612-0j 9.50555e-07-0j 9.21989e-05-0j -0.000156004-0j -0.00302408-0j -3.67705e-05-0j -0.000654732-0j 3.54251e-08-0j 3.25972e-05-0j 0.000622655-0j -3.9001e-05-0j 7.68324e-06-0j 0.000220142-0j 8.14931e-06-0j -0.00075602-0j -3.25009e-06-0j 5.18879e-05-0j 5.50355e-05-0j 6.79109e-07-0j -0.000267293-0j -6.30017e-05-0j -1.21124e-07-0j 4.58629e-06-0j 2.53089e-08-0j -6.68233e-05-0j 1.70921e-07-0j -5.56861e-06-0j -2.0753e-07-0j 
0.00657323-0j -0.0904191-0j 0.00540563-0j -0.045057-0j -0.0114235-0j 0.00329987-0j 0.00333407-0j -0.0259321-0j 0.000336792-0j -0.0262008-0j -0.00655177-0j 0.000340282-0j -0.00661966-0j -0.000776184-0j -0.000784228-0j 0.00240233-0j 0.00297273-0j 0.00173409-0j -0.0182792-0j 0.000316535-0j -0.0226194-0j -0.00435414-0j -0.0131946-0j -0.00186562-0j 0.000391692-0j -0.00538798-0j 0.000228487-0j -0.000668921-0j -0.00230858-0j -0.00314299-0j -5.10284e-05-0j -0.00134667-0j -0.000827747-0j -0.000482853-0j -6.31445e-05-0j -3.68343e-05-0j 0.00189325-0j 0.00220879-0j 0.0013526-0j -0.0141146-0j 0.00193269-0j 0.000797195-0j 0.000236656-0j -0.0164671-0j 0.000157771-0j -0.00325536-0j -0.010084-0j -0.0144087-0j -0.00185976-0j 0.000276099-0j -0.00594328-0j 0.000184066-0j 1.39451e-05-0j 0.000169075-0j -0.000471515-0j -0.00379793-0j 0.000112717-0j -0.000332249-0j -0.00232575-0j 0.000241587-0j 0.000161058-0j -0.00216973-0j -0.00332319-0j 9.96494e-05-0j -5.56654e-05-0j -0.00132868-0j 1.62693e-05-0j 6.64329e-05-0j -0.000550101-0j -0.00137074-0j -3.1172e-06-0j 9.96286e-06-0j -0.00189851-0j -0.000387624-0j -0.000336867-0j 1.42356e-05-0j -0.00023737-0j -0.000783095-0j -6.4943e-05-0j -0.000481338-0j -0.000339171-0j -3.97693e-05-0j 5.8719e-06-0j -0.000198542-0j -3.63674e-06-0j -5.68251e-05-0j -2.22704e-06-0j -0.000139901-0j -3.18215e-06-0j -2.34392e-05-0j -1.31257e-06-0j 
-0.00742525-0j 0.102139-0j -0.000105797-0j 0.000881839-0j 0.000223577-0j -0.0037276-0j 0.00363573-0j 0.0292934-0j -0.000380447-0j -0.0285714-0j 0.00740101-0j 0.00037107-0j -0.00721859-0j 0.000876793-0j -0.000855182-0j -0.00271372-0j -5.81811e-05-0j 0.00381591-0j 0.0206486-0j -0.000357564-0j 0.000442698-0j 0.00491853-0j -0.0290352-0j 0.00210744-0j -7.66604e-06-0j 0.000105451-0j 0.000502791-0j 0.000755627-0j 4.51827e-05-0j -0.00691622-0j 5.76427e-05-0j -0.00296339-0j 1.62004e-05-0j -0.00106253-0j 1.23584e-06-0j -8.10547e-05-0j 0.00634735-0j -4.32296e-05-0j -0.00152793-0j -0.047321-0j 0.00210756-0j 0.00263917-0j 0.000793418-0j 0.000322287-0j 0.000528946-0j -0.010914-0j 0.0113911-0j -0.0157123-0j -0.00623508-0j -5.40371e-06-0j -0.0196757-0j -3.60247e-06-0j 4.67526e-05-0j -0.000190991-0j -0.00158081-0j 7.43316e-05-0j -0.000127327-0j -0.00111391-0j 0.00262721-0j 0.000263445-0j 0.00017563-0j 4.2465e-05-0j -0.00362386-0j 0.000329897-0j -0.000186625-0j 0.0015009-0j -3.18416e-07-0j 0.000219931-0j 1.07664e-05-0j -0.00453795-0j -1.04508e-05-0j -1.12543e-05-0j -0.00207028-0j 7.58643e-06-0j 0.000380531-0j 1.55236e-05-0j 0.000268138-0j -0.00259249-0j 1.27104e-06-0j -0.000524888-0j -0.000369858-0j 4.49242e-05-0j 1.94393e-05-0j -0.000657287-0j 7.11769e-08-0j -6.19665e-05-0j 2.51571e-06-0j -0.000463152-0j -3.47006e-06-0j -7.75971e-05-0j -4.34535e-06-0j 
-0.00606269-0j 0.0833964-0j -0.00498578-0j 0.0415575-0j 0.0105363-0j 0.00295693-0j -0.00307512-0j -0.0232371-0j 0.000301791-0j 0.0241658-0j -0.00587087-0j -0.000313853-0j 0.00610552-0j -0.000695519-0j 0.000723317-0j 0.00435749-0j 0.00266379-0j -0.00159941-0j -0.033156-0j 0.000574149-0j -0.0202687-0j -0.00789781-0j 0.0121698-0j -0.00338397-0j 0.000350985-0j -0.00482803-0j -0.00021074-0j -0.00121333-0j -0.00206866-0j 0.00289887-0j -9.25584e-05-0j 0.00124208-0j -0.000741723-0j 0.00044535-0j -5.65821e-05-0j 3.39734e-05-0j -0.0017462-0j 0.00400644-0j 0.00367161-0j 0.0130184-0j 0.00173184-0j -0.000735278-0j -0.000218275-0j -0.0298689-0j -0.000145517-0j 0.00300252-0j -0.0273727-0j -0.0129112-0j 0.00171532-0j 0.000500805-0j 0.00548167-0j 0.00033387-0j -1.2862e-05-0j 0.000458952-0j 0.000434893-0j -0.0068889-0j 0.000305968-0j 0.000306444-0j -0.00631319-0j 0.00021648-0j 0.00014432-0j -0.00393558-0j -0.00297782-0j -9.19097e-05-0j 5.13419e-05-0j -0.00360667-0j 2.95102e-05-0j -6.12731e-05-0j -0.000997805-0j 0.00126428-0j 2.87509e-06-0j 2.7044e-05-0j -0.00170121-0j -0.000703096-0j -0.000914417-0j 1.27562e-05-0j -0.000644337-0j 0.000722273-0j -0.000117797-0j -0.000431315-0j -0.000303923-0j -0.000107953-0j -5.41583e-06-0j 0.000183121-0j -6.59653e-06-0j -5.09195e-05-0j -6.04525e-06-0j 0.000129035-0j -2.85144e-06-0j 2.16187e-05-0j 1.21062e-06-0j 
0.00612552-0j -0.0842606-0j -0.00486289-0j 0.0405332-0j 0.0102766-0j 0.00307512-0j -0.00310512-0j -0.0241658-0j 0.000313853-0j 0.0244016-0j -0.00610552-0j -0.000316915-0j 0.00616509-0j -0.000723317-0j 0.000730374-0j -0.00440264-0j -0.00267426-0j 0.0014509-0j 0.0334996-0j -0.000580099-0j 0.0203484-0j 0.00797965-0j -0.0110399-0j 0.00341903-0j -0.000352365-0j 0.00484701-0j 0.000191173-0j 0.0012259-0j 0.0020768-0j -0.00262972-0j 9.35176e-05-0j -0.00112675-0j 0.00074464-0j -0.000403999-0j 5.68046e-05-0j -3.0819e-05-0j 0.0017643-0j 0.00390769-0j 0.00126048-0j -0.0131533-0j -0.00179997-0j 0.00351122-0j 0.000220537-0j -0.0291327-0j 0.000147025-0j -0.00303364-0j -0.00939714-0j 0.0134192-0j -0.00173309-0j 0.000488461-0j -0.026177-0j 0.000325641-0j 1.29953e-05-0j 0.00015756-0j -0.0004394-0j -0.00671911-0j 0.00010504-0j -0.000309619-0j -0.00216734-0j -0.000224997-0j -0.000149998-0j -0.00383857-0j 0.00309498-0j 0.000438903-0j -5.1874e-05-0j -0.00123818-0j 2.87828e-05-0j 0.000292602-0j -0.000973212-0j -0.0060374-0j -2.90489e-06-0j 9.28428e-06-0j 0.00176814-0j -0.000685766-0j -0.000313922-0j -1.32581e-05-0j -0.000221203-0j -0.00344912-0j -0.000114894-0j 0.000448284-0j 0.00031588-0j -3.70606e-05-0j 2.58626e-05-0j -0.000874472-0j -6.43394e-06-0j 5.29229e-05-0j -2.07535e-06-0j -0.00061619-0j 2.96363e-06-0j -0.000103237-0j -5.78117e-06-0j 
0.00530486-0j -0.0729718-0j 7.5585e-05-0j -0.000630016-0j -0.000159731-0j -0.00783776-0j -0.00259749-0j 0.0615931-0j -0.000799938-0j 0.0204124-0j 0.0155616-0j -0.000265105-0j 0.00515721-0j 0.00184357-0j 0.000610972-0j 0.00193877-0j -0.000122333-0j -0.00272622-0j -0.0147521-0j 0.000255456-0j 0.000930829-0j -0.00351397-0j 0.0207437-0j -0.00150563-0j -1.61188e-05-0j 0.000221725-0j -0.000359211-0j -0.000539846-0j 9.50024e-05-0j 0.00494119-0j -4.1182e-05-0j 0.00211715-0j 3.40633e-05-0j 0.000759108-0j 2.59851e-06-0j 5.79083e-05-0j 0.00152793-0j 3.08847e-05-0j 0.000969072-0j -0.0113911-0j 0.00443141-0j -0.00188552-0j 0.000190991-0j -0.000230253-0j 0.000127327-0j -0.00262721-0j -0.00722466-0j -0.0330372-0j -0.0015009-0j 3.86059e-06-0j 0.014057-0j 2.57373e-06-0j 1.12543e-05-0j 0.000121134-0j -0.000380531-0j -5.3105e-05-0j 8.0756e-05-0j -0.000268138-0j -0.00166628-0j 0.000553926-0j 0.000369284-0j -3.03385e-05-0j -0.00761962-0j -0.00023569-0j -4.49242e-05-0j -0.000951932-0j 2.27488e-07-0j -0.000157126-0j -7.69186e-06-0j 0.00324207-0j -2.51571e-06-0j 7.13789e-06-0j -0.00435303-0j -5.42001e-06-0j -0.000241348-0j 3.26404e-05-0j -0.000170064-0j 0.00185217-0j -9.08074e-07-0j -0.00110364-0j -0.000777674-0j -2.84927e-05-0j -1.38881e-05-0j 0.000469589-0j -5.08512e-08-0j -0.000130292-0j -1.59556e-06-0j 0.000330892-0j -7.29624e-06-0j 5.5438e-05-0j 3.10447e-06-0j 
-0.00437628-0j 0.0601987-0j 0.00701079-0j -0.0584363-0j -0.0148156-0j 0.00213443-0j -0.00199298-0j -0.0167734-0j 0.000217844-0j 0.0156619-0j -0.00423782-0j -0.000203408-0j 0.00395698-0j -0.000502052-0j 0.000468782-0j -0.00159941-0j -0.0037457-0j -0.00443806-0j 0.0121698-0j -0.00021074-0j 0.0285009-0j 0.00289887-0j 0.0337691-0j 0.00124208-0j -0.00049354-0j 0.00678897-0j -0.000584766-0j 0.00044535-0j 0.00290886-0j 0.00804385-0j 3.39734e-05-0j 0.00344654-0j 0.00104298-0j 0.00123576-0j 7.95634e-05-0j 9.42699e-05-0j -0.00126048-0j 0.00286468-0j 0.00265031-0j 0.00939714-0j 0.0011224-0j -0.000635431-0j -0.00015756-0j -0.0213568-0j -0.00010504-0j 0.00216734-0j -0.0197587-0j -0.00836777-0j 0.00123818-0j 0.000358084-0j 0.00473728-0j 0.000238723-0j -9.28428e-06-0j 0.000331289-0j 0.000313922-0j -0.00492569-0j 0.000220859-0j 0.000221203-0j -0.0045571-0j 0.0001403-0j 9.35335e-05-0j -0.00281401-0j -0.00192992-0j -7.94288e-05-0j 3.70606e-05-0j -0.00260344-0j 2.11003e-05-0j -5.29526e-05-0j -0.000713449-0j 0.0010926-0j 2.07535e-06-0j 1.95214e-05-0j -0.00110255-0j -0.000502726-0j -0.000660061-0j 8.26727e-06-0j -0.000465107-0j 0.000624192-0j -8.42273e-05-0j -0.000279535-0j -0.000196972-0j -7.79245e-05-0j -4.68039e-06-0j 0.000158254-0j -4.71664e-06-0j -3.30009e-05-0j -4.36369e-06-0j 0.000111513-0j -1.84802e-06-0j 1.8683e-05-0j 1.04623e-06-0j 
