-0.233536-0.034708j 0.134055+0.156716j -0.0719909-0.00347119j -0.087567+0.0225589j 0.0439304+0.104624j 0.0454344+0.0993894j 0.0755194+0.0177391j 0.0116668+0.0546439j -0.0253712-0.0509566j 0.0297241+0.0526588j 0.019553-0.0195781j -0.0206218-0.000960158j -0.00461432-0.0136605j -0.00499853-0.0346055j 0.0150795+0.0148364j -0.00856155+0.00882718j -0.00903455-0.0201604j 0.0232871+0.0310894j -0.0378076-0.0137048j -0.00730389+0.00470647j -0.012026-0.0560268j -0.0013174+0.00486909j 0.0158806+0.031336j 0.011247-0.000259345j -0.00680749-0.00412467j -0.00803402-0.0136895j 0.00740566+0.00804882j -0.0033828-0.00833555j -0.00526206+0.000926714j 0.0069851+0.00554167j -0.00732095-0.00154383j -0.01919+0.00894579j -0.0154123-0.014779j 0.0119314-0.0157532j 0.00552144+0.0111962j -0.0268369-0.00437301j 0.0221637-0.00432889j 0.00546336-0.00720364j 0.0105987+0.0331863j -0.0330357-0.050769j 
0.0354945-0.313024j -0.14717+0.153395j 0.0219227-0.0737467j -0.0524225-0.0671028j -0.0736125+0.00334251j -0.121828+0.00194729j -0.00621787+0.073877j -0.026509+0.0352486j 0.0537885-0.0141202j -0.072872+0.0619093j 0.00836572-0.00992376j 0.00817053+0.0212863j 0.00702256-0.0120338j -0.0214843+0.0196539j -0.0243927-0.0262069j 0.00373301+0.00826183j 0.0147079-0.0107834j -0.0266408+0.0202214j -0.00952022-0.0338695j -0.00343179-0.00890626j 0.037532-0.00764433j -0.00254212+0.000691273j -0.0170934+0.017228j 0.00173746-0.00914994j 0.010998+0.00323655j -0.00502352+0.0120559j -0.0120618-0.0133293j 0.00701061-0.00150475j 0.00386106-0.00707595j 0.0130775-0.0100812j -0.00378598+0.00751903j 0.00693876+0.0296174j -0.0131966+0.0154419j 0.00623753-0.00621505j 0.00712755-0.00131972j -0.00741406+0.0147555j -0.0277953-0.00475499j -0.0475319+0.0288066j 0.0324889+0.00715461j 0.0266324+0.00793493j 
-0.409787-0.205721j -0.0586854-0.0922037j 0.0516186+0.00799995j 0.0263421+0.0737386j -0.00654797-0.0521922j -0.0200474+0.0579214j 0.0302189-0.0705581j 0.0317334-0.0298534j -0.00249016+0.0231005j 0.0182968-0.0104317j 0.0126342-0.00655369j -0.0168377+0.0106108j -0.0218307+0.00171265j -0.0222422-0.00517434j -0.0118349-0.00681368j -0.00106608+0.00169765j 0.00561998+0.0111112j 0.0116203-0.000722714j -0.00258078+0.0332246j 0.00611524-0.0198638j -0.0119345+0.0189958j 0.00648378+0.00181459j -0.00839343-0.00549893j 0.00569706+0.00333353j 0.00404256-0.00717573j -0.0458821+0.0112609j 0.000375471-0.0254378j 0.00130233+0.00659809j -0.00321507+0.00411745j -0.000401349+0.0203435j -0.00505466-0.0140251j 0.0135764-0.00837217j 0.00815842-0.000954263j 0.00462681+0.0139696j 0.0081752+0.00390934j -0.00600808+0.0305321j 0.0136847-0.00833682j 0.0272917-0.0164416j -0.00170223-0.0191873j -0.0108053+0.00889488j 
-0.0773545-0.141641j 0.0556068+0.00924135j 0.000108443-0.01247j 0.0503433-0.0119068j 0.0437625+0.0642657j -0.0202519-0.06956j -0.0528609-0.0239124j 0.034361+0.00887051j -0.00816204-0.0011333j 0.0203569-0.0466853j -0.0169942+0.0396249j -0.0117519+0.038208j -0.00481111+0.0324774j 0.013171+0.0276957j 0.0253114+0.00230145j -0.00134116-0.00145385j -0.00754949-0.0096523j 0.00557754+0.015896j -5.5339e-05-0.00305758j 0.0138638+0.00108599j -0.0088316-0.0163131j -0.0106788+0.0123882j -0.00592517+0.0175724j -0.00231614-0.00729568j -0.00442412+0.0152535j -0.011656-0.00232074j -0.00413531-0.00647802j 0.00690606-0.00235745j 0.00489322+0.0109689j -0.00153202+0.000229281j -0.00792802+0.0115876j 0.00254208-0.00222198j -0.00394598+0.0130568j -0.00474171-0.00404786j -0.00123318-0.0067326j 0.0116561-0.0106539j 0.020286-0.00150997j -0.000483999+0.00230633j -0.00349938+0.00102232j -0.0128919-0.0166713j 
-0.373437+0.372739j -0.187049+0.0754256j -0.0186423-0.0736794j -0.0109023-0.00611049j -0.123871-0.0390373j -0.0375781-0.026944j 0.00890852+0.0132103j -0.0775679-0.0270582j 0.08029-0.00120986j -0.0206265-0.0212902j 0.0100287+0.0391746j -0.0250249-0.00811408j -0.0238996-0.0118108j 0.0121419+0.00403466j 0.0040674-0.0442161j -0.00301612-0.0040651j 0.0115637+0.0160804j -0.0358274-0.00644226j -0.00757463-0.0128957j -0.0194964-0.00237892j 0.0152685+0.0430086j -0.00769907+0.00897544j -0.0144283-0.0175831j 0.0122123+0.0135025j 0.00148766-0.0109165j -0.00193393-0.0167346j -0.00184294+0.0106047j -0.00016423+0.00174701j -0.00547439-0.00275901j -0.0167254-0.023022j -0.000751149+0.00154551j 0.0113132+0.0107769j -0.0177604+0.00175161j -0.00471438+0.0215613j 0.00554828+0.00591255j -0.0187358+0.000287003j -0.0208967+0.017936j -0.0108067-0.00444474j 0.0178238+0.00946597j 0.0300169+0.0446599j 
-0.173767+0.168261j -0.0230889+0.0153388j 0.00906308+0.00802482j 0.0252675-0.024953j 0.0970519-0.0530069j 0.0127373-0.0428264j -0.0300248+0.029119j -0.0107956+0.0132231j -0.0503028+0.0165878j -0.000220515-0.0101167j 0.0187515-0.0071249j -0.00818851-0.0176137j 0.0226509+0.00243717j -0.0104929-0.0344309j 0.0128767-0.00151856j -0.00879317-0.00667583j -0.00279249-0.00176492j -0.0150104-0.0120582j 0.011275-0.0244021j 0.0403181+0.0151863j 0.00398215-0.00191495j -0.00853743-0.00667966j -0.0186144-0.00957924j -0.00529094-0.00891761j -0.00681844+0.00256977j -0.0154332-0.0136495j -0.0145487-0.00925353j -0.00460556-0.000233163j -0.000176096-0.00441498j 0.00596315-0.0143649j -0.00221983+0.0081034j 0.0153287-0.020106j -0.00530896+0.00381419j -0.00286026-0.0106699j 0.00952553-0.0155779j 0.00808262-0.0207522j 0.0168628+0.00882156j -0.00659623-0.00415278j -0.00504954+0.00912384j -0.000177227-0.00368847j 
0.234704+0.388794j 0.00645405+0.14861j 0.0285152-0.0111897j -0.0240085+0.0616041j -0.0616412+0.0528498j -0.0505704+0.0256448j 0.0434777-0.0404517j 0.0304426+0.0305876j 0.0324667-0.030546j -0.0105224+0.0308353j -0.0172869+0.0156889j 0.00287076-0.00583193j -0.0148397-0.0214476j 0.03053-0.0127206j 0.00159279+0.0144398j 0.0107932+0.015266j -0.0089229-0.00538075j -0.00601195-0.00365855j -0.0151986+0.000207965j 0.0052233+0.0340115j -0.00491759-0.0369541j -0.00895265+0.000700491j -0.00917749-0.00701797j -0.00957408+0.0088112j 0.0259156+0.0139165j -0.0155401-0.00728571j -0.00746599-0.0300185j 0.0064323-0.00853322j 0.00603467-0.00306299j 0.0172914-0.0012218j 0.00345929+0.00937299j -0.00360389-0.00102692j 0.0155486-0.0107946j -0.00806198-0.00284414j -0.00262198-0.0073643j -0.0102964+0.00566503j -0.0189384-0.0286576j 0.0110772+0.0125507j -0.003051-0.00303044j -0.00783105-0.019855j 
-0.198812+0.056679j 0.0947574+0.137496j -0.0486298+0.136598j 0.0386354-0.140612j 0.0641458+0.0302117j 0.0455605-0.00735267j -0.0986492+0.0971662j 0.0217287+0.17538j -0.0762353-0.0145231j 0.0469416+0.0475587j -0.000489336+0.00236031j -0.0130713+0.0194158j 0.0351356-0.00472347j -0.0159415-0.0292667j 0.0512755-0.0047664j 0.0125718-0.0171719j -0.0292983-0.0121942j 0.013616+0.0528145j 0.0154501-0.0185754j 0.00286739+0.0137063j -0.00386115-0.0522744j -5.242e-05+0.0151968j 0.00113321+0.00153744j -0.00371416+0.0142153j -0.00236148+0.00904672j 0.0103885+0.00803409j 0.00559508+0.00749597j -0.00308872+0.0045931j 0.0135562-0.0239297j 0.0143164+0.0234553j 0.00638782-0.00723803j 0.0214911+0.00860073j -0.0116249-0.00868386j -0.000791402+0.0034627j 0.0115144-0.0108435j -0.000532558-0.0078171j 0.0271897-0.00666006j 0.0134649+0.0340429j -0.0161949+0.0151056j -0.0340129-0.0508972j 
-0.0658563+0.0881435j 0.0134041-0.224951j 0.102507+0.143925j -0.100683+0.0565386j -0.00100056-0.0116073j -0.0619718+0.0446216j 0.0890588-0.00418112j 0.108851-0.011803j 0.00340799+0.00427506j 0.0448998-0.0362935j 0.0228127-0.0324046j 0.000463784+0.00450051j -0.0247711+0.0110129j 0.00628-0.00725905j 0.00649253+0.0288026j 0.0204141+0.0229031j -0.0142202+0.002769j -0.0115524-0.00256386j -0.0508836+0.00726133j -0.00763458+0.013653j -0.0155395-0.0232587j -0.00192203+0.00445655j 0.0151194-0.0152357j -0.00467238-0.00957946j 0.010708-0.0109291j -0.0128684+0.0034625j 0.00571019+0.00571809j -0.00430097-0.0119661j 0.00778659-0.00234377j -0.00437929-0.00255245j 0.0113762-0.0146112j 0.00605927-0.00576031j 0.0151735-0.0179308j 0.0211405-0.0366758j 0.0100395+0.00417172j -0.00351742+0.0218179j -0.0129626-0.00592659j 0.0178632-0.0398986j -0.00139752+0.000187423j 0.00562221-0.0036181j 
-0.0111024-0.077846j -0.289344+0.0620593j 0.146919-0.0548478j 0.0317848-0.0452279j 0.0194581+0.0803428j 0.00347783+0.0235476j -0.032247-0.0218488j 0.00355-0.0304493j 0.00272696-0.0124833j -0.0328257+0.035806j 0.0391639+0.0209328j 0.00105291+0.00762479j 0.00042873+0.00186357j -0.0109987+0.00932168j -0.011505+0.0404873j -0.0109075+0.0486605j -0.0111382-0.0127678j -0.0314387-0.00689147j 0.00391952+0.0057012j 0.00487785+0.0239377j 0.0197269-0.0294627j 0.0237878-0.000576478j -0.004441+0.00894111j -0.00230899-0.00214669j -0.00518147-0.00984992j -0.013969-0.00370632j 0.0156755+0.0174834j 0.00981686-0.0116962j -0.0174555-0.0197028j 0.00048842-0.00939226j 0.00303027-0.00900954j -0.0184701-0.0278046j 0.0116114+0.0030147j 0.00542659-0.0100742j 0.00414972-0.00667701j -0.0142425-0.00869889j -0.0234337-0.0050294j -0.0238011-0.00166623j -0.00696607+0.0209543j 0.0266708-0.0100579j 
-0.0329803-0.054785j 0.09563-0.31632j -0.228526+0.182071j -0.0640037+0.0759052j -0.131932+0.0194722j -0.0169888-0.0108113j 0.102612-0.0573746j -0.147948+0.0217731j 0.0957685-0.0553758j -0.051144-0.0540883j -7.44882e-05-0.031657j -0.0247376-0.0153248j -0.0204629-0.0286928j 0.0511477+0.0347551j -0.0145162-0.0294901j -0.0182153+0.0339343j 0.0369598-0.00123366j -0.012882-0.0015974j -0.0125663+0.0130723j -0.0275845+0.00890587j 0.0191979+0.036604j 0.00540935-0.00651929j -0.0130122-0.0327058j 0.0102009+0.000825555j -0.00648518-0.0134913j -0.00143558+0.01159j -0.00697461+0.00366346j 0.00410785-0.00347165j -0.0193359+0.000705918j -0.0118284-0.0284924j -0.015421+0.00441561j 0.0226377-0.0115016j 0.00152549+0.00714565j -0.003268+0.0134301j 0.0116888+0.010384j -0.011945+0.00308951j -0.0145004+0.000496407j -0.00105197-0.00881555j 0.021287+0.00225234j 0.025011+0.0533351j 
