0.0184535+0.171439j 0.0708102+0.0022111j -0.0126825+0.156958j 0.030858-0.00785971j -0.00361275-0.0392257j -0.0150701+0.0152981j 0.0329587+0.00994325j 0.0249893-0.00746891j 0.0103824-0.0444182j -0.00705495+0.00082274j 0.0150391-0.0077382j -0.00368058+0.01092j -0.0007456-0.002912j -0.0210721+0.0235708j -0.027455-0.0144994j -0.00344655-0.00423308j -0.0014641+0.00426526j -0.01891-0.017925j -0.00740952+0.00711611j 0.0204894-0.00375072j -0.014876+0.0215485j -0.00109093+0.00818428j -0.0295193+0.00904585j 0.0265758-0.0226513j 
0.207524-0.0358026j -0.00436829-0.0213033j 0.0758932-0.0161325j -0.0245189+0.00686385j -0.00893862-0.0163641j -0.0200872-0.019334j -0.000997554+0.0228902j 0.0167476+0.0337967j 0.0246615-0.0218537j 0.0231396+0.000360671j -0.0128725-0.00685312j 0.0101368+0.00149764j 0.0219037+0.019546j 0.00480517-0.0071455j -0.00429897-0.0161404j -0.00908619-0.0211011j -0.00137204+0.00476557j 0.00579041-0.011317j -0.00604428+0.013275j -0.00077689+0.0048732j -0.0132099-0.0272482j 0.00532982+0.0123202j -0.0076315-0.033468j -0.00637902+0.00765414j 
0.0242058+0.0920929j -0.0119563-0.0167786j -0.0101985-0.0617602j 0.000558141-0.00865925j -0.0161149-0.00249256j -0.014045+0.00577818j 0.0237853+0.00648721j 0.0110459-0.0220965j -0.0140631-0.0218975j 0.00965863-0.00784689j -0.00195226-0.0142094j 0.0219279-0.0296122j 0.01437-0.00500888j 0.0157461-0.00482338j -0.001022+0.0310448j -0.0293233+0.0187332j 0.00424242+0.000404668j 0.00276328+0.0183963j 0.0255045-0.00601542j -0.0163481-0.00218336j -0.017196-0.00931509j 0.0155577+0.0191127j -0.00744678-0.0089905j -0.00142492-0.00306647j 
0.232489+0.14339j 0.00612766-0.189445j 0.0521432+0.145151j -0.0160629-0.0968612j -0.0406681-0.041905j 0.0199439+0.00158732j 0.0308809-0.0238081j -0.00352237+0.0126563j 0.0442311-0.0330988j -0.00868356+0.0251238j 0.007394-0.0443473j -0.0146476-0.0207082j -0.0280586+0.0313046j 0.0141276+0.0130267j -0.00849687+0.0147364j -0.00222897+0.00577067j -0.0151595+0.0104766j 0.0275333-0.0152999j -0.0127544-0.010477j 0.00786373+0.00991076j 0.00226875+0.000872021j 0.0318508+0.0449049j -0.000259521-0.029271j 0.0365314-0.0444324j 
0.30961-0.222156j -0.140824-0.0125065j 0.144944-0.0285119j -0.069778+0.0336951j -0.0554448-0.00308876j -0.0168242+0.0032492j 0.0110845-0.0375685j -0.0113291+0.00710198j -0.0414406+0.0158359j 0.00387252-0.0379065j -0.0455015+0.0103963j -0.0104961-0.0223158j 0.021533-0.0149356j 0.00523616-0.00280937j -0.00450507-0.0263433j -0.000303597-0.000169519j -0.0070891-0.00607991j 0.00854443+0.018568j -0.017096+0.0107685j 0.00353164+0.0190792j -0.0134494+0.00948314j -0.00984169+0.00939213j -0.0145195-0.00144048j -0.0217167+0.023963j 
0.0134372+0.355079j -0.0584945+0.11399j 0.102177-0.0300718j -0.0395847+0.0480248j -0.00585834+0.033413j -0.0482341-0.0145647j 0.0150055+0.0192018j -0.0617983-0.0203339j 0.00619186+0.0104061j 0.00879505+0.00585424j -0.00410711-0.0239608j 0.0200735+0.0151163j 0.0127564-0.0117125j -0.00366362+0.0138871j -0.0128794+0.02323j 0.0163471+0.000197791j -0.016986+0.0175834j 0.0219922-0.0102806j 0.0112014-0.00700062j 0.00453426-0.0025991j -0.00880165-0.010587j 0.025363-0.00690196j -0.0122961+0.00431617j -0.0116429+0.00776308j 
-0.0219476-0.380506j -0.0311195-0.0544977j -0.00668069-0.00208167j -0.0292766-0.0216073j -0.0183364+0.0332809j -0.0321785+0.0314343j 0.00738321+8.55386e-05j -0.0305008-0.0318712j 0.0381252-0.0227315j -0.0120465+0.033829j 0.0479879+0.0100589j 0.0368432+0.0461578j -0.00631856-0.00536152j -0.0189733-0.00407355j 0.000118128+0.0106872j -0.00797956-0.0118877j -0.0278155-0.0163506j 0.00681741-0.008405j -0.0136886-0.0407477j -0.00660526-0.0130788j -0.000770473+0.0113704j 0.00212162-0.0278269j -0.0131411+0.0042735j 0.0195422+0.0210949j 
-0.378284-0.0881442j -0.0951852-0.017394j -0.021857+0.0429653j 0.0134392+0.0163262j 0.0010691-0.0124942j 0.00725527+0.0348375j 0.00611411+0.00507445j -0.00560162+0.0313401j 0.0232675+0.00853276j -0.0130114-0.0209659j -0.0043134-0.00160938j 0.00458573-0.00294906j -0.010249-0.00732751j -0.00406833-0.00634934j 0.00883402-0.00160429j 0.00460876-0.0110773j 0.0271557-0.00314861j -0.0146177+0.00404053j 0.0232051+0.00254523j -0.00715632-0.00627249j -0.00662135-0.00730304j -0.0293883-0.00906863j 0.0123554+0.00336696j 0.00287944+0.00708213j 
0.322039+0.0297864j 0.238688+0.216555j -0.0878339-0.119061j 0.118221+0.0593157j 0.0742988+0.0615796j -0.0263895+0.0466301j -0.049951+0.0507164j 0.0012644+0.0151992j -0.0230577+0.0280675j -0.0484104+0.0170693j 0.00398444+0.00966687j 0.0152825-0.00721602j 0.0261549-0.0342825j -0.0187532-0.000528558j 0.00820221-0.0179233j 0.00593199+0.00546553j -0.00828656+0.0023913j 0.0105628+0.0257299j -0.00501226+0.0135703j 0.00480785-0.0163493j 7.39864e-05-0.01197j -0.00113594-0.0148722j -0.0189141+0.0338315j -0.0345921+0.0259526j 
-0.15548+0.28421j -0.195045+0.0959697j 0.0529749-0.0915565j -0.060395-0.0098621j -0.0313346-0.0262061j -0.0295989-0.00684405j -0.0397036-0.0481242j -0.00663784+0.0252739j -0.0192411-0.0350058j -0.0119084+0.0510834j -0.0321451+0.0366828j -0.0177009-0.0273905j 0.0306729-0.0159351j 0.000945196+0.00753936j -0.0071626+0.0158463j -0.0113245-0.00494433j -0.00320197+0.00971415j 0.00488346+0.000647712j -0.000324419-0.00455831j 1.3916e-05+0.00330679j -0.0151739+0.0242713j -0.00632393-0.012263j -0.0193395+0.00269277j -0.0511187+0.0301507j 
-0.0750468-0.0656075j 0.107919+0.145903j 0.336398+0.194448j 0.0803707+0.0571501j -0.062534-0.00460812j 0.00165886+0.0443732j -0.00833061-0.00344417j -0.00972515+0.0143572j -0.00123774-0.0329211j -0.0227732+0.0169188j 0.0135654+0.00236798j 0.0341065+0.0109679j 0.00583653-0.0110321j 0.0369956+0.0004684j -0.00805457-0.0204844j 0.0137191-0.00134084j 0.0351875+0.0393465j 0.0271956-0.00261129j 0.00881364-0.0236166j 0.0164757-0.0375196j -0.0196011+0.00362975j -0.00578179+0.0238887j -0.00429095+0.00722298j -0.00346009+0.000240701j 
-0.106189-0.0429644j 0.0769418-0.146736j 0.179802-0.23872j 0.0514837-0.04766j 0.00442395+0.0679513j 0.0412173+0.00690593j 0.00810736+0.00942781j 0.00404948+0.00273342j -0.0363733+0.0103604j 0.0297604-0.0292252j -0.00897904-0.0128679j 0.0230104+0.00723147j 0.0306307-0.0243787j 0.0283349-0.00120409j -0.00181842+0.00607525j 0.0161664+4.39627e-05j -0.038032+0.0193258j -0.00177227+0.01268j 0.00169337+0.00628967j -0.00754834+0.0481938j 0.0164568-0.0276982j -0.00326439-0.0220027j 0.0249632-0.0176725j -0.0205054+0.0227065j 
-0.0316923-0.0696652j -0.138196+0.0657027j 0.147567-0.164012j -0.0141209+0.0312479j 0.0433358+0.121485j -0.0186447-0.0310925j 0.00298248+0.0439064j -0.0325564-0.0697248j -0.0434618+0.0160566j 0.0134145+0.0143719j -0.0686675-0.0232289j 0.0258746+0.045199j 0.0135357-0.010239j -0.00962115+0.00892073j 0.00951589-0.0102481j 0.00138832+0.00784354j -0.000991285-0.00658207j 0.0246906-0.00170065j 0.0340725-0.00756259j 0.00119998+0.00229541j -0.0338327-0.0168075j -0.0104184-0.0164956j -0.0126962+0.023851j -0.0173721+0.0329801j 
-0.0304774-0.0499962j -0.191707+0.232203j -0.0954833+0.184898j 0.0198509+0.162375j 0.0423151+0.0341904j 0.0150471+0.0365246j 0.0105269+0.0164369j 0.0270882+0.021808j 0.016388-0.00348283j -0.0270035-0.020893j -0.0534282-0.0323243j -0.00765508+0.0168398j 0.016294-0.0124176j -0.0124329+0.00119346j -0.0422905+0.00730549j 0.027116-0.0219668j 0.00814497-0.0141373j -0.00118703-0.00901171j -0.0267974-0.00711386j -0.0449432-0.0361159j -0.00561394+0.0047759j -0.00168952+0.0157899j -0.00810768+0.025911j 0.000658583+0.00841539j 
-0.0284182-0.0977354j 0.0518725-0.0746967j -0.197015-0.00890423j 0.0174278-0.0317904j 0.0929054-0.0213982j -0.0195663+0.0253483j -0.0215322-0.0660709j -0.0307392+0.0425824j -0.0122989-0.0634843j 0.00639229+0.00825401j 0.0113026+0.0138599j 0.00479709-0.0207929j -0.00794964-0.0124686j -0.0226495-0.0347211j 0.0135916+0.0277823j -0.0126625-0.0117978j -0.00480065+0.0052379j -0.00661416+0.0199639j -0.0104666+0.0520159j 0.00132201+0.0299115j 0.0111127-0.000168255j -0.0115283-0.00391901j -0.00235617-0.0300203j -0.0123387+0.0121505j 
