-0.00488045+0.00291756j -0.00828156-0.0161281j -0.00380368-0.0166463j -0.00231104-0.0128875j 0.00873035+0.016141j 0.00247859-0.00929764j 0.000339964+0.0181961j -0.000546916-0.000761577j 0.00600765+0.03683j -0.00128068-0.0016048j 4.39958e-05-0.00645757j 9.44837e-05-0.0189444j 0.00976014-0.00939568j -0.016962-0.00521224j -0.0231122+0.0419305j 0.0120644-0.011162j -0.00502653+0.00509196j -0.00751599+0.00358358j 0.0142195-0.00711611j 0.0194842-0.00713184j 0.00379628-0.00486363j -0.00623045+0.00167549j -0.0102987+0.0059805j 0.00200584+0.000109465j 0.0206595-0.00496481j 0.0140547-0.00564001j -0.0202025+0.00684128j -0.0114949+0.00217674j -0.0105276-0.000817167j -0.00989623+0.00134876j -0.0110606-0.00299032j -0.00499635-0.00149261j -0.0112347+0.00172119j -0.0207759-0.00287329j 0.00667068+0.0118045j 0.0207796+0.0107743j -0.0171228+0.000504258j -0.0056609-0.000575908j 0.0058712+0.00740819j 0.00677317-0.00363938j 0.00507897-0.0039107j 0.00783602+0.0061368j 0.00219949-0.00763673j -0.000975111+0.00449345j 0.00765871+0.00503368j 0.00394384-0.00250329j -0.00061046+0.000717264j -0.00883965+0.000632872j -0.00330485-0.00867337j 0.00249512-0.00603957j -0.00544994+0.000879171j 0.00100082-0.00948365j -0.00394168+0.00492574j 0.00154456+0.0022897j 0.00766221+0.00482646j 0.00312592-0.00507326j -0.0059665+0.00984947j 0.00232109+0.0134991j 0.00620449-0.00332454j 0.0120627+0.00316507j -0.00219759+0.00125223j 0.00443827-0.000133558j -0.00207191-0.000328026j 0.0099468+0.00277219j -0.007683+0.00323375j -0.0049361-0.00220287j -0.00787371+0.000980983j -0.000491807-0.00235912j 0.00394626+0.00040677j -3.43989e-05-0.00178218j -0.00263524+0.00357463j -0.000325917-0.00576706j -0.00947828-0.000460305j -0.0140595+0.000112403j 0.00302381-0.00544915j 0.000968762+0.00201505j -0.0059771+0.00099217j -0.00258194-0.0099788j 0.00364728-0.00711637j 0.0047442-0.00635974j 0.00113996+0.00151864j 0.00296617+0.00622198j -0.00749012-0.00807317j 0.000623538+0.00595501j -0.00406518-0.00860573j -0.00950363-0.000534831j 0.00218223+0.00114911j -0.00240368-0.0107777j -0.00608029+0.00500346j 0.0141176+0.0055112j 0.00700267-0.00203772j -0.00288494+0.00224495j -0.00396145+0.00891278j 0.00192742-0.0130694j -0.00558571-0.000557381j 
-0.0111652-0.00968065j -0.0059327-0.0185931j 0.00239809-0.00303241j -0.00218137+0.000189477j 0.0014236-0.0054914j 0.00796075+0.0335732j 0.00296051-0.00946124j -0.00789366-0.00835815j -0.00357057-0.0131823j -0.0041812+0.0209005j 0.00183403-0.0108379j 0.0134424-0.02196j -0.00343983+0.0312948j -0.0214105+0.0295741j 0.00402554+0.0152277j 0.0152142-0.0163908j 0.00445066-0.00325488j 0.00290486-0.00354178j -0.00124827+0.000606704j -0.00999489+0.00414337j 0.0195577-0.00933861j -0.0112649+0.00597301j 0.00671679+0.00272072j -0.00887897+0.00475413j -0.00610949-0.00299902j -0.0294608+0.00113042j -0.0132889-0.0013575j -0.0105059+0.00363467j 0.00407282-0.00306091j 0.00915796+0.00516001j 0.0203269+0.00276315j -0.00363969-0.00901487j 0.00343349-0.000135127j -0.00865954-0.00566754j -0.0209147-0.000482575j 0.0214123+0.00326772j 0.0093475+0.00753537j -0.00178771+0.00550087j 0.00944278+0.00676873j 0.000533754-0.0055932j 0.0120155-0.00366199j 0.00592095-0.00275103j 0.00143519-0.00125714j -0.000541556+0.0020656j 0.000389066-0.00010059j 0.0051455+0.0123444j -0.00211883-0.00186025j 0.00115963+0.000432554j 0.000141353+0.00410533j 0.0027969+0.00349943j 0.00388489-0.00447803j 0.00654519+0.00102066j 0.0114101-0.00281818j -0.00298379-0.00160902j -0.00455807-0.00624498j -0.000949952-0.00680128j 0.0050025-0.0104952j -0.00371227+0.00333934j -0.000841563-0.00631711j -0.00515786-0.00263092j -0.00465016+0.00999862j -0.00800301+0.00276734j 0.00647838+0.00634046j 0.00055533+0.00329306j 0.00320892-0.00235672j -0.014879-0.00475322j -0.0145523+0.00596372j -0.00259771+0.0025008j -0.00782738+0.00410677j 0.000579373-0.00531632j 0.00798063+0.000425777j -0.00651873-0.00683221j 0.0034647-0.000434081j 0.00860566+0.00570328j 0.00303044+0.0157305j -0.00220302-0.00276288j 0.00255393-0.0102686j -0.00310378+0.000663044j 0.000649923+0.00259156j 0.00834513+0.00162303j -0.00607276-0.00253091j -0.0033736+0.000674774j -0.00195658+0.00290201j 0.00070303-0.00318978j 0.00693503+0.00277717j 0.00497174-0.000108039j -0.00651948+0.0103158j -0.00422451-0.00518171j 0.000390961+0.00111377j 0.0138617-0.000708221j -0.00361779-0.00687035j -0.0055403-0.00527595j 0.0010509-0.00669247j 0.00395811-0.00935026j -0.00315095-0.00823087j 
-0.00880766-0.0121851j 0.000842438-0.00491127j 0.00962291+0.016764j -0.0075304-0.0204788j 0.0009249-0.00421576j -0.00113009-0.0141226j 0.00291969-0.0199985j 0.0071705-0.0169453j 0.000772782-0.00189733j -9.10272e-05-0.0408783j -0.0095923+0.0225691j 0.011021-0.0306107j 0.00496524-0.00110135j -0.00350414+0.0114098j 0.00545131-0.00408307j 0.00464614-0.00745719j 0.00787073-0.0085719j -0.00341456-0.00209895j -0.0215847+0.0134756j 0.00357183-0.00380124j -0.00638687-0.000738825j -0.00544219+0.00227694j -0.0283506+0.00427187j 0.00937887-0.00124556j -0.00603864-0.00321989j -0.000618789+0.000994718j -0.00968181-0.00362965j 0.0258294+0.00379617j 0.00485595+0.00683528j -0.00863299-0.00207622j -0.0130325-0.00069457j 0.0206923-0.00501022j 0.0216488+0.00597403j -0.0182828-0.00486822j -0.00557023+0.00226453j 0.00305051-0.00112018j 0.00864719+0.0014848j 0.00444724+0.00581009j 0.00563396+0.00135612j -0.00601609-0.00382638j 0.00968405-0.0030159j -0.00244983-0.0055722j 0.00405954+0.00859702j 0.00481945+0.00128214j -0.00527261-0.00273934j -0.00384084+0.00329573j -0.00782939+0.00011627j 0.00460091-0.00871409j -0.00326211-0.00526431j 0.0022412-0.00953952j 0.00451409-0.00865565j -0.00295776+0.000589892j 0.000308048+0.00611663j -0.00239788-0.0114507j 0.00486684+0.00867069j 0.00657756-0.00027096j -0.00211791+0.00665074j -0.00413987-0.00807638j -0.0156357+0.00343072j 0.013771-0.000999993j 0.00307102+0.00100089j 0.00485859+0.00263366j -0.00237089-0.00207831j -0.00448374-0.00108752j 0.000992219-0.00110223j -0.000804938+0.00175682j 0.00370173-0.000331711j 0.00549269+0.00421034j -0.0102616-0.00067992j 0.000492105+0.00365111j -0.00979242+0.00116234j -0.000998035+0.0048806j -0.0153339+0.00458222j 0.00293408-0.00315598j -0.0029369+0.00568713j 0.0121788+0.0142638j -0.00559465+0.00770223j 0.0061215-0.00719652j -0.00358213+0.00469152j -0.00797435-0.00322911j -0.000814011-0.0104018j -0.00635459-0.00376525j -0.00212592-0.00479253j -0.00118541+0.0134434j 0.00855729-2.78596e-05j 0.00174186-0.000547645j -0.00394386-0.000694623j -0.00292324+0.00626388j 0.00230238+0.00274656j 0.00459928-0.00303606j -0.0051095-0.00282527j -0.00289129-0.00794952j 0.00242508-0.00499113j 0.00246776-0.00193869j -0.000272918-0.0060041j 
-0.011477+0.00550294j 0.00801996-0.0109529j 0.00807546-0.00525742j 0.0296584-0.0116041j -0.00142275+0.00811543j -0.0111109+0.0121398j 0.0204482-0.00327004j -0.00731064+0.00806025j -0.0209832+0.0112893j 0.0079347-0.00337031j 0.0177814+0.00469629j 0.000610183+0.00647955j -0.0158933-0.0292262j 0.0452597+0.0564078j 0.063958-0.00115681j -0.0098201+0.00668958j -0.00329899-0.000148658j -0.000971227-0.000737487j -0.00445116+0.00339122j -0.00206719+0.00168306j 0.000458103-0.00123074j -0.000654629-0.00119706j -0.00183398-0.00152319j -0.000347033-0.000497795j -0.000157675-0.000459329j -4.4126e-05+0.00108121j -0.00109672-0.00201127j 0.00115923-0.000791873j -0.00150114-0.00225424j -3.97891e-06-0.000595729j -0.00147687+0.000880346j -0.000316876-0.00109891j -0.000871204-0.00351201j 0.000526276-0.00359755j -0.00128004-0.00561607j -0.00678455+0.00107889j -0.00841374-0.0117456j -0.0117336+0.00639391j 0.00427341+0.00476333j 0.00254048+0.0135703j -0.0116524-0.00207711j 0.00636905-0.00288736j 0.00960019-0.00556925j 0.013753-0.00492859j -0.00188891-0.00676867j -0.0049983-0.00253061j -0.0035274-0.0103979j -0.00607877-0.0056133j 0.00131939-0.00634479j 0.00326086+0.00915698j -0.00557558-0.000429722j 0.00598791-0.000804881j -0.00240766-0.00483437j -0.00288007+0.000128301j 0.00137945-0.00150398j -0.00837797-0.000226019j 0.000579513-0.00268393j 0.0038478-0.0165942j -0.00418583+0.00113995j 0.00301136-0.00324901j -0.000617101-0.00779554j 0.00547237-0.00138687j 0.00299126-0.000109656j 0.00817578+0.00358204j -0.00528941-0.00510617j -0.00754875-0.00601608j -0.00180201-0.00718622j -0.00490031+0.00380229j 0.00170992+0.0107063j -0.00169453-0.000429572j 0.00479307-0.00951563j -0.00637043-0.00303465j -0.00914179-0.00409701j -0.00468676+0.00239964j -0.0069695-9.69952e-06j 0.00344417+0.000234903j -0.00327917+0.00894381j -0.0121512+0.00015959j 0.0016201+0.0053178j 0.000763315+0.0031304j -0.00302276-0.00197907j -0.00280072-0.00308147j 0.00704825-0.000709044j -0.00353788-0.00756994j -0.00933727+0.00864088j -0.00783729+0.00240887j 0.00489554-0.0067934j 0.00425419-0.000796081j 0.00557891-0.00249249j 0.00676145-0.0126329j -0.0033085+0.0100648j -0.00425289-0.00614093j -0.0139473-0.0029373j 0.00989658-0.00631913j 0.0119602+0.00996493j 
-0.00105103-0.00429525j 0.0168632-0.0135248j 0.00900752+0.000424925j 0.00732616-0.00520232j 0.00429288+0.00357761j -0.00637818+0.00750399j -0.004679-0.00856909j 0.0325573-0.00634j 0.0232451-0.00107968j 0.0389782+0.0158016j -0.0353078+0.00800348j -0.038801-0.0129439j 0.025265-0.0116315j 0.0594919+0.000325162j -0.0348295-0.043974j -0.00371208+0.00584238j -0.010974+0.00658861j -0.00155974+0.0013517j -0.000244576+0.00166358j -0.000194842-0.00107521j -0.000623229+0.00109418j -0.00207237-0.00159819j -0.00105723-0.0018595j -0.000385155-0.000729181j -0.000831498-0.000614213j -0.00151691+0.001364j -0.000814569-0.000601866j 0.000268629-0.000789756j 0.0014521+0.000825981j -0.00179176+0.00125701j 0.00180607-0.00213822j 0.00188574+0.00391209j 0.00417259-0.000191727j 0.00444008-1.47003e-05j -0.00310495-0.00247527j 0.00584469+0.00911409j -0.00733236-0.000708184j -0.00518219+0.00868687j 0.012892-0.00339614j 0.00897258+0.0107763j 0.000297416+0.00516497j 0.00459841+0.00347291j 0.00131899+0.00317089j -0.00393193+0.00306286j -0.00455761+0.00199655j 0.00768764-0.000145991j -0.00237865+0.000879038j 0.00262661-0.00246898j 0.00408852+0.00742091j 0.000220812-0.00430648j 3.68418e-06+0.0109559j 0.00254738+0.00408634j 0.000351412-6.12318e-05j -0.00397974+0.000947316j -0.0015073+0.00467052j 0.00954292-0.00639868j 0.00924575+0.00191128j 0.00572715-0.00424467j -0.00292284-0.000534366j -0.00197288+0.00374152j 0.00991666-0.000195077j -0.001012-0.00926069j -0.00921784-0.0108873j 0.00509571-0.00254258j 0.00121666-0.0155576j -0.0121503+0.00121811j -0.0113104+0.00304086j -0.00762396-0.0139808j 0.00233976-0.0113856j 0.00640418-0.0048927j -0.00392925+0.00322789j 0.00783381+0.00735263j -0.00218147+0.0034553j 0.00400134+0.00898248j 0.00733474-0.0105252j 0.00234002+0.00687539j -0.00412962+0.000304865j 0.00881183+0.0079177j 0.00228409-0.00264448j 0.00947017-0.00365604j -0.00230388+0.00117579j -0.00769999-0.00444916j 0.00499975+0.0039706j 0.00899977-0.0012048j 0.00458101-0.0124653j 0.000878536-0.00104679j -0.00222059-0.0034531j 0.00440088+0.00893937j 0.00373242+0.00532126j 0.00362239+0.00406417j -0.0051541+0.0107128j 0.00693587+0.00608326j 0.000574757-0.00607652j -0.00442568-0.009608j 0.011939-0.00044525j 
0.0048572-0.00618863j 0.013243-0.00857248j -0.00432775+0.00544614j 0.00359741-0.00774726j 0.0234629-0.00519374j -0.0306971+0.000906486j -0.0242897-0.0032796j -0.0210536-0.00688852j 0.00575142+0.00869348j -0.0218311+0.015836j -0.0263401-0.0118672j -0.0433748+0.00209952j -0.0435704-0.0201045j 0.00449927-0.0070036j -0.0113632-0.00577381j 0.000573217+0.00219491j -0.00836208+0.00659284j 0.00217254-0.000272309j 0.000778821-0.000363177j -0.00187998-0.000451993j -0.0012462+0.00235803j -0.00114972-0.00204136j -0.000280321-0.000583405j 0.00134346-0.000623801j 0.000144578+0.00125581j 4.79381e-05-0.000812931j -0.000699313+0.0011597j -0.00108542-0.000503839j -0.000201698+0.000305291j 0.000204778-0.000284933j 0.00283763-0.000983639j 0.00201093+0.00145196j 0.00295009+0.00162976j 0.000550808-0.00190732j -0.00434858-0.00253754j 0.0022667+0.00226119j -0.000259269+0.000593437j -0.000194712+0.00469421j 0.00882928-0.00466217j 0.00322087+0.00590692j 0.00388974+0.00271104j 0.000422077+0.00749526j 0.00843717+7.8864e-05j 0.00171573+0.00547207j -0.00963742+0.00307126j 0.0101712-0.00648674j -0.00113406-0.00482565j 0.00306512+0.00502797j -0.0026848+0.00489774j 0.000529066+0.000690094j 0.00871222+0.0108669j 0.000542897+0.00112506j 0.0118041+0.00373672j -0.000416137-0.00871479j -0.00284697+0.00160196j -0.003465+0.0102242j -0.0101936+0.00488819j -0.00347527+0.00446029j 0.00350965+0.0037861j 0.00921161-0.00313544j -0.00667182+0.000839341j -0.00652655+0.00342326j 0.00335776+0.0160304j -0.000154548-2.17237e-05j 0.0130795+0.0014223j 0.00125106+0.0143985j -0.0051349-0.00486662j -0.00572715-0.00671109j -0.00820742+0.011594j -0.00401687+0.0077146j -0.00450253-0.00487026j -0.00364477+0.00272914j -0.00150309-0.00328987j 0.00216407-0.0105814j -0.0117795-0.00503674j -0.00532722-0.00454299j 0.00245108-0.00561794j -0.00617495-0.00248538j 0.000582891-0.0159137j -0.00352095+0.00111935j -0.000206987+0.0022798j 0.00507666-0.00583095j -0.0111852+0.00706695j 0.00180562+0.00466083j 0.0037294-0.000416796j 0.00222097+0.0133281j 0.00697186+0.0016661j 0.00794657+0.00530996j -0.00922581-0.00111446j 0.00245588+0.00223081j -0.00408855+0.00421047j 0.00620705-0.00309386j -0.00829177-0.00768254j -0.00363204-0.00377328j 0.0046572-0.00130008j 
0.00590571-0.00619529j 0.0113075-0.0070964j -0.0039643+0.0041094j -0.0132621-0.00165557j -0.0336924+0.0132745j -0.00769519-0.00818978j 0.0249617+0.000991509j -0.0279507-0.00106406j 0.0384117-0.00372059j -0.00306923+0.013843j 0.0600519+0.0162394j -0.0148943-0.00436011j -0.0154015-0.00833062j 0.00443139-0.00546965j -0.00964492-0.00503383j 0.00158568+0.00130334j -0.00731553+0.0059556j 0.0012557+0.000710813j 0.00245275-0.000735522j 0.00119899-0.00158599j 0.00251494+0.00100855j -0.00161071+0.000405298j 0.00141986-0.00129805j 9.57287e-05-0.000175688j -0.000977161+0.00101834j 2.10251e-05-0.000686664j -0.000490372-0.000133532j -0.000366706+0.000641584j 0.000204672+0.000546937j -0.00080056+0.000331524j -0.000632103-0.00124931j 0.00233013+0.00228594j -0.000296325-0.000385984j 0.000859561-0.000450966j -0.00235758-0.00131239j 0.0016841+0.00178597j -4.05277e-05+0.000650639j 0.000844903+0.00362488j 0.00773613-0.00457688j 0.00418446+0.00321445j 0.00565515+0.00329579j -0.000624229+0.00569638j 0.00220581+0.00301877j -0.00564086+0.00255821j 0.0101783-0.00785257j -0.00797863-0.00060011j -0.00679793+0.00618496j 0.00846121+0.000330131j 0.00242231+0.0070112j -0.0113986-0.000382322j -0.0126754-0.00458558j 0.00724697-0.00130081j 0.00413216+0.000903868j -0.00329274+0.0184794j 0.00481482+0.00333053j -0.00106406+0.00623958j -0.00496548+0.00187417j -0.00600555-0.0075231j -0.00559604-0.0106477j 0.00272809+0.00146325j 0.000761633+0.000290802j -0.0010325+0.000852187j 0.00521649+0.00701308j -0.00244508-0.00128708j -0.00420812+0.00800222j 8.05224e-05-0.00538969j -0.00595256+0.0144027j 0.0114177-0.00178563j -0.00888159+0.0065832j 0.00135278+0.0139115j -0.0053549-0.000119729j 0.00524235+0.00132062j 0.00503579-0.000485072j -0.00656435+0.00752717j -0.00849541-0.0109552j -0.00913634-0.00705172j -0.00329767-0.00818671j 0.00349258-0.00453323j 0.00104065+0.0143887j -0.00846585+0.0048022j -0.00830748+0.0014241j -0.00948078+0.00692728j 0.00642468+0.00577684j -0.00125357+0.000976424j 0.000736881-0.00315759j -0.00247369+0.00224198j 0.00171731-0.0083865j -0.0167629-0.00365557j -0.00443556-0.0041817j 0.00137342+0.00301484j -0.00192104+0.00342961j 0.00413574-0.000283228j -0.00322933-0.00425573j -0.00333355-0.00269373j 0.00322625-0.00125216j 
-0.0110741+0.0086406j -0.00200638+0.000560148j 0.0301546-0.0137558j -0.0148032+0.0062136j 0.0213419+0.00404233j -0.043371+0.0140625j 0.00208015+0.00281215j 0.0605179+0.0109464j 0.0199616+0.00911985j -0.0320006-0.00713227j -0.00466554+0.000158722j 0.00143227-0.00477092j 0.0130494+0.00258033j 0.00560016+0.0046414j 0.00369048-0.00247948j -0.00651734+0.00339474j 0.0032492-0.00501649j -0.00576447+0.0023421j -3.58645e-05+0.00219194j -0.00159413-0.000754664j -0.00176835-0.00101284j -0.000571389+0.000768537j -0.00163434+4.58759e-06j -0.00144294+0.00127341j -0.00109409-4.15594e-05j 0.000252802+0.0012726j 9.986e-06-0.000663881j 0.000656759+0.000319231j 0.000631821-5.93942e-05j -0.00036412-0.000613976j -9.84024e-05+0.000281497j -0.00131546-0.000937415j -0.00061237-0.00097843j 0.00140262+0.000989774j 0.000780801+0.000235051j -0.000881716-5.20556e-05j -0.000793525-0.00116417j -0.00648235+0.00105707j -0.00430354+0.00539087j 0.00376744+0.00170765j -0.00951104+0.000245658j 0.00564422-0.0116336j -0.00995772+0.00326695j -0.00482526+0.000142013j 0.00228641+0.00652081j 0.0110881+0.00245119j 0.000511125+0.00420337j -0.00617001-0.0121796j 0.0107396-0.000123912j -0.00084429-0.00279254j -0.000984381+0.00193747j 0.000775496+0.00148542j 0.00580862+0.00622493j -0.00511791-0.00255312j 0.00939872-0.0069242j -0.00778838+0.00311653j 0.00143688+0.00641001j -0.0134101-0.00336427j 0.00959575-0.00931986j -0.00163613+0.00750114j 0.0102923-0.00607609j 0.00536561+0.0114297j 0.00530703+0.00475212j -0.00694817-0.0210229j 0.00624364-0.001862j -0.00464489-0.00239824j -0.00523887-0.0010602j -0.00135297-0.0130865j -7.37052e-05+0.000939211j -0.0100874+0.0167941j -0.00423813-0.00370341j 0.0095743-0.00260817j 0.00443719+0.00604602j 0.00190676-0.00153603j -0.00159638+0.00747441j -0.00994368+0.00418727j -0.0118621-0.00278731j -0.00882615-0.00639579j 0.00133585-4.40662e-05j -0.0046576-0.001304j 0.00427785+0.00204059j 0.00029889-0.00687067j -0.00209529-0.00821303j 0.000979127-0.00303351j -0.00247248-0.00118222j 0.00151897-0.0079299j -0.000790286+0.00515472j 0.00541106-0.000457686j 0.00913939+0.00114247j -0.000189487-0.00314594j 0.00222278+0.000544616j -0.00274247+0.00270577j 0.00644031+0.00326376j 0.00305651+0.000700224j 0.000472437+0.00161635j 
-0.00381948-0.0126871j -0.00732721-0.00535209j 0.001592-0.00689897j 0.00473691+0.0147499j -0.000215931-0.00219609j -0.0145338-0.0255647j -0.00567772+0.0176447j 3.07702e-05-0.0175744j -0.0133106-0.00706586j 0.0329378+0.00816546j 0.0186104-0.0240707j 0.0104636-0.0196351j -0.0468299+0.0453127j 0.0092104-0.125131j -0.082605+0.00764326j -0.009704-0.00661899j 0.0111971+0.00607212j 0.00217604+0.000306795j -0.0131255-0.00318305j -0.0130039+0.00433239j 0.010542-0.00345898j 0.00721524+0.00625855j 0.00125193+0.00764189j 0.00221675+0.00182841j 0.00454282+0.00623198j 0.012249-0.0129291j -0.00366597+0.00411664j -0.0123177+0.00254263j -0.00345265+0.00461939j -0.000829951+0.00149016j 0.0140966-0.000455216j -0.00667468+0.00431427j 0.00407461+0.0211647j -0.0133674+0.0103571j -0.00775479+0.0228254j 0.0403914+0.013777j 0.00233503+0.0364898j 0.00962735-0.00624373j -0.0107213-0.011835j 0.00202492-0.00657546j 0.0135659-0.00749492j -0.00128335-0.00341031j 0.00775961+0.0116516j -0.00746807+0.00869522j 0.0118567+0.00265268j 0.00703499-0.00752214j 0.000810238-0.00453396j -0.00236367+0.00214938j 0.00151294+0.00687686j 0.00185706+0.00325848j 0.00496918+0.000631471j -0.00252685+0.00562919j -0.00287182+0.00019584j -0.00135049+0.00206752j 0.00757324-0.00237934j 0.00112719-0.00269983j 0.001339-0.000732843j 0.00715195+0.000753246j -0.00132597+0.000252539j 0.00486764-0.000572851j 0.00758002-0.00146362j 0.00146408+0.00687572j 0.00353019-0.00259424j 0.00295753-0.000727288j 0.00898083-6.12954e-06j -0.00428497-0.00628339j -0.000859773-0.00630872j 0.00515212-0.00496095j -0.00891657-0.00238009j -0.00860627-0.00385998j 0.00459438-0.00919192j -3.59341e-05-0.00428134j 0.0058979+0.00582099j -0.00427252-0.00308778j 0.0044317-0.00839665j 0.00210339-0.00135342j 0.00843949-0.00359698j 0.00322399-0.00491356j 0.00425926+0.00591499j 0.0037762-0.00878284j 0.00271098-0.00147597j -0.0057836-0.00629332j -0.00502064+0.00219005j -0.00962083-0.00122316j 0.00317709+0.00606588j -0.00112179+0.00510488j -0.00124693+0.00775262j -0.0057912+0.00818778j -0.00660976+0.00892733j 0.000747021-0.0106824j 0.0104426+0.00160546j -0.0126804-0.00122238j 0.00699091-0.0077291j 0.000160653+0.0243146j -0.00857888-0.00942009j 
-0.0129605-0.0084794j 0.00306728+0.0127544j -0.00863568+0.00925493j -0.00283502+0.0189478j -0.00788604-0.00656718j -0.0192021+0.00984345j -0.0104206+0.0122338j 0.0151623-0.000703784j -0.00407212+0.0117667j 0.017559-0.0341298j -0.013596-0.0325912j 0.0169251+0.0137676j 0.0111111+0.0142869j -0.0940991+0.0158322j -0.00473612+0.118582j -0.018433-0.00786435j -0.00817692-0.00727069j -0.00344384-0.00809715j -0.00738447-0.00333318j -0.00150321+0.000614585j 0.000266289-0.00606571j 0.00145372+0.00258924j -0.00916445+0.00152355j -0.0121627+0.00118455j -0.0006973-0.00464269j -0.00305192+0.000835556j 0.00424684-0.00365178j 0.00468707+0.00284022j -0.0171292-0.00346558j 0.0187894-0.005165j -0.00747413+0.0136663j -0.0106441-0.0232304j -0.026053+0.00123412j -0.0238151-0.00486847j -0.00199205-0.00073316j -0.00547751-0.0349355j 0.0374941+0.0102818j -0.00846191-0.0148811j -0.0148917+0.00472239j -0.0122066+0.00428687j 0.00658354-0.00733557j 0.000611408+0.00210053j 0.00614189+0.00542921j -0.00328397-0.00443778j 0.00420268-0.00288867j -0.0028344-0.00674491j 0.00500705-0.0040891j 0.000153194-0.00174339j -0.00519998-0.00701611j -0.000637636-0.000958042j -0.00482001-0.00397558j -0.00261353-0.00537409j 0.0104941+0.00112196j -0.00427835+0.000796168j -0.00838524-0.00405836j 0.0032696+0.0119901j -0.00132761+0.00570404j -0.000428731+0.00555799j -0.00245643-0.00321407j -0.0022443+0.00487043j -0.00373186+0.00441855j 0.00558536-0.00881086j -0.000970493+0.00186509j -0.003657+0.00315749j 0.00275498-0.00493103j 0.000571778+0.00161091j 0.000698542+0.0046859j 0.00265809-0.00134005j 0.00577534+0.000838677j -0.00693945-0.00678921j -0.00293218-0.00466208j 0.0105556+0.00102082j -0.00953151+0.0117142j 0.00428746+0.00339851j 0.000191808+0.00262219j -0.00873873-0.00655879j 0.0124863+0.000797691j 0.00402328-0.00118174j 0.00366068+0.0045151j 0.00183259-0.00217697j -0.00616215+0.00688195j -0.000464297-0.0112651j -0.00370022-0.0145204j -0.00706254-0.00423848j -0.00579439-0.00240486j -0.000976002+0.0096734j -0.00931097+0.00481728j 0.00365869-0.015425j 0.00162394-0.0095646j 0.00908508-0.00427865j -0.00346016+0.0137865j 0.005137-0.00830457j 0.00456003+0.0116945j 0.00813957+0.0113721j 0.00326157+0.0204881j 
0.0153315-0.00129013j -0.00596235-0.0115932j 0.0194243-0.00646871j -0.000730688-0.0110572j 0.00816608-0.00480085j 0.0240991-0.0123109j 0.00126935-0.0258852j -0.00445041-0.000286968j 0.00561214-0.014786j 0.00157835+0.0274243j 0.00192762-0.0396606j -0.0246674+0.0257346j -0.0157916-0.0900445j 0.0190642-0.0173477j -0.0306297+0.00805078j 0.0148678+0.00417083j 0.0136165+0.0121244j -0.00664371+0.0109809j 0.010042+0.00497253j 0.0144509+0.00229658j -0.00649796+0.00325829j -0.00190948-0.00394996j 0.00442915-0.000691563j 0.0103784-4.72679e-05j 0.0125221+0.00651021j -0.00939965-0.00105808j 0.00264518+0.00569902j -0.00762489-0.00338939j -0.0205271+0.0142534j 0.0215578-0.000927764j 0.0249992-0.0017448j -0.00313508+0.00797744j 0.00311391+0.0133044j 0.015241-0.00946311j -0.025636-0.0278776j 0.0011618-0.00268608j 0.0114006-0.00611973j 0.00644265+0.0107323j 0.00545463-0.00299427j 0.00681034-0.00044277j -0.00648043-0.00360876j 0.00359001+0.00187276j 0.00430849-0.00981657j 0.00870171+0.0103704j -0.00145305+0.00252658j -0.00387112-0.00401523j -0.000341899+0.000840321j 0.00413787-0.00452098j 0.00554947-0.0022992j -0.00675669+0.00109949j 0.00409401+0.00107003j 0.000789216+6.50576e-05j 0.00545819-0.000759705j 0.0032936+0.0016279j -0.00121061+0.00147312j 0.00247059+0.000209895j 0.00424744-0.00305304j -0.0017176-0.00229548j 0.00141215+0.00252979j -0.00328235-0.000449306j -0.00038908+0.00241403j 0.00224347-0.000286482j -0.00490342-0.00292368j 0.00444881-0.00464324j -0.00264745+0.000818927j -0.00249781-0.00318034j -0.00660385-0.0087715j 0.0089927+0.00104899j 0.00192734-0.00702501j -0.0195563+0.00218485j -0.000827514-0.0120297j -0.000508856+0.00353951j -0.00193301+0.00978336j 0.00828445+0.00340532j 0.0031353-0.00576098j -0.000558419-0.00585419j 0.00561876-0.0134813j -0.000733532-0.000710772j 0.00718237-0.00354112j -0.00908029-0.00711533j -0.000548034+0.00502949j -0.00235167-0.0004841j -0.00325338-0.00536742j 0.00170777+0.0119191j -0.00877398-0.00294388j -0.00317091-0.00187004j 0.00314148+0.0123737j -0.00439063-0.00325259j 0.000516695-0.00618443j 0.00100845-0.000806959j 0.00566384-0.00757977j 0.00679482-0.0115539j 0.000293231-0.00576679j 0.00409284-0.00387206j -0.00678927-0.00789931j 
