0.00176257+0.00994146j -0.00967224-0.0101219j -0.00964981-0.0154202j 0.00219991+0.00345725j 0.00222813+0.0049241j -0.000975498-0.00468739j -0.00676979-0.0041933j -0.00386807-0.00979866j 0.00138756-0.00266098j -0.00266609-0.000637928j -0.00477067+0.00523124j -0.0081146-0.00159371j -0.00282574-0.00411644j -0.0025686-0.00237755j -0.00230845-0.00547332j 0.000117143+0.00335944j 0.00376895-0.00544118j -0.00245711-0.0069758j -0.00515448-0.00190887j 0.00528191+0.0223079j -0.0015329-0.00112676j 0.00266612-0.000956463j 0.00406362+0.00715529j 0.00853697+0.00820368j -0.0112193-0.00547162j -0.00206162+0.00364571j -0.00313131-0.000144507j 0.00356828-0.00487068j -0.0107628-0.00362139j 4.02914e-05+0.0274864j 0.00204955+0.0098863j 0.0130995-0.000768839j -0.00946437+0.0187234j -0.00666835+0.00474711j -0.00491674-0.00927925j 0.000928828+0.0212982j -0.0060756-0.00182337j -0.00717399+0.00825503j -0.00284781+0.0235653j -0.0137625+0.00196741j -0.0420973+0.0265337j -0.0180842-0.0341446j -0.0186399+0.018744j -0.00834737-0.0112897j -0.00516359+0.0052248j 0.00160777-0.00593001j -0.00132152-0.00637287j -0.0152157+0.00983174j -0.0039718+0.00170669j -0.00276582+0.0020587j 0.00476379-0.000632105j 0.0018569-0.001481j -0.00474524-0.00127291j 0.000551367+0.00165956j 0.00524156-0.00307983j 0.0012886-0.00102576j 0.00366412-0.000930097j 0.00155191-0.00365913j 0.0033474-0.0023445j -0.0111964+0.0108723j -0.0096513+0.000457817j -0.00507686-4.95274e-05j -0.0027522-0.00297751j -0.00609614+0.00541726j 0.00288975-0.00126181j 0.00145406-0.00097996j 0.00201324-0.00559516j 0.000691658+0.000858925j 0.00205329+0.00101742j 0.00502015-0.00181829j 0.00742398-0.00533908j -0.00539237+0.000729664j -0.0102244-0.000233876j 0.0222326-0.00493493j 0.000614206-0.000442647j 0.00731167-0.000835433j -0.00680253-0.00454771j 0.00155587+0.00440366j -0.0183498-0.00483387j 0.00602121+0.0023994j -0.0139502+0.00213789j -0.0101504-0.00176812j -0.0108472-0.00782069j 0.00564035+0.00115798j 0.0098571+0.00388788j -0.00814081-0.013601j -0.001351-0.00333572j -0.0180588+0.00817729j -0.00943001+0.00305164j 0.00878381+0.00218551j -0.00714829+0.0114073j -0.0281208+0.000736236j 
-0.00930023-0.00611554j -0.00511067-0.0106925j -0.00478225-0.00159686j -0.00347824-0.00722505j -0.00180584-0.0050445j -0.00503659-0.00558076j 0.00346846+0.00882632j 0.00465655+0.0112097j 0.000891503+0.00315917j 0.00885508+0.00199876j 0.000209243+0.00525101j 0.0114001+0.0123952j -0.000540513+0.00203871j -0.00459979-0.00952116j 0.00505608+0.0115604j 0.00183928+0.00189358j -0.00283516-0.00306716j -0.0013949-0.00315105j -0.00730259-0.00343773j 0.00472452+0.00564319j -0.00553313-0.00573074j -0.0115139-0.00506953j 0.00173581-0.0101373j -0.00359444-0.0167923j -0.0026325+0.0105206j -0.000855422+0.000189375j -0.00528795+0.00987866j -0.000633912+0.0152434j -0.00442926-0.00715044j -0.00953243-0.00545305j -0.00147422+0.0153582j 0.00354296+0.0198929j -0.00806349+0.00941271j 0.000730997+0.000166392j 0.00793124-0.0119617j -0.0198722+0.0138973j 0.0045586-0.0051225j -0.00858312+0.00987725j 0.0208861-0.00832404j 0.00263185+0.00782173j 0.0125024+0.0400492j -0.039186+0.0249106j 0.00608339+0.00850721j -0.0109816+0.00983476j 0.00786596-0.00540789j -0.00551043-0.00455055j -0.00670502+0.00824844j 0.0096128-0.00568434j -0.00207622+0.000389366j -0.0035682-0.000163302j 0.0098786-0.00311093j 0.00520871-0.00641665j 0.00290991-0.00179657j 0.00894961-0.00348297j 0.00839583-0.00429852j -0.00211549-0.000109868j 0.00813317+0.000233904j -0.00218817-0.00444904j 0.00291763+0.000500838j -0.00554755+0.00335539j 0.000323312+0.00131123j -0.00869178+0.0035684j 0.0048308-0.00161416j 0.00124947-0.000386934j 0.00652242-0.00437907j 0.00449038-0.00114388j 0.00228807+0.00195086j -0.00693026+0.00174364j 0.00375578-0.00419575j 0.00765345+0.00111984j -0.009644-0.00250032j 0.0181903-0.00141533j 0.00683834-0.0100382j 0.00775677+0.000978316j -0.00651685+0.00318122j -0.0187235-0.00189447j -0.00256933+0.001405j 0.0212173+0.0035357j 0.00158138+0.000316532j 0.0116148-0.0028043j 0.00774095+0.00430703j 0.000708846+0.00269483j -0.00730049+0.000512606j -0.00241439+0.00022356j -0.00951928-0.000296184j 0.000544135-0.00678482j -0.000992972-0.0123646j -0.00800827-0.0125357j 0.0075696+0.00165482j -0.000127583+0.0047951j 0.023069-0.000133462j -0.00804789+0.00998042j 
-0.0067462-0.000273888j -0.00459202-0.00872234j -0.00681374-0.00470427j 0.00353537+0.00850828j -0.00349485-0.00975034j 0.000115279+0.000455861j -0.00388387-0.00542695j 5.01962e-05-0.000916326j -0.00328462-0.00692135j 0.00427428+0.000577206j 0.00368813+0.0111378j -0.00112098-0.00920111j -0.00348084-0.00573696j -0.00422922-0.00106102j -0.00154266-0.00950622j 0.00307301+0.00888662j -0.00249429-0.00628745j -0.00226564-0.00318281j -0.00148871+0.00274744j 0.000971971-0.00611431j 0.00483535+0.014199j -0.000384074+0.0115382j 0.00414702-0.000652261j -0.000265934+0.00439257j -0.00839982-0.0112144j 0.00271337+0.00806541j 1.91292e-05+0.0228729j -0.00489068+0.0164298j 0.00140675+0.00970069j -0.00197298-0.0228953j -0.00661792-0.0248734j -0.00415252+0.00299751j -0.00647167-0.00233083j 0.00443565-0.0148229j 0.00483034-0.0137428j 0.00791014-0.00803091j -0.0262923+0.011402j -0.00891271+0.0275803j -0.0101748+0.00691565j 0.00108732-0.0162985j -0.000728152+0.0103279j -0.0120562+0.00442066j -0.00660821+0.00373521j 0.00451782-0.00797992j 0.00144495-0.00450603j -0.00865677+0.00247387j 0.00688236-0.00321805j -0.0110575+0.00161482j -0.000308447+0.00150869j -0.00379424+0.0013646j 0.0101855-0.00475728j -0.00535788+0.00195558j -0.00177103-0.00157098j -0.0100084+0.00275135j 0.000112801-0.00197726j 0.00224913-0.000366031j 0.00272297+0.000317146j 0.00575323-0.00437486j -0.00755257+0.00587654j -0.00118994+0.00133173j 0.0043368+0.000716833j -0.00571755+0.00301279j -0.00284997+0.00266066j -0.00698021+0.00296391j -0.00645538+0.000933718j -0.0028453-0.000117906j 0.0034489-0.00360812j 0.0087369-0.00447542j 0.0133881-0.00730408j 0.0117154-0.00178796j -0.0101717-0.00101297j 0.0196528+0.00331885j -0.00727525-0.00202511j -0.0201012+0.00309304j 0.021904+0.000337215j 0.00124522-0.00227426j 0.00684327-0.0017586j -0.00239488+0.00462414j 0.0189347+0.00062108j -0.00279755+0.000110988j 0.0115227+0.00621406j 0.0124278+0.00398901j 0.00800974-0.000291571j -0.00851722-0.00635623j 0.00706489+0.00781037j 0.0108701+0.00601184j -8.93619e-06-0.000882986j -0.00147939+0.00608725j 0.000880187-0.00137085j 0.0213105+0.00648943j 0.002006+0.000795681j -0.00967726+0.00109233j 
-0.00619271-0.00495406j 0.00144708-0.00396355j -0.00563201-0.00220185j 0.00639423+0.0123277j -0.00464645-0.010517j 0.0039427+0.00641j 0.00307515+0.00712872j -0.000108535-0.0042752j -0.00362372-0.000332838j 0.00608294+0.00745226j 0.00313843+0.00313151j 0.00849594+0.00877705j 0.000519337+0.00314816j -0.00151406+1.9991e-05j 0.000209027+0.00229247j 0.00377236+0.00771208j -0.00309422+0.00820972j 0.000918562-0.00138402j -0.00388033-0.018178j -0.00114769-0.0203982j 0.00532863-0.00557899j -0.00180948+0.0105461j 0.00443113-0.0277007j 0.00521972+0.0162566j -0.0015461-0.00345499j 0.000582046-0.0114451j -0.00653392-0.00570091j 0.00227316-0.0307665j 0.00711826-0.0126953j 0.000730929+0.0153221j 0.00268815+0.00695785j -0.0019901-0.0105295j -0.00241916-0.0123794j -0.00114105+0.0127634j -0.00125704+0.0104403j -0.013218+0.0197429j -0.00978959+0.0166605j 0.00639834+0.00948521j -0.00192175+0.00693411j -0.00618719-0.00506518j 0.00578945+0.00405177j -0.00759025+0.012875j -0.00652585-0.00116975j 0.00602883-0.00984171j 0.00161937-0.00545592j -0.0139495+0.00851044j -0.000250366+0.0034566j 0.000511737-0.000326005j 0.00355281-0.000908377j 9.16542e-06-0.000984452j 0.00219028+0.00222777j 0.00894686-0.00419968j 0.00106801+0.00106371j 0.00148738+0.000830786j -0.000400802+0.000871017j -0.00312271-1.49129e-05j 0.0022692-0.000792141j 0.000534796-0.00177945j -0.00270575+0.00513369j -0.0021418-0.00286628j 0.018656-0.00364321j -0.00374241+0.00325789j 0.0134757+0.000986415j -0.0141283+0.00653796j 0.00265412-0.00219976j -0.0204869+0.00139907j 0.00106225+0.00452968j 0.00486779-0.000209948j -0.00967308-0.00229257j -0.0174496+0.000289433j -0.0165722-0.00469958j -0.0185097+0.00315222j -0.00719052-0.0036703j 0.000877901-0.0027625j -0.0112521-0.00140642j 0.00758119+0.00056908j -0.0050385-0.00302228j -0.0017944+0.00282866j 0.00496832+0.0047151j -0.00775493-0.00514245j -0.00777887+0.00144862j -0.00749115-0.0029746j -0.00916712-0.00204478j 0.00200943+0.000837698j -0.0103465-0.00179296j 0.00216091+0.000254322j -0.0140454-0.00579327j 0.00244506-0.000671967j -0.00420457-0.00253986j 0.0144873+0.00271166j 0.00564788-0.000768397j -0.00173699+0.000748238j 
-0.00501127-0.00163892j -0.0018692-0.00535178j -0.00335031-0.00284598j -0.0011831-0.00130013j 0.00256609+0.00349067j -0.00108316+0.00127655j -0.00455469-0.00885952j 0.00199605+0.00654318j 0.00462106+0.00653265j -0.00285267-0.0161684j -0.00538467-0.0154598j 0.0010257-0.00201902j -0.000348214+0.00207951j 0.000797832+0.00313595j 0.00707273+0.0208782j 0.00857134+0.00705728j 2.66051e-05+0.00674016j -0.00563727-0.0257804j 0.00406786+0.00127312j -0.0027628-0.0077966j -0.00119161+0.000643231j -0.00107341+0.0161784j -0.00173618-2.66116e-06j -0.00370225-0.000211136j -0.00432847+0.0138991j -0.00325365+0.0274165j 0.000815462-0.0240882j -0.000474808-0.00962333j 0.00668729-0.0227171j 0.00460448-0.00632855j -0.00131179-0.0118912j 0.00907433-0.0188523j -0.00374235-0.0197319j -0.0163338+0.0194472j 0.00671487-0.0177621j 0.00729555-0.00681151j -0.00110027+0.00279849j 0.0013966-0.00650093j -0.00293426+0.00349086j -0.00110247-0.00549983j -5.17828e-05+0.00625117j -0.00652729+0.00285078j -0.00246188+0.00491317j -0.0031291+0.00107591j -0.00162981+0.00283466j 0.0106198-0.00469726j 0.00476407-0.00345731j 0.0034635-0.00465525j 0.00175967-0.00385717j 0.000866733-0.00274964j -0.00475326+0.00183043j -0.00431719+0.00431078j -0.0130947+0.00214872j 0.00386564-0.00202551j 0.0029884+0.000609613j -0.00479631+0.00496633j 0.0150452-0.0052624j -0.0050592-0.000629397j -0.0217948+0.00900811j -0.00375656+0.00288294j -0.00268976+0.00228663j -0.0143296-0.000773519j -0.0129767+0.00115188j -0.00487434+0.000778817j 0.0081154-0.000288725j 0.00980996-0.00137879j 0.00231832-0.00053785j -0.0071794+0.000317149j -0.0278013-0.00131854j -0.00988405+0.00032978j -0.0178743+0.000287689j -0.00269689+0.00467003j 0.00556317+0.000237959j -0.00956453-0.00123578j 0.0157291+0.00301439j -0.0151021-0.00110483j 0.00174877+0.00459328j -0.00783772-0.00347181j 0.00171634-0.00208653j -0.0186888-0.00632693j -0.00104405-0.000968551j 0.0129389+0.00751599j 0.00368363-0.00443028j -0.0059129-0.00469931j -0.0127194-0.00276762j 0.000619555-0.00325936j 0.0150524+0.00417246j 0.00177688+0.00272474j -0.0020088-0.000529658j 0.00258604+0.000580922j 0.00286835+7.37332e-05j -0.00479299+0.00105345j 
-0.00479631-0.00269859j -0.000457781-0.00436436j -0.00257018-0.000870148j 0.000418336+0.000599998j 0.00138737+0.00175268j -0.00347752-0.00523792j -0.0042551-0.00853032j 0.00181602+0.00433469j 0.00548812+0.0123631j -0.00167464-0.0130167j 0.00310028+0.000646513j 0.000178903-0.00799562j 0.0028065+0.00678139j -0.00959605-0.0340967j -0.000881831+0.00212891j -0.000602006-0.0074801j -0.00294491+0.000756831j 0.00193602+0.0255763j 0.00400723+0.0062141j -0.00183206-0.014777j -0.00681856-0.00229804j 0.0015508-0.00925855j 0.00510558+0.0100494j -0.00528194+0.0171163j -0.00248366+0.0153895j -0.0038134-0.00898629j -0.0045476+0.00126868j -0.00709147+0.0010841j -0.000737545+0.00967762j -0.00261523+0.00666939j 0.0115031-0.0312274j -0.00269345+0.0220711j -0.0025574-0.00342616j -0.00857826+0.0172769j -0.00731785-0.000786176j 0.00434021-0.0110574j -0.00174959+0.000899652j -0.00137392+0.000634935j -0.0021597+0.00320615j -0.00205983-0.00499789j 0.00164906+0.00469314j -0.00654037+0.00500669j -0.00068939+0.00198963j 0.000482438-0.000720594j 0.00136717+0.00128415j 0.00919328-0.00535388j 0.00196186-0.00318155j -0.00361016-0.00100096j 0.00319002-0.00387825j 0.00955968-0.00561988j 0.000937686-0.00349716j -0.00922658+0.00336892j 0.00632081-0.00345818j 0.00804621-0.00543412j 0.0156634-0.00623011j -0.00637685-0.00173465j -0.00152625+0.0011495j 0.0145681-0.00644513j 0.00766943+0.000780258j 0.0182076-0.00515154j -0.00804137+0.00180541j -0.0114239-0.00131461j 0.0195245-0.00127594j -0.00175307+0.000353155j -0.0141376+0.00388799j 0.00736112-0.000658746j -0.0102999+0.00215063j 0.00490878+0.000516697j -0.0124492-0.000423773j -0.000206131-0.000638768j -0.0044618+0.000533777j -0.00688024-0.000598437j -0.00586775+8.15995e-05j -0.00991511-0.00393913j -3.37894e-05+0.00142884j 0.00922646+0.00273252j 0.0186241+0.00846338j 0.0161705+0.00845502j 0.00648903-0.00119413j 0.00696839+0.000685853j -0.00929851-0.00141403j 0.00230264+0.000144045j 0.011812+0.00347956j 0.0117297+0.00168949j -0.00263304+0.000506082j -0.00452883-0.00364076j 0.010953+0.000883879j 0.00598631+0.00329035j -0.000189912-0.000354419j 0.0045804+0.00122144j 0.00356799-0.000254877j -0.00299122+0.000970509j 
0.00117961+0.00240758j -0.00208406+0.000201311j -0.00486747-0.00723678j 0.00207612+0.00654409j -0.00412611-0.00787758j 0.00733451+0.0118322j 0.00860897+0.0189804j -0.00239388-0.0043326j 0.00322117+0.0134037j -0.00280973-0.00160615j -0.00545277-0.00705733j -0.000191104+4.46732e-06j 0.00386351+0.0135291j -0.00164531-0.0141926j -0.00715434-0.0186534j 0.00166453-0.0117494j -0.00520151+0.015611j -0.00138838-0.0240094j -0.000820197+0.00841612j -0.00353297+0.0109551j 0.0037968+0.00232356j -0.00575771+0.00272585j -0.000551098+0.0123204j 0.00113175-0.00647056j -0.000265821+0.025255j -0.00385524-0.00820494j -0.00111537-0.0140048j 0.00649223-0.00889995j -0.00585852+0.012774j -0.00294533-0.0204393j 0.0112541-0.0192893j 0.00516857-0.0109272j -0.000686323-0.00578185j 0.0051294-0.00657252j 0.00162842+0.0081098j -0.00535842+0.0134304j -0.0032357+0.0066974j 0.00344792-0.00233477j -0.00014928-0.000942698j 0.00106248+0.000874946j -0.00317971+0.000640457j 0.0020461-0.0039086j -0.0111698+0.00474082j -0.000431811-0.00747762j -0.00274773-0.00348214j -0.0173557+0.00906646j -0.00866043+0.00807041j 0.00175249+0.00270004j -0.00270612-0.00454744j 0.010683-0.00294003j -0.010354+0.00539368j -0.00272867+0.00188375j -0.00459888+0.00323151j 0.015523-0.00579602j 0.00242452+0.00112742j 0.00393762-0.00615317j -0.00938499-0.000143022j -0.01017+0.00383986j -0.00242813+0.00147078j 0.0030403+0.000974225j -0.0140583+0.00148471j -0.0102177+0.00340339j -0.00913626-0.00449066j 0.00709881+0.00154331j -0.00739909+0.00215188j -0.0210993-0.0032777j -0.00246943-0.00208355j 0.00344425-0.00235415j -0.0189906-0.00189661j 0.00612432-0.00143096j 0.00897376-0.00169629j 0.0224047+0.00565862j 0.00328418+0.00193079j -0.00337593-0.000547193j -0.0018518+0.00072215j -0.00217489+0.0032006j 0.00646271-0.00195666j -0.00157078+0.00224368j -0.0034396-0.00123365j -0.00291233-0.00130306j -0.0114565-0.00642767j 0.00913115-0.00117037j 0.0113404+0.00565167j -0.00248337-0.00202189j -0.00541882-0.00129383j 0.00221704+0.000709893j -0.0179889-0.0042507j -0.00390303-0.00058492j -0.00496553-0.000828405j 0.000852222+0.000112702j -0.00190708+0.000595041j -0.001612+4.5319e-05j 
-0.00339743-0.0024162j 0.000441772-0.00239944j -0.00204724-0.000714526j 0.00139648+0.0025079j -0.00155891-0.00408702j -0.00306071-0.00376749j 0.000908073+0.00208316j 0.00314421+0.00477745j 0.00909806+0.0175343j 0.0075611+0.0171516j 0.00285124-0.00141401j -0.00570546-0.02521j 0.00704186+0.0186476j 0.00356527+0.0111129j -0.00134163+0.00851815j 0.000889339-0.0193071j -0.00188449-0.0186136j 0.00508997-0.012257j -0.00242183-0.00690657j 0.00385159-0.00471821j 0.00450327-0.00170335j -0.00221565+0.0133239j 9.2014e-06-0.0198911j -0.00335462-0.00803799j -0.00201683-0.0106652j 0.00116466-0.00428525j 0.00701294-0.0421145j -0.00889592+0.0117024j -0.00124527+0.00859264j -0.00512985+0.0128944j 0.00130186-0.0108372j 0.00369321-0.00792293j -0.00166789+0.0010414j -0.000448005+0.00338837j -0.00168927+0.00334796j 0.000128646-0.00175576j -0.0014079+0.00176678j 2.42095e-05+0.00128712j -0.000950195+0.0022347j -0.00158622-0.00281647j 0.00206794+0.0027295j -0.00414159+0.0045807j -0.00113875+0.000501683j 0.000926033-0.00175733j 0.00428446-0.00295485j -0.000100152-0.00265669j -0.0026029+0.00248427j -0.00163635+0.000379396j -0.0136683+0.00528571j 0.00925226-0.0109397j -0.00157845-0.00329859j -0.009099+0.00461104j 0.0160089-0.00377974j 0.00268795-0.00251235j -0.0179902+0.00819647j 0.0162329-0.00397977j 0.0130026-0.00306671j 0.00819987+0.00031962j 0.00302174-0.00158461j 0.00193495-3.01594e-05j 0.000281427+0.000215231j -0.00556702+0.000793595j -0.00539832-0.00109718j 0.00140353+0.00152797j 0.00320212-0.00109323j 9.03681e-05-0.00127042j 0.00799186+0.00112861j -0.0210113-0.00438512j 0.00523303+0.00120797j -0.0200103-0.00278533j 0.00884264+0.0006246j 0.00199788+0.00130325j -0.0242431-0.00588275j -0.0128197-0.0025572j -0.00615617-0.00215611j -0.0134492-0.00417816j -0.00311465+0.00528486j -0.00956591-0.00171927j -0.00253692-0.00171906j 0.0132411+0.00358237j -0.00913057-0.000471884j -0.00190701-0.0013486j 0.00864622+0.00107544j -0.00302231-0.00227463j 0.000261993+0.000977993j -0.00364708-0.00125498j 0.000950269-0.000876446j 0.00208215+0.00044138j -0.000278749-0.000328034j 0.00342003+0.000622095j 0.00263456-0.000550916j -0.00103577+0.000503978j 
0.00767158+0.00710121j -0.0028085+0.00452288j 0.00636312+0.00263351j -0.00297033-0.00564556j 0.000124566+0.00294117j -0.00420335-0.00804454j -0.00306846-0.000942586j -0.00985888-0.0236763j -0.00348365-0.00629548j 0.00094396+0.00940405j 0.00289417+0.0228383j -0.00621162+0.00226217j 0.00699759+0.0311787j -0.0028072-0.000875018j -0.000698007+0.0210874j -0.00191971+0.0150492j 0.00236426-0.000988832j -0.0023458-0.0182988j -0.00298168-0.0203827j -0.0102154+0.00960166j 0.000175252+0.0135602j 0.00763433+0.00718732j 0.000876256-0.0170546j 0.00146163+0.0233217j -0.00506425+0.0184055j -0.000368864+0.0136556j 0.0061853-0.00860056j 0.00406467-0.00724266j -0.000231582-0.00274017j -0.0055612+0.00354846j -0.00277967+0.0152104j -0.00521425+0.0150969j 0.00534888-0.000186228j 0.00288313-0.0122461j -0.000460111+0.0070188j -0.00114517-0.000736879j 0.00196852-0.00574775j -0.00121986+0.000412502j 0.00173711-0.00531437j 0.00485739+0.00584575j -0.00753137-0.00389329j 0.0081855-0.0125682j 0.00568329-0.00370639j -0.0021152+0.00475183j -0.00270572+0.000452697j -0.00192163-0.00141047j -0.00216934-0.00516212j -0.0175641+0.0118908j -0.000788513+0.00441595j -0.00493418+0.00557701j 0.00721553-0.00325647j 0.00773339-0.00583962j 0.00819276-0.00404841j 0.0174498-0.00768379j -0.00387189+0.00451979j -0.00774315+0.00460919j 0.0114998+0.00164152j -0.00918184-0.00200619j -0.00896414+0.000968646j 0.0174266+0.00234358j -0.0112461-0.003248j -0.0126706+0.00194896j -0.00259975-0.00462901j -0.033822-0.0017682j 0.00872302+0.000958205j -0.00221939+0.00196354j -0.00258795-0.00336488j -0.00531294+0.00139037j -0.00154654+0.000541549j -0.00037619+0.00437413j -0.0127598-0.000280562j 0.0103718-0.000733216j 0.00767174+0.000103244j -0.0194418-0.00554323j -0.00601091+0.00187343j -0.010737-0.000981763j 0.00878803-0.000392201j 0.00161909-0.00471074j 0.0167176+0.00507247j -0.00719194+0.000558564j 0.00282446-0.00100421j -0.00674-0.00393331j -0.00312675+0.000780487j 0.00304863+0.00262099j 0.0111695+0.000589736j 0.00352168+0.00127184j -0.00295929+0.000721447j -0.0025663-9.49868e-05j 0.00437179+0.00157913j -0.00850646-0.00157992j -0.0058117+0.00152353j 0.000697486-0.000709707j 
-0.00315253-0.00814866j 0.00858966+0.00158368j -0.00345525+0.00213682j 0.00979954+0.0157691j 0.00492561+0.0108631j 0.000127756-0.00307572j -0.0049992-0.014406j -0.000560887-0.0107974j -0.0033721-0.00557784j 0.00235962+0.0258773j 0.00940873-0.0132672j 0.00105867+0.0146982j 0.00397948+0.0334224j -0.000680658+0.00630603j 0.00374073+0.00933268j 0.00145484+0.00274461j -0.00637665+0.0315657j 0.00215306-0.00823671j 0.0097345-1.08132e-05j 0.00459526+0.0119927j 0.00220602+0.00180179j 0.00161812+0.00862386j -0.00166464+0.00875111j -0.00185289+0.000348736j 0.000429256-0.0134039j 0.00257892-0.00321112j -0.00033822+0.00249754j -0.00416833+0.0162116j 0.00392249-0.00992206j 0.0018084+0.00782223j -0.00325042+0.00647709j -0.00283448+0.00675512j -0.00322243+0.00536915j -0.00267654+0.0138751j -0.002869+0.00184436j -0.00122541+0.00479929j -0.000652773+0.00327376j 0.000247809+0.00168078j -0.00218327+0.00821049j -0.0086819+0.000952728j 0.0110299-0.00538531j -0.000507689+0.0145295j -0.00335219-0.00727682j 0.0129764-0.0100055j -0.00128916+0.00510515j 0.0100506+0.000412508j 0.00543508-0.00587827j 0.00286233-0.000375442j 0.0071321+0.0030992j 0.00699097-0.00832365j -0.00801391+0.00641085j 0.0197524-0.00458092j 0.0125648+0.0010339j -0.00428118+0.000733718j -0.0109994+0.000679401j -0.0017625+0.000987778j -0.0208069-0.000640319j 0.00491254+0.00114761j 0.00784583+0.0044316j -0.0182153-0.00535979j -0.0296854-0.00293879j 0.0121488+0.000761943j -0.00987576+0.00352328j -0.0170142-0.000762639j -0.00041279+8.68065e-05j -0.00114636-0.00279068j -0.0025263+0.0010791j 0.00310726+0.00308436j -0.00390736-0.00202228j 0.000440835-0.00592158j 0.00392274+0.00190325j 0.00275557-0.00261764j -0.000286036-0.000301738j 0.00303872-0.0010315j 0.00343009-0.000168827j -0.00167018-0.00304877j -0.00403305+0.00267986j 0.000844695+0.000489835j -0.00428357-0.000460365j 0.0107219-0.000617341j 0.00531187+0.00430009j -0.0055319-7.56637e-05j -0.00554768-0.00286824j 0.00475681+0.00288302j -0.00876561-0.00010994j -0.00775098-0.00109619j 0.004153+0.000960389j 0.00786802+0.00085575j -0.00333248-0.00111871j 0.00841177+0.000790129j 0.00334933-0.00107876j 0.0027137-0.00145607j 
-0.0047573-0.000213149j -0.00358764-0.00466498j 0.00666504+0.00777359j -0.00386634-0.00708642j -0.0131091-0.0266884j 0.00106339+0.0081134j -0.00661669-0.0165066j -0.00438613-0.00624053j 0.00309764+0.0350342j 0.00806061-0.00233059j -0.00409669-0.031079j 0.00978113+0.00698364j -0.00152148+0.0209217j -0.00120674+0.0148788j -0.0059629-0.0108021j -0.00694627+0.0121686j -0.00304467-0.0114208j 0.00196131-0.00157127j -0.00502299+0.0164143j 0.00567888-0.0100606j -0.00482464+0.0164926j -0.00379701-4.13461e-05j -0.0026491-0.000451097j 0.000399816-0.00242278j 0.000922466+0.00901929j 0.000131437+0.00733248j -0.000353041-0.00302468j 0.00154213-0.0151649j -0.00182955+0.013524j -0.00233409+0.0122818j -0.00122085+0.00297907j 0.000543948-0.00348284j 0.00154382-0.00745707j -0.000821695+0.00010859j 0.00035339-0.00308381j 0.00152877-0.0056778j -0.000692053+0.000916405j 0.00058806+0.00158079j -0.00214084-0.00242033j 0.00328593-0.00915527j -0.00179698+0.00836139j -0.00716352+0.00146285j 0.0115426-0.00465453j -0.00199193+0.0100198j 0.00681224-0.015153j -0.00789205+0.00503769j 0.0146612-0.0106651j -0.00280968-0.000126914j 0.0118685-0.00878899j 0.0157981-0.00727985j -0.0144555+0.00365696j 0.00975543+0.00409537j 0.000528513+0.000681758j -0.0261438+0.00249958j 0.00947714+0.00179617j 0.0156486-0.00139134j 0.000568293+0.00183031j -0.0163493+0.0015105j 0.0350223+0.00374243j -0.00274854+0.00283542j -0.00654746+0.0070812j 0.00843108+0.00121392j -0.00258589+0.0023246j -0.00328132-0.00436744j 0.00773698+0.00453112j 0.000956558+0.00114725j -0.000497441-0.00293146j -0.00975658-0.00372868j -0.00285636-0.00219542j 0.00608771+0.00252234j 0.00275444+0.000606666j -0.00504863+0.00245682j -0.00894057-0.0011074j 0.0139588+0.00396406j -0.00403344-0.00102592j 0.0017793+0.000792152j 0.00177416+0.000157418j 0.00314587+0.000755021j 0.00235601-0.000453561j -0.0103555+0.000415498j -0.0118189-0.00287132j -0.00318969-0.00116351j -4.71454e-05-0.000813808j -0.000758992-0.0015927j 0.00649661+0.000551233j 0.00658568+0.0013396j 0.00428736+0.000376673j -0.00234363-0.000499208j 0.00393951-2.83902e-05j -0.000659882+0.000246108j 0.000864538-0.00108838j -0.00151457+0.000781056j 
