-0.100212-0.0734481j 0.0381823+0.156624j 0.0133672-3.81385e-06j -0.0405087+0.15572j -0.0999481+0.0701499j -0.0352069+0.0941227j -0.129266+0.06467j -0.0572222-0.00411328j -0.13128-0.000193014j -0.0560665+0.00422315j 0.128452+0.0655343j 0.03311+0.0934417j 0.0527402+0.0084617j -0.0431561-0.0655365j -0.0108641+0.0607065j -0.055202-0.0395275j 0.0631336-0.0634319j -0.0322577-0.0427448j -0.0386272+0.0690666j -0.0240017-0.00702287j -0.054974-0.0279194j 0.0283786+0.0165326j 0.0372623+0.0130216j 0.0390911-0.0121932j -0.0284629+0.0161529j 0.0539746-0.0266791j -0.0247994+0.00598152j 0.0379735+0.0694687j 0.0320986-0.043149j -0.0625113-0.0639016j 0.053556-0.04074j -0.0086982-0.0590053j -0.0433385+0.0645923j 0.0514684-0.0070903j 
0.105691-0.177148j -0.0551786-0.0261048j -0.19105-0.000407696j 0.0588769-0.02364j 0.105017+0.178124j -0.0307334-0.0115771j -0.00243935-0.0160525j 0.00809513+0.0266112j -0.00832669-0.000399245j 0.00822471-0.0263857j 0.00302119-0.0156201j 0.0302218-0.0116909j -0.00324733-0.0760141j -0.0581444+0.0310353j -0.0932442-0.0253189j 0.00356896-0.0489835j 0.0360865+0.0171834j 0.0556412+0.0406423j 0.00753194-0.0155462j -0.01316+0.0444678j -0.0223483-0.0249458j 0.00512576-0.0282314j 0.0484554-0.068335j 0.0482079+0.0672556j -0.00486379-0.028399j 0.0216949-0.0265706j -0.0124976-0.043929j -0.00859942-0.0166402j -0.0552191+0.0384592j -0.0375859+0.0195913j -0.00270294-0.0481075j -0.0922762+0.0241805j -0.058082-0.0328207j -0.00485126+0.0752613j 
-0.0350941+0.0347146j -0.179697-0.0385242j 0.102348+0.164602j 0.11357-0.0764612j -0.0627765+0.199096j 0.0280613-0.0189206j -0.0954899+0.014942j -0.131679-0.0714641j 0.0509607-0.0315865j -0.0158783-0.00615661j -0.0578752-4.10097e-05j 0.0641125-0.116953j -0.0219578-0.0275045j -0.0422362-0.0280883j -0.00260639+0.015623j 0.00702408-0.107367j -0.0427628-0.0345116j 0.0933203-0.0513819j -0.0103187-0.0324023j 0.0381329+0.0135748j -0.014028+0.0476787j -0.0143669-0.0154748j -0.0121913-0.0174949j -0.0192684-0.00800357j -0.0230483-0.0622071j 0.000172458-0.0134957j -0.068883+0.0313918j 0.00823761-0.00726937j -0.0385189-0.00236247j 0.00150383-0.0168762j 0.0368984-0.0131645j 0.0228667-0.064018j 0.0327478-0.0485798j -0.0884417-0.0604908j 
0.154621-0.0328395j 0.0047632+0.0376381j 0.249745-0.000930761j -0.00189469+0.0383388j 0.156429+0.0309012j -0.0864971+0.00900608j -0.0251613-0.105213j -0.00629808-0.113474j 0.0894721+0.00202799j -0.00642327+0.11457j 0.0280451-0.105374j 0.0859657+0.0102471j 0.0468177+0.0482444j 0.05375-0.055578j 0.0277413-0.0326042j 0.0682504+0.0213338j 0.0234442-0.0344316j 0.0223744+0.0348344j 0.00966102-0.0147754j -0.0457691+0.062177j -0.0337828-0.00774136j -0.0450014-0.0123333j 0.0149937+0.000950688j 0.016172-0.000861109j 0.0453556-0.0124437j 0.0331329-0.00660105j -0.0452071-0.0626678j -0.0108306-0.0148655j -0.0234552+0.0345491j -0.0203502-0.0337592j -0.0689408+0.0190577j 0.0277632+0.033855j 0.0519909+0.055973j 0.0474709-0.0469518j 
-0.00915724+0.120388j 0.176996+0.109531j -0.211698-0.0462557j -0.208738+0.0212756j 0.0448478-0.114606j 0.00758669-0.108725j -0.0310643+0.0205678j -0.104615-0.0605965j 0.0655829+0.0153059j -0.121684+0.0105884j 0.0203732+0.0304793j 0.0393835-0.102239j -0.065616+0.0180095j 0.00801637-0.00665536j 0.0344536+0.0390712j 0.017483-0.0619885j -0.0159134-0.0722693j 0.0872783+0.00887422j -0.011587-0.0290199j -0.0329877+0.0143429j -0.0300058-0.000320556j 0.000850456-0.0719911j -0.00877203-0.00907858j -0.0126588+0.00489272j 0.0301068-0.0654348j 0.0268738+0.0125418j -0.022966-0.0265317j 0.0205559-0.0215789j -0.0832689-0.0301301j 0.0447953-0.0581756j 0.0115362-0.0647787j 0.0472289-0.0197918j 0.00550717+0.00964022j -0.052012-0.0434635j 
0.0623488+0.196064j 0.111922+0.0795499j -0.100712+0.165953j -0.181059+0.0391911j 0.0378176+0.0347842j 0.0623301+0.115379j -0.0572829-0.00194491j 0.0145546-0.00706212j -0.048523-0.0317866j 0.133163-0.0707277j -0.0944045-0.0155526j 0.0298023+0.019174j 0.0886384-0.0600207j -0.0315088-0.0505174j -0.0222781-0.0650403j 0.0384282+0.0136832j 0.00223828+0.0147387j -0.0378562+0.0018398j 0.0093725+0.00838043j 0.0695589+0.0312788j -0.00135606+0.0140196j -0.0227915+0.0624425j 0.0185836-0.00750525j 0.0133205-0.0186903j -0.015108+0.0151299j -0.0134679-0.0473534j -0.0400894+0.0130131j -0.00909579+0.0332665j 0.0930089+0.0520774j -0.0416256+0.0322076j 0.00527528+0.107796j 0.00360748+0.0154522j 0.041661-0.0264576j 0.0224328-0.0284466j 
-0.00849616+0.0162701j -0.0645772-0.0621907j 0.0387318-0.0328819j -0.0268728+0.249513j 0.12974-0.189195j -0.00297222-0.0189527j -0.0676548-0.0276133j 0.01351+0.0316688j 0.107161+0.180701j 0.111997-0.127813j 0.172505+0.00757877j -0.176027+0.071335j -0.000494545+0.00696933j -0.0170891-0.0225424j 0.00243215+0.0101328j 0.00136944+0.0108131j 0.00922701-0.0108726j -0.00452073+0.0358595j -0.0136947-0.0687534j 0.0292353-0.0206158j 0.00721948-0.000773575j -0.0193992-0.00428138j -0.0575084+0.048868j 0.00981338+0.0256189j 0.037082-0.015006j -0.000993858-0.0370728j -0.00157684+0.012266j 0.0182393+0.00601326j -0.00258869+0.0215757j 0.00748001+0.0351429j 0.00731804-0.0262325j -0.040713-0.0464664j 0.0193242+0.0138164j 0.0543198+0.0116917j 
0.0413073-0.0044882j 0.085095+0.11088j 0.0208609+0.18846j -0.17836-0.148423j 0.168298+0.0777513j -0.0376135+0.00383403j 0.0890737+0.0868011j -0.0874421+0.0242949j -0.0344375+0.0695623j -0.0501654-0.100282j -0.0544301+0.0592759j -0.0472145+0.0699484j 0.0161234+0.00666475j 0.0208669+0.0541648j -0.00121563+0.00115435j 0.00771922-0.000162795j -0.0438822+0.0304269j 0.0306219-0.0151276j -0.0277627+0.0217789j -0.0252627+0.0181317j -0.0337069-0.022102j 0.0332232+0.0360547j 0.0442153+0.0613178j 0.01692-0.0697004j 0.0504937-0.0388183j -0.0366886-0.0172231j -0.0119231+0.0120571j 0.017054-0.0211744j 0.03873-0.00258291j 0.0113563-0.0378723j -0.0229124-0.0106998j -0.0556891+0.0467176j -0.0544596-0.0202799j -0.0295352-0.0348126j 
0.063251-0.00825925j 0.0549632+0.20725j 0.078877+0.105881j 0.225317-0.0621959j -0.208144-0.223957j -0.0329283-0.000258482j 0.0873843+0.0735787j -0.07856-0.00351761j -0.0867631+0.0200694j -0.0442873-0.0314664j -0.097238+0.056436j -0.00158425+0.0107661j 0.0088704+0.0191591j 0.0169893+0.034485j -0.0235297-0.000524292j -0.0197988+0.00644404j -0.0375595+0.0242615j -0.0103264+0.0268525j 0.0501142-0.0103842j -0.000687046+0.0599982j 0.0352462+0.0448698j 0.0118716-0.0181445j -0.067301-0.0430702j -0.0201325+0.0717551j 0.0682437+0.0774063j 0.0525401-0.0441637j -0.0514598+0.0645361j 0.0607521+0.0270715j -0.0345348+0.0198716j -0.0138028-0.0415648j 0.0664104+0.0118574j 0.0506487-0.0578805j -0.0267859+0.0157118j 0.0495847+0.0254127j 
0.118572+0.115752j -0.244722+0.139879j -0.258547+0.0021323j 0.255251+0.133055j 0.112048-0.121163j -0.0327523-0.023536j 0.0613332+0.0174556j -0.0260739-0.0412782j -0.079337+0.00105629j -0.0254906+0.0400762j -0.0637607+0.016229j 0.0324432-0.0235537j 0.00295173+0.0137378j 0.0476858-0.0362165j -0.0210051+0.00581406j -0.0160685-0.0236474j 0.078902+0.0557144j -0.00266543-0.033152j 0.00391242-0.0616067j 0.0884958-0.0100441j 0.0608936-0.0343702j -0.0403885-0.107041j 0.0295645+0.0402584j 0.0294827-0.0409584j 0.0410636-0.104856j -0.0595484-0.0357513j 0.0869829+0.0136482j 0.000197101-0.0619175j 0.00376912-0.0339031j -0.0818629+0.0549968j 0.0132114-0.0225689j -0.0181641-0.00819282j 0.0465634+0.0370061j 0.00448245-0.0127604j 
0.0988909+0.0795103j 0.129+0.0778221j 0.153989+0.000879396j -0.127661+0.074048j 0.0990697-0.0835676j -0.0712759-0.0850465j 0.0479791-0.0461026j 0.0196548-0.148564j -0.117086+0.00248859j 0.0226799+0.149051j -0.0466943-0.0472493j 0.0717458-0.0849518j 0.021062+0.0523361j -0.000809817+0.025786j -0.0356519+0.0113559j 0.0310529-0.0183141j -0.0340747-0.0207263j 0.0150868+0.0440536j -0.055812-0.0213542j 0.0195491-0.0344177j 0.039549-0.0316616j -0.0169504+0.0159897j 0.0584353+0.0333627j 0.0583609-0.0340906j 0.0182695+0.0170818j -0.0397465-0.0322117j 0.018808+0.035214j 0.0569751-0.0192836j -0.0167999+0.0454953j 0.0345065-0.0206852j -0.0289958-0.0186565j -0.0360535-0.0116588j -0.00200262-0.0253299j 0.0210028-0.0515935j 
