0.0013038-0j 0.165594-0j 0.0870851-0j -0.188832-0j -0.115635-0j -0.000708619-0j 0.00155834-0j 0.00209232-0j -0.000867878-0j -0.000433939-0j -0.00050107-0j 0.00147949-0j -0.000250535-0j -0.0881829-0j 0.191212-0j -0.105399-0j -0.0623547-0j 0.0676037-0j 0.241113-0j -0.131046-0j 0.386936-0j -0.080249-0j 0.201969-0j -0.107553-0j 0.142814-0j -0.0716649-0j 0.0868413-0j 0.104087-0j 0.0736003-0j -0.296912-0j -0.160498-0j -0.080249-0j 0.100557-0j 0.0355523-0j -0.033381-0j -0.000490946-0j -0.0231659-0j -0.128551-0j -5.60213e-05-0j -0.231271-0j -0.115635-0j -0.0827515-0j 0.244338-0j 0.253181-0j -0.0292571-0j -0.046245-0j -0.250029-0j -0.0234456-0j -0.0165786-0j 0.0229678-0j -0.00520878-0j -0.000877802-0j 
-0.0904131-0j -0.0705824-0j 0.0773253-0j 0.081508-0j 0.148509-0j 0.0985914-0j 0.105399-0j 0.0569218-0j -0.123803-0j -0.0619016-0j -0.21267-0j -0.122785-0j -0.176931-0j 0.0754119-0j 0.0794911-0j -0.0924141-0j -0.16267-0j -0.142654-0j -0.052192-0j 0.0598282-0j 0.0345419-0j 0.109008-0j -0.143381-0j 0.161038-0j 0.309285-0j 0.176621-0j 0.143632-0j -0.0901416-0j 0.194443-0j -0.0502786-0j -0.0714668-0j -0.0357334-0j -0.0870851-0j 0.156282-0j 0.0997948-0j 0.0683062-0j 0.073251-0j -0.18773-0j -0.0711347-0j -0.0973641-0j -0.048682-0j -0.198913-0j -0.114843-0j 0.026497-0j 0.356968-0j -0.15346-0j 0.0271693-0j -0.0989098-0j 0.213357-0j -0.0570628-0j 0.0320307-0j -0.00681373-0j 
-0.0870851-0j 0.213549-0j 0.233932-0j -0.0794974-0j 0.151002-0j 0.302004-0j -0.104087-0j 0.174362-0j -0.119246-0j 0.429501-0j -0.0688468-0j -0.0397487-0j 0.106775-0j 0.233932-0j -0.0794974-0j -0.0901416-0j -0.0533285-0j -0.0281066-0j -0.0502786-0j -0.0562132-0j -0.0324547-0j 0.106775-0j 0.0871812-0j -0.0307892-0j -0.0198744-0j 0.0477511-0j -0.00725709-0j 0.279602-0j -0.0637397-0j -0.0502786-0j -0.0688468-0j 0.247973-0j -0.0870851-0j -0.0307892-0j -0.0140533-0j -0.0674558-0j -0.00993718-0j -0.0368002-0j -0.00769731-0j -0.0973641-0j 0.350686-0j -0.0177762-0j -0.0102631-0j -0.0264991-0j -0.00628482-0j -0.00794974-0j -0.0264991-0j 0.0104201-0j -0.00237544-0j -0.00137146-0j -0.000559897-0j -7.54964e-05-0j 
-0.18785-0j -0.148509-0j -0.162683-0j -0.171483-0j 0.0379499-0j 0.0688468-0j 0.0736003-0j 0.0397487-0j -0.257224-0j -0.128612-0j 0.0536692-0j 0.030986-0j 0.327608-0j 0.0533285-0j 0.0562132-0j -0.194443-0j 0.041572-0j 0.267491-0j 0.0355523-0j -0.121257-0j -0.0700076-0j 0.0268346-0j 0.0198744-0j -0.0664151-0j 0.015493-0j -0.0332075-0j -0.0156542-0j 0.0637397-0j 0.0496881-0j 0.0355523-0j 0.048682-0j 0.024341-0j 0.0615784-0j 0.293021-0j 0.338056-0j 0.0476985-0j 0.239042-0j 0.0260216-0j 0.341717-0j 0.0688468-0j 0.0344234-0j 0.0125696-0j 0.00725709-0j 0.0187377-0j 0.0598127-0j 0.00562132-0j -0.057161-0j 0.00237544-0j 0.00185176-0j 0.000969769-0j -0.00120775-0j 5.3384e-05-0j 
-0.107553-0j 0.143381-0j 0.0307892-0j 0.0324547-0j 0.0198744-0j -0.120248-0j -0.128551-0j -0.0694254-0j -0.147273-0j -0.0736367-0j -0.0850284-0j -0.0490912-0j -0.0425142-0j 0.157066-0j 0.165562-0j 0.18773-0j 0.111062-0j 0.058535-0j 0.0189442-0j 0.0211802-0j 0.0122284-0j 0.0129702-0j -0.176778-0j -0.193651-0j -0.125001-0j -0.120174-0j 0.116001-0j 0.0368002-0j 0.0260216-0j 0.0205261-0j 0.0259404-0j 0.0129702-0j 0.0355523-0j 0.0125696-0j 0.00573723-0j -0.0833105-0j 0.00374417-0j -0.231457-0j -0.00950646-0j 0.0397487-0j 0.0198744-0j -0.138764-0j -0.0801157-0j 0.0551873-0j -0.0490607-0j 0.127072-0j 0.0108182-0j 0.320106-0j 0.226349-0j 0.370781-0j 0.331171-0j 0.145208-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
