-0.0460152-0j -0.0464921-0j -0.00541954-0j -0.00670634-0j -0.00391203-0j -0.00331669-0j -0.000478724-0j -0.00386948-0j -0.00236956-0j -0.000558511-0j -0.000342017-0j -0.00338579-0j -0.000488697-0j -0.00139657-0j -0.000201577-0j -0.00242065-0j -0.000427914-0j -3.56595e-05-0j -0.00273441-0j -0.00223264-0j -0.000483381-0j -0.00225578-0j -4.02817e-05-0j -0.000394679-0j -0.00195356-0j -0.000398769-0j -3.28899e-05-0j -0.0016116-0j -0.000345344-0j -3.32307e-05-0j -0.000514915-0j -2.87787e-05-0j -0.000284894-0j -9.10251e-05-0j -2.37412e-05-0j -7.58542e-06-0j 
0.00742568-0j 0.00750263-0j -0.0411314-0j -0.0508975-0j -0.0296902-0j 0.000535229-0j -0.00734376-0j 0.000624434-0j 0.000382386-0j -0.00856772-0j -0.00524664-0j 0.00054638-0j -0.00749676-0j 0.00022537-0j -0.00309225-0j 0.000390631-0j -0.00324764-0j -0.000823419-0j 0.000441264-0j 0.000360291-0j -0.0036686-0j 0.000364024-0j -0.000930151-0j -0.0029954-0j 0.000315254-0j -0.00302644-0j -0.000759465-0j 0.000260072-0j -0.00262097-0j -0.000767335-0j 8.30941e-05-0j -0.000664532-0j -0.00216219-0j -0.000690831-0j -0.000548211-0j -0.000175156-0j 
0.00606304-0j 0.00612587-0j 0.000714087-0j 0.000883638-0j 0.000515456-0j -0.041569-0j 6.30774e-05-0j -0.0484971-0j -0.0296983-0j 7.35903e-05-0j 4.50646e-05-0j -0.042435-0j 6.43915e-05-0j -0.0175035-0j 2.65601e-05-0j -0.0456963-0j -0.00536316-0j 4.69856e-06-0j -0.0516195-0j -0.0421471-0j -0.00605833-0j -0.0425839-0j 5.30758e-06-0j -0.00494661-0j -0.0368787-0j -0.00499787-0j 4.33362e-06-0j -0.0304234-0j -0.00432828-0j 4.37853e-06-0j -0.00972042-0j 3.79192e-06-0j -0.00357065-0j -0.00114084-0j 3.12817e-06-0j 9.99467e-07-0j 
-0.000875125-0j -0.000884193-0j 0.00979783-0j 0.0121242-0j 0.00707245-0j -6.30774e-05-0j -0.0402659-0j -7.35903e-05-0j -4.50646e-05-0j -0.0469769-0j -0.0287674-0j -6.43915e-05-0j -0.0411048-0j -2.65601e-05-0j -0.0169549-0j 0.00659569-0j 0.000773614-0j -0.00919216-0j 0.00745063-0j 0.00608341-0j 0.00087389-0j 0.00614645-0j -0.0103837-0j 0.000713528-0j 0.00532298-0j 0.000720923-0j -0.00847822-0j 0.00439124-0j 0.000624337-0j -0.00856608-0j 0.00140302-0j -0.00741844-0j 0.000515052-0j 0.000164562-0j -0.0061199-0j -0.00195534-0j 
-0.00075788-0j -0.000765734-0j 0.00419796-0j 0.00519471-0j 0.00303025-0j 0.0104469-0j 0.000749519-0j 0.012188-0j 0.0074636-0j 0.000874439-0j 0.000535483-0j 0.0106645-0j 0.000765134-0j 0.00439889-0j 0.000315602-0j -3.98686e-05-0j -0.063389-0j 8.40398e-05-0j -4.50363e-05-0j -3.6772e-05-0j -0.0716055-0j -3.71531e-05-0j 9.49331e-05-0j -0.0584657-0j -3.21755e-05-0j -0.0590716-0j 7.75125e-05-0j -2.65434e-05-0j -0.0511575-0j 7.83158e-05-0j -8.48076e-06-0j 6.78235e-05-0j -0.0422028-0j -0.013484-0j 5.59515e-05-0j 1.78768e-05-0j 
8.9317e-05-0j 9.02426e-05-0j -0.00150524-0j -0.00186264-0j -0.00108654-0j -0.000612369-0j 0.0125948-0j -0.00071443-0j -0.000437497-0j 0.0146939-0j 0.00899816-0j -0.000625126-0j 0.0128572-0j -0.000257851-0j 0.00530332-0j 4.69856e-06-0j 0.0113051-0j -0.0431709-0j 5.30758e-06-0j 4.33362e-06-0j 0.0127705-0j 4.37853e-06-0j -0.0487668-0j 0.0104271-0j 3.79192e-06-0j 0.0105351-0j -0.0398179-0j 3.12817e-06-0j 0.00912368-0j -0.0402305-0j 9.99467e-07-0j -0.0348407-0j 0.00752665-0j 0.0024048-0j -0.0287421-0j -0.00918323-0j 
-4.07675e-06-0j -4.11899e-06-0j 0.000114828-0j 0.000142092-0j 8.2887e-05-0j -2.93844e-07-0j -0.00193651-0j -3.42818e-07-0j -2.09933e-07-0j -0.00225926-0j -0.00138351-0j -2.99966e-07-0j -0.00197685-0j -1.2373e-07-0j -0.00081541-0j -2.14459e-07-0j 9.06652e-06-0j 0.020568-0j -2.42257e-07-0j -1.97802e-07-0j 1.02417e-05-0j -1.99852e-07-0j 0.023234-0j 8.36233e-06-0j -1.73077e-07-0j 8.44899e-06-0j 0.0189705-0j -1.42781e-07-0j 7.31704e-06-0j 0.0191671-0j -4.56192e-08-0j 0.0165992-0j 6.03625e-06-0j 1.92861e-06-0j 0.0136936-0j 0.00437518-0j 
0.0424146-0j -0.0411578-0j 0.00499547-0j 0.000122349-0j -0.00699773-0j 0.00305717-0j 0.000441264-0j 7.05937e-05-0j 0.00218415-0j 1.01893e-05-0j 0.000315254-0j -0.00299732-0j -0.000432626-0j -0.00375995-0j -0.000542702-0j 0.00223124-0j 0.000394431-0j 3.28692e-05-0j 4.9886e-05-0j 0.00205794-0j 8.81867e-06-0j -0.00199696-0j 7.3489e-07-0j 0.000363796-0j 3.56402e-05-0j -0.000353016-0j 3.03163e-05-0j -0.00288279-0j 6.30037e-06-0j -2.9418e-05-0j -0.00185153-0j 5.2503e-07-0j -0.000509611-0j -0.000327307-0j -4.24676e-05-0j -2.72756e-05-0j 
-0.00670634-0j 0.00650762-0j 0.0371469-0j 0.000909801-0j -0.052036-0j -0.000483381-0j 0.00663236-0j -1.11618e-05-0j -0.000345344-0j 0.000153149-0j 0.00473839-0j 0.000473918-0j -0.00650252-0j 0.000594501-0j -0.00815701-0j -0.00035279-0j 0.00293304-0j 0.000743653-0j -7.88766e-06-0j -0.000325389-0j 6.55767e-05-0j 0.000315747-0j 1.66266e-05-0j 0.00270523-0j -5.63522e-06-0j -0.00262507-0j 0.000685894-0j 0.00045581-0j 4.68503e-05-0j -0.00066557-0j 0.000292752-0j 1.18786e-05-0j -0.00378953-0j -0.00243389-0j -0.000960811-0j -0.000617099-0j 
-0.00530183-0j 0.00514472-0j -0.000624434-0j -1.52936e-05-0j 0.000874717-0j 0.03635-0j -5.5158e-05-0j 0.000839366-0j 0.0259697-0j -1.27367e-06-0j -3.94068e-05-0j -0.0356384-0j 5.40782e-05-0j -0.0447062-0j 6.78378e-05-0j -0.000278905-0j 0.00468982-0j -4.10865e-06-0j -6.23574e-06-0j -0.000257242-0j 0.000104855-0j 0.00024962-0j -9.18612e-08-0j 0.00432556-0j -4.45503e-06-0j -0.00419739-0j -3.78954e-06-0j 0.000360349-0j 7.49119e-05-0j 3.67725e-06-0j 0.000231441-0j -6.56288e-08-0j -0.00605932-0j -0.00389171-0j 5.30844e-06-0j 3.40945e-06-0j 
-0.00353455-0j 0.00342982-0j -0.000416289-0j -1.01957e-05-0j 0.000583145-0j -0.000254764-0j -3.6772e-05-0j -5.88281e-06-0j -0.000182012-0j -8.49111e-07-0j -2.62712e-05-0j 0.000249777-0j 3.60522e-05-0j 0.000313329-0j 4.52252e-05-0j 0.0534648-0j -3.28692e-05-0j -2.7391e-06-0j 0.00119536-0j 0.0493122-0j -7.3489e-07-0j -0.047851-0j -6.12408e-08-0j -3.03163e-05-0j 0.00085401-0j 2.9418e-05-0j -2.52636e-06-0j -0.0690773-0j -5.2503e-07-0j 2.4515e-06-0j -0.0443662-0j -4.37525e-08-0j 4.24676e-05-0j 2.72756e-05-0j 3.53896e-06-0j 2.27296e-06-0j 
0.000765253-0j -0.000742577-0j -0.00856772-0j -0.00020984-0j 0.0120018-0j 5.5158e-05-0j 0.0352106-0j 1.27367e-06-0j 3.94068e-05-0j 0.000813055-0j 0.0251556-0j -5.40782e-05-0j -0.0345213-0j -6.78378e-05-0j -0.0433048-0j 4.02564e-05-0j -0.000676487-0j 0.00803809-0j 9.00052e-07-0j 3.71297e-05-0j -1.51249e-05-0j -3.60295e-05-0j 0.000179715-0j -0.000623945-0j 6.43028e-07-0j 0.000605456-0j 0.00741378-0j -5.20119e-05-0j -1.08057e-05-0j -0.00719409-0j -3.34056e-05-0j 0.000128395-0j 0.000874032-0j 0.000561363-0j -0.0103853-0j -0.00667017-0j 
0.000883638-0j -0.000857454-0j -0.00489454-0j -0.000119877-0j 0.00685635-0j -0.00605833-0j -0.00087389-0j -0.000139894-0j -0.00432828-0j -2.01792e-05-0j -0.000624337-0j 0.00593973-0j 0.000856783-0j 0.00745103-0j 0.00107478-0j -0.00665986-0j 0.0367605-0j -9.79849e-05-0j -0.000148901-0j -0.00614259-0j 0.00082189-0j 0.00596057-0j -2.19074e-06-0j 0.0339053-0j -0.00010638-0j -0.0329006-0j -9.03745e-05-0j 0.00860464-0j 0.000587187-0j 8.76965e-05-0j 0.00552649-0j -1.56514e-06-0j -0.0474951-0j -0.0305046-0j 0.000126598-0j 8.13099e-05-0j 
0.000312413-0j -0.000303156-0j 3.67951e-05-0j 9.01184e-07-0j -5.15432e-05-0j -0.00647087-0j 3.25022e-06-0j -0.00014942-0j -0.00462301-0j 7.50515e-08-0j 2.32207e-06-0j 0.00634419-0j -3.18659e-06-0j 0.0079584-0j -3.99738e-06-0j 1.64346e-05-0j -0.000834861-0j 2.42105e-07-0j 3.67445e-07-0j 1.51582e-05-0j -1.86658e-05-0j -1.4709e-05-0j 5.41297e-09-0j -0.000770018-0j 2.62515e-07-0j 0.000747201-0j 2.23301e-07-0j -2.12338e-05-0j -1.33355e-05-0j -2.16684e-07-0j -1.36378e-05-0j 3.86721e-09-0j 0.00107865-0j 0.000692785-0j -3.12803e-07-0j -2.00904e-07-0j 
