0.142961-0j -0.176373-0j 0.202178-0j 0.116727-0j 0.36837-0j -0.139435-0j 0.156606-0j 0.300773-0j 0.101089-0j 0.0583637-0j 0-0j 0.18718-0j -0.152743-0j 0.247537-0j -0.182563-0j 0.32948-0j 0.288939-0j -0.241508-0j -0.113848-0j -0.0657302-0j -0.120754-0j 0.204311-0j -0.0623571-0j -0.161005-0j -0.0311786-0j 0.0672549-0j -0.0146977-0j 0.0069758-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0536685-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.00113395-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.139435-0j -0.178596-0j -0.199676-0j -0.115283-0j -0.122276-0j -0.139424-0j -0.152731-0j -0.0985875-0j 0.102347-0j 0.290388-0j 0-0j 0.182563-0j 0.152743-0j -0.0352981-0j -0.182549-0j 0.108006-0j 0.056924-0j -0.244553-0j 0.118181-0j 0.0682316-0j -0.122276-0j 0.0417832-0j 0.318104-0j 0.161005-0j 0.348885-0j 0.246699-0j 0.283721-0j 0.200321-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0536685-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.0632713-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.000895436-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.127068-0j -0.000956705-0j -0.00100846-0j 0.0011724-0j 0.0020637-0j 0.00180977-0j -0.125495-0j 0.143857-0j 0.0830557-0j 0.262109-0j -0.16151-0j 0.1814-0j 0.348391-0j 0.15195-0j 0.104568-0j 0.148128-0j 0-0j 0.0799985-0j -0.173994-0j -0.171842-0j -0.0859209-0j -0.0869972-0j 0-0j -0.298889-0j -0.172564-0j 0.176132-0j -0.211466-0j -0.248661-0j -0.171129-0j -0.0988012-0j 0.138561-0j 0.307106-0j -0.111723-0j -0.000336152-0j -0.0637227-0j 0.137455-0j -0.0333661-0j 0.0172797-0j -0.0999735-0j 0.0959982-0j -0.00322953-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.232728-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.208158-0j -0.123933-0j 0.268731-0j -0.148128-0j -0.087634-0j 0.0950109-0j 0.208158-0j -0.113135-0j 0.33405-0j -0.0692807-0j 0.134366-0j -0.0715528-0j 0.0950109-0j -0.0399993-0j 0.0424902-0j 0.248797-0j 0-0j 0.33405-0j -0.138561-0j -0.138561-0j -0.0692807-0j -0.0692807-0j 0-0j -0.0799985-0j 0.236209-0j -0.0199996-0j -0.085522-0j -0.0399993-0j -0.0461872-0j 0.136375-0j -0.113135-0j -0.0163296-0j -0.022627-0j 0.355823-0j -0.0103278-0j -0.00730283-0j 0.00927212-0j -0.00195176-0j -0.0089441-0j -0.0783822-0j -0.000290952-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.16151-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.0715528-0j 0.176925-0j 0.186495-0j 0.211466-0j 0.125105-0j 0.0659361-0j -0.0742759-0j -0.0830429-0j -0.0479449-0j -0.0508532-0j -0.187369-0j -0.205252-0j -0.13249-0j -0.0261039-0j 0.211454-0j -0.085522-0j 0-0j -0.0461872-0j -0.0979778-0j -0.101706-0j -0.0508532-0j -0.0489889-0j 0-0j -0.0565675-0j -0.0326593-0j -0.0146801-0j -0.245323-0j -0.0282837-0j -0.0301421-0j -0.0174026-0j -0.0799985-0j -0.0106569-0j 0.231636-0j 0.0621651-0j 0.352425-0j 0.249202-0j 0.33955-0j 0.269701-0j -0.00632444-0j -0.0554246-0j 0.100702-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
